庵埠镇政府,an'bu'zhen'zheng'fu
军分区,jun'fen'qu
开发区管委会,kai'fa'qu'guan'wei'hui
开濠,kai'hao
奎元路口,kui'yuan'lu'kou
坤辉花园,kun'hui'hua'yuan
来宜小学,lai'yi'xiao'xue
礼德加油站,li'de'jia'you'zhan
骊二,li'er
里文,li'wen
莲华西陇,lian'hua'xi'long
联通大厦,lian'tong'da'sha
磷畔,lin'pan
磷溪,lin'xi
磷溪农科所,lin'xi'nong'ke'suo
磷溪农料所,lin'xi'nong'liao'suo
磷溪溪口雨亭,lin'xi'xi'kou'yu'ting
磷溪镇政府,lin'xi'zhen'zheng'fu
隆都阳坑桥,long'dou'yang'keng'qiao
龙桥路,long'qiao'lu
绿榕市场,lv'rong'shi'chang
麻仓,ma'cang
南堤路,nan'di'lu
南国明珠,nan'guo'ming'zhu
南陇,nan'long
南桥市场,nan'qiao'shi'chang
南怡园,nan'yi'yuan
坪埔,ping'pu
汽车总站,qi'che'zong'zhan
栖风,qi'feng
千果山旅游区,qian'guo'shan'lv'you'qu
前进路口,qian'jin'lu'kou
桥东车站,qiao'dong'che'zhan
桥东医院,qiao'dong'yi'yuan
侨光中学,qiao'guang'zhong'xue
勤威,qin'wei
轻工业区,qing'gong'ye'qu
青龙头,qing'long'tou
邱厝,qiu'cuo
秋溪路口,qiu'xi'lu'kou
趣春花园,qu'chun'hua'yuan
趣春路口,qu'chun'lu'kou
区公安局,qu'gong'an'ju
区检察院,qu'jian'cha'yuan
饶里村,rao'li'cun
人民广场,ren'min'guang'chang
如意路口,ru'yi'lu'kou
沙二,sha'er
厦寺公园,sha'si'gong'yuan
沙一,sha'yi
山边,shan'bian
上珂,shang'ke
商贸城,shang'mao'cheng
上埔,shang'pu
上水门,shang'shui'men
狮峰,shi'feng
石湖村,shi'hu'cun
市疾控中心,shi'ji'kong'zhong'xin
市交通局,shi'jiao'tong'ju
石牌,shi'pai
师院宿舍,shi'yuan'su'she
市政府,shi'zheng'fu
石柱坑,shi'zhu'keng
书厝楼,shu'cuo'lou
书图,shu'tu
双岗,shuang'gang
双美路口,shuang'mei'lu'kou
松昌中学,song'chang'zhong'xue
松林寺,song'lin'si
塘边,tang'bian
塘边乡,tang'bian'xiang
糖厂,tang'chang
塘埔,tang'pu
陶瓷城,tao'ci'cheng
陶瓷学院,tao'ci'xue'yuan
体育馆,ti'yu'guan
田东,tian'dong
田东中学,tian'dong'zhong'xue
铁桥,tie'qiao
万绿花园,wan'lv'hua'yuan
维兰中学,wei'lan'zhong'xue
韦骆,wei'luo
文祠,wen'ci
伍全,wu'quan
乌洋,wu'yang
乌洋路口,wu'yang'lu'kou
西都,xi'du
西陇,xi'long
锡美,xi'mei
西荣路口,xi'rong'lu'kou
溪头村,xi'tou'cun
西新路口,xi'xin'lu'kou
西园路,xi'yuan'lu
下津,xia'jin
下水门,xia'shui'men
县二中路口,xian'er'zhong'lu'kou
县人民医院,xian'ren'min'yi'yuan
仙田,xian'tian
仙洋圩,xian'yang'xu
小行,xiao'hang
新春园路口,xin'chun'yuan'lu'kou
新桥加油站,xin'qiao'jia'you'zhan
新桥路口,xin'qiao'lu'kou
新桥市场,xin'qiao'shi'chang
新西坑,xin'xi'keng
新乡,xin'xiang
信怡园,xin'yi'yuan
星光,xing'guang
雄英大厦,xiong'ying'da'sha
许南美,xu'nan'mei
鸭背,ya'bei
洋头村,yang'tou'cun
一八八医院,yi'ba'ba'yi'yuan
奕东村,yi'dong'cun
奕湖村,yi'hu'cun
意溪坝街尾,yi'xi'ba'jie'wei
意溪中学,yi'xi'zhong'xue
银潭,yin'tan
英塘,ying'tang
永护路口,yong'hu'lu'kou
邮电局,you'dian'ju
玉窖,yu'jiao
玉兰园,yu'lan'yuan
粤潮花园,yue'chao'hua'yuan
粤潮市场,yue'chao'shi'chang
云英路,yun'ying'lu
樟坑,zhang'keng
振兴路,zhen'xing'lu
正龙路口,zheng'long'lu'kou
中国银行,zhong'guo'yin'hang
中津,zhong'jin
中心医院,zhong'xin'yi'yuan
中银大厦,zhong'yin'da'sha
洲达加油站,zhou'da'jia'you'zhan
竹木门,zhu'mu'men
竹围乡,zhu'wei'xiang
庄埕,zhuang'cheng
紫莲路口,zi'lian'lu'kou
