挨黑打,ai'hei'da
鲊起,zha'qi
掌班子,zhang'ban'zi
罩子,zhao'zi
整饭,zheng'fan
整嘛,zheng'ma
主儿,zhu'er
抓卷儿,zhua'juan'er
爪子,zhua'zi
拽实,zhuai'shi
装疯迷窍,zhuang'feng'mi'qiao
装舅子,zhuang'jiu'zi
