哀莫大于心死,ai'mo'da'yu'xin'si
不得已而为之,bu'de'yi'er'wei'zhi
不登大雅之堂,bu'deng'da'ya'zhi'tang
不法古不修今,bu'fa'gu'bu'xiu'jin
不费吹灰之力,bu'fei'chui'hui'zhi'li
不分青红皂白,bu'fen'qing'hong'zao'bai
不敢越雷池半步,bu'gan'yue'lei'chi'ban'bu
不管风吹浪打,bu'guan'feng'chui'lang'da
不管三七二十一,bu'guan'san'qi'er'shi'yi
不见棺材不落泪,bu'jian'guan'cai'bu'luo'lei
不可同日而语,bu'ke'tong'ri'er'yu
不可信其无,bu'ke'xin'qi'wu
不能已于言,bu'neng'yi'yu'yan
不入虎穴焉得虎子,bu'ru'hu'xue'yan'de'hu'zi
不识好人心,bu'shi'hao'ren'xin
不识庐山真面目,bu'shi'lu'shan'zhen'mian'mu
不食人间烟火,bu'shi'ren'jian'yan'huo
不是冤家不聚头,bu'shi'yuan'jia'bu'ju'tou
不听老人言吃亏在眼前,bu'ting'lao'ren'yan'chi'kui'zai'yan'qian
不问青红皂白,bu'wen'qing'hong'zao'bai
不幸而言中,bu'xing'er'yan'zhong
不许百姓点灯,bu'xu'bai'xing'dian'deng
不知鹿死谁手,bu'zhi'lu'si'shei'shou
不知其所以然,bu'zhi'qi'suo'yi'ran
不知天高地厚,bu'zhi'tian'gao'di'hou
不自由毋宁死,bu'zi'you'wu'ning'si
不足为外人道,bu'zu'wei'wai'ren'dao
不足以平民愤,bu'zu'yi'ping'min'fen
沧海变桑田,cang'hai'bian'sang'tian
拆穿西洋镜,chai'chuan'xi'yang'jing
拆东墙补西墙,chai'dong'qiang'bu'xi'qiang
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
长痛不如短痛,chang'tong'bu'ru'duan'tong
朝里无人莫做官,chao'li'wu'ren'mo'zuo'guan
车到山前必有路,che'dao'shan'qian'bi'you'lu
车如流水马如龙,che'ru'liu'shui'ma'ru'long
嗔拳不打笑面,chen'quan'bu'da'xiao'mian
成不了大气,cheng'bu'liao'da'qi
秤砣虽小压千斤,cheng'tuo'sui'xiao'ya'qian'jin
吃饱了撑的,chi'bao'le'cheng'de
吃不了兜着走成,chi'bu'liao'dou'zhe'zou'cheng
吃了豹子胆,chi'le'bao'zi'dan
吃力不讨好,chi'li'bu'tao'hao
吃粮不管事,chi'liang'bu'guan'shi
吃水不忘挖井人,chi'shui'bu'wang'wa'jing'ren
痴心女子负心汉,chi'xin'nv'zi'fu'xin'han
吃一堑长一智,chi'yi'qian'zhang'yi'zhi
抽刀断水水更流,chou'dao'duan'shui'shui'geng'liu
丑事传千里,chou'shi'chuan'qian'li
出工不出力,chu'gong'bu'chu'li
出力不讨好,chu'li'bu'tao'hao
初生牛犊不怕虎,chu'sheng'niu'du'bu'pa'hu
出手即是精品,chu'shou'ji'shi'jing'pin
出头椽子先烂,chu'tou'chuan'zi'xian'lan
楚王好细腰,chu'wang'hao'xi'yao
出污泥而不染,chu'wu'ni'er'bu'ran
出淤泥而不染,chu'yu'ni'er'bu'ran
船到江心补漏迟,chuan'dao'jiang'xin'bu'lou'chi
船到桥头自然直,chuan'dao'qiao'tou'zi'ran'zhi
船小好掉头,chuan'xiao'hao'diao'tou
吹胡子瞪眼,chui'hu'zi'deng'yan
春风吹又生,chun'feng'chui'you'sheng
春种一粒粟,chun'zhong'yi'li'su
此处无银三百两,ci'chu'wu'yin'san'bai'liang
此地无银三百两,ci'di'wu'yin'san'bai'liang
聪明反被聪明误,cong'ming'fan'bei'cong'ming'wu
从娃娃抓起,cong'wa'wa'zhua'qi
存在即是合理,cun'zai'ji'shi'he'li
大白于天下,da'bai'yu'tian'xia
大恩不言谢,da'en'bu'yan'xie
打狗看主人,da'gou'kan'zhu'ren
大旱望云霓,da'han'wang'yun'ni
大旱之望云霓,da'han'zhi'wang'yun'ni
打开窗户说亮话,da'kai'chuang'hu'shuo'liang'hua
大开方便之门,da'kai'fang'bian'zhi'men
打开天窗说亮话,da'kai'tian'chuang'shuo'liang'hua
打破沙锅问到底,da'po'sha'guo'wen'dao'di
大人有大量,da'ren'you'da'liang
打蛇打七寸,da'she'da'qi'cun
打是亲骂是爱,da'shi'qin'ma'shi'ai
大树底下好乘凉,da'shu'di'xia'hao'cheng'liang
大水冲倒龙王庙,da'shui'chong'dao'long'wang'miao
大水冲了龙王庙,da'shui'chong'le'long'wang'miao
大限来时各自飞,da'xian'lai'shi'ge'zi'fei
打一巴掌揉三揉,da'yi'ba'zhang'rou'san'rou
打一枪换一个地方,da'yi'qiang'huan'yi'ge'di'fang
大鱼吃小鱼,da'yu'chi'xiao'yu
打仗亲兄弟,da'zhang'qin'xiong'di
打着灯笼也难找,da'zhe'deng'long'ye'nan'zhao
打肿脸充胖子,da'zhong'lian'chong'pang'zi
带着铃铛去做贼,dai'zhe'ling'dang'qu'zuo'zei
丹青难写是精神,dan'qing'nan'xie'shi'jing'shen
单丝不成线,dan'si'bu'cheng'xian
丹之所藏者赤,dan'zhi'suo'cang'zhe'chi
当面锣背面鼓,dang'mian'luo'bei'mian'gu
当一天和尚撞一天钟,dang'yi'tian'he'shang'zhuang'yi'tian'zhong
道不同不相为谋,dao'bu'tong'bu'xiang'wei'mou
道是无晴却有晴,dao'shi'wu'qing'que'you'qing
得来全不费工夫,de'lai'quan'bu'fei'gong'fu
得理不饶人,de'li'bu'rao'ren
得饶人处且饶人,de'rao'ren'chu'qie'rao'ren
低头不见抬头见,di'tou'bu'jian'tai'tou'jian
点背不能怨社会,dian'bei'bu'neng'yuan'she'hui
丢了西瓜捡芝麻,diu'le'xi'gua'jian'zhi'ma
东边日头西边雨,dong'bian'ri'tou'xi'bian'yu
东方不亮西方亮,dong'fang'bu'liang'xi'fang'liang
东风吹马耳,dong'feng'chui'ma'er
动口不动手,dong'kou'bu'dong'shou
斗室天师热热天,dou'shi'tian'shi're're'tian
独木不成林,du'mu'bu'cheng'lin
读书破万卷,du'shu'po'wan'juan
独乐乐不若众乐乐,du'yue'le'bu'ruo'zhong'yue'le
蠹啄剖梁柱,du'zhuo'pou'liang'zhu
度君子之腹,duo'jun'zi'zhi'fu
恶人先告状,e'ren'xian'gao'zhuang
恶事传千里,e'shi'chuan'qian'li
儿孙自有儿孙福,er'sun'zi'you'er'sun'fu
二桃杀三士,er'tao'sha'san'shi
耳闻不如面见,er'wen'bu'ru'mian'jian
耳闻不如眼见,er'wen'bu'ru'yan'jian
儿行千里母担忧,er'xing'qian'li'mu'dan'you
二一添作五,er'yi'tian'zuo'wu
二者必居其一,er'zhe'bi'ju'qi'yi
翻脸不认人,fan'lian'bu'ren'ren
烦恼皆因强出头,fan'nao'jie'yin'qiang'chu'tou
反其道而行之,fan'qi'dao'er'xing'zhi
凡人不可貌相,fan'ren'bu'ke'mao'xiang
凡事预则立,fan'shi'yu'ze'li
犯天下之大不韪,fan'tian'xia'zhi'da'bu'wei
放长线钓大鱼,fang'chang'xian'diao'da'yu
防患于未然,fang'huan'yu'wei'ran
放之四海而皆准,fang'zhi'si'hai'er'jie'zhun
肥水不流外人田,fei'shui'bu'liu'wai'ren'tian
非一日之寒,fei'yi'ri'zhi'han
风马牛不相及,feng'ma'niu'bu'xiang'ji
逢人只说三分话,feng'ren'zhi'shuo'san'fen'hua
佛要金装,fo'yao'jin'zhuang
覆巢无完卵,fu'chao'wu'wan'luan
富贵不能淫,fu'gui'bu'neng'yin
富贵定要安本分,fu'gui'ding'yao'an'ben'fen
俯首甘为孺子牛,fu'shou'gan'wei'ru'zi'niu
福兮祸所伏,fu'xi'huo'suo'fu
敢把皇帝拉下马,gan'ba'huang'di'la'xia'ma
干打雷不下雨,gan'da'lei'bu'xia'yu
敢怒不敢言,gan'nu'bu'gan'yan
敢怒而不敢言,gan'nu'er'bu'gan'yan
敢为天下先,gan'wei'tian'xia'xian
赶鸭子上架,gan'ya'zi'shang'jia
高处不胜寒,gao'chu'bu'sheng'han
高峡出平湖,gao'xia'chu'ping'hu
隔行如隔山,ge'hang'ru'ge'shan
割鸡焉用牛刀,ge'ji'yan'yong'niu'dao
革命尚未成功诸君尚需努力,ge'ming'shang'wei'cheng'gong'zhu'jun'shang'xu'nu'li
各人自扫门前雪,ge'ren'zi'sao'men'qian'xue
隔山买老牛,ge'shan'mai'lao'niu
给鼻子上脸,gei'bi'zi'shang'lian
给脸不要脸,gei'lian'bu'yao'lian
给你脸就上大红,gei'ni'lian'jiu'shang'da'hong
更上一层楼,geng'shang'yi'ceng'lou
耕者有其田,geng'zhe'you'qi'tian
公道自在人心,gong'dao'zi'zai'ren'xin
觥饭不及壶飧,gong'fan'bu'ji'hu'sun
功夫不负有心人,gong'fu'bu'fu'you'xin'ren
工夫不负有心人,gong'fu'bu'fu'you'xin'ren
公侯肚里好撑船,gong'hou'du'li'hao'cheng'chuan
恭敬不如从命,gong'jing'bu'ru'cong'ming
工欲善其事,gong'yu'shan'qi'shi
工欲善其事必先利其器,gong'yu'shan'qi'shi'bi'xian'li'qi'qi
狗吃月亮差天远,gou'chi'yue'liang'cha'tian'yuan
狗肉不上宴席,gou'rou'bu'shang'yan'xi
狗咬吕洞宾,gou'yao'lv'dong'bin
狗嘴里吐不出象牙,gou'zui'li'tu'bu'chu'xiang'ya
狗嘴吐不出象牙,gou'zui'tu'bu'chu'xiang'ya
顾前不顾后,gu'qian'bu'gu'hou
顾头不顾尾,gu'tou'bu'gu'wei
顾左右而言他,gu'zuo'you'er'yan'ta
寡妇门前是非多,gua'fu'men'qian'shi'fei'duo
瓜田不纳履,gua'tian'bu'na'lv
挂羊头卖狗肉,gua'yang'tou'mai'gou'rou
关公面前耍大刀,guan'gong'mian'qian'shua'da'dao
光天化日之下,guang'tian'hua'ri'zhi'xia
贵冠履轻头足,gui'guan'lv'qing'tou'zu
桂林山水甲天下,gui'lin'shan'shui'jia'tian'xia
贵人多忘事,gui'ren'duo'wang'shi
过把瘾就死,guo'ba'yin'jiu'si
过河卒子赛如车,guo'he'zu'zi'sai'ru'ju
国乱思良将,guo'luan'si'liang'jiang
国清才子贵,guo'qing'cai'zi'gui
果然不出所料,guo'ran'bu'chu'suo'liao
过屠门而大嚼,guo'tu'men'er'da'jue
海底捞月一场空,hai'di'lao'yue'yi'chang'kong
海内存知己,hai'nei'cun'zhi'ji
海水不可斗量,hai'shui'bu'ke'dou'liang
汉贼不两立,han'zei'bu'liang'li
含着骨头露着肉,han'zhe'gu'tou'lu'zhe'rou
行行出状元,hang'hang'chu'zhuang'yuan
好不到哪里去,hao'bu'dao'na'li'qu
好风凭借力,hao'feng'ping'jie'li
好钢用在刀刃上,hao'gang'yong'zai'dao'ren'shang
好狗不挡道,hao'gou'bu'dang'dao
好汉不吃眼前亏,hao'han'bu'chi'yan'qian'kui
好汉不提当年勇,hao'han'bu'ti'dang'nian'yong
好话一句三冬暖,hao'hua'yi'ju'san'dong'nuan
好了疮疤忘了痛,hao'le'chuang'ba'wang'le'tong
好马不吃回头草,hao'ma'bu'chi'hui'tou'cao
好马配好鞍,hao'ma'pei'hao'an
好男不跟女斗,hao'nan'bu'gen'nv'dou
好男不与女斗,hao'nan'bu'yu'nv'dou
好女不愁嫁,hao'nv'bu'chou'jia
好女不穿嫁时衣,hao'nv'bu'chuan'jia'shi'yi
好女不嫁二夫,hao'nv'bu'jia'er'fu
好事不出门,hao'shi'bu'chu'men
好死不如赖活着,hao'si'bu'ru'lai'huo'zhe
好心不得好报,hao'xin'bu'de'hao'bao
好心做了驴肝肺,hao'xin'zuo'le'lv'gan'fei
何乐而不为,he'le'er'bu'wei
何其相似乃尔,he'qi'xiang'si'nai'er
河水不洗船,he'shui'bu'xi'chuan
狠辣空手道毫厘,hen'la'kong'shou'dao'hao'li
恨铁不成钢,hen'tie'bu'cheng'gang
横眉冷对千夫指,heng'mei'leng'dui'qian'fu'zhi
横挑鼻子竖挑眼,heng'tiao'bi'zi'shu'tiao'yan
后浪推前浪,hou'lang'tui'qian'lang
虎父无犬子,hu'fu'wu'quan'zi
虎落平阳被犬欺,hu'luo'ping'yang'bei'quan'qi
猢狲入布袋,hu'sun'ru'bu'dai
话不投机半句多,hua'bu'tou'ji'ban'ju'duo
化腐朽为神奇,hua'fu'xiu'wei'shen'qi
化干戈为玉帛,hua'gan'ge'wei'yu'bo
画虎画皮难画骨,hua'hu'hua'pi'nan'hua'gu
花钱买罪受,hua'qian'mai'zui'shou
花钱如流水,hua'qian'ru'liu'shui
换汤不换药,huan'tang'bu'huan'yao
还治其人之身,huan'zhi'qi'ren'zhi'shen
皇帝轮流做,huang'di'lun'liu'zuo
皇帝女儿不愁嫁,huang'di'nv'er'bu'chou'jia
惶惶不可终日,huang'huang'bu'ke'zhong'ri
黄金未为贵,huang'jin'wei'wei'gui
黄金有价玉无价,huang'jin'you'jia'yu'wu'jia
悔过乔自新,hui'guo'qiao'zi'xin
慧剑斩情丝,hui'jian'zhan'qing'si
慧眼识英雄,hui'yan'shi'ying'xiong
祸兮福所倚,huo'xi'fu'suo'yi
鸡蛋里挑骨头,ji'dan'li'tiao'gu'tou
鸡蛋里找骨头,ji'dan'li'zhao'gu'tou
疾风扫秋叶,ji'feng'sao'qiu'ye
机关算尽太聪明,ji'guan'suan'jin'tai'cong'ming
急急如律令,ji'ji'ru'lv'ling
急来报佛脚,ji'lai'bao'fo'jiao
鸡烂嘴巴硬,ji'lan'zui'ba'ying
疾雷不及掩耳,ji'lei'bu'ji'yan'er
鸡毛当令箭,ji'mao'dang'ling'jian
鸡犬之声相闻,ji'quan'zhi'sheng'xiang'wen
吉人自有天相,ji'ren'zi'you'tian'xiang
祭神如神在,ji'shen'ru'shen'zai
急时抱佛脚,ji'shi'bao'fo'jiao
几十年如一日,ji'shi'nian'ru'yi'ri
鸡窝飞出金凤凰,ji'wo'fei'chu'jin'feng'huang
即以其人之道,ji'yi'qi'ren'zhi'dao
家丑不可外扬,jia'chou'bu'ke'wai'yang
家和万事兴,jia'he'wan'shi'xing
家花没有野花香,jia'hua'mei'you'ye'hua'xiang
家家有本难念的经,jia'jia'you'ben'nan'nian'de'jing
家贫知孝子,jia'pin'zhi'xiao'zi
家有丑妻是个宝,jia'you'chou'qi'shi'ge'bao
假作真时真亦假,jia'zuo'zhen'shi'zhen'yi'jia
见物不见人,jian'wu'bu'jian'ren
江山代有才人出,jiang'shan'dai'you'cai'ren'chu
姜是老的辣,jiang'shi'lao'de'la
将相头上堪走马,jiang'xiang'tou'shang'kan'zou'ma
骄傲使人落后,jiao'ao'shi'ren'luo'hou
脚踏两条船,jiao'ta'liang'tiao'chuan
脚踏两只船,jiao'ta'liang'zhi'chuan
解铃还需系铃人,jie'ling'hai'xu'xi'ling'ren
解铃还须系铃人,jie'ling'hai'xu'xi'ling'ren
金榜提名时,jin'bang'ti'ming'shi
晋代衣冠成古丘,jin'dai'yi'guan'cheng'gu'qiu
近山识鸟音,jin'shan'shi'niao'yin
尽是沙中浪底来,jin'shi'sha'zhong'lang'di'lai
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
近水知鱼性,jin'shui'zhi'yu'xing
劲往一处使,jin'wang'yi'chu'shi
近乡情更怯,jin'xiang'qing'geng'qie
今朝有酒今朝醉,jin'zhao'you'jiu'jin'zhao'zui
敬酒不吃吃罚酒,jing'jiu'bu'chi'chi'fa'jiu
井水不犯河水,jing'shui'bu'fan'he'shui
惊天地泣鬼神,jing'tian'di'qi'gui'shen
久病无孝子,jiu'bing'wu'xiao'zi
酒不醉人人自醉,jiu'bu'zui'ren'ren'zi'zui
旧的不去新的不来,jiu'de'bu'qu'xin'de'bu'lai
九鼎不足为重,jiu'ding'bu'zu'wei'zhong
酒逢知己千杯少,jiu'feng'zhi'ji'qian'bei'shao
旧貌换新颜,jiu'mao'huan'xin'yan
救民于水火,jiu'min'yu'shui'huo
九牛二虎之力,jiu'niu'er'hu'zhi'li
九牛拉不转,jiu'niu'la'bu'zhuan
旧瓶装新酒,jiu'ping'zhuang'xin'jiu
酒香不怕巷子深,jiu'xiang'bu'pa'xiang'zi'shen
酒中不语真君子,jiu'zhong'bu'yu'zhen'jun'zi
举头三尺有神明,ju'tou'san'chi'you'shen'ming
居者有其屋,ju'zhe'you'qi'wu
攫金不见人,jue'jin'bu'jian'ren
君子动口不动手,jun'zi'dong'kou'bu'dong'shou
君子坦荡荡,jun'zi'tan'dang'dang
君子之交淡如水,jun'zi'zhi'jiao'dan'ru'shui
开弓不放箭,kai'gong'bu'fang'jian
开弓没有回头箭,kai'gong'mei'you'hui'tou'jian
开口告人难,kai'kou'gao'ren'nan
看你横行到几时,kan'ni'heng'xing'dao'ji'shi
看人挑担不吃力,kan'ren'tiao'dan'bu'chi'li
慷他人之慨,kang'ta'ren'zhi'kai
可怜天下父母心,ke'lian'tian'xia'fu'mu'xin
可怜夜半虚前席,ke'lian'ye'ban'xu'qian'xi
可望而不可及,ke'wang'er'bu'ke'ji
可笑不自量,ke'xiao'bu'zi'liang
苛政猛于虎,ke'zheng'meng'yu'hu
空口说白话,kong'kou'shuo'bai'hua
空手套白狼,kong'shou'tao'bai'lang
口惠而实不至,kou'hui'er'shi'bu'zhi
苦恨年年压金线,ku'hen'nian'nian'ya'jin'xian
枯木逢春犹再发,ku'mu'feng'chun'you'zai'fa
快刀斩乱麻,kuai'dao'zhan'luan'ma
捆绑不成夫妻,kun'bang'bu'cheng'fu'qi
拉不出屎来怨茅坑,la'bu'chu'shi'lai'yuan'mao'keng
拉大旗做虎皮,la'da'qi'zuo'hu'pi
来而不往非礼也,lai'er'bu'wang'fei'li'ye
癞蛤蟆想吃天鹅肉,lai'ha'ma'xiang'chi'tian'e'rou
烂船也有三千钉,lan'chuan'ye'you'san'qian'ding
烂泥扶不上墙,lan'ni'fu'bu'shang'qiang
懒人屎尿多,lan'ren'shi'niao'duo
浪子回头金不换,lang'zi'hui'tou'jin'bu'huan
老虎屁股摸不得,lao'hu'pi'gu'mo'bu'de
老鼠生来会打洞,lao'shu'sheng'lai'hui'da'dong
老死不相来往,lao'si'bu'xiang'lai'wang
老死不相往来,lao'si'bu'xiang'wang'lai
老中青三结合,lao'zhong'qing'san'jie'he
雷声大雨点小,lei'sheng'da'yu'dian'xiao
篱牢犬不入,li'lao'quan'bu'ru
理论联系实际,li'lun'lian'xi'shi'ji
礼轻情意重,li'qing'qing'yi'zhong
离土不离乡,li'tu'bu'li'xiang
李下不整冠,li'xia'bu'zheng'guan
立于不败之地,li'yu'bu'bai'zhi'di
连想都不敢想,lian'xiang'dou'bu'gan'xiang
两耳不闻窗外事,liang'er'bu'wen'chuang'wai'shi
两条腿走路,liang'tiao'tui'zou'lu
烈火见真金,lie'huo'jian'zhen'jin
临兵斗者皆阵列在前,lin'bing'dou'zhe'jie'zhen'lie'zai'qian
临上轿现扎耳朵眼儿,lin'shang'jiao'xian'zha'er'duo'yan'er
临时抱佛脚,lin'shi'bao'fo'jiao
临阵磨枪不快也亮,lin'zhen'mo'qiang'bu'kuai'ye'liang
林子大了什么鸟都有,lin'zi'da'le'shen'me'niao'dou'you
菱角磨作鸡头,ling'jiao'mo'zuo'ji'tou
柳暗花明又一村,liu'an'hua'ming'you'yi'cun
留得青山在,liu'de'qing'shan'zai
六耳不同谋,liu'er'bu'tong'mou
柳树上着刀,liu'shu'shang'zhao'dao
流言止于智者,liu'yan'zhi'yu'zhi'zhe
龙游浅水遭虾戏,long'you'qian'shui'zao'xia'xi
鲁班门前弄大斧,lu'ban'men'qian'nong'da'fu
路边的野花不要采,lu'bian'de'ye'hua'bu'yao'cai
路不行不到,lu'bu'xing'bu'dao
庐山真面目,lu'shan'zhen'mian'mu
鹿死不择音,lu'si'bu'ze'yin
路遥知马力,lu'yao'zhi'ma'li
乱点鸳鸯谱,luan'dian'yuan'yang'pu
骆驼瘦死也比马大,luo'tuo'shou'si'ye'bi'ma'da
驴唇不对马嘴,lv'chun'bu'dui'ma'zui
麻秆打狼两头怕,ma'gan'da'lang'liang'tou'pa
马善被人骑,ma'shan'bei'ren'qi
马无夜草不肥,ma'wu'ye'cao'bu'fei
蚂蚁啃骨头,ma'yi'ken'gu'tou
满清十大酷刑,man'qing'shi'da'ku'xing
忙得不可开交,mang'de'bu'ke'kai'jiao
忙得不亦乐乎,mang'de'bu'yi'le'hu
茫然不知所措,mang'ran'bu'zhi'suo'cuo
冒天下之大不韪,mao'tian'xia'zhi'da'bu'wei
每逢佳节倍思亲,mei'feng'jia'jie'bei'si'qin
眉毛胡子一把抓,mei'mao'hu'zi'yi'ba'zhua
没事偷着乐,mei'shi'tou'zhe'le
没有不透风的墙,mei'you'bu'tou'feng'de'qiang
门前冷落车马稀,men'qian'leng'luo'che'ma'xi
闷声发大财,men'sheng'fa'da'cai
猕猴骑土牛,mi'hou'qi'tu'niu
免费的午餐,mian'fei'de'wu'can
庙穷和尚富,miao'qiong'he'shang'fu
民以食为天,min'yi'shi'wei'tian
命比纸薄,ming'bi'zhi'bao
名不见经传,ming'bu'jian'jing'zhuan
名不正则言不顺,ming'bu'zheng'ze'yan'bu'shun
明察秋毫之末,ming'cha'qiu'hao'zhi'mo
命里无时莫强求,ming'li'wu'shi'mo'qiang'qiu
明人不做暗事,ming'ren'bu'zuo'an'shi
明日复明日,ming'ri'fu'ming'ri
明日何其多,ming'ri'he'qi'duo
名师出高徒,ming'shi'chu'gao'tu
明知山有虎,ming'zhi'shan'you'hu
摸不着头脑,mo'bu'zhao'tou'nao
莫愁前路无知己,mo'chou'qian'lu'wu'zhi'ji
磨刀不误砍柴工,mo'dao'bu'wu'kan'chai'gong
莫等闲白了少年头,mo'deng'xian'bai'le'shao'nian'tou
莫管他人瓦上霜,mo'guan'ta'ren'wa'shang'shuang
莫言马上得天下,mo'yan'ma'shang'de'tian'xia
抹一鼻子灰,mo'yi'bi'zi'hui
莫与儿孙作马牛,mo'yu'er'sun'zuo'ma'niu
那个背后不说人,na'ge'bei'hou'bu'shuo'ren
男不男女不女,nan'bu'nan'nv'bu'nv
男儿膝下有黄金,nan'er'xi'xia'you'huang'jin
男儿有泪不轻弹,nan'er'you'lei'bu'qing'tan
男女搭配干活不累,nan'nv'da'pei'gan'huo'bu'lei
男女授受不亲,nan'nv'shou'shou'bu'qin
难为无米之炊,nan'wei'wu'mi'zhi'chui
能忍者自安,neng'ren'zhe'zi'an
泥菩萨过河,ni'pu'sa'guo'he
泥菩萨过江,ni'pu'sa'guo'jiang
拧成一股绳,ning'cheng'yi'gu'sheng
宁可信其有,ning'ke'xin'qi'you
牛不喝水强按头,niu'bu'he'shui'qiang'an'tou
牛头不对马嘴,niu'tou'bu'dui'ma'zui
怒从心上起,nu'cong'xin'shang'qi
女大不中留,nv'da'bu'zhong'liu
女大十八变,nv'da'shi'ba'bian
女子无才便是德,nv'zi'wu'cai'bian'shi'de
赔本赚吆喝,pei'ben'zhuan'yao'he
赔了夫人又折兵,pei'le'fu'ren'you'zhe'bing
碰了一鼻子灰,peng'le'yi'bi'zi'hui
碰一鼻子灰,peng'yi'bi'zi'hui
蚍蜉撼大树,pi'fu'han'da'shu
偏向虎山行,pian'xiang'hu'shan'xing
贫贱不能移,pin'jian'bu'neng'yi
贫贱夫妻百事哀,pin'jian'fu'qi'bai'shi'ai
贫无立锥之地,pin'wu'li'zhui'zhi'di
贫无义士将金赠,pin'wu'yi'shi'jiang'jin'zeng
平地起孤丁,ping'di'qi'gu'ding
平地一声雷,ping'di'yi'sheng'lei
破鼓乱人捶,po'gu'luan'ren'chui
破罐子破摔,po'guan'zi'po'shuai
破题儿第一遭,po'ti'er'di'yi'zao
气不打一处来,qi'bu'da'yi'chu'lai
七次量衣一次裁,qi'ci'liang'yi'yi'ci'cai
起死人肉白骨,qi'si'ren'rou'bai'gu
妻贤夫祸少,qi'xian'fu'huo'shao
弃之如敝屣,qi'zhi'ru'bi'xi
前不见古人,qian'bu'jian'gu'ren
钱财如粪土,qian'cai'ru'fen'tu
千里不同风,qian'li'bu'tong'feng
千里始于足下,qian'li'shi'yu'zu'xia
千里送鹅毛,qian'li'song'e'mao
千里姻缘一线牵,qian'li'yin'yuan'yi'xian'qian
千里之行始于足下,qian'li'zhi'xing'shi'yu'zu'xia
前怕狼后怕虎,qian'pa'lang'hou'pa'hu
千世修来共枕眠,qian'shi'xiu'lai'gong'zhen'mian
前言不搭后语,qian'yan'bu'da'hou'yu
强不知以为知,qiang'bu'zhi'yi'wei'zhi
枪打出头鸟,qiang'da'chu'tou'niao
墙倒众人推,qiang'dao'zhong'ren'tui
强将手下无弱兵,qiang'jiang'shou'xia'wu'ruo'bing
墙里开花墙外香,qiang'li'kai'hua'qiang'wai'xiang
强龙不压地头蛇,qiang'long'bu'ya'di'tou'she
墙内花开墙外香,qiang'nei'hua'kai'qiang'wai'xiang
强扭的瓜不甜,qiang'niu'de'gua'bu'tian
强中更有强中手,qiang'zhong'geng'you'qiang'zhong'shou
强中自有强中手,qiang'zhong'zi'you'qiang'zhong'shou
巧妇难为无米之炊,qiao'fu'nan'wei'wu'mi'zhi'chui
巧妇难做无米之粥,qiao'fu'nan'zuo'wu'mi'zhi'zhou
敲葫芦震瓢,qiao'hu'lu'zhen'piao
亲兄弟明算账,qin'xiong'di'ming'suan'zhang
擒贼先擒王,qin'zei'xian'qin'wang
