黯然销魂,an'ran'xiao'hun
道德玄坛咒,dao'de'xuan'tan'zhou
刀盾召唤阵,dao'dun'zhao'huan'zhen
刀法招式,dao'fa'zhao'shi
道家招式,dao'jia'zhao'shi
刀降修罗,dao'jiang'xiu'luo
刀山火海,dao'shan'huo'hai
地官赦罪,di'guan'she'zui
电光火石,dian'guang'huo'shi
点化之术,dian'hua'zhi'shu
电闪雷鸣,dian'shan'lei'ming
洞察诀,dong'cha'jue
毒性芳香,du'xing'fang'xiang
毒牙撕咬,du'ya'si'yao
锻造技巧,duan'zao'ji'qiao
锻造所,duan'zao'suo
多闻天王咒,duo'wen'tian'wang'zhou
法宝,fa'bao
罚恶令,fa'e'ling
法力侵蚀,fa'li'qin'shi
法师,fa'shi
法术暴击,fa'shu'bao'ji
法术连击,fa'shu'lian'ji
法术修炼,fa'shu'xiu'lian
法术研究所,fa'shu'yan'jiu'suo
法术指挥修炼,fa'shu'zhi'hui'xiu'lian
返魂术,fan'hun'shu
反击,fan'ji
翻天手印,fan'tian'shou'yin
繁星满天,fan'xing'man'tian
防具,fang'ju
防御,fang'yu
防御修炼,fang'yu'xiu'lian
防御指挥修炼,fang'yu'zhi'hui'xiu'lian
防御准备,fang'yu'zhun'bei
飞花摘叶,fei'hua'zhai'ye
飞火流星,fei'huo'liu'xing
非礼勿动,fei'li'wu'dong
非礼勿视,fei'li'wu'shi
非礼勿听,fei'li'wu'ting
非礼勿言,fei'li'wu'yan
飞流三千尺,fei'liu'san'qian'chi
飞龙夺珠,fei'long'duo'zhu
飞沙走石,fei'sha'zou'shi
飞行,fei'xing
飞星乱舞,fei'xing'luan'wu
飞贼,fei'zei
奋笔疾书,fen'bi'ji'shu
分筋错骨,fen'jin'cuo'gu
愤怒,fen'nu
分天割幕,fen'tian'ge'mu
风驰电掣,feng'chi'dian'che
风吹浪打,feng'chui'lang'da
封经闭脉,feng'jing'bi'mai
风卷残云,feng'juan'can'yun
疯狂法连,feng'kuang'fa'lian
疯狂连击,feng'kuang'lian'ji
风起轻涟,feng'qi'qing'lian
风起云涌,feng'qi'yun'yong
风舞莲华,feng'wu'lian'hua
风云符,feng'yun'fu
佛光抚顶,fo'guang'fu'ding
佛光普照,fo'guang'pu'zhao
佛家招式,fo'jia'zhao'shi
负沧海,fu'cang'hai
浮光暗影,fu'guang'an'ying
伏鬼符,fu'gui'fu
附魔防御,fu'mo'fang'yu
附魔攻击,fu'mo'gong'ji
附魔力道,fu'mo'li'dao
附魔灵力,fu'mo'ling'li
附魔魔法,fu'mo'mo'fa
附魔气血,fu'mo'qi'xue
附魔速度,fu'mo'su'du
蝮蛇蛊,fu'she'gu
腐蚀毒粉,fu'shi'du'fen
复苏,fu'su
浮云托日,fu'yun'tuo'ri
辅助,fu'zhu
干柴烈火,gan'chai'lie'huo
干扰准备,gan'rao'zhun'bei
感知,gan'zhi
高级必杀,gao'ji'bi'sha
高级冲击,gao'ji'chong'ji
高级刺甲,gao'ji'ci'jia
高级法力侵蚀,gao'ji'fa'li'qin'shi
高级法术连击,gao'ji'fa'shu'lian'ji
高级反击,gao'ji'fan'ji
高级防御,gao'ji'fang'yu
高级飞行,gao'ji'fei'xing
高级感知,gao'ji'gan'zhi
高级慧根,gao'ji'hui'gen
高级技能,gao'ji'ji'neng
高级力道侵蚀,gao'ji'li'dao'qin'shi
高级连击,gao'ji'lian'ji
高级灵敏,gao'ji'ling'min
高级灵通术,gao'ji'ling'tong'shu
高级命中,gao'ji'ming'zhong
高级魔法反击,gao'ji'mo'fa'fan'ji
高级魔法回击,gao'ji'mo'fa'hui'ji
高级魔法天份,gao'ji'mo'fa'tian'fen
高级破魔,gao'ji'po'mo
高级强力,gao'ji'qiang'li
高级强壮,gao'ji'qiang'zhuang
高级驱鬼术,gao'ji'qu'gui'shu
高级闪击,gao'ji'shan'ji
高级神迹,gao'ji'shen'ji
高级神佑,gao'ji'shen'you
高级偷袭,gao'ji'tou'xi
高级幸运,gao'ji'xing'yun
高级迅捷,gao'ji'xun'jie
高级隐身术,gao'ji'yin'shen'shu
高级再生,gao'ji'zai'sheng
高级智慧,gao'ji'zhi'hui
工厂系统,gong'chang'xi'tong
攻击修炼,gong'ji'xiu'lian
攻击指挥修炼,gong'ji'zhi'hui'xiu'lian
攻击准备,gong'ji'zhun'bei
恭喜发财,gong'xi'fa'cai
工艺,gong'yi
工艺技术,gong'yi'ji'shu
古董评估,gu'dong'ping'gu
古木迷宫二层,gu'mu'mi'gong'er'ceng
古木迷宫三层,gu'mu'mi'gong'san'ceng
古木迷宫四层,gu'mu'mi'gong'si'ceng
古木迷宫五层,gu'mu'mi'gong'wu'ceng
古木迷宫一层,gu'mu'mi'gong'yi'ceng
古树精,gu'shu'jing
怪物农场,guai'wu'nong'chang
怪物农场庆典,guai'wu'nong'chang'qing'dian
归队,gui'dui
鬼魂性质,gui'hun'xing'zhi
鬼火,gui'huo
归神术,gui'shen'shu
鬼王伏法,gui'wang'fu'fa
鬼系抵抗,gui'xi'di'kang
鬼系弱点,gui'xi'ruo'dian
归心术,gui'xin'shu
鬼域魔王阵,gui'yu'mo'wang'zhen
鬼爪飞击,gui'zhao'fei'ji
国宝任务,guo'bao'ren'wu
海底神殿,hai'di'shen'dian
海阔天空,hai'kuo'tian'kong
寒冰巨人,han'bing'ju'ren
寒月森林,han'yue'sen'lin
浩然正气,hao'ran'zheng'qi
和为贵,he'wei'gui
黑云压城,hei'yun'ya'cheng
恒河沙,heng'he'sha
横扫千军,heng'sao'qian'jun
虎头怪,hu'tou'guai
画地为牢,hua'di'wei'lao
化繁为简,hua'fan'wei'jian
化险为夷,hua'xian'wei'yi
怀中抱月,huai'zhong'bao'yue
幻境海岸,huan'jing'hai'an
幻雾朦胧,huan'wu'meng'long
黄龙中威,huang'long'zhong'wei
荒羽半岛,huang'yu'ban'dao
黄钟大吕,huang'zhong'da'lv
回顶部,hui'ding'bu
慧根,hui'gen
回光返照,hui'guang'fan'zhao
挥毫泼墨,hui'hao'po'mo
讳疾忌医,hui'ji'ji'yi
回梦降,hui'meng'jiang
回神术,hui'shen'shu
秽土转生,hui'tu'zhuan'sheng
回心术,hui'xin'shu
混沌归元,hun'dun'gui'yuan
魂飞魄散,hun'fei'po'san
火攻,huo'gong
活血术,huo'xue'shu
疾风谷,ji'feng'gu
疾风骤雨,ji'feng'zhou'yu
击溃,ji'kui
极乐回天,ji'le'hui'tian
技能名称,ji'neng'ming'cheng
击退,ji'tui
击制,ji'zhi
家具,jia'ju
加洛国,jia'luo'guo
驾驭术,jia'yu'shu
鉴定之术,jian'ding'zhi'shu
剑法招式,jian'fa'zhao'shi
剑气四射,jian'qi'si'she
江湖志,jiang'hu'zhi
降六天魔印,jiang'liu'tian'mo'yin
僵尸,jiang'shi
降天雷,jiang'tian'lei
交易中心,jiao'yi'zhong'xin
结拜系统,jie'bai'xi'tong
结婚系统,jie'hun'xi'tong
节日礼物,jie'ri'li'wu
借尸还魂,jie'shi'huan'hun
金蚕蛊,jin'can'gu
金刚伏魔,jin'gang'fu'mo
金刚咒,jin'gang'zhou
金戈铁马,jin'ge'tie'ma
金光叠浪,jin'guang'die'lang
禁鬼决,jin'gui'jue
金花鼠,jin'hua'shu
金绿沙洲,jin'lv'sha'zhou
精雕细琢,jing'diao'xi'zhuo
镜空咒,jing'kong'zhou
精灵护符,jing'ling'hu'fu
静默无言,jing'mo'wu'yan
精疲力竭,jing'pi'li'jie
精神打击,jing'shen'da'ji
净土无秽,jing'tu'wu'hui
静以修身,jing'yi'xiu'shen
九宫逆转,jiu'gong'ni'zhuan
九龙项圈,jiu'long'xiang'quan
九星连珠,jiu'xing'lian'zhu
巨蟒,ju'mang
剧情任务,ju'qing'ren'wu
举穹天,ju'qiong'tian
聚神术,ju'shen'shu
聚心术,ju'xin'shu
聚义堂,ju'yi'tang
君子喻义,jun'zi'yu'yi
抗毒,kang'du
抗法修炼,kang'fa'xiu'lian
抗法指挥修炼,kang'fa'zhi'hui'xiu'lian
克己复礼,ke'ji'fu'li
科技任务,ke'ji'ren'wu
科技系统,ke'ji'xi'tong
客星追月,ke'xing'zhui'yue
恐怖,kong'bu
空谷锋鸣,kong'gu'feng'ming
恐吓,kong'he
空穴来风,kong'xue'lai'feng
口蜜腹剑,kou'mi'fu'jian
骷髅,ku'lou
枯木盘根,ku'mu'pan'gen
快速准备,kuai'su'zhun'bei
狂暴,kuang'bao
狼人,lang'ren
狼勇士,lang'yong'shi
勒紧的,lei'jin'de
雷霆震狱,lei'ting'zhen'yu
力道恢复,li'dao'hui'fu
力道侵蚀,li'dao'qin'shi
力敌抵抗,li'di'di'kang
力敌弱点,li'di'ruo'dian
力敌招式擅长,li'di'zhao'shi'shan'chang
力劈华山,li'pi'hua'shan
力挽狂澜,li'wan'kuang'lan
力震,li'zhen
镰刀僵尸,lian'dao'jiang'shi
练功房,lian'gong'fang
连击,lian'ji
炼金技巧,lian'jin'ji'qiao
炼金精通,lian'jin'jing'tong
两仪调和,liang'yi'tiao'he
聊天系统,liao'tian'xi'tong
裂风符,lie'feng'fu
烈火鸟,lie'huo'niao
猎人擅长,lie'ren'shan'chang
烈炎爆破,lie'yan'bao'po
猎鹰,lie'ying
裂云斩空,lie'yun'zhan'kong
灵风塔二层,ling'feng'ta'er'ceng
灵风塔三层,ling'feng'ta'san'ceng
灵风塔一层,ling'feng'ta'yi'ceng
灵感强化,ling'gan'qiang'hua
灵感弱化,ling'gan'ruo'hua
灵敏,ling'min
灵气决,ling'qi'jue
灵巧抵抗,ling'qiao'di'kang
灵巧弱点,ling'qiao'ruo'dian
灵巧招式擅长,ling'qiao'zhao'shi'shan'chang
灵蛇出洞,ling'she'chu'dong
灵石塔二层,ling'shi'ta'er'ceng
灵石塔三层,ling'shi'ta'san'ceng
灵石塔四层,ling'shi'ta'si'ceng
灵石塔五层,ling'shi'ta'wu'ceng
灵石塔一层,ling'shi'ta'yi'ceng
灵石项圈,ling'shi'xiang'quan
灵通术,ling'tong'shu
灵王镇狱,ling'wang'zhen'yu
领悟系统,ling'wu'xi'tong
六道轮回,liu'dao'lun'hui
流光岛,liu'guang'dao
流光异彩,liu'guang'yi'cai
六甲秘祝,liu'jia'mi'zhu
流水诀,liu'shui'jue
流星,liu'xing
龙飞凤舞,long'fei'feng'wu
龙飞九天,long'fei'jiu'tian
龙行八荒,long'hang'ba'huang
龙角护符,long'jiao'hu'fu
龙腾四海,long'teng'si'hai
龙象纯阳,long'xiang'chun'yang
龙炎符,long'yan'fu
庐山升龙,lu'shan'sheng'long
乱花缀雪,luan'hua'zhui'xue
乱神决,luan'shen'jue
乱舞冲击,luan'wu'chong'ji
萝卜大作战,luo'bo'da'zuo'zhan
萝卜召唤阵,luo'bo'zhao'huan'zhen
落花抚叶,luo'hua'fu'ye
落雷,luo'lei
落日海湾,luo'ri'hai'wan
落雪冰原,luo'xue'bing'yuan
落叶知秋,luo'ye'zhi'qiu
绿晶蜥,lv'jing'xi
绿湾林地,lv'wan'lin'di
蛮触争疆,man'chu'zheng'jiang
漫天风雪,man'tian'feng'xue
毛草团,mao'cao'tuan
魅惑乾坤,mei'huo'qian'kun
媚笑,mei'xiao
梦境寻宝,meng'jing'xun'bao
梦魔鬼契,meng'mo'gui'qi
梦想集市,meng'xiang'ji'shi
梦想世界,meng'xiang'shi'jie
迷魂降,mi'hun'jiang
迷踪,mi'zong
妙笔生花,miao'bi'sheng'hua
妙手回春,miao'shou'hui'chun
冥波暗动,ming'bo'an'dong
名称,ming'cheng
命归术,ming'gui'shu
明镜止水,ming'jing'zhi'shui
命疗术,ming'liao'shu
明王镇狱,ming'wang'zhen'yu
命中,ming'zhong
魔动乾坤,mo'dong'qian'kun
魔法毒咒,mo'fa'du'zhou
魔法反击,mo'fa'fan'ji
魔法恢复,mo'fa'hui'fu
魔法回击,mo'fa'hui'ji
魔法潜力,mo'fa'qian'li
魔法天份,mo'fa'tian'fen
魔感灵动,mo'gan'ling'dong
魔灵召唤阵,mo'ling'zhao'huan'zhen
魔刃投掷,mo'ren'tou'zhi
魔蝎,mo'xie
魔影斩,mo'ying'zhan
魔蜘蛛,mo'zhi'zhu
木灵还神,mu'ling'hai'shen
木王蛊,mu'wang'gu
木秀于林,mu'xiu'yu'lin
南遥国,nan'yao'guo
闹事,nao'shi
逆冲五德,ni'chong'wu'de
逆行出煞,ni'xing'chu'sha
逆斩乾坤,ni'zhan'qian'kun
念力飞弹,nian'li'fei'dan
念系抵抗,nian'xi'di'kang
念系弱点,nian'xi'ruo'dian
凝枪指月,ning'qiang'zhi'yue
凝神决,ning'shen'jue
凝神术,ning'shen'shu
凝心术,ning'xin'shu
宁心咒,ning'xin'zhou
牛妖,niu'yao
怒熊,nu'xiong
怒斩乾坤,nu'zhan'qian'kun
跑得快任务,pao'de'kuai'ren'wu
喷炎咒,pen'yan'zhou
烹饪手艺,peng'ren'shou'yi
辟鬼符,pi'gui'fu
劈石破玉,pi'shi'po'yu
平淡无奇,ping'dan'wu'qi
平沙落雁,ping'sha'luo'yan
破劲咒,po'jing'zhou
破力式,po'li'shi
破魅式,po'mei'shi
破魔,po'mo
破魔式,po'mo'shi
破魔咒,po'mo'zhou
破碎无双,po'sui'wu'shuang
破碎虚空,po'sui'xu'kong
破体式,po'ti'shi
破血咒,po'xue'zhou
破绽百出,po'zhan'bai'chu
普通抵抗,pu'tong'di'kang
普通弱点,pu'tong'ruo'dian
普通招式擅长,pu'tong'zhao'shi'shan'chang
气归术,qi'gui'shu
气疗术,qi'liao'shu
起死回生,qi'si'hui'sheng
七星禳寿,qi'xing'rang'shou
潜龙卧渊,qian'long'wo'yuan
钱塘涌潮,qian'tang'yong'chao
千羽锦衣,qian'yu'jin'yi
强盗,qiang'dao
枪法招式,qiang'fa'zhao'shi
强化防御,qiang'hua'fang'yu
强化攻击,qiang'hua'gong'ji
强化魔力,qiang'hua'mo'li
强化魔免,qiang'hua'mo'mian
强化权威,qiang'hua'quan'wei
强力,qiang'li
强壮,qiang'zhuang
巧匠之术,qiao'jiang'zhi'shu
青出于蓝,qing'chu'yu'lan
晴空万里,qing'kong'wan'li
清岚国,qing'lan'guo
轻描淡写,qing'miao'dan'xie
情深不寿,qing'shen'bu'shou
青藤软甲,qing'teng'ruan'jia
青蛙怪,qing'wa'guai
青蛙侠客,qing'wa'xia'ke
清溪平原,qing'xi'ping'yuan
清心寡欲,qing'xin'gua'yu
清心咒,qing'xin'zhou
情意绵绵,qing'yi'mian'mian
驱鬼诀,qu'gui'jue
驱鬼术,qu'gui'shu
驱魂散魄,qu'hun'san'po
驱魔逐魅,qu'mo'zhu'mei
去糟存精,qu'zao'cun'jing
拳法招式,quan'fa'zhao'shi
群攻抵抗,qun'gong'di'kang
群攻弱点,qun'gong'ruo'dian
染色系统,ran'se'xi'tong
燃烧,ran'shao
扰魂决,rao'hun'jue
任何地方都不会要求玩家输入密码,ren'he'di'fang'dou'bu'hui'yao'qiu'wan'jia'shu'ru'mi'ma
刃虎,ren'hu
刃林刀山,ren'lin'dao'shan
任务链,ren'wu'lian
仁心良术,ren'xin'liang'shu
仁以治国,ren'yi'zhi'guo
仁者爱人,ren'zhe'ai'ren
仁者乐山,ren'zhe'le'shan
仁者无敌,ren'zhe'wu'di
仁至义尽,ren'zhi'yi'jin
日月争辉,ri'yue'zheng'hui
肉食习性,rou'shi'xi'xing
儒家招式,ru'jia'zhao'shi
入世为仁,ru'shi'wei'ren
弱化防御,ruo'hua'fang'yu
弱化攻击,ruo'hua'gong'ji
弱化魔力,ruo'hua'mo'li
弱化魔免,ruo'hua'mo'mian
三环套日,san'huan'tao'ri
三世加持,san'shi'jia'chi
三阴逆山,san'yin'ni'shan
森林仙子,sen'lin'xian'zi
森罗万象,sen'luo'wan'xiang
杀兵,sha'bing
煞鬼目,sha'gui'mu
沙漠迷宫二层,sha'mo'mi'gong'er'ceng
沙漠迷宫三层,sha'mo'mi'gong'san'ceng
沙漠迷宫一层,sha'mo'mi'gong'yi'ceng
闪光术,shan'guang'shu
珊瑚迷宫二层,shan'hu'mi'gong'er'ceng
珊瑚迷宫一层,shan'hu'mi'gong'yi'ceng
闪击,shan'ji
山贼,shan'zei
商会系统,shang'hui'xi'tong
商业会馆,shang'ye'hui'guan
神兵,shen'bing
神罚,shen'fa
神迹,shen'ji
神来之笔,shen'lai'zhi'bi
神农,shen'nong
神使,shen'shi
神天兵,shen'tian'bing
神佑,shen'you
神智不清,shen'zhi'bu'qing
生命潜力,sheng'ming'qian'li
声望系统,sheng'wang'xi'tong
士兵,shi'bing
十大流派试炼,shi'da'liu'pai'shi'lian
势如破竹,shi'ru'po'zhu
师徒系统,shi'tu'xi'tong
食物,shi'wu
式无常法,shi'wu'chang'fa
守护神庙,shou'hu'shen'miao
守护兽厩,shou'hu'shou'jiu
守护仙子,shou'hu'xian'zi
兽王战袍,shou'wang'zhan'pao
首席弟子,shou'xi'di'zi
树精灵,shu'jing'ling
输入法,shu'ru'fa
术士,shu'shi
书市系统,shu'shi'xi'tong
霜华乱舞,shuang'hua'luan'wu
霜凝蛊,shuang'ning'gu
双暑追秋,shuang'shu'zhui'qiu
霜月狼,shuang'yue'lang
水官解厄,shui'guan'jie'e
水火既济,shui'huo'ji'ji
水击,shui'ji
水晶女妖,shui'jing'nv'yao
顺水推舟,shun'shui'tui'zhou
四方的祝福,si'fang'de'zhu'fu
四海升平,si'hai'sheng'ping
四面楚歌,si'mian'chu'ge
四时有常,si'shi'you'chang
死亡骑士,si'wang'qi'shi
搜狗,sou'gou
搜狗拼音,sou'gou'pin'yin
搜狗拼音输入法,sou'gou'pin'yin'shu'ru'fa
算命先生,suan'ming'xian'sheng
碎梦岭,sui'meng'ling
碎星斩月,sui'xing'zhan'yue
娑罗双,suo'luo'shuang
踏风符,ta'feng'fu
踏雪寻梅,ta'xue'xun'mei
太初归元,tai'chu'gui'yuan
太上正一咒,tai'shang'zheng'yi'zhou
太息林地,tai'xi'lin'di
太阴纳虚,tai'yin'na'xu
太阴真君咒,tai'yin'zhen'jun'zhou
桃花仙子,tao'hua'xian'zi
逃跑,tao'pao
特殊技能,te'shu'ji'neng
醍醐灌顶,ti'hu'guan'ding
天蚕丝甲,tian'can'si'jia
天苍城,tian'cang'cheng
天苍高地,tian'cang'gao'di
天道有常,tian'dao'you'chang
天甘玉露,tian'gan'yu'lu
天罡战气,tian'gang'zhan'qi
天官赐福,tian'guan'ci'fu
天玑含韵,tian'ji'han'yun
天劫杀,tian'jie'sha
天雷地火,tian'lei'di'huo
天罗地网符,tian'luo'di'wang'fu
天马流星,tian'ma'liu'xing
天魔乱舞,tian'mo'luan'wu
天宁国,tian'ning'guo
天权附雅,tian'quan'fu'ya
天人合一,tian'ren'he'yi
天使护符,tian'shi'hu'fu
天师咒,tian'shi'zhou
天枢执首,tian'shu'zhi'shou
天水平原,tian'shui'ping'yuan
天网恢恢,tian'wang'hui'hui
天璇转斗,tian'xuan'zhuan'dou
天狱真符,tian'yu'zhen'fu
挑战流派好手,tiao'zhan'liu'pai'hao'shou
停滞术,ting'zhi'shu
通经活脉,tong'jing'huo'mai
偷袭,tou'xi
偷袭诀,tou'xi'jue
兔祭司,tu'ji'si
兔天使,tu'tian'shi
兔勇士,tu'yong'shi
兔战士,tu'zhan'shi
推荐系统,tui'jian'xi'tong
推气过宫,tui'qi'guo'gong
拖泥带水,tuo'ni'dai'shui
弯弓射月,wan'gong'she'yue
玩家之家,wan'jia'zhi'jia
万里雪飘,wan'li'xue'piao
万物回春,wan'wu'hui'chun
万蚁蚀象,wan'yi'shi'xiang
亡灵气箭,wang'ling'qi'jian
望梅止渴,wang'mei'zhi'ke
稳心固念,wen'xin'gu'nian
握雷局,wo'lei'ju
卧薪尝胆,wo'xin'chang'dan
无常咒,wu'chang'zhou
巫毒降,wu'du'jiang
五雷照法,wu'lei'zhao'fa
武器,wu'qi
巫术招式,wu'shu'zhao'shi
舞厅系统,wu'ting'xi'tong
舞文弄墨,wu'wen'nong'mo
五行不宁,wu'xing'bu'ning
武学研究所,wu'xue'yan'jiu'suo
无中生有,wu'zhong'sheng'you
吸魔,xi'mo
牺牲,xi'sheng
洗髓换骨,xi'sui'huan'gu
吸血,xi'xie
吸血攻击,xi'xie'gong'ji
吸血鬼,xi'xue'gui
下笔成章,xia'bi'cheng'zhang
仙灵店铺,xian'ling'dian'pu
仙神性质,xian'shen'xing'zhi
仙系抵抗,xian'xi'di'kang
仙系弱点,xian'xi'ruo'dian
香叶城,xiang'ye'cheng
香叶丛林,xiang'ye'cong'lin
笑里藏刀,xiao'li'cang'dao
小猫女,xiao'mao'nv
小蜜蜂,xiao'mi'feng
小魔女,xiao'mo'nv
小魔头,xiao'mo'tou
小山猪,xiao'shan'zhu
小兔子,xiao'tu'zi
小乌龟,xiao'wu'gui
孝以齐家,xiao'yi'qi'jia
心疗术,xin'liao'shu
心神合一,xin'shen'he'yi
新手任务,xin'shou'ren'wu
新月平原,xin'yue'ping'yuan
幸运,xing'yun
幸运转盘,xing'yun'zhuan'pan
修炼任务,xiu'lian'ren'wu
修罗森林,xiu'luo'sen'lin
修罗炎咒法,xiu'luo'yan'zhou'fa
虚空禁锢,xu'kong'jin'gu
续命术,xu'ming'shu
选美大会,xuan'mei'da'hui
雪凤凰,xue'feng'huang
迅捷,xun'jie
岩牙咬,yan'ya'yao
药品,yao'pin
妖气缠绕,yao'qi'chan'rao
妖气冲天,yao'qi'chong'tian
摇钱树,yao'qian'shu
药师,yao'shi
药师咒,yao'shi'zhou
妖系抵抗,yao'xi'di'kang
妖系弱点,yao'xi'ruo'dian
药香吸收,yao'xiang'xi'shou
耀阳闪,yao'yang'shan
摇影斩,yao'ying'zhan
业报有常,ye'bao'you'chang
夜叉探海,ye'cha'tan'hai
夜灵蛊,ye'ling'gu
易成长,yi'cheng'chang
倚窗望月,yi'chuang'wang'yue
翼虎,yi'hu
溢能咒,yi'neng'zhou
意念无常,yi'nian'wu'chang
一念无转,yi'nian'wu'zhuan
一日三省,yi'ri'san'xing
翊圣真君咒,yi'sheng'zhen'jun'zhou
以逸待劳,yi'yi'dai'lao
银河落九天,yin'he'luo'jiu'tian
银瓶乍破,yin'ping'zha'po
隐身术,yin'shen'shu
阴阳逆转,yin'yang'ni'zhuan
阴阳为道,yin'yang'wei'dao
阴阳招式,yin'yang'zhao'shi
萤火森林,ying'huo'sen'lin
鹰击长空,ying'ji'chang'kong
影狼,ying'lang
影狼原,ying'lang'yuan
英雄大会单挑,ying'xiong'da'hui'dan'tiao
英雄大会组队,ying'xiong'da'hui'zu'dui
勇敢,yong'gan
永泽城,yong'ze'cheng
邮寄系统,you'ji'xi'tong
幽冥鬼判,you'ming'gui'pan
佑圣真君咒,you'sheng'zhen'jun'zhou
幽影斩,you'ying'zhan
御蜂术,yu'feng'shu
玉衡化煞,yu'heng'hua'sha
鱼美人,yu'mei'ren
玉清决,yu'qing'jue
雨散梨花,yu'san'li'hua
雨师祭,yu'shi'ji
鱼跃龙门,yu'yue'long'men
月下推敲,yue'xia'tui'qiao
运镖任务,yun'biao'ren'wu
云开雾散,yun'kai'wu'san
云雾令,yun'wu'ling
杂货,za'huo
再生,zai'sheng
泽被苍生,ze'bei'cang'sheng
摘星抚月,zhai'xing'fu'yue
战斗准备,zhan'dou'zhun'bei
战士,zhan'shi
召唤兽保护,zhao'huan'shou'bao'hu
招无常式,zhao'wu'chang'shi
遮天蔽日,zhe'tian'bi'ri
侦察,zhen'cha
镇魂,zhen'hun
箴言符,zhen'yan'fu
治安任务,zhi'an'ren'wu
直捣黄龙,zhi'dao'huang'long
掷地有声,zhi'di'you'sheng
指点江山,zhi'dian'jiang'shan
止戈为武,zhi'ge'wei'wu
指挥,zhi'hui
智慧,zhi'hui
制魂符,zhi'hun'fu
知己知彼,zhi'ji'zhi'bi
知识大考验,zhi'shi'da'kao'yan
智系抵抗,zhi'xi'di'kang
智系弱点,zhi'xi'ruo'dian
职业任务,zhi'ye'ren'wu
智者乐水,zhi'zhe'le'shui
终级必杀,zhong'ji'bi'sha
终级冲击,zhong'ji'chong'ji
终级刺甲,zhong'ji'ci'jia
终级法力侵蚀,zhong'ji'fa'li'qin'shi
终级法术连击,zhong'ji'fa'shu'lian'ji
终级反击,zhong'ji'fan'ji
终级防御,zhong'ji'fang'yu
终极飞行,zhong'ji'fei'xing
终级感知,zhong'ji'gan'zhi
终级慧根,zhong'ji'hui'gen
终级技能,zhong'ji'ji'neng
终级力道侵蚀,zhong'ji'li'dao'qin'shi
终级连击,zhong'ji'lian'ji
终级灵敏,zhong'ji'ling'min
终级灵通术,zhong'ji'ling'tong'shu
终级命中,zhong'ji'ming'zhong
终级魔法反击,zhong'ji'mo'fa'fan'ji
终级魔法回击,zhong'ji'mo'fa'hui'ji
终级魔法天份,zhong'ji'mo'fa'tian'fen
终级破魔,zhong'ji'po'mo
终级强力,zhong'ji'qiang'li
终级强壮,zhong'ji'qiang'zhuang
终级驱鬼术,zhong'ji'qu'gui'shu
终极闪击,zhong'ji'shan'ji
终级神迹,zhong'ji'shen'ji
终级神佑,zhong'ji'shen'you
终级偷袭,zhong'ji'tou'xi
终级幸运,zhong'ji'xing'yun
终级迅捷,zhong'ji'xun'jie
