阿尔必,a'er'bi
义县阶,yi'xian'jie
印干组,yin'gan'zu
营尔,ying'er
英买,ying'mai
英买力,ying'mai'li
英买力组,ying'mai'li'zu
鹰山,ying'shan
鹰山组,ying'shan'zu
玉东,yu'dong
玉门,yu'men
正旋回,zheng'xuan'hui
正韵律,zheng'yun'lv
志留,zhi'liu
中薄层状,zhong'bao'ceng'zhuang
中层状,zhong'ceng'zhuang
中段,zhong'duan
中沟,zhong'gou
中厚层,zhong'hou'ceng
中厚层状,zhong'hou'ceng'zhuang
中生代,zhong'sheng'dai
中统,zhong'tong
周家店组,zhou'jia'dian'zu
侏罗,zhu'luo
