安宁院村,an'ning'yuan'cun
滴水岩村,di'shui'yan'cun
靛堂子村,dian'tang'zi'cun
店子山村,dian'zi'shan'cun
洞宾山村,dong'bin'shan'cun
董村,dong'cun
东岱村,dong'dai'cun
东岱乡,dong'dai'xiang
东岗山村,dong'gang'shan'cun
洞沟村,dong'gou'cun
东乐庙村,dong'le'miao'cun
东龙山村,dong'long'shan'cun
东太村,dong'tai'cun
东太乡,dong'tai'xiang
东岳庙村,dong'yue'miao'cun
董仲垭村,dong'zhong'ya'cun
窦禅寺村,dou'chan'si'cun
杜家坝村,du'jia'ba'cun
杜家沟村,du'jia'gou'cun
杜家井村,du'jia'jing'cun
杜家坪村,du'jia'ping'cun
杜家桥村,du'jia'qiao'cun
杜宇寺村,du'yu'si'cun
多宝观村,duo'bao'guan'cun
多扶镇,duo'fu'zhen
鹅背山村,e'bei'shan'cun
峨童山村,e'tong'shan'cun
二郎庙村,er'lang'miao'cun
范村沟村,fan'cun'gou'cun
樊村沟村,fan'cun'gou'cun
范家庙村,fan'jia'miao'cun
范家堰村,fan'jia'yan'cun
方山庙村,fang'shan'miao'cun
方山坪村,fang'shan'ping'cun
飞凤山村,fei'feng'shan'cun
飞龙庙村,fei'long'miao'cun
分水岭村,fen'shui'ling'cun
分水垭村,fen'shui'ya'cun
冯二垭村,feng'er'ya'cun
凤和乡,feng'he'xiang
凤凰村,feng'huang'cun
凤凰街居委会,feng'huang'jie'ju'wei'hui
凤凰山村,feng'huang'shan'cun
凤凰嘴村,feng'huang'zui'cun
冯家沟村,feng'jia'gou'cun
冯家桥村,feng'jia'qiao'cun
凤鸣山村,feng'ming'shan'cun
凤鸣院村,feng'ming'yuan'cun
凤鸣镇,feng'ming'zhen
凤头居委会,feng'tou'ju'wei'hui
凤头山村,feng'tou'shan'cun
佛宝观村,fo'bao'guan'cun
佛宫山村,fo'gong'shan'cun
佛归寺村,fo'gui'si'cun
佛华山村,fo'hua'shan'cun
佛子沟村,fo'zi'gou'cun
复安乡,fu'an'xiang
傅家沟村,fu'jia'gou'cun
扶君乡,fu'jun'xiang
府南社区,fu'nan'she'qu
福寿宫村,fu'shou'gong'cun
复兴村,fu'xing'cun
福应宫村,fu'ying'gong'cun
高家沟村,gao'jia'gou'cun
高楼架村,gao'lou'jia'cun
高石梯村,gao'shi'ti'cun
高院镇,gao'yuan'zhen
葛藤沟村,ge'teng'gou'cun
拱背桥村,gong'bei'qiao'cun
拱石桥村,gong'shi'qiao'cun
公字坝村,gong'zi'ba'cun
公子坪村,gong'zi'ping'cun
宫子山村,gong'zi'shan'cun
公子垭村,gong'zi'ya'cun
古楼村,gu'lou'cun
鼓楼沟村,gu'lou'gou'cun
古楼镇,gu'lou'zhen
关帝庙村,guan'di'miao'cun
官斗山村,guan'dou'shan'cun
观凤乡,guan'feng'xiang
管家桥村,guan'jia'qiao'cun
观乐山村,guan'le'shan'cun
关文村,guan'wen'cun
关文镇,guan'wen'zhen
罐垭乡,guan'ya'xiang
观音庵村,guan'yin'an'cun
观音坝村,guan'yin'ba'cun
观音殿村,guan'yin'dian'cun
观音阁村,guan'yin'ge'cun
观音庙村,guan'yin'miao'cun
观音桥村,guan'yin'qiao'cun
观音寺村,guan'yin'si'cun
关音堂村,guan'yin'tang'cun
观音岩村,guan'yin'yan'cun
官争沟村,guan'zheng'gou'cun
罐子坝村,guan'zi'ba'cun
罐子沟村,guan'zi'gou'cun
广川庙村,guang'chuan'miao'cun
广元湾村,guang'yuan'wan'cun
圭锋院村,gui'feng'yuan'cun
桂花村,gui'hua'cun
圭心寺村,gui'xin'si'cun
桂支垭村,gui'zhi'ya'cun
郭家嘴村,guo'jia'zui'cun
过江楼村,guo'jiang'lou'cun
郭山垭村,guo'shan'ya'cun
合成寺村,he'cheng'si'cun
荷花坪村,he'hua'ping'cun
何家沟村,he'jia'gou'cun
何家堰村,he'jia'yan'cun
何家岩村,he'jia'yan'cun
何家嘴村,he'jia'zui'cun
河脉桥村,he'mai'qiao'cun
鹤鸣庵村,he'ming'an'cun
鹤鸣路社区,he'ming'lu'she'qu
鹤鸣院村,he'ming'yuan'cun
何氏祠村,he'shi'ci'cun
何泗坝村,he'si'ba'cun
河玉沟村,he'yu'gou'cun
黑柏山村,hei'bai'shan'cun
黑山垭村,hei'shan'ya'cun
红栋子村,hong'dong'zi'cun
红豆沟村,hong'dou'gou'cun
红花坪村,hong'hua'ping'cun
红庙子村,hong'miao'zi'cun
红庙嘴村,hong'miao'zui'cun
宏桥村,hong'qiao'cun
宏桥乡,hong'qiao'xiang
华光乡,hua'guang'xiang
花果寺村,hua'guo'si'cun
花脊岭村,hua'ji'ling'cun
华林寺村,hua'lin'si'cun
花庙子村,hua'miao'zi'cun
花木山村,hua'mu'shan'cun
化泉院村,hua'quan'yuan'cun
华雀寺村,hua'que'si'cun
花盐河村,hua'yan'he'cun
花园寺村,hua'yuan'si'cun
花子岭村,hua'zi'ling'cun
槐树沟村,huai'shu'gou'cun
槐树镇,huai'shu'zhen
黄栋坪村,huang'dong'ping'cun
黄家坝村,huang'jia'ba'cun
黄家沟村,huang'jia'gou'cun
黄家庙村,huang'jia'miao'cun
黄家湾村,huang'jia'wan'cun
黄家垭村,huang'jia'ya'cun
黄桷寺村,huang'jue'si'cun
黄岭垭村,huang'ling'ya'cun
黄龙场村,huang'long'chang'cun
黄庆沟村,huang'qing'gou'cun
黄桶岭村,huang'tong'ling'cun
黄垭榨村,huang'ya'zha'cun
黄竹坝村,huang'zhu'ba'cun
回龙庵村,hui'long'an'cun
回龙场村,hui'long'chang'cun
回龙宫村,hui'long'gong'cun
会龙关村,hui'long'guan'cun
回龙观村,hui'long'guan'cun
会仙桥村,hui'xian'qiao'cun
会元宫村,hui'yuan'gong'cun
活佛山村,huo'fo'shan'cun
纪公庙村,ji'gong'miao'cun
贾地庙村,jia'di'miao'cun
贾家店村,jia'jia'dian'cun
贾家湾村,jia'jia'wan'cun
迦释院村,jia'shi'yuan'cun
建林宫村,jian'lin'gong'cun
尖山子村,jian'shan'zi'cun
建设路社区,jian'she'lu'she'qu
将军碑居委会,jiang'jun'bei'ju'wei'hui
礁碑寺村,jiao'bei'si'cun
界牌湾村,jie'pai'wan'cun
晋城大道二段社区,jin'cheng'da'dao'er'duan'she'qu
晋城大道一段社区,jin'cheng'da'dao'yi'duan'she'qu
晋城镇,jin'cheng'zhen
金祠寺村,jin'ci'si'cun
金龟庵村,jin'gui'an'cun
金龟山村,jin'gui'shan'cun
金龟寺村,jin'gui'si'cun
金华山村,jin'hua'shan'cun
金铧寺村,jin'hua'si'cun
金龙山村,jin'long'shan'cun
金龙寺村,jin'long'si'cun
锦屏山村,jin'ping'shan'cun
金泉乡,jin'quan'xiang
金山村,jin'shan'cun
金山乡,jin'shan'xiang
金鱼桥村,jin'yu'qiao'cun
金源乡,jin'yuan'xiang
金子山村,jin'zi'shan'cun
敬二垭村,jing'er'ya'cun
敬家庙村,jing'jia'miao'cun
净土寺村,jing'tu'si'cun
敬垭观村,jing'ya'guan'cun
九联洞村,jiu'lian'dong'cun
九头湾村,jiu'tou'wan'cun
空柏树村,kong'bai'shu'cun
库楼坝社区,ku'lou'ba'she'qu
苦竹垭村,ku'zhu'ya'cun
来龙山村,lai'long'shan'cun
老城子村,lao'cheng'zi'cun
老祠堂村,lao'ci'tang'cun
老家湾村,lao'jia'wan'cun
老林沟村,lao'lin'gou'cun
老木垭村,lao'mu'ya'cun
乐河寺村,le'he'si'cun
雷公垭村,lei'gong'ya'cun
雷家沟村,lei'jia'gou'cun
李村沟村,li'cun'gou'cun
李店垭村,li'dian'ya'cun
历古寺村,li'gu'si'cun
李家沟村,li'jia'gou'cun
李家咀村,li'jia'ju'cun
李家山村,li'jia'shan'cun
黎家寺村,li'jia'si'cun
李桥乡,li'qiao'xiang
犁树沟村,li'shu'gou'cun
李子垭村,li'zi'ya'cun
莲池村,lian'chi'cun
莲池乡,lian'chi'xiang
联合村,lian'he'cun
莲花寺村,lian'hua'si'cun
莲花台村,lian'hua'tai'cun
莲花穴村,lian'hua'xue'cun
凉快垭村,liang'kuai'ya'cun
烈溪庙村,lie'xi'miao'cun
临江村,lin'jiang'cun
灵宝宫村,ling'bao'gong'cun
灵宫庙村,ling'gong'miao'cun
灵芝桥村,ling'zhi'qiao'cun
刘家沟村,liu'jia'gou'cun
刘家庙村,liu'jia'miao'cun
刘家坪村,liu'jia'ping'cun
刘家垭村,liu'jia'ya'cun
刘家嘴社区,liu'jia'zui'she'qu
柳溪街居委会,liu'xi'jie'ju'wei'hui
龙宝宫村,long'bao'gong'cun
龙洞沟村,long'dong'gou'cun
龙洞山村,long'dong'shan'cun
龙凤山村,long'feng'shan'cun
龙凤溪村,long'feng'xi'cun
龙归院村,long'gui'yuan'cun
龙虎山村,long'hu'shan'cun
龙家沟村,long'jia'gou'cun
龙角湾村,long'jiao'wan'cun
龙井沟村,long'jing'gou'cun
龙门桥村,long'men'qiao'cun
龙门垭村,long'men'ya'cun
龙泉山村,long'quan'shan'cun
龙泉寺村,long'quan'si'cun
龙台寺村,long'tai'si'cun
龙台院村,long'tai'yuan'cun
龙滩子村,long'tan'zi'cun
楼底子居委会,lou'di'zi'ju'wei'hui
楼房湾村,lou'fang'wan'cun
楼子坪村,lou'zi'ping'cun
楼子寺村,lou'zi'si'cun
芦家坝村,lu'jia'ba'cun
鹿岩山村,lu'yan'shan'cun
鹭鸯沟村,lu'yang'gou'cun
乱石垭村,luan'shi'ya'cun
罗坝沟村,luo'ba'gou'cun
罗村沟村,luo'cun'gou'cun
罗家坝村,luo'jia'ba'cun
罗树沟村,luo'shu'gou'cun
罗堰坎村,luo'yan'kan'cun
罗针地村,luo'zhen'di'cun
马鞍山村,ma'an'shan'cun
马槽沟村,ma'cao'gou'cun
马川井村,ma'chuan'jing'cun
马家坟村,ma'jia'fen'cun
马家户村,ma'jia'hu'cun
麻柳垭村,ma'liu'ya'cun
马龙村,ma'long'cun
马龙滩村,ma'long'tan'cun
马氏祠村,ma'shi'ci'cun
麻树沟村,ma'shu'gou'cun
马庸寺村,ma'yong'si'cun
猫尔山村,mao'er'shan'cun
茅盖寺村,mao'gai'si'cun
毛关山村,mao'guan'shan'cun
毛家桥村,mao'jia'qiao'cun
梅树湾村,mei'shu'wan'cun
梅垭沟村,mei'ya'gou'cun
檬子垭村,meng'zi'ya'cun
米丹村,mi'dan'cun
弥勒寺村,mi'le'si'cun
庙子坝村,miao'zi'ba'cun
庙子滩村,miao'zi'tan'cun
庙子嘴村,miao'zi'zui'cun
明昌宫村,ming'chang'gong'cun
鸣龙镇,ming'long'zhen
母家山村,mu'jia'shan'cun
木角庙村,mu'jiao'miao'cun
南北垭村,nan'bei'ya'cun
南街社区,nan'jie'she'qu
南陵寺村,nan'ling'si'cun
南岷山村,nan'min'shan'cun
楠木庙村,nan'mu'miao'cun
南垭庙村,nan'ya'miao'cun
泥巴寺村,ni'ba'si'cun
尼姑寺村,ni'gu'si'cun
牛王庙村,niu'wang'miao'cun
牌坊湾村,pai'fang'wan'cun
蟠龙村,pan'long'cun
蟠龙观村,pan'long'guan'cun
蟠龙山村,pan'long'shan'cun
庞家庵村,pang'jia'an'cun
庞家沟村,pang'jia'gou'cun
庞家庙村,pang'jia'miao'cun
庞氏祠村,pang'shi'ci'cun
彭家寺村,peng'jia'si'cun
破头山村,po'tou'shan'cun
蒲家咀村,pu'jia'ju'cun
麒麟村,qi'lin'cun
骑龙庵村,qi'long'an'cun
蜞蚂山村,qi'ma'shan'cun
祈嗣庵村,qi'si'an'cun
千佛寺村,qian'fo'si'cun
浅垭子村,qian'ya'zi'cun
乾元宫村,qian'yuan'gong'cun
桥凤坝村,qiao'feng'ba'cun
谯家沟村,qiao'jia'gou'cun
桥楼子村,qiao'lou'zi'cun
桥上罗家村,qiao'shang'luo'jia'cun
青杠嘴村,qing'gang'zui'cun
清河桥村,qing'he'qiao'cun
青龙观村,qing'long'guan'cun
青龙乡,qing'long'xiang
青龙院村,qing'long'yuan'cun
青龙嘴村,qing'long'zui'cun
青狮村,qing'shi'cun
青狮镇,qing'shi'zhen
清斋宫村,qing'zhai'gong'cun
秋垭庙村,qiu'ya'miao'cun
冉家庙村,ran'jia'miao'cun
冉氏祠村,ran'shi'ci'cun
仁和寨村,ren'he'zhai'cun
仁和镇,ren'he'zhen
任家坝村,ren'jia'ba'cun
任家沟村,ren'jia'gou'cun
仁义桥村,ren'yi'qiao'cun
荣华山村,rong'hua'shan'cun
荣坪村,rong'ping'cun
荣兴大道居委会,rong'xing'da'dao'ju'wei'hui
三岔河村,san'cha'he'cun
三合寨村,san'he'zhai'cun
三教庵村,san'jiao'an'cun
三角沟村,san'jiao'gou'cun
三节桥村,san'jie'qiao'cun
三码桥村,san'ma'qiao'cun
三面峰村,san'mian'feng'cun
三清庙村,san'qing'miao'cun
三圣庵村,san'sheng'an'cun
三溪口村,san'xi'kou'cun
三元桥村,san'yuan'qiao'cun
沙子岭村,sha'zi'ling'cun
山王寨村,shan'wang'zhai'cun
上坊寺村,shang'fang'si'cun
上河街居委会,shang'he'jie'ju'wei'hui
哨子山村,shao'zi'shan'cun
神通庵村,shen'tong'an'cun
神垭宫居委会,shen'ya'gong'ju'wei'hui
圣泉山村,sheng'quan'shan'cun
石坝子村,shi'ba'zi'cun
石板河村,shi'ban'he'cun
石宝宫村,shi'bao'gong'cun
石佛山村,shi'fo'shan'cun
石佛寺村,shi'fo'si'cun
石框垭村,shi'kuang'ya'cun
石栏寺村,shi'lan'si'cun
石老嘴村,shi'lao'zui'cun
石门沟村,shi'men'gou'cun
石牛庙村,shi'niu'miao'cun
石牛山村,shi'niu'shan'cun
石桥坝村,shi'qiao'ba'cun
石仁宫村,shi'ren'gong'cun
石狮子村,shi'shi'zi'cun
石塔岭村,shi'ta'ling'cun
石梯坎村,shi'ti'kan'cun
石头垭村,shi'tou'ya'cun
狮子湾村,shi'zi'wan'cun
书房坪村,shu'fang'ping'cun
书房山村,shu'fang'shan'cun
书房湾村,shu'fang'wan'cun
书房垭村,shu'fang'ya'cun
树金桥村,shu'jin'qiao'cun
书垭子村,shu'ya'zi'cun
帅家庙村,shuai'jia'miao'cun
双柏树村,shuang'bai'shu'cun
双凤山村,shuang'feng'shan'cun
双凤镇,shuang'feng'zhen
双福井村,shuang'fu'jing'cun
双拱桥村,shuang'gong'qiao'cun
双江乡,shuang'jiang'xiang
双龙桥村,shuang'long'qiao'cun
双洛乡,shuang'luo'xiang
双庙垭村,shuang'miao'ya'cun
双庙子村,shuang'miao'zi'cun
双桥子村,shuang'qiao'zi'cun
双石坪村,shuang'shi'ping'cun
水旱坝村,shui'han'ba'cun
水磨庙村,shui'mo'miao'cun
丝公山村,si'gong'shan'cun
斯家店村,si'jia'dian'cun
斯家庙村,si'jia'miao'cun
四圣庙村,si'sheng'miao'cun
苏家堰村,su'jia'yan'cun
孙家庙村,sun'jia'miao'cun
踏水桥村,ta'shui'qiao'cun
太保山村,tai'bao'shan'cun
太极宫村,tai'ji'gong'cun
太平村,tai'ping'cun
太平寺村,tai'ping'si'cun
太平镇,tai'ping'zhen
太清宫村,tai'qing'gong'cun
太阳沟村,tai'yang'gou'cun
滩子溪村,tan'zi'xi'cun
田坝子村,tian'ba'zi'cun
天宝寺社区,tian'bao'si'she'qu
天宫院村,tian'gong'yuan'cun
田家坝村,tian'jia'ba'cun
天马山村,tian'ma'shan'cun
天桥村,tian'qiao'cun
天台院村,tian'tai'yuan'cun
天新桥村,tian'xin'qiao'cun
跳蹬河村,tiao'deng'he'cun
跳礅子村,tiao'dun'zi'cun
亭子湾村,ting'zi'wan'cun
亭子垭村,ting'zi'ya'cun
同德村,tong'de'cun
同德乡,tong'de'xiang
童家湾村,tong'jia'wan'cun
桶门垭村,tong'men'ya'cun
土地井村,tu'di'jing'cun
土地垭村,tu'di'ya'cun
土桥子村,tu'qiao'zi'cun
团岭子村,tuan'ling'zi'cun
瓦场沟村,wa'chang'gou'cun
瓦店子村,wa'dian'zi'cun
万伯堰村,wan'bo'yan'cun
王家岩村,wang'jia'yan'cun
王家嘴村,wang'jia'zui'cun
桅杆坝村,wei'gan'ba'cun
维莫湾村,wei'mo'wan'cun
维摩院村,wei'mo'yuan'cun
文昌宫村,wen'chang'gong'cun
文昌岭村,wen'chang'ling'cun
文家沟村,wen'jia'gou'cun
文滩桥村,wen'tan'qiao'cun
卧龙山村,wo'long'shan'cun
五栋碑村,wu'dong'bei'cun
吴家坝村,wu'jia'ba'cun
五里店村,wu'li'dian'cun
五显庙村,wu'xian'miao'cun
武显垭村,wu'xian'ya'cun
西禅寺村,xi'chan'si'cun
西充县,xi'chong'xian
喜凤山村,xi'feng'shan'cun
席家沟村,xi'jia'gou'cun
席家观村,xi'jia'guan'cun
席家庙村,xi'jia'miao'cun
西街社区,xi'jie'she'qu
西南桥村,xi'nan'qiao'cun
西碾乡,xi'nian'xiang
西三井村,xi'san'jing'cun
西山庙村,xi'shan'miao'cun
鲜家坝村,xian'jia'ba'cun
仙林镇,xian'lin'zhen
向家沟村,xiang'jia'gou'cun
祥龙乡,xiang'long'xiang
香炉桥村,xiang'lu'qiao'cun
香炉山村,xiang'lu'shan'cun
响水河村,xiang'shui'he'cun
响水滩村,xiang'shui'tan'cun
响堂堡村,xiang'tang'bao'cun
象岩寺村,xiang'yan'si'cun
小角沟村,xiao'jiao'gou'cun
小梨沟村,xiao'li'gou'cun
小陵寺村,xiao'ling'si'cun
小神垭村,xiao'shen'ya'cun
小垭寺村,xiao'ya'si'cun
小燕村,xiao'yan'cun
晓阳村,xiao'yang'cun
小玉皇宫村,xiao'yu'huang'gong'cun
小珠坝村,xiao'zhu'ba'cun
谢侯庙村,xie'hou'miao'cun
谢家店村,xie'jia'dian'cun
谢家坡村,xie'jia'po'cun
谢家灶村,xie'jia'zao'cun
歇马桥村,xie'ma'qiao'cun
新场垭村,xin'chang'ya'cun
新店子村,xin'dian'zi'cun
新华村,xin'hua'cun
新建村,xin'jian'cun
新龙寺村,xin'long'si'cun
新民村,xin'min'cun
新书房村,xin'shu'fang'cun
兴隆湾村,xing'long'wan'cun
胥家湾村,xu'jia'wan'cun
胥家垭村,xu'jia'ya'cun
垭门村,ya'men'cun
严村沟村,yan'cun'gou'cun
堰家桥村,yan'jia'qiao'cun
盐井坝村,yan'jing'ba'cun
堰坎上村,yan'kan'shang'cun
盐水垭村,yan'shui'ya'cun
堰塘沟村,yan'tang'gou'cun
燕子坝村,yan'zi'ba'cun
燕子井村,yan'zi'jing'cun
燕子山村,yan'zi'shan'cun
燕子寺村,yan'zi'si'cun
燕子垭村,yan'zi'ya'cun
杨柏村,yang'bai'cun
杨池坝村,yang'chi'ba'cun
杨村沟村,yang'cun'gou'cun
阳家坝村,yang'jia'ba'cun
杨家坝村,yang'jia'ba'cun
阳家沟村,yang'jia'gou'cun
阳家庙村,yang'jia'miao'cun
杨家庙村,yang'jia'miao'cun
杨家桥村,yang'jia'qiao'cun
阳家垭村,yang'jia'ya'cun
羊角湾村,yang'jiao'wan'cun
杨柳垭村,yang'liu'ya'cun
羊鹿桥村,yang'lu'qiao'cun
杨山岭村,yang'shan'ling'cun
杨榨子村,yang'zha'zi'cun
姚氏祠村,yao'shi'ci'cun
义和乡,yi'he'xiang
义兴镇,yi'xing'zhen
印天寺村,yin'tian'si'cun
应井场村,ying'jing'chang'cun
永清乡,yong'qing'xiang
永通桥村,yong'tong'qiao'cun
油井寺村,you'jing'si'cun
玉成村,yu'cheng'cun
鱼池寺村,yu'chi'si'cun
玉皇宫村,yu'huang'gong'cun
喻家垭村,yu'jia'ya'cun
玉清山村,yu'qing'shan'cun
玉山沟村,yu'shan'gou'cun
玉台场村,yu'tai'chang'cun
玉台店村,yu'tai'dian'cun
雨台山村,yu'tai'shan'cun
玉台山村,yu'tai'shan'cun
芋头沟居委会,yu'tou'gou'ju'wei'hui
育英街居委会,yu'ying'jie'ju'wei'hui
袁公桥村,yuan'gong'qiao'cun
源洪庙村,yuan'hong'miao'cun
元山宫村,yuan'shan'gong'cun
元山坪村,yuan'shan'ping'cun
源水垭村,yuan'shui'ya'cun
袁塘坝村,yuan'tang'ba'cun
月儿湾村,yue'er'wan'cun
云山院村,yun'shan'yuan'cun
皂角垭村,zao'jiao'ya'cun
枣树林村,zao'shu'lin'cun
寨子沟村,zhai'zi'gou'cun
占山乡,zhan'shan'xiang
张家庵村,zhang'jia'an'cun
张家坝村,zhang'jia'ba'cun
张家店村,zhang'jia'dian'cun
张家沟村,zhang'jia'gou'cun
昭阁庙村,zhao'ge'miao'cun
赵家庙村,zhao'jia'miao'cun
赵家湾村,zhao'jia'wan'cun
赵山沟村,zhao'shan'gou'cun
珍珠山村,zhen'zhu'shan'cun
郑家庙村,zheng'jia'miao'cun
中观音村,zhong'guan'yin'cun
中和井村,zhong'he'jing'cun
中岭乡,zhong'ling'xiang
中南乡,zhong'nan'xiang
中心街社区,zhong'xin'jie'she'qu
周家嘴村,zhou'jia'zui'cun
周武宫村,zhou'wu'gong'cun
竹溪井村,zhu'xi'jing'cun
珠涯庵村,zhu'ya'an'cun
转山河村,zhuan'shan'he'cun
庄子上村,zhuang'zi'shang'cun
梓桐庙村,zi'tong'miao'cun
紫岩乡,zi'yan'xiang
邹家堰村,zou'jia'yan'cun
走马岭村,zou'ma'ling'cun
