艾叶,ai'ye
蜜黄芪,mi'huang'qi
蜜马兜铃,mi'ma'dou'ling
蜜麻黄,mi'ma'huang
密蒙花,mi'meng'hua
蜜枇杷叶,mi'pi'pa'ye
蜜桑白皮,mi'sang'bai'pi
蜜罂粟壳,mi'ying'su'ke
蜜紫菀,mi'zi'wan
绵马贯众,mian'ma'guan'zhong
绵马贯众炭,mian'ma'guan'zhong'tan
墨旱莲,mo'han'lian
木鳖子,mu'bie'zi
牡丹皮,mu'dan'pi
牡丹皮炭,mu'dan'pi'tan
母丁香,mu'ding'xiang
木瓜,mu'gua
木蝴蝶,mu'hu'die
木香,mu'xiang
木贼,mu'zei
南沙参,nan'sha'shen
牛膝,niu'xi
女贞叶,nv'zhen'ye
藕节,ou'jie
藕节炭,ou'jie'tan
胖大海,pang'da'hai
炮姜炭,pao'jiang'tan
佩兰,pei'lan
片姜黄,pian'jiang'huang
蒲公英,pu'gong'ying
蒲黄炭,pu'huang'tan
茜草,qian'cao
茜草炭,qian'cao'tan
前胡,qian'hu
千年健,qian'nian'jian
羌活,qiang'huo
秦艽,qin'jiao
秦皮,qin'pi
清半夏,qing'ban'xia
青黛,qing'dai
青风藤,qing'feng'teng
青果,qing'guo
青蒿,qing'hao
青葙子,qing'xiang'zi
瞿麦,qu'mai
拳参,quan'can
全蝎,quan'xie
忍冬藤,ren'dong'teng
人工牛黄,ren'gong'niu'huang
人参叶,ren'shen'ye
肉豆蔻,rou'dou'kou
肉桂,rou'gui
三棵针,san'ke'zhen
三七,san'qi
三七粉,san'qi'fen
桑寄生,sang'ji'sheng
桑螵蛸,sang'piao'xiao
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
砂仁,sha'ren
沙苑子,sha'yuan'zi
山慈姑,shan'ci'gu
山柰,shan'nai
山药,shan'yao
蛇床子,she'chuang'zi
射干,she'gan
蛇莓,she'mei
伸筋草,shen'jin'cao
生百部,sheng'bai'bu
生白术,sheng'bai'zhu
生侧柏,sheng'ce'bai
生磁石,sheng'ci'shi
生稻芽,sheng'dao'ya
生地黄,sheng'di'huang
生地黄炭,sheng'di'huang'tan
生地榆,sheng'di'yu
生杜仲,sheng'du'zhong
生蛤壳,sheng'ge'ke
生谷芽,sheng'gu'ya
生何首乌,sheng'he'shou'wu
生槐花,sheng'huai'hua
生黄芪,sheng'huang'qi
生鸡内金,sheng'ji'nei'jin
生姜,sheng'jiang
生龙齿,sheng'long'chi
生龙骨,sheng'long'gu
升麻,sheng'ma
生麻黄,sheng'ma'huang
生麦芽,sheng'mai'ya
生牡蛎,sheng'mu'li
生蒲黄,sheng'pu'huang
生晒参,sheng'shai'can
生山楂,sheng'shan'zha
生石膏,sheng'shi'gao
生石决明,sheng'shi'jue'ming
生薏苡仁,sheng'yi'yi'ren
生赭石,sheng'zhe'shi
石菖蒲,shi'chang'pu
柿蒂,shi'di
石斛,shi'hu
石见穿,shi'jian'chuan
使君子,shi'jun'zi
石榴皮,shi'liu'pi
石楠叶,shi'nan'ye
石韦,shi'wei
首乌藤,shou'wu'teng
熟大黄,shu'da'huang
熟地黄,shu'di'huang
鼠妇,shu'fu
水红花子,shui'hong'hua'zi
水牛角粉,shui'niu'jiao'fen
水蛭粉,shui'zhi'fen
丝瓜络,si'gua'luo
松节,song'jie
苏木,su'mu
娑罗子,suo'luo'zi
锁阳,suo'yang
太子参,tai'zi'shen
檀香,tan'xiang
烫骨碎补,tang'gu'sui'bu
藤梨根,teng'li'gen
天冬,tian'dong
天花粉,tian'hua'fen
田基黄,tian'ji'huang
天葵子,tian'kui'zi
天龙,tian'long
天麻,tian'ma
天竺黄,tian'zhu'huang
铁落花,tie'luo'hua
铁树叶,tie'shu'ye
葶苈子,ting'li'zi
透骨草,tou'gu'cao
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土大黄,tu'dai'huang
土茯苓,tu'fu'ling
土荆皮,tu'jing'pi
菟丝子,tu'si'zi
瓦松,wa'song
威灵仙,wei'ling'xian
五倍子,wu'bei'zi
蜈蚣,wu'gong
五谷虫,wu'gu'chong
乌梅,wu'mei
乌梅炭,wu'mei'tan
乌药,wu'yao
西红花,xi'hong'hua
西青果,xi'qing'guo
豨莶草,xi'xian'cao
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
仙鹤草,xian'he'cao
仙茅,xian'mao
香加皮,xiang'jia'pi
香薷,xiang'ru
香橼,xiang'yuan
小蓟,xiao'ji
小蓟炭,xiao'ji'tan
小通草,xiao'tong'cao
薤白,xie'bai
辛夷,xin'yi
雄黑豆,xiong'hei'dou
徐长卿,xu'chang'qing
续断,xu'duan
萱草根,xuan'cao'gen
旋覆花,xuan'fu'hua
玄明粉,xuan'ming'fen
玄参,xuan'shen
血余炭,xue'yu'tan
鸦胆子,ya'dan'zi
盐补骨脂,yan'bu'gu'zhi
盐车前子,yan'che'qian'zi
盐黄柏,yan'huang'bai
盐橘核,yan'ju'he
盐小茴香,yan'xiao'hui'xiang
盐益智仁,yan'yi'zhi'ren
盐知母,yan'zhi'mu
野菊花,ye'ju'hua
夜明砂,ye'ming'sha
益母草,yi'mu'cao
银柴胡,yin'chai'hu
茵陈,yin'chen
郁金,yu'jin
郁李仁,yu'li'ren
禹粮石,yu'liang'shi
鱼腥草,yu'xing'cao
预知子,yu'zhi'zi
玉竹,yu'zhu
月季花,yue'ji'hua
皂角刺,zao'jiao'ci
蚤休,zao'xiu
泽兰,ze'lan
泽泻,ze'xie
浙贝母,zhe'bei'mu
珍珠粉,zhen'zhu'fen
珍珠母,zhen'zhu'mu
制巴戟天,zhi'ba'ji'tian
制白附子,zhi'bai'fu'zi
制草乌,zhi'cao'wu
制川乌,zhi'chuan'wu
制刺猬皮,zhi'ci'wei'pi
制龟甲,zhi'gui'jia
制何首乌,zhi'he'shou'wu
知母,zhi'mu
制水蛭,zhi'shui'zhi
制天南星,zhi'tian'nan'xing
制吴茱萸,zhi'wu'zhu'yu
炙淫羊藿,zhi'yin'yang'huo
制远志,zhi'yuan'zhi
猪苓,zhu'ling
苎麻根,zhu'ma'gen
竹茹,zhu'ru
猪牙皂,zhu'ya'zao
紫草,zi'cao
紫河车,zi'he'che
紫荆皮,zi'jing'pi
紫苏梗,zi'su'geng
紫苏叶,zi'su'ye
棕榈炭,zong'lv'tan
