奥兰多魔术,ao'lan'duo'mo'shu
由守转攻,you'shou'zhuan'gong
尤他爵士,you'ta'jue'shi
运球,yun'qiu
运球超越,yun'qiu'chao'yue
在空中,zai'kong'zhong
在前场,zai'qian'chang
在投篮时,zai'tou'lan'shi
暂停,zan'ting
战绩,zhan'ji
战术教练,zhan'shu'jiao'lian
战术配合,zhan'shu'pei'he
战术篇,zhan'shu'pian
这种步法,zhe'zhong'bu'fa
争球,zheng'qiu
正确防守位置,zheng'que'fang'shou'wei'zhi
芝加哥公牛,zhi'jia'ge'gong'niu
直接得分,zhi'jie'de'fen
中场,zhong'chang
中场休息时间,zhong'chang'xiu'xi'shi'jian
中锋,zhong'feng
中间队员,zhong'jian'dui'yuan
中距离投篮,zhong'ju'li'tou'lan
中区,zhong'qu
肘击,zhou'ji
主场,zhu'chang
主场比赛,zhu'chang'bi'sai
主场优势,zhu'chang'you'shi
主队,zhu'dui
助功,zhu'gong
助理教练,zhu'li'jiao'lian
转移球,zhuan'yi'qiu
准决赛,zhun'jue'sai
资深球员,zi'shen'qiu'yuan
总决赛,zong'jue'sai
走步,zou'bu
阻挡犯规,zu'dang'fan'gui
阻攻,zu'gong
组织后卫,zu'zhi'hou'wei
最短期限,zui'duan'qi'xian
最后一年,zui'hou'yi'nian
最有价值球员,zui'you'jia'zhi'qiu'yuan
