安徽财经大学,an'hui'cai'jing'da'xue
吉林工业职业技术学院,ji'lin'gong'ye'zhi'ye'ji'shu'xue'yuan
吉林化工学院,ji'lin'hua'gong'xue'yuan
吉林建筑工程学院,ji'lin'jian'zhu'gong'cheng'xue'yuan
吉林农业大学,ji'lin'nong'ye'da'xue
吉林师范大学原四平师范学院,ji'lin'shi'fan'da'xue'yuan'si'ping'shi'fan'xue'yuan
集美大学,ji'mei'da'xue
暨南大学,ji'nan'da'xue
济南大学,ji'nan'da'xue
济宁医学院,ji'ning'yi'xue'yuan
吉首大学,ji'shou'da'xue
嘉兴学院,jia'xing'xue'yuan
嘉应大学,jia'ying'da'xue
江汉大学,jiang'han'da'xue
江南大学,jiang'nan'da'xue
江苏大学,jiang'su'da'xue
江苏工业学院,jiang'su'gong'ye'xue'yuan
江苏广播电视大学,jiang'su'guang'bo'dian'shi'da'xue
江苏海事职业技术学院,jiang'su'hai'shi'zhi'ye'ji'shu'xue'yuan
江苏技术师范学院,jiang'su'ji'shu'shi'fan'xue'yuan
江苏教育学院,jiang'su'jiao'yu'xue'yuan
江苏科技大学,jiang'su'ke'ji'da'xue
江苏省南通商贸高等职业学校,jiang'su'sheng'nan'tong'shang'mao'gao'deng'zhi'ye'xue'xiao
江苏食品职业技术学院,jiang'su'shi'pin'zhi'ye'ji'shu'xue'yuan
江苏信息职业技术学院,jiang'su'xin'xi'zhi'ye'ji'shu'xue'yuan
江苏畜牧兽医职业技术学院,jiang'su'xu'mu'shou'yi'zhi'ye'ji'shu'xue'yuan
江苏职工医科大学,jiang'su'zhi'gong'yi'ke'da'xue
江西财经大学,jiang'xi'cai'jing'da'xue
江西广播电视大学,jiang'xi'guang'bo'dian'shi'da'xue
江西农业大学,jiang'xi'nong'ye'da'xue
江西师范大学,jiang'xi'shi'fan'da'xue
江西医学院,jiang'xi'yi'xue'yuan
焦作大学,jiao'zuo'da'xue
解放军电子工程学院,jie'fang'jun'dian'zi'gong'cheng'xue'yuan
晋东南师范专科学校,jin'dong'nan'shi'fan'zhuan'ke'xue'xiao
金肯学院,jin'ken'xue'yuan
金陵科技学院,jin'ling'ke'ji'xue'yuan
金山学院,jin'shan'xue'yuan
晋中师范高等专科学校,jin'zhong'shi'fan'gao'deng'zhuan'ke'xue'xiao
锦州医学院,jin'zhou'yi'xue'yuan
井冈山学院,jing'gang'shan'xue'yuan
荆门职业技术学院,jing'men'zhi'ye'ji'shu'xue'yuan
军事医学科学院,jun'shi'yi'xue'ke'xue'yuan
喀什师范学院,ka'shi'shi'fan'xue'yuan
开封大学,kai'feng'da'xue
康定民族师范高等专科学校,kang'ding'min'zu'shi'fan'gao'deng'zhuan'ke'xue'xiao
昆明大学,kun'ming'da'xue
昆明工业职业技术学院,kun'ming'gong'ye'zhi'ye'ji'shu'xue'yuan
昆明理工大学,kun'ming'li'gong'da'xue
昆明冶金高等专科学校,kun'ming'ye'jin'gao'deng'zhuan'ke'xue'xiao
昆明艺术职业学院,kun'ming'yi'shu'zhi'ye'xue'yuan
昆明医学院,kun'ming'yi'xue'yuan
蓝天职业技术学院,lan'tian'zhi'ye'ji'shu'xue'yuan
兰州大学,lan'zhou'da'xue
兰州工业高等专科学校,lan'zhou'gong'ye'gao'deng'zhuan'ke'xue'xiao
兰州交通大学,lan'zhou'jiao'tong'da'xue
兰州理工大学,lan'zhou'li'gong'da'xue
兰州商学院,lan'zhou'shang'xue'yuan
兰州师范高等专科学校,lan'zhou'shi'fan'gao'deng'zhuan'ke'xue'xiao
兰州医学院,lan'zhou'yi'xue'yuan
廊坊师范学院,lang'fang'shi'fan'xue'yuan
乐山师范学院,le'shan'shi'fan'xue'yuan
黎明职业大学,li'ming'zhi'ye'da'xue
聊城师范学院,liao'cheng'shi'fan'xue'yuan
辽宁朝鲜族师范学校,liao'ning'chao'xian'zu'shi'fan'xue'xiao
辽宁大学,liao'ning'da'xue
辽宁对外经贸职业学院,liao'ning'dui'wai'jing'mao'zhi'ye'xue'yuan
辽宁工程技术大学,liao'ning'gong'cheng'ji'shu'da'xue
辽宁工学院,liao'ning'gong'xue'yuan
辽宁科技学院,liao'ning'ke'ji'xue'yuan
辽宁省交通高等专科学校,liao'ning'sheng'jiao'tong'gao'deng'zhuan'ke'xue'xiao
辽宁师范大学,liao'ning'shi'fan'da'xue
辽宁石油化工大学,liao'ning'shi'you'hua'gong'da'xue
辽宁中医学院,liao'ning'zhong'yi'xue'yuan
临沂师范学院,lin'yi'shi'fan'xue'yuan
龙岩学院,long'yan'xue'yuan
鹭江职业大学,lu'jiang'zhi'ye'da'xue
鲁迅美术学院,lu'xun'mei'shu'xue'yuan
泸州医学院,lu'zhou'yi'xue'yuan
