哀牢山三十六剑,ai'lao'shan'san'shi'liu'jian
黑暗诱惑,hei'an'you'huo
黑白子,hei'bai'zi
黑风双煞,hei'feng'shuang'sha
黑砂掌,hei'sha'zhang
横拜观音,heng'bai'guan'yin
恒河入海,heng'he'ru'hai
横江飞渡,heng'jiang'fei'du
恒山剑法,heng'shan'jian'fa
恒山剑阵,heng'shan'jian'zhen
衡山派,heng'shan'pai
恒山派,heng'shan'pai
衡山五神剑,heng'shan'wu'shen'jian
横云断峰,heng'yun'duan'feng
恒云悯天,heng'yun'min'tian
鸿飞冥冥,hong'fei'ming'ming
红拂夜奔,hong'fu'ye'ben
鸿渐于陆,hong'jian'yu'lu
虹魔嗜血剑,hong'mo'shi'xue'jian
洪七公,hong'qi'gong
红线盗盒,hong'xian'dao'he
洪崖拍肩,hong'ya'pai'jian
红玉击鼓,hong'yu'ji'gu
烘云托月,hong'yun'tuo'yue
後山三绝招,hou'shan'san'jue'zhao
湖北阮家,hu'bei'ruan'jia
胡家刀法,hu'jia'dao'fa
胡马越岭,hu'ma'yue'ling
呼延十八鞭,hu'yan'shi'ba'bian
虎爪绝户手,hu'zhao'jue'hu'shou
虎爪手,hu'zhao'shou
化功大法,hua'gong'da'fa
化骨绵掌,hua'gu'mian'zhang
花海飘香,hua'hai'piao'xiang
花开见佛,hua'kai'jian'fo
花前月下,hua'qian'yue'xia
华拳门,hua'quan'men
花容云鬓,hua'rong'yun'bin
华山剑法,hua'shan'jian'fa
华山派,hua'shan'pai
怀素自叙帖,huai'su'zi'xu'tie
幻剑式,huan'jian'shi
幻阴指,huan'yin'zhi
黄泉逆流,huang'quan'ni'liu
黄沙万里鞭法,huang'sha'wan'li'bian'fa
黄裳,huang'shang
皇扬震首,huang'yang'zhen'shou
黄锺公,huang'zhong'gong
回打软鞭十三式,hui'da'ruan'bian'shi'san'shi
回风拂柳刀,hui'feng'fu'liu'dao
回风拂柳拳,hui'feng'fu'liu'quan
回风落雁剑,hui'feng'luo'yan'jian
回风落雁剑法,hui'feng'luo'yan'jian'fa
回风掌,hui'feng'zhang
回头是岸,hui'tou'shi'an
彗星飞堕,hui'xing'fei'duo
回雁三决,hui'yan'san'jue
混沌一破,hun'dun'yi'po
混天功,hun'tian'gong
混元功,hun'yuan'gong
混元剑,hun'yuan'jian
混元气,hun'yuan'qi
混元掌,hun'yuan'zhang
火焰刀,huo'yan'dao
寂灭爪,ji'mie'zhao
急雨打萍,ji'yu'da'ping
季长老,ji'zhang'lao
挤字诀,ji'zi'jue
家传剑法,jia'chuan'jian'fa
袈裟伏魔功,jia'sha'fu'mo'gong
剪补自如,jian'bu'zi'ru
见龙在田,jian'long'zai'tian
剑落双雁,jian'luo'shuang'yan
见人伸手,jian'ren'shen'shou
降魔禅杖,jiang'mo'chan'zhang
降魔刀法,jiang'mo'dao'fa
江南史家,jiang'nan'shi'jia
江上弄笛,jiang'shang'nong'di
僵尸拳,jiang'shi'quan
截剑式,jie'jian'shi
截手九式,jie'shou'jiu'shi
解穴秘诀,jie'xue'mi'jue
锦笔生花,jin'bi'sheng'hua
进步搬拦锤,jin'bu'ban'lan'chui
金顶佛光,jin'ding'fo'guang
金顶绵掌,jin'ding'mian'zhang
金刚般若掌,jin'gang'bo're'zhang
金刚禅狮子吼,jin'gang'chan'shi'zi'hou
金刚掣尾,jin'gang'che'wei
金刚伏虎,jin'gang'fu'hu
金刚伏虎刀法,jin'gang'fu'hu'dao'fa
金刚护体神功,jin'gang'hu'ti'shen'gong
金刚门,jin'gang'men
金刚指,jin'gang'zhi
金龙鞭法,jin'long'bian'fa
金轮度劫,jin'lun'du'jie
紧罗那王棍,jin'luo'na'wang'gun
金蛇缠丝式,jin'she'chan'si'shi
金蛇剑法,jin'she'jian'fa
金蛇郎君,jin'she'lang'jun
金蛇盘身式,jin'she'pan'shen'shi
金蛇擒鹤拳,jin'she'qin'he'quan
金蛇升天式,jin'she'sheng'tian'shi
金蛇吐信式,jin'she'tu'xin'shi
金蛇游身式,jin'she'you'shen'shi
金蛇游身掌,jin'she'you'shen'zhang
金蛇锥,jin'she'zhui
金声玉振,jin'sheng'yu'zhen
金乌刀法,jin'wu'dao'fa
金乌派,jin'wu'pai
金雁功,jin'yan'gong
金雁横空,jin'yan'heng'kong
金玉满堂,jin'yu'man'tang
金针渡劫,jin'zhen'du'jie
敬捧宝经,jing'peng'bao'jing
九龙鞭法,jiu'long'bian'fa
九龙派,jiu'long'pai
鸠摩智,jiu'mo'zhi
九品连台,jiu'pin'lian'tai
九翼道人,jiu'yi'dao'ren
九阴白骨爪,jiu'yin'bai'gu'zhao
九阴真经,jiu'yin'zhen'jing
救赵挥金锤,jiu'zhao'hui'jin'chui
举火撩天,ju'huo'liao'tian
举火燎天,ju'huo'liao'tian
绝剑,jue'jian
峻岭横空,jun'ling'heng'kong
开门揖盗,kai'men'yi'dao
开山掌,kai'shan'zhang
亢龙有悔,kang'long'you'hui
柯镇恶,ke'zhen'e
控鹤功,kong'he'gong
空击苍鹰,kong'ji'cang'ying
空明拳,kong'ming'quan
孔雀开屏,kong'que'kai'ping
崆峒派,kong'tong'pai
苦恼拳,ku'nao'quan
枯荣禅功,ku'rong'chan'gong
快活三十掌,kuai'huo'san'shi'zhang
狂风快剑,kuang'feng'kuai'jian
葵花宝典,kui'hua'bao'dian
昆仑剑法,kun'lun'jian'fa
昆仑派,kun'lun'pai
来鹤清泉,lai'he'qing'quan
兰花拂穴手,lan'hua'fu'xue'shou
揽雀尾,lan'que'wei
浪迹天涯,lang'ji'tian'ya
朗月无云,lang'yue'wu'yun
浪子回头,lang'zi'hui'tou
捞月式,lao'yue'shi
老枝横斜,lao'zhi'heng'xie
雷动於九天之上剑法,lei'dong'yu'jiu'tian'zhi'shang'jian'fa
力不从心,li'bu'cong'xin
力劈三关,li'pi'san'guan
利涉大川,li'she'da'chuan
怜花研姿,lian'hua'yan'zi
莲花掌,lian'hua'zhang
连环迷踪腿,lian'huan'mi'zong'tui
连山若波涛,lian'shan'ruo'bo'tao
两回玛法,liang'hui'ma'fa
两仪剑法,liang'yi'jian'fa
林兴珠,lin'xing'zhu
林远图,lin'yuan'tu
灵鳌步,ling'ao'bu
凌波微步,ling'bo'wei'bu
灵鹫听经,ling'jiu'ting'jing
灵山礼佛,ling'shan'li'fo
岭上双梅,ling'shang'shuang'mei
灵蛇拳,ling'she'quan
六合拳,liu'he'quan
六脉神剑,liu'mai'shen'jian
流泉下山,liu'quan'xia'shan
六神不安,liu'shen'bu'an
六十四路轰天雷震挡法,liu'shi'si'lu'hong'tian'lei'zhen'dang'fa
流星飞堕,liu'xing'fei'duo
流星赶月,liu'xing'gan'yue
柳絮剑法,liu'xu'jian'fa
柳荫联句,liu'yin'lian'ju
流云叠影,liu'yun'die'ying
龙蛇飞动,long'she'fei'dong
龙跃在渊,long'yue'zai'yuan
龙战于野,long'zhan'yu'ye
龙爪擒拿手,long'zhao'qin'na'shou
龙爪手,long'zhao'shou
搂膝拗步,lou'xi'niu'bu
鲁达拔柳,lu'da'ba'liu
六合刀,lu'he'dao
六合劲,lu'he'jing
六合枪,lu'he'qiang
鲁智深醉跌,lu'zhi'shen'zui'die
路自中峰上,lu'zi'zhong'feng'shang
乱环诀,luan'huan'jue
骆冰,luo'bing
罗汉剑法,luo'han'jian'fa
罗汉拳,luo'han'quan
落日照大旗,luo'ri'zhao'da'qi
洛神凌波,luo'shen'ling'bo
螺旋九影,luo'xuan'jiu'ying
落雁拳,luo'yan'quan
洛阳韩家,luo'yang'han'jia
落英剑法,luo'ying'jian'fa
落英神剑掌,luo'ying'shen'jian'zhang
履霜冰至,lv'shuang'bing'zhi
绿珠坠楼,lv'zhu'zhui'lou
马大元,ma'da'yuan
麻姑献寿,ma'gu'xian'shou
马面挑心,ma'mian'tiao'xin
马鸣风萧萧,ma'ming'feng'xiao'xiao
梅芳姑,mei'fang'gu
梅花拳,mei'hua'quan
美女拳法,mei'nv'quan'fa
美人三招,mei'ren'san'zhao
梅雪逢夏,mei'xue'feng'xia
梅雪争春,mei'xue'zheng'chun
蒙古摔跤,meng'gu'shuai'jiao
猛虎伏桩,meng'hu'fu'zhuang
猛虎下山,meng'hu'xia'shan
猛鸡夺粟,meng'ji'duo'su
孟家,meng'jia
孟家神拳,meng'jia'shen'quan
孟婆灌汤,meng'po'guan'tang
密云不雨,mi'yun'bu'yu
面无人色,mian'wu'ren'se
绵掌,mian'zhang
苗家剑,miao'jia'jian
灭剑,mie'jian
明教,ming'jiao
明驼骏足,ming'tuo'jun'zu
明月羌笛,ming'yue'qiang'di
莫愁,mo'chou
摩诃指,mo'he'zhi
魔龙天神剑,mo'long'tian'shen'jian
沐家剑,mu'jia'jian
沐家拳,mu'jia'quan
木兰织衣,mu'lan'zhi'yi
沐王府,mu'wang'fu
木叶萧萧,mu'ye'xiao'xiao
拿云式,na'yun'shi
奈何功,nai'he'gong
南海椰花岛,nan'hai'ye'hua'dao
南山掌法,nan'shan'zhang'fa
南少林派,nan'shao'lin'pai
南希仁,nan'xi'ren
内八卦掌法,nei'ba'gua'zhang'fa
霓裳金莲,ni'chang'jin'lian
尼摩星,ni'mo'xing
泥鳅功,ni'qiu'gong
逆行经脉,ni'xing'jing'mai
拈花擒拿手,nian'hua'qin'na'shou
拈花指,nian'hua'zhi
宁波天童寺心观和尚,ning'bo'tian'tong'si'xin'guan'he'shang
宁氏一剑,ning'shi'yi'jian
凝血神抓,ning'xue'shen'zhua
弄玉吹箫,nong'yu'chui'xiao
女貌郎才珠万斛,nv'mao'lang'cai'zhu'wan'hu
欧阳锋,ou'yang'feng
徘徊空谷,pai'huai'kong'gu
盘根错节十八斧,pan'gen'cuo'jie'shi'ba'fu
盘弓射雕,pan'gong'she'diao
判官翻簿,pan'guan'fan'bu
盘回出壁箩,pan'hui'chu'bi'luo
庖丁解牛掌,pao'ding'jie'niu'zhang
抛砖引玉,pao'zhuan'yin'yu
裴将军诗,pei'jiang'jun'shi
鹏程万里,peng'cheng'wan'li
彭莹玉,peng'ying'yu
批亢式,pi'kang'shi
劈空掌,pi'kong'zhang
霹雳拳,pi'li'quan
霹雳掌,pi'li'zhang
琵琶遮面,pi'pa'zhe'mian
飘雪穿云掌,piao'xue'chuan'yun'zhang
破鞭式,po'bian'shi
破刀式,po'dao'shi
破盾,po'dun
破甲,po'jia
破剑式,po'jian'shi
破箭式,po'jian'shi
泼墨披麻剑法,po'mo'pi'ma'jian'fa
破衲功,po'na'gong
破牌,po'pai
破气式,po'qi'shi
破枪式,po'qiang'shi
破索式,po'suo'shi
破玉拳,po'yu'quan
破月锥,po'yue'zhui
破掌式,po'zhang'shi
普门杖法,pu'men'zhang'fa
祁家剑,qi'jia'jian
奇门三才刀,qi'men'san'cai'dao
奇门五转,qi'men'wu'zhuan
棋盘招式,qi'pan'zhao'shi
杞人忧天,qi'ren'you'tian
七伤拳,qi'shang'quan
七弦无形剑法,qi'xian'wu'xing'jian'fa
千道纵横,qian'dao'zong'heng
千跌张,qian'die'zhang
千古人龙,qian'gu'ren'long
千斤堕地,qian'jin'duo'di
千钧压驼,qian'jun'ya'tuo
乾坤大挪移,qian'kun'da'nuo'yi
千里不留行,qian'li'bu'liu'hang
千里横行,qian'li'heng'xing
千里流沙,qian'li'liu'sha
潜龙勿用,qian'long'wu'yong
千蛛万毒手,qian'zhu'wan'du'shou
抢珠式,qiang'zhu'shi
峭壁断云,qiao'bi'duan'yun
擒龙功,qin'long'gong
青城派,qing'cheng'pai
清风引佩下瑶台,qing'feng'yin'pei'xia'yao'tai
青蜂针,qing'feng'zhen
轻罗小扇,qing'luo'xiao'shan
轻上斜红,qing'shang'xie'hong
青松望亭,qing'song'wang'ting
清心凝意,qing'xin'ning'yi
轻吟回风,qing'yin'hui'feng
清饮小酌,qing'yin'xiao'zhuo
青字九打,qing'zi'jiu'da
穷途末路,qiong'tu'mo'lu
去傍马头生,qu'bang'ma'tou'sheng
去烦恼指,qu'fan'nao'zhi
取经棍法,qu'jing'gun'fa
曲走奈何,qu'zou'nai'he
全金发,quan'jin'fa
泉鸣芙蓉,quan'ming'fu'rong
全真剑法,quan'zhen'jian'fa
全真教,quan'zhen'jiao
群邪辟易,qun'xie'pi'yi
燃木刀法,ran'mu'dao'fa
绕指柔剑,rao'zhi'rou'jian
人鬼同途,ren'gui'tong'tu
任我行,ren'wo'xing
日月神教,ri'yue'shen'jiao
柔云剑术,rou'yun'jian'shu
如封似闭,ru'feng'si'bi
如来千手式,ru'lai'qian'shou'shi
如影随形腿,ru'ying'sui'xing'tui
塞北白家堡,sai'bei'bai'jia'bao
三百六十一枚黑白棋子暗器手法,san'bai'liu'shi'yi'mei'hei'bai'qi'zi'an'qi'shou'fa
三杯吐言诺,san'bei'tu'yan'nuo
三分剑术,san'fen'jian'shu
三花聚顶掌法,san'hua'ju'ding'zhang'fa
散花掌,san'hua'zhang
三环套月,san'huan'tao'yue
三入地狱,san'ru'di'yu
三无三不手,san'wu'san'bu'shou
三燕投林,san'yan'tou'lin
三铸神装,san'zhu'shen'zhuang
扫荡群魔,sao'dang'qun'mo
扫雪烹茶,sao'xue'peng'cha
扫叶腿法,sao'ye'tui'fa
煞神当道,sha'shen'dang'dao
山从人面起,shan'cong'ren'mian'qi
山门护法,shan'men'hu'fa
山外清音,shan'wai'qing'yin
山西童家,shan'xi'tong'jia
上清观,shang'qing'guan
上清剑,shang'qing'jian
上清剑法,shang'qing'jian'fa
上清拳,shang'qing'quan
商阳剑,shang'yang'jian
少冲剑,shao'chong'jian
少林长拳,shao'lin'chang'quan
少林伏魔神功,shao'lin'fu'mo'shen'gong
少林派,shao'lin'pai
少林擒拿十八打,shao'lin'qin'na'shi'ba'da
少商剑,shao'shang'jian
少泽剑,shao'ze'jian
慑服外道,she'fu'wai'dao
蛇口蜂针,she'kou'feng'zhen
蛇磐青竹,she'pan'qing'zhu
蛇行狸翻,she'xing'li'fan
蛇行鼠窜,she'xing'shu'cuan
深藏身与名,shen'cang'shen'yu'ming
神龙摆尾,shen'long'bai'wei
神龙教,shen'long'jiao
神门十三剑,shen'men'shi'san'jian
神行百变,shen'xing'bai'bian
神照经,shen'zhao'jing
圣火令武功,sheng'huo'ling'wu'gong
生死符,sheng'si'fu
生死令,sheng'si'ling
生死一线,sheng'si'yi'xian
十步杀一人,shi'bu'sha'yi'ren
时乘六龙,shi'cheng'liu'long
石关回马,shi'guan'hui'ma
释迦掷象功,shi'jia'zhi'xiang'gong
事了拂衣去,shi'le'fu'yi'qu
石梁派,shi'liang'pai
石廪剑法,shi'lin'jian'fa
石廪书声,shi'lin'shu'sheng
石破天惊,shi'po'tian'jing
狮子吼,shi'zi'hou
十字手,shi'zi'shou
手挥琵琶,shou'hui'pi'pa
手挥五弦,shou'hui'wu'xian
守缺式,shou'que'shi
蜀道难牌法,shu'dao'nan'pai'fa
书法武学,shu'fa'wu'xue
淑女剑,shu'nv'jian
树梢擒猴,shu'shao'qin'hou
双龙取水,shuang'long'qu'shui
双手互搏,shuang'shou'hu'bo
双驼西来,shuang'tuo'xi'lai
顺水推舟,shun'shui'tui'zhou
朔风忽起,shuo'feng'hu'qi
朔风狂啸,shuo'feng'kuang'xiao
四海遨游,si'hai'ao'you
丝萝百结,si'luo'bai'jie
四象步法,si'xiang'bu'fa
四象掌法,si'xiang'zhang'fa
松风剑法,song'feng'jian'fa
嵩山剑法,song'shan'jian'fa
宋太祖,song'tai'zu
松涛如雷,song'tao'ru'lei
松下对弈,song'xia'dui'yi
嵩旭一振,song'xu'yi'zhen
嵩阳干元,song'yang'gan'yuan
嵩阳派,song'yang'pai
损则有孚,sun'ze'you'fu
太别山,tai'bie'shan
太极剑,tai'ji'jian
太极门,tai'ji'men
太极拳,tai'ji'quan
泰山剑法,tai'shan'jian'fa
泰山派,tai'shan'pai
泰山十八盘,tai'shan'shi'ba'pan
胎死腹中,tai'si'fu'zhong
太乙派,tai'yi'pai
太岳三青峰,tai'yue'san'qing'feng
太祖棒,tai'zu'bang
太祖长拳,tai'zu'chang'quan
弹指神通,tan'zhi'shen'tong
唐诗剑法,tang'shi'jian'fa
桃花岛,tao'hua'dao
提手上式,ti'shou'shang'shi
梯云纵,ti'yun'zong
天长掌法,tian'chang'zhang'fa
天地同寿,tian'di'tong'shou
天罡北斗阵,tian'gang'bei'dou'zhen
天罡梅花桩,tian'gang'mei'hua'zhuang
天花落不尽,tian'hua'luo'bu'jin
天龙寺,tian'long'si
天罗地网势,tian'luo'di'wang'shi
天山六阳掌,tian'shan'liu'yang'zhang
天山派,tian'shan'pai
天山折梅手,tian'shan'zhe'mei'shou
天绅倒悬,tian'shen'dao'xuan
天孙织锦,tian'sun'zhi'jin
天外飞龙,tian'wai'fei'long
天外来云,tian'wai'lai'yun
天王补心针,tian'wang'bu'xin'zhen
天下无狗,tian'xia'wu'gou
天衣无缝,tian'yi'wu'feng
天竺佛指,tian'zhu'fo'zhi
天柱剑法,tian'zhu'jian'fa
天柱云气,tian'zhu'yun'qi
铁钩功夫,tie'gou'gong'fu
铁剑门,tie'jian'men
铁莲子,tie'lian'zi
铁门闩刀法,tie'men'shuan'dao'fa
铁牛耕地,tie'niu'geng'di
铁琵琶手,tie'pi'pa'shou
铁骑突出,tie'qi'tu'chu
铁锁横江,tie'suo'heng'jiang
铁掌,tie'zhang
铁掌帮,tie'zhang'bang
铁指诀,tie'zhi'jue
铁帚腿法,tie'zhou'tui'fa
通臂拳,tong'bi'quan
铜锤手,tong'chui'shou
同归剑法,tong'gui'jian'fa
童家流星锤法,tong'jia'liu'xing'chui'fa
透骨打穴,tou'gu'da'xue
秃笔翁,tu'bi'weng
突如其来,tu'ru'qi'lai
推窗望月,tui'chuang'wang'yue
脱剑膝前横,tuo'jian'xi'qian'heng
拖泥带水,tuo'ni'dai'shui
万国仰宗周,wan'guo'yang'zong'zhou
万户捣衣声,wan'hu'dao'yi'sheng
万花剑法,wan'hua'jian'fa
万路雷霆,wan'lu'lei'ting
万蛇汹涌,wan'she'xiong'yong
万岳朝宗,wan'yue'chao'zong
万紫千红,wan'zi'qian'hong
王维扬,wang'wei'yang
王字四刀,wang'zi'si'dao
韦陀杵,wei'tuo'chu
韦陀门,wei'tuo'men
韦陀掌,wei'tuo'zhang
韦一笑,wei'yi'xiao
威震玛法,wei'zhen'ma'fa
文姬归汉,wen'ji'gui'han
文君当炉,wen'jun'dang'lu
文泰来,wen'tai'lai
沃玛电光剑一字慧剑门,wo'ma'dian'guang'jian'yi'zi'hui'jian'men
无边落木,wu'bian'luo'mu
无常抖索,wu'chang'dou'suo
吴长风,wu'chang'feng
无常锁命,wu'chang'suo'ming
无尘,wu'chen
五大夫剑,wu'dai'fu'jian
武当长拳,wu'dang'chang'quan
武当派,wu'dang'pai
五斗米神功,wu'dou'mi'shen'gong
五毒神掌,wu'du'shen'zhang
五鬼投叉,wu'gui'tou'cha
五虎断门刀,wu'hu'duan'men'dao
无极玄功拳,wu'ji'xuan'gong'quan
无教艳质为眷属,wu'jiao'yan'zhi'wei'juan'shu
