艾儿,ai'er
会心,hui'xin
戟兵,ji'bing
纪枫露,ji'feng'lu
疾风枪,ji'feng'qiang
戟将,ji'jiang
戟骑,ji'qi
戟神,ji'shen
戟圣,ji'sheng
戟尉,ji'wei
冀州典军,ji'zhou'dian'jun
冀州都尉,ji'zhou'du'wei
冀州居民,ji'zhou'ju'min
冀州太守,ji'zhou'tai'shou
冀州治中,ji'zhou'zhi'zhong
建安七子之一,jian'an'qi'zi'zhi'yi
坚壁,jian'bi
锏豪,jian'hao
剑豪,jian'hao
锏客,jian'ke
剑客,jian'ke
简良,jian'liang
坚木锏,jian'mu'jian
尖木枪,jian'mu'qiang
锏神,jian'shen
锏圣,jian'sheng
剑圣,jian'sheng
锏士,jian'shi
剑士,jian'shi
锏侠,jian'xia
剑侠,jian'xia
剑仙,jian'xian
剑意,jian'yi
姜综,jiang'zong
搅海势,jiao'hai'shi
截脉刺,jie'mai'ci
解牛劈,jie'niu'pi
结义,jie'yi
结义管理员,jie'yi'guan'li'yuan
锦缎带,jin'duan'dai
经学大师,jing'xue'da'shi
旧布袄,jiu'bu'ao
旧布带,jiu'bu'dai
酒馆伙计,jiu'guan'huo'ji
酒馆老板,jiu'guan'lao'ban
救护,jiu'hu
旧绢带,jiu'juan'dai
旧木镯,jiu'mu'zhuo
旧手套,jiu'shou'tao
沮授,ju'shou
绢带,juan'dai
军团,jun'tuan
孔方,kong'fang
孔利,kong'li
宽木钺,kuan'mu'yue
兰芷,lan'zhi
雷羿,lei'yi
力劈华山,li'pi'hua'shan
连打,lian'da
连击,lian'ji
连劈,lian'pi
连矢射,lian'shi'she
连中,lian'zhong
梁存,liang'cun
梁翔,liang'xiang
梁严,liang'yan
林戈,lin'ge
灵山密道,ling'shan'mi'dao
灵山秘道,ling'shan'mi'dao
凌云,ling'yun
刘铠,liu'kai
刘睿,liu'rui
流星剑,liu'xing'jian
刘元起,liu'yuan'qi
龙卷术,long'juan'shu
鹿皮带,lu'pi'dai
鹿皮鞋,lu'pi'xie
卢毓,lu'yu
卢植,lu'zhi
落英射,luo'ying'she
绿石镯,lv'shi'zhuo
马维,ma'wei
满弦射,man'xian'she
孟晖,meng'hui
猛劈,meng'pi
觅心刺,mi'xin'ci
棉布甲,mian'bu'jia
棉布肩甲,mian'bu'jian'jia
棉布裤,mian'bu'ku
棉布披肩,mian'bu'pi'jian
棉布裙,mian'bu'qun
棉布裳,mian'bu'shang
鸣镝箭,ming'di'jian
木锤,mu'chui
木刀,mu'dao
木盾,mu'dun
木斧,mu'fu
木弓,mu'gong
木钩,mu'gou
木棍,mu'gun
木环,mu'huan
木戟,mu'ji
木锏,mu'jian
木剑,mu'jian
木枪,mu'qiang
穆求鱼,mu'qiu'yu
木镗,mu'tang
木钺,mu'yue
木杖,mu'zhang
木爪,mu'zhao
逆袭棍,ni'xi'gun
聂婧,nie'jing
宁红,ning'hong
凝视水流的江贼,ning'shi'shui'liu'de'jiang'zei
农场主儿子,nong'chang'zhu'er'zi
农场主夫人,nong'chang'zhu'fu'ren
农夫,nong'fu
农田主,nong'tian'zhu
潘希,pan'xi
裴元绍,pei'yuan'shao
烹饪师,peng'ren'shi
皮革护腿,pi'ge'hu'tui
皮革甲,pi'ge'jia
皮革肩甲,pi'ge'jian'jia
皮护腕,pi'hu'wan
劈砸,pi'za
破煞,po'sha
蒲兴,pu'xing
漆木戟,qi'mu'ji
钱耀,qian'yao
枪兵,qiang'bing
强攻,qiang'gong
枪魂,qiang'hun
枪将,qiang'jiang
枪骑,qiang'qi
枪神,qiang'shen
强生术,qiang'sheng'shu
枪王,qiang'wang
枪尉,qiang'wei
强袭棍,qiang'xi'gun
秦幽儿,qin'you'er
青布带,qing'bu'dai
青布鞋,qing'bu'xie
轻绸带,qing'chou'dai
清凉驿,qing'liang'yi
清凉驿武师,qing'liang'yi'wu'shi
青龙偃月,qing'long'yan'yue
青铜斧,qing'tong'fu
青铜钩,qing'tong'gou
青铜戟,qing'tong'ji
青铜剑,qing'tong'jian
青铜钺,qing'tong'yue
雀落棍,que'luo'gun
燃怒劈,ran'nu'pi
韧木弓,ren'mu'gong
锐金,rui'jin
锐木爪,rui'mu'zhao
三军教习,san'jun'jiao'xi
扫花老人,sao'hua'lao'ren
扫击,sao'ji
扇将,shan'jiang
扇生,shan'sheng
扇士,shan'shi
扇王,shan'wang
扇侠,shan'xia
扇仙,shan'xian
扇意,shan'yi
射击,she'ji
审配,shen'pei
神威枪,shen'wei'qiang
声望,sheng'wang
十八般兵器,shi'ba'ban'bing'qi
食品商,shi'pin'shang
饰品商,shi'pin'shang
十字劈,shi'zi'pi
守关卫兵,shou'guan'wei'bing
熟铜锤,shu'tong'chui
熟铜棍,shu'tong'gun
熟铜锏,shu'tong'jian
熟铜枪,shu'tong'qiang
熟铜镗,shu'tong'tang
双环击,shuang'huan'ji
双木斧,shuang'mu'fu
丝绸履,si'chou'lv
思考存在的僵尸,si'kao'cun'zai'de'jiang'shi
司马望,si'ma'wang
苏昌,su'chang
速打,su'da
速击,su'ji
速砍,su'kan
苏氏古宅主人,su'shi'gu'zhai'zhu'ren
苏双,su'shuang
孙权,sun'quan
缩地,suo'di
檀香扇,tan'xiang'shan
镗兵,tang'bing
镗将,tang'jiang
镗骑,tang'qi
镗神,tang'shen
镗圣,tang'sheng
镗尉,tang'wei
桃木剑,tao'mu'jian
桃园,tao'yuan
桃园村民,tao'yuan'cun'min
桃园村长,tao'yuan'cun'zhang
桃园武师,tao'yuan'wu'shi
桃园秀才,tao'yuan'xiu'cai
桃园长者,tao'yuan'zhang'zhe
藤鞋,teng'xie
田狄,tian'di
挑击,tiao'ji
挑战,tiao'zhan
铁护手,tie'hu'shou
听劲,ting'jing
突刺,tu'ci
突击,tu'ji
弯木钩,wan'mu'gou
王丹,wang'dan
王道,wang'dao
王明,wang'ming
卫兵,wei'bing
卫绩,wei'ji
五步射,wu'bu'she
舞豪,wu'hao
乌木镯,wu'mu'zhuo
武申,wu'shen
舞士,wu'shi
舞师,wu'shi
武师,wu'shi
舞王,wu'wang
舞者,wu'zhe
习锤者,xi'chui'zhe
习刀者,xi'dao'zhe
习盾者,xi'dun'zhe
习斧者,xi'fu'zhe
习弓者,xi'gong'zhe
习棍者,xi'gun'zhe
习环者,xi'huan'zhe
习戟者,xi'ji'zhe
习锏者,xi'jian'zhe
习剑者,xi'jian'zhe
西凉,xi'liang
习枪者,xi'qiang'zhe
习扇者,xi'shan'zhe
习镗者,xi'tang'zhe
习舞者,xi'wu'zhe
习钺者,xi'yue'zhe
习杖者,xi'zhang'zhe
习爪者,xi'zhao'zhe
夏风将军,xia'feng'jiang'jun
夏侯楚,xia'hou'chu
夏侯兰,xia'hou'lan
先攻,xian'gong
仙童,xian'tong
镶嵌,xiang'qian
相师,xiang'shi
小虎,xiao'hu
谢亭,xie'ting
辛评,xin'ping
新手指导员,xin'shou'zhi'dao'yuan
绣花鞋,xiu'hua'xie
蓄劲,xu'jing
许邵,xu'shao
旋风斧,xuan'feng'fu
玄铁盾,xuan'tie'dun
玄铁弓,xuan'tie'gong
玄铁棍,xuan'tie'gun
玄铁环,xuan'tie'huan
玄铁剑,xuan'tie'jian
玄铁杖,xuan'tie'zhang
玄铁爪,xuan'tie'zhao
薛鉴,xue'jian
薛夜来,xue'ye'lai
颜良,yan'liang
燕赵酒徒,yan'zhao'jiu'tu
杨不归,yang'bu'gui
杨狄,yang'di
杨明,yang'ming
叶之秋,ye'zhi'qiu
一剑凌风,yi'jian'ling'feng
医师,yi'shi
驿站老板,yi'zhan'lao'ban
翼州城,yi'zhou'cheng
异族,yi'zu
隐士,yin'shi
吟诗的大蛇,yin'shi'de'da'she
硬木棍,ying'mu'gun
拥离,yong'li
邮差,you'chai
渔夫,yu'fu
袁琳,yuan'lin
辕门射,yuan'men'she
圆木环,yuan'mu'huan
圆扇,yuan'shan
圆月斩,yuan'yue'zhan
钺兵,yue'bing
钺将,yue'jiang
钺骑,yue'qi
钺神,yue'shen
钺圣,yue'sheng
钺尉,yue'wei
运筹,yun'chou
蕴怒,yun'nu
杂货商,za'huo'shang
张嘉,zhang'jia
张谏,zhang'jian
杖将,zhang'jiang
杖客,zhang'ke
张南,zhang'nan
张平,zhang'ping
杖士,zhang'shi
张世平,zhang'shi'ping
张特,zhang'te
杖王,zhang'wang
杖侠,zhang'xia
杖仙,zhang'xian
张隐,zhang'yin
张昱,zhang'yu
赵风,zhao'feng
爪豪,zhao'hao
爪客,zhao'ke
爪神,zhao'shen
赵胜,zhao'sheng
爪圣,zhao'sheng
赵实,zhao'shi
爪士,zhao'shi
爪侠,zhao'xia
阵营,zhen'ying
郑玄,zheng'xuan
直刺,zhi'ci
知古通今的鬼魂,zhi'gu'tong'jin'de'gui'hun
纸团扇,zhi'tuan'shan
重木镗,zhong'mu'tang
中山靖王陵,zhong'shan'jing'wang'ling
咒冰术,zhou'bing'shu
周瑜,zhou'yu
骤雨青荷,zhou'yu'qing'he
诸葛亮,zhu'ge'liang
朱逸群,zhu'yi'qun
追风连刺,zhui'feng'lian'ci
紫铜刀,zi'tong'dao
紫铜盾,zi'tong'dun
紫铜弓,zi'tong'gong
紫铜环,zi'tong'huan
紫铜杖,zi'tong'zhang
紫铜爪,zi'tong'zhao
邹靖,zou'jing
邹越,zou'yue
