阿金沟,a'jin'gou
永安桥南,yong'an'qiao'nan
永安小区,yong'an'xiao'qu
永济路东,yong'ji'lu'dong
永济路西,yong'ji'lu'xi
永茂电机,yong'mao'dian'ji
永宁街,yong'ning'jie
永寿路,yong'shou'lu
永泰电力,yong'tai'dian'li
有机玻璃厂,you'ji'bo'li'chang
邮局,you'ju
油库,you'ku
油研,you'yan
友谊宾馆,you'yi'bin'guan
育才街,yu'cai'jie
裕城路,yu'cheng'lu
玉成中学,yu'cheng'zhong'xue
榆林,yu'lin
榆林二校,yu'lin'er'xiao
榆林街,yu'lin'jie
预制厂,yu'zhi'chang
原料厂,yuan'liao'chang
悦鑫国际,yue'xin'guo'ji
站东街,zhan'dong'jie
站东街北,zhan'dong'jie'bei
站东街南,zhan'dong'jie'nan
战犯管理所,zhan'fan'guan'li'suo
詹家,zhan'jia
章党,zhang'dang
章党大桥,zhang'dang'da'qiao
章党医院,zhang'dang'yi'yuan
张二甸子,zhang'er'dian'zi
浙商国际商贸城,zhe'shang'guo'ji'shang'mao'cheng
镇政府,zhen'zheng'fu
职业病院,zhi'ye'bing'yuan
中葛,zhong'ge
肿瘤医院,zhong'liu'yi'yuan
中心客运站,zhong'xin'ke'yun'zhan
中心医院,zhong'xin'yi'yuan
中央大街,zhong'yang'da'jie
中央大街南段,zhong'yang'da'jie'nan'duan
中医院,zhong'yi'yuan
种子中心,zhong'zi'zhong'xin
紫龙商场,zi'long'shang'chang
