阿贝比长原理,a'bei'bi'chang'yuan'li
绝对航高,jue'dui'hang'gao
考古摄影测量,kao'gu'she'ying'ce'liang
空间分解力,kong'jian'fen'jie'li
空间后方交会,kong'jian'hou'fang'jiao'hui
空间前方交会,kong'jian'qian'fang'jiao'hui
空间实验室,kong'jian'shi'yan'shi
孔径,kong'jing
空中导线测量,kong'zhong'dao'xian'ce'liang
空中三角测量,kong'zhong'san'jiao'ce'liang
空中水准测量,kong'zhong'shui'zhun'ce'liang
快门,kuai'men
框标,kuang'biao
框幅摄影机,kuang'fu'she'ying'ji
礼炮号航天站,li'pao'hao'hang'tian'zhan
立体观测,li'ti'guan'ce
立体模型,li'ti'mo'xing
立体摄影测量,li'ti'she'ying'ce'liang
立体摄影机,li'ti'she'ying'ji
立体视觉,li'ti'shi'jue
立体卫星,li'ti'wei'xing
立体象对,li'ti'xiang'dui
立体正射像片,li'ti'zheng'she'xiang'pian
联合平差,lian'he'ping'cha
联机空中三角测量,lian'ji'kong'zhong'san'jiao'ce'liang
连接点,lian'jie'dian
联盟号宇宙飞船,lian'meng'hao'yu'zhou'fei'chuan
帘幕快门,lian'mu'kuai'men
量测摄影机,liang'ce'she'ying'ji
量化,liang'hua
邻元法,lin'yuan'fa
陆地卫星,lu'di'wei'xing
罗德里格斯矩阵,luo'de'li'ge'si'ju'zhen
盲色片,mang'se'pian
密度,mi'du
密度分割,mi'du'fen'ge
密度计,mi'du'ji
明显地物点,ming'xian'di'wu'dian
模糊分类法,mo'hu'fen'lei'fa
模糊影象,mo'hu'ying'xiang
模拟磁带,mo'ni'ci'dai
模拟法测图,mo'ni'fa'ce'tu
模拟空中三角测量,mo'ni'kong'zhong'san'jiao'ce'liang
模式分析,mo'shi'fen'xi
模式识别,mo'shi'shi'bie
模型连接,mo'xing'lian'jie
模型缩放,mo'xing'suo'fang
模型置平,mo'xing'zhi'ping
目标区,mu'biao'qu
目视判读,mu'shi'pan'du
穆瓦条纹图,mu'wa'tiao'wen'tu
内部定向,nei'bu'ding'xiang
旁向重叠,pang'xiang'chong'die
旁向倾角,pang'xiang'qing'jiao
偏振光立体观察,pian'zhen'guang'li'ti'guan'cha
恰普斯基条件,qia'pu'si'ji'tiao'jian
切向畸变,qie'xiang'ji'bian
倾斜摄影,qing'xie'she'ying
倾斜摄影像片,qing'xie'she'ying'xiang'pian
倾斜位移,qing'xie'wei'yi
区域网平差,qu'yu'wang'ping'cha
全景畸变,quan'jing'ji'bian
全景摄影,quan'jing'she'ying
全景摄影机,quan'jing'she'ying'ji
全能法测图,quan'neng'fa'ce'tu
全色红外片,quan'se'hong'wai'pian
全色片,quan'se'pian
全息摄影,quan'xi'she'ying
全息摄影测量,quan'xi'she'ying'ce'liang
热辐射,re'fu'she
热红外图象,re'hong'wai'tu'xiang
人工标志,ren'gong'biao'zhi
冗余码,rong'yu'ma
冗余信息,rong'yu'xin'xi
沙尔定律,sha'er'ding'lv
熵编码,shang'bian'ma
上下视差,shang'xia'shi'cha
摄谱仪,she'pu'yi
射线摄影测量,she'xian'she'ying'ce'liang
摄影比例尺,she'ying'bi'li'chi
摄影测量内插,she'ying'ce'liang'nei'cha
摄影测量学,she'ying'ce'liang'xue
摄影测量坐标系,she'ying'ce'liang'zuo'biao'xi
摄影处理,she'ying'chu'li
摄影分区,she'ying'fen'qu
摄影航线,she'ying'hang'xian
摄影基线,she'ying'ji'xian
摄影机主距,she'ying'ji'zhu'ju
摄影学,she'ying'xue
摄影质量,she'ying'zhi'liang
摄站,she'zhan
生物量指标变换,sheng'wu'liang'zhi'biao'bian'huan
生物医学摄影测量,sheng'wu'yi'xue'she'ying'ce'liang
视地平线,shi'di'ping'xian
视模型,shi'mo'xing
实时处理,shi'shi'chu'li
实时摄影测量,shi'shi'she'ying'ce'liang
数据处理,shu'ju'chu'li
数据传输,shu'ju'chuan'shu
数据获取,shu'ju'huo'qu
数据探测法,shu'ju'tan'ce'fa
数控绘图桌,shu'kong'hui'tu'zhuo
竖直摄影,shu'zhi'she'ying
竖直摄影像片,shu'zhi'she'ying'xiang'pian
数字表面模型,shu'zi'biao'mian'mo'xing
数字测图,shu'zi'ce'tu
数字磁带,shu'zi'ci'dai
数字高程模型,shu'zi'gao'cheng'mo'xing
数字化影象,shu'zi'hua'ying'xiang
数字纠正,shu'zi'jiu'zheng
数字滤波,shu'zi'lv'bo
数字图象,shu'zi'tu'xiang
数字图象处理,shu'zi'tu'xiang'chu'li
数字相关,shu'zi'xiang'guan
数字镶嵌,shu'zi'xiang'qian
数字影象,shu'zi'ying'xiang
双介质摄影测量,shuang'jie'zhi'she'ying'ce'liang
双三次卷积,shuang'san'ci'juan'ji
双线性内插,shuang'xian'xing'nei'cha
水下摄影机,shui'xia'she'ying'ji
瞬时现场,shun'shi'xian'chang
搜索区,sou'suo'qu
穗帽变换,sui'mao'bian'huan
缩微摄影,suo'wei'she'ying
太阳辐射波谱,tai'yang'fu'she'bo'pu
太阳同步卫星,tai'yang'tong'bu'wei'xing
探测器,tan'ce'qi
特征,te'zheng
特征编码,te'zheng'bian'ma
特征提取,te'zheng'ti'qu
特征选择,te'zheng'xuan'ze
条幅摄影机,tiao'fu'she'ying'ji
调绘,tiao'hui
调制传递函数,tiao'zhi'chuan'di'han'shu
同名光线,tong'ming'guang'xian
同名核线,tong'ming'he'xian
同名象点,tong'ming'xiang'dian
透光率,tou'guang'lv
透明负片,tou'ming'fu'pian
透明正片,tou'ming'zheng'pian
透视旋转定律,tou'shi'xuan'zhuan'ding'lv
投影差,tou'ying'cha
投影方程,tou'ying'fang'cheng
投影器主距,tou'ying'qi'zhu'ju
投影晒印,tou'ying'shai'yin
图解纠正,tu'jie'jiu'zheng
图象变换,tu'xiang'bian'huan
图象编码,tu'xiang'bian'ma
图象分割,tu'xiang'fen'ge
图象分析,tu'xiang'fen'xi
图象复合,tu'xiang'fu'he
图象复原,tu'xiang'fu'yuan
图象几何纠正,tu'xiang'ji'he'jiu'zheng
图象几何配准,tu'xiang'ji'he'pei'zhun
图象描述,tu'xiang'miao'shu
图象识别,tu'xiang'shi'bie
图象数字化,tu'xiang'shu'zi'hua
图象镶嵌,tu'xiang'xiang'qian
图象增强,tu'xiang'zeng'qiang
推扫式传感器,tui'sao'shi'chuan'gan'qi
外部定向,wai'bu'ding'xiang
微波传感器,wei'bo'chuan'gan'qi
微波辐射,wei'bo'fu'she
微波辐射计,wei'bo'fu'she'ji
微波图象,wei'bo'tu'xiang
微波遥感,wei'bo'yao'gan
伪彩色,wei'cai'se
微分法测图,wei'fen'fa'ce'tu
微分纠正,wei'fen'jiu'zheng
维纳频谱,wei'na'pin'pu
卫星摄影测量,wei'xing'she'ying'ce'liang
卫星像片图,wei'xing'xiang'pian'tu
卫星姿态,wei'xing'zi'tai
纹理分析,wen'li'fen'xi
纹理增强,wen'li'zeng'qiang
沃尔什变换,wo'er'shi'bian'huan
物镜分辨率,wu'jing'fen'bian'lv
物空间坐标系,wu'kong'jian'zuo'biao'xi
显微摄影,xian'wei'she'ying
显微摄影测量,xian'wei'she'ying'ce'liang
显影,xian'ying
象场角,xiang'chang'jiao
象等角点,xiang'deng'jiao'dian
象底点,xiang'di'dian
象地平线,xiang'di'ping'xian
象点位移,xiang'dian'wei'yi
相对定向元素,xiang'dui'ding'xiang'yuan'su
相对航高,xiang'dui'hang'gao
相对走向,xiang'dui'zou'xiang
象幅,xiang'fu
向甫鲁条件,xiang'fu'lu'tiao'jian
象空间坐标系,xiang'kong'jian'zuo'biao'xi
像片,xiang'pian
像片比例尺,xiang'pian'bi'li'chi
像片方位角,xiang'pian'fang'wei'jiao
像片方位元素,xiang'pian'fang'wei'yuan'su
像片基线,xiang'pian'ji'xian
像片纠正,xiang'pian'jiu'zheng
像片内方位元素,xiang'pian'nei'fang'wei'yuan'su
像片判读,xiang'pian'pan'du
像片平面图,xiang'pian'ping'mian'tu
像片倾角,xiang'pian'qing'jiao
像片外方位元素,xiang'pian'wai'fang'wei'yuan'su
像片镶嵌,xiang'pian'xiang'qian
像片旋角,xiang'pian'xuan'jiao
像片主距,xiang'pian'zhu'ju
象平面坐标系,xiang'ping'mian'zuo'biao'xi
镶嵌索引图,xiang'qian'suo'yin'tu
相位传递函数,xiang'wei'chuan'di'han'shu
象移补偿,xiang'yi'bu'chang
象元,xiang'yuan
象元地面分辨力,xiang'yuan'di'mian'fen'bian'li
象主点,xiang'zhu'dian
象主纵线,xiang'zhu'zong'xian
小象幅航空摄影,xiao'xiang'fu'hang'kong'she'ying
信息量,xin'xi'liang
信息提取,xin'xi'ti'qu
星载传感器,xing'zai'chuan'gan'qi
选权迭代法,xuan'quan'die'dai'fa
样条函数法,yang'tiao'han'shu'fa
遥感,yao'gan
遥感平台,yao'gan'ping'tai
移动拟合法,yi'dong'ni'he'fa
影象分辨力,ying'xiang'fen'bian'li
影象分辨率,ying'xiang'fen'bian'lv
影象匹配,ying'xiang'pi'pei
影象相关,ying'xiang'xiang'guan
影象质量,ying'xiang'zhi'liang
有限元法,you'xian'yuan'fa
月球轨道飞行器,yue'qiu'gui'dao'fei'xing'qi
真地平线,zhen'de'ping'xian
阵列摄影机,zhen'lie'she'ying'ji
真实孔径雷达,zhen'shi'kong'jing'lei'da
真水平线,zhen'shui'ping'xian
正立体,zheng'li'ti
正片,zheng'pian
正色片,zheng'se'pian
正射投影技术,zheng'she'tou'ying'ji'shu
正射像片,zheng'she'xiang'pian
正射影象地图,zheng'she'ying'xiang'di'tu
正射影象图,zheng'she'ying'xiang'tu
正直摄影,zheng'zhi'she'ying
直方图规格化,zhi'fang'tu'gui'ge'hua
直方图均衡,zhi'fang'tu'jun'heng
直接法纠正,zhi'jie'fa'jiu'zheng
直接线性变换,zhi'jie'xian'xing'bian'huan
重采样,zhong'cai'yang
中心快门,zhong'xin'kuai'men
主垂面,zhu'chui'mian
主动式传感器,zhu'dong'shi'chuan'gan'qi
主动式遥感,zhu'dong'shi'yao'gan
主分量变换,zhu'fen'liang'bian'huan
主合点,zhu'he'dian
主核面,zhu'he'mian
主核线,zhu'he'xian
专题测图传感器,zhuan'ti'ce'tu'chuan'gan'qi
自检校,zi'jian'xiao
姿态,zi'tai
姿态参数,zi'tai'can'shu
姿态测量传感器,zi'tai'ce'liang'chuan'gan'qi
资源与环境遥感,zi'yuan'yu'huan'jing'yao'gan
综合法测图,zong'he'fa'ce'tu
最大似然分类,zui'da'si'ran'fen'lei
最小二乘相关,zui'xiao'er'cheng'xiang'guan
最小距离分类,zui'xiao'ju'li'fen'lei
左右视差,zuo'you'shi'cha
