阿娇年未多,a'jiao'nian'wei'duo
爱惜已六载,ai'xi'yi'liu'zai
哀音何动人,ai'yin'he'dong'ren
哀音绝又连,ai'yin'jue'you'lian
哀猿不可听,ai'yuan'bu'ke'ting
哀猿啼一声,ai'yuan'ti'yi'sheng
哀猿透却坠,ai'yuan'tou'que'zhui
哀乐本相缠,ai'yue'ben'xiang'chan
哀乐日已作,ai'yue'ri'yi'zuo
哀哉两决绝,ai'zai'liang'jue'jue
哀哉岂独今,ai'zai'qi'du'jin
哀哉桃林战,ai'zai'tao'lin'zhan
哀哉王孙慎勿疏,ai'zai'wang'sun'shen'wu'shu
哀赠竟萧条,ai'zeng'jing'xiao'tiao
哀诏惜精灵,ai'zhao'xi'jing'ling
爱兹林峦好,ai'zi'lin'luan'hao
爱兹清俗虑,ai'zi'qing'su'lv
爱兹田中趣,ai'zi'tian'zhong'qu
爱子向青州,ai'zi'xiang'qing'zhou
爱子在霜台,ai'zi'zai'shuang'tai
黯黯长城外,an'an'chang'cheng'wai
岸傍青草常不歇,an'bang'qing'cao'chang'bu'xie
安边敌何有,an'bian'di'he'you
安边仍扈从,an'bian'reng'hu'cong
安边自合有长策,an'bian'zi'he'you'chang'ce
岸草知春晚,an'cao'zhi'chun'wan
暗窗凉叶动,an'chuang'liang'ye'dong
安辞且穷栖,an'ci'qie'qiong'qi
暗从何处来,an'cong'he'chu'lai
安得鞭雷公,an'de'bian'lei'gong
安得不皓首,an'de'bu'hao'shou
安得长偃仰,an'de'chang'yan'yang
安得赤脚蹋层冰,an'de'chi'jiao'ta'ceng'bing
安得春泥补地裂,an'de'chun'ni'bu'di'lie
安得尔辈开其群,an'de'er'bei'kai'qi'qun
安得覆八溟,an'de'fu'ba'ming
安得更似开元中,an'de'geng'si'kai'yuan'zhong
安得广厦千万间,an'de'guang'sha'qian'wan'jian
安得还旧山,an'de'hai'jiu'shan
安得酣歌眠,an'de'han'ge'mian
安得健步移远梅,an'de'jian'bu'yi'yuan'mei
安得廉耻将,an'de'lian'chi'jiang
安得骑鸿鹄,an'de'qi'hong'hu
安得阙亲近,an'de'que'qin'jin
安得如鸟有羽翅,an'de'ru'niao'you'yu'chi
安得送我置汝旁,an'de'song'wo'zhi'ru'pang
安得随鸟翎,an'de'sui'niao'ling
安得突骑只五千,an'de'tu'qi'zhi'wu'qian
安得万里风,an'de'wan'li'feng
安得万丈梯,an'de'wan'zhang'ti
安得仙人九节杖,an'de'xian'ren'jiu'jie'zhang
安得有仙骨,an'de'you'xian'gu
安得有邑居,an'de'you'yi'ju
安得造化功,an'de'zao'hua'gong
安得诛云师,an'de'zhu'yun'shi
安得壮士提天纲,an'de'zhuang'shi'ti'tian'gang
安得壮士挽天河,an'de'zhuang'shi'wan'tian'he
安得壮士掷天外,an'de'zhuang'shi'zhi'tian'wai
安得自西极,an'de'zi'xi'ji
案牍荷花香,an'du'he'hua'xiang
安敢尚盘桓,an'gan'shang'pan'huan
岸花藏水碓,an'hua'cang'shui'dui
岸花仍自羞红脸,an'hua'reng'zi'xiu'hong'lian
岸花迎步辇,an'hua'ying'bu'nian
暗汲石底井,an'ji'shi'di'jing
按节出皇都,an'jie'chu'huang'dou
按节辞黄阁,an'jie'ci'huang'ge
按节投蜀都,an'jie'tou'shu'dou
安居奉我欢,an'ju'feng'wo'huan
安居同僧夏,an'ju'tong'seng'xia
安康地理接商於,an'kang'di'li'jie'shang'yu
安可辞固穷,an'ke'ci'gu'qiong
安可限南北,an'ke'xian'nan'bei
岸阔水浮村,an'kuo'shui'fu'cun
岸柳拂金盘,an'liu'fu'jin'pan
安刘天地开,an'liu'tian'di'kai
鞍马去孤城,an'ma'qu'gu'cheng
鞍马去相寻,an'ma'qu'xiang'xun
鞍马下秦塞,an'ma'xia'qin'sai
暗满菊花团,an'man'ju'hua'tuan
安能点白还为黑,an'neng'dian'bai'hai'wei'hei
安能陷粪土,an'neng'xian'fen'tu
安能羡鹏举,an'neng'xian'peng'ju
安能滞不回,an'neng'zhi'bu'hui
安能终日守笔砚,an'neng'zhong'ri'shou'bi'yan
暗鸟动林间,an'niao'dong'lin'jian
安排求傲吏,an'pai'qiu'ao'li
安排用庄叟,an'pai'yong'zhuang'sou
岸旁桃李为谁春,an'pang'tao'li'wei'shui'chun
安贫亦士常,an'pin'yi'shi'chang
安期先生来起居,an'qi'xian'sheng'lai'qi'ju
安期再拜将生出,an'qi'zai'bai'jiang'sheng'chu
黯然何所为,an'ran'he'suo'wei
安仁道姓潘,an'ren'dao'xing'pan
安人在求瘼,an'ren'zai'qiu'mo
案上军书十二卷,an'shang'jun'shu'shi'er'juan
岸上空村尽豺虎,an'shang'kong'cun'jin'chai'hu
岸上种莲岂得生,an'shang'zhong'lian'qi'de'sheng
暗识啼乌与别鹤,an'shi'ti'wu'yu'bie'he
暗使销光彩,an'shi'xiao'guang'cai
岸疏开辟水,an'shu'kai'pi'shui
暗水流花径,an'shui'liu'hua'jing
案头干死读书萤,an'tou'gan'si'du'shu'ying
安为动主理信然,an'wei'dong'zhu'li'xin'ran
安稳高詹事,an'wen'gao'zhan'shi
安西兵马回,an'xi'bing'ma'hui
安西都护胡青骢,an'xi'du'hu'hu'qing'cong
安西美少年,an'xi'mei'shao'nian
岸筱覆回溪,an'xiao'fu'hui'xi
暗引巴江流,an'yin'ba'jiang'liu
岸雨过城头,an'yu'guo'cheng'tou
暗与江海通,an'yu'jiang'hai'tong
暗与神物期,an'yu'shen'wu'qi
岸远白波来,an'yuan'bai'bo'lai
岸帻偃东斋,an'ze'yan'dong'zhai
安枕春梦熟,an'zhen'chun'meng'shu
安知罢官后,an'zhi'ba'guan'hou
安知蔡夫子,an'zhi'cai'fu'zi
安知决臆追风足,an'zhi'jue'yi'zhui'feng'zu
安知梦寐间,an'zhi'meng'mei'jian
安知憔悴读书者,an'zhi'qiao'cui'du'shu'zhe
暗指人家去,an'zhi'ren'jia'qu
安知有苍池,an'zhi'you'cang'chi
昂昂无与俦,ang'ang'wu'yu'chou
昂藏寡俦侣,ang'cang'gua'chou'lv
肮脏乃天资,ang'zang'nai'tian'zi
傲吏身闲笑五侯,ao'li'shen'xian'xiao'wu'hou
傲睨俯峭壁,ao'ni'fu'qiao'bi
奥学穷讨赜,ao'xue'qiong'tao'ze
遨游宿南山,ao'you'su'nan'shan
灞岸零雨夕,ba'an'ling'yu'xi
把臂开尊饮我酒,ba'bi'kai'zun'yin'wo'jiu
把笔判甲兵,ba'bi'pan'jia'bing
把臂有多日,ba'bi'you'duo'ri
罢朝归不同,ba'chao'gui'bu'tong
拔城阵云合,ba'cheng'zhen'yun'he
巴道此相逢,ba'dao'ci'xiang'feng
把钓待秋风,ba'diao'dai'qiu'feng
巴东逢李潮,ba'dong'feng'li'chao
巴东之峡生凌澌,ba'dong'zhi'xia'sheng'ling'si
八分盖憔悴,ba'fen'gai'qiao'cui
八分一字直百金,ba'fen'yi'zi'zhi'bai'jin
罢官守园庐,ba'guan'shou'yuan'lu
罢官思早归,ba'guan'si'zao'gui
罢官无俸钱,ba'guan'wu'feng'qian
罢官无物唯古鼎,ba'guan'wu'wu'wei'gu'ding
罢官亦由人,ba'guan'yi'you'ren
罢官自南蜀,ba'guan'zi'nan'shu
巴汉空水流,ba'han'kong'shui'liu
八荒开寿域,ba'huang'kai'shou'yu
八荒十年防盗贼,ba'huang'shi'nian'fang'dao'zei
拔剑或与蛟龙争,ba'jian'huo'yu'jiao'long'zheng
拔剑击大荒,ba'jian'ji'da'huang
巴笺染翰光,ba'jian'ran'han'guang
拔剑欲去愤已平,ba'jian'yu'qu'fen'yi'ping
拔剑欲斩且复休,ba'jian'yu'zhan'qie'fu'xiu
巴江秋月新,ba'jiang'qiu'yue'xin
把镜悲鬓发,ba'jing'bei'bin'fa
罢酒酣歌拓金戟,ba'jiu'han'ge'tuo'jin'ji
把酒青门钟,ba'jiu'qing'men'zhong
把酒意茫然,ba'jiu'yi'mang'ran
拔剌飞鹅鶬,ba'la'fei'e'cang
拔利五兵威,ba'li'wu'bing'wei
巴陵洞庭日本东,ba'ling'dong'ting'ri'ben'dong
巴南音信稀,ba'nan'yin'xin'xi
霸气曾间发,ba'qi'ceng'jian'fa
拔齐翻见猜,ba'qi'fan'jian'cai
罢起郎官草,ba'qi'lang'guan'cao
罢琴惆怅月照席,ba'qin'chou'chang'yue'zhao'xi
罢琴伤解携,ba'qin'shang'jie'xie
罢人不在村,ba'ren'bu'zai'cun
罢人纷争讼,ba'ren'fen'zheng'song
巴人困军须,ba'ren'kun'jun'xu
罢如江海凝清光,ba'ru'jiang'hai'ning'qing'guang
巴山北客稀,ba'shan'bei'ke'xi
巴山客舍稀,ba'shan'ke'she'xi
灞上柳枝黄,ba'shang'liu'zhi'huang
跋涉曾不泥,ba'she'ceng'bu'ni
跋涉觉身劳,ba'she'jue'shen'lao
罢市秦人送,ba'shi'qin'ren'song
巴蜀倦剽掠,ba'shu'juan'piao'lue
八水散风涛,ba'shui'san'feng'tao
灞亭卷秋风,ba'ting'juan'qiu'feng
巴童荡桨欹侧过,ba'tong'dang'jiang'qi'ce'guo
灞头落花没马蹄,ba'tou'luo'hua'mei'ma'ti
拔为天军佐,ba'wei'tian'jun'zuo
把向空中捎一声,ba'xiang'kong'zhong'shao'yi'sheng
巴莺纷未稀,ba'ying'fen'wei'xi
八月洞庭秋,ba'yue'dong'ting'qiu
八月秋高风怒号,ba'yue'qiu'gao'feng'nu'hao
八月一日仙人方,ba'yue'yi'ri'xian'ren'fang
八月自知归,ba'yue'zi'zhi'gui
罢战回龙节,ba'zhan'hui'long'jie
罢秩见秋山,ba'zhi'jian'qiu'shan
八州刺史思一战,ba'zhou'ci'shi'si'yi'zhan
巴州鸟道边,ba'zhou'niao'dao'bian
八州崖谷深,ba'zhou'ya'gu'shen
八座由持节,ba'zuo'you'chi'jie
白璧黄金万户侯,bai'bi'huang'jin'wan'hu'hou
白璧皆言赐近臣,bai'bi'jie'yan'ci'jin'chen
白璧众求瑕,bai'bi'zhong'qiu'xia
白草北连天,bai'cao'bei'lian'tian
白草胡沙寒飒飒,bai'cao'hu'sha'han'sa'sa
白草黄云塞上秋,bai'cao'huang'yun'sai'shang'qiu
百草竞春华,bai'cao'jing'chun'hua
白草空皑皑,bai'cao'kong'ai'ai
白草磨天涯,bai'cao'mo'tian'ya
百草日已新,bai'cao'ri'yi'xin
白草通疏勒,bai'cao'tong'shu'le
百草无情春自绿,bai'cao'wu'qing'chun'zi'lv
百尺红亭对万峰,bai'chi'hong'ting'dui'wan'feng
百尺原头酒色殷,bai'chi'yuan'tou'jiu'se'yin
百川皆乱流,bai'chuan'jie'luan'liu
百川日东流,bai'chuan'ri'dong'liu
拜赐甘泉宫,bai'ci'gan'quan'gong
拜辞诣阙下,bai'ci'yi'que'xia
百毳纳袈裟,bai'cui'na'jia'sha
白摧朽骨龙虎死,bai'cui'xiu'gu'long'hu'si
百代无芳声,bai'dai'wu'fang'sheng
白帝城边古木疏,bai'di'cheng'bian'gu'mu'shu
白帝城门水云外,bai'di'cheng'men'shui'yun'wai
白帝城西万竹蟠,bai'di'cheng'xi'wan'zhu'pan
白帝寒城驻锦袍,bai'di'han'cheng'zhu'jin'pao
百堵创里闾,bai'du'chuang'li'lv
白发悲花落,bai'fa'bei'hua'luo
白发悲明镜,bai'fa'bei'ming'jing
白发从他绕鬓生,bai'fa'cong'ta'rao'bin'sheng
白发好禁春,bai'fa'hao'jin'chun
白发今非老,bai'fa'jin'fei'lao
白发今无数,bai'fa'jin'wu'shu
白发竟谁怜,bai'fa'jing'shui'lian
白发老闲事,bai'fa'lao'xian'shi
白发轮台使,bai'fa'lun'tai'shi
白发千茎雪,bai'fa'qian'jing'xue
百罚深杯亦不辞,bai'fa'shen'bei'yi'bu'ci
白发生偏速,bai'fa'sheng'pian'su
白发始相逢,bai'fa'shi'xiang'feng
白发徒自负,bai'fa'tu'zi'fu
白发欲成丝,bai'fa'yu'cheng'si
白发知苦心,bai'fa'zhi'ku'xin
柏公镇夔国,bai'gong'zhen'kui'guo
白骨半随河水去,bai'gu'ban'sui'he'shui'qu
白谷变气候,bai'gu'bian'qi'hou
白骨积空垒,bai'gu'ji'kong'lei
百谷皆已弃,bai'gu'jie'yi'qi
百谷漏波涛,bai'gu'lou'bo'tao
百官跣足随天王,bai'guan'xian'zu'sui'tian'wang
拜跪题封向端午,bai'gui'ti'feng'xiang'duan'wu
白鹤久同林,bai'he'jiu'tong'lin
白鹄翅垂眼流血,bai'hu'chi'chui'yan'liu'xue
百壶那送酒如泉,bai'hu'na'song'jiu'ru'quan
百壶且试开怀抱,bai'hu'qie'shi'kai'huai'bao
白虎司秋金气清,bai'hu'si'qiu'jin'qi'qing
白鹄遂不来,bai'hu'sui'bu'lai
白狐跳梁黄狐立,bai'hu'tiao'liang'huang'hu'li
百斛须臾一壶费,bai'hu'xu'yu'yi'hu'fei
百花帘下朝窥镜,bai'hua'lian'xia'chao'kui'jing
百卉萋已陈,bai'hui'qi'yi'chen
败绩自逡巡,bai'ji'zi'qun'xun
百家同一泉,bai'jia'tong'yi'quan
白间剥画虫,bai'jian'bo'hua'chong
白简初分命,bai'jian'chu'fen'ming
白简劳王事,bai'jian'lao'wang'shi
白间生黑丝,bai'jian'sheng'hei'si
百金装刀头,bai'jin'zhuang'dao'tou
白酒杯中聊一歌,bai'jiu'bei'zhong'liao'yi'ge
百口无饥年,bai'kou'wu'ji'nian
白狼河北堪愁恨,bai'lang'he'bei'kan'chou'hen
摆浪散帙妨,bai'lang'san'zhi'fang
百里独苍苍,bai'li'du'cang'cang
百里风尘昏,bai'li'feng'chen'hun
百里见积雪,bai'li'jian'ji'xue
百里见秋毫,bai'li'jian'qiu'hao
百里见石棱,bai'li'jian'shi'leng
百里临城墙,bai'li'lin'cheng'qiang
百里路不宿,bai'li'lu'bu'su
柏梁沉饮自伤神,bai'liang'chen'yin'zi'shang'shen
柏梁思和曲,bai'liang'si'he'qu
百灵未敢散,bai'ling'wei'gan'san
白露黄粱熟,bai'lu'huang'liang'shu
白露披梧桐,bai'lu'pi'wu'tong
白鹭栖脂粉,bai'lu'qi'zhi'fen
白露时先降,bai'lu'shi'xian'jiang
白露谁能数,bai'lu'shui'neng'shu
白鹭闲飞过远村,bai'lu'xian'fei'guo'yuan'cun
白露沾蕙草,bai'lu'zhan'hui'cao
摆落跋涉惧,bai'luo'ba'she'ju
摆落多藏秽,bai'luo'duo'cang'hui
百虑视安危,bai'lv'shi'an'wei
白马从子婴,bai'ma'cong'zi'ying
白马蹴微雪,bai'ma'cu'wei'xue
白马东北来,bai'ma'dong'bei'lai
白马公孙何处去,bai'ma'gong'sun'he'chu'qu
白马黑貂裘,bai'ma'hei'diao'qiu
白马将军若雷电,bai'ma'jiang'jun'ruo'lei'dian
白马嚼啮黄金勒,bai'ma'jiao'nie'huang'jin'le
白马津边柳向城,bai'ma'jin'bian'liu'xiang'cheng
白马金盘陀,bai'ma'jin'pan'tuo
百马死山谷,bai'ma'si'shan'gu
白马为铁骊,bai'ma'wei'tie'li
白马休横行,bai'ma'xiu'heng'xing
百蛮乱南方,bai'man'luan'nan'fang
白门太和城,bai'men'tai'he'cheng
白面皇家郎,bai'mian'huang'jia'lang
白面绣衣郎,bai'mian'xiu'yi'lang
拜命时人羡,bai'ming'shi'ren'xian
拜命宣皇猷,bai'ming'xuan'huang'you
拜命已挺身,bai'ming'yi'ting'shen
百年哀乐又归空,bai'nian'ai'yue'you'gui'kong
百年不敢料,bai'nian'bu'gan'liao
百年愁半侵,bai'nian'chou'ban'qin
百年垂死中兴时,bai'nian'chui'si'zhong'xing'shi
百年赋命定,bai'nian'fu'ming'ding
百年见存殁,bai'nian'jian'cun'mo
百年将半仕三已,bai'nian'jiang'ban'shi'san'yi
百年能几何,bai'nian'neng'ji'he
百年死树中琴瑟,bai'nian'si'shu'zhong'qin'se
百年未见欢娱毕,bai'nian'wei'jian'huan'yu'bi
百鸟不敢嗔,bai'niao'bu'gan'chen
白鸟上衣桁,bai'niao'shang'yi'heng
白鸟下公府,bai'niao'xia'gong'fu
白鸟向田尽,bai'niao'xiang'tian'jin
百鸟之智莫与齐,bai'niao'zhi'zhi'mo'yu'qi
白鸥没浩荡,bai'ou'mei'hao'dang
白蘋春尽花空落,bai'pin'chun'jin'hua'kong'luo
百顷风潭上,bai'qing'feng'tan'shang
百顷平若案,bai'qing'ping'ruo'an
百泉暗奔瀑,bai'quan'an'ben'pu
白刃雠不义,bai'ren'chou'bu'yi
白日黯已低,bai'ri'an'yi'di
白日到羲皇,bai'ri'dao'xi'huang
白日递隐见,bai'ri'di'yin'jian
白日分明到世间,bai'ri'fen'ming'dao'shi'jian
白日忽先尽,bai'ri'hu'xian'jin
白日黄云昏,bai'ri'huang'yun'hun
白日扃泉户,bai'ri'jiong'quan'hu
白日来深殿,bai'ri'lai'shen'dian
白日雷霆夹城仗,bai'ri'lei'ting'jia'cheng'zhang
白日落草头,bai'ri'luo'cao'tou
白日屡分手,bai'ri'lv'fen'shou
白日渺难睹,bai'ri'miao'nan'du
白日为我愁,bai'ri'wei'wo'chou
白日眼看低,bai'ri'yan'kan'di
白日亦寂寞,bai'ri'yi'ji'mo
白日亦偏照,bai'ri'yi'pian'zhao
白日依山尽,bai'ri'yi'shan'jin
白日照执袂,bai'ri'zhao'zhi'mei
白日照舟师,bai'ri'zhao'zhou'shi
白沙亭上逢吴叟,bai'sha'ting'shang'feng'wu'sou
白蛇登其巢,bai'she'deng'qi'chao
百舌闻他郡,bai'she'wen'ta'jun
白身谒明主,bai'shen'ye'ming'zhu
百身一莓苔,bai'shen'yi'mei'tai
白生胡雏控龙媒,bai'sheng'hu'chu'kong'long'mei
柏氏功弥存,bai'shi'gong'mi'cun
百事皆成昔,bai'shi'jie'cheng'xi
白石明可把,bai'shi'ming'ke'ba
白石素沙亦相荡,bai'shi'su'sha'yi'xiang'dang
百世同一伤,bai'shi'tong'yi'shang
百事委令才,bai'shi'wei'ling'cai
白首不相弃,bai'shou'bu'xiang'qi
白首甘契阔,bai'shou'gan'qi'kuo
白首扁舟病独存,bai'shou'pian'zhou'bing'du'cun
白首徒攻文,bai'shou'tu'gong'wen
白水浮香墨,bai'shui'fu'xiang'mo
白水见舅氏,bai'shui'jian'jiu'shi
白水暮东流,bai'shui'mu'dong'liu
白水已扬波,bai'shui'yi'yang'bo
白水雨偏多,bai'shui'yu'pian'duo
柏台霜威寒逼人,bai'tai'shuang'wei'han'bi'ren
白头悲作吏,bai'tou'bei'zuo'li
白头老罢舞复歌,bai'tou'lao'ba'wu'fu'ge
白头乱发垂过耳,bai'tou'luan'fa'chui'guo'er
白头搔更短,bai'tou'sao'geng'duan
白头拾遗徒步归,bai'tou'shi'yi'tu'bu'gui
白头无藉在,bai'tou'wu'ji'zai
白头厌伴渔人宿,bai'tou'yan'ban'yu'ren'su
白团为我破,bai'tuan'wei'wo'po
百万攻一城,bai'wan'gong'yi'cheng
百万化为鱼,bai'wan'hua'wei'yu
百万未可傍,bai'wan'wei'ke'bang
白屋达公宫,bai'wu'da'gong'gong
白屋留孤树,bai'wu'liu'gu'shu
白屋难久留,bai'wu'nan'jiu'liu
白皙歌童子,bai'xi'ge'tong'zi
百祥奔盛明,bai'xiang'ben'sheng'ming
白雪正如此,bai'xue'zheng'ru'ci
白也诗无敌,bai'ye'shi'wu'di
拜迎官长心欲碎,bai'ying'guan'zhang'xin'yu'sui
百忧复相袭,bai'you'fu'xiang'xi
白羽曾肉三狻猊,bai'yu'ceng'rou'san'suan'ni
白鱼困密网,bai'yu'kun'mi'wang
白羽绿弓弦,bai'yu'lv'gong'xian
百馀年间未灾变,bai'yu'nian'jian'wei'zai'bian
白雨一洗空垂萝,bai'yu'yi'xi'kong'chui'luo
白月当空虚,bai'yue'dang'kong'xu
白云长不还,bai'yun'chang'bu'huan
白云常在眼,bai'yun'chang'zai'yan
白云芳草自知心,bai'yun'fang'cao'zi'zhi'xin
白云何悠悠,bai'yun'he'you'you
白云敛晴壑,bai'yun'lian'qing'he
白云流水忆佳期,bai'yun'liu'shui'yi'jia'qi
白云埋大壑,bai'yun'mai'da'he
白云千里连嵩丘,bai'yun'qian'li'lian'song'qiu
白云劝尽杯中物,bai'yun'quan'jin'bei'zhong'wu
白云遗旧踪,bai'yun'yi'jiu'zong
白云犹似汉时秋,bai'yun'you'si'han'shi'qiu
百战今谁在,bai'zhan'jin'shui'zai
百战争王公,bai'zhan'zheng'wang'gong
百丈有哀音,bai'zhang'you'ai'yin
百中皆用壮,bai'zhong'jie'yong'zhuang
白髭空受岁,bai'zi'kong'shou'sui
斑白居上列,ban'bai'ju'shang'lie
斑白徒怀曩,ban'bai'tu'huai'nang
半陂已南纯浸山,ban'bei'yi'nan'chun'jin'shan
斑鬓兀称觞,ban'bin'wu'cheng'shang
颁冰无下位,ban'bing'wu'xia'wei
半刺已翱翔,ban'ci'yi'ao'xiang
斑管秋毫多逸意,ban'guan'qiu'hao'duo'yi'yi
半空白皑皑,ban'kong'bai'ai'ai
半禄代耕鉏,ban'lu'dai'geng'chu
半入紫阁松,ban'ru'zi'ge'song
半是此中催,ban'shi'ci'zhong'cui
半死半生犹戢戢,ban'si'ban'sheng'you'ji'ji
半天城北雨,ban'tian'cheng'bei'yu
斑序更何跻,ban'xu'geng'he'ji
半旬获浩溔,ban'xun'huo'hao'yao
半夜军行戈相拨,ban'ye'jun'xing'ge'xiang'bo
半已升青云,ban'yi'sheng'qing'yun
半雨夕阳霏,ban'yu'xi'yang'fei
伴月照边城,ban'yue'zhao'bian'cheng
绊之欲动转欹侧,ban'zhi'yu'dong'zhuan'qi'ce
版筑不时操,ban'zhu'bu'shi'cao
版筑劳人功,ban'zhu'lao'ren'gong
斑竹年来笋自生,ban'zhu'nian'lai'sun'zi'sheng
半醉忽然持蟹螯,ban'zui'hu'ran'chi'xie'ao
邦伯感遗事,bang'bo'gan'yi'shi
傍此烟霞茅可诛,bang'ci'yan'xia'mao'ke'zhu
傍村终日雷,bang'cun'zhong'ri'lei
傍对石头城,bang'dui'shi'tou'cheng
傍海皆荒服,bang'hai'jie'huang'fu
傍谿白鸟应家禽,bang'ji'bai'niao'ying'jia'qin
邦家频出师,bang'jia'pin'chu'shi
邦家用祀典,bang'jia'yong'si'dian
傍见北斗向江低,bang'jian'bei'dou'xiang'jiang'di
傍看疾若飞,bang'kan'ji'ruo'fei
邦牧今坐啸,bang'mu'jin'zuo'xiao
邦人不足重,bang'ren'bu'zu'chong
邦人思之比父母,bang'ren'si'zhi'bi'fu'mu
傍水见寒花,bang'shui'jian'han'hua
邦危坏法则,bang'wei'huai'fa'ze
傍檐垂柳报芳菲,bang'yan'chui'liu'bao'fang'fei
傍沿钜野泽,bang'yan'ju'ye'ze
邦以民为本,bang'yi'min'wei'ben
保爱金石坚,bao'ai'jin'shi'jian
抱板寻旧圃,bao'ban'xun'jiu'pu
抱被肯同宿,bao'bei'ken'tong'su
宝贝休脂膏,bao'bei'xiu'zhi'gao
抱病昏妄集,bao'bing'hun'wang'ji
抱病排金门,bao'bing'pai'jin'men
饱肠皆已穿,bao'chang'jie'yi'chuan
抱冲披道经,bao'chong'pi'dao'jing
抱此女曹恨,bao'ci'nv'cao'hen
报答在斯须,bao'da'zai'si'xu
宝刀骏马填山丘,bao'dao'jun'ma'tian'shan'qiu
宝簟玲珑透象床,bao'dian'ling'long'tou'xiang'chuang
饱飞安可招,bao'fei'an'ke'zhao
薄俸还自急,bao'feng'hai'zi'ji
褒公鄂公毛发动,bao'gong'e'gong'mao'fa'dong
薄官非始务,bao'guan'fei'shi'wu
薄关长吏忧,bao'guan'zhang'li'you
薄宦空年岁,bao'huan'kong'nian'sui
宝货益军饶,bao'huo'yi'jun'rao
宝镜休匀八字眉,bao'jing'xiu'yun'ba'zi'mei
宝龛经末劫,bao'kan'jing'mo'jie
薄敛近休明,bao'lian'jin'xiu'ming
宝马横来下建章,bao'ma'heng'lai'xia'jian'zhang
包蒙欣有击,bao'meng'xin'you'ji
爆嵌魑魅泣,bao'qian'chi'mei'qi
抱琴鬓苍然,bao'qin'bin'cang'ran
饱肉气勇决,bao'rou'qi'yong'jue
宝瑟和琴韵,bao'se'he'qin'yun
饱食复何心,bao'shi'fu'he'xin
薄俗难可论,bao'su'nan'ke'lun
暴隋竟涤除,bao'sui'jing'di'chu
宝塔凌太空,bao'ta'ling'tai'kong
暴殄天物圣所哀,bao'tian'tian'wu'sheng'suo'ai
薄晚青丝骑,bao'wan'qing'si'qi
暴尪或前闻,bao'wang'huo'qian'wen
饱闻春秋癖,bao'wen'chun'qiu'pi
饱闻经瞿塘,bao'wen'jing'qu'tang
褒斜惟鸟飞,bao'xie'wei'niao'fei
抱叶寒蝉静,bao'ye'han'chan'jing
薄倚浩至今,bao'yi'hao'zhi'jin
抱玉三朝楚,bao'yu'san'zhao'chu
报之以微寒,bao'zhi'yi'wei'han
报主身已老,bao'zhu'shen'yi'lao
报兹劬劳显,bao'zi'qu'lao'xian
碑版照四裔,bei'ban'zhao'si'yi
北别伤士卒,bei'bie'shang'shi'zu
北城悲笳发,bei'cheng'bei'jia'fa
北窗凉气多,bei'chuang'liang'qi'duo
倍此骨肉亲,bei'ci'gu'rou'qin
