阿迪华,a'di'hua
湖北大鼓,hu'bei'da'gu
胡必达,hu'bi'da
胡不字,hu'bu'zi
蝴蝶杯,hu'die'bei
沪剧,hu'ju
虎口遐想,hu'kou'xia'xiang
虎口缘,hu'kou'yuan
胡兰亭,hu'lan'ting
护领,hu'ling
胡屯胜,hu'tun'sheng
胡伟新,hu'wei'xin
胡振江,hu'zhen'jiang
胡仲仁,hu'zhong'ren
花部农谭,hua'bu'nong'tan
花旦,hua'dan
花灯,hua'deng
画扇面儿,hua'shan'mian'er
华士泉,hua'shi'quan
花亭会,hua'ting'hui
华子元,hua'zi'yuan
槐庆堂集,huai'qing'tang'ji
黄半仙,huang'ban'xian
黄鹤来,huang'he'lai
黄铁良,huang'tie'liang
黄文斌,huang'wen'bin
黄文祥,huang'wen'xiang
黄文忠,huang'wen'zhong
黄英玉,huang'ying'yu
黄运成,huang'yun'cheng
黄志强,huang'zhi'qiang
黄族民,huang'zu'min
回婉华,hui'wan'hua
婚姻与迷信,hun'yin'yu'mi'xin
火红的心,huo'hong'de'xin
霍文龙,huo'wen'long
火焰驹,huo'yan'ju
祭灯,ji'deng
疾风骤至,ji'feng'zhou'zhi
吉马,ji'ma
吉坪三,ji'ping'san
纪文奎,ji'wen'kui
姬晓廷,ji'xiao'ting
激友,ji'you
纪元,ji'yuan
贾承伯,jia'cheng'bo
假行家,jia'hang'jia
假话世家,jia'hua'shi'jia
贾冀光,jia'ji'guang
贾伦,jia'lun
贾世泉,jia'shi'quan
家庭喜剧,jia'ting'xi'ju
假灶王,jia'zao'wang
贾振良,jia'zhen'liang
姜宝林,jiang'bao'lin
姜伯华,jiang'bo'hua
讲帝号,jiang'di'hao
姜桂成,jiang'gui'cheng
姜昆,jiang'kun
蒋明孝,jiang'ming'xiao
江其虎,jiang'qi'hu
焦葆奎,jiao'bao'kui
焦德海,jiao'de'hai
交地租,jiao'di'zu
轿夫新传,jiao'fu'xin'zhuan
焦立海,jiao'li'hai
焦寿海,jiao'shou'hai
焦晓春,jiao'xiao'chun
缴月舒,jiao'yue'shu
借东风,jie'dong'feng
解学士,jie'xue'shi
靳宝琏,jin'bao'lian
金炳昶,jin'bing'chang
晋福长,jin'fu'chang
靳金来,jin'jin'lai
晋剧,jin'ju
金沙滩,jin'sha'tan
金少山,jin'shao'shan
金涛,jin'tao
金文和,jin'wen'he
金笑天,jin'xiao'tian
金幼峰,jin'you'feng
金幼实,jin'you'shi
金钰堂,jin'yu'tang
金兆庆,jin'zhao'qing
金珠,jin'zhu
敬德洗马,jing'de'xi'ma
敬夫,jing'fu
荆林野,jing'lin'ye
景荣庆,jing'rong'qing
京韵大鼓,jing'yun'da'gu
靖正恭,jing'zheng'gong
靖正铭,jing'zheng'ming
九点钟开始,jiu'dian'zhong'kai'shi
救救孩子,jiu'jiu'hai'zi
举鼎观画,ju'ding'guan'hua
卡尔罗,ka'er'luo
开场小唱,kai'chang'xiao'chang
开会迷,kai'hui'mi
看女,kan'nv
看山虎,kan'shan'hu
阚天忠,kan'tian'zhong
康达夫,kang'da'fu
康徳函,kang'de'han
康对山,kang'dui'shan
康桂生,kang'gui'sheng
康家班,kang'jia'ban
康立本,kang'li'ben
康松广,kang'song'guang
康友纯,kang'you'chun
康正绪,kang'zheng'xu
空城计,kong'cheng'ji
孔文敬,kong'wen'jing
寇庚杰,kou'geng'jie
寇庚儒,kou'geng'ru
寇连荣,kou'lian'rong
寇寿亭,kou'shou'ting
口吐莲花,kou'tu'lian'hua
口语说唱,kou'yu'shuo'chang
哭的艺术,ku'de'yi'shu
哭墓,ku'mu
哭秦庭,ku'qin'ting
哭五更,ku'wu'geng
苦音跳门坎,ku'yin'tiao'men'kan
哭祖庙,ku'zu'miao
夸讲究,kua'jiang'jiu
夸住宅,kua'zhu'zhai
来宝刚,lai'bao'gang
来德如,lai'de'ru
来少如,lai'shao'ru
兰文甫,lan'wen'fu
郎庆浪,lang'qing'lang
郎祖筠,lang'zu'jun
老旦,lao'dan
老人话时代,lao'ren'hua'shi'dai
老少乐,lao'shao'le
老鼠秘语,lao'shu'mi'yu
乐亭大鼓,lao'ting'da'gu
老头醉酒,lao'tou'zui'jiu
勒头,le'tou
雷开元,lei'kai'yuan
雷文顺,lei'wen'shun
李宝麒,li'bao'qi
李宝森,li'bao'sen
李宝山,li'bao'shan
李宝璋,li'bao'zhang
李炳杰,li'bing'jie
李伯仁,li'bo'ren
李伯祥,li'bo'xiang
李长春,li'chang'chun
李崇武,li'chong'wu
李存民,li'cun'min
李德祥,li'de'xiang
李德钖,li'de'yang
李得子,li'de'zi
李迪域,li'di'yu
李迪振,li'di'zhen
李东桥,li'dong'qiao
李发牢,li'fa'lao
李凤鸣,li'feng'ming
李凤山,li'feng'shan
李富荣,li'fu'rong
李福盛,li'fu'sheng
李桂山,li'gui'shan
李国权,li'guo'quan
李国盛,li'guo'sheng
李国先,li'guo'xian
李国修,li'guo'xiu
李国英,li'guo'ying
李浩然,li'hao'ran
离婚前奏曲,li'hun'qian'zou'qu
李霁霞,li'ji'xia
李嘉存,li'jia'cun
李佳骏,li'jia'jun
李家载,li'jia'zai
李建华,li'jian'hua
李洁尘,li'jie'chen
李金斗,li'jin'dou
李金宽,li'jin'kuan
李金祥,li'jin'xiang
李君梅,li'jun'mei
李逵探母,li'kui'tan'mu
李立山,li'li'shan
李连伟,li'lian'wei
李买刚,li'mai'gang
李明刚,li'ming'gang
李鸣歧,li'ming'qi
李如刚,li'ru'gang
李瑞丰,li'rui'feng
李润杰,li'run'jie
李少卿,li'shao'qing
李少泉,li'shao'quan
李胜素,li'sheng'su
李盛藻,li'sheng'zao
李士琦,li'shi'qi
李世续,li'shi'xu
李世增,li'shi'zeng
李寿芳,li'shou'fang
李寿清,li'shou'qing
李寿增,li'shou'zeng
李树仁,li'shu'ren
李松岩,li'song'yan
李天林,li'tian'lin
李桐文,li'tong'wen
李万兴,li'wan'xing
李伟,li'wei
李伟建,li'wei'jian
李维康,li'wei'kang
李文成,li'wen'cheng
李文芳,li'wen'fang
李文枫,li'wen'feng
李文锦,li'wen'jin
李文立,li'wen'li
李文荣,li'wen'rong
李文山,li'wen'shan
李文珊,li'wen'shan
李文英,li'wen'ying
李文勇,li'wen'yong
李文娱,li'wen'yu
李相友,li'xiang'you
李兴国,li'xing'guo
李学贵,li'xue'gui
李学宏,li'xue'hong
李延年,li'yan'nian
李业明,li'ye'ming
李艺,li'yi
李英杰,li'ying'jie
李勇,li'yong
李永春,li'yong'chun
李幼刚,li'you'gang
李玉君,li'yu'jun
李云亭,li'yun'ting
李增满,li'zeng'man
李增年,li'zeng'nian
李增瑞,li'zeng'rui
李箴民,li'zhen'min
李正斌,li'zheng'bin
李志强,li'zhi'qiang
李中华,li'zhong'hua
李祝英,li'zhu'ying
连春建,lian'chun'jian
连春仲,lian'chun'zhong
联曲体,lian'qu'ti
连笑昆,lian'xiao'kun
连小林,lian'xiao'lin
连秀全,lian'xiu'quan
两个弄潮儿,liang'ge'nong'chao'er
梁洪才,liang'hong'cai
梁尚义,liang'shang'yi
列宁评戏,lie'ning'ping'xi
林茂,lin'mao
林文春,lin'wen'chun
凌少明,ling'shao'ming
刘宝瑞,liu'bao'rui
刘宝森,liu'bao'sen
刘斌昆,liu'bin'kun
刘兵,liu'bing
刘伯奎,liu'bo'kui
刘长声,liu'chang'sheng
刘辰,liu'chen
刘春山,liu'chun'shan
刘德智,liu'de'zhi
刘迪天,liu'di'tian
刘尔金,liu'er'jin
刘广义,liu'guang'yi
刘桂田,liu'gui'tian
刘国器,liu'guo'qi
刘洪江,liu'hong'jiang
刘洪沂,liu'hong'yi
刘化民,liu'hua'min
刘际,liu'ji
刘继深,liu'ji'shen
刘加柯,liu'jia'ke
刘建平,liu'jian'ping
刘江舸,liu'jiang'ge
刘杰,liu'jie
刘金瑞,liu'jin'rui
刘俊杰,liu'jun'jie
刘科,liu'ke
刘奎珍,liu'kui'zhen
刘来子,liu'lai'zi
刘黎,liu'li
刘立升,liu'li'sheng
刘立新,liu'li'xin
柳林写状,liu'lin'xie'zhuang
刘流,liu'liu
刘曼影,liu'man'ying
刘毛毛,liu'mao'mao
刘沛起,liu'pei'qi
刘聘臣,liu'pin'chen
柳萍,liu'ping
刘巧儿,liu'qiao'er
刘庆福,liu'qing'fu
刘全刚,liu'quan'gang
刘茹惠,liu'ru'hui
刘树江,liu'shu'jiang
刘树青,liu'shu'qing
刘松江,liu'song'jiang
刘随社,liu'sui'she
刘廷凯,liu'ting'kai
刘彤,liu'tong
刘万山,liu'wan'shan
刘伟,liu'wei
刘威,liu'wei
刘文步,liu'wen'bu
刘文德,liu'wen'de
刘文亨,liu'wen'heng
刘文亮,liu'wen'liang
刘文贞,liu'wen'zhen
刘喜尧,liu'xi'yao
刘显东,liu'xian'dong
刘孝先,liu'xiao'xian
刘学仁,liu'xue'ren
刘雅奎,liu'ya'kui
刘彦昌,liu'yan'chang
刘易平,liu'yi'ping
刘义学,liu'yi'xue
刘颖,liu'ying
刘英华,liu'ying'hua
刘英奇,liu'ying'qi
刘幼山,liu'you'shan
刘玉才,liu'yu'cai
刘玉凤,liu'yu'feng
刘玉辉,liu'yu'hui
刘跃宁,liu'yue'ning
刘月樵,liu'yue'qiao
刘增锴,liu'zeng'kai
刘志远,liu'zhi'yuan
娄振奎,lou'zhen'kui
路彩祥,lu'cai'xiang
卢德俊,lu'de'jun
卢福来,lu'fu'lai
陆派,lu'pai
陆文荣,lu'wen'rong
乱弹,luan'tan
乱形容,luan'xing'rong
论拳,lun'quan
抡弦子,lun'xian'zi
罗爱恬,luo'ai'tian
骆宝珊,luo'bao'shan
骆采舞,luo'cai'wu
罗成戏貂婵,luo'cheng'xi'diao'chan
罗峰,luo'feng
罗健,luo'jian
罗荣寿,luo'rong'shou
绿窗女史,lv'chuang'nv'shi
吕剧,lv'ju
吕派,lv'pai
吕少明,lv'shao'ming
吕维国,lv'wei'guo
吕闻升,lv'wen'sheng
马宝璐,ma'bao'lu
马伯林,ma'bo'lin
马大龙,ma'da'long
马德禄,ma'de'lu
马迪飞,ma'di'fei
马桂元,ma'gui'yuan
马洪海,ma'hong'hai
马洪升,ma'hong'sheng
马洪信,ma'hong'xin
马季,ma'ji
马济江,ma'ji'jiang
马金良,ma'jin'liang
马敬伯,ma'jing'bo
马俊生,ma'jun'sheng
马魁尧,ma'kui'yao
马蓝鱼,ma'lan'yu
马连良,ma'lian'liang
马良臣,ma'liang'chen
马凌云,ma'ling'yun
马六甲,ma'liu'jia
马马杜,ma'ma'du
马年赛马,ma'nian'sai'ma
马前泼水,ma'qian'po'shui
马三立,ma'san'li
麻世豪,ma'shi'hao
马寿岩,ma'shou'yan
马树春,ma'shu'chun
马四立,ma'si'li
马腾翔,ma'teng'xiang
马维福,ma'wei'fu
马伟国,ma'wei'guo
马文光,ma'wen'guang
马文强,ma'wen'qiang
马文瑞,ma'wen'rui
马文孝,ma'wen'xiao
马文忠,ma'wen'zhong
马友仙,ma'you'xian
马云路,ma'yun'lu
马云翔,ma'yun'xiang
马政,ma'zheng
马志存,ma'zhi'cun
马志明,ma'zhi'ming
马子恒,ma'zi'heng
买佛龛,mai'fo'kan
卖估衣,mai'gu'yi
卖挂票,mai'gua'piao
买猴,mai'hou
慢板,man'ban
茅房话,mao'fang'hua
美丽畅想曲,mei'li'chang'xiang'qu
孟遏云,meng'e'yun
孟凡贵,meng'fan'gui
孟广禄,meng'guang'lu
孟文辉,meng'wen'hui
孟祥光,meng'xiang'guang
秘宝财,mi'bao'cai
秘鸿泉,mi'hong'quan
米雷娜,mi'lei'na
妙趣网生,miao'qu'wang'sheng
妙手成患,miao'shou'cheng'huan
苗文浩,miao'wen'hao
灭鼠轶事,mie'shu'yi'shi
牟玉春,mou'yu'chun
穆桂英挂帅,mu'gui'ying'gua'shuai
穆瑞庆,mu'rui'qing
穆祥林,mu'xiang'lin
男子汉宣言,nan'zi'han'xuan'yan
闹公堂,nao'gong'tang
聂闻治,nie'wen'zhi
牛成志,niu'cheng'zhi
牛振华,niu'zhen'hua
女队长,nv'dui'chang
欧宝灿,ou'bao'can
欧宝璨,ou'bao'can
欧光慈,ou'guang'ci
帕迪西,pa'di'xi
潘贵才,pan'gui'cai
潘海波,pan'hai'bo
潘龙浩,pan'long'hao
潘庆武,pan'qing'wu
庞子泉,pang'zi'quan
彭凤林,peng'feng'lin
彭国良,peng'guo'liang
彭子义,peng'zi'yi
邳建新,pi'jian'xin
批聊斋,pi'liao'zhai
批三国,pi'san'guo
皮树德,pi'shu'de
评剧,ping'ju
评书漫谈,ping'shu'man'tan
破宁国,po'ning'guo
齐爱云,qi'ai'yun
汽车喇叭声,qi'che'la'ba'sheng
祁存才,qi'cun'cai
齐力新,qi'li'xin
戚派,qi'pai
祁乾宁,qi'qian'ning
戚松,qi'song
祁喜生,qi'xi'sheng
齐信英,qi'xin'ying
奇志,qi'zhi
钱德苍,qian'de'cang
钱麟,qian'lin
牵牛记,qian'niu'ji
乔国庆,qiao'guo'qing
乔慷慨,qiao'kang'kai
桥头诗,qiao'tou'shi
乔新贤,qiao'xin'xian
瞧这俩爹,qiao'zhe'lia'die
怯快书,qie'kuai'shu
秦宝琦,qin'bao'qi
秦腔曲牌,qin'qiang'qu'pai
秦琼卖马,qin'qiong'mai'ma
秦醒民,qin'xing'min
秦玉贵,qin'yu'gui
秦玉华,qin'yu'hua
秦云撷英小谱,qin'yun'xie'ying'xiao'pu
清风亭,qing'feng'ting
请剧团,qing'ju'tuan
情绪与健康,qing'xu'yu'jian'kang
请医生,qing'yi'sheng
穷乐观,qiong'le'guan
裘盛戎,qiu'sheng'rong
曲本,qu'ben
曲福恩,qu'fu'en
曲乃新,qu'nai'xin
曲艺,qu'yi
曲艺音乐,qu'yi'yin'yue
全常保,quan'chang'bao
劝新郎,quan'xin'lang
任迪山,ren'di'shan
任鸣起,ren'ming'qi
任文立,ren'wen'li
任笑海,ren'xiao'hai
任小蕾,ren'xiao'lei
任哲中,ren'zhe'zhong
日下看花记,ri'xia'kan'hua'ji
日遭三险,ri'zao'san'xian
荣迪曲,rong'di'qu
如此典礼,ru'ci'dian'li
如此要求,ru'ci'yao'qiu
如此照相,ru'ci'zhao'xiang
茹少亭,ru'shao'ting
软玉屏,ruan'yu'ping
润润子,run'run'zi
三打一破,san'da'yi'po
三滴血,san'di'xue
三击掌,san'ji'zhang
三家店,san'jia'dian
三意社,san'yi'she
杀狗劝妻,sha'gou'quan'qi
沙跃生,sha'yue'sheng
山东快书,shan'dong'kuai'shu
陕西快板,shan'xi'kuai'ban
尚小云,shang'xiao'yun
上越,shang'yue
绍百,shao'bai
邵其炳,shao'qi'bing
沈春和,shen'chun'he
沈君,shen'jun
申祥麟,shen'xiang'lin
申正昆,shen'zheng'kun
沈竹善,shen'zhu'shan
生死牌,sheng'si'pai
十八红,shi'ba'hong
十点钟开始,shi'dian'zhong'kai'shi
石富宽,shi'fu'kuan
时间与青春,shi'jian'yu'qing'chun
失街亭,shi'jie'ting
石桥久弥,shi'qiao'jiu'mi
师胜杰,shi'sheng'jie
师世元,shi'shi'yuan
史文翰,shi'wen'han
史文惠,shi'wen'hui
施文琳,shi'wen'lin
石小杰,shi'xiao'jie
拾玉镯,shi'yu'zhuo
数来宝,shu'lai'bao
数罗汉,shu'luo'han
书迷打砂锅,shu'mi'da'sha'guo
耍鹌鹑,shua'an'chun
甩发,shuai'fa
拴娃娃,shuan'wa'wa
双锦衣,shuang'jin'yi
双溪乐府,shuang'xi'yue'fu
双镯记,shuang'zhuo'ji
水裤,shui'ku
谁怕贝勒爷,shui'pa'bei'le'ye
水衣,shui'yi
说一不说二,shuo'yi'bu'shuo'er
说字,shuo'zi
四大名旦,si'da'ming'dan
四大须生,si'da'xu'sheng
四进士,si'jin'shi
四郎探母,si'lang'tan'mu
司马拜台,si'ma'bai'tai
四贤册,si'xian'ce
宋德全,song'de'quan
宋巧娇,song'qiao'jiao
宋少卿,song'shao'qing
宋文俊,song'wen'jun
宋雁波,song'yan'bo
宋勇,song'yong
苏连生,su'lian'sheng
苏明杰,su'ming'jie
苏蕊娥,su'rui'e
苏士杰,su'shi'jie
