阿基米德巧计,a'ji'mi'de'qiao'ji
爆破队,bao'po'dui
爆破罐,bao'po'guan
爆破技术,bao'po'ji'shu
爆破名词,bao'po'ming'ci
爆破器,bao'po'qi
爆破器材,bao'po'qi'cai
爆破任务,bao'po'ren'wu
爆破筒,bao'po'tong
爆破组,bao'po'zu
爆破作业,bao'po'zuo'ye
爆前,bao'qian
爆区,bao'qu
爆深,bao'shen
保守地方,bao'shou'di'fang
爆速,bao'su
保卫目标,bao'wei'mu'biao
保卫区域,bao'wei'qu'yu
保卫战,bao'wei'zhan
报务员,bao'wu'yuan
保险道,bao'xian'dao
保险杆,bao'xian'gan
保险机构,bao'xian'ji'gou
保险销,bao'xian'xiao
爆心,bao'xin
爆心投影点,bao'xin'tou'ying'dian
保养间,bao'yang'jian
爆炸部,bao'zha'bu
爆炸带,bao'zha'dai
爆炸当量,bao'zha'dang'liang
爆炸方式,bao'zha'fang'shi
爆炸高度,bao'zha'gao'du
爆炸荷载,bao'zha'he'zai
爆炸日,bao'zha'ri
爆炸闪光,bao'zha'shan'guang
爆炸深度,bao'zha'shen'du
爆炸性核武器,bao'zha'xing'he'wu'qi
爆炸性能,bao'zha'xing'neng
爆炸性障碍物,bao'zha'xing'zhang'ai'wu
爆炸中心,bao'zha'zhong'xin
饱战,bao'zhan
保障部队,bao'zhang'bu'dui
保障队,bao'zhang'dui
保障公共安全,bao'zhang'gong'gong'an'quan
保障机械,bao'zhang'ji'xie
保障类车辆,bao'zhang'lei'che'liang
保障群,bao'zhang'qun
保障引导,bao'zhang'yin'dao
保障有力,bao'zhang'you'li
爆震波,bao'zhen'bo
爆震弹,bao'zhen'dan
爆震风,bao'zhen'feng
报知通信,bao'zhi'tong'xin
报知通信网,bao'zhi'tong'xin'wang
备案联,bei'an'lian
备弹,bei'dan
贝当,bei'dang
被动段,bei'dong'duan
被动红外侦察,bei'dong'hong'wai'zhen'cha
被动式,bei'dong'shi
被动式声纳,bei'dong'shi'sheng'na
卑而骄之,bei'er'jiao'zhi
北伐战争,bei'fa'zhan'zheng
北方工业,bei'fang'gong'ye
被防护,bei'fang'hu
被防护对象,bei'fang'hu'dui'xiang
北方集团军群,bei'fang'ji'tuan'jun'qun
北方战争,bei'fang'zhan'zheng
被覆,bei'fu
被俘,bei'fu
被服,bei'fu
被覆线,bei'fu'xian
被覆线路,bei'fu'xian'lu
备件,bei'jian
备件库,bei'jian'ku
备降,bei'jiang
备降场,bei'jiang'chang
备降机场,bei'jiang'ji'chang
北京军区,bei'jing'jun'qu
被具,bei'ju
备考文书,bei'kao'wen'shu
贝雷桥,bei'lei'qiao
背囊式滤水器,bei'nang'shi'lv'shui'qi
北欧斗士,bei'ou'dou'shi
北欧猎刀,bei'ou'lie'dao
被迫跳伞,bei'po'tiao'san
杯士,bei'shi
背水攻击,bei'shui'gong'ji
背水击,bei'shui'ji
背水作战,bei'shui'zuo'zhan
背锁,bei'suo
北衙禁军,bei'ya'jin'jun
贝洋山,bei'yang'shan
备用频率,bei'yong'pin'lv
北约标准弹,bei'yue'biao'zhun'dan
北约口径,bei'yue'kou'jing
倍则分之,bei'ze'fen'zhi
被装,bei'zhuang
本初子午线,ben'chu'zi'wu'xian
本队,ben'dui
本级战术,ben'ji'zhan'shu
苯氯乙酮,ben'lv'yi'tong
奔袭,ben'xi
本行政区域,ben'xing'zheng'qu'yu
本在于政,ben'zai'yu'zheng
避弹所,bi'dan'suo
避开射击,bi'kai'she'ji
闭塞门桥,bi'se'men'qiao
避实击虚,bi'shi'ji'xu
俾斯麦号,bi'si'mai'hao
闭锁机构,bi'suo'ji'gou
闭所机构,bi'suo'ji'gou
臂腕之力,bi'wan'zhi'li
避战,bi'zhan
必战,bi'zhan
边兵,bian'bing
边打边插,bian'da'bian'cha
边打边组织,bian'da'bian'zu'zhi
编队防御,bian'dui'fang'yu
编队攻击,bian'dui'gong'ji
编队航行,bian'dui'hang'xing
编队内部通信,bian'dui'nei'bu'tong'xin
编队训练,bian'dui'xun'lian
编队运动,bian'dui'yun'dong
编队运动规则,bian'dui'yun'dong'gui'ze
编队主力,bian'dui'zhu'li
边防部队,bian'fang'bu'dui
边防部署,bian'fang'bu'shu
边防斗争,bian'fang'dou'zheng
边防观察,bian'fang'guan'cha
边防管理,bian'fang'guan'li
边防会哨,bian'fang'hui'shao
边防会谈,bian'fang'hui'tan
边防会晤,bian'fang'hui'wu
边防建设,bian'fang'jian'she
边防潜伏,bian'fang'qian'fu
边防勤务,bian'fang'qin'wu
边防哨所,bian'fang'shao'suo
边防巡逻,bian'fang'xun'luo
边防一线,bian'fang'yi'xian
边防站,bian'fang'zhan
边防侦察,bian'fang'zhen'cha
边防政策,bian'fang'zheng'ce
变更部署,bian'geng'bu'shu
变轨,bian'gui
变后掠翼,bian'hou'lue'yi
变后掠翼飞机,bian'hou'lue'yi'fei'ji
变换保险,bian'huan'bao'xian
变幻莫测,bian'huan'mo'ce
变换战术,bian'huan'zhan'shu
边集合,bian'ji'he
边界冲突,bian'jie'chong'tu
边界河流,bian'jie'he'liu
边界联合检查,bian'jie'lian'he'jian'cha
边界事件,bian'jie'shi'jian
边界守卫,bian'jie'shou'wei
边界踏查,bian'jie'ta'cha
边界线,bian'jie'xian
边界现状,bian'jie'xian'zhuang
边境地区,bian'jing'di'qu
边境观察,bian'jing'guan'cha
边境管理,bian'jing'guan'li
边境禁区,bian'jing'jin'qu
边境勘测,bian'jing'kan'ce
边境潜伏,bian'jing'qian'fu
边境涉外事务,bian'jing'she'wai'shi'wu
边境市,bian'jing'shi
边境县,bian'jing'xian
边掘进边被覆,bian'jue'jin'bian'bei'fu
编码通信,bian'ma'tong'xin
编码学,bian'ma'xue
编内,bian'nei
编内职工,bian'nei'zhi'gong
编配比例,bian'pei'bi'li
边前进,bian'qian'jin
编入预备役,bian'ru'yu'bei'yi
编外定编,bian'wai'ding'bian
编外职工,bian'wai'zhi'gong
变相拘禁,bian'xiang'ju'jin
变相私分,bian'xiang'si'fen
便携式,bian'xie'shi
变形地,bian'xing'di
变形迷彩,bian'xing'mi'cai
变形迷彩图册,bian'xing'mi'cai'tu'ce
变型枪,bian'xing'qiang
变形遮障,bian'xing'zhe'zhang
便于携行,bian'yu'xie'xing
边缘发火,bian'yuan'fa'huo
变战,bian'zhan
编制表,bian'zhi'biao
编制标准,bian'zhi'biao'zhun
编制方案,bian'zhi'fang'an
编制军衔,bian'zhi'jun'xian
编制密码,bian'zhi'mi'ma
编制系统,bian'zhi'xi'tong
编制员额,bian'zhi'yuan'e
编制职务,bian'zhi'zhi'wu
边舟,bian'zhou
边走边联络,bian'zou'bian'lian'luo
编组,bian'zu
编组练习,bian'zu'lian'xi
边组织战斗,bian'zu'zhi'zhan'dou
编组作业,bian'zu'zuo'ye
表尺,biao'chi
表尺距离,biao'chi'ju'li
表尺射程,biao'chi'she'cheng
标尺手,biao'chi'shou
表尺危险界,biao'chi'wei'xian'jie
表尺座,biao'chi'zuo
镖刀,biao'dao
标定,biao'ding
标定地图,biao'ding'di'tu
标定射击,biao'ding'she'ji
标高,biao'gao
标孔,biao'kong
表面沾染,biao'mian'zhan'ran
表面阵地,biao'mian'zhen'di
表明执法身份,biao'ming'zhi'fa'shen'fen
标示绳,biao'shi'sheng
标示通路,biao'shi'tong'lu
表率作用,biao'shuai'zuo'yong
标图,biao'tu
表彰和奖励,biao'zhang'he'jiang'li
标志弹,biao'zhi'dan
标志灯塔,biao'zhi'deng'ta
标准导轨,biao'zhun'dao'gui
标准接口,biao'zhun'jie'kou
标准排水量,biao'zhun'pai'shui'liang
标准射击条件,biao'zhun'she'ji'tiao'jian
标准时,biao'zhun'shi
标准型,biao'zhun'xing
濒海,bin'hai
滨海港口,bin'hai'gang'kou
濒海翼侧,bin'hai'yi'ce
宾客之用,bin'ke'zhi'yong
濒陆,bin'lu
濒陆海区,bin'lu'hai'qu
宾夕法尼亚号,bin'xi'fa'ni'ya'hao
兵不厌诈,bing'bu'yan'zha
兵曹,bing'cao
兵法,bing'fa
兵非益多,bing'fei'yi'duo
兵诡必疑,bing'gui'bi'yi
兵贵神速,bing'gui'shen'su
并肩突击,bing'jian'tu'ji
兵教兵,bing'jiao'bing
兵教官,bing'jiao'guan
兵力,bing'li
兵力编组,bing'li'bian'zu
兵力对比,bing'li'dui'bi
兵力机动,bing'li'ji'dong
兵力区分,bing'li'qu'fen
并炮,bing'pao
柄片,bing'pian
兵棋,bing'qi
兵器车,bing'qi'che
兵器系统,bing'qi'xi'tong
兵棋作业,bing'qi'zuo'ye
兵权贵一,bing'quan'gui'yi
冰上渡场,bing'shang'du'chang
冰上渡河,bing'shang'du'he
丙射线,bing'she'xian
丙射线照射量,bing'she'xian'zhao'she'liang
兵无常势,bing'wu'chang'shi
柄芯,bing'xin
冰雪障碍物,bing'xue'zhang'ai'wu
兵要地志,bing'yao'di'zhi
兵役法,bing'yi'fa
兵以静胜,bing'yi'jing'sheng
兵役局,bing'yi'ju
兵役委员会,bing'yi'wei'yuan'hui
兵役制度,bing'yi'zhi'du
兵役制度名词,bing'yi'zhi'du'ming'ci
兵员,bing'yuan
兵员补退,bing'yuan'bu'tui
兵员动员计划,bing'yuan'dong'yuan'ji'hua
兵站,bing'zhan
兵站运输网,bing'zhan'yun'shu'wang
兵仗局,bing'zhang'ju
兵之胜败,bing'zhi'sheng'bai
兵种,bing'zhong
兵众孰强,bing'zhong'shu'qiang
兵种战术,bing'zhong'zhan'shu
兵种战术训练,bing'zhong'zhan'shu'xun'lian
兵种主帅,bing'zhong'zhu'shuai
并舟具,bing'zhou'ju
波瓣间,bo'ban'jian
波瓣间盲区,bo'ban'jian'mang'qu
波次,bo'ci
拨等,bo'deng
博克,bo'ke
博克战斗刀,bo'ke'zhan'dou'dao
波兰语,bo'lan'yu
柏林战役,bo'lin'zhan'yi
波面制导,bo'mian'zhi'dao
薄前猎后,bo'qian'lie'hou
波束制导,bo'shu'zhi'dao
波音公司,bo'yin'gong'si
波状斜面,bo'zhuang'xie'mian
布板,bu'ban
布板信号,bu'ban'xin'hao
步兵,bu'bing
步兵搭载,bu'bing'da'zai
步兵浮桥,bu'bing'fu'qiao
步兵技术训练,bu'bing'ji'shu'xun'lian
步兵旁牌,bu'bing'pang'pai
步兵三脚架,bu'bing'san'jiao'jia
步兵统领衙门,bu'bing'tong'ling'ya'men
步兵武器,bu'bing'wu'qi
步兵战车,bu'bing'zhan'che
步兵战斗车,bu'bing'zhan'dou'che
步兵战斗教程,bu'bing'zhan'dou'jiao'cheng
步兵战术训练,bu'bing'zhan'shu'xun'lian
步步为营,bu'bu'wei'ying
步测,bu'ce
补充情况,bu'chong'qing'kuang
补充任务,bu'chong'ren'wu
补充想定,bu'chong'xiang'ding
不打人骂人,bu'da'ren'ma'ren
钚弹,bu'dan
不得其考矣,bu'de'qi'kao'yi
不短于,bu'duan'yu
部队编制,bu'dui'bian'zhi
部队测绘勤务,bu'dui'ce'hui'qin'wu
部队代号,bu'dui'dai'hao
部队番号,bu'dui'fan'hao
部队试验,bu'dui'shi'yan
部队试用,bu'dui'shi'yong
部队行动,bu'dui'xing'dong
部队长,bu'dui'zhang
部队侦察,bu'dui'zhen'cha
部队驻地,bu'dui'zhu'di
部队装备,bu'dui'zhuang'bei
部分动员,bu'fen'dong'yuan
部分轨道武器,bu'fen'gui'dao'wu'qi
部分护卫舰,bu'fen'hu'wei'jian
部分指战员,bu'fen'zhi'zhan'yuan
捕俘技术,bu'fu'ji'shu
布告,bu'gao
补给淡水,bu'gei'dan'shui
补给运输线,bu'gei'yun'shu'xian
不贵久,bu'gui'jiu
不过借,bu'guo'jie
步话机,bu'hua'ji
补给点,bu'ji'dian
不进入阵地,bu'jin'ru'zhen'di
不尽相同,bu'jin'xiang'tong
不久便,bu'jiu'bian
步军统领,bu'jun'tong'ling
步军营,bu'jun'ying
不可不察也,bu'ke'bu'cha'ye
不可先传也,bu'ke'xian'chuan'ye
布莱恩泰,bu'lai'en'tai
布雷,bu'lei
布雷车,bu'lei'che
布雷弹,bu'lei'dan
布雷计时点,bu'lei'ji'shi'dian
布雷舰,bu'lei'jian
布雷密度,bu'lei'mi'du
布雷器,bu'lei'qi
不良天候,bu'liang'tian'hou
不论男女,bu'lun'nan'nv
不能军者,bu'neng'jun'zhe
布匿战争,bu'ni'zhan'zheng
不虐待俘虏,bu'nue'dai'fu'lu
步炮协同,bu'pao'xie'tong
步炮协同通信,bu'pao'xie'tong'tong'xin
步枪从,bu'qiang'cong
步枪是,bu'qiang'shi
步枪性能,bu'qiang'xing'neng
不若则能避之,bu'ruo'ze'neng'bi'zhi
步哨,bu'shao
不少击发枪,bu'shao'ji'fa'qiang
布氏杆菌,bu'shi'gan'jun
不损坏庄家,bu'sun'huai'zhuang'jia
步谈机,bu'tan'ji
步坦协同,bu'tan'xie'tong
步坦协同通信,bu'tan'xie'tong'tong'xin
不忒者,bu'tei'zhe
不调戏妇女,bu'tiao'xi'fu'nv
不听制止,bu'ting'zhi'zhi
不锈钢,bu'xiu'gang
卜颜帖木儿,bu'yan'tie'mu'er
不宜大,bu'yi'da
不易掌握,bu'yi'zhang'wo
步营,bu'ying
不予处罚,bu'yu'chu'fa
步战,bu'zhan
步战车,bu'zhan'che
不知彼不知己,bu'zhi'bi'bu'zhi'ji
不知彼而知己,bu'zhi'bi'er'zhi'ji
不知之者不胜,bu'zhi'zhi'zhe'bu'sheng
捕捉俘虏,bu'zhuo'fu'lu
捕捉狗,bu'zhuo'gou
捕捉战机,bu'zhuo'zhan'ji
财产权属,cai'chan'quan'shu
才彻底把,cai'che'di'ba
采购法,cai'gou'fa
采购项目,cai'gou'xiang'mu
财经纪律,cai'jing'ji'lv
材料堆场,cai'liao'dui'chang
才能炼出,cai'neng'lian'chu
采取主动,cai'qu'zhu'dong
才死伤,cai'si'shang
才完成,cai'wan'cheng
财务保障,cai'wu'bao'zhang
财务管理,cai'wu'guan'li
财务管理原则,cai'wu'guan'li'yuan'ze
财务规章制度,cai'wu'gui'zhang'zhi'du
财务检查,cai'wu'jian'cha
采用燧发枪,cai'yong'sui'fa'qiang
残存火力点,can'cun'huo'li'dian
残敌,can'di
残废军人,can'fei'jun'ren
参观教学,can'guan'jiao'xue
参军参干,can'jun'can'gan
参谋六会,can'mou'liu'hui
参谋人员,can'mou'ren'yuan
参谋业务,can'mou'ye'wu
参谋长,can'mou'zhang
蚕食,can'shi
仓促防御,cang'cu'fang'yu
仓猝防御,cang'cu'fang'yu
仓库,cang'ku
苍龙型,cang'long'xing
舱门,cang'men
舱室,cang'shi
槽车,cao'che
漕渡,cao'du
漕渡门桥,cao'du'men'qiao
曹刿,cao'gui
草人惑敌,cao'ren'huo'di
草原伪装,cao'yuan'wei'zhuang
操舟,cao'zhou
操舟机,cao'zhou'ji
操舟机支架,cao'zhou'ji'zhi'jia
操纵部分,cao'zong'bu'fen
操纵地雷,cao'zong'di'lei
操纵手,cao'zong'shou
操纵性,cao'zong'xing
操作反干扰,cao'zuo'fan'gan'rao
操作训练弹,cao'zuo'xun'lian'dan
操作原理,cao'zuo'yuan'li
侧保险道,ce'bao'xian'dao
侧壁式,ce'bi'shi
侧壁式气垫船,ce'bi'shi'qi'dian'chuan
测地,ce'di
侧敌前进,ce'di'qian'jin
测地勤务,ce'di'qin'wu
测地卫星,ce'di'wei'xing
测定方位,ce'ding'fang'wei
侧方尖兵,ce'fang'jian'bing
侧方交会法,ce'fang'jiao'hui'fa
侧方警戒,ce'fang'jing'jie
侧方阵地,ce'fang'zhen'di
测风,ce'feng
测风雷达,ce'feng'lei'da
侧后,ce'hou
测绘,ce'hui
测绘保障,ce'hui'bao'zhang
测绘部队,ce'hui'bu'dui
测绘勤务保障,ce'hui'qin'wu'bao'zhang
测绘任务,ce'hui'ren'wu
侧击,ce'ji
侧净空区,ce'jing'kong'qu
测井器材,ce'jing'qi'cai
测距,ce'ju
测距仪,ce'ju'yi
测量船,ce'liang'chuan
侧射,ce'she
侧射火力,ce'she'huo'li
测试分队,ce'shi'fen'dui
侧视雷达,ce'shi'lei'da
测试阵地,ce'shi'zhen'di
测图卫星,ce'tu'wei'xing
侧卫,ce'wei
测线,ce'xian
侧向,ce'xiang
策应,ce'ying
测雨,ce'yu
测雨雷达,ce'yu'lei'da
查岗,cha'gang
查缉毒品,cha'ji'du'pin
查铺,cha'pu
查铺查哨,cha'pu'cha'shao
查哨,cha'shao
查证属实,cha'zheng'shu'shi
拆除爆破,chai'chu'bao'po
拆弹队,chai'dan'dui
拆拼,chai'pin
拆拼修理,chai'pin'xiu'li
拆装式金属桥,chai'zhuang'shi'jin'shu'qiao
缠距,chan'ju
产业动员局,chan'ye'dong'yuan'ju
缠战劳敌,chan'zhan'lao'di
常备军,chang'bei'jun
长兵,chang'bing
长波,chang'bo
长波台,chang'bo'tai
长波通信,chang'bo'tong'xin
长城,chang'cheng
长城抗战,chang'cheng'kang'zhan
长弹,chang'dan
场道,chang'dao
长点射,chang'dian'she
长方形地靶,chang'fang'xing'di'ba
常服,chang'fu
常服衬衣,chang'fu'chen'yi
长杆,chang'gan
常规弹头,chang'gui'dan'tou
常规动力,chang'gui'dong'li
常规检验箱,chang'gui'jian'yan'xiang
常规武器,chang'gui'wu'qi
常规战争,chang'gui'zhan'zheng
厂化,chang'hua
场界灯,chang'jie'deng
长门号,chang'men'hao
场内迫降场,chang'nei'po'jiang'chang
长枪法着,chang'qiang'fa'zhe
长枪管,chang'qiang'guan
长枪之法,chang'qiang'zhi'fa
长枪之物,chang'qiang'zhi'wu
长驱直入,chang'qu'zhi'ru
长沙会战,chang'sha'hui'zhan
长途电话,chang'tu'dian'hua
场外迫降场,chang'wai'po'jiang'chang
长围制敌,chang'wei'zhi'di
长形刺兵,chang'xing'ci'bing
常行军,chang'xing'jun
常用表尺,chang'yong'biao'chi
常用方法,chang'yong'fang'fa
长征健儿,chang'zheng'jian'er
抄报,chao'bao
抄报纸,chao'bao'zhi
超编,chao'bian
潮差,chao'cha
超长波,chao'chang'bo
超长波通信,chao'chang'bo'tong'xin
超低轨道,chao'di'gui'dao
超低空,chao'di'kong
超低空飞行,chao'di'kong'fei'xing
超短波,chao'duan'bo
超短波电台,chao'duan'bo'dian'tai
超短波通信,chao'duan'bo'tong'xin
超高空,chao'gao'kong
超高空爆炸,chao'gao'kong'bao'zha
超级美洲豹,chao'ji'mei'zhou'bao
超级战术折刀,chao'ji'zhan'shu'zhe'dao
超口径,chao'kou'jing
超口径炮弹,chao'kou'jing'pao'dan
超期服役,chao'qi'fu'yi
超声水压水雷,chao'sheng'shui'ya'shui'lei
超视距雷达,chao'shi'ju'lei'da
潮水线,chao'shui'xian
朝雾,chao'wu
朝雾级驱逐舰,chao'wu'ji'qu'zhu'jian
潮汐表,chao'xi'biao
朝鲜人民军,chao'xian'ren'min'jun
朝鲜停战协定,chao'xian'ting'zhan'xie'ding
朝鲜战场,chao'xian'zhan'chang
朝鲜战争,chao'xian'zhan'zheng
超压动压,chao'ya'dong'ya
超音速,chao'yin'su
超音速飞机,chao'yin'su'fei'ji
超越,chao'yue
超越射,chao'yue'she
超越射击,chao'yue'she'ji
超越作战,chao'yue'zuo'zhan
超直射距离,chao'zhi'she'ju'li
超重,chao'zhong
超重陷,chao'zhong'xian
车场,che'chang
车场日,che'chang'ri
车船,che'chuan
车份,che'fen
车公里,che'gong'li
车公里限额,che'gong'li'xian'e
车行部,che'hang'bu
车行部宽度,che'hang'bu'kuan'du
车甲之奉,che'jia'zhi'feng
车间距离,che'jian'ju'li
撤离战场,che'li'zhan'chang
车辆保养,che'liang'bao'yang
车辆初驶,che'liang'chu'shi
车辆分级,che'liang'fen'ji
车辆号牌,che'liang'hao'pai
车辆利用率,che'liang'li'yong'lv
车辆勤务,che'liang'qin'wu
车辆完好率,che'liang'wan'hao'lv
车辆运输,che'liang'yun'shu
车辆运行,che'liang'yun'xing
车辆运用凭证,che'liang'yun'yong'ping'zheng
车辆载具,che'liang'zai'ju
车辆质量分级,che'liang'zhi'liang'fen'ji
车轮式荷载,che'lun'shi'he'zai
车轮战法,che'lun'zhan'fa
车内空间,che'nei'kong'jian
车炮,che'pao
车炮场,che'pao'chang
车炮场日,che'pao'chang'ri
车骑府,che'qi'fu
车骑将军,che'qi'jiang'jun
车桥战役,che'qiao'zhan'yi
车日,che'ri
车下,che'xia
车厢,che'xiang
撤销担保,che'xiao'dan'bao
车用,che'yong
车杂而乘之,che'za'er'cheng'zhi
车载,che'zai
车载式,che'zai'shi
车战,che'zhan
车战时代,che'zhan'shi'dai
车长,che'zhang
车长观察镜,che'zhang'guan'cha'jing
车辙,che'zhe
车辙道,che'zhe'dao
车辙路面,che'zhe'lu'mian
车辙桥,che'zhe'qiao
沉底雷,chen'di'lei
沉底水雷,chen'di'shui'lei
陈述和申辩,chen'shu'he'shen'bian
沉物,chen'wu
陈玉成,chen'yu'cheng
乘彼不虞,cheng'bi'bu'yu
乘车行军,cheng'che'xing'jun
乘车战斗,cheng'che'zhan'dou
乘敌因循,cheng'di'yin'xun
乘敌之隙,cheng'di'zhi'xi
成都军区,cheng'du'jun'qu
成果法,cheng'guo'fa
成吉思汗,cheng'ji'si'han
乘间击暇,cheng'jian'ji'xia
乘降袭敌,cheng'jiang'xi'di
乘乱掩击,cheng'luan'yan'ji
