阿达,a'da
怀疑的眼神,huai'yi'de'yan'shen
怀疑喔,huai'yi'wo
慌慌张张,huang'huang'zhang'zhang
昏倒,hun'dao
加油,jia'you
加油两手紧握拳头高举,jia'you'liang'shou'jin'wo'quan'tou'gao'ju
见到偶像眼睛为之一亮,jian'dao'ou'xiang'yan'jing'wei'zhi'yi'liang
见钱眼开,jian'qian'yan'kai
奸笑,jian'xiao
紧张,jin'zhang
紧张的脸,jin'zhang'de'lian
惊讶,jing'ya
啾亲一个发出啾的声音,jiu'qin'yi'ge'fa'chu'jiu'de'sheng'yin
举手欢呼,ju'shou'huan'hu
咖啡杯,ka'fei'bei
看不到眼睛被摭住了,kan'bu'dao'yan'jing'bei'zhi'zhu'le
看到鬼就是看到鬼了嘛,kan'dao'gui'jiu'shi'kan'dao'gui'le'ma
看起来颇为气愤,kan'qi'lai'po'wei'qi'fen
烤丸子,kao'wan'zi
烤鱼,kao'yu
可爱的蝙蝠,ke'ai'de'bian'fu
可爱的笑脸,ke'ai'de'xiao'lian
蝌蚪,ke'dou
可恶手扠腰,ke'wu'shou'cha'yao
空洞,kong'dong
口真尴尬,kou'zhen'gan'ga
快乐,kuai'le
快逃嘿嘿,kuai'tao'hei'hei
来根烟吧,lai'gen'yan'ba
老虎,lao'hu
老人家,lao'ren'jia
累了又眯眼又打呵欠的,lei'le'you'mi'yan'you'da'he'qian'de
哩公啥哇听无啦,li'gong'sha'wa'ting'wu'la
哩马搬搬蛮,li'ma'ban'ban'man
连发飞拳,lian'fa'fei'quan
脸红了啦,lian'hong'le'la
了解,liao'jie
流泪感动,liu'lei'gan'dong
流眼泪的样子,liu'yan'lei'de'yang'zi
麻花辫女孩,ma'hua'bian'nv'hai
麻雀,ma'que
骂人的话,ma'ren'de'hua
满脸春风,man'lian'chun'feng
满眼都是钱,man'yan'dou'shi'qian
茫茫然的表情,mang'mang'ran'de'biao'qing
毛毛虫,mao'mao'chong
猫咪喵,mao'mi'miao
没错,mei'cuo
玫瑰花,mei'gui'hua
眉头紧皱有点生气了,mei'tou'jin'zhou'you'dian'sheng'qi'le
没有听到耳朵遮住了,mei'you'ting'dao'er'duo'zhe'zhu'le
默默相对,mo'mo'xiang'dui
目瞪口呆,mu'deng'kou'dai
拿彩球,na'cai'qiu
南方四贱客阿尼,nan'fang'si'jian'ke'a'ni
脑中一片空白,nao'zhong'yi'pian'kong'bai
你不要命啦,ni'bu'yao'ming'la
你好,ni'hao
你是谁,ni'shi'shui
你说得很清楚我听得很模糊,ni'shuo'de'hen'qing'chu'wo'ting'de'hen'mo'hu
你说的这个问题嗯我想想看,ni'shuo'de'zhe'ge'wen'ti'en'wo'xiang'xiang'kan
念昏了头,nian'hun'le'tou
偶生气了,ou'sheng'qi'le
螃蟹,pang'xie
屁股,pi'gu
期待状,qi'dai'zhuang
气得掉眼泪,qi'de'diao'yan'lei
其他的状况,qi'ta'de'zhuang'kuang
乾杯杯子碰杯子,qian'bei'bei'zi'peng'bei'zi
枪毙,qiang'bi
亲一个,qin'yi'ge
亲一个吧,qin'yi'ge'ba
亲一个发出啾的声音,qin'yi'ge'fa'chu'jiu'de'sheng'yin
请问,qing'wen
情绪篇,qing'xu'pian
去那里呀,qu'na'li'ya
人拜托,ren'bai'tuo
人拜托啦,ren'bai'tuo'la
人拜托两手作拜拜状,ren'bai'tuo'liang'shou'zuo'bai'bai'zhuang
人大咪咪,ren'da'mi'mi
人家才没有,ren'jia'cai'mei'you
日文好好休息用於睡前,ri'wen'hao'hao'xiu'xi'yong'yu'shui'qian
搔头疑惑,sao'tou'yi'huo
伤脑筋的意思,shang'nao'jin'de'yi'si
伤心的脸哭泣的脸,shang'xin'de'lian'ku'qi'de'lian
什麼什麼告诉我吧,shen'mo'shen'mo'gao'su'wo'ba
什麼事啊,shen'mo'shi'a
什麼意思,shen'mo'yi'si
胜利,sheng'li
生气,sheng'qi
生气的脸,sheng'qi'de'lian
生气的意思,sheng'qi'de'yi'si
狮子,shi'zi
受不了受不了,shou'bu'liao'shou'bu'liao
受到打击,shou'dao'da'ji
双手握拳表示加油努力之意,shuang'shou'wo'quan'biao'shi'jia'you'nu'li'zhi'yi
睡觉,shui'jiao
水母,shui'mu
睡著了啦,shui'zhu'le'la
死相,si'xiang
送你一束花,song'ni'yi'shu'hua
太阳眼镜,tai'yang'yan'jing
讨厌,tao'yan
听随身听,ting'sui'shen'ting
听无就是听不懂意思啦,ting'wu'jiu'shi'ting'bu'dong'yi'si'la
头昏脑胀搞不清,tou'hun'nao'zhang'gao'bu'qing
头昏眼花,tou'hun'yan'hua
偷偷的自满,tou'tou'de'zi'man
凸比中指,tu'bi'zhong'zhi
凸很生气非常生气,tu'hen'sheng'qi'fei'chang'sheng'qi
吐舌头笑,tu'she'tou'xiao
凸凸比中指,tu'tu'bi'zhong'zhi
凸凸两只中指喔,tu'tu'liang'zhi'zhong'zhi'wo
凸凸猪头,tu'tu'zhu'tou
哇出现了,wa'chu'xian'le
哇哈哈大笑三声,wa'ha'ha'da'xiao'san'sheng
晚安就是晚安罗,wan'an'jiu'shi'wan'an'luo
万岁,wan'sui
微笑,wei'xiao
问候篇,wen'hou'pian
我放弃,wo'fang'qi
我疯了,wo'feng'le
喔嗨唷,wo'hai'yo
蜗牛,wo'niu
我生气罗,wo'sheng'qi'luo
我想睡啦,wo'xiang'shui'la
喔耶,wo'ye
喔有点儿惊到,wo'you'dian'er'jing'dao
无奈,wu'nai
乌鸦,wu'ya
乌鸦乌鸦飞过去表示冷场无趣,wu'ya'wu'ya'fei'guo'qu'biao'shi'leng'chang'wu'qu
吓一跳,xia'yi'tiao
献上,xian'shang
献上最可爱的笑,xian'shang'zui'ke'ai'de'xiao
想睡觉了的意思,xiang'shui'jiao'le'de'yi'si
想睡了,xiang'shui'le
像樱桃小丸子的条码无奈的意思,xiang'ying'tao'xiao'wan'zi'de'tiao'ma'wu'nai'de'yi'si
小白兔,xiao'bai'tu
笑打招呼,xiao'da'zhao'hu
小剪刀,xiao'jian'dao
笑脸,xiao'lian
小猫咪,xiao'mao'mi
幸福,xing'fu
幸福吗,xing'fu'ma
幸福呢,xing'fu'ne
羞羞,xiu'xiu
羞羞脸,xiu'xiu'lian
嘘别吵偶让偶思考一下,xu'bie'chao'ou'rang'ou'si'kao'yi'xia
呀比,ya'bi
讶异的,ya'yi'de
眼睛一亮,yan'jing'yi'liang
要你管,yao'ni'guan
也是乾杯杯子相碰,ye'shi'qian'bei'bei'zi'xiang'peng
耶耶,ye'ye
一副郁卒的样子,yi'fu'yu'zu'de'yang'zi
疑惑,yi'huo
一脸苦瓜,yi'lian'ku'gua
疑问的脸,yi'wen'de'lian
一一秘密嘘,yi'yi'mi'mi'xu
一一锐利的眼神,yi'yi'rui'li'de'yan'shen
有八字胡哦,you'ba'zi'hu'o
有点儿无奈,you'dian'er'wu'nai
有好感的意思,you'hao'gan'de'yi'si
有话快说,you'hua'kuai'shuo
鱿鱼,you'yu
鱼儿鱼儿水中游,yu'er'yu'er'shui'zhong'you
鱼骨头,yu'gu'tou
元气娃娃,yuan'qi'wa'wa
约束手指打勾勾有像吧,yue'shu'shou'zhi'da'gou'gou'you'xiang'ba
晕倒不省人事,yun'dao'bu'xing'ren'shi
杂物篇,za'wu'pian
载著耳机听音乐,zai'zhu'er'ji'ting'yin'yue
暂停,zan'ting
造成冷乾笑,zao'cheng'leng'qian'xiao
糟糕被发现了,zao'gao'bei'fa'xian'le
怎麼会这样,zen'mo'hui'zhe'yang
炸弹,zha'dan
蟑螂,zhang'lang
章鱼,zhang'yu
这个问题嘛我却不这麼想,zhe'ge'wen'ti'ma'wo'que'bu'zhe'mo'xiang
真尴尬,zhen'gan'ga
睁大眼瞪你,zheng'da'yan'deng'ni
正戴著耳机听音乐呢,zheng'dai'zhu'er'ji'ting'yin'yue'ne
皱眉头,zhou'mei'tou
祝好梦,zhu'hao'meng
猪头,zhu'tou
猪猪,zhu'zhu
装死的猪仔,zhuang'si'de'zhu'zai
装蒜,zhuang'suan
诅咒你,zu'zhou'ni
嘴角上扬的微笑,zui'jiao'shang'yang'de'wei'xiao
作鬼脸,zuo'gui'lian
做什麼啦,zuo'shen'mo'la
