暗示权利,an'shi'quan'li
渐进明细,jian'jin'ming'xi
监控项目工作,jian'kong'xiang'mu'gong'zuo
箭线图法,jian'xian'tu'fa
奖励权利,jiang'li'quan'li
交付物,jiao'fu'wu
进度控制,jin'du'kong'zhi
进度偏差,jin'du'pian'cha
矩阵型组织架构,ju'zhen'xing'zu'zhi'jia'gou
决策树分析,jue'ce'shu'fen'xi
可行性研究,ke'xing'xing'yan'jiu
控制账户,kong'zhi'zhang'hu
快速跟进,kuai'su'gen'jin
乐观估计,le'guan'gu'ji
类比估算,lei'bi'gu'suan
里程碑图,li'cheng'bei'tu
利害关系管理,li'hai'guan'xi'guan'li
卖方评级系统,mai'fang'ping'ji'xi'tong
卖方选择,mai'fang'xuan'ze
内部弥补成本,nei'bu'mi'bu'cheng'ben
内部失效成本,nei'bu'shi'xiao'cheng'ben
配置管理系统,pei'zhi'guan'li'xi'tong
批准的变更请求,pi'zhun'de'bian'geng'qing'qiu
批准的纠正措施,pi'zhun'de'jiu'zheng'cuo'shi
批准的缺陷补救,pi'zhun'de'que'xian'bu'jiu
批准的预防措施,pi'zhun'de'yu'fang'cuo'shi
评估成本,ping'gu'cheng'ben
平衡组织架构,ping'heng'zu'zhi'jia'gou
前导图法,qian'dao'tu'fa
强组织架构,qiang'zu'zhi'jia'gou
请求的变更,qing'qiu'de'bian'geng
确认的缺陷补救,que'ren'de'que'xian'bu'jiu
缺陷调整,que'xian'tiao'zheng
人力资源规划,ren'li'zi'yuan'gui'hua
任务分解结构,ren'wu'fen'jie'jie'gou
弱组织架构,ruo'zu'zhi'jia'gou
散布图帕累托分析图,san'bu'tu'pa'lei'tuo'fen'xi'tu
三点估算法,san'dian'gu'suan'fa
设计规格书,she'ji'gui'ge'shu
事后补救,shi'hou'bu'jiu
实际成本,shi'ji'cheng'ben
时间与材料合同,shi'jian'yu'cai'liao'he'tong
实施的变更请求,shi'shi'de'bian'geng'qing'qiu
实施的纠正措施,shi'shi'de'jiu'zheng'cuo'shi
实施的预防补救,shi'shi'de'yu'fang'bu'jiu
实施的预防措施,shi'shi'de'yu'fang'cuo'shi
实施质量保证,shi'shi'zhi'liang'bao'zheng
实施质量控制,shi'shi'zhi'liang'kong'zhi
时序图,shi'xu'tu
事业环境因素,shi'ye'huan'jing'yin'su
实质违约,shi'zhi'wei'yue
属性抽样,shu'xing'chou'yang
双代号网络图,shuang'dai'hao'wang'luo'tu
损失清算,sun'shi'qing'suan
索赔管理,suo'pei'guan'li
条件图法,tiao'jian'tu'fa
同行评审,tong'hang'ping'shen
统计过程控制图,tong'ji'guo'cheng'kong'zhi'tu
投标邀请书,tou'biao'yao'qing'shu
头脑风暴法,tou'nao'feng'bao'fa
图形评审技术,tu'xing'ping'shen'ji'shu
外部弥补成本,wai'bu'mi'bu'cheng'ben
外部失效成本,wai'bu'shi'xiao'cheng'ben
危机管理,wei'ji'guan'li
卫生因素,wei'sheng'yin'su
系统工程,xi'tong'gong'cheng
项目采购管理,xiang'mu'cai'gou'guan'li
项目初步范围说明书,xiang'mu'chu'bu'fan'wei'shuo'ming'shu
项目发起人,xiang'mu'fa'qi'ren
项目范围,xiang'mu'fan'wei
项目范围管理,xiang'mu'fan'wei'guan'li
项目费用管理,xiang'mu'fei'yong'guan'li
项目分解结构,xiang'mu'fen'jie'jie'gou
项目风险管理,xiang'mu'feng'xian'guan'li
项目工作说明书,xiang'mu'gong'zuo'shuo'ming'shu
项目沟通管理,xiang'mu'gou'tong'guan'li
项目管理办公室,xiang'mu'guan'li'ban'gong'shi
项目管理方法论,xiang'mu'guan'li'fang'fa'lun
项目管理计划,xiang'mu'guan'li'ji'hua
项目管理软件,xiang'mu'guan'li'ruan'jian
项目管理系统,xiang'mu'guan'li'xi'tong
项目管理协会,xiang'mu'guan'li'xie'hui
项目管理信息系统,xiang'mu'guan'li'xin'xi'xi'tong
项目管理专业人士,xiang'mu'guan'li'zhuan'ye'ren'shi
项目集管理办公室,xiang'mu'ji'guan'li'ban'gong'shi
项目人力资源管理,xiang'mu'ren'li'zi'yuan'guan'li
项目时间管理,xiang'mu'shi'jian'guan'li
项目收尾,xiang'mu'shou'wei
项目团队管理,xiang'mu'tuan'dui'guan'li
项目团队建设,xiang'mu'tuan'dui'jian'she
项目团队组建,xiang'mu'tuan'dui'zu'jian
项目型组织架构,xiang'mu'xing'zu'zhi'jia'gou
项目优先级,xiang'mu'you'xian'ji
项目章程,xiang'mu'zhang'cheng
项目整体管理,xiang'mu'zheng'ti'guan'li
项目质量管理,xiang'mu'zhi'liang'guan'li
详细设计,xiang'xi'she'ji
效益测算法,xiao'yi'ce'suan'fa
信息发布,xin'xi'fa'bu
性能规格书,xing'neng'gui'ge'shu
虚活动,xu'huo'dong
许可误差,xu'ke'wu'cha
虚拟团队,xu'ni'tuan'dui
需求分析,xu'qiu'fen'xi
询价,xun'jia
异常事件,yi'chang'shi'jian
一致成本,yi'zhi'cheng'ben
应急储备金,ying'ji'chu'bei'jin
预防成本,yu'fang'cheng'ben
约束优化法,yue'shu'you'hua'fa
账目编码,zhang'mu'bian'ma
征求意见书,zheng'qiu'yi'jian'shu
正式权利,zheng'shi'quan'li
整体变更控制,zheng'ti'bian'geng'kong'zhi
指导与管理项目执行,zhi'dao'yu'guan'li'xiang'mu'zhi'xing
制定工作分解结构,zhi'ding'gong'zuo'fen'jie'jie'gou
制定合格卖方清单,zhi'ding'he'ge'mai'fang'qing'dan
制定进度表,zhi'ding'jin'du'biao
制定项目初步范围说明书,zhi'ding'xiang'mu'chu'bu'fan'wei'shuo'ming'shu
制定项目管理计划,zhi'ding'xiang'mu'guan'li'ji'hua
制定项目章程,zhi'ding'xiang'mu'zhang'cheng
直方图,zhi'fang'tu
质量成本,zhi'liang'cheng'ben
质量功能部署,zhi'liang'gong'neng'bu'shu
质量规划,zhi'liang'gui'hua
质量审计,zhi'liang'shen'ji
智能型组织架构,zhi'neng'xing'zu'zhi'jia'gou
专家判断,zhuan'jia'pan'duan
准备金分析,zhun'bei'jin'fen'xi
自下而上法,zi'xia'er'shang'fa
资源分解结构,zi'yuan'fen'jie'jie'gou
资源分配,zi'yuan'fen'pei
资源负荷,zi'yuan'fu'he
资源平衡,zi'yuan'ping'heng
资源日历,zi'yuan'ri'li
总时差,zong'shi'cha
组织分解结构,zu'zhi'fen'jie'jie'gou
组织过程资产,zu'zhi'guo'cheng'zi'chan
最可能估计,zui'ke'neng'gu'ji
