阿什,a'shen
清真寺,qing'zhen'si
热电厂,re'dian'chang
仁爱医院,ren'ai'yi'yuan
日升,ri'sheng
三队,san'dui
三家子,san'jia'zi
沙河子,sha'he'zi
山前,shan'qian
上海路,shang'hai'lu
上苏相,shang'su'xiang
深圳东路,shen'zhen'dong'lu
深圳街,shen'zhen'jie
胜利桥,sheng'li'qiao
圣母洞,sheng'mu'dong
世纪广场,shi'ji'guang'chang
世纪新村,shi'ji'xin'cun
十六中,shi'liu'zhong
市农资市场,shi'nong'zi'shi'chang
市人大,shi'ren'da
十三中,shi'san'zhong
市图书馆,shi'tu'shu'guan
市委,shi'wei
市医院,shi'yi'yuan
市政协,shi'zheng'xie
市中医院,shi'zhong'yi'yuan
收费站,shou'fei'zhan
双苯厂,shuang'ben'chang
双吉,shuang'ji
水保,shui'bao
水工机械厂,shui'gong'ji'xie'chang
水库,shui'ku
水门洞,shui'men'dong
水泥厂,shui'ni'chang
水泥厂住宅,shui'ni'chang'zhu'zhai
四间房,si'jian'fang
四六五医院,si'liu'wu'yi'yuan
四中,si'zhong
松花江中学,song'hua'jiang'zhong'xue
松江村,song'jiang'cun
松源公司,song'yuan'gong'si
苏相,su'xiang
台北路,tai'bei'lu
炭素厂,tan'su'chang
炭素厂西门,tan'su'chang'xi'men
炭素厂住宅,tan'su'chang'zhu'zhai
滔搏广场,tao'bo'guang'chang
桃源广场,tao'yuan'guang'chang
桃源路,tao'yuan'lu
体育场,ti'yu'chang
天江小区,tian'jiang'xiao'qu
天津街,tian'jin'jie
天太,tian'tai
铁东区,tie'dong'qu
铁合金厂,tie'he'jin'chang
铁路配件,tie'lu'pei'jian
铜匠沟,tong'jiang'gou
通江街,tong'jiang'jie
通江路,tong'jiang'lu
通潭大路,tong'tan'da'lu
通潭路小学,tong'tan'lu'xiao'xue
通潭西区,tong'tan'xi'qu
团山,tuan'shan
团山子,tuan'shan'zi
万隆二区,wan'long'er'qu
王相,wang'xiang
维北小区,wei'bei'xiao'qu
温德村,wen'de'cun
温德桥,wen'de'qiao
文化宫,wen'hua'gong
武汉路,wu'han'lu
五家哨,wu'jia'shao
污水处理厂,wu'shui'chu'li'chang
西安路,xi'an'lu
西安路靶场,xi'an'lu'ba'chang
西关宾馆,xi'guan'bin'guan
西南窑,xi'nan'yao
西吴,xi'wu
下达屯,xia'da'tun
厦门街综合门诊,xia'men'jie'zong'he'men'zhen
厦门路,xia'men'lu
下洼子,xia'wa'zi
小关地,xiao'guan'di
小蓝旗,xiao'lan'qi
欣昌小区,xin'chang'xiao'qu
新春路,xin'chun'lu
新地号街,xin'di'hao'jie
新华彩印厂,xin'hua'cai'yin'chang
新华影院,xin'hua'ying'yuan
新吉林,xin'ji'lin
新九路,xin'jiu'lu
新九站,xin'jiu'zhan
新开街,xin'kai'jie
新立,xin'li
新闻中心,xin'wen'zhong'xin
新冶公司,xin'ye'gong'si
兴家,xing'jia
兴隆街,xing'long'jie
延安街,yan'an'jie
延安路,yan'an'lu
沿丰街,yan'feng'jie
腰屯,yao'tun
仪表厂,yi'biao'chang
义德源钢材市场,yi'de'yuan'gang'cai'shi'chang
伊利花园,yi'li'hua'yuan
医药学院,yi'yao'xue'yuan
永强小区,yong'qiang'xiao'qu
永庆,yong'qing
永庆八队,yong'qing'ba'dui
永庆六队,yong'qing'liu'dui
永庆七队,yong'qing'qi'dui
幼儿师范艺术学校,you'er'shi'fan'yi'shu'xue'xiao
玉山路,yu'shan'lu
毓文中学,yu'wen'zhong'xue
源源热电厂,yuan'yuan're'dian'chang
越山路,yue'shan'lu
造纸厂,zao'zhi'chang
朝阳花园,zhao'yang'hua'yuan
锗厂,zhe'chang
政务服务中心,zheng'wu'fu'wu'zhong'xin
职业病防治所,zhi'ye'bing'fang'zhi'suo
中东新生活,zhong'dong'xin'sheng'huo
中行大厦,zhong'hang'da'sha
中西医院,zhong'xi'yi'yuan
周家,zhou'jia
朱雀山,zhu'que'shan
砖厂,zhuan'chang
