阿布德斯,a'bu'de'si
麻札朝拜,ma'zha'chao'bai
乜贴,mie'tie
乜帖,mie'tie
末日审判,mo'ri'shen'pan
默示,mo'shi
拿手,na'shou
乃非伊思巴提,nai'fei'yi'si'ba'ti
乃玛孜,nai'ma'zi
内邦克,nei'bang'ke
内五常,nei'wu'chang
尼卡罕,ni'ka'han
念功,nian'gong
念夜,nian'ye
女圣忌,nv'sheng'ji
祈祷,qi'dao
齐克尔,qi'ke'er
七斋,qi'zhai
起指,qi'zhi
前定,qian'ding
清真,qing'zhen
清真言,qing'zhen'yan
绕行,rao'xing
热衣斯制,re'yi'si'zhi
人道,ren'dao
肉孜节,rou'zi'jie
入朝,ru'chao
撒金豆,sa'jin'dou
撒拉姆,sa'la'mu
撒拉特,sa'la'te
赛玛,sai'ma
塞那,sai'na
三道制,san'dao'zhi
散课,san'ke
三掌教制,san'zhang'jiao'zhi
色兰,se'lan
色俩目,se'liang'mu
善功,shan'gong
晌礼,shang'li
上苫单,shang'shan'dan
射石,she'shi
圣会,sheng'hui
圣忌,sheng'ji
圣纪,sheng'ji
圣战,sheng'zhan
圣治,sheng'zhi
世界末日,shi'jie'mo'ri
施舍,shi'she
世袭制,shi'xi'zhi
十项主命,shi'xiang'zhu'ming
示形礼拜,shi'xing'li'bai
受戒,shou'jie
守夜,shou'ye
守制期,shou'zhi'qi
双轨制,shuang'gui'zhi
四大天使,si'da'tian'shi
死后复活,si'hou'fu'huo
送阿訇,song'a'hong
诵经,song'jing
宿夜,su'ye
台哈勒麦,tai'ha'le'mai
太哈秘德,tai'ha'mi'de
太克毕雷,tai'ke'bi'lei
太思米叶,tai'si'mi'ye
泰亚蒙,tai'ya'meng
探泉,tan'quan
讨白,tao'bai
讨拉特,tao'la'te
特拉威哈,te'la'wei'ha
特斯必赫,te'si'bi'he
天秤,tian'cheng
天道,tian'dao
天课,tian'ke
天理,tian'li
天命,tian'ming
天桥,tian'qiao
天使,tian'shi
天堂,tian'tang
天园,tian'yuan
投石,tou'shi
土净,tu'jing
瓦尔兹,wa'er'zi
挖哈一,wa'ha'yi
外邦克,wai'bang'ke
外道,wai'dao
外五常,wai'wu'chang
宛葛思归主纪念日,wan'ge'si'gui'zhu'ji'nian'ri
委派制,wei'pai'zhi
伟特雷,wei'te'lei
卫特礼,wei'te'li
吻拜,wen'bai
渥都,wo'dou
五常,wu'chang
五典,wu'dian
五番拜,wu'fan'bai
五功,wu'gong
乌斯里,wu'si'li
五仙马,wu'xian'ma
乡约制,xiang'yue'zhi
小净,xiao'jing
宵礼,xiao'li
信后世,xin'hou'shi
虚位殡礼,xu'wei'bin'li
宣邦克,xuan'bang'ke
宣礼,xuan'li
选聘制,xuan'pin'zhi
巡礼,xun'li
循序礼拜,xun'xu'li'bai
谒陵,ye'ling
伊玛尼,yi'ma'ni
伊斯兰教信仰礼仪节日制度词库,yi'si'lan'jiao'xin'yang'li'yi'jie'ri'zhi'du'ci'ku
依斯目咱提,yi'si'mu'zan'ti
依札布,yi'zha'bu
依札孜,yi'zha'zi
印沙安拉,yin'sha'an'la
引支勒,yin'zhi'le
游坟,you'fen
优努思出无难,you'nu'si'chu'wu'nan
圆经,yuan'jing
宰逋尔,zai'bu'er
宰牲,zai'sheng
宰牲节,zai'sheng'jie
赞念,zan'nian
札卡特,zha'ka'te
斋功,zhai'gong
斋戒,zhai'jie
斋月,zhai'yue
占乃提,zhan'nai'ti
掌教制,zhang'jiao'zhi
哲罕南木,zhe'han'nan'mu
者那则,zhe'na'ze
真主,zhen'zhu
正朝,zheng'chao
正道,zheng'dao
至仁主,zhi'ren'zhu
主,zhu
祝福,zhu'fu
主麻,zhu'ma
主麻拜,zhu'ma'bai
转白拉提,zhuan'bai'la'ti
转香炉,zhuan'xiang'lu
总信,zong'xin
坐静斋月副功拜,zuo'jing'zhai'yue'fu'gong'bai
坐夜,zuo'ye
作证词,zuo'zheng'ci
