暗附,an'fu
冠玉,guan'yu
海底取月,hai'di'qu'yue
亥豕,hai'shi
含沙,han'sha
寒食,han'shi
韩信点兵,han'xin'dian'bing
汉印,han'yin
皓首,hao'shou
合壁,he'bi
合璧,he'bi
鹤顶,he'ding
鹤立,he'li
鹤膝,he'xi
涸辙,he'zhe
黑带,hei'dai
黑胸,hei'xiong
红豆,hong'dou
鸿沟,hong'gou
红绣鞋,hong'xiu'xie
鸿雁分飞,hong'yan'fen'fei
红影,hong'ying
烘云托月,hong'yun'tuo'yue
蝴蝶,hu'die
鹄立,hu'li
湖上断桥,hu'shang'duan'qiao
虎项解铃,hu'xiang'jie'ling
虎项系铃,hu'xiang'xi'ling
华蓄,hua'xu
缓带,huan'dai
幻影,huan'ying
回头是岸,hui'tou'shi'an
回文,hui'wen
会心,hui'xin
会意,hui'yi
毁舆,hui'yu
浑然一气,hun'ran'yi'qi
屐齿,ji'chi
集锦,ji'jin
集腋为裘,ji'ye'wei'qiu
集字,ji'zi
戢左翼,ji'zuo'yi
加笔,jia'bi
加冠,jia'guan
嘉禾,jia'he
假借,jia'jie
加冕,jia'mian
加偏,jia'pian
颊上添毫,jia'shang'tian'hao
加相面枋,jia'xiang'mian'fang
夹谐,jia'xie
驾舆,jia'yu
检衽,jian'ren
箭中红心,jian'zhong'hong'xin
间珠,jian'zhu
间字,jian'zi
蕉心,jiao'xin
截搭,jie'da
接搭,jie'da
解带,jie'dai
揭顶,jie'ding
截对,jie'dui
解铃,jie'ling
解领,jie'ling
金蝉脱壳,jin'chan'tuo'qiao
金盒子,jin'he'zi
进口,jin'kou
金扭丝,jin'niu'si
锦屏,jin'ping
锦屏风,jin'ping'feng
巾启浩然,jin'qi'hao'ran
金人,jin'ren
金锁,jin'suo
进言,jin'yan
精卫,jing'wei
竞走,jing'zou
举火,ju'huo
俱卷,ju'juan
句连,ju'lian
苴履,ju'lv
举头望月,ju'tou'wang'yue
卷帘,juan'lian
眷帘,juan'lian
绝妙好辞,jue'miao'hao'ci
绝祛,jue'qu
筠垫,jun'dian
筠梢,jun'shao
开花,kai'hua
开网,kai'wang
康荼佉样,kang'tu'qu'yang
科头赤足,ke'tou'chi'zu
空心,kong'xin
抠衣,kou'yi
扣字,kou'zi
蒯通相背,kuai'tong'xiang'bei
兰芬持筹,lan'fen'chi'chou
类命为象,lei'ming'wei'xiang
垒石,lei'shi
离合,li'he
梨花,li'hua
力士,li'shi
立雪,li'xue
骊珠,li'zhu
连环,lian'huan
连珠,lian'zhu
两来船,liang'lai'chuan
临文不讳,lin'wen'bu'hui
菱花,ling'hua
玲珑,ling'long
灵心,ling'xin
凌烟功臣,ling'yan'gong'chen
凌云,ling'yun
榴妒,liu'du
留牛,liu'niu
榴裙,liu'qun
流水,liu'shui
龙齿,long'chi
龙山,long'shan
龙山落帽,long'shan'luo'mao
拢意,long'yi
漏春,lou'chun
漏纱,lou'sha
鹭胫,lu'jing
辘轳,lu'lu
庐山,lu'shan
鸾凤,luan'feng
孪生,luan'sheng
落花,luo'hua
落帽,luo'mao
螺旋,luo'xuan
履霜,lv'shuang
埋头,mai'tou
盲目,mang'mu
梅花不同,mei'hua'bu'tong
美人簪花,mei'ren'zan'hua
免冠,mian'guan
面文,mian'wen
妙手空空,miao'shou'kong'kong
摩顶,mo'ding
摹仿笺注,mo'fang'jian'zhu
摹仿题纸,mo'fang'ti'zhi
抹胸,mo'xiong
牟尼,mou'ni
牟尼一串,mou'ni'yi'chuan
目无全牛,mu'wu'quan'niu
纳履,na'lv
赧冠,nan'guan
赧尾,nan'wei
内附,nei'fu
内螺旋,nei'luo'xuan
牛臣善隐,niu'chen'shan'yin
弄瓦,nong'wa
弄璋,nong'zhang
偶峰镶嵌,ou'feng'xiang'qian
偏裘,pian'qiu
偏右帽,pian'you'mao
偏左帽,pian'zuo'mao
屏风,ping'feng
破镜,po'jing
期艾,qi'ai
奇峰镶嵌,qi'feng'xiang'qian
启阖,qi'he
弃履,qi'lv
启下,qi'xia
弃玉,qi'yu
牵箩,qian'luo
巧图,qiao'tu
巧言,qiao'yan
秦胫,qin'jing
青领,qing'ling
请庆多马,qing'qing'duo'ma
求凰,qiu'huang
秋千,qiu'qian
屈螺,qu'luo
屈右膝,qu'you'xi
屈左膝,qu'zuo'xi
阙笔,que'bi
任泽呼斗,ren'ze'hu'dou
容光必照,rong'guang'bi'zhao
肉好,rou'hao
入耳,ru'er
入月,ru'yue
三峰,san'feng
三须,san'xu
纱帽朝靴,sha'mao'chao'xue
上楼,shang'lou
上水,shang'shui
上下楼,shang'xia'lou
烧尾,shao'wei
射阳,she'yang
射影,she'ying
神龟缩头,shen'gui'suo'tou
神龙,shen'long
神龙伸缩,shen'long'shen'suo
生虫,sheng'chong
声东击西,sheng'dong'ji'xi
升冠,sheng'guan
生莲,sheng'lian
饰冠,shi'guan
饰褧,shi'jiong
石勒观书,shi'le'guan'shu
失马,shi'ma
食泉易心,shi'quan'yi'xin
诗人踏雪,shi'ren'ta'xue
饰靴,shi'xue
实者虚之,shi'zhe'xu'zhi
寿星,shou'xing
竖头论沐,shu'tou'lun'mu
叔重谐声,shu'zhong'xie'sheng
双钩,shuang'gou
双皓首,shuang'hao'shou
双落靴,shuang'luo'xue
双上楼,shuang'shang'lou
双升冠,shuang'sheng'guan
双燕分飞,shuang'yan'fen'fei
双腰,shuang'yao
双用,shuang'yong
双折腰,shuang'zhe'yao
丝纶,si'lun
四日举趾,si'ri'ju'zhi
斯文,si'wen
苏黄,su'huang
素袜,su'wa
素心,su'xin
溯源,su'yuan
素月,su'yue
算数,suan'shu
碎锦,sui'jin
太公投竿,tai'gong'tou'gan
太极图,tai'ji'tu
坦腹东床,tan'fu'dong'chuang
袒生著鞭,tan'sheng'zhu'bian
探源星宿,tan'yuan'xing'xiu
汤盘著铭,tang'pan'zhu'ming
踢斗,ti'dou
添花,tian'hua
添人,tian'ren
添衣,tian'yi
调首,tiao'shou
调尾,tiao'wei
调字,tiao'zi
帖耳,tie'er
蜓尾,ting'wei
童读,tong'du
同人,tong'ren
同销,tong'xiao
同心,tong'xin
同心结,tong'xin'jie
同穴,tong'xue
投笔,tou'bi
偷香,tou'xiang
投影,tou'ying
团圆,tuan'yuan
推窗,tui'chuang
脱巾,tuo'jin
脱尽恒蹊,tuo'jin'heng'qi
脱帽,tuo'mao
脱靴,tuo'xue
脱右靴,tuo'you'xue
脱左靴,tuo'zuo'xue
外附,wai'fu
外螺旋,wai'luo'xuan
望月,wang'yue
围棋,wei'qi
问答,wen'da
文娲,wen'wa
文娲炼石,wen'wa'lian'shi
握手,wo'shou
无底囊,wu'di'nang
五丁,wu'ding
吴刚,wu'gang
无农,wu'nong
五巧图,wu'qiao'tu
乌纱,wu'sha
无鱼,wu'yu
息妫,xi'gui
犀角,xi'jiao
系铃,xi'ling
西文,xi'wen
夕阳,xi'yang
喜雨,xi'yu
下楼,xia'lou
闲花,xian'hua
鲜领,xian'ling
象形,xiang'xing
孝先,xiao'xian
晓阳,xiao'yang
泄白,xie'bai
蝎背,xie'bei
写化双凫,xie'hua'shuang'fu
挟山超海,xie'shan'chao'hai
谐声,xie'sheng
斜倚薰笼,xie'yi'xun'long
新赋,xin'fu
杏苑摘花,xing'yuan'zhai'hua
袖手,xiu'shou
绣鞋,xiu'xie
徐妃,xu'fei
虚者实之,xu'zhe'shi'zhi
悬露,xuan'lu
雪氅,xue'chang
雪帽,xue'mao
丫髻,ya'ji
掩耳,yan'er
燕尾,yan'wei
掩右翼,yan'you'yi
阳虎似圣,yang'hu'si'sheng
遥对,yao'dui
腰牌,yao'pai
瑶台花影,yao'tai'hua'ying
曳白,ye'bai
一串珠,yi'chuan'zhu
一读,yi'du
遗画,yi'hua
一画破天,yi'hua'po'tian
一箭双雕,yi'jian'shuang'diao
一节,yi'jie
易巾,yi'jin
一卷帘,yi'juan'lian
易铃,yi'ling
移铃,yi'ling
一气,yi'qi
夷齐,yi'qi
乙上,yi'shang
羿射,yi'she
义实从兄,yi'shi'cong'xiong
乙下,yi'xia
移玉,yi'yu
易帜,yi'zhi
移帜,yi'zhi
乙中,yi'zhong
移珠,yi'zhu
蚁珠九曲,yi'zhu'jiu'qu
隐冠,yin'guan
殷浩书空,yin'hao'shu'kong
隐目,yin'mu
阴阳,yin'yang
因字,yin'zi
鹦稻,ying'dao
楹联,ying'lian
蝇头,ying'tou
有目,you'mu
优盂衣冠,you'yu'yi'guan
玉版,yu'ban
玉带,yu'dai
于归,yu'gui
玉盒子,yu'he'zi
玉鸿沟,yu'hong'gou
玉壶冰,yu'hu'bing
盂嘉,yu'jia
玉颈,yu'jing
雨来船,yu'lai'chuan
玉连环,yu'lian'huan
玉片,yu'pian
禹穴探书,yu'xue'tan'shu
鸳肩,yuan'jian
缘径,yuan'jing
袁李对背,yuan'li'dui'bei
鸳鸯,yuan'yang
鸳鸯带,yuan'yang'dai
鸳鸯交颈,yuan'yang'jiao'jing
鸳鸯两坐,yuan'yang'liang'zuo
越王约发,yue'wang'yue'fa
月移花影,yue'yi'hua'ying
云出无心,yun'chu'wu'xin
运用干枝,yun'yong'gan'zhi
再访桃源,zai'fang'tao'yuan
载酒问字,zai'jiu'wen'zi
栽树,zai'shu
簪花,zan'hua
皂靴,zao'xue
赠刀,zeng'dao
增减,zeng'jian
增金,zeng'jin
增门,zeng'men
增损,zeng'sun
摘遍,zhai'bian
摘领,zhai'ling
展翼,zhan'yi
张旭草圣,zhang'xu'cao'sheng
张议连横,zhang'yi'lian'heng
昭阳,zhao'yang
折屐,zhe'ji
折巾,zhe'jin
折胫,zhe'jing
折颈,zhe'jing
折领,zhe'ling
折柳,zhe'liu
折腿,zhe'tui
折项,zhe'xiang
折腰,zhe'yao
折翼,zhe'yi
遮月,zhe'yue
针锋,zhen'feng
枕漱,zhen'shu
珍珠繐,zhen'zhu'sui
郑婢泥中,zheng'bi'ni'zhong
正冠,zheng'guan
正履,zheng'lv
郑五作相,zheng'wu'zuo'xiang
止戈,zhi'ge
只履,zhi'lv
织绵,zhi'mian
智物,zhi'wu
仲弓南面,zhong'gong'nan'mian
重门,zhong'men
种竹,zhong'zhu
珠帘倒卷,zhu'lian'dao'juan
朱履,zhu'lv
朱颜,zhu'yan
转尾,zhuan'wei
转注,zhuan'zhu
转珠,zhuan'zhu
缀珠,zhui'zhu
缁衣,zi'yi
子羽修饰,zi'yu'xiu'shi
字字双,zi'zi'shuang
祖生著鞭,zu'sheng'zhu'bian
