安边,an'bian
桐梓镇,tong'zi'zhen
团林,tuan'lin
团林乡,tuan'lin'xiang
外南街,wai'nan'jie
万里镇,wan'li'zhen
万兴现代城,wan'xing'xian'dai'cheng
王场,wang'chang
王场乡,wang'chang'xiang
汪家,wang'jia
王家,wang'jia
汪家镇,wang'jia'zhen
王家镇,wang'jia'zhen
维新镇,wei'xin'zhen
文江,wen'jiang
文江镇,wen'jiang'zhen
文星街,wen'xing'jie
武德,wu'de
武德乡,wu'de'xiang
五矿,wu'kuang
五矿镇,wu'kuang'zhen
武庙街,wu'miao'jie
五星乡,wu'xing'xiang
西城街道,xi'cheng'jie'dao
夕佳山,xi'jia'shan
夕佳山镇,xi'jia'shan'zhen
西郊街道,xi'jiao'jie'dao
喜捷,xi'jie
喜捷镇,xi'jie'zhen
下场镇,xia'chang'zhen
下罗,xia'luo
下罗乡,xia'luo'xiang
夏溪,xia'xi
夏溪乡,xia'xi'xiang
仙峰,xian'feng
仙峰乡,xian'feng'xiang
县府街,xian'fu'jie
仙临,xian'lin
仙临镇,xian'lin'zhen
咸熙街,xian'xi'jie
象鼻,xiang'bi
象鼻街道,xiang'bi'jie'dao
向家坝,xiang'jia'ba
小岸坝,xiao'an'ba
小碑巷,xiao'bei'xiang
孝儿,xiao'er
孝儿镇,xiao'er'zhen
新安,xin'an
新安镇,xin'an'zhen
新村,xin'cun
新发,xin'fa
新发乡,xin'fa'xiang
新市,xin'shi
新市镇,xin'shi'zhen
兴文,xing'wen
兴文县,xing'wen'xian
叙府,xu'fu
叙州,xu'zhou
叙州府,xu'zhou'fu
巡场,xun'chang
巡场镇,xun'chang'zhen
巡司,xun'si
巡司镇,xun'si'zhen
鸭池,ya'chi
鸭池乡,ya'chi'xiang
羊田,yang'tian
羊田乡,yang'tian'xiang
宜宾,yi'bin
宜宾市,yi'bin'shi
宜宾县,yi'bin'xian
宜都花园,yi'du'hua'yuan
怡乐,yi'le
怡乐镇,yi'le'zhen
迎安,ying'an
迎安镇,ying'an'zhen
潆溪,ying'xi
潆溪乡,ying'xi'xiang
涌泉街,yong'quan'jie
永兴,yong'xing
永兴镇,yong'xing'zhen
玉和,yu'he
玉和乡,yu'he'xiang
玉屏,yu'ping
玉屏乡,yu'ping'xiang
毓秀,yu'xiu
毓秀乡,yu'xiu'xiang
月江,yue'jiang
月江镇,yue'jiang'zhen
越溪,yue'xi
越溪河,yue'xi'he
趱滩,zan'tan
趱滩乡,zan'tan'xiang
赵场,zhao'chang
赵场街道,zhao'chang'jie'dao
真武山,zhen'wu'shan
真溪,zhen'xi
真溪乡,zhen'xi'xiang
镇舟,zhen'zhou
镇舟镇,zhen'zhou'zhen
志城港,zhi'cheng'gang
中坝,zhong'ba
中坝大桥,zhong'ba'da'qiao
中坝组团,zhong'ba'zu'tuan
中都,zhong'du
中都镇,zhong'du'zhen
忠孝街,zhong'xiao'jie
周家,zhou'jia
周家镇,zhou'jia'zhen
竹海镇,zhu'hai'zhen
宗场,zong'chang
宗场乡,zong'chang'xiang
