阿宝的包子铺,a'bao'de'bao'zi'pu
林建东,lin'jian'dong
刘鸿志,liu'hong'zhi
刘会凤,liu'hui'feng
刘健,liu'jian
卢菲菲,lu'fei'fei
罗伯特戴西蒙,luo'bo'te'dai'xi'meng
罗伯特方丹,luo'bo'te'fang'dan
吕迪格尔加姆,lv'di'ge'er'jia'mu
吕飞龙,lv'fei'long
马戴奥萨勒沃,ma'dai'ao'sa'le'wo
马丁洛佩兹,ma'ding'luo'pei'zi
马丁洛佩兹诺瑞斯,ma'ding'luo'pei'zi'nuo'rui'si
马可贝雷戈里尼,ma'ke'bei'lei'ge'li'ni
马罗奈特,ma'luo'nai'te
曼纽尔利普斯坦,man'niu'er'li'pu'si'tan
盲穿激光线,mang'chuan'ji'guang'xian
盲拧复原二维码,mang'ning'fu'yuan'er'wei'ma
盲填立体数独,mang'tian'li'ti'shu'du
盲填数独表,mang'tian'shu'du'biao
盲指过天桥,mang'zhi'guo'tian'qiao
梅兰妮霍兰,mei'lan'ni'huo'lan
蒙眼攀岩壁,meng'yan'pan'yan'bi
迷宫行者,mi'gong'xing'zhe
密码终结者,mi'ma'zhong'jie'zhe
秒杀数字塔,miao'sha'shu'zi'ta
魔方大战,mo'fang'da'zhan
魔方工厂,mo'fang'gong'chang
魔方画中画,mo'fang'hua'zhong'hua
魔方机器人,mo'fang'ji'qi'ren
魔方狂人,mo'fang'kuang'ren
魔方墙找茬,mo'fang'qiang'zhao'cha
魔方消时战,mo'fang'xiao'shi'zhan
默画港湾,mo'hua'gang'wan
摸形体识人,mo'xing'ti'shi'ren
脑电疑云,nao'dian'yi'yun
脑王,nao'wang
倪梓强,ni'zi'qiang
宁静,ning'jing
牛仔很忙,niu'zai'hen'mang
帕克派斯,pa'ke'pai'si
潘梓祺,pan'zi'qi
匹配多信息,pi'pei'duo'xin'xi
凭气息辨物,ping'qi'xi'bian'wu
扑克大对战,pu'ke'da'dui'zhan
扑克之王,pu'ke'zhi'wang
奇安弗兰科亨利乌安奇安迪亚,qi'an'fu'lan'ke'heng'li'wu'an'qi'an'di'ya
七阶幻立方,qi'jie'huan'li'fang
乔纳斯冯艾森,qiao'na'si'feng'ai'sen
窃听风云,qie'ting'feng'yun
青木建,qing'mu'jian
燃烧吧,ran'shao'ba
让你成大牌,rang'ni'cheng'da'pai
饶舜涵,rao'shun'han
人机大战,ren'ji'da'zhan
人眼扫描仪,ren'yan'sao'miao'yi
三维空间挪移,san'wei'kong'jian'nuo'yi
闪电速配王,shan'dian'su'pei'wang
扇面之谜,shan'mian'zhi'mi
少女的衣橱,shao'nv'de'yi'chu
神兽的脚印,shen'shou'de'jiao'yin
申一帆,shen'yi'fan
声波捕手,sheng'bo'bu'shou
世界大辞典,shi'jie'da'ci'dian
世界记忆大师,shi'jie'ji'yi'da'shi
史俊恒,shi'jun'heng
十面埋伏,shi'mian'mai'fu
辻洼凛音,shi'wa'lin'yin
手影迷踪,shou'ying'mi'zong
数独魔法师,shu'du'mo'fa'shi
舒淇,shu'qi
数字怪杰,shu'zi'guai'jie
双胞胎配对,shuang'bao'tai'pei'dui
水哥,shui'ge
水下拧魔方,shui'xia'ning'mo'fang
速报书信息,su'bao'shu'xin'xi
速度与激情,su'du'yu'ji'qing
速记同花顺,su'ji'tong'hua'shun
速开密码箱,su'kai'mi'ma'xiang
苏清波,su'qing'bo
速算兄弟,su'suan'xiong'di
碎片识画,sui'pian'shi'hua
碎颜修复,sui'yan'xiu'fu
孙彻然,sun'che'ran
孙亦廷,sun'yi'ting
泰森多边形,tai'sen'duo'bian'xing
陶晶莹,tao'jing'ying
套娃大乱套,tao'wa'da'luan'tao
铁脑三项,tie'nao'san'xiang
听风者,ting'feng'zhe
听音盲侠,ting'yin'mang'xia
佟大为,tong'da'wei
佟丽娅,tong'li'ya
铜人茶馆,tong'ren'cha'guan
土屋宏明,tu'wu'hong'ming
万物之声,wan'wu'zhi'sheng
王峰,wang'feng
王国林,wang'guo'lin
王鹰豪,wang'ying'hao
王昱珩,wang'yu'heng
微观辨虹膜,wei'guan'bian'hong'mo
微观辨鸡蛋,wei'guan'bian'ji'dan
微观辨人脸,wei'guan'bian'ren'lian
微观辨水,wei'guan'bian'shui
微观辨指纹,wei'guan'bian'zhi'wen
吴光仁,wu'guang'ren
吴仁竣,wu'ren'jun
吴淞昊,wu'song'hao
吴天胜,wu'tian'sheng
西蒙莱茵哈德,xi'meng'lai'yin'ha'de
像素大战,xiang'su'da'zhan
项天佑,xiang'tian'you
消失的密码,xiao'shi'de'mi'ma
新春窗花,xin'chun'chuang'hua
心算乘开方,xin'suan'cheng'kai'fang
心算大战,xin'suan'da'zhan
心算赛电脑,xin'suan'sai'dian'nao
心算神童,xin'suan'shen'tong
心算王中王,xin'suan'wang'zhong'wang
心心相印,xin'xin'xiang'yin
辛哲,xin'zhe
星际迷航,xing'ji'mi'hang
熊猫去过哪儿,xiong'mao'qu'guo'na'er
熊远芳,xiong'yuan'fang
徐刘洋,xu'liu'yang
雪花之谜,xue'hua'zhi'mi
杨冠新,yang'guan'xin
杨万里,yang'wan'li
一沙一世界,yi'sha'yi'shi'jie
一叶一菩提,yi'ye'yi'pu'ti
英蒙克额尔德尼巴特汗,ying'meng'ke'e'er'de'ni'ba'te'han
于尔根泽利格,yu'er'gen'ze'li'ge
约翰尼斯马劳,yue'han'ni'si'ma'lao
扎染密语,za'ran'mi'yu
张柏芝,zhang'bai'zhi
张恩铭,zhang'en'ming
张富源,zhang'fu'yuan
张圣,zhang'sheng
张召忠,zhang'zhao'zhong
张左怿威,zhang'zuo'yi'wei
赵淑芳,zhao'shu'fang
赵越,zhao'yue
郑爱强,zheng'ai'qiang
郑才千,zheng'cai'qian
智破密码锁,zhi'po'mi'ma'suo
指纹神探,zhi'wen'shen'tan
中国雨人,zhong'guo'yu'ren
周杰伦,zhou'jie'lun
周玮,zhou'wei
周紫卉,zhou'zi'hui
子承父业,zi'cheng'fu'ye
最强快递,zui'qiang'kuai'di
