阿拉伯语基础语法,a'la'bo'yu'ji'chu'yu'fa
法律基础,fa'lv'ji'chu
法律英语,fa'lv'ying'yu
法律英语听说,fa'lv'ying'yu'ting'shuo
法商,fa'shang
法商院,fa'shang'yuan
饭店管理,fan'dian'guan'li
泛读,fan'du
樊澎涛,fan'peng'tao
翻译,fan'yi
樊子牛,fan'zi'niu
放映厅,fang'ying'ting
费小平,fei'xiao'ping
冯波,feng'bo
冯光荣,feng'guang'rong
冯桂华,feng'gui'hua
奉华英,feng'hua'ying
冯俊,feng'jun
冯千,feng'qian
丰卫平,feng'wei'ping
冯小俐,feng'xiao'li
冯旭,feng'xu
冯亚琳,feng'ya'lin
福荣面庄,fu'rong'mian'zhuang
福田繁,fu'tian'fan
傅筱敏,fu'xiao'min
傅晓微,fu'xiao'wei
咖喱派,ga'li'pai
概率论与数理统计,gai'lv'lun'yu'shu'li'tong'ji
高福霞,gao'fu'xia
高级俄语,gao'ji'e'yu
高级法语综合课,gao'ji'fa'yu'zong'he'ke
高级视听,gao'ji'shi'ting
高级听力,gao'ji'ting'li
高级英语,gao'ji'ying'yu
高家庄,gao'jia'zhuang
高伟,gao'wei
葛长义,ge'chang'yi
公共关系,gong'gong'guan'xi
公共关系学,gong'gong'guan'xi'xue
古代汉语,gu'dai'han'yu
古代诗文选,gu'dai'shi'wen'xuan
古晶,gu'jing
官爵明,guan'jue'ming
管理心理学,guan'li'xin'li'xue
管理学理论与实务,guan'li'xue'li'lun'yu'shi'wu
管理学院,guan'li'xue'yuan
管理学原理,guan'li'xue'yuan'li
官晴华,guan'qing'hua
管尹莉,guan'yin'li
观云梯,guan'yun'ti
广播电视新闻学,guang'bo'dian'shi'xin'wen'xue
广播与电视,guang'bo'yu'dian'shi
广告创意与表现,guang'gao'chuang'yi'yu'biao'xian
广告法规与职业道德,guang'gao'fa'gui'yu'zhi'ye'dao'de
广告经营与管理,guang'gao'jing'ying'yu'guan'li
广告摄影与摄像,guang'gao'she'ying'yu'she'xiang
广告学,guang'gao'xue
广告英语,guang'gao'ying'yu
桂园,gui'yuan
郭赫男,guo'he'nan
国际报告厅,guo'ji'bao'gao'ting
国际传播学,guo'ji'chuan'bo'xue
国际法商学院,guo'ji'fa'shang'xue'yuan
国际关系架构,guo'ji'guan'xi'jia'gou
国际关系简史,guo'ji'guan'xi'jian'shi
国际活动周,guo'ji'huo'dong'zhou
国际金融,guo'ji'jin'rong
国际金融法,guo'ji'jin'rong'fa
国际经济法,guo'ji'jing'ji'fa
国际贸易法,guo'ji'mao'yi'fa
国际贸易与单证实务,guo'ji'mao'yi'yu'dan'zheng'shi'wu
国际商法,guo'ji'shang'fa
国际商学院,guo'ji'shang'xue'yuan
国际税法,guo'ji'shui'fa
国际投资法,guo'ji'tou'zi'fa
国际文化交流学院,guo'ji'wen'hua'jiao'liu'xue'yuan
国际文化交流中心,guo'ji'wen'hua'jiao'liu'zhong'xin
国交院,guo'jiao'yuan
国交中心,guo'jiao'zhong'xin
郭洁,guo'jie
郭琳,guo'lin
郭祺,guo'qi
国学原著导读,guo'xue'yuan'zhu'dao'du
郭颖,guo'ying
国玉奇,guo'yu'qi
哈尔滨水饺,ha'er'bin'shui'jiao
韩朝语会话,han'chao'yu'hui'hua
韩朝语精读,han'chao'yu'jing'du
韩朝语视听说,han'chao'yu'shi'ting'shuo
韩朝语听力,han'chao'yu'ting'li
汉译英,han'yi'ying
韩语会话,han'yu'hui'hua
韩语精读,han'yu'jing'du
汉语史,han'yu'shi
韩语视听说,han'yu'shi'ting'shuo
韩语听力,han'yu'ting'li
郝原,hao'yuan
何冰艳,he'bing'yan
和记面庄,he'ji'mian'zhuang
何劲虹,he'jin'hong
荷马史诗导读,he'ma'shi'shi'dao'du
何午,he'wu
何晓玲,he'xiao'ling
何雁,he'yan
赫英川,he'ying'chuan
何征,he'zheng
黑濑伸子,hei'lai'shen'zi
衡爱民,heng'ai'min
宏文楼,hong'wen'lou
红岩魂广场,hong'yan'hun'guang'chang
胡浩宇,hu'hao'yu
胡嘉荔,hu'jia'li
胡世雄,hu'shi'xiong
胡先军,hu'xian'jun
胡晓洋,hu'xiao'yang
胡妍,hu'yan
华莉,hua'li
华生园,hua'sheng'yuan
黄芳,huang'fang
黄航,huang'hang
黄慧,huang'hui
黄蜜,huang'mi
黄皮楼,huang'pi'lou
黄绍胜,huang'shao'sheng
黄馨,huang'xin
黄秀蓉,huang'xiu'rong
黄雪蓉,huang'xue'rong
黄友明,huang'you'ming
荤豆花,hun'dou'hua
基础俄语,ji'chu'e'yu
基础法语综合课,ji'chu'fa'yu'zong'he'ke
基础西语,ji'chu'xi'yu
基础写作,ji'chu'xie'zuo
鸡蛋妹,ji'dan'mei
计算机基础,ji'suan'ji'ji'chu
计算机网络,ji'suan'ji'wang'luo
计算机组成与维护,ji'suan'ji'zu'cheng'yu'wei'hu
继续教育学院,ji'xu'jiao'yu'xue'yuan
技院,ji'yuan
继院,ji'yuan
鸡杂,ji'za
家常菜,jia'chang'cai
家辉,jia'hui
贾晶,jia'jing
煎饼果子,jian'bing'guo'zi
健康心理学,jian'kang'xin'li'xue
江滨,jiang'bin
江宏伟,jiang'hong'wei
姜孟,jiang'meng
蒋倩,jiang'qian
姜淑芹,jiang'shu'qin
蒋晓丽,jiang'xiao'li
姜小卫,jiang'xiao'wei
教学办公楼,jiao'xue'ban'gong'lou
教学楼,jiao'xue'lou
教育学,jiao'yu'xue
解放碑,jie'fang'bei
金秉活,jin'bing'huo
锦绣广场,jin'xiu'guang'chang
锦绣路,jin'xiu'lu
锦绣桥,jin'xiu'qiao
晋学新,jin'xue'xin
精读,jing'du
镜湖,jing'hu
镜湖广场,jing'hu'guang'chang
经济法,jing'ji'fa
经济法与旅游法规,jing'ji'fa'yu'lv'you'fa'gui
经贸俄语,jing'mao'e'yu
经贸法语,jing'mao'fa'yu
经贸口译,jing'mao'kou'yi
经贸日语,jing'mao'ri'yu
景云英,jing'yun'ying
就业指导,jiu'ye'zhi'dao
康何艳,kang'he'yan
康杰,kang'jie
孔晓,kong'xiao
口译,kou'yi
口语,kou'yu
口语实践,kou'yu'shi'jian
跨文化交际,kua'wen'hua'jiao'ji
会计学基础,kuai'ji'xue'ji'chu
拉美西语国家概况,la'mei'xi'yu'guo'jia'gai'kuang
蓝若宇,lan'ruo'yu
兰苑,lan'yuan
老坝子,lao'ba'zi
雷莹,lei'ying
李大雪,li'da'xue
李芳琴,li'fang'qin
李海峰,li'hai'feng
李海涛,li'hai'tao
李海英,li'hai'ying
李弘,li'hong
李红,li'hong
李佳,li'jia
李建平,li'jian'ping
李江,li'jiang
李克成,li'ke'cheng
李克勇,li'ke'yong
李玲,li'ling
李龙泉,li'long'quan
李露,li'lu
李明蔚,li'ming'wei
黎楠,li'nan
李彭湃,li'peng'pai
李平,li'ping
李群,li'qun
李飒,li'sa
李淑蓉,li'shu'rong
李小川,li'xiao'chuan
李晓苹,li'xiao'ping
李小青,li'xiao'qing
李小桃,li'xiao'tao
李晓彤,li'xiao'tong
李旭,li'xu
李学玲,li'xue'ling
李训,li'xun
李雅娟,li'ya'juan
李燕英,li'yan'ying
力勇,li'yong
李玉茹,li'yu'ru
李振中,li'zhen'zhong
两江风情,liang'jiang'feng'qing
梁立,liang'li
廖峻,liao'jun
廖巧云,liao'qiao'yun
烈士墓,lie'shi'mu
林克勤,lin'ke'qin
林玲,lin'ling
林萍,lin'ping
林香兰,lin'xiang'lan
林移刚,lin'yi'gang
林玉娟,lin'yu'juan
领导科学与艺术,ling'dao'ke'xue'yu'yi'shu
刘爱英,liu'ai'ying
刘波,liu'bo
刘冬邻,liu'dong'lin
刘芳,liu'fang
刘国强,liu'guo'qiang
刘海婷,liu'hai'ting
刘胡蝶,liu'hu'die
刘嘉,liu'jia
刘建峰,liu'jian'feng
刘敬学,liu'jing'xue
刘军,liu'jun
刘霞敏,liu'xia'min
刘雪梅,liu'xue'mei
刘一帆,liu'yi'fan
刘宇,liu'yu
刘瑜,liu'yu
刘忠政,liu'zhong'zheng
龙柯宇,long'ke'yu
娄立原,lou'li'yuan
罗国忠,luo'guo'zhong
罗铭学,luo'ming'xue
骆裴娅,luo'pei'ya
罗先明,luo'xian'ming
罗昕,luo'xin
罗燕萍,luo'yan'ping
罗应珍,luo'ying'zhen
吕佳,lv'jia
旅行社经营管理,lv'xing'she'jing'ying'guan'li
吕学德,lv'xue'de
吕毅,lv'yi
旅游地理,lv'you'di'li
旅游法规,lv'you'fa'gui
旅游管理信息系统,lv'you'guan'li'xin'xi'xi'tong
旅游经济学,lv'you'jing'ji'xue
旅游企业人力资源管理,lv'you'qi'ye'ren'li'zi'yuan'guan'li
旅游文化,lv'you'wen'hua
旅游心理学,lv'you'xin'li'xue
旅游学概论,lv'you'xue'gai'lun
旅游英语,lv'you'ying'yu
马克思主义基本原理概论,ma'ke'si'zhu'yi'ji'ben'yuan'li'gai'lun
马克思主义哲学基本原理,ma'ke'si'zhu'yi'zhe'xue'ji'ben'yuan'li
马克思主义政治经济学原理,ma'ke'si'zhu'yi'zheng'zhi'jing'ji'xue'yuan'li
马丽娅,ma'li'ya
马列课,ma'lie'ke
马列新闻理论,ma'lie'xin'wen'li'lun
马明,ma'ming
马平,ma'ping
马新发,ma'xin'fa
马哲,ma'zhe
马政经,ma'zheng'jing
毛邓三,mao'deng'san
毛概,mao'gai
毛论,mao'lun
毛青兰,mao'qing'lan
毛荣坤,mao'rong'kun
毛思,mao'si
毛血旺,mao'xue'wang
毛泽东思想概论,mao'ze'dong'si'xiang'gai'lun
美国社会与文化,mei'guo'she'hui'yu'wen'hua
美国文学,mei'guo'wen'xue
美国文学史和作品欣赏,mei'guo'wen'xue'shi'he'zuo'pin'xin'shang
美国文学选读,mei'guo'wen'xue'xuan'du
媒介素养,mei'jie'su'yang
美术知识及鉴赏,mei'shu'zhi'shi'ji'jian'shang
民法学,min'fa'xue
闵敏,min'min
民事诉讼法,min'shi'su'song'fa
民俗旅游,min'su'lv'you
明日之星,ming'ri'zhi'xing
莫光华,mo'guang'hua
牟方华,mou'fang'hua
穆利琴,mu'li'qin
木桶饭,mu'tong'fan
穆智勤,mu'zhi'qin
那瑛,na'ying
聂治强,nie'zhi'qiang
牛春玲,niu'chun'ling
诺贝尔文学获奖作家作品研究,nuo'bei'er'wen'xue'huo'jiang'zuo'jia'zuo'pin'yan'jiu
潘雷,pan'lei
裴琳,pei'lin
培英楼,pei'ying'lou
彭红,peng'hong
彭江,peng'jiang
彭林权,peng'lin'quan
彭泽辉,peng'ze'hui
平面广告设计,ping'mian'guang'gao'she'ji
普通逻辑学,pu'tong'luo'ji'xue
蒲显伟,pu'xian'wei
企业文化,qi'ye'wen'hua
钱庆义,qian'qing'yi
秦红,qin'hong
秦建华,qin'jian'hua
秦莉,qin'li
秦昕婕,qin'xin'jie
秦勇,qin'yong
沁园,qin'yuan
群英,qun'ying
任虎军,ren'hu'jun
人力资源管理与开发,ren'li'zi'yuan'guan'li'yu'kai'fa
人事测评,ren'shi'ce'ping
日本豆腐,ri'ben'dou'fu
日本概况,ri'ben'gai'kuang
日本古文,ri'ben'gu'wen
日汉翻译,ri'han'fan'yi
日语精读,ri'yu'jing'du
日语外台,ri'yu'wai'tai
日语系,ri'yu'xi
汝红兵,ru'hong'bing
阮丽萍,ruan'li'ping
三花路,san'hua'lu
三食堂,san'shi'tang
桑子长,sang'zi'chang
山上食堂,shan'shang'shi'tang
商法学,shang'fa'xue
商事仲裁与诉讼,shang'shi'zhong'cai'yu'su'song
商务写作,shang'wu'xie'zuo
商务英语翻译,shang'wu'ying'yu'fan'yi
商学院,shang'xue'yuan
商业街,shang'ye'jie
商业坑,shang'ye'keng
邵华,shao'hua
佘德银,she'de'yin
设计思维训练,she'ji'si'wei'xun'lian
申红义,shen'hong'yi
审美文化,shen'mei'wen'hua
沈莎,shen'sha
沈彤,shen'tong
沈夕力,shen'xi'li
申艳婷,shen'yan'ting
申义兵,shen'yi'bing
市场调查与分析,shi'chang'diao'cha'yu'fen'xi
市场营销学,shi'chang'ying'xiao'xue
世纪外国文学与比较文学,shi'ji'wai'guo'wen'xue'yu'bi'jiao'wen'xue
实践修辞,shi'jian'xiu'ci
世界遗产概览,shi'jie'yi'chan'gai'lan
诗经导读,shi'jing'dao'du
师生餐饮部,shi'sheng'can'yin'bu
视听说,shi'ting'shuo
实用美术基础,shi'yong'mei'shu'ji'chu
施媛,shi'yuan
水二,shui'er
水二教室,shui'er'jiao'shi
水三,shui'san
水三教室,shui'san'jiao'shi
水榭教室二,shui'xie'jiao'shi'er
水榭教室三,shui'xie'jiao'shi'san
水榭教室一,shui'xie'jiao'shi'yi
水一,shui'yi
水一教室,shui'yi'jiao'shi
四菜一汤,si'cai'yi'tang
四川外语学院,si'chuan'wai'yu'xue'yuan
思想道德修养,si'xiang'dao'de'xiu'yang
思想道德修养与法律基础,si'xiang'dao'de'xiu'yang'yu'fa'lv'ji'chu
宋瑾,song'jin
宋名家词导读,song'ming'jia'ci'dao'du
松苑,song'yuan
粟时伟,su'shi'wei
苏雪,su'xue
粟泽毅,su'ze'yi
孙定辉,sun'ding'hui
太阳广场,tai'yang'guang'chang
谭代龙,tan'dai'long
谭宗敏,tan'zong'min
唐海涛,tang'hai'tao
唐健,tang'jian
唐莉,tang'li
唐先蓉,tang'xian'rong
唐莹,tang'ying
陶丽霞,tao'li'xia
陶曦,tao'xi
体育馆,ti'yu'guan
听力,ting'li
同传入门,tong'chuan'ru'men
统计学,tong'ji'xue
筒子楼,tong'zi'lou
图形图象处理,tu'xing'tu'xiang'chu'li
外国电视节目赏析,wai'guo'dian'shi'jie'mu'shang'xi
外国文学,wai'guo'wen'xue
外国文学与比较文学,wai'guo'wen'xue'yu'bi'jiao'wen'xue
外国新闻史,wai'guo'xin'wen'shi
万萍,wan'ping
王川,wang'chuan
王飞,wang'fei
汪海源,wang'hai'yuan
王慧颖,wang'hui'ying
王丽萍,wang'li'ping
网络传播概论,wang'luo'chuan'bo'gai'lun
网络新闻,wang'luo'xin'wen
王妈妈,wang'ma'ma
王甍,wang'meng
王明树,wang'ming'shu
王仁强,wang'ren'qiang
王荣梅,wang'rong'mei
汪世珍,wang'shi'zhen
王廷凯,wang'ting'kai
王伟,wang'wei
王薇,wang'wei
王雯秋,wang'wen'qiu
汪岩,wang'yan
王毅,wang'yi
王寅,wang'yin
网站设计与应用,wang'zhan'she'ji'yu'ying'yong
王正宇,wang'zheng'yu
王祖华,wang'zu'hua
微观经济学,wei'guan'jing'ji'xue
微积分,wei'ji'fen
魏涛,wei'tao
稳当,wen'dang
文化广场,wen'hua'guang'chang
文化经纪学,wen'hua'jing'ji'xue
文华良,wen'hua'liang
文玲霞,wen'ling'xia
文体学,wen'ti'xue
文献与检索,wen'xian'yu'jian'suo
温小珊,wen'xiao'shan
文星路,wen'xing'lu
文学概论,wen'xue'gai'lun
文英楼,wen'ying'lou
文瑜,wen'yu
卧牛石,wo'niu'shi
吴必鹏,wu'bi'peng
吴昊,wu'hao
伍红军,wu'hong'jun
吴佳美,wu'jia'mei
吴娟,wu'juan
物流英语,wu'liu'ying'yu
无名店,wu'ming'dian
吴廷正,wu'ting'zheng
吴维俊,wu'wei'jun
吴维均,wu'wei'jun
西班牙国家概况,xi'ban'ya'guo'jia'gai'kuang
西班牙语口语,xi'ban'ya'yu'kou'yu
西班牙语视听说,xi'ban'ya'yu'shi'ting'shuo
西班牙语听力,xi'ban'ya'yu'ting'li
西班牙语写作,xi'ban'ya'yu'xie'zuo
西班牙语阅读,xi'ban'ya'yu'yue'du
西方现代派文学,xi'fang'xian'dai'pai'wen'xue
西方语言哲学,xi'fang'yu'yan'zhe'xue
西南政法大学,xi'nan'zheng'fa'da'xue
西区篮球场,xi'qu'lan'qiu'chang
西区食堂,xi'qu'shi'tang
西区运动场,xi'qu'yun'dong'chang
西语,xi'yu
西政,xi'zheng
夏柯,xia'ke
夏夜,xia'ye
现代汉语,xian'dai'han'yu
鲜京宸,xian'jing'chen
先世和,xian'shi'he
向容,xiang'rong
小吃部,xiao'chi'bu
小池阳,xiao'chi'yang
肖红,xiao'hong
小榕树,xiao'rong'shu
小树林,xiao'shu'lin
肖肃,xiao'su
肖谊,xiao'yi
校园十大歌手,xiao'yuan'shi'da'ge'shou
谢琳,xie'lin
谢世波,xie'shi'bo
谢小丰,xie'xiao'feng
谢周,xie'zhou
写作,xie'zuo
写作学,xie'zuo'xue
新闻编辑学,xin'wen'bian'ji'xue
新闻标题制作艺术,xin'wen'biao'ti'zhi'zuo'yi'shu
新闻采访学,xin'wen'cai'fang'xue
新闻采写,xin'wen'cai'xie
新闻策划学,xin'wen'ce'hua'xue
新闻传播实务,xin'wen'chuan'bo'shi'wu
新闻传播学院,xin'wen'chuan'bo'xue'yuan
辛文娟,xin'wen'juan
新闻评论学,xin'wen'ping'lun'xue
新闻摄影与摄像,xin'wen'she'ying'yu'she'xiang
新闻实务,xin'wen'shi'wu
新闻学概论,xin'wen'xue'gai'lun
新兴书店,xin'xing'shu'dian
新传,xin'zhuan
新传院,xin'zhuan'yuan
刑法学,xing'fa'xue
形势与政策,xing'shi'yu'zheng'ce
熊桂武,xiong'gui'wu
熊国成,xiong'guo'cheng
熊沐清,xiong'mu'qing
熊艳,xiong'yan
熊勇,xiong'yong
徐劲松,xu'jin'song
徐惊奇,xu'jing'qi
徐莉,xu'li
徐曼琳,xu'man'lin
徐婷婷,xu'ting'ting
薛红,xue'hong
学生服务中心,xue'sheng'fu'wu'zhong'xin
学生活动中心,xue'sheng'huo'dong'zhong'xin
学术交流中心,xue'shu'jiao'liu'zhong'xin
严功军,yan'gong'jun
晏红,yan'hong
严忠志,yan'zhong'zhi
阳光武,yang'guang'wu
杨国蓉,yang'guo'rong
杨红,yang'hong
杨佳雯,yang'jia'wen
杨娜,yang'na
杨清波,yang'qing'bo
杨少琳,yang'shao'lin
杨爽,yang'shuang
杨伟,yang'wei
杨文华,yang'wen'hua
杨晓莲,yang'xiao'lian
杨焱,yang'yan
杨艳如,yang'yan'ru
杨政,yang'zheng
杨志亭,yang'zhi'ting
姚凤英,yao'feng'ying
姚继中,yao'ji'zhong
姚良,yao'liang
姚霞,yao'xia
叶向平,ye'xiang'ping
叶晓英,ye'xiao'ying
野猪林,ye'zhu'lin
易曾权,yi'ceng'quan
意大利语视听说,yi'da'li'yu'shi'ting'shuo
一棵树,yi'ke'shu
易强,yi'qiang
一食堂,yi'shi'tang
一熙,yi'xi
尹陈毅,yin'chen'yi
殷和素,yin'he'su
尹丽,yin'li
音乐知识及欣赏,yin'yue'zhi'shi'ji'xin'shang
迎宾路,ying'bin'lu
英二,ying'er
英二系,ying'er'xi
应技院,ying'ji'yuan
英美文学,ying'mei'wen'xue
英三,ying'san
英三系,ying'san'xi
应外院,ying'wai'yuan
营销学原理,ying'xiao'xue'yuan'li
迎新晚会,ying'xin'wan'hui
英一,ying'yi
英译汉,ying'yi'han
英一系,ying'yi'xi
应用技术学院,ying'yong'ji'shu'xue'yuan
应用外语学院,ying'yong'wai'yu'xue'yuan
英语词汇学,ying'yu'ci'hui'xue
英语国家历史文化,ying'yu'guo'jia'li'shi'wen'hua
英语国家社会与文化概况,ying'yu'guo'jia'she'hui'yu'wen'hua'gai'kuang
英语教学法,ying'yu'jiao'xue'fa
英语口译,ying'yu'kou'yi
英语口语,ying'yu'kou'yu
英语口语叙,ying'yu'kou'yu'xu
英语口语演,ying'yu'kou'yu'yan
英语视听,ying'yu'shi'ting
英语听力,ying'yu'ting'li
英语系,ying'yu'xi
英语写作,ying'yu'xie'zuo
英语新闻文体写作,ying'yu'xin'wen'wen'ti'xie'zuo
英语语法,ying'yu'yu'fa
英语语言文化系,ying'yu'yu'yan'wen'hua'xi
英语阅读,ying'yu'yue'du
应院,ying'yuan
语法,yu'fa
余静,yu'jing
语言学导论,yu'yan'xue'dao'lun
语言学概论,yu'yan'xue'gai'lun
语言学名著导读,yu'yan'xue'ming'zhu'dao'du
语音,yu'yin
育英楼,yu'ying'lou
袁眉,yuan'mei
元善喜,yuan'shan'xi
袁振华,yuan'zhen'hua
阅读与讨论,yue'du'yu'tao'lun
月亮广场,yue'liang'guang'chang
杂粮煎饼,za'liang'jian'bing
渣滓洞,zha'zi'dong
张春林,zhang'chun'lin
张从成,zhang'cong'cheng
张丹,zhang'dan
张东升,zhang'dong'sheng
张富华,zhang'fu'hua
张季菁,zhang'ji'jing
张建敏,zhang'jian'min
张开泉,zhang'kai'quan
张磊,zhang'lei
张蕾,zhang'lei
张立春,zhang'li'chun
张莉琴,zhang'li'qin
张亮,zhang'liang
张露丹,zhang'lu'dan
张鹏,zhang'peng
张庆,zhang'qing
张松林,zhang'song'lin
张涛,zhang'tao
张晓锋,zhang'xiao'feng
张雪松,zhang'xue'song
张颖,zhang'ying
张勇,zhang'yong
张幼斌,zhang'you'bin
张泽民,zhang'ze'min
张值,zhang'zhi
赵淳,zhao'chun
赵戈非,zhao'ge'fei
赵奂,zhao'huan
赵惠君,zhao'hui'jun
赵平静,zhao'ping'jing
赵蓉,zhao'rong
赵婉,zhao'wan
赵阳,zhao'yang
赵永峰,zhao'yong'feng
珍真相馆,zhen'zhen'xiang'guan
郑晓薇,zheng'xiao'wei
郑新刚,zheng'xin'gang
郑学美,zheng'xue'mei
政治经济学,zheng'zhi'jing'ji'xue
知识产权法,zhi'shi'chan'quan'fa
支羽,zhi'yu
中国当代文学,zhong'guo'dang'dai'wen'xue
中国古代文学,zhong'guo'gu'dai'wen'xue
中国古典文学,zhong'guo'gu'dian'wen'xue
中国近现代史纲要,zhong'guo'jin'xian'dai'shi'gang'yao
中国旅游地理,zhong'guo'lv'you'di'li
中国民俗旅游,zhong'guo'min'su'lv'you
中国人文地理,zhong'guo'ren'wen'di'li
中国诗歌艺术,zhong'guo'shi'ge'yi'shu
中国文化概论,zhong'guo'wen'hua'gai'lun
中国现代文学,zhong'guo'xian'dai'wen'xue
中国现当代文学,zhong'guo'xian'dang'dai'wen'xue
中级口语,zhong'ji'kou'yu
中级听力,zhong'ji'ting'li
钟蕾,zhong'lei
钟谟智,zhong'mo'zhi
中外民俗,zhong'wai'min'su
中外新闻史,zhong'wai'xin'wen'shi
钟毅,zhong'yi
周记,zhou'ji
周记平价超市,zhou'ji'ping'jia'chao'shi
周力,zhou'li
周莅淼,zhou'li'miao
周婷,zhou'ting
周婷婷,zhou'ting'ting
周文德,zhou'wen'de
周晓飞,zhou'xiao'fei
祝朝伟,zhu'chao'wei
朱海燕,zhu'hai'yan
朱菊芹,zhu'ju'qin
朱玲,zhu'ling
朱琦,zhu'qi
朱太明,zhu'tai'ming
朱晓云,zhu'xiao'yun
朱英姿,zhu'ying'zi
竹园,zhu'yuan
朱周斌,zhu'zhou'bin
专业物流英语,zhuan'ye'wu'liu'ying'yu
