八等分法向圆基础板,ba'deng'fen'fa'xiang'yuan'ji'chu'ban
浮动夹紧卡爪,fu'dong'jia'jin'ka'zhao
钢丝圈,gang'si'quan
弓形夹,gong'xing'jia
固定钻套,gu'ding'zuan'tao
关节叉环,guan'jie'cha'huan
关节叉环座,guan'jie'cha'huan'zuo
关节耳环,guan'jie'er'huan
关节耳环座,guan'jie'er'huan'zuo
关节螺栓,guan'jie'luo'shuan
光面压块,guang'mian'ya'kuai
滚花螺母,gun'hua'luo'mu
滚花内六角螺钉,gun'hua'nei'liu'jiao'luo'ding
过渡长方形螺母,guo'du'chang'fang'xing'luo'mu
过渡二竖槽正方形垫片,guo'du'er'shu'cao'zheng'fang'xing'dian'pian
过渡二竖槽正方形支承,guo'du'er'shu'cao'zheng'fang'xing'zhi'cheng
过渡连接杆,guo'du'lian'jie'gan
过渡连接杆过渡连接杆,guo'du'lian'jie'gan'guo'du'lian'jie'gan
过渡螺栓,guo'du'luo'shuan
过渡平键,guo'du'ping'jian
过渡一竖槽正方形支承,guo'du'yi'shu'cao'zheng'fang'xing'zhi'cheng
横槽正方形支承,heng'cao'zheng'fang'xing'zhi'cheng
厚键,hou'jian
厚螺母,hou'luo'mu
滑动支承,hua'dong'zhi'cheng
回转板,hui'zhuan'ban
回转接头,hui'zhuan'jie'tou
回转压板,hui'zhuan'ya'ban
回转支承,hui'zhuan'zhi'cheng
回转支座,hui'zhuan'zhi'zuo
基础角铁,ji'chu'jiao'tie
加长连接板,jia'chang'lian'jie'ban
加大平垫圈,jia'da'ping'dian'quan
加胁角铁,jia'xie'jiao'tie
键槽定位角铁,jian'cao'ding'wei'jiao'tie
键槽折合板,jian'cao'zhe'he'ban
健定位轴,jian'ding'wei'zhou
键定位轴,jian'ding'wei'zhou
尖对位轴,jian'dui'wei'zhou
简式长方形垫板,jian'shi'chang'fang'xing'dian'ban
简式长方形基础板,jian'shi'chang'fang'xing'ji'chu'ban
简式长方形支承,jian'shi'chang'fang'xing'zhi'cheng
简式正方形垫板,jian'shi'zheng'fang'xing'dian'ban
简式正方形基础板,jian'shi'zheng'fang'xing'ji'chu'ban
简式正方形支承,jian'shi'zheng'fang'xing'zhi'cheng
键用螺钉,jian'yong'luo'ding
角度垫板,jiao'du'dian'ban
角度支承,jiao'du'zhi'cheng
铰链压板,jiao'lian'ya'ban
紧定螺钉,jin'ding'luo'ding
精密定位长方形基础板,jing'mi'ding'wei'chang'fang'xing'ji'chu'ban
精密定位正方形基础板,jing'mi'ding'wei'zheng'fang'xing'ji'chu'ban
精密基础方箱,jing'mi'ji'chu'fang'xiang
精密基础角铁,jing'mi'ji'chu'jiao'tie
精密立式双面槽基础板,jing'mi'li'shi'shuang'mian'cao'ji'chu'ban
精密台钳,jing'mi'tai'qian
精密自适应支承钉,jing'mi'zi'shi'ying'zhi'cheng'ding
静平衡架,jing'ping'heng'jia
开槽长圆柱端紧定螺钉,kai'cao'chang'yuan'zhu'duan'jin'ding'luo'ding
开槽圆螺母,kai'cao'yuan'luo'mu
开槽圆螺母扳手,kai'cao'yuan'luo'mu'ban'shou
开槽锥端紧定螺钉,kai'cao'zhui'duan'jin'ding'luo'ding
开口垫圈,kai'kou'dian'quan
空心长方形支承,kong'xin'chang'fang'xing'zhi'cheng
快换钻套,kuai'huan'zuan'tao
快速压紧压板,kuai'su'ya'jin'ya'ban
快卸过渡螺母,kuai'xie'guo'du'luo'mu
宽板,kuan'ban
宽头叉形压板,kuan'tou'cha'xing'ya'ban
框架条形基础板,kuang'jia'tiao'xing'ji'chu'ban
立式可调压紧器,li'shi'ke'tiao'ya'jin'qi
连接板,lian'jie'ban
连接杆,lian'jie'gan
两面槽侧中孔支承,liang'mian'cao'ce'zhong'kong'zhi'cheng
两面槽钻模板,liang'mian'cao'zuan'mu'ban
菱形定位销,ling'xing'ding'wei'xiao
六等分切向圆基础板,liu'deng'fen'qie'xiang'yuan'ji'chu'ban
六角过渡螺母,liu'jiao'guo'du'luo'mu
六角螺母,liu'jiao'luo'mu
六角头螺栓,liu'jiao'tou'luo'shuan
六面支座,liu'mian'zhi'zuo
螺孔菱形定位销,luo'kong'ling'xing'ding'wei'xiao
螺孔螺栓,luo'kong'luo'shuan
螺孔小圆柱定位销,luo'kong'xiao'yuan'zhu'ding'wei'xiao
螺孔圆柱定位销,luo'kong'yuan'zhu'ding'wei'xiao
盲螺孔小菱形定位销,mang'luo'kong'xiao'ling'xing'ding'wei'xiao
盲螺孔小圆柱定位销,mang'luo'kong'xiao'yuan'zhu'ding'wei'xiao
密孔导向支座,mi'kong'dao'xiang'zhi'zuo
莫氏锥尾基体,mo'shi'zhui'wei'ji'ti
莫氏锥尾基座,mo'shi'zhui'wei'ji'zuo
内六角螺母,nei'liu'jiao'luo'mu
偏槽滑动支承,pian'cao'hua'dong'zhi'cheng
偏导向支承,pian'dao'xiang'zhi'cheng
偏头长形钻模板,pian'tou'chang'xing'zuan'mu'ban
偏头条形钻模板,pian'tou'tiao'xing'zuan'mu'ban
偏心板,pian'xin'ban
偏心侧向顶紧器,pian'xin'ce'xiang'ding'jin'qi
偏心长方形垫板,pian'xin'chang'fang'xing'dian'ban
偏心二竖槽长方形垫板,pian'xin'er'shu'cao'chang'fang'xing'dian'ban
偏心二竖槽长方形垫片,pian'xin'er'shu'cao'chang'fang'xing'dian'pian
偏心二竖槽长方形支承,pian'xin'er'shu'cao'chang'fang'xing'zhi'cheng
偏心横槽正方形支承,pian'xin'heng'cao'zheng'fang'xing'zhi'cheng
偏心简式长方形支承,pian'xin'jian'shi'chang'fang'xing'zhi'cheng
偏心轮,pian'xin'lun
偏心竖槽正方形垫板,pian'xin'shu'cao'zheng'fang'xing'dian'ban
偏心竖槽正方形垫片,pian'xin'shu'cao'zheng'fang'xing'dian'pian
偏心竖槽正方形支承,pian'xin'shu'cao'zheng'fang'xing'zhi'cheng
偏心正方形垫板,pian'xin'zheng'fang'xing'dian'ban
平分度盘,ping'fen'du'pan
平衡块,ping'heng'kuai
平键,ping'jian
平面垫圈,ping'mian'dian'quan
平面支承钉,ping'mian'zhi'cheng'ding
平面支承帽,ping'mian'zhi'cheng'mao
平偏心键,ping'pian'xin'jian
平弯头钻模板,ping'wan'tou'zuan'mu'ban
平行夹紧器,ping'xing'jia'jin'qi
平压板,ping'ya'ban
钳式侧向夹紧器,qian'shi'ce'xiang'jia'jin'qi
钳式单向定位座,qian'shi'dan'xiang'ding'wei'zuo
钳式双向定位座,qian'shi'shuang'xiang'ding'wei'zuo
强固长方形垫板,qiang'gu'chang'fang'xing'dian'ban
强固长方形支承,qiang'gu'chang'fang'xing'zhi'cheng
切边轴,qie'bian'zhou
球面垫圈,qiu'mian'dian'quan
球面支承钉,qiu'mian'zhi'cheng'ding
球面支承帽,qiu'mian'zhi'cheng'mao
球头,qiu'tou
球头螺钉,qiu'tou'luo'ding
球头手柄,qiu'tou'shou'bing
三面支座,san'mian'zhi'zuo
三竖槽侧孔支承,san'shu'cao'ce'kong'zhi'cheng
三竖槽长方形垫板,san'shu'cao'chang'fang'xing'dian'ban
三竖槽长方形支承,san'shu'cao'chang'fang'xing'zhi'cheng
三竖槽条形基础板,san'shu'cao'tiao'xing'ji'chu'ban
三竖槽正方形垫板,san'shu'cao'zheng'fang'xing'dian'ban
三竖槽正方形支承,san'shu'cao'zheng'fang'xing'zhi'cheng
三爪支承,san'zhao'zhi'cheng
上抬式端齿分度台,shang'tai'shi'duan'chi'fen'du'tai
上抬式端齿分度台二级,shang'tai'shi'duan'chi'fen'du'tai'er'ji
上抬式端齿分度台一级,shang'tai'shi'duan'chi'fen'du'tai'yi'ji
伸长板,shen'chang'ban
伸长压板,shen'chang'ya'ban
十字槽右立式钻模板,shi'zi'cao'you'li'shi'zuan'mu'ban
十字槽右弯头钻模板,shi'zi'cao'you'wan'tou'zuan'mu'ban
十字槽圆螺母,shi'zi'cao'yuan'luo'mu
十字槽钻模板,shi'zi'cao'zuan'mu'ban
十字槽左立式钻模板,shi'zi'cao'zuo'li'shi'zuan'mu'ban
十字槽左弯头钻模板,shi'zi'cao'zuo'wan'tou'zuan'mu'ban
双头螺栓,shuang'tou'luo'shuan
双头压板,shuang'tou'ya'ban
双向夹紧卡爪,shuang'xiang'jia'jin'ka'zhao
双向夹紧器,shuang'xiang'jia'jin'qi
四竖槽长方形垫片,si'shu'cao'chang'fang'xing'dian'pian
四竖槽正方形垫片,si'shu'cao'zheng'fang'xing'dian'pian
台阶板,tai'jie'ban
弹簧支座,tan'huang'zhi'zuo
弹性套,tan'xing'tao
套筒六角扳手,tao'tong'liu'jiao'ban'shou
调节支承,tiao'jie'zhi'cheng
通孔菱形定位销,tong'kong'ling'xing'ding'wei'xiao
通孔小圆柱定位销,tong'kong'xiao'yuan'zhu'ding'wei'xiao
通孔圆柱定位销,tong'kong'yuan'zhu'ding'wei'xiao
弯头六角扳手,wan'tou'liu'jiao'ban'shou
弯头压板,wan'tou'ya'ban
微调高度器,wei'tiao'gao'du'qi
微调高度支承,wei'tiao'gao'du'zhi'cheng
稀布过渡长方形基础板,xi'bu'guo'du'chang'fang'xing'ji'chu'ban
稀布圆基础板,xi'bu'yuan'ji'chu'ban
下横槽右立式钻模板,xia'heng'cao'you'li'shi'zuan'mu'ban
下横槽左立式钻模板,xia'heng'cao'zuo'li'shi'zuan'mu'ban
小带肩螺母,xiao'dai'jian'luo'mu
小垫圈,xiao'dian'quan
小过渡平键,xiao'guo'du'ping'jian
小菱形定位销,xiao'ling'xing'ding'wei'xiao
小圆柱定位销,xiao'yuan'zhu'ding'wei'xiao
斜向压紧器,xie'xiang'ya'jin'qi
星形螺母,xing'xing'luo'mu
压板支承,ya'ban'zhi'cheng
压板支座,ya'ban'zhi'zuo
压紧螺钉,ya'jin'luo'ding
压舌,ya'she
一阶定位压紧座,yi'jie'ding'wei'ya'jin'zuo
一竖槽侧孔支承,yi'shu'cao'ce'kong'zhi'cheng
一竖槽长方形垫板,yi'shu'cao'chang'fang'xing'dian'ban
一竖槽长方形支承,yi'shu'cao'chang'fang'xing'zhi'cheng
一竖槽端孔支承,yi'shu'cao'duan'kong'zhi'cheng
一竖槽滑动支承,yi'shu'cao'hua'dong'zhi'cheng
一竖槽正方形垫板,yi'shu'cao'zheng'fang'xing'dian'ban
一竖槽正方形支承,yi'shu'cao'zheng'fang'xing'zhi'cheng
鹰式可调压紧器,ying'shi'ke'tiao'ya'jin'qi
右角度角铁,you'jiao'du'jiao'tie
右角铁,you'jiao'tie
右角形角铁,you'jiao'xing'jiao'tie
右钳口,you'qian'kou
右弯头钻模板,you'wan'tou'zuan'mu'ban
右圆定位插销,you'yuan'ding'wei'cha'xiao
圆弧压块,yuan'hu'ya'kuai
圆形定位盘,yuan'xing'ding'wei'pan
圆形压板,yuan'xing'ya'ban
圆柱定位器,yuan'zhu'ding'wei'qi
圆柱定位销,yuan'zhu'ding'wei'xiao
圆柱头螺钉,yuan'zhu'tou'luo'ding
正方头槽用螺栓,zheng'fang'tou'cao'yong'luo'shuan
正方形槽用螺栓,zheng'fang'xing'cao'yong'luo'shuan
正方形导向支承,zheng'fang'xing'dao'xiang'zhi'cheng
正方形基础板,zheng'fang'xing'ji'chu'ban
正方形支座,zheng'fang'xing'zhi'zuo
正弦支座,zheng'xian'zhi'zuo
直柄顶尖,zhi'bing'ding'jian
直柄菌头顶尖,zhi'bing'jun'tou'ding'jian
直柄偏顶尖,zhi'bing'pian'ding'jian
支承环,zhi'cheng'huan
支承角铁,zhi'cheng'jiao'tie
直手柄,zhi'shou'bing
直条形钻模板,zhi'tiao'xing'zuan'mu'ban
支腿,zhi'tui
中孔定位板,zhong'kong'ding'wei'ban
中孔支承板,zhong'kong'zhi'cheng'ban
中口销,zhong'kou'xiao
转动支承,zhuan'dong'zhi'cheng
转角垫板,zhuan'jiao'dian'ban
转角支承,zhuan'jiao'zhi'cheng
锥柄扁顶尖,zhui'bing'bian'ding'jian
锥柄顶尖,zhui'bing'ding'jian
锥柄菌头顶尖,zhui'bing'jun'tou'ding'jian
锥面垫圈,zhui'mian'dian'quan
自适应压板,zi'shi'ying'ya'ban
自适应压紧座,zi'shi'ying'ya'jin'zuo
自适应支承钉,zi'shi'ying'zhi'cheng'ding
自适应支承帽,zi'shi'ying'zhi'cheng'mao
纵槽钻模板,zong'cao'zuan'mu'ban
组装软件,zu'zhuang'ruan'jian
组装手册,zu'zhuang'shou'ce
钻套用螺钉,zuan'tao'yong'luo'ding
左角度角铁,zuo'jiao'du'jiao'tie
左角铁,zuo'jiao'tie
左角形角铁,zuo'jiao'xing'jiao'tie
左钳口,zuo'qian'kou
左弯头钻模板,zuo'wan'tou'zuan'mu'ban
左圆定位插销,zuo'yuan'ding'wei'cha'xiao
