阿拉斯加号,a'la'si'jia'hao
一维,yi'wei
伊文斯,yi'wen'si
银河纪元,yin'he'ji'yuan
引力波,yin'li'bo
引力波飞船,yin'li'bo'fei'chuan
引力波宇宙广播系统,yin'li'bo'yu'zhou'guang'bo'xi'tong
引力摄动,yin'li'she'dong
邮差问题,you'chai'wen'ti
油膜尘埃,you'mo'chen'ai
油膜矿,you'mo'kuang
有限技术公有化,you'xian'ji'shu'gong'you'hua
鱼群设想,yu'qun'she'xiang
宇宙背景辐射,yu'zhou'bei'jing'fu'she
宇宙社会学,yu'zhou'she'hui'xue
远距离躲避计划,yuan'ju'li'duo'bi'ji'hua
陨石子弹,yun'shi'zi'dan
云天明,yun'tian'ming
战时经济大转型,zhan'shi'jing'ji'da'zhuan'xing
章北海,zhang'bei'hai
张廷,zhang'ting
张卫明,zhang'wei'ming
张翔,zhang'xiang
张援朝,zhang'yuan'chao
赵鑫,zhao'xin
针眼画师,zhen'yan'hua'shi
拯救派,zheng'jiu'pai
执剑人,zhi'jian'ren
智子,zhi'zi
智子盲区,zhi'zi'mang'qu
智子一号,zhi'zi'yi'hao
中华二号,zhong'hua'er'hao
终极规律号,zhong'ji'gui'lv'hao
中技术战略,zhong'ji'shu'zhan'lue
中微子发射系统,zhong'wei'zi'fa'she'xi'tong
主流防御计划,zhu'liu'fang'yu'ji'hua
庄颜,zhuang'yan
锥纹石,zhui'wen'shi
自然选择号,zi'ran'xuan'ze'hao
