按劲,an'jin
瓦楞掌,wa'leng'zhang
外缠,wai'chan
弯弓射虎,wan'gong'she'hu
窝里炮,wo'li'pao
无极势,wu'ji'shi
无极桩,wu'ji'zhuang
吴氏太极拳,wu'shi'tai'ji'quan
武氏太极拳,wu'shi'tai'ji'quan
下步跨虎,xia'bu'kua'hu
下缠,xia'chan
下势,xia'shi
向左外侧,xiang'zuo'wai'ce
小擒打,xiao'qin'da
斜单鞭,xie'dan'bian
斜飞式,xie'fei'shi
斜行,xie'xing
斜行拗步,xie'xing'niu'bu
心与意合,xin'yu'yi'he
虚领顶劲,xu'ling'ding'jin
虚灵顶劲,xu'ling'ding'jin
旋风脚,xuan'feng'jiao
掩手肱捶,yan'shou'gong'chui
掩手肱拳,yan'shou'gong'quan
杨式太极拳,yang'shi'tai'ji'quan
杨氏太极拳,yang'shi'tai'ji'quan
腰裆,yao'dang
野马分鬃,ye'ma'fen'zong
意含顶劲,yi'han'ding'jin
以气运身,yi'qi'yun'shen
一任自然,yi'ren'zi'ran
以心行气,yi'xin'xing'qi
阴阳混一,yin'yang'hun'yi
涌泉穴虚,yong'quan'xue'xu
用意不用力,yong'yi'bu'yong'li
右白鹤亮翅,you'bai'he'liang'chi
右擦脚,you'ca'jiao
右冲,you'chong
右打虎式,you'da'hu'shi
右蹬脚,you'deng'jiao
右裹鞭炮,you'guo'bian'pao
右黄龙三揽水,you'huang'long'san'lan'shui
右脚虚,you'jiao'xu
右揽雀尾,you'lan'que'wei
由前势,you'qian'shi
右手在前,you'shou'zai'qian
右下势独立,you'xia'shi'du'li
预备式,yu'bei'shi
玉女穿梭,yu'nv'chuan'suo
圆裆,yuan'dang
跃步护心捶,yue'bu'hu'xin'chui
跃步斜行,yue'bu'xie'xing
运化转关,yun'hua'zhuan'guan
运手,yun'shou
云手,yun'shou
再收,zai'shou
斩手,zhan'shou
沾粘连随,zhan'zhan'lian'sui
震脚上步,zhen'jiao'shang'bu
指裆锤,zhi'dang'chui
指裆捶,zhi'dang'chui
中盘,zhong'pan
中正安舒,zhong'zheng'an'shu
肘底捶,zhou'di'chui
肘底看捶,zhou'di'kan'chui
肘底看拳,zhou'di'kan'quan
肘劲,zhou'jin
转胫炮,zhuan'jing'pao
转身白蛇吐信,zhuan'shen'bai'she'tu'xin
转身搬拦捶,zhuan'shen'ban'lan'chui
转身蹬脚,zhuan'shen'deng'jiao
转身六合,zhuan'shen'lu'he
转身双摆莲,zhuan'shen'shuang'bai'lian
转身左蹬脚,zhuan'shen'zuo'deng'jiao
左白鹤亮翅,zuo'bai'he'liang'chi
左擦脚,zuo'ca'jiao
左冲,zuo'chong
左打虎式,zuo'da'hu'shi
左蹬脚,zuo'deng'jiao
左裹鞭炮,zuo'guo'bian'pao
左黄龙三揽水,zuo'huang'long'san'lan'shui
左脚变虚,zuo'jiao'bian'xu
左脚实,zuo'jiao'shi
左揽雀尾,zuo'lan'que'wei
左搂膝拗步,zuo'lou'xi'niu'bu
左手在后,zuo'shou'zai'hou
左下势独立,zuo'xia'shi'du'li
左右穿梭,zuo'you'chuan'suo
左右倒卷肱,zuo'you'dao'juan'gong
左右倒撵猴,zuo'you'dao'nian'hou
左右倒转肱,zuo'you'dao'zhuan'gong
左右分脚,zuo'you'fen'jiao
左右金鸡独立,zuo'you'jin'ji'du'li
左右搂膝拗步,zuo'you'lou'xi'niu'bu
左右野马分鬃,zuo'you'ye'ma'fen'zong
