挨倒,ai'dao
哈数,ha'shu
哈子,ha'zi
还的,hai'de
还的爪子,hai'de'zhua'zi
还尔,hai'er
憨包,han'bao
行实,hang'shi
行实不完,hang'shi'bu'wan
行实辉尔喇,hang'shi'hui'er'la
好三,hao'san
黑区区,hei'qu'qu
黑晚夕,hei'wan'xi
黑雅,hei'ya
花鼓铃铛,hua'gu'ling'dang
滑刷,hua'shua
恍尔浮西,huang'er'fu'xi
回及,hui'ji
昏戳戳,hun'chuo'chuo
昏勒,hun'le
豁别个,huo'bie'ge
火耳屎,huo'er'shi
祸辣子,huo'la'zi
豁皮,huo'pi
祸人,huo'ren
豁人,huo'ren
豁人勒,huo'ren'le
霍是,huo'shi
机巴,ji'ba
及不及,ji'bu'ji
几哈子,ji'ha'zi
挤拢,ji'long
鸡娃儿,ji'wa'er
甲师,jia'shi
捡耙耙,jian'ba'ba
捡耙活,jian'ba'huo
剪老壳,jian'lao'ke
尖老壳,jian'lao'ke
尖梭梭,jian'suo'suo
犟柺拐,jiang'guai'guai
将将,jiang'jiang
将就,jiang'jiu
胶还尔,jiao'hai'er
焦人,jiao'ren
交酸,jiao'suan
脚头,jiao'tou
接瓜瓢,jie'gua'piao
尽都,jin'dou
进及,jin'ji
今晚夕,jin'wan'xi
惊叫唤,jing'jiao'huan
揪师,jiu'shi
揪师嘛,jiu'shi'ma
拘拘尔,ju'ju'er
拘人,ju'ren
咖咖过过,ka'ka'guo'guo
揩干净,kai'gan'jing
开黄腔,kai'huang'qiang
楷脚帕,kai'jiao'pa
扛倒,kang'dao
克马尔,ke'ma'er
磕酥,ke'su
垮尔孚西,kua'er'fu'xi
框倒,kuang'dao
困不戳,kun'bu'chuo
困告告,kun'gao'gao
困觉,kun'jiao
困瞌睡,kun'ke'shui
困磕酥,kun'ke'su
困醒,kun'xing
阔倒,kuo'dao
阔倒起,kuo'dao'qi
喇们,la'men
癞给宝,lai'gei'bao
烂心肺,lan'xin'fei
啷哎,lang'ai
啷哎弄,lang'ai'nong
啷哎子,lang'ai'zi
啷个,lang'ge
啷睐,lang'lai
啷睐办,lang'lai'ban
啷睐弄,lang'lai'nong
捞耙,lao'ba
佬及,lao'ji
老几,lao'ji
老壳,lao'ke
老辣,lao'la
佬起,lao'qi
嘞巴骨,le'ba'gu
勒改,le'gai
冷秋秋,leng'qiu'qiu
脸青白黑,lian'qing'bai'hei
亮嗓,liang'sang
亮雅,liang'ya
娄民娄眼,lou'min'lou'yan
落板,luo'ban
罗该,luo'gai
螺丝拐拐,luo'si'guai'guai
玛玛灯,ma'ma'deng
麻麻杂杂,ma'ma'za'za
妈哟,ma'yo
毛了,mao'le
冒皮皮,mao'pi'pi
冒皮皮打飞机,mao'pi'pi'da'fei'ji
冒日白,mao'ri'bai
冒说,mao'shuo
茅斯,mao'si
冒听,mao'ting
冒信,mao'xin
冒杂音,mao'za'yin
霉得起冬瓜灰,mei'de'qi'dong'gua'hui
梅子,mei'zi
闷登儿,men'deng'er
门二天,men'er'tian
门二晚夕,men'er'wan'xi
闷油,men'you
明晃晃,ming'huang'huang
抹桌帕,mo'zhuo'pa
哪儿及,na'er'ji
哪改,na'gai
哪根坛,na'gen'tan
哪根田,na'gen'tian
哪根团,na'gen'tuan
男子八叉,nan'zi'ba'cha
闹昂了,nao'ang'le
闹麻了,nao'ma'le
拗倒不放,niu'dao'bu'fang
弄倒,nong'dao
弄倒拟哪勒了,nong'dao'ni'na'le'le
弄几,nong'ji
弄起,nong'qi
弄啥子,nong'sha'zi
哦豁,o'huo
哦哟,o'yo
怄人,ou'ren
帕帕,pa'pa
盘夹,pan'jia
皮还,pi'hai
皮还尔,pi'hai'er
屁趴骨,pi'pa'gu
撇火喲,pie'huo'yo
品嘣,pin'beng
品嘣球,pin'beng'qiu
唭饭,qi'fan
气拎,qi'lin
掐掐头,qia'qia'tou
前二天,qian'er'tian
腔师,qiang'shi
切尔落,qie'er'luo
切尔切,qie'er'qie
清风雅静,qing'feng'ya'jing
穷劳饿虾,qiong'lao'e'xia
穷劳卧虾,qiong'lao'wo'xia
球大歌,qiu'da'ge
秋秋咪咪,qiu'qiu'mi'mi
黢黑,qu'hei
日白,ri'bai
日不拢耸,ri'bu'long'song
日火,ri'huo
软哒哒,ruan'da'da
萨过,sa'guo
萨梯,sa'ti
臊勒,sao'le
臊皮,sao'pi
臊坛子,sao'tan'zi
臊窝子,sao'wo'zi
啬家子,se'jia'zi
涩家子,se'jia'zi
筲箕,shao'ji
神倒,shen'dao
神及,shen'ji
试诰,shi'gao
手杆,shou'gan
甩手,shuai'shou
说白,shuo'bai
说勒西,shuo'le'xi
死鱼尾巴不摆了,si'yu'wei'ba'bu'bai'le
算确,suan'que
梭边边,suo'bian'bian
梭了,suo'le
睃条狗,suo'tiao'gou
塌塌,ta'ta
踏谑,ta'xue
胎神,tai'shen
太阳巴尔,tai'yang'ba'er
涛人,tao'ren
套屋,tao'wu
剃老壳,ti'lao'ke
添巴尔糖,tian'ba'er'tang
挑师,tiao'shi
拖巴尔还,tuo'ba'er'hai
拖还,tuo'hai
拖还尔,tuo'hai'er
歪人,wai'ren
完确,wan'que
弯酸,wan'suan
晚夕,wan'xi
往天,wang'tian
为哈子,wei'ha'zi
稳倒,wen'dao
稳倒一哈,wen'dao'yi'ha
稳起,wen'qi
呡甜,wen'tian
喔虚呐喊,wo'xu'na'han
喔哟,wo'yo
乌琼琼,wu'qiong'qiong
洗白,xi'bai
洗脸帕,xi'lian'pa
西撇,xi'pie
瞎机巴,xia'ji'ba
想当然,xiang'dang'ran
想方子,xiang'fang'zi
想精想怪,xiang'jing'xiang'guai
想西来说,xiang'xi'lai'shuo
笑麻了,xiao'ma'le
笑舍尔,xiao'she'er
笑嘻了,xiao'xi'le
笑嘻嘻,xiao'xi'xi
醒尔活三,xing'er'huo'san
星星二,xing'xing'er
兄弟伙,xiong'di'huo
凶哦,xiong'o
玄皮,xuan'pi
迅白,xun'bai
鸭娃儿,ya'wa'er
要得三,yao'de'san
妖精十怪,yao'jing'shi'guai
妖摇尔,yao'yao'er
尾巴,yi'ba
一不霍是,yi'bu'huo'shi
一碇子,yi'ding'zi
尾根尔,yi'gen'er
一哈哈儿,yi'ha'ha'er
一阔阔而,yi'kuo'kuo'er
揖拾,yi'shi
一坨子,yi'tuo'zi
一西,yi'xi
阴倒日怪,yin'dao'ri'guai
阴秋秋,yin'qiu'qiu
有希,you'xi
有希时候,you'xi'shi'hou
有一西,you'yi'xi
圆不拢耸,yuan'bu'long'song
箢篼,yuan'dou
月亮巴尔,yue'liang'ba'er
扎起,za'qi
攒劲,zan'jin
遭不朱,zao'bu'zhu
遭得惨,zao'de'can
灶卡卡,zao'ka'ka
遭了,zao'le
灶门签,zao'men'qian
仄边,ze'bian
站倒,zhan'dao
占林子,zhan'lin'zi
站拢,zhan'long
张视,zhang'shi
涨死眼睛饿死球,zhang'si'yan'jing'e'si'qiu
蛰改,zhe'gai
整不懂,zheng'bu'dong
整不醒豁,zheng'bu'xing'huo
整起,zheng'qi
装疯鼻腔,zhuang'feng'bi'qiang
装神,zhuang'shen
资格,zi'ge
资格货,zi'ge'huo
自根儿,zi'gen'er
揍倒,zou'dao
走人府,zou'ren'fu
足倒,zu'dao
足哈子,zu'ha'zi
昨二晚夕,zuo'er'wan'xi
