安装孔,an'zhuang'kong
镀通孔,du'tong'kong
端接全隙孔,duan'jie'quan'xi'kong
断经,duan'jing
断裂长,duan'lie'chang
斷路,duan'lu
對不准,dui'bu'zhun
队列支撑数据库,dui'lie'zhi'cheng'shu'ju'ku
對準用標記,dui'zhun'yong'biao'ji
多层印制板,duo'ceng'yin'zhi'ban
多层印制电路板,duo'ceng'yin'zhi'dian'lu'ban
多层印制线路板,duo'ceng'yin'zhi'xian'lu'ban
多官能环氧树脂,duo'guan'neng'huan'yang'shu'zhi
二铜,er'tong
反回蝕,fan'hui'shi
防焊,fang'han
方块框图,fang'kuai'kuang'tu
方形盘,fang'xing'pan
防锈,fang'xiu
非导电图形,fei'dao'dian'tu'xing
非功能连接盘,fei'gong'neng'lian'jie'pan
费用矩阵,fei'yong'ju'zhen
非圆形盘,fei'yuan'xing'pan
飛針測試,fei'zhen'ce'shi
非支撑孔,fei'zhi'cheng'kong
分层,fen'ceng
粉紅圈,fen'gong'quan
酚醛树脂,fen'quan'shu'zhi
酚醛纸质覆铜箔板,fen'quan'zhi'zhi'fu'tong'bo'ban
分析,fen'xi
分线,fen'xian
風刀,feng'dao
覆盖层,fu'gai'ceng
复合金属箔,fu'he'jin'shu'bo
覆金属箔基材,fu'jin'shu'bo'ji'cai
腹裸盘,fu'luo'pan
負片,fu'pian
氟树脂,fu'shu'zhi
覆铜箔层压板,fu'tong'bo'ceng'ya'ban
感光性树脂,gan'guang'xing'shu'zhi
刚性单面印制板,gang'xing'dan'mian'yin'zhi'ban
刚性多层印制板,gang'xing'duo'ceng'yin'zhi'ban
刚性双面印制板,gang'xing'shuang'mian'yin'zhi'ban
刚性印制板,gang'xing'yin'zhi'ban
隔板,ge'ban
隔离盘,ge'li'pan
工具孔,gong'ju'kong
共聚物,gong'ju'wu
供设计优化坐标轴,gong'she'ji'you'hua'zuo'biao'zhou
弓纬,gong'wei
工作稿,gong'zuo'gao
工作母片,gong'zuo'mu'pian
工作片,gong'zuo'pian
固化剂,gu'hua'ji
故障,gu'zhang
刮刀,gua'dao
掛架,gua'jia
光面,guang'mian
光學點,guang'xue'dian
光學繪圖機,guang'xue'hui'tu'ji
規範,gui'fan
硅树脂,gui'shu'zhi
硅烷,gui'wan
焊墊,han'dian
焊环,han'huan
焊接面,han'jie'mian
焊圈,han'quan
合成树脂,he'cheng'shu'zhi
黑化還原,hei'hua'huan'yuan
厚薄段,hou'bao'duan
厚度,hou'du
厚膜,hou'mo
厚膜电路,hou'mo'dian'lu
互相連通,hu'xiang'lian'tong
化金,hua'jin
化银,hua'yin
坏布,huai'bu
环形盘,huan'xing'pan
环氧玻璃布覆铜箔板,huan'yang'bo'li'bu'fu'tong'bo'ban
环氧玻璃布基覆铜箔板,huan'yang'bo'li'bu'ji'fu'tong'bo'ban
环氧玻璃布纸复合覆铜箔板,huan'yang'bo'li'bu'zhi'fu'he'fu'tong'bo'ban
环氧玻璃基板,huan'yang'bo'li'ji'ban
环氧当量,huan'yang'dang'liang
环氧酚醛,huan'yang'fen'quan
环氧合成纤维布覆铜箔板,huan'yang'he'cheng'xian'wei'bu'fu'tong'bo'ban
环氧树脂,huan'yang'shu'zhi
环氧值,huan'yang'zhi
环氧纸质覆铜箔板,huan'yang'zhi'zhi'fu'tong'bo'ban
回蝕,hui'shi
混合电路,hun'he'dian'lu
基板面,ji'ban'mian
基材,ji'cai
积层印制板,ji'ceng'yin'zhi'ban
机器描述格式,ji'qi'miao'shu'ge'shi
机器描述格式数据库,ji'qi'miao'shu'ge'shi'shu'ju'ku
基準記號,ji'zhun'ji'hao
加成法,jia'cheng'fa
加工,jia'gong
加速剂,jia'su'ji
加速實驗,jia'su'shi'yan
檢查鑽孔層,jian'cha'zuan'kong'ceng
减成法,jian'cheng'fa
绞股,jiao'gu
膠含量,jiao'han'liang
交互式制图设计,jiao'hu'shi'zhi'tu'she'ji
膠化時間,jiao'hua'shi'jian
膠流量,jiao'liu'liang
膠渣,jiao'zha
胶粘剂,jiao'zhan'ji
结晶现象,jie'jing'xian'xiang
浸金化金,jin'jin'hua'jin
浸鎳金,jin'nie'jin
浸润剂,jin'run'ji
浸润剂残留量,jin'run'ji'can'liu'liang
浸润剂含量,jin'run'ji'han'liang
金手指斜边,jin'shou'zhi'xie'bian
金属基覆铜层压板,jin'shu'ji'fu'tong'ceng'ya'ban
金属基印制板,jin'shu'ji'yin'zhi'ban
金属芯覆铜箔层压板,jin'shu'xin'fu'tong'bo'ceng'ya'ban
金属芯印制板,jin'shu'xin'yin'zhi'ban
浸渍绝缘纵纸,jin'zi'jue'yuan'zong'zhi
靜電噴涂,jing'dian'pen'tu
经纱,jing'sha
经向,jing'xiang
聚芳酰胺纤维纸,ju'fang'xian'an'xian'wei'zhi
聚合物,ju'he'wu
聚全氟乙烯丙烯薄膜,ju'quan'fu'yi'xi'bing'xi'bao'mo
拒收,ju'shou
聚四氟乙烯,ju'si'fu'yi'xi
聚四乙烯玻璃纤维覆铜箔板,ju'si'yi'xi'bo'li'xian'wei'fu'tong'bo'ban
聚酰胺纤维,ju'xian'an'xian'wei
聚酰亚胺薄膜,ju'xian'ya'an'bao'mo
聚酰亚胺玻璃布覆铜箔板,ju'xian'ya'an'bo'li'bu'fu'tong'bo'ban
聚酰亚胺树脂,ju'xian'ya'an'shu'zhi
矩形填充,ju'xing'tian'chong
聚酯薄膜,ju'zhi'bao'mo
聚酯玻璃布覆铜箔板,ju'zhi'bo'li'bu'fu'tong'bo'ban
聚酯树脂,ju'zhi'shu'zhi
聚酯纤维非织布,ju'zhi'xian'wei'fei'zhi'bu
絕緣阻抗,jue'yuan'zu'kang
開槽,kai'cao
抗撕強度,kang'si'jiang'du
客戶原稿,ke'hu'yuan'gao
孔环,kong'huan
孔徑,kong'jing
孔密度,kong'mi'du
孔數,kong'shuo
孔位,kong'wei
撈型,lao'xing
泪滴盘,lei'di'pan
雷射曝光對位孔,lei'she'bao'guang'dui'wei'kong
冷焊點,leng'han'dian
離子性污染,li'zi'xing'wu'ran
連接功能,lian'jie'gong'neng
连接盘图形,lian'jie'pan'tu'xing
连接盘网格阵列,lian'jie'pan'wang'ge'zhen'lie
廉幕印刷,lian'mu'yin'shua
良品,liang'pin
裂缝,lie'feng
裂痕,lie'hen
零件孔,ling'jian'kong
零件面,ling'jian'mian
菱形盘,ling'xing'pan
裸板,luo'ban
逻辑模拟,luo'ji'mo'ni
逻辑图,luo'ji'tu
埋电阻板,mai'dian'zu'ban
埋孔,mai'kong
埋盲孔,mai'mang'kong
埋容板,mai'rong'ban
曼哈顿距离,man'ha'dun'ju'li
盲孔,mang'kong
毛圈长,mao'quan'chang
面銅,mian'tong
無電鍍化,mo'dian'du'hua
母板,mu'ban
耐磨性,nai'mo'xing
挠性扁平电缆,nao'xing'bian'ping'dian'lan
挠性单面印制板,nao'xing'dan'mian'yin'zhi'ban
挠性多层印制板,nao'xing'duo'ceng'yin'zhi'ban
挠性覆铜箔绝缘薄膜,nao'xing'fu'tong'bo'jue'yuan'bao'mo
挠性双面印制板,nao'xing'shuang'mian'yin'zhi'ban
挠性印制板,nao'xing'yin'zhi'ban
挠性印制电路,nao'xing'yin'zhi'dian'lu
挠性印制线路,nao'xing'yin'zhi'xian'lu
內層,nei'ceng
内层,nei'ceng
内层芯板,nei'ceng'xin'ban
內外層,nei'wai'ceng
捻度,nian'du
粘结层,nian'jie'ceng
粘结剂,nian'jie'ji
粘结膜,nian'jie'mo
粘结片,nian'jie'pian
欧几里德距离,ou'ji'li'de'ju'li
偶联剂,ou'lian'ji
盘址,pan'zhi
泡點,pao'dian
噴砂,pen'sha
噴涂,pen'tu
噴錫,pen'xi
批量,pi'liang
偏置连接盘,pian'zhi'lian'jie'pan
偏轉,pian'zhuan
品管,pin'guan
品質允收水準,pin'zhi'yun'shou'shui'zhun
平纹组织,ping'wen'zu'zhi
氣泡,qi'pao
起泡,qi'pao
清洗及烘烤,qing'xi'ji'hong'kao
驱动文件,qu'dong'wen'jian
去毛頭,qu'mao'tou
去膜,qu'mo
缺口,que'kou
缺纬,que'wei
缺陷,que'xian
热固性树脂,re'gu'xing'shu'zhi
热塑性树脂,re'su'xing'shu'zhi
刃角磨損,ren'jiao'mo'sun
塞孔,sai'kong
塞孔底片,sai'kong'di'pian
三聚氰胺甲醛树脂,san'ju'qing'an'jia'quan'shu'zhi
扫描填充,sao'miao'tian'chong
纱线,sha'xian
设计后处理,she'ji'hou'chu'li
蚀刻,shi'ke
蝕刻缺口,shi'ke'que'kou
湿强度保留率,shi'qiang'du'bao'liu'lv
实体设计,shi'ti'she'ji
时序模拟,shi'xu'mo'ni
濕制程,shi'zhi'cheng
樹脂下限,shu'zhi'xia'xian
双晶现象,shuang'jing'xian'xiang
双马来酰亚胺三嗪,shuang'ma'lai'xian'ya'an'san'qin
双马来酰亚胺三嗪树脂,shuang'ma'lai'xian'ya'an'san'qin'shu'zhi
雙面,shuang'mian
雙面板,shuang'mian'ban
双面处理铜箔,shuang'mian'chu'li'tong'bo
双面覆铜箔层压板,shuang'mian'fu'tong'bo'ceng'ya'ban
双面印制板,shuang'mian'yin'zhi'ban
双氰胺,shuang'qing'an
數孔機,shuo'kong'ji
絲網印刷,si'wang'yin'shua
松脂酸,song'zhi'suan
速化反應,su'hua'fan'ying
陶瓷,tao'ci
陶瓷基覆铜箔板,tao'ci'ji'fu'tong'bo'ban
陶瓷印制板,tao'ci'yin'zhi'ban
套環,tao'huan
特殊形狀,te'shu'xing'zhuang
填充域,tian'chong'yu
天然松香,tian'ran'song'xiang
跳印,tiao'yin
铜箔,tong'bo
透明殘膜,tou'ming'can'mo
塗佈印刷,tu'bu'yin'shua
涂胶铜箔,tu'jiao'tong'bo
涂胶脂铜箔,tu'jiao'zhi'tong'bo
圖像控制功能,tu'xiang'kong'zhi'gong'neng
图形显示,tu'xing'xian'shi
退火铜箔,tui'huo'tong'bo
脫膜劑,tuo'mo'ji
外层,wai'ceng
外層,wai'ceng
外弧,wai'hu
網版印刷,wang'ban'yin'shua
網版印耍,wang'ban'yin'shua
網布,wang'bu
网格,wang'ge
網框,wang'kuang
微盲孔,wei'mang'kong
纬纱,wei'sha
纬向,wei'xiang
纬斜,wei'xie
文字印刷,wen'zi'yin'shua
无定形聚合物,wu'ding'xing'ju'he'wu
无连接盘导通孔,wu'lian'jie'pan'dao'tong'kong
无连接盘孔,wu'lian'jie'pan'kong
錫橋,xi'qiao
錫塞,xi'sai
吸收,xi'shou
吸水高度,xi'shui'gao'du
吸水性,xi'shui'xing
稀松织物,xi'song'zhi'wu
錫突,xi'tu
錫鉛面,xi'yan'mian
線距,xian'ju
線寬,xian'kuan
线宽,xian'kuan
线网,xian'wang
显影,xian'ying
相同層次,xiang'tong'ceng'ci
斜邊,xie'bian
形盘,xing'pan
溴化环氧树脂,xiu'hua'huan'yang'shu'zhi
雪人盘,xue'ren'pan
压合,ya'he
壓力腳,ya'li'jue
壓膜機,ya'mo'ji
压延铜箔,ya'yan'tong'bo
压延退火铜箔,ya'yan'tui'huo'tong'bo
液態防焊,ye'tai'fang'han
液態狀,ye'tai'zhuang
已鑽孔的裸板,yi'zuan'kong'de'luo'ban
引导孔,yin'dao'kong
印刷後及蝕刻後板,yin'shua'hou'ji'shi'ke'hou'ban
印刷及預烤,yin'shua'ji'yu'kao
印制板,yin'zhi'ban
印制电路,yin'zhi'dian'lu
印制线路,yin'zhi'xian'lu
印制线路板,yin'zhi'xian'lu'ban
硬化劑,ying'hua'ji
影像轉移,ying'xiang'zhuan'yi
预浸材料,yu'jin'cai'liao
预浸粘结片,yu'jin'nian'jie'pian
預乾烤,yu'qian'kao
余隙孔,yu'xi'kong
鱼眼,yu'yan
元件安置,yuan'jian'an'zhi
元件孔,yuan'jian'kong
元件密度,yuan'jian'mi'du
元件面,yuan'jian'mian
原理图,yuan'li'tu
圆形盘,yuan'xing'pan
云织,yun'zhi
在连接盘中导通孔,zai'lian'jie'pan'zhong'dao'tong'kong
载体箔,zai'ti'bo
增塑剂,zeng'su'ji
遮光剂,zhe'guang'ji
折痕,zhe'hen
針孔,zhen'kong
制程,zhi'cheng
支撑孔,zhi'cheng'kong
治具,zhi'ju
治具測試,zhi'ju'ce'shi
制前,zhi'qian
織紋顯露,zhi'wen'xian'lu
织物经纬密度,zhi'wu'jing'wei'mi'du
织物组织,zhi'wu'zu'zhi
重布,zhong'bu
重工,zhong'gong
中间孔,zhong'jian'kong
种類,zhong'lei
皺褶,zhou'zhe
助焊劑,zhu'han'ji
主圖,zhu'tu
准表面间镀覆孔,zhun'biao'mian'jian'du'fu'kong
准尺寸孔,zhun'chi'cun'kong
子板,zi'ban
子弹形盘,zi'dan'xing'pan
自底向上设计,zi'di'xiang'shang'she'ji
自顶向下设计,zi'ding'xiang'xia'she'ji
字符,zi'fu
紫外线阻挡型覆铜箔板,zi'wai'xian'zu'dang'xing'fu'tong'bo'ban
子线网,zi'xian'wang
棕化,zong'hua
阻劑,zu'ji
阻燃剂,zu'ran'ji
鑽尖重磨機,zuan'jian'chong'mo'ji
鑽尖分開,zuan'jian'fen'kai
鑽尖切削面,zuan'jian'qie'xiao'mian
鑽尖重曡,zuan'jian'zhong'die
钻孔,zuan'kong
钻孔图,zuan'kong'tu
鑽頭刃帶,zuan'tou'ren'dai
鑽軸,zuan'zhou
