半永久修复,ban'yong'jiu'xiu'fu
窄轨铁路,zhai'gui'tie'lu
站间,zhan'jian
战区铁路,zhan'qu'tie'lu
战区铁路网,zhan'qu'tie'lu'wang
站线,zhan'xian
遮断二级准备,zhe'duan'er'ji'zhun'bei
遮断一级准备,zhe'duan'yi'ji'zhun'bei
正线,zheng'xian
支线,zhi'xian
中等破坏,zhong'deng'po'huai
重点线,zhong'dian'xian
重型,zhong'xing
中型,zhong'xing
转线,zhuan'xian
转向设备,zhuan'xiang'she'bei
专用列车,zhuan'yong'lie'che
专用线,zhuan'yong'xian
装卸线,zhuang'xie'xian
准轨铁路,zhun'gui'tie'lu
纵向铁路,zong'xiang'tie'lu
