挨黑打,ai'hei'da
扯脯鼾,che'pu'han
扯疼了,che'teng'le
扯远点,che'yuan'dian
扯蛛子,che'zhu'zi
嗔唤,chen'huan
称东西,cheng'dong'xi
称抖,cheng'dou
称唤,cheng'huan
城墙倒拐,cheng'qiang'dao'guai
秤砣,cheng'tuo
称展,cheng'zhan
痴吧头,chi'ba'tou
吃饱了,chi'bao'le
吃多球了,chi'duo'qiu'le
尺多深,chi'duo'shen
吃嘎嘎,chi'ga'ga
吃胡,chi'hu
吃胡了,chi'hu'le
吃九斗碗,chi'jiu'dou'wan
吃酒碗,chi'jiu'wan
吃莽莽,chi'mang'mang
吃皮,chi'pi
吃婆婆儿饭,chi'po'po'er'fan
吃欺头,chi'qi'tou
吃球多了,chi'qiu'duo'le
吃赏午,chi'shang'wu
吃少午,chi'shao'wu
宠祸,chong'huo
冲壳壳,chong'ke'ke
冲壳子,chong'ke'zi
冲屎棒,chong'shi'bang
冲天炮,chong'tian'pao
丑话说在前头,chou'hua'shuo'zai'qian'tou
抽活,chou'huo
出脱,chu'tuo
揣起,chuai'qi
穿鼻子,chuan'bi'zi
川川,chuan'chuan
川川儿,chuan'chuan'er
穿孩子,chuan'hai'zi
川饺子油糕,chuan'jiao'zi'you'gao
川普,chuan'pu
闯鬼,chuang'gui
闯你妈个鬼哟,chuang'ni'ma'ge'gui'yo
吹壳子,chui'ke'zi
吹屎泡儿,chui'shi'pao'er
锤子,chui'zi
春饼儿,chun'bing'er
春卷儿,chun'juan'er
春台会,chun'tai'hui
戳拐,chuo'guai
戳锅漏,chuo'guo'lou
戳脱,chuo'tuo
糍粑子,ci'ba'zi
枞果朵儿,cong'guo'duo'er
枞须子,cong'xu'zi
粗箅子,cu'bi'zi
窜窜儿,cuan'cuan'er
窜耳胡,cuan'er'hu
窜瞌睡,cuan'ke'shui
存在,cun'zai
撮儿,cuo'er
打摆子,da'bai'zi
打饱嗝,da'bao'ge
大北街,da'bei'jie
打标枪,da'biao'qiang
打啵儿,da'bo'er
打冲拳,da'chong'quan
打捶,da'chui
打锤,da'chui
大大,da'da
跶倒,da'dao
打鼎锅盖,da'ding'guo'gai
耷耳狗,da'er'gou
打发女,da'fa'nv
打黑猫,da'hei'mao
打伙,da'huo
打豁嗨,da'huo'hai
打键儿,da'jian'er
打金章,da'jin'zhang
打烂账,da'lan'zhang
大老爷,da'lao'ye
打麻扎,da'ma'zha
打麻子眼,da'ma'zi'yan
打猫儿心肠,da'mao'er'xin'chang
打猫心肠,da'mao'xin'chang
打梦脚,da'meng'jiao
打醚头儿,da'mi'tou'er
打摩登,da'mo'deng
打平伙,da'ping'huo
打燃火,da'ran'huo
打丧火,da'sang'huo
打上靶,da'shang'ba
打摔手,da'shuai'shou
打霜,da'shuang
打水漂,da'shui'piao
大天白亮,da'tian'bai'liang
打嗡咙,da'weng'long
打牙祭,da'ya'ji
打扬尘,da'yang'chen
打幺台,da'yao'tai
打一头,da'yi'tou
打圆促,da'yuan'cu
带把子,dai'ba'zi
逮猫儿,dai'mao'er
逮墙墙猫儿,dai'qiang'qiang'mao'er
单被子,dan'bei'zi
弹绷子,dan'beng'zi
但得居儿腾,dan'de'ju'er'teng
蛋烘糕,dan'hong'gao
但居儿腾,dan'ju'er'teng
蛋球疼,dan'qiu'teng
淡瓦瓦,dan'wa'wa
淡瓦瓦的,dan'wa'wa'de
凼凼,dang'dang
荡荡,dang'dang
荡荡头,dang'dang'tou
刀儿匠,dao'er'jiang
倒拐,dao'guai
倒拐子,dao'guai'zi
倒欠皮,dao'qian'pi
倒栽盅,dao'zai'zhong
叨嘴,dao'zui
得儿啊当的,de'er'a'dang'de
灯毒,deng'du
登毒,deng'du
灯儿啊当,deng'er'a'dang
灯儿啊当卖麻糖,deng'er'a'dang'mai'ma'tang
灯竿,deng'gan
等哈哈儿,deng'ha'ha'er
等一哈儿,deng'yi'ha'er
低低儿,di'di'er
滴点儿,di'dian'er
地瓜儿,di'gua'er
抵拢,di'long
抵拢倒拐,di'long'dao'guai
底下,di'xia
地转转儿,di'zhuan'zhuan'er
地转子,di'zhuan'zi
颠转,dian'zhuan
叠子,die'zi
丁到了,ding'dao'le
丁点儿,ding'dian'er
丁丁猫,ding'ding'mao
丁丁猫儿,ding'ding'mao'er
定起切,ding'qi'qie
定子,ding'zi
丢翻,diu'fan
冻糕,dong'gao
东睃西睃,dong'suo'xi'suo
豆腐帘子,dou'fu'lian'zi
逗毛,dou'mao
逗是,dou'shi
都是好朋友兮,dou'shi'hao'peng'you'xi
抖耸,dou'song
豆子神,dou'zi'shen
嘟儿,du'er
断黑,duan'hei
对头,dui'tou
墩子,dun'zi
多半,duo'ban
剁皮,duo'pi
饿龙饿虾,e'long'e'xia
额楼,e'lou
屙尿,e'niao
屙屎,e'shi
屙稀,e'xi
恶扎,e'zha
恩儿,en'er
耳巴子,er'ba'zi
二百五,er'bai'wu
二不垮五,er'bu'kua'wu
二锤,er'chui
二杆子,er'gan'zi
儿跟年,er'gen'nian
尔跟前,er'gen'qian
耳瓜子,er'gua'zi
尔合儿,er'he'er
二回,er'hui
二夹梁,er'jia'liang
二流子,er'liu'zi
二麻二麻,er'ma'er'ma
二盘,er'pan
尔去了,er'qu'le
耳屎,er'shi
耳屎你,er'shi'ni
二天,er'tian
二些年,er'xie'nian
发呱气,fa'gua'qi
发蒙,fa'meng
发梦癫,fa'meng'dian
放黄,fang'huang
纺麻姑儿,fang'ma'gu'er
方脑壳,fang'nao'ke
放帕子,fang'pa'zi
放生会,fang'sheng'hui
枋子,fang'zi
飞叉叉,fei'cha'cha
肥肠血旺,fei'chang'xue'wang
肥胴胴,fei'dong'dong
飞飞儿,fei'fei'er
非鸡巴,fei'ji'ba
非近,fei'jin
非快,fei'kuai
非冷,fei'leng
非冷把冷,fei'leng'ba'leng
非慢,fei'man
费迁翻,fei'qian'fan
非轻,fei'qing
非热把热,fei're'ba're
非痛,fei'tong
费头子,fei'tou'zi
非痒,fei'yang
非远,fei'yuan
非重,fei'zhong
粉子,fen'zi
疯扯扯,feng'che'che
风车车,feng'che'che
风车车儿,feng'che'che'er
风兜儿,feng'dou'er
疯了,feng'le
疯球了,feng'qiu'le
疯丝麻木,feng'si'ma'mu
风屑,feng'xie
付你两耳屎,fu'ni'liang'er'shi
拂你两耳屎,fu'ni'liang'er'shi
夫起,fu'qi
凫上水,fu'shang'shui
桴炭儿,fu'tan'er
桴炭子,fu'tan'zi
嘠嘎,ga'ga
旮旮角角,ga'ga'jiao'jiao
该死鸡儿球朝天,gai'si'ji'er'qiu'chao'tian
赶场,gan'chang
干灰蘑儿,gan'hui'mo'er
干豇豆,gan'jiang'dou
干精火旺,gan'jing'huo'wang
干坎,gan'kan
干啥子,gan'sha'zi
干心儿,gan'xin'er
搞刨,gao'bao
搞不懂,gao'bu'dong
搞不醒豁,gao'bu'xing'huo
搞不赢,gao'bu'ying
搞紧,gao'jin
搞球,gao'qiu
搞球不懂,gao'qiu'bu'dong
搞球不醒豁,gao'qiu'bu'xing'huo
搞球事,gao'qiu'shi
搞头,gao'tou
搞眼,gao'yan
隔锅香,ge'guo'xiang
哥老倌,ge'lao'guan
格老子,ge'lao'zi
各人,ge'ren
咯蚤,ge'zao
虼蚤,ge'zao
给是哈,gei'shi'ha
跟斗儿匍爬,gen'dou'er'pu'pa
跟斗儿扑爬,gen'dou'er'pu'pa
跟了我噻,gen'le'wo'sai
跟头儿扑爬,gen'tou'er'pu'pa
弓起,gong'qi
勾兑,gou'dui
狗痂,gou'jia
狗日的,gou'ri'de
勾子,gou'zi
估倒,gu'dao
古倒,gu'dao
鼓到,gu'dao
古丁爆赞,gu'ding'bao'zan
鼓丁暴站,gu'ding'bao'zhan
鼓丁暴涨,gu'ding'bao'zhang
骨都子,gu'dou'zi
姑姑筵儿,gu'gu'yan'er
姑老爷,gu'lao'ye
咕噜子,gu'lu'zi
姑妮儿,gu'ni'er
牯牛,gu'niu
姑婆,gu'po
谷子,gu'zi
瓜不兮兮,gua'bu'xi'xi
瓜不兮兮的,gua'bu'xi'xi'de
瓜戳戳,gua'chuo'chuo
寡淡,gua'dan
瓜的翻山,gua'de'fan'shan
瓜得很,gua'de'hen
瓜儿,gua'er
寡骨脸,gua'gu'lian
挂挂钱,gua'gua'qian
挂含,gua'han
瓜了,gua'le
瓜麻批,gua'ma'pi
瓜眉瓜眼,gua'mei'gua'yan
瓜眉日眼,gua'mei'ri'yan
瓜迷瓜眼,gua'mi'gua'yan
瓜迷日眼,gua'mi'ri'yan
瓜婆娘,gua'po'niang
瓜孙儿,gua'sun'er
瓜娃子,gua'wa'zi
瓜兮兮,gua'xi'xi
瓜兮兮的,gua'xi'xi'de
怪经,guai'jing
怪头扭精,guai'tou'niu'jing
罐罐鸡,guan'guan'ji
关火,guan'huo
关你球事,guan'ni'qiu'shi
关钱,guan'qian
光巴子,guang'ba'zi
光膀膀,guang'bang'bang
光宝儿宝儿,guang'bao'er'bao'er
光叉叉,guang'cha'cha
光胴胴,guang'dong'dong
广耳屎,guang'er'shi
广耳石,guang'er'shi
光生,guang'sheng
鬼把你找到了,gui'ba'ni'zhao'dao'le
鬼扯,gui'che
鬼灯影儿,gui'deng'ying'er
鬼冬哥,gui'dong'ge
龟儿,gui'er
龟儿子,gui'er'zi
鬼火冲,gui'huo'chong
鬼火冒,gui'huo'mao
鬼迷鬼眼,gui'mi'gui'yan
鬼迷日眼,gui'mi'ri'yan
鬼头子,gui'tou'zi
归意,gui'yi
滚滚儿,gun'gun'er
滚龙,gun'long
滚水,gun'shui
滚烫,gun'tang
过场,guo'chang
锅魁,guo'kui
郭了,guo'le
锅裂,guo'lie
郭孽,guo'nie
哈巴狗,ha'ba'gou
哈宝儿,ha'bao'er
哈屄,ha'bi
哈波儿,ha'bo'er
哈戳戳,ha'chuo'chuo
哈儿,ha'er
哈黑儿,ha'hei'er
哈急姑,ha'ji'gu
哈开,ha'kai
哈筢子,ha'pa'zi
哈批,ha'pi
海椒,hai'jiao
害喜,hai'xi
孩子,hai'zi
憨包,han'bao
憨贝儿,han'bei'er
憨口水,han'kou'shui
憨迷日眼,han'mi'ri'yan
夯那个,hang'na'ge
好昂,hao'ang
好吃嘴,hao'chi'zui
好吃嘴儿,hao'chi'zui'er
好港,hao'gang
好孔雀哦,hao'kong'que'o
好没好,hao'mei'hao
好凶,hao'xiong
好意思,hao'yi'si
好造孽,hao'zao'nie
耗子,hao'zi
荷包蛋,he'bao'dan
喝麻了,he'ma'le
黑挨球,hei'ai'qiu
黑不溜揪,hei'bu'liu'jiu
黑不溜秋,hei'bu'liu'qiu
黑不拢耸,hei'bu'long'song
黑戳戳,hei'chuo'chuo
黑搓,hei'cuo
黑灰蘑儿,hei'hui'mo'er
黑尽,hei'jin
黑起屁儿,hei'qi'pi'er
黑起屁眼,hei'qi'pi'yan
黑区麻拱,hei'qu'ma'gong
黑黢黢,hei'qu'qu
嘿死个人,hei'si'ge'ren
黑提吗沙,hei'ti'ma'sha
黑眼油,hei'yan'you
嘿唷,hei'yo
哼哄猫儿,heng'hong'mao'er
红扯扯,hong'che'che
红扯扯的,hong'che'che'de
红柑儿子,hong'gan'er'zi
烘糕,hong'gao
红灰蘑儿,hong'hui'mo'er
烘笼子,hong'long'zi
红苕,hong'shao
红苕花,hong'shao'hua
红糖冰粉,hong'tang'bing'fen
齁包儿,hou'bao'er
后颈窝,hou'jing'wo
后脑爪,hou'nao'zhao
厚皮菜,hou'pi'cai
猴秋子,hou'qiu'zi
吼人,hou'ren
吼啥子吼,hou'sha'zi'hou
吼他,hou'ta
吼头,hou'tou
吼我,hou'wo
后爪爪,hou'zhua'zhua
糊起糊起,hu'qi'hu'qi
花不溜揪,hua'bu'liu'jiu
花不溜秋,hua'bu'liu'qiu
划不着,hua'bu'zhao
划得着,hua'de'zhe
花儿古董,hua'er'gu'dong
花古灵当,hua'gu'ling'dang
花哨,hua'shao
唤木头,huan'mu'tou
环是,huan'shi
黄帮,huang'bang
黄倒住,huang'dao'zhu
黄话,huang'hua
黄脚黄手,huang'jiao'huang'shou
黄辣丁,huang'la'ding
黄老妞儿,huang'lao'niu'er
黄了,huang'le
黄师父,huang'shi'fu
黄糖,huang'tang
恍兮惚兮,huang'xi'hu'xi
灰巴拢耸,hui'ba'long'song
灰包蛋,hui'bao'dan
灰不溜揪,hui'bu'liu'jiu
灰不拢耸,hui'bu'long'song
回锅肉,hui'guo'rou
灰面,hui'mian
灰蘑儿,hui'mo'er
回切,hui'qie
荤豆花,hun'dou'hua
混糖锅魁,hun'tang'guo'kui
豁别个,huo'bie'ge
活毒虫,huo'du'chong
火锅粉,huo'guo'fen
豁花儿,huo'hua'er
火裤儿,huo'ku'er
豁老子,huo'lao'zi
豁你,huo'ni
活腻了,huo'ni'le
火炮儿,huo'pao'er
豁皮,huo'pi
豁人,huo'ren
火撒,huo'sa
火色,huo'se
活糖油糕,huo'tang'you'gao
豁我,huo'wo
和稀泥,huo'xi'ni
火窑裤,huo'yao'ku
鸡巴,ji'ba
鸡巴毛,ji'ba'mao
鸡儿,ji'er
鸡公,ji'gong
鸡公车,ji'gong'che
几哈,ji'ha
几哈点,ji'ha'dian
几哈儿,ji'ha'er
几娘母,ji'niang'mu
鸡婆,ji'po
几爷子,ji'ye'zi
假巴意思,jia'ba'yi'si
家不得,jia'bu'de
假打,jia'da
家搭子,jia'da'zi
家公,jia'gong
圿圿,jia'jia
夹夹,jia'jia
甲甲车,jia'jia'che
假精灵,jia'jing'ling
假老练,jia'lao'lian
家婆,jia'po
夹舌子,jia'she'zi
夹生,jia'sheng
架势,jia'shi
贾素芬,jia'su'fen
夹子窝儿,jia'zi'wo'er
捡粑伊儿,jian'ba'yi'er
捡底,jian'di
剪脑壳,jian'nao'ke
贱皮子,jian'pi'zi
捡起,jian'qi
见天,jian'tian
捡相因,jian'xiang'yin
焦粑儿,jiao'ba'er
脚粑手软,jiao'ba'shou'ruan
脚板,jiao'ban
脚板儿,jiao'ban'er
脚板儿苕,jiao'ban'er'shao
脚板心,jiao'ban'xin
交待儿,jiao'dai'er
脚肚子,jiao'du'zi
搅儿,jiao'er
脚杆,jiao'gan
交割,jiao'ge
煍壶,jiao'hu
叫唤,jiao'huan
叫鸡鸡,jiao'ji'ji
绞家,jiao'jia
脚脚,jiao'jiao
脚脚爪爪,jiao'jiao'zhua'zhua
角角子,jiao'jiao'zi
角角子钱,jiao'jiao'zi'qian
较劲,jiao'jin
焦苦,jiao'ku
角孽,jiao'nie
绞起,jiao'qi
嚼舌头,jiao'she'tou
交湿,jiao'shi
焦湿,jiao'shi
脚踏,jiao'ta
交头,jiao'tou
脚弯弯,jiao'wan'wan
脚猪,jiao'zhu
结巴,jie'ba
解大手,jie'da'shou
解手,jie'shou
街娃儿,jie'wa'er
解小手,jie'xiao'shou
接新迎子,jie'xin'ying'zi
金包卵,jin'bao'luan
紧倒,jin'dao
今年个儿,jin'nian'ge'er
今年子,jin'nian'zi
今晚夕,jin'wan'xi
进丈只吓人,jin'zhang'zhi'xia'ren
警防,jing'fang
惊风火扯,jing'feng'huo'che
京果铺,jing'guo'pu
惊叫唤,jing'jiao'huan
精叫唤,jing'jiao'huan
精灵,jing'ling
经事,jing'shi
经使,jing'shi
精瘦,jing'shou
颈项,jing'xiang
经佑,jing'you
惊爪爪,jing'zhua'zhua
惊爪爪的,jing'zhua'zhua'de
九斗碗,jiu'dou'wan
酒米饭,jiu'mi'fan
酒窝儿,jiu'wo'er
咀了,ju'le
卷人,juan'ren
撅人,jue'ren
咔咔壳壳,ka'ka'ke'ke
卡腰,ka'yao
开黄腔,kai'huang'qiang
开腔,kai'qiang
看倒,kan'dao
坎肩子,kan'jian'zi
砍老壳,kan'lao'ke
砍脑壳,kan'nao'ke
砍脑壳的,kan'nao'ke'de
看一哈,kan'yi'ha
看一下,kan'yi'xia
拷沙罐,kao'sha'guan
靠实,kao'shi
考惜球,kao'xi'qiu
磕膝头,ke'xi'tou
磕膝头儿,ke'xi'tou'er
啃得,ken'de
空了吹,kong'le'chui
孔雀,kong'que
抠的很,kou'de'hen
扣甲子窝,kou'jia'zi'wo
抠门,kou'men
跍到,ku'dao
苦毛子,ku'mao'zi
垮杆,kua'gan
快点儿,kuai'dian'er
诓人,kuang'ren
诓睡着,kuang'shui'zhao
阔到身上,kuo'dao'shen'shang
拉豁,la'huo
拉稀摆带,la'xi'bai'dai
来得陡,lai'de'dou
癞疙宝,lai'ge'bao
来尿狗儿,lai'niao'gou'er
癞皮狗儿,lai'pi'gou'er
懒虫子,lan'chong'zi
懒得烧蛇吃,lan'de'shao'she'chi
烂牙巴,lan'ya'ba
烂眼儿,lan'yan'er
烂帐,lan'zhang
拦中半腰,lan'zhong'ban'yao
啷呗儿,lang'bei'er
啷高,lang'gao
啷个,lang'ge
啷个嘛,lang'ge'ma
啷个起的,lang'ge'qi'de
啷块,lang'kuai
啷块起,lang'kuai'qi
捞粑,lao'ba
老巴子,lao'ba'zi
老庚,lao'geng
老哈,lao'ha
老汉,lao'han
老汉儿,lao'han'er
老坎,lao'kan
老坎儿,lao'kan'er
痨老水子,lao'lao'shui'zi
老练,lao'lian
老南桥,lao'nan'qiao
老牛吃嫩草,lao'niu'chi'nen'cao
老妞儿,lao'niu'er
捞前,lao'qian
捞轻,lao'qing
老人公,lao'ren'gong
老人婆,lao'ren'po
老水子,lao'shui'zi
痨死,lao'si
老太娘,lao'tai'niang
老太爷,lao'tai'ye
醪糟蛋,lao'zao'dan
老丈母,lao'zhang'mu
老丈人,lao'zhang'ren
老子,lao'zi
老嘴,lao'zui
肋巴骨,lei'ba'gu
冷飕飕,leng'sou'sou
例边,li'bian
李扯火,li'che'huo
理扯火,li'che'huo
梨儿,li'er
理抹,li'mo
连二杆,lian'er'gan
莲花白,lian'hua'bai
两耳屎,liang'er'shi
凉粉,liang'fen
亮火虫,liang'huo'chong
两娘母,liang'niang'mu
亮皮子,liang'pi'zi
亮爽,liang'shuang
凉席,liang'xi
两爷子,liang'ye'zi
列巴骨,lie'ba'gu
流鼻子,liu'bi'zi
绺倒不放,liu'dao'bu'fang
绺得紧,liu'de'jin
溜肩膀,liu'jian'bang
绺起,liu'qi
刘前进,liu'qian'jin
溜酸,liu'suan
龙拱车,long'gong'che
龙门阵,long'men'zhen
垄门子,long'men'zi
笼起,long'qi
瘘瘦,lou'shou
峦民,luan'min
卵子大,luan'zi'da
落教,luo'jiao
落气,luo'qi
螺丝骨,luo'si'gu
啰唣,luo'zao
码不实在,ma'bu'shi'zai
马倒,ma'dao
蚂嘟子,ma'du'zi
麻广广,ma'guang'guang
麻鬼哦,ma'gui'o
麻花,ma'hua
麻螂子,ma'lang'zi
马老壳,ma'lao'ke
麻了,ma'le
马连骨,ma'lian'gu
麻麻亮,ma'ma'liang
麻麻扎扎,ma'ma'zha'zha
马脑壳,ma'nao'ke
麻批,ma'pi
麻起,ma'qi
马起脸,ma'qi'lian
麻人,ma'ren
麻肉,ma'rou
麻汤,ma'tang
麻糖,ma'tang
麻尾,ma'wei
麻窝子,ma'wo'zi
麻炎儿,ma'yan'er
妈哟,ma'yo
麻杂,ma'za
麻扎,ma'zha
麻扎扎,ma'zha'zha
卖勾子,mai'gou'zi
慢慢摆,man'man'bai
莽莽,mang'mang
铓铓,mang'mang
莽起是整,mang'qi'shi'zheng
莽子,mang'zi
茅厕,mao'ce
猫儿狐,mao'er'hu
猫儿起,mao'er'qi
猫儿起麻起,mao'er'qi'ma'qi
猫儿灶狗,mao'er'zao'gou
茅房,mao'fang
毛根儿,mao'gen'er
冒火,mao'huo
毛焦火辣,mao'jiao'huo'la
毛了,mao'le
冒皮皮,mao'pi'pi
毛起,mao'qi
猫起,mao'qi
猫起麻起,mao'qi'ma'qi
猫煞,mao'sha
茅室,mao'shi
茅司,mao'si
毛脱,mao'tuo
毛血旺,mao'xue'wang
么姑娘,me'gu'niang
没得,mei'de
没得点样子,mei'de'dian'yang'zi
没得搞,mei'de'gao
没的抓拿,mei'de'zhua'na
没来头,mei'lai'tou
没老少,mei'lao'shao
霉老子,mei'lao'zi
煤油灯,mei'you'deng
煤油灯儿,mei'you'deng'er
没长醒,mei'zhang'xing
闷墩,men'dun
闷墩儿,men'dun'er
闷起,men'qi
闷生子,men'sheng'zi
梦脚,meng'jiao
密到脑壳弄哦,mi'dao'nao'ke'nong'o
米豆腐,mi'dou'fu
棉扯棉扯的,mian'che'mian'che'de
瞄到,miao'dao
蔑到,mie'dao
泯甜,min'tian
明儿天,ming'er'tian
明年个儿,ming'nian'ge'er
明年子,ming'nian'zi
明晚夕,ming'wan'xi
摸包包,mo'bao'bao
默倒,mo'dao
莫得,mo'de
莫得捞捞,mo'de'lao'lao
莫得抓拿,mo'de'zhua'na
默斗,mo'dou
摸搞,mo'gao
莫搞,mo'gao
莫慌,mo'huang
抹货,mo'huo
莫来头,mo'lai'tou
莫名隔儿,mo'ming'ge'er
莫奈何,mo'nai'he
磨皮擦痒,mo'pi'ca'yang
母母,mu'mu
哪百气,na'bai'qi
那才怪,na'cai'guai
哪个,na'ge
那关几,na'guan'ji
哪合儿,na'he'er
哪们,na'men
哪们喃,na'men'nan
哪们喃唵,na'men'nan'an
拿问,na'wen
拿问你,na'wen'ni
哪阵,na'zhen
奶汤面,nai'tang'mian
奶娃儿,nai'wa'er
奶娃娃,nai'wa'wa
难为你,nan'wei'ni
脑壳,nao'ke
脑壳有包,nao'ke'you'bao
脑壳有乒乓,nao'ke'you'ping'pang
闹麻了,nao'ma'le
呢儿,ne'er
恁个,nen'ge
你娃,ni'wa
你咋朗孔哦,ni'za'lang'kong'o
年晨个儿,nian'chen'ge'er
年晨子,nian'chen'zi
撵趟趟儿,nian'tang'tang'er
孃个儿,niang'ge'er
孃名堂,niang'ming'tang
孃孃,niang'niang
孃人,niang'ren
孃西,niang'xi
扭到废,niu'dao'fei
牛黄丸,niu'huang'wan
扭精,niu'jing
扭掐,niu'qia
扭骚,niu'sao
农二哥,nong'er'ge
弄归一,nong'gui'yi
弄你,nong'ni
弄孃,nong'niang
弄孃西,nong'niang'xi
弄死当睡着,nong'si'dang'shui'zhao
弄血沁,nong'xue'qin
女娃儿,nv'wa'er
哦豁,o'huo
怄人,ou'ren
耙耳朵,pa'er'duo
爬海,pa'hai
爬开,pa'kai
怕毛,pa'mao
爬哦,pa'o
爬远点,pa'yuan'dian
帕子,pa'zi
盘海,pan'hai
盘盘,pan'pan
滂臭,pang'chou
滂屎臭,pang'shi'chou
滂重,pang'zhong
泡菜,pao'cai
跑得脱,pao'de'tuo
跑得脱马脑壳,pao'de'tuo'ma'nao'ke
泡灯影儿,pao'deng'ying'er
泡少,pao'shao
呸死了,pei'si'le
胚一哈,pei'yi'ha
烹香,peng'xiang
疲打嘴歪,pi'da'zui'wai
屁儿,pi'er
批话,pi'hua
批话多,pi'hua'duo
批人,pi'ren
批噻来噻,pi'sai'lai'sai
批噻噻,pi'sai'sai
批酸壳掉,pi'suan'ke'diao
批酸刻调,pi'suan'ke'tiao
批酸尿酸,pi'suan'niao'suan
皮砣子盖脸,pi'tuo'zi'gai'lian
批我的教,pi'wo'de'jiao
片片鱼,pian'pian'yu
撇的很,pie'de'hen
撇火,pie'huo
撇火药,pie'huo'yao
撇脸,pie'lian
撇脱,pie'tuo
凭哪点,ping'na'dian
泼烦,po'fan
婆娘,po'niang
婆婆儿,po'po'er
铺盖,pu'gai
匍爬,pu'pa
匍爬跟斗儿,pu'pa'gen'dou'er
扑爬连颠,pu'pa'lian'dian
扑秋闷闲,pu'qiu'men'xian
起打猫儿心肠,qi'da'mao'er'xin'chang
棋柑,qi'gan
七拱八翘,qi'gong'ba'qiao
七姑娘,qi'gu'niang
起轰,qi'hong
奇麻子,qi'ma'zi
蜞蚂子,qi'ma'zi
七翘八拱,qi'qiao'ba'gong
齐甚,qi'shen
欺头,qi'tou
欠耳子,qian'er'zi
千烦,qian'fan
强头子,qiang'tou'zi
翘根,qiao'gen
翘根儿,qiao'gen'er
撬狗儿,qiao'gou'er
跷脚牛肉,qiao'jiao'niu'rou
荞面,qiao'mian
敲盘子,qiao'pan'zi
