澳科,ao'ke
秧鹤科,yang'he'ke
秧鸡科,yang'ji'ke
咬鹃科,yao'juan'ke
咬鹃目,yao'juan'mu
叶鹎科,ye'bei'ke
夜莺科,ye'ying'ke
夜鹰目,ye'ying'mu
蚁鸫科,yi'dong'ke
蚁鵙科,yi'ju'ke
莺科,ying'ke
鹰科,ying'ke
莺雀科,ying'que'ke
鹦鹉科,ying'wu'ke
鹦形目,ying'xing'mu
油鸱科,you'chi'ke
疣眼鹟科,you'yan'weng'ke
鹬科,yu'ke
雨燕科,yu'yan'ke
雨燕目,yu'yan'mu
园丁鸟科,yuan'ding'niao'ke
灶鸟科,zao'niao'ke
贼鸥科,zei'ou'ke
雉科,zhi'ke
织雀科,zhi'que'ke
钟鹊科,zhong'que'ke
塚雉科,zhong'zhi'ke
珠鸡科,zhu'ji'ke
啄果鸟科,zhuo'guo'niao'ke
啄花鸟科,zhuo'hua'niao'ke
啄木鸟科,zhuo'mu'niao'ke
籽鹬科,zi'yu'ke
棕榈科,zong'lv'ke
