阿里山鄉,a'li'shan'xiang
南投市,nan'tou'shi
南投縣,nan'tou'xuan
南屯區,nan'tun'qu
楠西區,nan'xi'qu
南州鄉,nan'zhou'xiang
南庄鄉,nan'zhuang'xiang
楠梓區,nan'zi'qu
內湖區,nei'hu'qu
內門區,nei'men'qu
內埔鄉,nei'pu'xiang
鳥松區,niao'song'qu
暖暖區,nuan'nuan'qu
澎湖,peng'hu
澎湖縣,peng'hu'xuan
埤頭鄉,pi'tou'xiang
屏東,ping'dong
屏東市,ping'dong'shi
屏東縣,ping'dong'xuan
坪林區,ping'lin'qu
平溪區,ping'xi'qu
平鎮市,ping'zhen'shi
埔里鎮,pu'li'zhen
埔心鄉,pu'xin'xiang
埔鹽鄉,pu'yan'xiang
朴子市,pu'zi'shi
七堵區,qi'du'qu
七股區,qi'gu'qu
旗津區,qi'jin'qu
七美鄉,qi'mei'xiang
旗山區,qi'shan'qu
前金區,qian'jin'qu
前鎮區,qian'zhen'qu
橋頭區,qiao'tou'qu
茄萣區,qie'ding'qu
清水區,qing'shui'qu
龜山鄉,qiu'shan'xiang
仁愛區,ren'ai'qu
仁愛鄉,ren'ai'xiang
仁德區,ren'de'qu
仁武區,ren'wu'qu
瑞芳區,rui'fang'qu
瑞穗鄉,rui'sui'xiang
三重區,san'chong'qu
三地門鄉,san'di'men'xiang
三民區,san'min'qu
三灣鄉,san'wan'xiang
三峽區,san'xia'qu
三星鄉,san'xing'xiang
三義鄉,san'yi'xiang
三芝區,san'zhi'qu
杉林區,sha'lin'qu
沙鹿區,sha'lu'qu
善化區,shan'hua'qu
山上區,shan'shang'qu
社頭鄉,she'tou'xiang
神岡區,shen'gang'qu
伸港鄉,shen'gang'xiang
深坑區,shen'keng'qu
石碇區,shi'ding'qu
石岡區,shi'gang'qu
士林區,shi'lin'qu
石門區,shi'men'qu
獅潭鄉,shi'tan'xiang
獅子鄉,shi'zi'xiang
壽豐鄉,shou'feng'xiang
樹林區,shu'lin'qu
雙溪區,shuang'xi'qu
水里鄉,shui'li'xiang
水林鄉,shui'lin'xiang
水上鄉,shui'shang'xiang
四湖鄉,si'hu'xiang
松山區,song'shan'qu
蘇澳鎮,su'ao'zhen
泰安鄉,tai'an'xiang
太保市,tai'bao'shi
台北,tai'bei
臺北,tai'bei
台北市,tai'bei'shi
臺北市,tai'bei'shi
台東,tai'dong
臺東,tai'dong
台東市,tai'dong'shi
臺東市,tai'dong'shi
台東縣,tai'dong'xuan
臺東縣,tai'dong'xuan
太麻里鄉,tai'ma'li'xiang
台南,tai'nan
臺南,tai'nan
台南市,tai'nan'shi
臺南市,tai'nan'shi
台南縣,tai'nan'xuan
太平區,tai'ping'qu
泰山區,tai'shan'qu
台灣,tai'wan
臺灣,tai'wan
泰武鄉,tai'wu'xiang
臺西鄉,tai'xi'xiang
台中,tai'zhong
臺中,tai'zhong
台中市,tai'zhong'shi
臺中市,tai'zhong'shi
台中縣,tai'zhong'xuan
潭子區,tan'zi'qu
桃園,tao'yuan
桃源區,tao'yuan'qu
桃園市,tao'yuan'shi
桃園縣,tao'yuan'xuan
田寮區,tian'liao'qu
田尾鄉,tian'wei'xiang
田中鎮,tian'zhong'zhen
銅鑼鄉,tong'luo'xiang
通霄鎮,tong'xiao'zhen
頭城鎮,tou'cheng'zhen
頭份鎮,tou'fen'zhen
頭屋鄉,tou'wu'xiang
土城區,tu'cheng'qu
土庫鎮,tu'ku'zhen
外埔區,wai'bu'qu
萬丹鄉,wan'dan'xiang
萬華區,wan'hua'qu
萬里區,wan'li'qu
萬巒鄉,wan'luan'xiang
萬榮鄉,wan'rong'xiang
望安鄉,wang'an'xiang
文山區,wen'shan'qu
霧峰區,wu'feng'qu
五峰鄉,wu'feng'xiang
五股區,wu'gu'qu
五結鄉,wu'jie'xiang
烏來區,wu'lai'qu
梧棲區,wu'qi'qu
烏坵鄉,wu'qiu'xiang
烏日區,wu'ri'qu
霧臺鄉,wu'tai'xiang
西港區,xi'gang'qu
西湖鄉,xi'hu'xiang
溪湖鎮,xi'hu'zhen
溪口鄉,xi'kou'xiang
西螺鎮,xi'luo'zhen
西區,xi'qu
西屯區,xi'tun'qu
西嶼鄉,xi'yu'xiang
汐止區,xi'zhi'qu
溪州鄉,xi'zhou'xiang
下營區,xia'ying'qu
線西鄉,xian'xi'xiang
香山區,xiang'shan'qu
小港區,xiao'gang'qu
新北,xin'bei
新北市,xin'bei'shi
新城鄉,xin'cheng'xiang
新店區,xin'dian'qu
新豐鄉,xin'feng'xiang
新港鄉,xin'gang'xiang
新化區,xin'hua'qu
新埤鄉,xin'pi'xiang
新埔鎮,xin'pu'zhen
新社區,xin'she'qu
新市區,xin'shi'qu
新屋鄉,xin'wu'xiang
新興區,xin'xing'qu
信義區,xin'yi'qu
信義鄉,xin'yi'xiang
新營區,xin'ying'qu
新園鄉,xin'yuan'xiang
新竹,xin'zhu
新竹市,xin'zhu'shi
新竹縣,xin'zhu'xuan
新莊區,xin'zhuang'qu
芎林鄉,xiong'lin'xiang
秀林鄉,xiu'lin'xiang
秀水鄉,xiu'shui'xiang
學甲區,xue'jia'qu
燕巢區,yan'chao'qu
鹽埕區,yan'cheng'qu
延平鄉,yan'ping'xiang
鹽埔鄉,yan'pu'xiang
鹽水區,yan'shui'qu
楊梅市,yang'mei'shi
宜蘭,yi'lan
宜蘭市,yi'lan'shi
宜蘭縣,yi'lan'xuan
義竹鄉,yi'zhu'xiang
鶯歌區,ying'ge'qu
永安區,yong'an'qu
永和區,yong'he'qu
永靖鄉,yong'jing'xiang
永康區,yong'kang'qu
魚池鄉,yu'chi'xiang
玉井區,yu'jing'qu
玉里鎮,yu'li'zhen
元長鄉,yuan'chang'xiang
苑裡鎮,yuan'li'zhen
雲林,yun'lin
雲林縣,yun'lin'xuan
員林鎮,yun'lin'zhen
員山鄉,yun'shan'xiang
造橋鄉,zao'qiao'xiang
彰化,zhang'hua
彰化市,zhang'hua'shi
彰化縣,zhang'hua'xuan
中和區,zhong'he'qu
中壢市,zhong'li'shi
中寮鄉,zhong'liao'xiang
中埔鄉,zhong'pu'xiang
中區,zhong'qu
中山區,zhong'shan'qu
中西區,zhong'xi'qu
中正區,zhong'zheng'qu
竹北市,zhu'bei'shi
竹東鎮,zhu'dong'zhen
竹南鎮,zhu'nan'zhen
竹崎鄉,zhu'qi'xiang
竹山鎮,zhu'shan'zhen
竹塘鄉,zhu'tang'xiang
竹田鄉,zhu'tian'xiang
壯圍鄉,zhuang'wei'xiang
卓蘭鎮,zhuo'lan'zhen
卓溪鄉,zhuo'xi'xiang
梓官區,zi'guan'qu
左營區,zuo'ying'qu
左鎮區,zuo'zhen'qu
