阿党附益,a'dang'fu'yi
大中刑律统类,da'zhong'xing'lv'tong'lei
大总统选举法,da'zong'tong'xuan'ju'fa
大宗正府,da'zong'zheng'fu
戴炎辉,dai'yan'hui
党员背誓罪条例,dang'yuan'bei'shi'zui'tiao'li
盗法,dao'fa
盗律,dao'lv
盗贼重法,dao'zei'zhong'fa
德主刑辅,de'zhu'xing'fu
登闻鼓,deng'wen'gu
登闻鼓院,deng'wen'gu'yuan
邓析,deng'xi
地方审判厅,di'fang'shen'pan'ting
典客,dian'ke
佃农保护法,dian'nong'bao'hu'fa
殿院,dian'yuan
动员戡乱时期临时条款,dong'yuan'kan'luan'shi'qi'lin'shi'tiao'kuan
斗杀,dou'sha
斗讼,dou'song
都察院,du'cha'yuan
都察院则例,du'cha'yuan'ze'li
笃疾,du'ji
读鞫,du'ju
读律佩觽,du'lv'pei'wei
都指挥使,du'zhi'hui'shi
都指挥使司,du'zhi'hui'shi'si
断例,duan'li
断事官,duan'shi'guan
断狱,duan'yu
夺爵,duo'jue
恶逆,e'ni
二千石,er'qian'shi
耳听,er'ting
法经,fa'jing
法经六篇,fa'jing'liu'pian
法例,fa'li
法理派,fa'li'pai
法令由一统,fa'ling'you'yi'tong
法律答问,fa'lv'da'wen
发遣,fa'qian
法术势综合而治,fa'shu'shi'zong'he'er'zhi
法无明文规定不处罚,fa'wu'ming'wen'gui'ding'bu'chu'fa
法无明文规定不为罪,fa'wu'ming'wen'gui'ding'bu'wei'zui
法院编制法,fa'yuan'bian'zhi'fa
番例条款,fan'li'tiao'kuan
反省制度,fan'xing'zhi'du
范忠信,fan'zhong'xin
反坐,fan'zuo
废除肉刑,fei'chu'rou'xing
废分封,fei'fen'feng
非公室告,fei'gong'shi'gao
废疾,fei'ji
非眚,fei'sheng
剕刑,fei'xing
非终,fei'zhong
焚书令,fen'shu'ling
风宪宏纲,feng'xian'hong'gang
封诊式,feng'zhen'shi
傅别,fu'bie
附会汉法,fu'hui'han'fa
复决权,fu'jue'quan
傅律,fu'lv
赋役全书,fu'yi'quan'shu
服制,fu'zhi
改订商律草案,gai'ding'shang'lv'cao'an
改法为律,gai'fa'wei'lv
冈田朝太郎,gang'tian'chao'tai'lang
高等法院,gao'deng'fa'yuan
告劾,gao'he
高鸿钧,gao'hong'jun
高级审判厅,gao'ji'shen'pan'ting
高丽律,gao'li'lv
格后敕,ge'hou'chi
更犯,geng'fan
公布成文法,gong'bu'cheng'wen'fa
共产党人自首法,gong'chan'dang'ren'zi'shou'fa
公车司法猎律,gong'che'si'fa'lie'lv
工律,gong'lv
工农民主共和国,gong'nong'min'zhu'gong'he'guo
工人程,gong'ren'cheng
公示催告程序,gong'shi'cui'gao'cheng'xu
公室告,gong'shi'gao
公司律,gong'si'lv
公罪,gong'zui
故杀,gu'sha
辜限,gu'xian
官当,guan'dang
观审劝,guan'shen'quan
关市律,guan'shi'lv
鬼薪,gui'xin
国会组织法,guo'hui'zu'zhi'fa
国籍条例,guo'ji'tiao'li
国民政府组织法,guo'min'zheng'fu'zu'zhi'fa
过失杀,guo'shi'sha
国务院官制,guo'wu'yuan'guan'zhi
汉律,han'lv
汉律六十篇,han'lv'liu'shi'pian
行纪,hang'ji
何勤华,he'qin'hua
后魏律,hou'wei'lv
户婚,hu'hun
户绝,hu'jue
忽里台大会,hu'li'tai'da'hui
户律,hu'lv
化外人,hua'wai'ren
化外人相犯,hua'wai'ren'xiang'fan
缓决,huan'jue
圜土,huan'tu
换推,huan'tui
黄秉心,huang'bing'xin
皇统制,huang'tong'zhi
会官审录,hui'guan'shen'lu
回疆则例,hui'jiang'ze'li
会审公廨,hui'shen'gong'xie
会审权,hui'shen'quan
贿选宪法,hui'xuan'xian'fa
活卖,huo'mai
脊杖,ji'zhang
枷号,jia'hao
嘉石,jia'shi
加役流,jia'yi'liu
建国大纲,jian'guo'da'gang
监候,jian'hou
监临,jian'lin
监临主守盗,jian'lin'zhu'shou'dao
建隆编敕,jian'long'bian'chi
监守盗,jian'shou'dao
监守盗赃,jian'shou'dao'zang
谏议大夫,jian'yi'da'fu
见知故纵,jian'zhi'gu'zong
绞监候,jiao'jian'hou
绞立决,jiao'li'jue
解释例,jie'shi'li
金布律,jin'bu'lv
尽地力,jin'di'li
禁海,jin'hai
禁奸止过莫如重刑,jin'jian'zhi'guo'mo'ru'zhong'xing
矜老恤幼,jin'lao'xu'you
晋律,jin'lv
禁榷,jin'que
禁烟条例,jin'yan'tiao'li
禁约十二事,jin'yue'shi'er'shi
京察,jing'cha
井冈山土地法,jing'gang'shan'tu'di'fa
经略安抚使,jing'lue'an'fu'shi
厩库,jiu'ku
九礼,jiu'li
厩律,jiu'lv
纠问,jiu'wen
九刑,jiu'xing
厩苑律,jiu'yuan'lv
九章律,jiu'zhang'lv
具法,ju'fa
举劾,ju'he
具律,ju'lv
举轻明重,ju'qing'ming'zhong
具五刑,ju'wu'xing
鞫谳分司,ju'yan'fen'si
鞫狱,ju'yu
举重明轻,ju'zhong'ming'qing
捐纳,juan'na
绝卖,jue'mai
决事比,jue'shi'bi
均工律,jun'gong'lv
钧金,jun'jin
军爵律,jun'jue'lv
君上大权,jun'shang'da'quan
均输平准,jun'shu'ping'zhun
君宪,jun'xian
开国会,kai'guo'hui
开皇,kai'huang
开皇律,kai'huang'lv
开元律,kai'yuan'lv
戡乱时期危害国家紧急治罪条例,kan'luan'shi'qi'wei'hai'guo'jia'jin'ji'zhi'zui'tiao'li
抗告,kang'gao
抗告程序,kang'gao'cheng'xu
抗日救国十大纲领,kang'ri'jiu'guo'shi'da'gang'ling
考课,kao'ke
考试权,kao'shi'quan
可矜,ke'jin
宽宥,kuan'you
髡剃,kun'ti
髡刑,kun'xing
礼不下庶人刑不上大夫,li'bu'xia'shu'ren'xing'bu'shang'da'fu
里长,li'chang
隶臣妾,li'chen'qie
礼法之争,li'fa'zhi'zheng
理藩院则例,li'fan'yuan'ze'li
吏律,li'lv
礼律,li'lv
礼治派,li'zhi'pai
李钟声,li'zhong'sheng
两造,liang'zao
临时约法,lin'shi'yue'fa
临时政府组织大纲,lin'shi'zheng'fu'zu'zhi'da'gang
林咏荣,lin'yong'rong
麟趾格,lin'zhi'ge
六部处分则例,liu'bu'chu'fen'ze'li
六法,liu'fa
六法全书,liu'fa'quan'shu
六科给事中,liu'ke'ji'shi'zhong
六礼,liu'li
六杀,liu'sha
留司格,liu'si'ge
留养承祀,liu'yang'cheng'si
六赃,liu'zang
隆礼重法,long'li'zhong'fa
录囚,lu'qiu
录囚制度,lu'qiu'zhi'du
论心定罪,lun'xin'ding'zui
律博士,lv'bo'shi
律令格式,lv'ling'ge'shi
律令科比,lv'ling'ke'bi
律疏,lv'shu
吕刑,lv'xing
律学,lv'xue
马锡五,ma'xi'wu
马锡五审判方式,ma'xi'wu'shen'pan'fang'shi
马小红,ma'xiao'hong
茆门法,mao'men'fa
蒙古律例,meng'gu'lv'li
苗犯处分例,miao'fan'chu'fen'li
苗疆事宜,miao'jiang'shi'yi
民律,min'lv
民商合一,min'shang'he'yi
民事诉讼律草案,min'shi'su'song'lv'cao'an
明昌律义,ming'chang'lv'yi
明大诰,ming'da'gao
明德慎罚,ming'de'shen'fa
明法科,ming'fa'ke
明会典,ming'hui'dian
名例,ming'li
莫急于盗贼,mo'ji'yu'dao'zei
墨刑,mo'xing
谋大逆,mou'da'ni
谋反,mou'fan
谋叛,mou'pan
幕吏,mu'li
目听,mu'ting
纳采,na'cai
纳吉,na'ji
纳徵,na'zheng
内乱,nei'luan
内史省,nei'shi'sheng
内史杂,nei'shi'za
牛羊课,niu'yang'ke
平籴法,ping'di'fa
破产律,po'chan'lv
仆区法,pu'ou'fa
七出,qi'chu
七出三不去,qi'chu'san'bu'qu
齐衰,qi'cui
乞鞫,qi'ju
七去,qi'qu
七去三不去,qi'qu'san'bu'qu
弃市,qi'shi
气听,qi'ting
浅井虎夫,qian'jing'hu'fu
前贫贱后富贵,qian'pin'jian'hou'fu'gui
黔首,qian'shou
强盗赃,qiang'dao'zang
窃盗,qie'dao
窃盗赃,qie'dao'zang
钦定工部则例,qin'ding'gong'bu'ze'li
钦定户部则例,qin'ding'hu'bu'ze'li
钦定吏部处分则例,qin'ding'li'bu'chu'fen'ze'li
钦定吏部则例,qin'ding'li'bu'ze'li
钦定礼部则例,qin'ding'li'bu'ze'li
钦定台规,qin'ding'tai'gui
钦定西藏章程,qin'ding'xi'zang'zhang'cheng
钦定宪法大纲,qin'ding'xian'fa'da'gang
钦定行政纲目,qin'ding'xing'zheng'gang'mu
钦定中枢政考,qin'ding'zhong'shu'zheng'kao
秦律,qin'lv
秦律十八种,qin'lv'shi'ba'zhong
秦律杂抄,qin'lv'za'chao
亲亲得相首匿,qin'qin'de'xiang'shou'ni
亲亲尊尊,qin'qin'zun'zun
亲迎,qin'ying
黥面,qing'mian
清末修律,qing'mo'xiu'lv
请期,qing'qi
请赇,qing'qiu
情实,qing'shi
庆元条法事类,qing'yuan'tiao'fa'shi'lei
秋冬行刑,qiu'dong'xing'xing
囚法,qiu'fa
秋官大司寇,qiu'guan'da'si'kou
囚律,qiu'lv
秋审,qiu'shen
秋审条例,qiu'shen'tiao'li
秋审制度,qiu'shen'zhi'du
曲赦,qu'she
瞿同祖,qu'tong'zu
驱逐鞑虏,qu'zhu'da'lu
权能分治,quan'neng'fen'zhi
热审,re'shen
仁井田陞,ren'jing'tian'sheng
入罪,ru'zui
散颁格,san'ban'ge
三不去,san'bu'qu
三法司,san'fa'si
三级三审制,san'ji'san'shen'zhi
三老,san'lao
三谋,san'mou
三司会审,san'si'hui'shen
三司推事,san'si'tui'shi
啬夫,se'fu
色听,se'ting
陕甘宁边区施政纲领,shan'gan'ning'bian'qu'shi'zheng'gang'ling
陕甘宁边区宪法原则,shan'gan'ning'bian'qu'xian'fa'yuan'ze
擅兴,shan'xing
上告,shang'gao
商律,shang'lv
商人通例,shang'ren'tong'li
上诉程序,shang'su'cheng'xu
烧埋银,shao'mai'yin
社会防卫主义,she'hui'fang'wei'zhu'yi
设议院,she'yi'yuan
身份刑,shen'fen'xing
沈家本,shen'jia'ben
审检合署,shen'jian'he'shu
申明亭,shen'ming'ting
神判,shen'pan
审判分离,shen'pan'fen'li
审判厅,shen'pan'ting
审刑院,shen'xing'yuan
事断于法,shi'duan'yu'fa
十九信条,shi'jiu'xin'tiao
十三州部,shi'san'zhou'bu
士师,shi'shi
什伍,shi'wu
受财不枉法赃,shou'cai'bu'wang'fa'zang
受财枉法赃,shou'cai'wang'fa'zang
受命于天,shou'ming'yu'tian
首匿,shou'ni
受所监临财物赃,shou'suo'jian'lin'cai'wu'zang
受所监临赃,shou'suo'jian'lin'zang
属邦律,shu'bang'lv
戍律,shu'lv
束矢,shu'shi
赎刑,shu'xing
疏议,shu'yi
书状,shu'zhuang
帅司,shuai'si
睡虎地秦墓竹简,shui'hu'di'qin'mu'zhu'jian
司法参军,si'fa'can'jun
司法参军事,si'fa'can'jun'shi
司法行政部,si'fa'xing'zheng'bu
司法佐,si'fa'zuo
司户参军,si'hu'can'jun
司户参军事,si'hu'can'jun'shi
司户佐,si'hu'zuo
四级三审制,si'ji'san'shen'zhi
司空律,si'kong'lv
缌麻,si'ma
四善二十七最,si'shan'er'shi'qi'zui
寺田浩明,si'tian'hao'ming
死刑复奏,si'xing'fu'zou
私罪,si'zui
松冈义正,song'gang'yi'zheng
宋建隆重详定刑统,song'jian'long'zhong'xiang'ding'xing'tong
宋刑统,song'xing'tong
肃政廉访使,su'zheng'lian'fang'shi
肃政廉访使司,su'zheng'lian'fang'shi'si
台规,tai'gui
泰和律义,tai'he'lv'yi
台谏,tai'jian
台谏官,tai'jian'guan
台谏合一,tai'jian'he'yi
太平兴国编敕,tai'ping'xing'guo'bian'chi
泰始律,tai'shi'lv
台院,tai'yuan
唐格,tang'ge
唐令,tang'ling
唐令拾遗,tang'ling'shi'yi
唐六典,tang'liu'dian
唐律疏义,tang'lv'shu'yi
唐律疏议,tang'lv'shu'yi
唐式,tang'shi
汤刑,tang'xing
棠阴比事,tang'yin'bi'shi
特别诉讼程序,te'bie'su'song'cheng'xu
提点刑狱司,ti'dian'xing'yu'si
提举常平使,ti'ju'chang'ping'shi
提刑按察使,ti'xing'an'cha'shi
提萦,ti'ying
提萦救父,ti'ying'jiu'fu
天罚,tian'fa
田律,tian'lv
天圣编敕,tian'sheng'bian'chi
天坛宪草,tian'tan'xian'cao
调处息讼,tiao'chu'xi'song
条法,tiao'fa
条法事类,tiao'fa'shi'lei
条格,tiao'ge
廷尉卿,ting'wei'qing
廷行事,ting'xing'shi
廷杖,ting'zhang
同居共炊,tong'ju'gong'chui
同居相隐不为罪,tong'ju'xiang'yin'bu'wei'zui
同姓不婚,tong'xing'bu'hun
通政使,tong'zheng'shi
通政使司,tong'zheng'shi'si
通制条格,tong'zhi'tiao'ge
同罪异罚,tong'zui'yi'fa
推恩令,tui'en'ling
推勘院,tui'kan'yuan
屯表律,tun'biao'lv
臀杖,tun'zhang
王宠惠,wang'chong'hui
枉法赃,wang'fa'zang
王者之政,wang'zhe'zhi'zheng
王者之政莫急于盗贼,wang'zhe'zhi'zheng'mo'ji'yu'dao'zei
违反教令,wei'fan'jiao'ling
卫禁,wei'jin
为吏之道,wei'li'zhi'dao
卫尉,wei'wei
尉杂律,wei'za'lv
问名,wen'ming
问刑条例,wen'xing'tiao'li
窝藏重法,wo'cang'zhong'fa
五城察院,wu'cheng'cha'yuan
五大臣出洋考察宪政,wu'da'chen'chu'yang'kao'cha'xian'zheng
武德律,wu'de'lv
无夫奸,wu'fu'jian
诬告反坐,wu'gao'fan'zuo
五礼,wu'li
务期中外通行,wu'qi'zhong'wai'tong'xing
五权宪法,wu'quan'xian'fa
武树臣,wu'shu'chen
五听,wu'ting
五五宪草,wu'wu'xian'cao
务限,wu'xian
五刑,wu'xing
熙宁改制,xi'ning'gai'zhi
西宁青海番夷成例,xi'ning'qing'hai'fan'yi'cheng'li
戏杀,xi'sha
西藏通制,xi'zang'tong'zhi
宪草,xian'cao
咸平编敕,xian'ping'bian'chi
宪司,xian'si
宪台格例,xian'tai'ge'li
现行刑律,xian'xing'xing'lv
咸雍条制,xian'yong'tiao'zhi
象刑,xiang'xing
小功,xiao'gong
小河滋次郎,xiao'he'zi'ci'lang
效律,xiao'lv
小司寇,xiao'si'kou
新律,xin'lv
新律十八篇,xin'lv'shi'ba'pian
新刑律,xin'xing'lv
刑鼎,xing'ding
刑罚世轻世重,xing'fa'shi'qing'shi'zhong
刑法志,xing'fa'zhi
兴国土地法,xing'guo'tu'di'fa
兴律,xing'lv
刑名,xing'ming
刑事民事诉讼法,xing'shi'min'shi'su'song'fa
刑事诉讼律草案,xing'shi'su'song'lv'cao'an
刑书,xing'shu
行书律,xing'shu'lv
刑统,xing'tong
刑无等级,xing'wu'deng'ji
刑狱,xing'yu
刑制改革,xing'zhi'gai'ge
行中书省,xing'zhong'shu'sheng
修订法律大臣,xiu'ding'fa'lv'da'chen
修律,xiu'lv
修律馆,xiu'lv'guan
徐道邻,xu'dao'lin
恤刑,xu'xing
徐朝阳,xu'zhao'yang
徐忠明,xu'zhong'ming
宣示预备立宪先行厘定官制谕,xuan'shi'yu'bei'li'xian'xian'xing'li'ding'guan'zhi'yu
巡回审判,xun'hui'shen'pan
训政纲领,xun'zheng'gang'ling
杨鸿烈,yang'hong'lie
养老律令,yang'lao'lv'ling
杨一凡,yang'yi'fan
徭律,yao'lv
以卑犯尊,yi'bei'fan'zun
议宾,yi'bin
一断于法,yi'duan'yu'fa
以格代科,yi'ge'dai'ke
议功,yi'gong
议故,yi'gu
议贵,yi'gui
义绝,yi'jue
以礼入法,yi'li'ru'fa
义利双行,yi'li'shuang'xing
议能,yi'neng
议亲,yi'qin
议勤,yi'qin
议贤,yi'xian
劓刑,yi'xing
以刑为主,yi'xing'wei'zhu
疑狱,yi'yu
一准乎礼,yi'zhun'hu'li
以尊犯卑,yi'zun'fan'bei
引经决狱,yin'jing'jue'yu
引礼入法,yin'li'ru'fa
引礼入律,yin'li'ru'lv
永佃,yong'dian
永佃权,yong'dian'quan
永徽律,yong'hui'lv
永徽律疏,yong'hui'lv'shu
用刑持平,yong'xing'chi'ping
用夷变夏,yong'yi'bian'xia
游徼,you'jiao
游士律,you'shi'lv
有所取无所归,you'suo'qu'wu'suo'gui
预备立宪,yu'bei'li'xian
与更三年丧,yu'geng'san'nian'sang
俞荣根,yu'rong'gen
御史台,yu'shi'tai
狱讼,yu'song
禹刑,yu'xing
御制大诰,yu'zhi'da'gao
御制大诰三编,yu'zhi'da'gao'san'bian
御制大诰续编,yu'zhi'da'gao'xu'bian
元典章,yuan'dian'zhang
远恶军州,yuan'e'jun'zhou
缘法而治,yuan'fa'er'zhi
元丰敕令格式,yuan'feng'chi'ling'ge'shi
圆审,yuan'shen
爰书,yuan'shu
原心定罪,yuan'xin'ding'zui
缘坐,yuan'zuo
越宫律,yue'gong'lv
越级诉讼,yue'ji'su'song
刖刑,yue'xing
杂抵,za'di
杂法,za'fa
杂律,za'lv
再审程序,zai'shen'cheng'xu
暂行新刑律,zan'xing'xin'xing'lv
暂行章程,zan'xing'zhang'cheng
造畜蛊毒,zao'chu'gu'du
则例,ze'li
贼盗,zei'dao
贼法,zei'fa
贼律,zei'lv
扎撒,zha'sa
诈伪,zha'wei
斩衰,zhan'cui
斩监候,zhan'jian'hou
斩立决,zhan'li'jue
张斐,zhang'fei
张晋藩,zhang'jin'fan
张金鉴,zhang'jin'jian
杖杀,zhang'sha
张中秋,zhang'zhong'qiu
赵禹,zhao'yu
折狱,zhe'yu
折狱龟鉴,zhe'yu'gui'jian
折杖法,zhe'zhang'fa
贞观律,zhen'guan'lv
政制,zheng'zhi
质剂,zhi'ji
制勘院,zhi'kan'yuan
置吏律,zhi'li'lv
治权,zhi'quan
直诉,zhi'su
治粟内史,zhi'su'nei'shi
直诉制度,zhi'su'zhi'du
志田钾太郎,zhi'tian'jia'tai'lang
至元新格,zhi'yuan'xin'ge
至正条格,zhi'zheng'tiao'ge
职制,zhi'zhi
重大信条十九条,zhong'da'xin'tiao'shi'jiu'tiao
重典治吏,zhong'dian'zhi'li
重典治世,zhong'dian'zhi'shi
重法,zhong'fa
中国民法史,zhong'guo'min'fa'shi
中国土地法大纲,zhong'guo'tu'di'fa'da'gang
中国刑法史,zhong'guo'xing'fa'shi
中华法系,zhong'hua'fa'xi
中华民国临时约法,zhong'hua'min'guo'lin'shi'yue'fa
中华民国民法,zhong'hua'min'guo'min'fa
中华民国宪法,zhong'hua'min'guo'xian'fa
中华民国宪法草案,zhong'hua'min'guo'xian'fa'cao'an
中华民国刑法,zhong'hua'min'guo'xing'fa
中华民国训政时期约法,zhong'hua'min'guo'xun'zheng'shi'qi'yue'fa
中华民国约法,zhong'hua'min'guo'yue'fa
中华苏维埃共和国婚姻法,zhong'hua'su'wei'ai'gong'he'guo'hun'yin'fa
中华苏维埃共和国土地法,zhong'hua'su'wei'ai'gong'he'guo'tu'di'fa
中华苏维埃共和国宪法大纲,zhong'hua'su'wei'ai'gong'he'guo'xian'fa'da'gang
中劳律,zhong'lao'lv
重熙条制,zhong'xi'tiao'zhi
重刑轻罪,zhong'xing'qing'zui
重刑主义,zhong'xing'zhu'yi
重杖,zhong'zhang
重罪十条,zhong'zui'shi'tiao
州部,zhou'bu
州部刺史,zhou'bu'ci'shi
逐级诉讼,zhu'ji'su'song
朱苏力,zhu'su'li
猪仔国会,zhu'zai'guo'hui
诸子均分,zhu'zi'jun'fen
转运使,zhuan'yun'shi
准五服以制罪,zhun'wu'fu'yi'zhi'zui
子产铸刑鼎,zi'chan'zhu'xing'ding
滋贺秀三,zi'he'xiu'san
子孙违犯教令,zi'sun'wei'fan'jiao'ling
咨议局,zi'yi'ju
谘议局,zi'yi'ju
资政院院章,zi'zheng'yuan'yuan'zhang
总管府,zong'guan'fu
奏谳,zou'yan
奏谳书,zou'yan'shu
族刑,zu'xing
祖宗之法,zu'zong'zhi'fa
罪罚相当,zui'fa'xiang'dang
最高法院,zui'gao'fa'yuan
罪疑从赦,zui'yi'cong'she
左官律,zuo'guan'lv
坐赃,zuo'zang
