阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
凌波睥天琛,ling'bo'pi'tian'chen
令伯支离晚读书,ling'bo'zhi'li'wan'du'shu
灵潮若可通,ling'chao'ruo'ke'tong
凌冬舍温裘,ling'dong'she'wen'qiu
灵怪问舟人,ling'guai'wen'zhou'ren
凌寒特地来,ling'han'te'di'lai
菱花覆碧渚,ling'hua'fu'bi'zhu
菱花寒不落,ling'hua'han'bu'luo
灵鸡鼓舞承天赦,ling'ji'gu'wu'cheng'tian'she
灵津咽玉池,ling'jin'yan'yu'chi
灵槛如朝蜃,ling'kan'ru'chao'shen
灵空闻偈夜清净,ling'kong'wen'ji'ye'qing'jing
零泪和酒倾,ling'lei'he'jiu'qing
泠泠北去源,ling'ling'bei'qu'yuan
泠泠出禁频,ling'ling'chu'jin'pin
泠泠分雅郑,ling'ling'fen'ya'zheng
泠泠歌颂振雕盘,ling'ling'ge'song'zhen'diao'pan
泠泠送客回,ling'ling'song'ke'hui
零陵太守登车日,ling'ling'tai'shou'deng'che'ri
零陵太守泪盈巾,ling'ling'tai'shou'lei'ying'jin
泠泠无限意,ling'ling'wu'xian'yi
泠泠远风来,ling'ling'yuan'feng'lai
玲珑逼上清,ling'long'bi'shang'qing
伶俜道不行,ling'ping'dao'bu'xing
令人忆邵平,ling'ren'yi'shao'ping
灵山几处朝,ling'shan'ji'chu'chao
灵山石磬生海西,ling'shan'shi'qing'sheng'hai'xi
灵山重结因,ling'shan'zhong'jie'yin
陵霜之华,ling'shuang'zhi'hua
陵霜之华兮,ling'shuang'zhi'hua'xi
领我心之虔,ling'wo'xin'zhi'qian
灵溪宿处接灵山,ling'xi'su'chu'jie'ling'shan
灵仙已去空岩室,ling'xian'yi'qu'kong'yan'shi
灵响不可传,ling'xiang'bu'ke'chuan
灵香出凤麟,ling'xiang'chu'feng'lin
灵液孕山精,ling'ye'yun'shan'jing
岭阴无瘴疠,ling'yin'wu'zhang'li
灵岳固不殚,ling'yue'gu'bu'dan
灵芝产遐方,ling'zhi'chan'xia'fang
灵姿趋甲帐,ling'zi'qu'jia'zhang
六百年来选佛场,liu'bai'nian'lai'xuan'fo'chang
柳傍故营摧,liu'bang'gu'ying'cui
柳垂平泽雨,liu'chui'ping'ze'yu
留春春竟去,liu'chun'chun'jing'qu
留春为远方,liu'chun'wei'yuan'fang
流睇移芳宴,liu'di'yi'fang'yan
柳蠹风吹析,liu'du'feng'chui'xi
柳拂青楼花满衣,liu'fu'qing'lou'hua'man'yi
流膏为茯苓,liu'gao'wei'fu'ling
柳花冥濛大堤口,liu'hua'ming'meng'da'di'kou
留欢方继烛,liu'huan'fang'ji'zhu
留欢作限赊,liu'huan'zuo'xian'she
流回草蔓随,liu'hui'cao'man'sui
柳家汀洲孟冬月,liu'jia'ting'zhou'meng'dong'yue
六君成典册,liu'jun'cheng'dian'ce
留君醉一杯,liu'jun'zui'yi'bei
留客醉瑶琴,liu'ke'zui'yao'qin
流浪识交情,liu'lang'shi'jiao'qing
流浪已忘机,liu'lang'yi'wang'ji
六龙负日升天门,liu'long'fu'ri'sheng'tian'men
六龙扶御日,liu'long'fu'yu'ri
流年不尽人自老,liu'nian'bu'jin'ren'zi'lao
流年不可住,liu'nian'bu'ke'zhu
流年此会稀,liu'nian'ci'hui'xi
流年忽复新,liu'nian'hu'fu'xin
流年看共老,liu'nian'kan'gong'lao
流年苦滞淫,liu'nian'ku'zhi'yin
流年衰此世,liu'nian'shuai'ci'shi
六气不渝,liu'qi'bu'yu
六气铜浑转,liu'qi'tong'hun'zhuan
留琴明月前,liu'qin'ming'yue'qian
六寝盛皇情,liu'qin'sheng'huang'qing
留情此芳甸,liu'qing'ci'fang'dian
流泉咽不燥,liu'quan'yan'bu'zao
刘阮茫茫何处行,liu'ruan'mang'mang'he'chu'xing
流散俱多故,liu'san'ju'duo'gu
柳色邀欢似故人,liu'se'yao'huan'si'gu'ren
刘生曾任侠,liu'sheng'ceng'ren'xia
留诗千岁鹤,liu'shi'qian'sui'he
流水白云寻不尽,liu'shui'bai'yun'xun'bu'jin
流水不待人,liu'shui'bu'dai'ren
流水促行年,liu'shui'cu'xing'nian
流水带花香,liu'shui'dai'hua'xiang
流水到篱根,liu'shui'dao'li'gen
流水入洞天,liu'shui'ru'dong'tian
流水生涯尽,liu'shui'sheng'ya'jin
流水性长闲,liu'shui'xing'chang'xian
流水知行药,liu'shui'zhi'xing'yao
流水终天不向西,liu'shui'zhong'tian'bu'xiang'xi
柳寺春堤远,liu'si'chun'di'yuan
柳塘春水慢,liu'tang'chun'shui'man
柳塘薰昼日,liu'tang'xun'zhou'ri
柳条初放不禁寒,liu'tiao'chu'fang'bu'jin'han
柳条将白发,liu'tiao'jiang'bai'fa
柳条藤蔓系离情,liu'tiao'teng'wan'xi'li'qing
流听思氛氲,liu'ting'si'fen'yun
留我披胸衿,liu'wo'pi'xiong'jin
柳巷向陂斜,liu'xiang'xiang'bei'xie
刘歆不敢衒师儒,liu'xin'bu'gan'xuan'shi'ru
刘兄本知命,liu'xiong'ben'zhi'ming
柳絮替蚕绵,liu'xu'ti'can'mian
流血成丹川,liu'xue'cheng'dan'chuan
流血在麻衣,liu'xue'zai'ma'yi
柳映三桥发,liu'ying'san'qiao'fa
留与他人乐少年,liu'yu'ta'ren'le'shao'nian
刘桢病未瘳,liu'zhen'bing'wei'chou
留滞惜年芳,liu'zhi'xi'nian'fang
留中沃圣谟,liu'zhong'wo'sheng'mo
六州胡儿六蕃语,liu'zhou'hu'er'liu'bo'yu
六州又尽为胡丘,liu'zhou'you'jin'wei'hu'qiu
流转三千里,liu'zhuan'san'qian'li
龙池渐启津,long'chi'jian'qi'jin
龙宫月明光参差,long'gong'yue'ming'guang'cen'ci
笼翮或将舒,long'he'huo'jiang'shu
龙泓彻底沙布金,long'hong'che'di'sha'bu'jin
龙剑昔藏影,long'jian'xi'cang'ying
龙节随云水,long'jie'sui'yun'shui
龙静檀栾流,long'jing'tan'luan'liu
龙鳞今不逆,long'lin'jin'bu'ni
隆隆远鼓集渔商,long'long'yuan'gu'ji'yu'shang
泷路下丹徼,long'lu'xia'dan'jiao
龙门到恐迟,long'men'dao'kong'chi
龙门几共登,long'men'ji'gong'deng
龙门旧国遥,long'men'jiu'guo'yao
龙门跃旧鳞,long'men'yue'jiu'lin
龙盘馀帝宅,long'pan'yu'di'zhai
龙绕旌竿兽满旗,long'rao'jing'gan'shou'man'qi
陇塞俨然秋,long'sai'yan'ran'qiu
垄上流泉垄下分,long'shang'liu'quan'long'xia'fen
龙蛇腾盘兽屹立,long'she'teng'pan'shou'yi'li
龙首横天堰,long'shou'heng'tian'yan
陇水断人肠,long'shui'duan'ren'chang
陇水胡笳咽复通,long'shui'hu'jia'yan'fu'tong
龙王宫中水不足,long'wang'gong'zhong'shui'bu'zu
龙卧人宁识,long'wo'ren'ning'shi
陇西岐路足荒城,long'xi'qi'lu'zu'huang'cheng
龙向洞中衔雨出,long'xiang'dong'zhong'xian'yu'chu
龙绡荐玉编,long'xiao'jian'yu'bian
龙穴腥阴壑,long'xue'xing'yin'he
龙吟四泽欲兴雨,long'yin'si'ze'yu'xing'yu
龙影当泉落,long'ying'dang'quan'luo
陇月暗悠悠,long'yue'an'you'you
龙在形难掩,long'zai'xing'nan'yan
龙钟兼老病,long'zhong'jian'lao'bing
龙钟拾野蔬,long'zhong'shi'ye'shu
龙钟万里客,long'zhong'wan'li'ke
龙钟望所言,long'zhong'wang'suo'yan
露白菊氛氲,lou'bai'ju'fen'yun
漏残丹禁晚,lou'can'dan'jin'wan
楼船泛罢归犹早,lou'chuan'fan'ba'gui'you'zao
楼船非习战,lou'chuan'fei'xi'zhan
楼阁蜃云和,lou'ge'shen'yun'he
楼阁影缤纷,lou'ge'ying'bin'fen
楼居五云里,lou'ju'wu'yun'li
楼上美人相倚看,lou'shang'mei'ren'xiang'yi'kan
楼上凄凄暮角声,lou'shang'qi'qi'mu'jiao'sheng
楼上秦时镜,lou'shang'qin'shi'jing
楼上又无更,lou'shang'you'wu'geng
楼上诛姬笑,lou'shang'zhu'ji'xiao
楼台采翠远分明,lou'tai'cai'cui'yuan'fen'ming
楼台深翠微,lou'tai'shen'cui'wei
楼台映转华,lou'tai'ying'zhuan'hua
楼头俯首看,lou'tou'fu'shou'kan
陋巷无车辙,lou'xiang'wu'che'zhe
陋巷新晴后,lou'xiang'xin'qing'hou
蝼蚁制鳣鱏,lou'yi'zhi'zhan'xun
楼映月低弦,lou'ying'yue'di'xian
楼中美人夺神仙,lou'zhong'mei'ren'duo'shen'xian
楼中望见赤城标,lou'zhong'wang'jian'chi'cheng'biao
路暗红花林,lu'an'hong'hua'lin
路傍孤店闭柴扉,lu'bang'gu'dian'bi'chai'fei
路边五稼添膏长,lu'bian'wu'jia'tian'gao'chang
渌波何处是通津,lu'bo'he'chu'shi'tong'jin
露蚕开晚簇,lu'can'kai'wan'cu
露草覆寒蛩,lu'cao'fu'han'qiong
路出故园东,lu'chu'gu'yuan'dong
路出寒云外,lu'chu'han'yun'wai
陆地堪乘舟,lu'di'kan'cheng'zhou
露滴千家静,lu'di'qian'jia'jing
露繁光的皪,lu'fan'guang'de'bo
芦风候火微,lu'feng'hou'huo'wei
路逢泥泞阻,lu'feng'ni'ning'zu
路隔桃源归思迷,lu'ge'tao'yuan'gui'si'mi
卢公有盛名,lu'gong'you'sheng'ming
渌汗平铺洞庭水,lu'han'ping'pu'dong'ting'shui
露涵松翠湿,lu'han'song'cui'shi
露华滴秋湾,lu'hua'di'qiu'wan
芦花满眼秋,lu'hua'man'yan'qiu
露华偏湿蕊珠宫,lu'hua'pian'shi'rui'zhu'gong
路极水无边,lu'ji'shui'wu'bian
陆机为赋陆云诗,lu'ji'wei'fu'lu'yun'shi
露浆新下九霄盘,lu'jiang'xin'xia'jiu'xiao'pan
露槿已伤秋,lu'jin'yi'shang'qiu
露槿月中落,lu'jin'yue'zhong'luo
卢橘花开枫叶衰,lu'ju'hua'kai'feng'ye'shuai
绿林兵起结愁云,lu'lin'bing'qi'jie'chou'yun
庐陵太守近隳官,lu'ling'tai'shou'jin'hui'guan
辘轳一转一惆怅,lu'lu'yi'zhuan'yi'chou'chang
鹿鸣志丰草,lu'ming'zhi'feng'cao
露幕拥簪裾,lu'mu'yong'zan'ju
路难空计日,lu'nan'kong'ji'ri
泸南五将望君还,lu'nan'wu'jiang'wang'jun'hai
露凝朱弦绝,lu'ning'zhu'xian'jue
露盘长庆汉皇宫,lu'pan'chang'qing'han'huang'gong
露盘花水望三星,lu'pan'hua'shui'wang'san'xing
陆迁水济,lu'qian'shui'ji
路绕寒山人独去,lu'rao'han'shan'ren'du'qu
路绕升仙林,lu'rao'sheng'xian'lin
路人易相忘,lu'ren'yi'xiang'wang
露日映孤城,lu'ri'ying'gu'cheng
路入寒村机杼鸣,lu'ru'han'cun'ji'zhu'ming
露如轻雨月如霜,lu'ru'qing'yu'yue'ru'shuang
路入雨天深,lu'ru'yu'tian'shen
露洒长松六月凉,lu'sa'chang'song'liu'yue'liang
露色凝古坛,lu'se'ning'gu'tan
庐山道士夜携琴,lu'shan'dao'shi'ye'xie'qin
禄山入关关破年,lu'shan'ru'guan'guan'po'nian
禄山一微胡,lu'shan'yi'wei'hu
卢生富才术,lu'sheng'fu'cai'shu
露湿空山星汉明,lu'shi'kong'shan'xing'han'ming
路湿云初上,lu'shi'yun'chu'shang
卢叟醉言粗,lu'sou'zui'yan'cu
露桃秾李自成谿,lu'tao'nong'li'zi'cheng'ji
露下鸟初定,lu'xia'niao'chu'ding
路向此中难,lu'xiang'ci'zhong'nan
炉香诸洞暖,lu'xiang'zhu'dong'nuan
陆行巉岩水不前,lu'xing'chan'yan'shui'bu'qian
炉烟向暝深,lu'yan'xiang'ming'shen
露叶离披处,lu'ye'li'pi'chu
路与白云通,lu'yu'bai'yun'tong
鲈鱼消宦况,lu'yu'xiao'huan'kuang
路远征车迥,lu'yuan'zheng'che'jiong
路在寒沙上,lu'zai'han'sha'shang
虏在莫言家,lu'zai'mo'yan'jia
虏帐失山川,lu'zhang'shi'shan'chuan
露重色逾鲜,lu'zhong'se'yu'xian
露重猿声绝,lu'zhong'yuan'sheng'jue
芦洲隐遥嶂,lu'zhou'yin'yao'zhang
路自长沙忽相见,lu'zi'chang'sha'hu'xiang'jian
露足沙石裂,lu'zu'sha'shi'lie
乱丛萦弱蕙,luan'cong'ying'ruo'hui
鸾殿分阶翊彩旄,luan'dian'fen'jie'yi'cai'mao
乱坟松柏少,luan'fen'song'bai'shao
鸾凤栖翔固不同,luan'feng'qi'xiang'gu'bu'tong
鸾凤文章丽,luan'feng'wen'zhang'li
鸾凤相和鸣,luan'feng'xiang'he'ming
鸾歌凤吹动祥云,luan'ge'feng'chui'dong'xiang'yun
鸾鹤见无由,luan'he'jian'wu'you
鸾鹤交飞半空里,luan'he'jiao'fei'ban'kong'li
鸾鹤岂矜飞,luan'he'qi'jin'fei
鸾鹤自追随,luan'he'zi'zhui'sui
乱后少官僚,luan'hou'shao'guan'liao
乱离无处不伤情,luan'li'wu'chu'bu'shang'qing
乱流发通圃,luan'liu'fa'tong'pu
乱沤浮曲砌,luan'ou'fu'qu'qi
乱起联翩北向秦,luan'qi'lian'pian'bei'xiang'qin
乱泉观坐卧,luan'quan'guan'zuo'wo
乱却故人船,luan'que'gu'ren'chuan
乱山孤驿暮,luan'shan'gu'yi'mu
乱声千叶下,luan'sheng'qian'ye'xia
乱树通秦苑,luan'shu'tong'qin'yuan
乱藤穿井口,luan'teng'chuan'jing'kou
乱藤高竹水声深,luan'teng'gao'zhu'shui'sheng'shen
乱舞避寒灯,luan'wu'bi'han'deng
乱雪繁花千万重,luan'xue'fan'hua'qian'wan'zhong
乱燕入过云,luan'yan'ru'guo'yun
乱萤光熠熠,luan'ying'guang'yi'yi
鸾影月中销,luan'ying'yue'zhong'xiao
乱馀城郭怕经过,luan'yu'cheng'guo'pa'jing'guo
乱馀山水半凋残,luan'yu'shan'shui'ban'diao'can
銮舆应宝运,luan'yu'ying'bao'yun
乱猿心本定,luan'yuan'xin'ben'ding
乱云方至水,luan'yun'fang'zhi'shui
乱云收暮雨,luan'yun'shou'mu'yu
论边事亦沈,lun'bian'shi'yi'shen
沦波激石响,lun'bo'ji'shi'xiang
论法指莲花,lun'fa'zhi'lian'hua
纶阁九华前,lun'ge'jiu'hua'qian
论功此日多,lun'gong'ci'ri'duo
沦落向辰州,lun'luo'xiang'chen'zhou
论诗得建安,lun'shi'de'jian'an
轮势随天度,lun'shi'sui'tian'du
轮台望汉关,lun'tai'wang'han'guan
论文未有不相思,lun'wen'wei'you'bu'xiang'si
轮斜同覆辙,lun'xie'tong'fu'zhe
论心一日同,lun'xin'yi'ri'tong
轮辕岂自媒,lun'yuan'qi'zi'mei
沦照洞金碧,lun'zhao'dong'jin'bi
罗绷色欲妍,luo'beng'se'yu'yan
落池才有响,luo'chi'cai'you'xiang
落红乱逐东流水,luo'hong'luan'zhu'dong'liu'shui
落花飞絮成春梦,luo'hua'fei'xu'cheng'chun'meng
落花今夕思,luo'hua'jin'xi'si
落花绕树疑无影,luo'hua'rao'shu'yi'wu'ying
落花惹断游空丝,luo'hua're'duan'you'kong'si
落花溪水香,luo'hua'xi'shui'xiang
落泪沾素襟,luo'lei'zhan'su'jin
萝林落叶重,luo'lin'luo'ye'zhong
络马黄金辔,luo'ma'huang'jin'pei
落木东西别,luo'mu'dong'xi'bie
洛浦今何处,luo'pu'jin'he'chu
洛浦想江津,luo'pu'xiang'jiang'jin
罗绮屏,luo'qi'ping
洛桥浮逆水,luo'qiao'fu'ni'shui
落日边陲静,luo'ri'bian'chui'jing
落日别交亲,luo'ri'bie'jiao'qin
落日愁看旧紫泥,luo'ri'chou'kan'jiu'zi'ni
落日春草中,luo'ri'chun'cao'zhong
落日凤城佳气合,luo'ri'feng'cheng'jia'qi'he
落日过重霞,luo'ri'guo'zhong'xia
落日河边路,luo'ri'he'bian'lu
落日凭阑星满池,luo'ri'ping'lan'xing'man'chi
落日平原秋草中,luo'ri'ping'yuan'qiu'cao'zhong
落日稍沈城,luo'ri'shao'shen'cheng
落日深山伴侣稀,luo'ri'shen'shan'ban'lv'xi
落日望寒涛,luo'ri'wang'han'tao
落日香尘拥归骑,luo'ri'xiang'chen'yong'gui'qi
落日向林路,luo'ri'xiang'lin'lu
落日行人渐无路,luo'ri'xing'ren'jian'wu'lu
落日映危樯,luo'ri'ying'wei'qiang
落日照军营,luo'ri'zhao'jun'ying
落日照行尘,luo'ri'zhao'xing'chen
洛社自相依,luo'she'zi'xiang'yi
洛水潺湲夕照中,luo'shui'chan'yuan'xi'zhao'zhong
洛下秋声恐要知,luo'xia'qiu'sheng'kong'yao'zhi
洛下渠头百卉新,luo'xia'qu'tou'bai'hui'xin
洛下仍传箭,luo'xia'reng'chuan'jian
洛下知名早,luo'xia'zhi'ming'zao
洛阳才子访柴关,luo'yang'cai'zi'fang'chai'guan
洛阳宫观与天齐,luo'yang'gong'guan'yu'tian'qi
洛阳归老日,luo'yang'gui'lao'ri
洛阳岐路信悠悠,luo'yang'qi'lu'xin'you'you
洛阳士女皆驱将,luo'yang'shi'nv'jie'qu'jiang
洛阳桃李艳阳天,luo'yang'tao'li'yan'yang'tian
落叶花开总不知,luo'ye'hua'kai'zong'bu'zhi
落叶满阶尘满座,luo'ye'man'jie'chen'man'zuo
落叶秋砧一时起,luo'ye'qiu'zhen'yi'shi'qi
落叶如秋霖,luo'ye'ru'qiu'lin
落叶停高驾,luo'ye'ting'gao'jia
落叶又纷纷,luo'ye'you'fen'fen
萝影到林轩,luo'ying'dao'lin'xuan
落羽羞言命,luo'yu'xiu'yan'ming
萝月明盘石,luo'yue'ming'pan'shi
落照长杨苑,luo'zhao'chang'yang'yuan
落照金成柱,luo'zhao'jin'cheng'zhu
落纸惊风起,luo'zhi'jing'feng'qi
旅泊彼何夜,lv'bo'bi'he'ye
旅衬飘若遗,lv'chen'piao'ruo'yi
虑澹知生灭,lv'dan'zhi'sheng'mie
绿竿初长笋,lv'gan'chu'chang'sun
旅馆谁相问,lv'guan'shui'xiang'wen
旅馆又无灯,lv'guan'you'wu'deng
律合声虽应,lv'he'sheng'sui'ying
绿槐夹道阴初成,lv'huai'jia'dao'yin'chu'cheng
旅宦竟何如,lv'huan'jing'he'ru
旅棘有丛,lv'ji'you'cong
绿景开紫霞,lv'jing'kai'zi'xia
闾里欢将绝,lv'li'huan'jiang'jue
律历千年会,lv'li'qian'nian'hui
吕梁之水挂飞流,lv'liang'zhi'shui'gua'fei'liu
绿醽乍熟堪聊酌,lv'ling'zha'shu'kan'liao'zhuo
律吕更相宣,lv'lv'geng'xiang'xuan
旅梦虫催晓,lv'meng'chong'cui'xiao
绿蘋香客船,lv'pin'xiang'ke'chuan
绿萍藏废井,lv'ping'cang'fei'jing
绿砌红花树,lv'qi'hong'hua'shu
绿琴胡笳谁妙弹,lv'qin'hu'jia'shui'miao'tan
绿琴听古调,lv'qin'ting'gu'tiao
绿泉多草气,lv'quan'duo'cao'qi
旅舍当闲居,lv'she'dang'xian'ju
旅舍闻君听,lv'she'wen'jun'ting
旅食来江上,lv'shi'lai'jiang'shang
旅食谋归旋,lv'shi'mou'gui'xuan
绿树村边谢豹啼,lv'shu'cun'bian'xie'bao'ti
绿水青山虽似旧,lv'shui'qing'shan'sui'si'jiu
旅宿二陵寒,lv'su'er'ling'han
率土普天无不乐,lv'tu'pu'tian'wu'bu'le
屡忘鸥鸟情,lv'wang'ou'niao'qing
率舞感升平,lv'wu'gan'sheng'ping
率舞皆群辟,lv'wu'jie'qun'pi
吕仙祠下寒砧急,lv'xian'ci'xia'han'zhen'ji
旅行虽别路,lv'xing'sui'bie'lu
闾阎百战场,lv'yan'bai'zhan'chang
绿杨如荠绕江流,lv'yang'ru'ji'rao'jiang'liu
绿溢涵千仞,lv'yi'han'qian'ren
律仪通外学,lv'yi'tong'wai'xue
绿屿没馀烟,lv'yu'mei'yu'yan
马汗冻成霜,ma'han'dong'cheng'shuang
马迹穿云去,ma'ji'chuan'yun'qu
马羸三径外,ma'lei'san'jing'wai
马留苔藓迹,ma'liu'tai'xian'ji
马鹿遂颠倒,ma'lu'sui'dian'dao
马疲盘道峻,ma'pi'pan'dao'jun
马前已被红旗引,ma'qian'yi'bei'hong'qi'yin
马怯寒溪水深,ma'qie'han'xi'shui'shen
马色度关迷,ma'se'du'guan'mi
马上看山恐到家,ma'shang'kan'shan'kong'dao'jia
马首先春至,ma'shou'xian'chun'zhi
马踏春泥半是花,ma'ta'chun'ni'ban'shi'hua
马蹄蹴蹋层冰上,ma'ti'cu'ta'ceng'bing'shang
马无草,ma'wu'cao
麻衣逢雪暖,ma'yi'feng'xue'nuan
马依秋草病,ma'yi'qiu'cao'bing
买得青山拟独耕,mai'de'qing'shan'ni'du'geng
买得西山正值春,mai'de'xi'shan'zheng'zhi'chun
买赋何须问马卿,mai'fu'he'xu'wen'ma'qing
买符驱短辕,mai'fu'qu'duan'yuan
麦陇润冰渠,mai'long'run'bing'qu
麦苗渐长天苦晴,mai'miao'jian'chang'tian'ku'qing
埋没剑中生紫气,mai'mo'jian'zhong'sheng'zi'qi
麦秋桑叶大,mai'qiu'sang'ye'da
买山犹未得,mai'shan'you'wei'de
买书行几市,mai'shu'hang'ji'shi
埋玉泉深昼夜长,mai'yu'quan'shen'zhou'ye'chang
满朝谁不念琼枝,man'chao'shui'bu'nian'qiong'zhi
满城春树雨濛濛,man'cheng'chun'shu'yu'meng'meng
满城无至亲,man'cheng'wu'zhi'qin
满池荷叶动秋风,man'chi'he'ye'dong'qiu'feng
满处侵苔色,man'chu'qin'tai'se
慢处声迟情更多,man'chu'sheng'chi'qing'geng'duo
满川风景接襄州,man'chuan'feng'jing'jie'xiang'zhou
满川风露清,man'chuan'feng'lu'qing
满船商客有归心,man'chuan'shang'ke'you'gui'xin
满船闻曙鸡,man'chuan'wen'shu'ji
满地白云关不住,man'di'bai'yun'guan'bu'zhu
满地霜芜叶下枝,man'di'shuang'wu'ye'xia'zhi
满湖青草雁声春,man'hu'qing'cao'yan'sheng'chun
满禁碧濛濛,man'jin'bi'meng'meng
满卷多好诗,man'juan'duo'hao'shi
满轮当苑桂多香,man'lun'dang'yuan'gui'duo'xiang
漫漫东流水,man'man'dong'liu'shui
漫漫复苍苍,man'man'fu'cang'cang
漫漫汗汗一笔耕,man'man'han'han'yi'bi'geng
满目鸱鸢奈尔何,man'mu'chi'yuan'nai'er'he
满目山阳笛里人,man'mu'shan'yang'di'li'ren
满箧阅新作,man'qie'yue'xin'zuo
曼声流睇,man'sheng'liu'di
满堂萧瑟如穷边,man'tang'xiao'se'ru'qiong'bian
满庭黄叶闭门时,man'ting'huang'ye'bi'men'shi
满庭惟有月,man'ting'wei'you'yue
满席罗金琼,man'xi'luo'jin'qiong
满箱歌舞衣,man'xiang'ge'wu'yi
蛮乡入洞深,man'xiang'ru'dong'shen
满崖霜树晓斑斑,man'ya'shuang'shu'xiao'ban'ban
满眼儿孙身外事,man'yan'er'sun'shen'wai'shi
满筵歌笑独伤春,man'yan'ge'xiao'du'shang'chun
满眼起风砂,man'yan'qi'feng'sha
满眼塞山青,man'yan'sai'shan'qing
满野蓬生古战场,man'ye'peng'sheng'gu'zhan'chang
蛮夷服等差,man'yi'fu'deng'cha
蛮夷陪作位,man'yi'pei'zuo'wei
满营战马嘶欲尽,man'ying'zhan'ma'si'yu'jin
谩有长书忧汉室,man'you'chang'shu'you'han'shi
满院生秋草,man'yuan'sheng'qiu'cao
满坐失声看不及,man'zuo'shi'sheng'kan'bu'ji
满座他乡别,man'zuo'ta'xiang'bie
茂草向营门,mao'cao'xiang'ying'men
茂德为邦久,mao'de'wei'bang'jiu
冒寒人语少,mao'han'ren'yu'shao
毛节未归海,mao'jie'wei'gui'hai
茂陵秋最冷,mao'ling'qiu'zui'leng
茂色临幽澈,mao'se'lin'you'che
冒暑向炎方,mao'shu'xiang'yan'fang
茂树延晚凉,mao'shu'yan'wan'liang
貌衰缘药尽,mao'shuai'yuan'yao'jin
毛遂请行秋,mao'sui'qing'xing'qiu
茅亭暮雨寒,mao'ting'mu'yu'han
茅檐日午鸡鸣,mao'yan'ri'wu'ji'ming
茂阴延驿路,mao'yin'yan'yi'lu
冒雨看禾黍,mao'yu'kan'he'shu
毛洲海驿长,mao'zhou'hai'yi'chang
每惭公府粟,mei'can'gong'fu'su
每惭蘋藻用,mei'can'pin'zao'yong
每成此物如有神,mei'cheng'ci'wu'ru'you'shen
梅处入胡笳,mei'chu'ru'hu'jia
每从仁者求,mei'cong'ren'zhe'qiu
每带云霞色,mei'dai'yun'xia'se
梅福何须去隐吴,mei'fu'he'xu'qu'yin'wu
梅花成雪岭,mei'hua'cheng'xue'ling
梅花堪比雪,mei'hua'kan'bi'xue
梅家鹤暂来,mei'jia'he'zan'lai
每诫如新比白头,mei'jie'ru'xin'bi'bai'tou
美景良难得,mei'jing'liang'nan'de
每念支离苦,mei'nian'zhi'li'ku
美女争窥玳瑁帘,mei'nv'zheng'kui'dai'mao'lian
美人不眠怜夜永,mei'ren'bu'mian'lian'ye'yong
美人二八面如花,mei'ren'er'ba'mian'ru'hua
美人扶踏金阶月,mei'ren'fu'ta'jin'jie'yue
美人昔自爱,mei'ren'xi'zi'ai
美人玉色当金尊,mei'ren'yu'se'dang'jin'zun
梅生谅多感,mei'sheng'liang'duo'gan
眉势识山名,mei'shi'shi'shan'ming
莓苔积雨痕,mei'tai'ji'yu'hen
莓苔积雨深,mei'tai'ji'yu'shen
莓苔旧点色尚青,mei'tai'jiu'dian'se'shang'qing
梅天风雨凉,mei'tian'feng'yu'liang
梅天一雨清,mei'tian'yi'yu'qing
每听寒笳离梦断,mei'ting'han'jia'li'meng'duan
每闻官吏贤,mei'wen'guan'li'xian
每嫌儿女泪,mei'xian'er'nv'lei
美矣新成太华峰,mei'yi'xin'cheng'tai'hua'feng
每因一尊酒,mei'yin'yi'zun'jiu
梅雨病中天,mei'yu'bing'zhong'tian
梅雨稻田新,mei'yu'dao'tian'xin
美玉方齐价,mei'yu'fang'qi'jia
没在石棱中,mei'zai'shi'leng'zhong
美质简琼瑶,mei'zhi'jian'qiong'yao
每重德璋亲,mei'zhong'de'zhang'qin
每阻清风一回面,mei'zu'qing'feng'yi'hui'mian
门见苔生满,men'jian'tai'sheng'man
门阑三十年,men'lan'san'shi'nian
门闾新薙草,men'lv'xin'ti'cao
门前碧草春离离,men'qian'bi'cao'chun'li'li
门前旧军都,men'qian'jiu'jun'dou
门前旧路生青草,men'qian'jiu'lu'sheng'qing'cao
门前空腊尽,men'qian'kong'la'jin
门前老将识风云,men'qian'lao'jiang'shi'feng'yun
门前水流咽,men'qian'shui'liu'yan
门前问客稀,men'qian'wen'ke'xi
门前漳水流,men'qian'zhang'shui'liu
门人闭影堂,men'ren'bi'ying'tang
门生从联翩,men'sheng'cong'lian'pian
扪石入空曲,men'shi'ru'kong'qu
门外汲井花,men'wai'ji'jing'hua
门唯二仲过,men'wei'er'zhong'guo
门闲惜草衰,men'xian'xi'cao'shuai
扪心喜复惊,men'xin'xi'fu'jing
门掩青山卧,men'yan'qing'shan'wo
门掩疏尘吏,men'yan'shu'chen'li
门掩向寒塘,men'yan'xiang'han'tang
门值烟岫表,men'zhi'yan'xiu'biao
门中夕照移,men'zhong'xi'zhao'yi
梦笔纪山行,meng'bi'ji'shan'xing
梦别一仙人,meng'bie'yi'xian'ren
梦成湘浦夜,meng'cheng'xiang'pu'ye
艨艟高映浦,meng'chong'gao'ying'pu
梦到月应沉,meng'dao'yue'ying'chen
梦后城头晓角哀,meng'hou'cheng'tou'xiao'jiao'ai
