阿婆情熟牡丹开,a'po'qing'shu'mu'dan'kai
薜萝枯有影,bi'luo'ku'you'ying
璧满蟾又缺,bi'man'chan'you'que
毕昴不见胡天阴,bi'mao'bu'jian'hu'tian'yin
彼美金石分,bi'mei'jin'shi'fen
闭门风景迟,bi'men'feng'jing'chi
闭门寂无事,bi'men'ji'wu'shi
闭门茅底偶为邻,bi'men'mao'di'ou'wei'lin
闭门无事任盈虚,bi'men'wu'shi'ren'ying'xu
蔽日高高树,bi'ri'gao'gao'shu
彼日之差,bi'ri'zhi'cha
鼻山地中坼,bi'shan'di'zhong'che
庇身绝中授,bi'shen'jue'zhong'shou
彼受其福,bi'shou'qi'fu
碧树分晓色,bi'shu'fen'xiao'se
碧树感秋落,bi'shu'gan'qiu'luo
彼鼠侵我厨,bi'shu'qin'wo'chu
碧树生红萼,bi'shu'sheng'hong'e
碧水通春色,bi'shui'tong'chun'se
碧潭深处有潜龙,bi'tan'shen'chu'you'qian'long
笔头点出苍梧云,bi'tou'dian'chu'cang'wu'yun
比屋除畏溺,bi'wu'chu'wei'ni
碧梧阴似水,bi'wu'yin'si'shui
比屋自熙熙,bi'wu'zi'xi'xi
笔下调金石,bi'xia'tiao'jin'shi
壁藓凝苍华,bi'xian'ning'cang'hua
碧鲜似染苌弘血,bi'xian'si'ran'chang'hong'xue
碧霄孤鹤发清音,bi'xiao'gu'he'fa'qing'yin
比翼和鸣双凤凰,bi'yi'he'ming'shuang'feng'huang
敝邑连山远,bi'yi'lian'shan'yuan
璧玉诞清音,bi'yu'dan'qing'yin
比玉人应重,bi'yu'ren'ying'zhong
碧云深处共翱翔,bi'yun'shen'chu'gong'ao'xiang
鄙哉宦游子,bi'zai'huan'you'zi
毕志同栖迟,bi'zhi'tong'qi'chi
边草复萋萋,bian'cao'fu'qi'qi
边草尽来共老,bian'cao'jin'lai'gong'lao
边城贵者李将军,bian'cheng'gui'zhe'li'jiang'jun
边城路,bian'cheng'lu
遍出新成句,bian'chu'xin'cheng'ju
遍传金胜喜逢人,bian'chuan'jin'sheng'xi'feng'ren
边地多阴风,bian'di'duo'yin'feng
辨方知木德,bian'fang'zhi'mu'de
遍郭寒山夜月明,bian'guo'han'shan'ye'yue'ming
边海日长阴,bian'hai'ri'chang'yin
边宦更何心,bian'huan'geng'he'xin
便即下阶拜,bian'ji'xia'jie'bai
编简尘封阁,bian'jian'chen'feng'ge
编简知还续,bian'jian'zhi'hai'xu
边将岂无羞,bian'jiang'qi'wu'xiu
便觉一年谢,bian'jue'yi'nian'xie
鞭马广陵桥,bian'ma'guang'ling'qiao
边马枥上惊,bian'ma'li'shang'jing
边马仰天嘶白草,bian'ma'yang'tian'si'bai'cao
便拟静胡尘,bian'ni'jing'hu'chen
