暧暧澄湖光,ai'ai'cheng'hu'guang
彼此名言绝,bi'ci'ming'yan'jue
璧从全赵去,bi'cong'quan'zhao'qu
碧海莹子神,bi'hai'ying'zi'shen
闭户脱三界,bi'hu'tuo'san'jie
毕景有馀兴,bi'jing'you'yu'xing
薜萝诚可恋,bi'luo'cheng'ke'lian
碧毛毡帐河曲游,bi'mao'zhan'zhang'he'qu'you
彼美公之姓兮,bi'mei'gong'zhi'xing'xi
闭门愁见桃花飞,bi'men'chou'jian'tao'hua'fei
闭门湖水畔,bi'men'hu'shui'pan
碧气销长林,bi'qi'xiao'chang'lin
碧纱如烟隔窗语,bi'sha'ru'yan'ge'chuang'yu
避世歌芝草,bi'shi'ge'zhi'cao
避暑借明光,bi'shu'jie'ming'guang
碧水月自阔,bi'shui'yue'zi'kuo
陛下万古垂鸿名,bi'xia'wan'gu'chui'hong'ming
辟邪伎作鼓吹惊,bi'xie'ji'zuo'gu'chui'jing
笔偃触邪冠,bi'yan'chu'xie'guan
臂鹰金殿侧,bi'ying'jin'dian'ce
碧玉今时斗丽华,bi'yu'jin'shi'dou'li'hua
碧玉炅炅双目瞳,bi'yu'jiong'jiong'shuang'mu'tong
碧云暮寥落,bi'yun'mu'liao'luo
碧云日暮空徘徊,bi'yun'ri'mu'kong'pai'huai
边策远和戎,bian'ce'yuan'he'rong
便澄游子心,bian'cheng'you'zi'xin
边愁殊浩荡,bian'chou'shu'hao'dang
便道访情亲,bian'dao'fang'qing'qin
边风意气多,bian'feng'yi'qi'duo
遍观今时人,bian'guan'jin'shi'ren
变化非一状,bian'hua'fei'yi'zhuang
边笳落日不堪闻,bian'jia'luo'ri'bu'kan'wen
便令海内休戈矛,bian'ling'hai'nei'xiu'ge'mao
遍沐汉朝恩,bian'mu'han'chao'en
边色寒苍然,bian'se'han'cang'ran
边心冉冉乡人绝,bian'xin'ran'ran'xiang'ren'jue
便欲投诚依道源,bian'yu'tou'cheng'yi'dao'yuan
便逐行云去不回,bian'zhu'hang'yun'qu'bu'hui
表请回军掩尘骨,biao'qing'hui'jun'yan'chen'gu
别馆萧条风雨寒,bie'guan'xiao'tiao'feng'yu'han
别鹤哀有馀,bie'he'ai'you'yu
别后冷山月,bie'hou'leng'shan'yue
别后难相访,bie'hou'nan'xiang'fang
别家投钓翁,bie'jia'tou'diao'weng
别君良郁陶,bie'jun'liang'yu'tao
别君颇已久,bie'jun'po'yi'jiu
别君日已远,bie'jun'ri'yi'yuan
别来何处更销忧,bie'lai'he'chu'geng'xiao'you
别来几春未还家,bie'lai'ji'chun'wei'huan'jia
别离共成怨,bie'li'gong'cheng'yuan
别离花寂寂,bie'li'hua'ji'ji
别离念征衣,bie'li'nian'zheng'yi
别恋从此始,bie'lian'cong'ci'shi
别时提剑救边去,bie'shi'ti'jian'jiu'bian'qu
别业嵩阳田,bie'ye'song'yang'tian
别意猿鸟外,bie'yi'yuan'niao'wai
鬓发空苍然,bin'fa'kong'cang'ran
病对椒花倍自怜,bing'dui'jiao'hua'bei'zi'lian
兵锋摇海内,bing'feng'yao'hai'nei
冰合井泉月入闺,bing'he'jing'quan'yue'ru'gui
兵马更不猎,bing'ma'geng'bu'lie
兵气销为日月光,bing'qi'xiao'wei'ri'yue'guang
冰上渡交河,bing'shang'du'jiao'he
兵食仰诸侯,bing'shi'yang'zhu'hou
秉志师禽尚,bing'zhi'shi'qin'shang
拨谷飞鸣奈妾何,bo'gu'fei'ming'nai'qie'he
渤海人无事,bo'hai'ren'wu'shi
波静随钓鱼,bo'jing'sui'diao'yu
伯乐翦拂中道遗,bo'le'jian'fu'zhong'dao'yi
波连演漾田,bo'lian'yan'yang'tian
波流浸已广,bo'liu'jin'yi'guang
薄暮见渔者,bo'mu'jian'yu'zhe
薄暮随天仗,bo'mu'sui'tian'zhang
播迁悲远道,bo'qian'bei'yuan'dao
博山炉中沉香火,bo'shan'lu'zhong'chen'xiang'huo
波上片帆疾,bo'shang'pian'fan'ji
波上日初丽,bo'shang'ri'chu'li
波上生微霭,bo'shang'sheng'wei'ai
波上荧荧望一舟,bo'shang'ying'ying'wang'yi'zhou
泊舟淮水次,bo'zhou'huai'shui'ci
泊舟问溪口,bo'zhou'wen'xi'kou
步步别离难,bu'bu'bie'li'nan
步步恋南枝,bu'bu'lian'nan'zhi
步步入青霭,bu'bu'ru'qing'ai
不才成拥肿,bu'cai'cheng'yong'zhong
不才甘谪去,bu'cai'gan'zhe'qu
不愁寻水远,bu'chou'xun'shui'yuan
不辞奋翼向君去,bu'ci'fen'yi'xiang'jun'qu
不惮苦寒行,bu'dan'ku'han'xing
不道沧江百丈深,bu'dao'cang'jiang'bai'zhang'shen
不到三声合断肠,bu'dao'san'sheng'he'duan'chang
不道姓名应不识,bu'dao'xing'ming'ying'bu'shi
不独明朝为子推,bu'du'ming'zhao'wei'zi'tui
不复还东溪,bu'fu'hai'dong'xi
不复扫荆扉,bu'fu'sao'jing'fei
不负信陵恩,bu'fu'xin'ling'en
不改青松寒,bu'gai'qing'song'han
不改清阴待我归,bu'gai'qing'yin'dai'wo'gui
不敢淮南卧,bu'gan'huai'nan'wo
不合空摧残,bu'he'kong'cui'can
不见君来久,bu'jian'jun'lai'jiu
不见眼中人,bu'jian'yan'zhong'ren
不见鹧鸪飞,bu'jian'zhe'gu'fei
不见支公与玄度,bu'jian'zhi'gong'yu'xuan'du
不教胡马度阴山,bu'jiao'hu'ma'du'yin'shan
不教人夜作,bu'jiao'ren'ye'zuo
不解胡人语,bu'jie'hu'ren'yu
不解谢公意,bu'jie'xie'gong'yi
不觉初秋夜渐长,bu'jue'chu'qiu'ye'jian'chang
不觉行路难,bu'jue'xing'lu'nan
不堪此别相思劳,bu'kan'ci'bie'xiang'si'lao
不堪明月里,bu'kan'ming'yue'li
不堪秋草更愁人,bu'kan'qiu'cao'geng'chou'ren
不堪西望见风尘,bu'kan'xi'wang'jian'feng'chen
不堪相顾恨,bu'kan'xiang'gu'hen
逋客多南渡,bu'ke'duo'nan'du
不愧宝刀赠,bu'kui'bao'dao'zeng
不虑惜鹅群,bu'lv'xi'e'qun
不能捐斗粟,bu'neng'juan'dou'su
不念关山久辛苦,bu'nian'guan'shan'jiu'xin'ku
不嚬复不语,bu'pin'fu'bu'yu
不破楼兰终不还,bu'po'lou'lan'zhong'bu'huan
不求黄金笼下生,bu'qiu'huang'jin'long'xia'sheng
不然春山隐,bu'ran'chun'shan'yin
不忍白头人,bu'ren'bai'tou'ren
不忍云间两分张,bu'ren'yun'jian'liang'fen'zhang
不如归远山,bu'ru'gui'yuan'shan
不是莲花府,bu'shi'lian'hua'fu
不识闽中路,bu'shi'min'zhong'lu
不识黔中路,bu'shi'qian'zhong'lu
不使外夷骄,bu'shi'wai'yi'jiao
不为怜同病,bu'wei'lian'tong'bing
不谓衔冤处,bu'wei'xian'yuan'chu
不向世人传,bu'xiang'shi'ren'chuan
不向新安去,bu'xiang'xin'an'qu
不须论早晚,bu'xu'lun'zao'wan
不言不寐弹箜篌,bu'yan'bu'mei'tan'kong'hou
不意君心半路回,bu'yi'jun'xin'ban'lu'hui
不用道林钱,bu'yong'dao'lin'qian
不由天地资,bu'you'tian'di'zi
不语不笑能留人,bu'yu'bu'xiao'neng'liu'ren
不与秦塞通人烟,bu'yu'qin'sai'tong'ren'yan
捕鱼清江濆,bu'yu'qing'jiang'fen
不知波上棹,bu'zhi'bo'shang'zhao
不知苍梧处,bu'zhi'cang'wu'chu
不知成陆沉,bu'zhi'cheng'lu'chen
不知方外客,bu'zhi'fang'wai'ke
不知何处学新声,bu'zhi'he'chu'xue'xin'sheng
不知何事守空山,bu'zhi'he'shi'shou'kong'shan
不知何者吞吾钩,bu'zhi'he'zhe'tun'wu'gou
不知湖上菱歌女,bu'zhi'hu'shang'ling'ge'nv
不知金石变长年,bu'zhi'jin'shi'bian'chang'nian
不知今远近,bu'zhi'jin'yuan'jin
不知经历几千秋,bu'zhi'jing'li'ji'qian'qiu
不知娉婷色,bu'zhi'ping'ting'se
不知青冥状,bu'zhi'qing'ming'zhuang
不知谁家子,bu'zhi'shui'jia'zi
不知巫峡雨,bu'zhi'wu'xia'yu
不知轩屏侧,bu'zhi'xuan'ping'ce
不作武陵迷,bu'zuo'wu'ling'mi
采罢江头月送归,cai'ba'jiang'tou'yue'song'gui
猜谗却为主恩深,cai'chan'que'wei'zhu'en'shen
才出时人右,cai'chu'shi'ren'you
才出众人群,cai'chu'zhong'ren'qun
彩服辞高堂,cai'fu'ci'gao'tang
材高吴越珍,cai'gao'wu'yue'zhen
