暧暧澄湖光,ai'ai'cheng'hu'guang
崎岖多在尘,qi'qu'duo'zai'chen
气染茶瓯馨,qi'ran'cha'ou'xin
凄然感旧,qi'ran'gan'jiu
其人居鸟巢,qi'ren'ju'niao'chao
其如春草何,qi'ru'chun'cao'he
其如伏枕何,qi'ru'fu'zhen'he
其如归限催,qi'ru'gui'xian'cui
其如七不堪,qi'ru'qi'bu'kan
其如向人惜,qi'ru'xiang'ren'xi
其如相望何,qi'ru'xiang'wang'he
其如羽檄何,qi'ru'yu'xi'he
气色空中改,qi'se'kong'zhong'gai
齐瑟弹东吟,qi'se'tan'dong'yin
气色犹霾曀,qi'se'you'mai'yi
岂上望夫台,qi'shang'wang'fu'tai
起视江月斜,qi'shi'jiang'yue'xie
乞食山家少,qi'shi'shan'jia'shao
其始与终古不息,qi'shi'yu'zhong'gu'bu'xi
岂是远行时,qi'shi'yuan'xing'shi
其时月黑猿啾啾,qi'shi'yue'hei'yuan'jiu'jiu
七十紫鸳鸯,qi'shi'zi'yuan'yang
稽首求丹经,qi'shou'qiu'dan'jing
岂思农鳸春,qi'si'nong'hu'chun
起土骊山隈,qi'tu'li'shan'wei
岂惟丘中赏,qi'wei'qiu'zhong'shang
岂唯务驰骋,qi'wei'wu'chi'cheng
岂问渭川老,qi'wen'wei'chuan'lao
弃我如尘埃,qi'wo'ru'chen'ai
岂无佳人色,qi'wu'jia'ren'se
岂无同门友,qi'wu'tong'men'you
岂惜黄金买词赋,qi'xi'huang'jin'mai'ci'fu
绮席卷龙须,qi'xi'juan'long'xu
岂系名与宦,qi'xi'ming'yu'huan
绮席铺兰杜,qi'xi'pu'lan'du
岂暇论肥硗,qi'xia'lun'fei'qiao
其险也如此,qi'xian'ye'ru'ci
期向金陵醉江树,qi'xiang'jin'ling'zui'jiang'shu
岂向人间住,qi'xiang'ren'jian'zhu
齐相杀之费二桃,qi'xiang'sha'zhi'fei'er'tao
弃象玄应悟,qi'xiang'xuan'ying'wu
岂谢东堂策,qi'xie'dong'tang'ce
栖心亦弥年,qi'xin'yi'mi'nian
起行散愁疾,qi'xing'san'chou'ji
七雄成乱麻,qi'xiong'cheng'luan'ma
岂讶青春来,qi'ya'qing'chun'lai
气压吴越雄,qi'ya'wu'yue'xiong
绮筵铺锦绣,qi'yan'pu'jin'xiu
七曜悬洞宫,qi'yao'xuan'dong'gong
岂意餐霞客,qi'yi'can'xia'ke
岂伊逢世运,qi'yi'feng'shi'yun
岂伊骇微险,qi'yi'hai'wei'xian
岂伊怀土多,qi'yi'huai'tu'duo
岂伊今日幸,qi'yi'jin'ri'xing
岂意石堂里,qi'yi'shi'tang'li
岂伊云鹤俦,qi'yi'yun'he'chou
齐有倜傥生,qi'you'ti'tang'sheng
气与风露寒,qi'yu'feng'lu'han
器宇溟渤宽,qi'yu'ming'bo'kuan
泣与亲友别,qi'yu'qin'you'bie
漆园有傲吏,qi'yuan'you'ao'li
气蒸云梦泽,qi'zheng'yun'meng'ze
岂止百川溢,qi'zhi'bai'chuan'yi
岂知关山苦,qi'zhi'guan'shan'ku
岂直昏垫苦,qi'zhi'hun'dian'ku
岂知晋叔向,qi'zhi'jin'shu'xiang
岂知贤与豪,qi'zhi'xian'yu'hao
弃置乡园老,qi'zhi'xiang'yuan'lao
岂知偕老重,qi'zhi'xie'lao'zhong
岂知一日终非主,qi'zhi'yi'ri'zhong'fei'zhu
岂知玉与珉,qi'zhi'yu'yu'min
岂知造化神,qi'zhi'zao'hua'shen
期子惟去之柄兮,qi'zi'wei'qu'zhi'bing'xi
妻子因贫失所从,qi'zi'yin'pin'shi'suo'cong
妻子自耕凿,qi'zi'zi'geng'zao
牵卑从此分,qian'bei'cong'ci'fen
迁播共知臣道枉,qian'bo'gong'zhi'chen'dao'wang
前朝楚水流,qian'chao'chu'shui'liu
前朝寄老松,qian'chao'ji'lao'song
前朝旧业想遗尘,qian'chao'jiu'ye'xiang'yi'chen
前程复几多,qian'cheng'fu'ji'duo
前程积水中,qian'cheng'ji'shui'zhong
前程入楚乡,qian'cheng'ru'chu'xiang
千春隔流水,qian'chun'ge'liu'shui
前登阙塞门,qian'deng'que'sai'men
千峰不可寻,qian'feng'bu'ke'xun
千峰旦暮时,qian'feng'dan'mu'shi
千峰共夕阳,qian'feng'gong'xi'yang
千峰划彼苍,qian'feng'hua'bi'cang
千峰寄一家,qian'feng'ji'yi'jia
千峰明一灯,qian'feng'ming'yi'deng
千峰秋色多,qian'feng'qiu'se'duo
千峰随客船,qian'feng'sui'ke'chuan
千峰万木中,qian'feng'wan'mu'zhong
千峰迎夕阳,qian'feng'ying'xi'yang
千峰转前后,qian'feng'zhuan'qian'hou
千古谢荣耀,qian'gu'xie'rong'yao
千古在长平,qian'gu'zai'chang'ping
褰关值晚晴,qian'guan'zhi'wan'qing
前后赖专城,qian'hou'lai'zhuan'cheng
铅花抛却仍青春,qian'hua'pao'que'reng'qing'chun
千唤不一回,qian'huan'bu'yi'hui
千家同霁色,qian'jia'tong'ji'se
千金非所轻,qian'jin'fei'suo'qing
千金散尽还复来,qian'jin'san'jin'huan'fu'lai
前军飞鸟断,qian'jun'fei'niao'duan
前军细柳北,qian'jun'xi'liu'bei
前军夜战洮河北,qian'jun'ye'zhan'tao'he'bei
千龛道傍古,qian'kan'dao'bang'gu
迁客归人醉晚寒,qian'ke'gui'ren'zui'wan'han
迁客离忧楚地颜,qian'ke'li'you'chu'di'yan
迁客投百越,qian'ke'tou'bai'yue
千里蔼盈瞩,qian'li'ai'ying'zhu
千里按图收故地,qian'li'an'tu'shou'gu'di
千里不留行,qian'li'bu'liu'hang
千里沧波上,qian'li'cang'bo'shang
千里常相见,qian'li'chang'xiang'jian
千里春色伤人心,qian'li'chun'se'shang'ren'xin
千里黛相连,qian'li'dai'xiang'lian
千里东风吹,qian'li'dong'feng'chui
千里独裴回,qian'li'du'pei'hui
千里风动地,qian'li'feng'dong'de
千里归寸心,qian'li'gui'cun'xin
千里寒气白,qian'li'han'qi'bai
千里怀去思,qian'li'huai'qu'si
千里看不隔,qian'li'kan'bu'ge
千里客程催,qian'li'ke'cheng'cui
千里愧同声,qian'li'kui'tong'sheng
千里暮潮归,qian'li'mu'chao'gui
千里陪征驾,qian'li'pei'zheng'jia
千里如咫尺,qian'li'ru'zhi'chi
千里相思如可见,qian'li'xiang'si'ru'ke'jian
千里杳难望,qian'li'yao'nan'wang
千里在俄顷,qian'li'zai'e'qing
千龄独向隅,qian'ling'du'xiang'yu
千龄人共传,qian'ling'ren'gong'chuan
前流殊未穷,qian'liu'shu'wei'qiong
千楼标石丛,qian'lou'biao'shi'cong
前路良未测,qian'lu'liang'wei'ce
前路舍舟去,qian'lu'she'zhou'qu
前路水云深,qian'lu'shui'yun'shen
前路行可觌,qian'lu'xing'ke'di
前路遥仿佛,qian'lu'yao'fang'fu
千门候晓发,qian'men'hou'xiao'fa
千门空对旧河山,qian'men'kong'dui'jiu'he'shan
千门来谒帝,qian'men'lai'ye'di
千门桃与李,qian'men'tao'yu'li
阡陌俯人家,qian'mo'fu'ren'jia
千年水空绿,qian'nian'shui'kong'lv
前期今尚远,qian'qi'jin'shang'yuan
千骑使君游,qian'qi'shi'jun'you
千骑俨欲前,qian'qi'yan'yu'qian
千旗扬彩虹,qian'qi'yang'cai'hong
千秋二壮士,qian'qiu'er'zhuang'shi
千秋万古葬平原,qian'qiu'wan'gu'zang'ping'yuan
千去不一回,qian'qu'bu'yi'hui
迁人悲越吟,qian'ren'bei'yue'yin
前山带秋色,qian'shan'dai'qiu'se
千山叠成嶂,qian'shan'die'cheng'zhang
千山暮钟发,qian'shan'mu'zhong'fa
前山入咏歌,qian'shan'ru'yong'ge
褰裳靡沾湿,qian'shang'mi'zhan'shi
浅深看水石,qian'shen'kan'shui'shi
前事安可忘,qian'shi'an'ke'wang
纤手脍红鲜,qian'shou'kuai'hong'xian
纤手怨玉琴,qian'shou'yuan'yu'qin
迁蜀扈鸣銮,qian'shu'hu'ming'luan
前水复后水,qian'shui'fu'hou'shui
浅水深山独掩扉,qian'shui'shen'shan'du'yan'fei
千岁此时逢,qian'sui'ci'shi'feng
千岁为玉童,qian'sui'wei'yu'tong
钱塘江畔是谁家,qian'tang'jiang'pan'shi'shui'jia
褰帷远岫连,qian'wei'yuan'xiu'lian
前溪对舞楼,qian'xi'dui'wu'lou
前溪遇新月,qian'xi'yu'xin'yue
牵役徒自劳,qian'yi'tu'zi'lao
千载不可诬,qian'zai'bu'ke'wu
千载德犹闻,qian'zai'de'you'wen
千载空蛾眉,qian'zai'kong'e'mei
千载空桃花,qian'zai'kong'tao'hua
千载空云山,qian'zai'kong'yun'shan
千载落风尘,qian'zai'luo'feng'chen
千载为悲辛,qian'zai'wei'bei'xin
千载唯丘墓,qian'zai'wei'qiu'mu
千载闻离骚,qian'zai'wen'li'sao
千载无重还,qian'zai'wu'zhong'hai
千载揖清波,qian'zai'yi'qing'bo
千载已如梦,qian'zai'yi'ru'meng
千载一相挥,qian'zai'yi'xiang'hui
千载一知音,qian'zai'yi'zhi'yin
前瞻王程促,qian'zhan'wang'cheng'cu
前棹入花林,qian'zhao'ru'hua'lin
谴谪离心是丈夫,qian'zhe'li'xin'shi'zhang'fu
前者虽登攀,qian'zhe'sui'deng'pan
前洲几路入烟花,qian'zhou'ji'lu'ru'yan'hua
樯出江中树,qiang'chu'jiang'zhong'shu
羌笛横吹阿亸回,qiang'di'heng'chui'a'duo'hui
羌笛胡笳不用吹,qiang'di'hu'jia'bu'yong'chui
羌笛怨孤军,qiang'di'yuan'gu'jun
将进酒君莫停,qiang'jin'jiu'jun'mo'ting
墙头梨花白,qiang'tou'li'hua'bai
桥崩卧槎拥,qiao'beng'wo'cha'yong
樵唱入南轩,qiao'chang'ru'nan'xuan
憔悴逢新岁,qiao'cui'feng'xin'sui
憔悴难再好,qiao'cui'nan'zai'hao
憔悴一身在,qiao'cui'yi'shen'zai
樵风载酒时,qiao'feng'zai'jiu'shi
趫悍谁能争,qiao'han'shui'neng'zheng
乔木苍苍掩旧门,qiao'mu'cang'cang'yan'jiu'men
乔木尔飞翻,qiao'mu'er'fei'fan
樵牧南山近,qiao'mu'nan'shan'jin
樵木散闲田,qiao'mu'san'xian'tian
樵牧徒悲哀,qiao'mu'tu'bei'ai
乔木映官舍,qiao'mu'ying'guan'she
樵人归欲尽,qiao'ren'gui'yu'jin
樵人往来渡,qiao'ren'wang'lai'du
樵人往往见蛾眉,qiao'ren'wang'wang'jian'e'mei
缲丝忆君头绪多,qiao'si'yi'jun'tou'xu'duo
樵子暗相失,qiao'zi'an'xiang'shi
樵子不见识,qiao'zi'bu'jian'shi
且悲就行役,qie'bei'jiu'xing'yi
且愁无去雁,qie'chou'wu'qu'yan
妾发初覆额,qie'fa'chu'fu'e
且复顿归鞍,qie'fu'dun'gui'an
且复归去来,qie'fu'gui'qu'lai
且复随造化,qie'fu'sui'zao'hua
且副倚门望,qie'fu'yi'men'wang
且将穷妙理,qie'jiang'qiong'miao'li
且将团扇暂裴回,qie'jiang'tuan'shan'zan'pei'hui
且尽登临意,qie'jin'deng'lin'yi
朅来从旧赏,qie'lai'cong'jiu'shang
朅来趋洒扫,qie'lai'qu'sa'sao
朅来投笔砚,qie'lai'tou'bi'yan
且乐杯中物,qie'le'bei'zhong'wu
且乐生前一杯酒,qie'le'sheng'qian'yi'bei'jiu
且留琥珀枕,qie'liu'hu'po'zhen
妾梦越风波,qie'meng'yue'feng'bo
且免琴书别与人,qie'mian'qin'shu'bie'yu'ren
且莫乘船去,qie'mo'cheng'chuan'qu
窃弄章华台,qie'nong'zhang'hua'tai
妾劝新丰酒,qie'quan'xin'feng'jiu
且设庭中燎,qie'she'ting'zhong'liao
且事计然策,qie'shi'ji'ran'ce
且随波上鸥,qie'sui'bo'shang'ou
且喜接馀论,qie'xi'jie'yu'lun
且喜礼闱秦镜在,qie'xi'li'wei'qin'jing'zai
且喜怜非罪,qie'xi'lian'fei'zui
且喜乡园近,qie'xi'xiang'yuan'jin
且习子陵隐,qie'xi'zi'ling'yin
且向长安度一春,qie'xiang'chang'an'du'yi'chun
且言风波倦,qie'yan'feng'bo'juan
且言任倚伏,qie'yan'ren'yi'fu
且吟白纻停绿水,qie'yin'bai'zhu'ting'lv'shui
妾有今朝恨,qie'you'jin'zhao'hen
妾有盘龙镜,qie'you'pan'long'jing
且欲近寻彭泽宰,qie'yu'jin'xun'peng'ze'zai
且欲疲秦人,qie'yu'pi'qin'ren
且欲图变通,qie'yu'tu'bian'tong
且愿乐从军,qie'yuan'le'cong'jun
且知荣已隔,qie'zhi'rong'yi'ge
且知投刃皆若虚,qie'zhi'tou'ren'jie'ruo'xu
怯卒非战士,qie'zu'fei'zhan'shi
且作汉朝臣,qie'zuo'han'chao'chen
亲尝走集赊,qin'chang'zou'ji'she
秦城亘宇宙,qin'cheng'gen'yu'zhou
秦城旧来称窈窕,qin'cheng'jiu'lai'cheng'yao'tiao
秦城游侠客,qin'cheng'you'xia'ke
秦楚邈离异,qin'chu'miao'li'yi
琴辍武城弹,qin'chuo'wu'cheng'tan
琴当秋夜听,qin'dang'qiu'ye'ting
秦地看春色,qin'di'kan'chun'se
秦帝如我求,qin'di'ru'wo'qiu
琴歌野兴闲,qin'ge'ye'xing'xian
亲故平生或聚散,qin'gu'ping'sheng'huo'ju'san
秦皇按宝剑,qin'huang'an'bao'jian
秦皇汉武空相待,qin'huang'han'wu'kong'xiang'dai
秦皇扫六合,qin'huang'sao'lu'he
秦家筑城避胡处,qin'jia'zhu'cheng'bi'hu'chu
秦灭汉帝兴,qin'mie'han'di'xing
秦穆五羊皮,qin'mu'wu'yang'pi
亲戚想天末,qin'qi'xiang'tian'mo
秦人访旧稀,qin'ren'fang'jiu'xi
秦人深不见,qin'ren'shen'bu'jian
秦人相谓曰,qin'ren'xiang'wei'yue
秦山马首西,qin'shan'ma'shou'xi
秦山泣汉兵,qin'shan'qi'han'bing
禽尚彼何人,qin'shang'bi'he'ren
琴上偶然音,qin'shang'ou'ran'yin
擒生绝漠经胡雪,qin'sheng'jue'mo'jing'hu'xue
琴声宜夜阑,qin'sheng'yi'ye'lan
秦时明月汉时关,qin'shi'ming'yue'han'shi'guan
琴书全雅道,qin'shu'quan'ya'dao
秦水别陇首,qin'shui'bie'long'shou
秦台悲白首,qin'tai'bei'bai'shou
琴台化若神,qin'tai'hua'ruo'shen
秦台自有情,qin'tai'zi'you'qing
秦天无纤翳,qin'tian'wu'xian'yi
秦庭初指鹿,qin'ting'chu'zhi'lu
勤王不暂闲,qin'wang'bu'zan'xian
亲望老莱归,qin'wang'lao'lai'gui
秦王厌胜辰,qin'wang'yan'sheng'chen
秦王筑城何太愚,qin'wang'zhu'cheng'he'tai'yu
勤问何所规,qin'wen'he'suo'gui
秦吴多岁年,qin'wu'duo'sui'nian
秦弦弄西音,qin'xian'nong'xi'yin
衾枕劳歌咏,qin'zhen'lao'ge'yong
秦中花鸟已应阑,qin'zhong'hua'niao'yi'ying'lan
琴奏龙门之绿桐,qin'zou'long'men'zhi'lv'tong
倾杯鱼鸟醉,qing'bei'yu'niao'zui
清波更夤缘,qing'bo'geng'yin'yuan
青草换新袍,qing'cao'huan'xin'pao
青草嶂中春,qing'cao'zhang'zhong'chun
清晨临流欲奚为,qing'chen'lin'liu'yu'xi'wei
清晨起长叹,qing'chen'qi'chang'tan
清晨入古寺,qing'chen'ru'gu'si
清晨自梁宋,qing'chen'zi'liang'song
倾城独立世所稀,qing'cheng'du'li'shi'suo'xi
清川已再涉,qing'chuan'yi'zai'she
清川永路何极,qing'chuan'yong'lu'he'ji
清川照我门,qing'chuan'zhao'wo'men
清吹袅灯频,qing'chui'niao'deng'pin
青春发礼闱,qing'chun'fa'li'wei
青春流惊湍,qing'chun'liu'jing'tuan
青春期上皇,qing'chun'qi'shang'huang
青春已过乱离中,qing'chun'yi'guo'luan'li'zhong
青春衣绣共称宜,qing'chun'yi'xiu'gong'cheng'yi
顷辞青溪隐,qing'ci'qing'xi'yin
青葱林间岭,qing'cong'lin'jian'ling
青翠卷帘看,qing'cui'juan'lian'kan
青翠数千仞,qing'cui'shu'qian'ren
青翠有松筠,qing'cui'you'song'jun
清旦江天迥,qing'dan'jiang'tian'jiong
青娥凋素颜,qing'e'diao'su'yan
轻肥异往年,qing'fei'yi'wang'nian
清风初作颂,qing'feng'chu'zuo'song
清风独至君,qing'feng'du'zhi'jun
清风季子邑,qing'feng'ji'zi'yi
清风竟不至,qing'feng'jing'bu'zhi
清风满竹林,qing'feng'man'zhu'lin
清风期再过,qing'feng'qi'zai'guo
清风洒六合,qing'feng'sa'lu'he
青枫霜叶稀,qing'feng'shuang'ye'xi
清风松下来,qing'feng'song'xia'lai
清风徒满川,qing'feng'tu'man'chuan
清风习习重凄凉,qing'feng'xi'xi'zhong'qi'liang
青枫亦何意,qing'feng'yi'he'yi
清风在竹林,qing'feng'zai'zhu'lin
清歌水去长,qing'ge'shui'qu'chang
清管随齐讴,qing'guan'sui'qi'ou
清光常昼发,qing'guang'chang'zhou'fa
清光媚奫沦,qing'guang'mei'yun'lun
清光遣谁取,qing'guang'qian'shui'qu
清光犹为君,qing'guang'you'wei'jun
青海长云暗雪山,qing'hai'chang'yun'an'xue'shan
倾海未满臆,qing'hai'wei'man'yi
倾壶一解颜,qing'hu'yi'jie'yan
清晖朝复暮,qing'hui'chao'fu'mu
清辉照海月,qing'hui'zhao'hai'yue
清机本难逮,qing'ji'ben'nan'dai
倾家共人费,qing'jia'gong'ren'fei
清见云雨入,qing'jian'yun'yu'ru
清江传语便风闻,qing'jiang'chuan'yu'bian'feng'wen
晴江一鸟迟,qing'jiang'yi'niao'chi
清江月色傍林秋,qing'jiang'yue'se'bang'lin'qiu
清江照彩衣,qing'jiang'zhao'cai'yi
晴江洲渚带春草,qing'jiang'zhou'zhu'dai'chun'cao
轻捷固难俦,qing'jie'gu'nan'chou
请近东林寺,qing'jin'dong'lin'si
青衿列胄子,qing'jin'lie'zhou'zi
清景仍相留,qing'jing'reng'xiang'liu
轻举振六翮,qing'ju'zhen'liu'he
请君开素书,qing'jun'kai'su'shu
请君留楚调,qing'jun'liu'chu'tiao
请君赎献穆天子,qing'jun'shu'xian'mu'tian'zi
请君为我侧耳听,qing'jun'wei'wo'ce'er'ting
晴开湖上天,qing'kai'hu'shang'tian
顷来行已远,qing'lai'xing'yi'yuan
擎来玉盘里,qing'lai'yu'pan'li
清凉尚含洁,qing'liang'shang'han'jie
青林暗换叶,qing'lin'an'huan'ye
青林泊舟处,qing'lin'bo'zhou'chu
青林虎丘寺,qing'lin'hu'qiu'si
清流数千丈,qing'liu'shu'qian'zhang
清流逸兴多,qing'liu'yi'xing'duo
青楼空望归,qing'lou'kong'wang'gui
青楼苦夜长难晓,qing'lou'ku'ye'chang'nan'xiao
青楼梦不成,qing'lou'meng'bu'cheng
青楼晓日珠帘映,qing'lou'xiao'ri'zhu'lian'ying
青楼月夜长寂寞,qing'lou'yue'ye'chang'ji'mo
青鸾飞入合欢宫,qing'luan'fei'ru'he'huan'gong
青鸾临南海,qing'luan'lin'nan'hai
清论含古流,qing'lun'han'gu'liu
青萝换风雨,qing'luo'huan'feng'yu
清洛日夜涨,qing'luo'ri'ye'zhang
清洛行不近,qing'luo'xing'bu'jin
青门种瓜人,qing'men'zhong'gua'ren
清明别后雨晴时,qing'ming'bie'hou'yu'qing'shi
晴明分众容,qing'ming'fen'zhong'rong
晴明试登陟,qing'ming'shi'deng'zhi
青囊系吾肘,qing'nang'xi'wu'zhou
青泥何盘盘,qing'ni'he'pan'pan
青鸟来去闲,qing'niao'lai'qu'xian
青鸟舒锦翮,qing'niao'shu'jin'he
青袍草色迎,qing'pao'cao'se'ying
青袍今日误儒生,qing'pao'jin'ri'wu'ru'sheng
青袍拥征骑,qing'pao'yong'zheng'qi
清切兼秋远,qing'qie'jian'qiu'yuan
清琴有古调,qing'qin'you'gu'tiao
青青边草春,qing'qing'bian'cao'chun
青青草色满江洲,qing'qing'cao'se'man'jiang'zhou
青青春草近家愁,qing'qing'chun'cao'jin'jia'chou
青青春草生,qing'qing'chun'cao'sheng
青青独在阴,qing'qing'du'zai'yin
青青寒草春,qing'qing'han'cao'chun
青青媚川陆,qing'qing'mei'chuan'lu
青青向楚人,qing'qing'xiang'chu'ren
青青遥满目,qing'qing'yao'man'mu
青青又一年,qing'qing'you'yi'nian
清秋忽如此,qing'qiu'hu'ru'ci
清秋净氛霭,qing'qiu'jing'fen'ai
清泉尽绿苔,qing'quan'jin'lv'tai
轻桡弄溪渚,qing'rao'nong'xi'zhu
清入海风微,qing'ru'hai'feng'wei
青山背故乡,qing'shan'bei'gu'xiang
青山不断三湘道,qing'shan'bu'duan'san'xiang'dao
青山常对卷帘时,qing'shan'chang'dui'juan'lian'shi
青山春满目,qing'shan'chun'man'mu
青山独归远,qing'shan'du'gui'yuan
清山独往路,qing'shan'du'wang'lu
青山对结庐,qing'shan'dui'jie'lu
青山过板桥,qing'shan'guo'ban'qiao
青山郭外斜,qing'shan'guo'wai'xie
青山鄠杜深,qing'shan'hu'du'shen
青山见此君,qing'shan'jian'ci'jun
青山将绿水,qing'shan'jiang'lv'shui
青山江上秋,qing'shan'jiang'shang'qiu
晴山卷幔出,qing'shan'juan'man'chu
青山空向泪,qing'shan'kong'xiang'lei
青山空向人,qing'shan'kong'xiang'ren
青山落日那堪望,qing'shan'luo'ri'na'kan'wang
青山明月不曾空,qing'shan'ming'yue'bu'ceng'kong
青山明月梦中看,qing'shan'ming'yue'meng'zhong'kan
青山暮暮朝朝,qing'shan'mu'mu'zhao'zhao
青山暮与朝,qing'shan'mu'yu'chao
青山千万状,qing'shan'qian'wan'zhuang
晴山秦望近,qing'shan'qin'wang'jin
青山数行泪,qing'shan'shu'xing'lei
青山水国遥,qing'shan'shui'guo'yao
青山万里看,qing'shan'wan'li'kan
青山万里一孤舟,qing'shan'wan'li'yi'gu'zhou
青山无限水漫漫,qing'shan'wu'xian'shui'man'man
青山一道同云雨,qing'shan'yi'dao'tong'yun'yu
青山隐隐孤舟微,qing'shan'yin'yin'gu'zhou'wei
青山犹闭数株松,qing'shan'you'bi'shu'zhu'song
青山与旧恩,qing'shan'yu'jiu'en
青山欲暮多,qing'shan'yu'mu'duo
青山欲暮时,qing'shan'yu'mu'shi
青山欲衔半边日,qing'shan'yu'xian'ban'bian'ri
青山远近带皇州,qing'shan'yuan'jin'dai'huang'zhou
青山在县门,qing'shan'zai'xian'men
清商劳一弹,qing'shang'lao'yi'tan
情声合两无违,qing'sheng'he'liang'wu'wei
轻生一剑知,qing'sheng'yi'jian'zhi
青丝素丝红绿丝,qing'si'su'si'hong'lv'si
青松临古路,qing'song'lin'gu'lu
青松心在任风霜,qing'song'xin'zai'ren'feng'shuang
青松有岁寒,qing'song'you'sui'han
青琐银簧云母扇,qing'suo'yin'huang'yun'mu'shan
青琐幽深漏刻长,qing'suo'you'shen'lou'ke'chang
青苔常满路,qing'tai'chang'man'lu
青苔黄叶满贫家,qing'tai'huang'ye'man'pin'jia
清谈晓不寐,qing'tan'xiao'bu'mei
青天白露掌中擎,qing'tian'bai'lu'zhang'zhong'qing
青天白日摧紫荆,qing'tian'bai'ri'cui'zi'jing
晴望尽京华,qing'wang'jin'jing'hua
顷为衡湘客,qing'wei'heng'xiang'ke
清文颇垂示,qing'wen'po'chui'shi
青溪访道凌烟曙,qing'xi'fang'dao'ling'yan'shu
清溪深不测,qing'xi'shen'bu'ce
青霞半落日,qing'xia'ban'luo'ri
清弦方奏鹍,qing'xian'fang'zou'kun
清晓因兴来,qing'xiao'yin'xing'lai
倾心酒美尽玉碗,qing'xin'jiu'mei'jin'yu'wan
清兴属凉初,qing'xing'shu'liang'chu
情性有所习,qing'xing'you'suo'xi
青轩桃李能几何,qing'xuan'tao'li'neng'ji'he
轻言托朋友,qing'yan'tuo'peng'you
青阳逼岁除,qing'yang'bi'sui'chu
青阳淑气盘,qing'yang'shu'qi'pan
青阳岁又更,qing'yang'sui'you'geng
青阳一觏止,qing'yang'yi'gou'zhi
青阳振蛰初颁历,qing'yang'zhen'zhe'chu'ban'li
轻徭伫俗和,qing'yao'zhu'su'he
清夜宿招提,qing'ye'su'zhao'ti
顷因岁月满,qing'yin'sui'yue'man
轻盈伴玉人,qing'ying'ban'yu'ren
顷游灵台下,qing'you'ling'tai'xia
青鱼雪落鲙橙齑,qing'yu'xue'luo'kuai'cheng'ji
清猿不可听,qing'yuan'bu'ke'ting
清猿古木中,qing'yuan'gu'mu'zhong
清猿无断时,qing'yuan'wu'duan'shi
卿月在南徐,qing'yue'zai'nan'xu
晴云淡初夜,qing'yun'dan'chu'ye
青云莫道故人多,qing'yun'mo'dao'gu'ren'duo
青云杳杳无力飞,qing'yun'yao'yao'wu'li'fei
青云已干吕,qing'yun'yi'gan'lv
青云在俄顷,qing'yun'zai'e'qing
轻云自中峰,qing'yun'zi'zhong'feng
顷者慕独往,qing'zhe'mu'du'wang
顷者游上国,qing'zhe'you'shang'guo
顷者欲还嵩,qing'zhe'yu'hai'song
清砧发何处,qing'zhen'fa'he'chu
情知白日不可私,qing'zhi'bai'ri'bu'ke'si
青冢常无草木烟,qing'zhong'chang'wu'cao'mu'yan
轻舟恣来往,qing'zhou'zi'lai'wang
穷兵黩武今如此,qiong'bing'du'wu'jin'ru'ci
琼草隐深谷,qiong'cao'yin'shen'gu
穷愁只是惜良时,qiong'chou'zhi'shi'xi'liang'shi
穷分安藜藿,qiong'fen'an'li'huo
穷海别离无限路,qiong'hai'bie'li'wu'xian'lu
琼浆岂易挹,qiong'jiang'qi'yi'yi
琼浆驻容发,qiong'jiang'zhu'rong'fa
穷居长蓬蒿,qiong'ju'chang'peng'hao
穷寇势将变,qiong'kou'shi'jiang'bian
穷年事远公,qiong'nian'shi'yuan'gong
穷年卧海峤,qiong'nian'wo'hai'qiao
穷年无所成,qiong'nian'wu'suo'cheng
穷秋旷野行人绝,qiong'qiu'kuang'ye'xing'ren'jue
蛩声暮啾啾,qiong'sheng'mu'jiu'jiu
穷通若有命,qiong'tong'ruo'you'ming
穷途方恸哭,qiong'tu'fang'tong'ku
穷巷无人鸟雀闲,qiong'xiang'wu'ren'niao'que'xian
穷阴淮海凝,qiong'yin'huai'hai'ning
穷阴连晦朔,qiong'yin'lian'hui'shuo
穷阴人易伤,qiong'yin'ren'yi'shang
穷鱼饵奔鲸,qiong'yu'er'ben'jing
穷鱼守枯池,qiong'yu'shou'ku'chi
琼枝不可忘,qiong'zhi'bu'ke'wang
秋傍竹房多,qiu'bang'zhu'fang'duo
秋草闭门深,qiu'cao'bi'men'shen
秋草不生三径处,qiu'cao'bu'sheng'san'jing'chu
秋草独寻人去后,qiu'cao'du'xun'ren'qu'hou
秋草行将暮,qiu'cao'hang'jiang'mu
秋草黄花覆古阡,qiu'cao'huang'hua'fu'gu'qian
秋草连天独归,qiu'cao'lian'tian'du'gui
秋草马蹄轻,qiu'cao'ma'ti'qing
秋草茫茫觅故侯,qiu'cao'mang'mang'mi'gu'hou
秋草送西归,qiu'cao'song'xi'gui
秋草通征骑,qiu'cao'tong'zheng'qi
秋草芜三径,qiu'cao'wu'san'jing
秋蝉号阶轩,qiu'chan'hao'jie'xuan
秋成报万箱,qiu'cheng'bao'wan'xiang
秋成不廉俭,qiu'cheng'bu'lian'jian
秋发已衰改,qiu'fa'yi'shuai'gai
秋风感长年,qiu'feng'gan'chang'nian
秋风合五兵,qiu'feng'he'wu'bing
秋风忽忆江东行,qiu'feng'hu'yi'jiang'dong'xing
秋风今已至,qiu'feng'jin'yi'zhi
秋风来暮思,qiu'feng'lai'mu'si
秋风邻笛发,qiu'feng'lin'di'fa
