安定堡,an'ding'bao
俄式薄饼,e'shi'bao'bing
俄式鸡肉沙拉,e'shi'ji'rou'sha'la
俄式西餐,e'shi'xi'can
儿童奶油土司,er'tong'nai'you'tu'si
法餐,fa'can
法棍,fa'gun
法式波尔多红酒汁牛排,fa'shi'bo'er'duo'hong'jiu'zhi'niu'pai
法式布蕾,fa'shi'bu'lei
法式红酒焗蜗牛,fa'shi'hong'jiu'ju'wo'niu
法式红丝鸡柳意面,fa'shi'hong'si'ji'liu'yi'mian
法式煎小羊排,fa'shi'jian'xiao'yang'pai
法式煎鸭胸,fa'shi'jian'ya'xiong
法式焗蜗牛,fa'shi'ju'wo'niu
法式烤面包,fa'shi'kao'mian'bao
法式烤苹果,fa'shi'kao'ping'guo
法式烤纸蒸鱼,fa'shi'kao'zhi'zheng'yu
法式嫩煎鳕鱼排,fa'shi'nen'jian'xue'yu'pai
法式三明治,fa'shi'san'ming'zhi
法式土豆沙拉,fa'shi'tu'dou'sha'la
法式吐司,fa'shi'tu'si
法式吐司煎蛋配香肠,fa'shi'tu'si'jian'dan'pei'xiang'chang
法式西餐,fa'shi'xi'can
法式玉米浓汤,fa'shi'yu'mi'nong'tang
法式芝香烤翅,fa'shi'zhi'xiang'kao'chi
番菜,fan'cai
翡冷翠提拉米苏,fei'leng'cui'ti'la'mi'su
芙蓉鲜蔬汤,fu'rong'xian'shu'tang
馥郁布朗宁,fu'yu'bu'lang'ning
咖喱,ga'li
咖喱黑椒煎牛肉,ga'li'hei'jiao'jian'niu'rou
咖喱鸡饭,ga'li'ji'fan
咖喱鸡肉,ga'li'ji'rou
咖喱鸡肉焗土豆,ga'li'ji'rou'ju'tu'dou
咖喱土豆泥,ga'li'tu'dou'ni
干白,gan'bai
干红,gan'hong
橄榄油,gan'lan'you
骨牛排,gu'niu'pai
海苔扇贝,hai'tai'shan'bei
海鲜大烩,hai'xian'da'hui
海鲜汤,hai'xian'tang
海盐,hai'yan
耗油,hao'you
黑胡椒,hei'hu'jiao
黑胡椒碎,hei'hu'jiao'sui
黑椒蘑菇培根意面,hei'jiao'mo'gu'pei'gen'yi'mian
红酒醋,hong'jiu'cu
红酒山鸡,hong'jiu'shan'ji
红葡萄酒,hong'pu'tao'jiu
胡萝卜餐包,hu'luo'bo'can'bao
华夫饼,hua'fu'bing
华夫饼蛋糕,hua'fu'bing'dan'gao
黄油,huang'you
黄油鸡卷,huang'you'ji'juan
黄油汁,huang'you'zhi
鸡蛋肉松卷,ji'dan'rou'song'juan
鸡蛋猪柳卷,ji'dan'zhu'liu'juan
鸡丁沙拉,ji'ding'sha'la
鸡肝牛排,ji'gan'niu'pai
忌廉汤,ji'lian'tang
鸡茸蘑菇汤,ji'rong'mo'gu'tang
鸡心豆,ji'xin'dou
家庭披萨,jia'ting'pi'sa
夹心圆面包,jia'xin'yuan'mian'bao
煎鹅肝,jian'e'gan
坚果芝士焗饭,jian'guo'zhi'shi'ju'fan
焦糖布丁,jiao'tang'bu'ding
金巴利,jin'ba'li
金酒,jin'jiu
金枪鱼,jin'qiang'yu
金枪鱼沙拉,jin'qiang'yu'sha'la
金万利香橙酒,jin'wan'li'xiang'cheng'jiu
金钻甜奶油,jin'zuan'tian'nai'you
劲爆鸡米花,jing'bao'ji'mi'hua
焗饭,ju'fan
焗馄饨,ju'hun'tun
焗鱼排,ju'yu'pai
橘子烧野鸭,ju'zi'shao'ye'ya
卡布基松露,ka'bu'ji'song'lu
咖啡糖,ka'fei'tang
咖啡土司,ka'fei'tu'si
凯撒鸡肉卷,kai'sa'ji'rou'juan
凯撒面包,kai'sa'mian'bao
凯撒色拉酱鸡肉卷,kai'sa'se'la'jiang'ji'rou'juan
凯撒沙拉,kai'sa'sha'la
凯撒沙律,kai'sa'sha'lv
烤大虾苏夫力,kao'da'xia'su'fu'li
烤火鸡,kao'huo'ji
烤牛骨,kao'niu'gu
可可焦糖慕斯,ke'ke'jiao'tang'mu'si
可可曲奇饼,ke'ke'qu'qi'bing
可可樱桃马芬,ke'ke'ying'tao'ma'fen
可颂,ke'song
快手吐司披萨,kuai'shou'tu'si'pi'sa
辣椒仔,la'jiao'zai
蓝莓奶酪,lan'mei'nai'lao
狼牙生菜,lang'ya'sheng'cai
肋排,lei'pai
冷苹果汤,leng'ping'guo'tang
里脊,li'ji
凉拌茼蒿佐三文鱼,liang'ban'tong'hao'zuo'san'wen'yu
凉拌芝麻三文鱼,liang'ban'zhi'ma'san'wen'yu
龙俐鱼,long'li'yu
龙虾汤,long'xia'tang
芦笋,lu'sun
罗宋汤,luo'song'tang
罗先尼,luo'xian'ni
马赛鱼羹,ma'sai'yu'geng
马苏里拉,ma'su'li'la
芒果雪芭,mang'guo'xue'ba
芒香西番莲,mang'xiang'xi'fan'lian
玫荔诱惑,mei'li'you'huo
美式牛扒,mei'shi'niu'pa
美式西餐,mei'shi'xi'can
美式香酥署格,mei'shi'xiang'su'shu'ge
美式洋葱圈,mei'shi'yang'cong'quan
面包,mian'bao
面包改良剂,mian'bao'gai'liang'ji
面包糠,mian'bao'kang
明治排,ming'zhi'pai
抹茶冰淇淋,mo'cha'bing'qi'lin
抹茶豆腐冻芝士蛋糕,mo'cha'dou'fu'dong'zhi'shi'dan'gao
抹茶风车饼干,mo'cha'feng'che'bing'gan
抹茶京都,mo'cha'jing'du
抹茶卷心酥饼,mo'cha'juan'xin'su'bing
抹茶栗子杯子蛋糕,mo'cha'li'zi'bei'zi'dan'gao
抹茶蜜豆慕斯,mo'cha'mi'dou'mu'si
抹茶酥,mo'cha'su
蘑菇汤,mo'gu'tang
摩利菌,mo'li'jun
墨鱼,mo'yu
慕斯,mu'si
奶酪,nai'lao
奶酪焗通心粉,nai'lao'ju'tong'xin'fen
奶油,nai'you
奶油草莓,nai'you'cao'mei
奶油炖菜,nai'you'dun'cai
奶油韩式南瓜粥,nai'you'han'shi'nan'gua'zhou
奶油华夫,nai'you'hua'fu
奶油烩鸡胸肉,nai'you'hui'ji'xiong'rou
奶油蘑菇浓汤,nai'you'mo'gu'nong'tang
奶油蘑菇汤,nai'you'mo'gu'tang
奶油蘑菇意大利面,nai'you'mo'gu'yi'da'li'mian
奶油蘑菇意面,nai'you'mo'gu'yi'mian
奶油南瓜海鲜汤,nai'you'nan'gua'hai'xian'tang
奶油南瓜浓汤,nai'you'nan'gua'nong'tang
奶油南瓜派,nai'you'nan'gua'pai
奶油培根意大利麵,nai'you'pei'gen'yi'da'li'mian
奶油培根意面,nai'you'pei'gen'yi'mian
奶油生菜,nai'you'sheng'cai
奶油吐司面包,nai'you'tu'si'mian'bao
奶油杂蔬,nai'you'za'shu
奶油芝士,nai'you'zhi'shi
奶汁土豆泥焗鸡块,nai'zhi'tu'dou'ni'ju'ji'kuai
南瓜毛毛虫面包,nan'gua'mao'mao'chong'mian'bao
南瓜奶香汤,nan'gua'nai'xiang'tang
南瓜浓汤,nan'gua'nong'tang
南瓜汤,nan'gua'tang
南瓜小面包,nan'gua'xiao'mian'bao
南美风情烤牛肉,nan'mei'feng'qing'kao'niu'rou
南洋叻沙鸡肉饭,nan'yang'le'sha'ji'rou'fan
柠乐,ning'le
柠檬汁,ning'meng'zhi
牛骨,niu'gu
牛里脊,niu'li'ji
牛柳,niu'liu
牛奶,niu'nai
牛奶太妃,niu'nai'tai'fei
牛扒,niu'pa
牛清汤,niu'qing'tang
牛水,niu'shui
牛外脊,niu'wai'ji
纽约芝士蛋糕,niu'yue'zhi'shi'dan'gao
浓情香鸡翼,nong'qing'xiang'ji'yi
帕尔玛火腿,pa'er'ma'huo'tui
帕玛森芝士,pa'ma'sen'zhi'shi
潘式奶酪焗意粉,pan'shi'nai'lao'ju'yi'fen
培根薄荷卷,pei'gen'bo'he'juan
培根蛋酱意大利面,pei'gen'dan'jiang'yi'da'li'mian
培根金针菇卷,pei'gen'jin'zhen'gu'juan
培根菌菇披萨,pei'gen'jun'gu'pi'sa
培根蘑菇挞,pei'gen'mo'gu'ta
培根蘑菇土豆派,pei'gen'mo'gu'tu'dou'pai
培根匹萨,pei'gen'pi'sa
皮萨草叶,pi'sa'cao'ye
飘仙一号,piao'xian'yi'hao
平底锅面饼面包,ping'di'guo'mian'bing'mian'bao
平底锅披萨,ping'di'guo'pi'sa
苹果,ping'guo
苹果沙拉,ping'guo'sha'la
葡式蛋挞,pu'shi'dan'ta
葡萄牙姆酒,pu'tao'ya'mu'jiu
奇斯多拉香肠,qi'si'duo'la'xiang'chang
前菜,qian'cai
千层面,qian'ceng'mian
千层巧克力香蕉可丽饼,qian'ceng'qiao'ke'li'xiang'jiao'ke'li'bing
千岛酱香煎嫩鸡胸,qian'dao'jiang'xiang'jian'nen'ji'xiong
巧克力奥利奥杯子蛋糕,qiao'ke'li'ao'li'ao'bei'zi'dan'gao
巧克力布朗尼,qiao'ke'li'bu'lang'ni
巧克力覆盆子慕斯蛋糕,qiao'ke'li'fu'pen'zi'mu'si'dan'gao
巧克力金字塔,qiao'ke'li'jin'zi'ta
巧克力镜面蛋糕,qiao'ke'li'jing'mian'dan'gao
巧克力栗蓉树根蛋糕,qiao'ke'li'li'rong'shu'gen'dan'gao
巧克力面包,qiao'ke'li'mian'bao
巧克力慕斯杯,qiao'ke'li'mu'si'bei
巧克力奇普酥饼,qiao'ke'li'qi'pu'su'bing
巧克力融雪,qiao'ke'li'rong'xue
巧克力熔岩蛋糕,qiao'ke'li'rong'yan'dan'gao
巧克力熔岩小蛋糕,qiao'ke'li'rong'yan'xiao'dan'gao
巧克力松露蛋糕,qiao'ke'li'song'lu'dan'gao
巧克力吐司三明治,qiao'ke'li'tu'si'san'ming'zhi
巧克力香蕉椰蓉球,qiao'ke'li'xiang'jiao'ye'rong'qiu
巧克力纸杯蛋糕,qiao'ke'li'zhi'bei'dan'gao
茄汁鱿鱼鲜虾面,qie'zhi'you'yu'xian'xia'mian
青芥末,qing'jie'mo
清酒,qing'jiu
青木瓜,qing'mu'gua
曲奇饼干,qu'qi'bing'gan
曲奇香奶,qu'qi'xiang'nai
雀巢淡奶油,que'chao'dan'nai'you
日本酱油,ri'ben'jiang'you
肉末通心粉,rou'mo'tong'xin'fen
肉眼,rou'yan
乳酪大会,ru'lao'da'hui
乳猪,ru'zhu
萨拉米,sa'la'mi
三明冶,san'ming'ye
三明治,san'ming'zhi
三色土司,san'se'tu'si
三色鱿鱼佐洋芋,san'se'you'yu'zuo'yang'yu
三文鱼,san'wen'yu
三文鱼菠菜皮卷,san'wen'yu'bo'cai'pi'juan
三文鱼牛油果焗蘑菇,san'wen'yu'niu'you'guo'ju'mo'gu
三文鱼球配柠檬酱汁,san'wen'yu'qiu'pei'ning'meng'jiang'zhi
三文治,san'wen'zhi
三鲜意面,san'xian'yi'mian
桑果雪芭,sang'guo'xue'ba
沙丁鱼丸螺旋意面,sha'ding'yu'wan'luo'xuan'yi'mian
沙福罗鸡,sha'fu'luo'ji
沙拉,sha'la
沙拉酱,sha'la'jiang
沙拉培根土豆饼,sha'la'pei'gen'tu'dou'bing
沙拉芝士烤鸡排,sha'la'zhi'shi'kao'ji'pai
上校鸡块,shang'xiao'ji'kuai
烧汁,shao'zhi
深海鳕鱼条,shen'hai'xue'yu'tiao
生菜,sheng'cai
生蚝,sheng'hao
圣女果,sheng'nv'guo
什锦冷盘,shi'jin'leng'pan
莳萝芦笋三文鱼面,shi'luo'lu'sun'san'wen'yu'mian
蔬菜沙拉,shu'cai'sha'la
蔬菜汤,shu'cai'tang
熟菜油,shu'cai'you
蔬果搭配,shu'guo'da'pei
梳乎厘,shu'hu'li
薯烩羊肉,shu'hui'yang'rou
双层三明治火腿香蕉,shuang'ceng'san'ming'zhi'huo'tui'xiang'jiao
双立人,shuang'li'ren
双料披萨,shuang'liao'pi'sa
双薯沙拉,shuang'shu'sha'la
水瓜柳,shui'gua'liu
水管面,shui'guan'mian
四季鲜蔬,si'ji'xian'shu
四喜披萨,si'xi'pi'sa
松露菌,song'lu'jun
松露巧克力,song'lu'qiao'ke'li
酥皮奶油蛤蜊汤,su'pi'nai'you'ge'li'tang
酥炸鱿鱼,su'zha'you'yu
酸黄瓜汤,suan'huang'gua'tang
太妃糖,tai'fei'tang
泰舒茶,tai'shu'cha
炭烤鸡肉沙拉,tan'kao'ji'rou'sha'la
碳烤鸡肉芝士焗饭,tan'kao'ji'rou'zhi'shi'ju'fan
糖粉,tang'fen
糖酱煎饼,tang'jiang'jian'bing
糖水,tang'shui
特级橄榄油,te'ji'gan'lan'you
提拉米苏,ti'la'mi'su
提子司康,ti'zi'si'kang
天辣剁椒鸡串,tian'la'duo'jiao'ji'chuan
甜奶油,tian'nai'you
通心粉素菜汤,tong'xin'fen'su'cai'tang
土豆饼,tu'dou'bing
土豆泥,tu'dou'ni
吐司,tu'si
土司,tu'si
吐司煎蛋配芦笋,tu'si'jian'dan'pei'lu'sun
土司焦糖核桃挞,tu'si'jiao'tang'he'tao'ta
土司烤布丁,tu'si'kao'bu'ding
土司牛排三明治,tu'si'niu'pai'san'ming'zhi
吐司披萨,tu'si'pi'sa
土司披萨,tu'si'pi'sa
土司苹果派,tu'si'ping'guo'pai
吐司水果小批萨,tu'si'shui'guo'xiao'pi'sa
吐司太阳蛋五彩披萨,tu'si'tai'yang'dan'wu'cai'pi'sa
土司小披萨,tu'si'xiao'pi'sa
吞拿鱼卷,tun'na'yu'juan
吞拿鱼披萨,tun'na'yu'pi'sa
万能烤箱,wan'neng'kao'xiang
微波炉吐司披萨,wei'bo'lu'tu'si'pi'sa
威臣,wei'chen
西餐厨师,xi'can'chu'shi
希腊风味烤羊肩,xi'la'feng'wei'kao'yang'jian
西冷,xi'leng
夏日沙拉,xia'ri'sha'la
夏威夷风光,xia'wei'yi'feng'guang
夏威夷果仁,xia'wei'yi'guo'ren
鲜美多汁煎牛排,xian'mei'duo'zhi'jian'niu'pai
鲜蘑汤,xian'mo'tang
鲜虾皇冠芝心比萨,xian'xia'huang'guan'zhi'xin'bi'sa
鲜虾鸡蛋卷,xian'xia'ji'dan'juan
香焙核桃挞,xiang'bei'he'tao'ta
香草,xiang'cao
香草凤尾虾,xiang'cao'feng'wei'xia
香脆署棒,xiang'cui'shu'bang
香烤菲力牛排,xiang'kao'fei'li'niu'pai
香烤肋排,xiang'kao'lei'pai
香芒冰情,xiang'mang'bing'qing
香芒墓斯蛋糕,xiang'mang'mu'si'dan'gao
香芒雪域蛋糕,xiang'mang'xue'yu'dan'gao
香浓黑巧克力蛋糕,xiang'nong'hei'qiao'ke'li'dan'gao
香浓芝士蛋糕,xiang'nong'zhi'shi'dan'gao
香蒜,xiang'suan
香蒜面包,xiang'suan'mian'bao
香甜粟米棒,xiang'tian'su'mi'bang
香柚蜂蜜茶,xiang'you'feng'mi'cha
香汁大虾,xiang'zhi'da'xia
小扁豆,xiao'bian'dou
小番茄沙拉,xiao'fan'qie'sha'la
小米玉米粥,xiao'mi'yu'mi'zhou
蟹足棒,xie'zu'bang
新奥尔良烤翅,xin'ao'er'liang'kao'chi
鳕鱼,xue'yu
压力锅披萨,ya'li'guo'pi'sa
眼肉,yan'rou
烟熏,yan'xun
烟熏三文鱼,yan'xun'san'wen'yu
烟熏三文鱼沙拉,yan'xun'san'wen'yu'sha'la
洋葱汤,yang'cong'tang
羊柳,yang'liu
羊排,yang'pai
瑶柱海鲜饭,yao'zhu'hai'xian'fan
椰蓉马卡隆,ye'rong'ma'ka'long
意大利面,yi'da'li'mian
意大利肉酱面,yi'da'li'rou'jiang'mian
怡神饮料,yi'shen'yin'liao
意式茄汁海鲜饭,yi'shi'qie'zhi'hai'xian'fan
意式西餐,yi'shi'xi'can
意式香浓菜汤,yi'shi'xiang'nong'cai'tang
饮品,yin'pin
银鳕鱼,yin'xue'yu
银鱼柳,yin'yu'liu
英式西餐,ying'shi'xi'can
油醋汁,you'cu'zhi
油侵金枪鱼,you'qin'jin'qiang'yu
鱿鱼,you'yu
玉米色拉,yu'mi'se'la
鱼肉包子,yu'rou'bao'zi
鱼汁,yu'zhi
鱼子酱,yu'zi'jiang
元宝酥,yuan'bao'su
圆仔蛋面包,yuan'zai'dan'mian'bao
毡酒,zhan'jiu
芝士,zhi'shi
芝士蛋堡,zhi'shi'dan'bao
芝士蛋堡餐,zhi'shi'dan'bao'can
芝士酿蟹盒,zhi'shi'niang'xie'he
芝香黄金鲽鱼,zhi'xiang'huang'jin'die'yu
芝香鸡肉酥,zhi'xiang'ji'rou'su
中式烤法包,zhong'shi'kao'fa'bao
仲夏野莓,zhong'xia'ye'mei
主菜,zhu'cai
猪柳蛋堡餐,zhu'liu'dan'bao'can
紫甘蓝,zi'gan'lan
字母意大利面,zi'mu'yi'da'li'mian
孜然,zi'ran
孜然火腿肠,zi'ran'huo'tui'chang
孜然煎羊排,zi'ran'jian'yang'pai
紫苏叶,zi'su'ye
尊尼沃加,zun'ni'wo'jia
