阿纷,a'fen
未亡人,wei'wang'ren
文复允,wen'fu'yun
武安王,wu'an'wang
武林第一高手,wu'lin'di'yi'gao'shou
五品骁骑都尉,wu'pin'xiao'qi'du'wei
武曲星下凡,wu'qu'xing'xia'fan
伍仁,wu'ren
吴如涂,wu'ru'tu
西安守备,xi'an'shou'bei
西庭德宗,xi'ting'de'zong
夕颜,xi'yan
熹宗,xi'zong
夏表,xia'biao
贤孝端文皇后,xian'xiao'duan'wen'huang'hou
香槟公主,xiang'bin'gong'zhu
香芹,xiang'qin
小韩信,xiao'han'xin
萧世宗,xiao'shi'zong
孝文帝,xiao'wen'di
小新,xiao'xin
孝元帝,xiao'yuan'di
小醉仙,xiao'zui'xian
谢夫人谢梅香一品诰命夫人,xie'fu'ren'xie'mei'xiang'yi'pin'gao'ming'fu'ren
谢三娘,xie'san'niang
谢三叔,xie'san'shu
秀兰,xiu'lan
宣姜,xuan'jiang
轩辕本绪,xuan'yuan'ben'xu
轩辕泊,xuan'yuan'bo
轩辕复昱,xuan'yuan'fu'yu
轩辕光御,xuan'yuan'guang'yu
轩辕淑环,xuan'yuan'shu'huan
轩辕淑琪,xuan'yuan'shu'qi
轩辕淑仪,xuan'yuan'shu'yi
轩辕煦,xuan'yuan'xu
轩辕翼,xuan'yuan'yi
轩辕紫蠡,xuan'yuan'zi'li
轩辕紫弥,xuan'yuan'zi'mi
阳儿,yang'er
杨绿水,yang'lv'shui
姚碧莹,yao'bi'ying
姚世昌,yao'shi'chang
依明,yi'ming
依秀塔尔,yi'xiu'ta'er
殷申,yin'shen
英宗,ying'zong
悠悠,you'you
于飞燕,yu'fei'yan
豫刚亲王,yu'gang'qin'wang
玉郎君,yu'lang'jun
玉流云,yu'liu'yun
元帝,yuan'di
原非白,yuan'fei'bai
原非珏,yuan'fei'jue
原非流,yuan'fei'liu
原非情,yuan'fei'qing
原非烟,yuan'fei'yan
原非云,yuan'fei'yun
原连氏,yuan'lian'shi
原青枫,yuan'qing'feng
原青江,yuan'qing'jiang
原青舞,yuan'qing'wu
原武,yuan'wu
园艺师,yuan'yi'shi
云从龙,yun'cong'long
云兼,yun'jian
詹宁女太皇,zhan'ning'nv'tai'huang
张德茂,zhang'de'mao
张贵妃,zhang'gui'fei
张老头,zhang'lao'tou
张民鹤,zhang'min'he
张世显,zhang'shi'xian
张秀才,zhang'xiu'cai
张禹,zhang'yu
张之严,zhang'zhi'yan
张之严的参将,zhang'zhi'yan'de'can'jiang
赵阿大,zhao'a'da
赵孟林,zhao'meng'lin
震天虎啸,zhen'tian'hu'xiao
真武,zhen'wu
珍珠,zhen'zhu
真宗,zhen'zong
郑峭,zheng'qiao
支骨,zhi'gu
忠伯,zhong'bo
钟灵神秀,zhong'ling'shen'xiu
仲书,zhong'shu
忠显王,zhong'xian'wang
周朋春,zhou'peng'chun
周世祖,zhou'shi'zu
周游嗣,zhou'you'si
朱英,zhu'ying
卓朗朵姆,zhuo'lang'duo'mu
字然之,zi'ran'zhi
字吟风,zi'yin'feng
醉仙楼头牌,zui'xian'lou'tou'pai
左相,zuo'xiang
左相国,zuo'xiang'guo
