阿修罗火焰,a'xiu'luo'huo'yan
六掌流星乱打,liu'zhang'liu'xing'luan'da
龙之须,long'zhi'xu
乱马,luan'ma
乱马二分之一,luan'ma'er'fen'zhi'yi
乱子,luan'zi
猫八重身之术,mao'ba'chong'shen'zhi'shu
猫饭店,mao'fan'dian
猫魔铃,mao'mo'ling
猫溺泉,mao'ni'quan
猫拳,mao'quan
猛虎爆碎拳,meng'hu'bao'sui'quan
猛虎高飞车,meng'hu'gao'fei'che
猛虎开门破,meng'hu'kai'men'po
猛虎落地势,meng'hu'luo'di'shi
猛虎落地式,meng'hu'luo'di'shi
猛虎一击式,meng'hu'yi'ji'shi
魔犬恸哭破,mo'quan'tong'ku'po
沐丝,mu'si
南蛮镜,nan'man'jing
男溺泉,nan'ni'quan
脑天笔冲击,nao'tian'bi'chong'ji
溺泉,ni'quan
娘溺泉,niang'ni'quan
女杰族,nv'jie'zu
潘斯特流星脚,pan'si'te'liu'xing'jiao
潘斯特太郎,pan'si'te'tai'lang
潘特斯太郎,pan'te'si'tai'lang
贫力虚脱灸,pin'li'xu'tuo'jiu
破毒盾,po'du'dun
千手棒,qian'shou'bang
青蛙假死式,qing'wa'jia'si'shi
全身猫舌,quan'shen'mao'she
全身隐形,quan'shen'yin'xing
洒水婆婆,sa'shui'po'po
三千院帝,san'qian'yuan'di
鲨鱼拳,sha'yu'quan
山葵爆烟墨,shan'kui'bao'yan'mo
珊璞,shan'pu
山千拳,shan'qian'quan
蛇形拳,she'xing'quan
狮子咆哮弹,shi'zi'pao'xiao'dan
死亡之吻,si'wang'zhi'wen
螳螂腿,tang'lang'tui
特制码超大烧饼,te'zhi'ma'chao'da'shao'bing
天道美,tian'dao'mei
天道靡,tian'dao'mi
天道茜,tian'dao'qian
天道霞,tian'dao'xia
天道早云,tian'dao'zao'yun
天花乱坠术,tian'hua'luan'zhui'shu
童子溺泉,tong'zi'ni'quan
徒手孝行乱打,tu'shou'xiao'xing'luan'da
鸵鸟拳,tuo'niao'quan
蛙仙人,wa'xian'ren
我流拳法,wo'liu'quan'fa
无差别格斗天道流,wu'cha'bie'ge'dou'tian'dao'liu
五寸钉,wu'cun'ding
五寸钉光,wu'cun'ding'guang
无敌镜,wu'di'jing
武藏细金,wu'zang'xi'jin
响黑白,xiang'hei'bai
橡胶紧缚墨,xiang'jiao'jin'fu'mo
响良牙,xiang'liang'ya
小百合,xiao'bai'he
小笔爆裂弹,xiao'bi'bao'lie'dan
小墨鱼王特级八百乱打,xiao'mo'yu'wang'te'ji'ba'bai'luan'da
小乃东风,xiao'nai'dong'feng
小茜,xiao'qian
小茜溺泉,xiao'qian'ni'quan
小早川虎正,xiao'zao'chuan'hu'zheng
熊猫溺泉,xiong'mao'ni'quan
熊拳,xiong'quan
胸袭魔爪拳,xiong'xi'mo'zhao'quan
袖里乾坤,xiu'li'qian'kun
玄马,xuan'ma
鸭子溺泉,ya'zi'ni'quan
燕右京,yan'you'jing
夜叉探海包,ye'cha'tan'hai'bao
一日玉,yi'ri'yu
一生玉,yi'sheng'yu
一瞬玉,yi'shun'yu
移形换影术,yi'xing'huan'ying'shu
一指禅,yi'zhi'chan
英俊小太郎,ying'jun'xiao'tai'lang
迎门铁扇指,ying'men'tie'shan'zhi
鹰爪拳,ying'zhao'quan
游带刀,you'dai'dao
友好电击环,you'hao'dian'ji'huan
右京,you'jing
由香,you'xiang
雨太郎,yu'tai'lang
怨恨火箭炮,yuan'hen'huo'jian'pao
圆阵火焰墨,yuan'zhen'huo'yan'mo
元祖无差别格斗,yuan'zu'wu'cha'bie'ge'dou
元祖无差别格斗早乙女流,yuan'zu'wu'cha'bie'ge'dou'zao'yi'nv'liu
云龙明,yun'long'ming
云龙亚加利,yun'long'ya'jia'li
早乙女佳香,zao'yi'nv'jia'xiang
早乙女流,zao'yi'nv'liu
早乙女乱马,zao'yi'nv'luan'ma
早乙女玄马,zao'yi'nv'xuan'ma
斩毒刀,zhan'du'dao
珍玄齐,zhen'xuan'qi
真之介,zhen'zhi'jie
至仁宗达,zhi'ren'zong'da
指压拳,zhi'ya'quan
支柱落地势,zhi'zhu'luo'di'shi
中国拳法,zhong'guo'quan'fa
咒泉乡,zhou'quan'xiang
