阿大,a'da
鬼迷牢,gui'mi'lao
鬼眯细眼,gui'mi'xi'yan
鬼弄耸,gui'nong'song
鬼匹望着,gui'pi'wang'zhe
鬼套笼,gui'tao'long
鬼天画葫芦,gui'tian'hua'hu'lu
鬼天花罗,gui'tian'hua'luo
鬼头风,gui'tou'feng
滚壮,gun'zhuang
过饭,guo'fan
蛤蟆吃夹蜢,ha'ma'chi'jia'meng
海草鸡,hai'cao'ji
海卵喷天,hai'luan'pen'tian
海事干,hai'shi'gan
好哽,hao'geng
好看,hao'kan
好朋友勤算帐,hao'peng'you'qin'suan'zhang
好人孬做,hao'ren'nao'zuo
薧头,hao'tou
毫燥,hao'zao
喝西北风,he'xi'bei'feng
黑洞洞,hei'dong'dong
嘿人,hei'ren
横边,heng'bian
横峰,heng'feng
横河,heng'he
横横动,heng'heng'dong
横讲,heng'jiang
横山头,heng'shan'tou
哄活骗,hong'huo'pian
红猛日头,hong'meng'ri'tou
红彤彤,hong'tong'tong
红眼鳓鱼,hong'yan'le'yu
侯好,hou'hao
猴好吃,hou'hao'chi
后髋,hou'kuan
侯漂亮,hou'piao'liang
侯贪哽,hou'tan'geng
糊得得,hu'de'de
糊里夹沓,hu'li'jia'ta
虎姆,hu'mu
忽拳,hu'quan
忽生,hu'sheng
护云天价,hu'yun'tian'jia
花菜,hua'cai
滑潺潺,hua'chan'chan
滑溜鳗,hua'liu'man
花麦壳,hua'mai'ke
画眉眼,hua'mei'yan
划算,hua'suan
花头,hua'tou
滑头,hua'tou
花头眼,hua'tou'yan
花头野斜,hua'tou'ye'xie
滑外皮,hua'wai'pi
花眼,hua'yan
黄包车,huang'bao'che
黄光光,huang'guang'guang
黄昏头,huang'hun'tou
黄拉拉,huang'la'la
黄牛枷,huang'niu'jia
黄胖捣年糕,huang'pang'dao'nian'gao
黄婆鳝捉日头,huang'po'shan'zhuo'ri'tou
黄婆鳝钻竹棍,huang'po'shan'zuan'zhu'gun
黄头雀,huang'tou'que
黄岩斜,huang'yan'xie
晃昼照旧,huang'zhou'zhao'jiu
火爆燥,huo'bao'zao
活灵,huo'ling
活络,huo'luo
火姆,huo'mu
镬团,huo'tuan
火杖,huo'zhang
鸡肚肠,ji'du'chang
急吼吼,ji'hou'hou
鸡黄,ji'huang
徛徛挨挨,ji'ji'ai'ai
唧唧呱呱,ji'ji'gua'gua
鸡马喊叫,ji'ma'han'jiao
基年,ji'nian
鸡娘,ji'niang
基日,ji'ri
积象棋,ji'xiang'qi
鸡种,ji'zhong
鸡子,ji'zi
虮做勿起大浪,ji'zuo'wu'qi'da'lang
夹蜢吃稻花,jia'meng'chi'dao'hua
家头,jia'tou
夹屿,jia'yu
尖底红毛瓶,jian'di'hong'mao'ping
间尔啊,jian'er'a
件加件,jian'jia'jian
剪绺,jian'liu
拣七拣八,jian'qi'jian'ba
奸些,jian'xie
见眼烂,jian'yan'lan
讲上讲,jiang'shang'jiang
讲偷伴话,jiang'tou'ban'hua
讲勿着,jiang'wu'zhe
脚肚子弹琴,jiao'du'zi'tan'qin
脚梗,jiao'geng
脚骨秤梗,jiao'gu'cheng'geng
脚骨手骨带软,jiao'gu'shou'gu'dai'ruan
脚后跟测脉,jiao'hou'gen'ce'mai
脚髁头,jiao'ke'tou
脚末节头,jiao'mo'jie'tou
脚末头甲,jiao'mo'tou'jia
脚爬爬手挖挖,jiao'pa'pa'shou'wa'wa
挢其身,jiao'qi'shen
搅塘乌鱼,jiao'tang'wu'yu
叫头,jiao'tou
解板,jie'ban
戒刀,jie'dao
介个,jie'ge
结棍,jie'gun
接力,jie'li
揭落拌,jie'luo'ban
揭落抖,jie'luo'dou
介姆福千啊,jie'mu'fu'qian'a
解鹞灯,jie'yao'deng
金港,jin'gang
尽讲勿气,jin'jiang'wu'qi
经过执认,jing'guo'zhi'ren
酒吊,jiu'diao
旧年,jiu'nian
纠韧,jiu'ren
酒糟样各,jiu'zao'yang'ge
句加句,ju'jia'ju
开啊,kai'a
揩屁股,kai'pi'gu
囥个底,kang'ge'di
扛棺材,kang'guan'cai
扛脚骨,kang'jiao'gu
犒白皮,kao'bai'pi
靠好,kao'hao
考究,kao'jiu
烤头落镬头多,kao'tou'luo'huo'tou'duo
柯白老虎,ke'bai'lao'hu
柯白老鼠,ke'bai'lao'shu
客面光,ke'mian'guang
柯日头影,ke'ri'tou'ying
柯吓龙,ke'xia'long
颗星,ke'xing
磕眼,ke'yan
啃老潮,ken'lao'chao
啃鲻鱼头,ken'zi'yu'tou
空壳蟹,kong'ke'xie
空漏漏,kong'lou'lou
口舌撩鼻头,kou'she'liao'bi'tou
抠树根,kou'shu'gen
抠搜活搜,kou'sou'huo'sou
抠心虫,kou'xin'chong
裤裆里,ku'dang'li
苦瓜,ku'gua
枯心头,ku'xin'tou
块加块,kuai'jia'kuai
困草,kun'cao
捆柴打死,kun'chai'da'si
捆加捆,kun'jia'kun
阔臀蹲地,kuo'tun'dun'di
阔臀乌对乌,kuo'tun'wu'dui'wu
阔臀笑冷,kuo'tun'xiao'leng
攋屙,la'e
拉屙碾糟,la'e'nian'zao
拉风,la'feng
垃圾,la'ji
辣茄,la'qie
邋遢,la'ta
来个青装,lai'ge'qing'zhuang
赖皮耻脸,lai'pi'chi'lian
赖鸦嘴,lai'ya'zui
烂板,lan'ban
烂带鱼,lan'dai'yu
烂贱虫,lan'jian'chong
烂田翻捣臼,lan'tian'fan'dao'jiu
滥汪,lan'wang
烂虾咸,lan'xia'xian
烂心克臭,lan'xin'ke'chou
蓝茵茵,lan'yin'yin
蓝莹莹,lan'ying'ying
廊柱,lang'zhu
老板腔,lao'ban'qiang
捞柴头,lao'chai'tou
老大娘,lao'da'niang
老到,lao'dao
老刁,lao'diao
老官,lao'guan
老倌吃硬饭,lao'guan'chi'ying'fan
老菱,lao'ling
捞穷蒂头,lao'qiong'di'tou
捞穷客,lao'qiong'ke
老孺人,lao'ru'ren
唠缫,lao'sao
老鼠屎糊镬羹,lao'shu'shi'hu'huo'geng
老鼠脱落米缸,lao'shu'tuo'luo'mi'gang
老鼠眼,lao'shu'yan
老鼠钻风箱,lao'shu'zuan'feng'xiang
老太,lao'tai
老显,lao'xian
老早,lao'zao
鲤九,li'jiu
犁烂封田,li'lan'feng'tian
里厢,li'xiang
两重单,liang'chong'dan
亮晃晃,liang'huang'huang
两头爬,liang'tou'pa
料灰堆,liao'hui'dui
撩手痒,liao'shou'yang
料田折角,liao'tian'zhe'jiao
料田折角乱走,liao'tian'zhe'jiao'luan'zou
临时抱佛脚,lin'shi'bao'fo'jiao
领头转,ling'tou'zhuan
流流荡荡,liu'liu'dang'dang
六名,liu'ming
六眼无私,liu'yan'wu'si
龙抖抖,long'dou'dou
聋耳朵,long'er'duo
龙窟勿如狗窟,long'ku'wu'ru'gou'ku
龙门,long'men
龙窝不如狗窟,long'wo'bu'ru'gou'ku
喽哒,lou'da
陆搭,lu'da
碌碌动,lu'lu'dong
噜噜搅搅,lu'lu'jiao'jiao
路生嘴边,lu'sheng'zui'bian
路数,lu'shu
卵出,luan'chu
卵袋挡过地伏,luan'dai'dang'guo'di'fu
卵坏事,luan'huai'shi
卵火毛煤起,luan'huo'mao'mei'qi
卵毛绞来,luan'mao'jiao'lai
卵毛绞起爻,luan'mao'jiao'qi'yao
落船,luo'chuan
落市,luo'shi
螺丝,luo'si
落雨,luo'yu
绿壳,lv'ke
绿壳强盗,lv'ke'qiang'dao
麻袋里的菱,ma'dai'li'de'ling
麻狸骨扮观音,ma'li'gu'ban'guan'yin
马翘角,ma'qiao'jiao
麦饼,mai'bing
麦饼筒,mai'bing'tong
卖黄,mai'huang
买头,mai'tou
卖王,mai'wang
买咸鱼放生,mai'xian'yu'fang'sheng
慢人慢人福,man'ren'man'ren'fu
慢行,man'xing
慢咿起,man'yi'qi
盲刺眼,mang'ci'yan
盲视眼,mang'shi'yan
毛病月里起,mao'bing'yue'li'qi
茅草火性,mao'cao'huo'xing
茅厂,mao'chang
猫儿,mao'er
毛估估,mao'gu'gu
毛棍刺,mao'gun'ci
毛毛糙糙,mao'mao'cao'cao
毛杉树刺,mao'shan'shu'ci
毛杉树没褪皮,mao'shan'shu'mei'tui'pi
猫眼勿花,mao'yan'wu'hua
门床,men'chuang
门市,men'shi
猛火炒黄豆,meng'huo'chao'huang'dou
猛坑头,meng'keng'tou
米筛当镜照,mi'shai'dang'jing'zhao
米猪,mi'zhu
面积鼓,mian'ji'gu
面巾,mian'jin
面桶,mian'tong
蓦定头,mo'ding'tou
墨黑似洞,mo'hei'si'dong
末脚,mo'jiao
蓦临头,mo'lin'tou
摸卵黑,mo'luan'hei
墨鱼拄岩,mo'yu'zhu'yan
墨鱼注岩,mo'yu'zhu'yan
木卵倒黑,mu'luan'dao'hei
木卵范,mu'luan'fan
牧屿,mu'yu
木知木觉,mu'zhi'mu'jue
呐糙喊,na'cao'han
呐吵喊,na'chao'han
呐燥喊,na'zao'han
乃奄,nai'yan
囡儿头,nan'er'tou
孬哽,nao'geng
闹闹动,nao'nao'dong
你是间儿,ni'shi'jian'er
泥水老司,ni'shui'lao'si
泥涂,ni'tu
念大白颔,nian'da'bai'han
年度凡,nian'du'fan
念糊,nian'hu
念来五去,nian'lai'wu'qu
廿六倒开,nian'liu'dao'kai
娘舅狗屁,niang'jiu'gou'pi
娘娘,niang'niang
娘娘匹绕,niang'niang'pi'rao
娘姨,niang'yi
拗愎冻,niu'bi'dong
牛倒吃牛头,niu'dao'chi'niu'tou
牛皮灯笼,niu'pi'deng'long
牛皮凿洞,niu'pi'zao'dong
牛头不对马嘴,niu'tou'bu'dui'ma'zui
怕缩缩,pa'suo'suo
派头,pai'tou
泮郎,pan'lang
泡虾,pao'xia
皮猪肉,pi'zhu'rou
瓶加瓶,ping'jia'ping
凭天倒,ping'tian'dao
坡灰爷,po'hui'ye
气道,qi'dao
麒麟脚,qi'lin'jiao
七鲶,qi'nian
骑圈里画圈里,qi'quan'li'hua'quan'li
起头,qi'tou
齐头,qi'tou
千里寄鹅毛,qian'li'ji'e'mao
钳钳动,qian'qian'dong
千岁肖狗,qian'sui'xiao'gou
牵眼相法,qian'yan'xiang'fa
墙弄头,qiang'nong'tou
翘辫,qiao'bian
桥下,qiao'xia
挈鬼灯,qie'gui'deng
挈花头,qie'hua'tou
切漏斗,qie'lou'dou
轻畅骨头,qing'chang'gu'tou
清大白日,qing'da'bai'ri
清等白价,qing'deng'bai'jia
轻飘飘,qing'piao'piao
清骑白等,qing'qi'bai'deng
清清爽爽,qing'qing'shuang'shuang
清水横生,qing'shui'heng'sheng
去个白漂,qu'ge'bai'piao
曲蟮,qu'shan
曲鳝,qu'shan
渠伊,qu'yi
绕颈煽风炉样,rao'jing'shan'feng'lu'yang
韧臭,ren'chou
人多嘴多,ren'duo'zui'duo
韧久久,ren'jiu'jiu
韧皮鸟臭,ren'pi'niao'chou
日夹星夜,ri'jia'xing'ye
日嘞是人,ri'le'shi'ren
日头,ri'tou
日头昼,ri'tou'zhou
日头昼饭,ri'tou'zhou'fan
日昼头,ri'zhou'tou
日子,ri'zi
软潺,ruan'chan
箬横,ruo'heng
箬山,ruo'shan
塞心碰气,sai'xin'peng'qi
三脚猫,san'jiao'mao
三十日,san'shi'ri
嗓鸦,sang'ya
桑鸦,sang'ya
磉砧板,sang'zhen'ban
扫价填,sao'jia'tian
沙蜂腰,sha'feng'yao
煞甲,sha'jia
沙龙,sha'long
沙路头蟹,sha'lu'tou'xie
煞门,sha'men
沙山,sha'shan
煞声碰气,sha'sheng'peng'qi
沙蟹两头爬,sha'xie'liang'tou'pa
晒鲞,shai'xiang
山粉糊,shan'fen'hu
山门外刨椽,shan'men'wai'bao'chuan
上横头,shang'heng'tou
伤颈板,shang'jing'ban
上面,shang'mian
上树拔梯,shang'shu'ba'ti
烧火,shao'huo
烧蛎灰,shao'li'hui
赊烂帐,she'lan'zhang
神经病,shen'jing'bing
神仙难断行市,shen'xian'nan'duan'hang'shi
生成,sheng'cheng
生横心,sheng'heng'xin
生劲,sheng'jin
生冷棍,sheng'leng'gun
生米煮成熟饭,sheng'mi'zhu'cheng'shu'fan
生小肚里,sheng'xiao'du'li
十八加两,shi'ba'jia'liang
事干,shi'gan
实码,shi'ma
石桥头,shi'qiao'tou
市日,shi'ri
十三,shi'san
十三道,shi'san'dao
石塘,shi'tang
石头子炒油,shi'tou'zi'chao'you
手糙,shou'cao
手长衫袖短,shou'chang'shan'xiu'duan
手骨,shou'gu
手节头甲,shou'jie'tou'jia
手巾,shou'jin
手末节头,shou'mo'jie'tou
寿头,shou'tou
手肘头,shou'zhou'tou
树倒猢狲散,shu'dao'hu'sun'san
竖汗毛,shu'han'mao
书糊,shu'hu
耍斗,shua'dou
耍硬腔,shua'ying'qiang
甩天三七,shuai'tian'san'qi
爽快显,shuang'kuai'xian
爽搪话,shuang'tang'hua
水帮水,shui'bang'shui
水潺,shui'chan
水蛤过年,shui'ge'guo'nian
水浇鸭背脊,shui'jiao'ya'bei'ji
水蒸包,shui'zheng'bao
顺手面,shun'shou'mian
说真方卖假药,shuo'zhen'fang'mai'jia'yao
死白蟹,si'bai'xie
死钉秤,si'ding'cheng
死盯韧秤,si'ding'ren'cheng
死克困开,si'ke'kun'kai
四圈,si'quan
死争活赖,si'zheng'huo'lai
松门,song'men
松燥,song'zao
酸叽叽,suan'ji'ji
随手,sui'shou
蓑衣毛,suo'yi'mao
太湖,tai'hu
太平,tai'ping
太阳汪,tai'yang'wang
贪哽,tan'geng
桃花癫,tao'hua'dian
淘淘骚骚,tao'tao'sao'sao
踢记擂记,ti'ji'lei'ji
涕若,ti'ruo
屜屜沓沓,ti'ti'ta'ta
天价,tian'jia
天亮,tian'liang
天罗丝,tian'luo'si
天下保长,tian'xia'bao'zhang
挑拨离间,tiao'bo'li'jian
条加条,tiao'jia'tiao
调排,tiao'pai
调泰,tiao'tai
铁打铁,tie'da'tie
贴里裤,tie'li'ku
听听相,ting'ting'xiang
桶加桶,tong'jia'tong
头加头,tou'jia'tou
头路,tou'lu
头前,tou'qian
头圈,tou'quan
头痛槌,tou'tong'chui
偷针,tou'zhen
凸嘴胖腮,tu'zui'pang'sai
吞显,tun'xian
脱落下腭,tuo'luo'xia'e
挖花,wa'hua
挖墙脚,wa'qiang'jiao
歪到裤档外,wai'dao'ku'dang'wai
外路,wai'lu
歪人直道理,wai'ren'zhi'dao'li
外甥皇帝,wai'sheng'huang'di
外厢,wai'xiang
晚接力,wan'jie'li
晚头,wan'tou
望病人,wang'bing'ren
望电影,wang'dian'ying
望家具,wang'jia'ju
望上望,wang'shang'wang
望头,wang'tou
望望响,wang'wang'xiang
望望相,wang'wang'xiang
望戏,wang'xi
为格事荐,wei'ge'shi'jian
瘟瞪瞪,wen'deng'deng
温西,wen'xi
我尝尝相,wo'chang'chang'xiang
我等,wo'deng
我扛脚骨,wo'kang'jiao'gu
我俚,wo'li
媉人相,wo'ren'xiang
我望望相,wo'wang'wang'xiang
我伊,wo'yi
勿出客,wu'chu'ke
勿得,wu'de
乌洞洞,wu'dong'dong
坞根,wu'gen
勿管斩儿讲,wu'guan'zhan'er'jiang
乌龟,wu'gui
乌龟背石板,wu'gui'bei'shi'ban
勿好鲜,wu'hao'xian
无脚鬼半水横,wu'jiao'gui'ban'shui'heng
屋宽不如心宽,wu'kuan'bu'ru'xin'kuan
污滥,wu'lan
屋里,wu'li
屋里犟,wu'li'jiang
乌颅头,wu'lu'tou
乌鸟斑,wu'niao'ban
乌皮鲤,wu'pi'li
物事,wu'shi
无尾巴猪,wu'wei'ba'zhu
勿五勿六,wu'wu'wu'liu
细老头,xi'lao'tou
西箬,xi'ruo
洗上洗,xi'shang'xi
系手面,xi'shou'mian
虾兵蟹将,xia'bing'xie'jiang
下底,xia'di
下肚搭把,xia'du'da'ba
虾公,xia'gong
虾勾弹,xia'gou'dan
下横头,xia'heng'tou
虾虮作大浪,xia'ji'zuo'da'lang
虾九弹,xia'jiu'dan
下年,xia'nian
吓吓浊浊,xia'xia'zhuo'zhuo
瞎眼狗朝天嚎,xia'yan'gou'chao'tian'hao
下郑,xia'zheng
苋菜籽胆,xian'cai'zi'dan
咸尔,xian'er
闲横荡地,xian'heng'dang'di
鲜黄鱼打冻,xian'huang'yu'da'dong
鲜皮,xian'pi
现刹糕,xian'sha'gao
鲜甜活络,xian'tian'huo'luo
咸伊,xian'yi
筅帚,xian'zhou
箱加箱,xiang'jia'xiang
项项点点,xiang'xiang'dian'dian
小菜场,xiao'cai'chang
小肠卷,xiao'chang'juan
小锅揭噢呒灰,xiao'guo'jie'o'fu'hui
小猢狲,xiao'hu'sun
小环,xiao'huan
晓牢,xiao'lao
小棉衫,xiao'mian'shan
小捏小样,xiao'nie'xiao'yang
笑人烂小人,xiao'ren'lan'xiao'ren
小蛇吃蛤蟆,xiao'she'chi'ha'ma
小石桥,xiao'shi'qiao
鞋紧袜勿紧,xie'jin'wa'wu'jin
谢年,xie'nian
懈懈索索,xie'xie'suo'suo
蟹籽,xie'zi
新河,xin'he
新街,xin'jie
心事,xin'shi
行加行,xing'jia'hang
行行点点,xing'xing'dian'dian
雄鸡,xiong'ji
雄猪,xiong'zhu
絮袄,xu'ao
悬另清空,xuan'ling'qing'kong
儇些,xuan'xie
薛刚山,xue'gang'shan
雪霰子,xue'xian'zi
牙罐,ya'guan
鸭黄,ya'huang
哑佬,ya'lao
哑佬吃苦瓜,ya'lao'chi'ku'gua
挜赊烂帐,ya'she'lan'zhang
压霜,ya'shuang
鸭子,ya'zi
鸭子同岩碰,ya'zi'tong'yan'peng
眼巴巴,yan'ba'ba
眼骨头,yan'gu'tou
眼红,yan'hong
眼角头,yan'jiao'tou
沿阶,yan'jie
晏界头,yan'jie'tou
眼勿见为净,yan'wu'jian'wei'jing
眼乌珠,yan'wu'zhu
眼乌珠弹出,yan'wu'zhu'tan'chu
岩岳,yan'yue
眼嘴勿见,yan'zui'wu'jian
羊倒吃羊头,yang'dao'chi'yang'tou
洋江,yang'jiang
洋盘,yang'pan
养勿熟鸟,yang'wu'shu'niao
洋芋头,yang'yu'tou
腰部头,yao'bu'tou
摇会,yao'hui
咬口舌头,yao'kou'she'tou
腰裤,yao'ku
摇零彭拉,yao'ling'peng'la
爷见孙猫见荤,ye'jian'sun'mao'jian'hun
夜呜,ye'wu
夜勿休,ye'wu'xiu
夜游,ye'you
一门心思,yi'men'xin'si
衣裳,yi'shang
一时三刻,yi'shi'san'ke
伊始同终,yi'shi'tong'zhong
一岁肖狗,yi'sui'xiao'gou
寅吃卯粮,yin'chi'mao'liang
阴功阳气,yin'gong'yang'qi
阴死死,yin'si'si
饮汤,yin'tang
硬颔,ying'han
营青,ying'qing
硬头颈,ying'tou'jing
硬鱼考,ying'yu'kao
硬燥辨,ying'zao'bian
用用相,yong'yong'xiang
有事荐,you'shi'jian
油油撵撵,you'you'nian'nian
有鱼勿吃鮳,you'yu'wu'chi'kao
有贼心无贼胆,you'zei'xin'wu'zei'dan
雨花毛,yu'hua'mao
雨伞,yu'san
鱼生卤过酒,yu'sheng'lu'guo'jiu
芋头番薯,yu'tou'fan'shu
月半,yue'ban
