按测距机诸元射击,an'ce'ju'ji'zhu'yuan'she'ji
方向射界,fang'xiang'she'jie
非触发引信,fei'chu'fa'yin'xin
分段射击,fen'duan'she'ji
分划,fen'hua
分火,fen'huo
分火射击,fen'huo'she'ji
感应引信,gan'ying'yin'xin
高低机,gao'di'ji
高低平衡机,gao'di'ping'heng'ji
高低射界,gao'di'she'jie
高炮,gao'pao
高炮分火射击,gao'pao'fen'huo'she'ji
高炮混合编组,gao'pao'hun'he'bian'zu
高炮火力范围,gao'pao'huo'li'fan'wei
高炮火力密度,gao'pao'huo'li'mi'du
高炮机动作战,gao'pao'ji'dong'zuo'zhan
高炮集火射击,gao'pao'ji'huo'she'ji
高炮雷达侦察网,gao'pao'lei'da'zhen'cha'wang
高炮群,gao'pao'qun
高炮射击能力,gao'pao'she'ji'neng'li
高炮设计预案,gao'pao'she'ji'yu'an
高炮射击指挥,gao'pao'she'ji'zhi'hui
高炮射击指挥仪,gao'pao'she'ji'zhi'hui'yi
高炮射击指示,gao'pao'she'ji'zhi'shi
高炮阵地电话,gao'pao'zhen'di'dian'hua
高炮阵地观察网,gao'pao'zhen'di'guan'cha'wang
高炮指挥所观察网,gao'pao'zhi'hui'suo'guan'cha'wang
高射机枪,gao'she'ji'qiang
高射界,gao'she'jie
高射界射击,gao'she'jie'she'ji
高射炮,gao'she'pao
高射炮兵,gao'she'pao'bing
高射炮兵群,gao'she'pao'bing'qun
高射炮长点射,gao'she'pao'chang'dian'she
高射炮点射,gao'she'pao'dian'she
高射炮短点射,gao'she'pao'duan'dian'she
隔海支援,ge'hai'zhi'yuan
隔海支援炮兵群,ge'hai'zhi'yuan'pao'bing'qun
跟进掩护,gen'jin'yan'hu
跟随转移,gen'sui'zhuan'yi
更新诸元口令,geng'xin'zhu'yuan'kou'ling
更正口令,geng'zheng'kou'ling
固定器,gu'ding'qi
固定掩护,gu'ding'yan'hu
观察所侦察,guan'cha'suo'zhen'cha
观察炸点,guan'cha'zha'dian
观炮通信,guan'pao'tong'xin
惯性引信,guan'xing'yin'xin
广泛游击,guang'fan'you'ji
滚轮,gun'lun
呼唤火力,hu'huan'huo'li
护送射击,hu'song'she'ji
滑膛炮,hua'tang'pao
化学弹,hua'xue'tan
缓冲机,huan'chong'ji
环形配置,huan'xing'pei'zhi
毁伤敌坦克,hui'shang'di'tan'ke
毁伤能力,hui'shang'neng'li
回转盘,hui'zhuan'pan
混合编组,hun'he'bian'zu
混合配置,hun'he'pei'zhi
混凝土破坏弹,hun'ning'tu'po'huai'tan
活动挡泥板,huo'dong'dang'ni'ban
活动目标,huo'dong'mu'biao
活动目标侦察,huo'dong'mu'biao'zhen'cha
活动目标侦察校射雷达,huo'dong'mu'biao'zhen'cha'xiao'she'lei'da
火箭弹,huo'jian'dan
火箭炮,huo'jian'pao
火箭炮待机地域,huo'jian'pao'dai'ji'di'yu
火箭增程弹,huo'jian'zeng'cheng'tan
火控,huo'kong
火控点,huo'kong'dian
火力范围,huo'li'fan'wei
火力机动,huo'li'ji'dong
火力控制,huo'li'kong'zhi
火力控制点,huo'li'kong'zhi'dian
火力控制网,huo'li'kong'zhi'wang
火力要图,huo'li'yao'tu
火力侦察,huo'li'zhen'cha
火炮,huo'pao
火炮控制雷达,huo'pao'kong'zhi'lei'da
火炮履历书,huo'pao'lv'li'shu
火炮密度,huo'pao'mi'du
火炮抢修,huo'pao'qiang'xiu
急促射,ji'cu'she
击发,ji'fa
击发机,ji'fa'ji
激光近炸引信,ji'guang'jin'zha'yin'xin
激光末端制导,ji'guang'mo'duan'zhi'dao
激光末端制导炮弹,ji'guang'mo'duan'zhi'dao'pao'dan
计划火力,ji'hua'huo'li
计划内射击,ji'hua'nei'she'ji
计划外射击,ji'hua'wai'she'ji
集火,ji'huo
集火近战,ji'huo'jin'zhan
集火射击,ji'huo'she'ji
记录诸元口令,ji'lu'zhu'yuan'kou'ling
技术准备,ji'shu'zhun'bei
集团配置,ji'tuan'pei'zhi
急袭射击,ji'xi'she'ji
极限发射速度,ji'xian'fa'she'su'du
集中射击,ji'zhong'she'ji
基准炮,ji'zhun'pao
基准射向,ji'zhun'she'xiang
加榴炮,jia'liu'pao
加农榴弹炮,jia'nong'liu'dan'pao
加农炮,jia'nong'pao
假炮,jia'pao
假炮阵地,jia'pao'zhen'di
假转移,jia'zhuan'yi
简便射击,jian'bian'she'ji
检查射,jian'cha'she
间接,jian'jie
间接瞄准射击,jian'jie'miao'zhun'she'ji
歼灭射击,jian'mie'she'ji
肩炮,jian'pao
肩炮射击,jian'pao'she'ji
监视射击,jian'shi'she'ji
箭霰炮弹,jian'xian'pao'dan
简易法,jian'yi'fa
交叉法,jiao'cha'fa
交叉法试射,jiao'cha'fa'shi'she
交会观察,jiao'hui'guan'cha
交会观察通信,jiao'hui'guan'cha'tong'xin
交替掩护,jiao'ti'yan'hu
交替指挥,jiao'ti'zhi'hui
近方,jin'fang
近方空情,jin'fang'kong'qing
近方空情报知通信,jin'fang'kong'qing'bao'zhi'tong'xin
金属射流,jin'shu'she'liu
精密法,jing'mi'fa
聚能,ju'neng
聚能反应,ju'neng'fan'ying
绝缘导线,jue'yuan'dao'xian
军区炮兵,jun'qu'pao'bing
开火,kai'huo
开火距离,kai'huo'ju'li
开始口令,kai'shi'kou'ling
空炮,kong'pao
空炮合练,kong'pao'he'lian
空情报知通信,kong'qing'bao'zhi'tong'xin
空炸,kong'zha
空炸射击,kong'zha'she'ji
拦击点,lan'ji'dian
拦阻射击,lan'zu'she'ji
雷达侦察,lei'da'zhen'cha
利用法,li'yong'fa
利用飞机观察,li'yong'fei'ji'guan'cha
利用观察射击,li'yong'guan'cha'she'ji
利用雷达射击,li'yong'lei'da'she'ji
利用声测,li'yong'sheng'ce
利用声测射击,li'yong'sheng'ce'she'ji
两桥驱动,liang'qiao'qu'dong
两瓦调频电台,liang'wa'tiao'pin'dian'tai
临空,lin'kong
临空指挥,lin'kong'zhi'hui
临时轻便炮兵群,lin'shi'qing'bian'pao'bing'qun
榴弹,liu'dan
榴弹炮,liu'dan'pao
轮式,lun'shi
骡马炮兵,luo'ma'pao'bing
履带式,lv'dai'shi
迷茫射击,mi'mang'she'ji
瞄准具法,miao'zhun'ju'fa
瞄准具法射击,miao'zhun'ju'fa'she'ji
瞄准具射击,miao'zhun'ju'she'ji
瞄准射击,miao'zhun'she'ji
瞄准装置,miao'zhun'zhuang'zhi
灭火机,mie'huo'ji
命令线,ming'ling'xian
末端制导,mo'duan'zhi'dao
末端制导炮弹,mo'duan'zhi'dao'pao'dan
摩托化炮兵,mo'tuo'hua'pao'bing
目测法,mu'ce'fa
迫击炮,pai'ji'pao
炮标准,pao'biao'zhun
炮兵,pao'bing
炮兵编组,pao'bing'bian'zu
炮兵兵力机动,pao'bing'bing'li'ji'dong
炮兵部署,pao'bing'bu'shu
炮兵测地勤务,pao'bing'ce'di'qin'wu
炮兵待机地域,pao'bing'dai'ji'di'yu
炮兵敌后侦察组,pao'bing'di'hou'zhen'cha'zu
炮兵地面侦察,pao'bing'di'mian'zhen'cha
炮兵分队,pao'bing'fen'dui
炮兵分散指挥,pao'bing'fen'san'zhi'hui
炮兵观测器材,pao'bing'guan'ce'qi'cai
炮兵观察所,pao'bing'guan'cha'suo
炮兵活力,pao'bing'huo'li
炮兵火力机动,pao'bing'huo'li'ji'dong
炮兵火力配系,pao'bing'huo'li'pei'xi
炮兵火力侦察,pao'bing'huo'li'zhen'cha
炮兵基本阵地,pao'bing'ji'ben'zhen'di
炮兵机动,pao'bing'ji'dong
炮兵集结地域,pao'bing'ji'jie'di'yu
炮兵集中指挥,pao'bing'ji'zhong'zhi'hui
炮兵交替指挥,pao'bing'jiao'ti'zhi'hui
炮兵空中侦察,pao'bing'kong'zhong'zhen'cha
炮兵临时阵地,pao'bing'lin'shi'zhen'di
炮兵配置地域,pao'bing'pei'zhi'di'yu
炮兵齐射,pao'bing'qi'she
炮兵气象勤务,pao'bing'qi'xiang'qin'wu
炮兵前进观察所,pao'bing'qian'jin'guan'cha'suo
炮兵牵引车,pao'bing'qian'yin'che
炮兵区分,pao'bing'qu'fen
炮兵群,pao'bing'qun
炮兵射击,pao'bing'she'ji
炮兵射击效果,pao'bing'she'ji'xiao'guo
炮兵射击指挥,pao'bing'she'ji'zhi'hui
炮兵射击准备,pao'bing'she'ji'zhun'bei
炮兵疏散地域,pao'bing'shu'san'di'yu
炮兵五路接力机,pao'bing'wu'lu'jie'li'ji
炮兵行动计划,pao'bing'xing'dong'ji'hua
炮兵预备队,pao'bing'yu'bei'dui
炮兵预备阵地,pao'bing'yu'bei'zhen'di
炮兵越级指挥,pao'bing'yue'ji'zhi'hui
炮兵照相勤务,pao'bing'zhao'xiang'qin'wu
炮兵侦察,pao'bing'zhen'cha
炮兵侦察校射机,pao'bing'zhen'cha'xiao'she'ji
炮兵指挥,pao'bing'zhi'hui
炮兵指挥分队,pao'bing'zhi'hui'fen'dui
炮兵指挥所,pao'bing'zhi'hui'suo
炮兵逐级指挥,pao'bing'zhu'ji'zhi'hui
炮兵自卫射击,pao'bing'zi'wei'she'ji
炮弹,pao'dan
炮队镜,pao'dui'jing
炮箍,pao'gu
炮火保障,pao'huo'bao'zhang
炮火反击,pao'huo'fan'ji
炮火封锁,pao'huo'feng'suo
炮火假转移,pao'huo'jia'zhuan'yi
炮火突击,pao'huo'tu'ji
炮火袭击,pao'huo'xi'ji
炮火掩护,pao'huo'yan'hu
炮火延伸,pao'huo'yan'shen
炮火支援,pao'huo'zhi'yuan
炮火转移,pao'huo'zhuan'yi
炮火追击,pao'huo'zhui'ji
炮火准备,pao'huo'zhun'bei
炮架部,pao'jia'bu
炮瞄,pao'miao
炮瞄雷达,pao'miao'lei'da
炮射导弹,pao'she'dao'dan
炮身,pao'shen
炮身部,pao'shen'bu
炮闩,pao'shuan
炮尾,pao'wei
炮位侦察雷达校射雷达,pao'wei'zhen'cha'lei'da'xiao'she'lei'da
炮战,pao'zhan
炮阵地,pao'zhen'di
配属炮兵,pei'shu'pao'bing
偏差法,pian'cha'fa
偏差法试射,pian'cha'fa'shi'she
贫铀,pin'you
贫铀穿甲弹,pin'you'chuan'jia'dan
平衡机,ping'heng'ji
平曲结合,ping'qu'jie'he
破坏射击,po'huai'she'ji
破坏弹,po'huai'tan
破甲,po'jia
破甲弹,po'jia'tan
齐射,qi'she
气象勤务,qi'xiang'qin'wu
前冲,qian'chong
前冲机,qian'chong'ji
前冲炮,qian'chong'pao
千斤顶,qian'jin'ding
前进观察射击,qian'jin'guan'cha'she'ji
前进观察所,qian'jin'guan'cha'suo
牵引车,qian'yin'che
枪代炮,qiang'dai'pao
枪代炮射击,qiang'dai'pao'she'ji
情报报知通信,qing'bao'bao'zhi'tong'xin
轻便炮兵,qing'bian'pao'bing
区分方向,qu'fen'fang'xiang
区分高度,qu'fen'gao'du
区分火力,qu'fen'huo'li
区分空域,qu'fen'kong'yu
区分目标,qu'fen'mu'biao
区分区域,qu'fen'qu'yu
区分时间,qu'fen'shi'jian
燃烧弹,ran'shao'dan
三桥驱动,san'qiao'qu'dong
山地射击,shan'di'she'ji
上报线,shang'bao'xian
上架,shang'jia
上陆,shang'lu
上陆支援,shang'lu'zhi'yuan
上陆支援炮兵,shang'lu'zhi'yuan'pao'bing
射表,she'biao
射弹,she'dan
射弹观察,she'dan'guan'cha
射弹偏差,she'dan'pian'cha
设伏火炮,she'fu'huo'pao
射高,she'gao
射击半径,she'ji'ban'jing
射击地带,she'ji'di'dai
射击地境,she'ji'di'jing
射击范围,she'ji'fan'wei
射击距离,she'ji'ju'li
射击空域,she'ji'kong'yu
射击口令,she'ji'kou'ling
射击能力,she'ji'neng'li
射击任务,she'ji'ren'wu
射击时间,she'ji'shi'jian
射击手段,she'ji'shou'duan
射击死界,she'ji'si'jie
射击效果,she'ji'xiao'guo
射击效能,she'ji'xiao'neng
射击修正,she'ji'xiu'zheng
射击预案,she'ji'yu'an
射击指挥,she'ji'zhi'hui
射击指挥练习,she'ji'zhi'hui'lian'xi
射击指示,she'ji'zhi'shi
射击周转,she'ji'zhou'zhuan
射击周转时间,she'ji'zhou'zhuan'shi'jian
射击诸元,she'ji'zhu'yuan
射击准备,she'ji'zhun'bei
射界,she'jie
身管,shen'guan
声测侦察,sheng'ce'zhen'cha
时间引信,shi'jian'yin'xin
室内指挥,shi'nei'zhi'hui
试射,shi'she
试射点,shi'she'dian
守备炮兵,shou'bei'pao'bing
手轮,shou'lun
疏散地域,shu'san'di'yu
瞬发,shun'fa
瞬发引信,shun'fa'yin'xin
死界,si'jie
塑性炸药,su'xing'zha'yao
随伴炮兵,sui'ban'pao'bing
碎甲,sui'jia
碎甲弹,sui'jia'tan
弹测法,tan'ce'fa
弹迹,tan'ji
膛线,tang'xian
特种射击,te'zhong'she'ji
特种弹,te'zhong'tan
跳弹,tiao'tan
跳弹射击,tiao'tan'she'ji
尾杆,wei'gan
尾翼片,wei'yi'pian
无壳,wu'ke
无壳弹,wu'ke'tan
无坐力炮,wu'zuo'li'pao
下架,xia'jia
夏用驻锄,xia'yong'zhu'chu
线膛炮,xian'tang'pao
小高炮,xiao'gao'pao
效力射,xiao'li'she
校射机,xiao'she'ji
校射雷达,xiao'she'lei'da
斜射,xie'she
行进间射击,xing'jin'jian'she'ji
行军固定器,xing'jun'gu'ding'qi
修正口令,xiu'zheng'kou'ling
宣传弹,xuan'chuan'dan
压缩开火距离,ya'suo'kai'huo'ju'li
压制,ya'zhi
压制火炮,ya'zhi'huo'pao
压制射击,ya'zhi'she'ji
掩护面积,yan'hu'mian'ji
烟幕弹,yan'mu'dan
要点掩护,yao'dian'yan'hu
摇架,yao'jia
药形罩,yao'xing'zhao
曳光弹,ye'guang'dan
曳光管,ye'guang'guan
夜间射击,ye'jian'she'ji
液体发射药,ye'ti'fa'she'yao
液体发射药炮,ye'ti'fa'she'yao'pao
野战炮兵,ye'zhan'pao'bing
一线配置,yi'xian'pei'zhi
引信,yin'xin
引信分划,yin'xin'fen'hua
游动,you'dong
游动炮,you'dong'pao
铀合金,you'he'jin
铀合金穿甲弹,you'he'jin'chuan'jia'dan
有效火力半径,you'xiao'huo'li'ban'jing
有效杀伤,you'xiao'sha'shang
有效杀伤幅员,you'xiao'sha'shang'fu'yuan
有效射高,you'xiao'she'gao
有效射击半径,you'xiao'she'ji'ban'jing
有效射击范围,you'xiao'she'ji'fan'wei
有效射击距离,you'xiao'she'ji'ju'li
有效斜距离,you'xiao'xie'ju'li
预备队,yu'bei'dui
预备炮兵,yu'bei'pao'bing
预设埋伏,yu'she'mai'fu
远方,yuan'fang
远方空情,yuan'fang'kong'qing
远方空情报知通信,yuan'fang'kong'qing'bao'zhi'tong'xin
远近结合,yuan'jin'jie'he
圆周射界,yuan'zhou'she'jie
越级指挥,yue'ji'zhi'hui
运动体,yun'dong'ti
炸点,zha'dian
炸点偏差,zha'dian'pian'cha
炸高,zha'gao
战斗部,zhan'dou'bu
战术导弹部队,zhan'shu'dao'dan'bu'dui
照相勤务,zhao'xiang'qin'wu
遮蔽顶,zhe'bi'ding
遮蔽度,zhe'bi'du
遮蔽角,zhe'bi'jiao
遮蔽阵地,zhe'bi'zhen'di
着发,zhe'fa
着发射击,zhe'fa'she'ji
着发引信,zhe'fa'yin'xin
侦察组侦察,zhen'cha'zu'zhen'cha
阵地电话,zhen'di'dian'hua
阵地观察网,zhen'di'guan'cha'wang
整装,zheng'zhuang
整装式,zheng'zhuang'shi
值班火炮,zhi'ban'huo'pao
支承座盘,zhi'cheng'zuo'pan
制导方式,zhi'dao'fang'shi
指挥分队,zhi'hui'fen'dui
指挥机,zhi'hui'ji
指挥所观察网,zhi'hui'suo'guan'cha'wang
指挥仪射击,zhi'hui'yi'she'ji
直接瞄准,zhi'jie'miao'zhun
直接瞄准射击,zhi'jie'miao'zhun'she'ji
直射,zhi'she
直射距离,zhi'she'ju'li
支援炮兵,zhi'yuan'pao'bing
重点掩护,zhong'dian'yan'hu
中高炮,zhong'gao'pao
周转时间,zhou'zhuan'shi'jian
驻锄,zhu'chu
逐次,zhu'ci
逐次集中射击,zhu'ci'ji'zhong'she'ji
逐级指挥,zhu'ji'zhi'hui
注入,zhu'ru
注入式,zhu'ru'shi
转移射,zhuan'yi'she
装甲目标,zhuang'jia'mu'biao
装药,zhuang'yao
锥孔形,zhui'kong'xing
锥孔形装药,zhui'kong'xing'zhuang'yao
子母炮弹,zi'mu'pao'dan
自卫射击,zi'wei'she'ji
自行高炮,zi'xing'gao'pao
自行炮,zi'xing'pao
纵火射击,zong'huo'she'ji
最大发射速度,zui'da'fa'she'su'du
最大开火距离,zui'da'kai'huo'ju'li
最大射击范围,zui'da'she'ji'fan'wei
最大射距离,zui'da'she'ju'li
最低表尺,zui'di'biao'chi
最小射距离,zui'xiao'she'ju'li
坐钣,zuo'ban
