阿特贝限,a'te'bei'xian
底土层,di'tu'ceng
地位级,di'wei'ji
地位指数,di'wei'zhi'shu
地下层,di'xia'ceng
地下火,di'xia'huo
地下排水,di'xia'pai'shui
地形系列,di'xing'xi'lie
低营养流生境,di'ying'yang'liu'sheng'jing
地有径流,di'you'jing'liu
电荷零点,dian'he'ling'dian
电化学势梯度,dian'hua'xue'shi'ti'du
淀积层,dian'ji'ceng
淀积黏化,dian'ji'nian'hua
淀积黏化层,dian'ji'nian'hua'ceng
淀积黏粒胶膜,dian'ji'nian'li'jiao'mo
淀积作用,dian'ji'zuo'yong
垫熟表层,dian'shu'biao'ceng
凋落物,diao'luo'wu
叠胶,die'jiao
跌水侵蚀,die'shui'qin'shi
跌穴,die'xue
顶极土壤,ding'ji'tu'rang
定位研究,ding'wei'yan'jiu
动电电位,dong'dian'dian'wei
动力因素,dong'li'yin'su
冻融交替,dong'rong'jiao'ti
冻融侵蚀,dong'rong'qin'shi
动态模型,dong'tai'mo'xing
冻土效应,dong'tu'xiao'ying
洞穴侵蚀,dong'xue'qin'shi
动植物残体,dong'zhi'wu'can'ti
豆科绿肥,dou'ke'lv'fei
陡坡,dou'po
豆血红蛋白,dou'xue'hong'dan'bai
毒性有机物的去毒作用,du'xing'you'ji'wu'de'qu'du'zuo'yong
断键,duan'jian
短距离运输,duan'ju'li'yun'shu
堆肥,dui'fei
堆积,dui'ji
堆集性孔隙,dui'ji'xing'kong'xi
多因子试验,duo'yin'zi'shi'yan
恶性循环,e'xing'xun'huan
二八面体片,er'ba'mian'ti'pian
发生层分化,fa'sheng'ceng'fen'hua
发生层界线,fa'sheng'ceng'jie'xian
发生层命名,fa'sheng'ceng'ming'ming
发生土壤学,fa'sheng'tu'rang'xue
反荷离子,fan'he'li'zi
反硫化作用,fan'liu'hua'zuo'yong
反坡梯田,fan'po'ti'tian
反硝化细菌,fan'xiao'hua'xi'jun
反硝化作用,fan'xiao'hua'zuo'yong
泛域土,fan'yu'tu
防风固沙林,fang'feng'gu'sha'lin
防风林,fang'feng'lin
放射碳定年,fang'she'tan'ding'nian
放射性碳定年,fang'she'xing'tan'ding'nian
放射性同位素示踪技术,fang'she'xing'tong'wei'su'shi'zong'ji'shu
放射自显影术,fang'she'zi'xian'ying'shu
放线菌根瘤,fang'xian'jun'gen'liu
放线菌根瘤共生,fang'xian'jun'gen'liu'gong'sheng
非饱和导水率,fei'bao'he'dao'shui'lv
非豆科绿肥,fei'dou'ke'lv'fei
非共生固氮作用,fei'gong'sheng'gu'dan'zuo'yong
非交换性养分,fei'jiao'huan'xing'yang'fen
非晶物质,fei'jing'wu'zhi
非竞争性抑制,fei'jing'zheng'xing'yi'zhi
肥料,fei'liao
肥料分析式,fei'liao'fen'xi'shi
肥料利用率,fei'liao'li'yong'lv
肥料配合式,fei'liao'pei'he'shi
肥料品位,fei'liao'pin'wei
肥料溶解度,fei'liao'rong'jie'du
肥料三要素,fei'liao'san'yao'su
肥料试验,fei'liao'shi'yan
肥料试验设计,fei'liao'shi'yan'she'ji
肥料添加剂,fei'liao'tian'jia'ji
肥料填料,fei'liao'tian'liao
肥料调理剂,fei'liao'tiao'li'ji
肥料污染,fei'liao'wu'ran
肥料效应,fei'liao'xiao'ying
肥料效应函数,fei'liao'xiao'ying'han'shu
肥料养分,fei'liao'yang'fen
肥料养分溶解度,fei'liao'yang'fen'rong'jie'du
肥料最大效率期,fei'liao'zui'da'xiao'lv'qi
非林地土壤,fei'lin'di'tu'rang
废弃物肥料,fei'qi'wu'fei'liao
非生物物质,fei'sheng'wu'wu'zhi
肥熟表层,fei'shu'biao'ceng
肥土,fei'tu
非稳定性团聚体,fei'wen'ding'xing'tuan'ju'ti
非稳态水流,fei'wen'tai'shui'liu
非专性吸附,fei'zhuan'xing'xi'fu
分层施肥,fen'ceng'shi'fei
分根培养,fen'gen'pei'yang
分解者,fen'jie'zhe
粉粒,fen'li
粪粒,fen'li
粪粒团聚体,fen'li'tuan'ju'ti
粪粒性腐殖质,fen'li'xing'fu'zhi'zhi
粉黏土,fen'nian'tu
分期施肥,fen'qi'shi'fei
粉壤土,fen'rang'tu
分散系数,fen'san'xi'shu
粉砂粒,fen'sha'li
粉砂黏土,fen'sha'nian'tu
粉砂土,fen'sha'tu
粉砂质黏壤土,fen'sha'zhi'nian'rang'tu
分室,fen'shi
分室模型,fen'shi'mo'xing
粉土,fen'tu
粉质黏壤土,fen'zhi'nian'rang'tu
封闭生态系统,feng'bi'sheng'tai'xi'tong
丰度测定,feng'du'ce'ding
风干土,feng'gan'tu
风化残余物,feng'hua'can'yu'wu
风化产物,feng'hua'chan'wu
风化淋溶系数,feng'hua'lin'rong'xi'shu
风化黏粒胶膜,feng'hua'nian'li'jiao'mo
风化黏粒体,feng'hua'nian'li'ti
风化强度,feng'hua'qiang'du
风化壳,feng'hua'qiao
风化指数,feng'hua'zhi'shu
风化作用,feng'hua'zuo'yong
风积,feng'ji
风积土,feng'ji'tu
风积物,feng'ji'wu
风力,feng'li
风沙土,feng'sha'tu
封山育林,feng'shan'yu'lin
风蚀,feng'shi
风蚀残墩,feng'shi'can'dun
风蚀等级,feng'shi'deng'ji
风蚀类型,feng'shi'lei'xing
风蚀强度,feng'shi'qiang'du
风蚀预报,feng'shi'yu'bao
风蚀预报方程,feng'shi'yu'bao'fang'cheng
风蚀预报模型,feng'shi'yu'bao'mo'xing
风蚀灾害,feng'shi'zai'hai
风障,feng'zhang
富啡酸,fu'fei'suan
覆盖植物,fu'gai'zhi'wu
复钙作用,fu'gai'zuo'yong
复合肥料,fu'he'fei'liao
复合农林业,fu'he'nong'lin'ye
复合形成物,fu'he'xing'cheng'wu
复混肥料,fu'hun'fei'liao
富集,fu'ji
腐解作用,fu'jie'zuo'yong
富铝化,fu'lv'hua
附生菌,fu'sheng'jun
腐生生物,fu'sheng'sheng'wu
腐生生物群落,fu'sheng'sheng'wu'qun'luo
腐生食物链,fu'sheng'shi'wu'lian
复式梯田,fu'shi'ti'tian
负吸附,fu'xi'fu
腐心症,fu'xin'zheng
富营养化,fu'ying'yang'hua
腐殖化程度,fu'zhi'hua'cheng'du
腐殖化系数,fu'zhi'hua'xi'shu
腐殖化作用,fu'zhi'hua'zuo'yong
腐殖酸,fu'zhi'suan
腐殖酸类肥料,fu'zhi'suan'lei'fei'liao
腐殖物质,fu'zhi'wu'zhi
腐殖物质发色基团,fu'zhi'wu'zhi'fa'se'ji'tuan
腐殖物质生理效应,fu'zhi'wu'zhi'sheng'li'xiao'ying
腐殖物质组合,fu'zhi'wu'zhi'zu'he
腐殖质层,fu'zhi'zhi'ceng
腐殖质淀积层,fu'zhi'zhi'dian'ji'ceng
腐殖质积累作用,fu'zhi'zhi'ji'lei'zuo'yong
腐殖质组型,fu'zhi'zhi'zu'xing
钙肥,gai'fei
钙积层,gai'ji'ceng
钙积土,gai'ji'tu
钙积作用,gai'ji'zuo'yong
钙磐,gai'pan
钙调素,gai'tiao'su
钙质结核,gai'zhi'jie'he
钙质黏粒,gai'zhi'nian'li
钙质土指示植物,gai'zhi'tu'zhi'shi'zhi'wu
干沟,gan'gou
干旱水分状况,gan'han'shui'fen'zhuang'kuang
干旱土,gan'han'tu
干热水分状况,gan're'shui'fen'zhuang'kuang
干湿交替,gan'shi'jiao'ti
干土效应,gan'tu'xiao'ying
干燥度,gan'zao'du
高分解有机层,gao'fen'jie'you'ji'ceng
高腐有机土壤物质,gao'fu'you'ji'tu'rang'wu'zhi
高活性淋溶土,gao'huo'xing'lin'rong'tu
高活性强酸土,gao'huo'xing'qiang'suan'tu
高岭层,gao'ling'ceng
高岭石,gao'ling'shi
高热温度状况,gao're'wen'du'zhuang'kuang
高山草甸土,gao'shan'cao'dian'tu
高山草原土,gao'shan'cao'yuan'tu
高山土壤,gao'shan'tu'rang
戈壁,ge'bi
隔坡梯田,ge'po'ti'tian
根拱小土墩,gen'gong'xiao'tu'dun
根瘤菌,gen'liu'jun
根瘤菌毒素,gen'liu'jun'du'su
根瘤菌根瘤,gen'liu'jun'gen'liu
根瘤菌剂,gen'liu'jun'ji
根瘤素,gen'liu'su
根面,gen'mian
根区,gen'qu
根圈,gen'quan
根圈微生物,gen'quan'wei'sheng'wu
根圈效应,gen'quan'xiao'ying
根圈营养,gen'quan'ying'yang
根土比,gen'tu'bi
根外施肥,gen'wai'shi'fei
根外营养,gen'wai'ying'yang
根系分泌物,gen'xi'fen'mi'wu
根系截获,gen'xi'jie'huo
根系阳离子交换量,gen'xi'yang'li'zi'jiao'huan'liang
根氧化力,gen'yang'hua'li
耕垦症,geng'ken'zheng
耕作层,geng'zuo'ceng
耕作淀积层,geng'zuo'dian'ji'ceng
耕作动力学,geng'zuo'dong'li'xue
耕作土壤,geng'zuo'tu'rang
耕作土壤学,geng'zuo'tu'rang'xue
共代谢,gong'dai'xie
供肥性,gong'fei'xing
共生固氮作用,gong'sheng'gu'dan'zuo'yong
共生关系,gong'sheng'guan'xi
共生生物,gong'sheng'sheng'wu
共生现象,gong'sheng'xian'xiang
共生质粒,gong'sheng'zhi'li
供水性,gong'shui'xing
共质体运输,gong'zhi'ti'yun'shu
沟道防护林,gou'dao'fang'hu'lin
沟道密度,gou'dao'mi'du
沟谷侵蚀,gou'gu'qin'shi
沟垄耕作,gou'long'geng'zuo
枸溶性磷,gou'rong'xing'lin
枸溶性磷肥,gou'rong'xing'lin'fei
沟头防护工程,gou'tou'fang'hu'gong'cheng
古代侵蚀,gu'dai'qin'shi
固氮基因,gu'dan'ji'yin
固氮酶,gu'dan'mei
固氮酶活性,gu'dan'mei'huo'xing
固氮作用,gu'dan'zuo'yong
固定沙丘,gu'ding'sha'qiu
固定作用,gu'ding'zuo'yong
谷坊,gu'fang
固体肥料,gu'ti'fei'liao
固体径流,gu'ti'jing'liu
古土壤,gu'tu'rang
古土壤学,gu'tu'rang'xue
固相容积,gu'xiang'rong'ji
固有电荷,gu'you'dian'he
灌丛小土丘,guan'cong'xiao'tu'qiu
灌溉,guan'gai
灌溉侵蚀,guan'gai'qin'shi
灌溉效益,guan'gai'xiao'yi
灌淤表层,guan'yu'biao'ceng
灌淤土,guan'yu'tu
光合微生物,guang'he'wei'sheng'wu
光性定向黏粒,guang'xing'ding'xiang'nian'li
硅肥,gui'fei
硅化,gui'hua
归还学说,gui'huan'xue'shuo
硅铝风化壳,gui'lv'feng'hua'qiao
硅铝化,gui'lv'hua
硅铝率,gui'lv'lv
硅铝铁率,gui'lv'tie'lv
硅烷醇基,gui'wan'chun'ji
硅氧烷表面,gui'yang'wan'biao'mian
硅质硬结核,gui'zhi'ying'jie'he
硅质硬磐,gui'zhi'ying'pan
过渡矿物,guo'du'kuang'wu
旱地土壤,han'di'tu'rang
寒冻土,han'dong'tu
寒冻温度状况,han'dong'wen'du'zhuang'kuang
旱井,han'jing
含硫层,han'liu'ceng
寒漠土,han'mo'tu
旱农,han'nong
含沙量,han'sha'liang
寒性温度状况,han'xing'wen'du'zhuang'kuang
含盐风化壳,han'yan'feng'hua'qiao
耗地作物,hao'di'zuo'wu
耗竭耕作,hao'jie'geng'zuo
耗竭试验,hao'jie'shi'yan
好气分解,hao'qi'fen'jie
褐红土,he'hong'tu
褐土,he'tu
黑钙土,hei'gai'tu
黑垆土,hei'lu'tu
黑色表层,hei'se'biao'ceng
黑色石灰土,hei'se'shi'hui'tu
黑土,hei'tu
黑箱理论,hei'xiang'li'lun
恒电荷表面,heng'dian'he'biao'mian
恒电位表面,heng'dian'wei'biao'mian
恒高热温度状况,heng'gao're'wen'du'zhuang'kuang
恒冷性温度状况,heng'leng'xing'wen'du'zhuang'kuang
横坡,heng'po
横坡耕作,heng'po'geng'zuo
恒热性温度状况,heng're'xing'wen'du'zhuang'kuang
恒温性温度状况,heng'wen'xing'wen'du'zhuang'kuang
烘干土,hong'gan'tu
红化,hong'hua
洪积物,hong'ji'wu
红壤,hong'rang
红色石灰土,hong'se'shi'hui'tu
洪水侵蚀,hong'shui'qin'shi
互补离子,hu'bu'li'zi
互补离子效应,hu'bu'li'zi'xiao'ying
湖积物,hu'ji'wu
互接种族,hu'jie'zhong'zu
互利共栖现象,hu'li'gong'qi'xian'xiang
胡敏素,hu'min'su
胡敏酸,hu'min'suan
呼吸商,hu'xi'shang
互养作用,hu'yang'zuo'yong
滑擦面,hua'ca'mian
化成复合肥料,hua'cheng'fu'he'fei'liao
化感作用,hua'gan'zuo'yong
滑坡,hua'po
滑塌,hua'ta
化学反硝化作用,hua'xue'fan'xiao'hua'zuo'yong
化学风化,hua'xue'feng'hua
化学风化动力学,hua'xue'feng'hua'dong'li'xue
化学径流,hua'xue'jing'liu
化学位,hua'xue'wei
化学需氧量,hua'xue'xu'yang'liang
缓冲因素,huan'chong'yin'su
缓坡,huan'po
缓释氮肥,huan'shi'dan'fei
缓释肥料,huan'shi'fei'liao
缓效钾,huan'xiao'jia
缓效性养分,huan'xiao'xing'yang'fen
环状物,huan'zhuang'wu
黄褐土,huang'he'tu
黄绵土,huang'mian'tu
荒漠化,huang'mo'hua
荒漠砾幂,huang'mo'li'mi
荒漠漆皮,huang'mo'qi'pi
荒漠土壤,huang'mo'tu'rang
黄壤,huang'rang
黄土,huang'tu
黄土地貌,huang'tu'di'mao
黄土高原,huang'tu'gao'yuan
黄土丘陵,huang'tu'qiu'ling
黄土状物质,huang'tu'zhuang'wu'zhi
黄棕壤,huang'zong'rang
灰白症,hui'bai'zheng
灰斑症,hui'ban'zheng
灰分元素,hui'fen'yuan'su
灰钙土,hui'gai'tu
回归设计,hui'gui'she'ji
回归正交设计,hui'gui'zheng'jiao'she'ji
灰褐土,hui'he'tu
灰黑土,hui'hei'tu
灰化,hui'hua
灰化层,hui'hua'ceng
灰化淀积层,hui'hua'dian'ji'ceng
灰化淀积物质,hui'hua'dian'ji'wu'zhi
灰化淋溶土,hui'hua'lin'rong'tu
灰化土,hui'hua'tu
灰漠土,hui'mo'tu
灰壤,hui'rang
灰色胡敏酸,hui'se'hu'min'suan
灰土,hui'tu
灰棕漠土,hui'zong'mo'tu
混合胶膜,hun'he'jiao'mo
混合置换,hun'he'zhi'huan
混杂设计,hun'za'she'ji
活地被层,huo'di'bei'ceng
火山灰土,huo'shan'hui'tu
火山灰土壤特性,huo'shan'hui'tu'rang'te'xing
活性腐殖质,huo'xing'fu'zhi'zhi
活性磷,huo'xing'lin
活性污泥,huo'xing'wu'ni
活性污泥处理,huo'xing'wu'ni'chu'li
活性养分,huo'xing'yang'fen
基本发生层,ji'ben'fa'sheng'ceng
吉布斯自由能,ji'bu'si'zi'you'neng
迹地土壤,ji'di'tu'rang
激发效应,ji'fa'xiao'ying
基肥,ji'fei
寄生现象,ji'sheng'xian'xiang
瘠土,ji'tu
机械淋移作用,ji'xie'lin'yi'zuo'yong
挤压微地形,ji'ya'wei'di'xing
集约种植,ji'yue'zhong'zhi
基质颗粒,ji'zhi'ke'li
基质势,ji'zhi'shi
基质吸力,ji'zhi'xi'li
集中施肥,ji'zhong'shi'fei
钾肥,jia'fei
钾固定,jia'gu'ding
假菌丝体,jia'jun'si'ti
钾平衡,jia'ping'heng
假潜育土,jia'qian'yu'tu
假潜育作用,jia'qian'yu'zuo'yong
加速侵蚀,jia'su'qin'shi
甲烷细菌,jia'wan'xi'jun
钾位,jia'wei
间层黏土矿物,jian'ceng'nian'tu'kuang'wu
碱化,jian'hua
碱解氮,jian'jie'dan
剪切应力,jian'qie'ying'li
碱土,jian'tu
碱性肥料,jian'xing'fei'liao
碱性土,jian'xing'tu
碱性土壤,jian'xing'tu'rang
碱性指示植物,jian'xing'zhi'shi'zhi'wu
降水,jiang'shui
降雨截流,jiang'yu'jie'liu
降雨量,jiang'yu'liang
降雨强度,jiang'yu'qiang'du
降雨侵蚀,jiang'yu'qin'shi
降雨侵蚀力,jiang'yu'qin'shi'li
降雨侵蚀力参数,jiang'yu'qin'shi'li'can'shu
降雨侵蚀力指标,jiang'yu'qin'shi'li'zhi'biao
降雨入渗,jiang'yu'ru'shen
交换吸收,jiao'huan'xi'shou
交换性钠百分率,jiao'huan'xing'na'bai'fen'lv
交换性盐基,jiao'huan'xing'yan'ji
交换性养分,jiao'huan'xing'yang'fen
交换性阳离子,jiao'huan'xing'yang'li'zi
交换性阳离子百分率,jiao'huan'xing'yang'li'zi'bai'fen'lv
交换性阴离子,jiao'huan'xing'yin'li'zi
角块状结构,jiao'kuai'zhuang'jie'gou
胶膜,jiao'mo
焦灼症,jiao'zhuo'zheng
接触交换,jie'chu'jiao'huan
阶段营养期,jie'duan'ying'yang'qi
秸秆肥,jie'gan'fei
结构单位,jie'gou'dan'wei
结构电荷,jie'gou'dian'he
结构剖面,jie'gou'pou'mian
结构收缩,jie'gou'shou'suo
结构退化,jie'gou'tui'hua
结构系数,jie'gou'xi'shu
结构形态,jie'gou'xing'tai
结构指标,jie'gou'zhi'biao
结核,jie'he
结晶矿物,jie'jing'kuang'wu
拮抗现象,jie'kang'xian'xiang
结壳,jie'ke
结瘤,jie'liu
结瘤基因,jie'liu'ji'yin
结瘤因子,jie'liu'yin'zi
节水灌溉,jie'shui'guan'gai
解吸作用,jie'xi'zuo'yong
接种密度,jie'zhong'mi'du
接种物,jie'zhong'wu
进气吸力值,jin'qi'xi'li'zhi
金属,jin'shu
浸水土壤密度,jin'shui'tu'rang'mi'du
景观,jing'guan
晶管,jing'guan
经济产量,jing'ji'chan'liang
经济施肥,jing'ji'shi'fei
经济最佳施肥量,jing'ji'zui'jia'shi'fei'liang
茎瘤,jing'liu
径流,jing'liu
径流动能,jing'liu'dong'neng
径流汇集,jing'liu'hui'ji
径流侵蚀力,jing'liu'qin'shi'li
径流因子,jing'liu'yin'zi
晶膜,jing'mo
晶囊,jing'nang
晶霜,jing'shuang
晶页,jing'ye
竞争结瘤,jing'zheng'jie'liu
竞争性抑制,jing'zheng'xing'yi'zhi
厩肥,jiu'fei
聚合土体,ju'he'tu'ti
聚铁网纹层,ju'tie'wang'wen'ceng
聚铁网纹体,ju'tie'wang'wen'ti
聚铁网纹土,ju'tie'wang'wen'tu
巨型剖面,ju'xing'pou'mian
决定电位离子,jue'ding'dian'wei'li'zi
绝对含水量,jue'dui'han'shui'liang
均腐土,jun'fu'tu
菌根,jun'gen
菌根圈,jun'gen'quan
龟裂土,jun'lie'tu
开放生态系统,kai'fang'sheng'tai'xi'tong
抗拉强度,kang'la'qiang'du
可变电荷,ke'bian'dian'he
可辨认次生碳酸盐,ke'bian'ren'ci'sheng'tan'suan'yan
可持续农业,ke'chi'xu'nong'ye
可风化矿化,ke'feng'hua'kuang'hua
可耕地,ke'geng'di
可耕性,ke'geng'xing
可垦地,ke'ken'di
颗粒肥料,ke'li'fei'liao
可溶性养分,ke'rong'xing'yang'fen
可塑性,ke'su'xing
垦殖耕作,ken'zhi'geng'zuo
孔道,kong'dao
孔洞,kong'dong
空间变异,kong'jian'bian'yi
孔径分布,kong'jing'fen'bu
孔囊,kong'nang
孔泡,kong'pao
孔泡结皮层,kong'pao'jie'pi'ceng
孔隙比,kong'xi'bi
苦陷症,ku'xian'zheng
枯枝落叶层,ku'zhi'luo'ye'ceng
块状结构,kuai'zhuang'jie'gou
矿化速率,kuang'hua'su'lv
矿化作用,kuang'hua'zuo'yong
矿物风化序列,kuang'wu'feng'hua'xu'lie
矿物态钾,kuang'wu'tai'jia
矿质营养学说,kuang'zhi'ying'yang'xue'shuo
匮乏元素,kui'fa'yuan'su
扩散,kuo'san
扩散双电层,kuo'san'shuang'dian'ceng
扩散系数,kuo'san'xi'shu
扩散养分,kuo'san'yang'fen
拉丁方设计,la'ding'fang'she'ji
蓝细菌,lan'xi'jun
老成土,lao'cheng'tu
垒结型式,lei'jie'xing'shi
类菌体,lei'jun'ti
冷性温度状况,leng'xing'wen'du'zhuang'kuang
棱状结构,leng'zhuang'jie'gou
犁底层,li'di'ceng
立地类型,li'di'lei'xing
立地条件,li'di'tiao'jian
立地质量,li'di'zhi'liang
栗钙土,li'gai'tu
砾石,li'shi
力稳性团聚体,li'wen'xing'tuan'ju'ti
离析物,li'xi'wu
砾质,li'zhi
粒状结构,li'zhuang'jie'gou
离子泵,li'zi'beng
离子交换动力学,li'zi'jiao'huan'dong'li'xue
离子拮抗作用,li'zi'jie'kang'zuo'yong
离子协合作用,li'zi'xie'he'zuo'yong
离子选择电极,li'zi'xuan'ze'dian'ji
离子选择性,li'zi'xuan'ze'xing
离子载体,li'zi'zai'ti
联合固氮作用,lian'he'gu'dan'zuo'yong
炼山,lian'shan
两性胶体,liang'xing'jiao'ti
良性循环,liang'xing'xun'huan
裂解酶类,lie'jie'mei'lei
裂区设计,lie'qu'she'ji
裂隙,lie'xi
