暗动,an'dong
父母寅木,fu'mu'yin'mu
父母酉金,fu'mu'you'jin
父母子水,fu'mu'zi'shui
伏神,fu'shen
伏爻,fu'yao
伏吟,fu'yin
艮覆碗,gen'fu'wan
艮宫八卦,gen'gong'ba'gua
艮卦,gen'gua
艮七,gen'qi
艮为山,gen'wei'shan
庚辰,geng'chen
庚禄在申,geng'lu'zai'shen
庚刃在酉,geng'ren'zai'you
庚申,geng'shen
庚午,geng'wu
庚辛逢马虎,geng'xin'feng'ma'hu
庚戌,geng'xu
庚寅,geng'yin
庚子,geng'zi
宫位,gong'wei
勾陈,gou'chen
古筮,gu'shi
卦理,gua'li
卦象,gua'xiang
卦意,gua'yi
冠带,guan'dai
官鬼,guan'gui
官鬼辰土,guan'gui'chen'tu
官鬼丑土,guan'gui'chou'tu
官鬼亥水,guan'gui'hai'shui
官鬼卯木,guan'gui'mao'mu
官鬼申金,guan'gui'shen'jin
官鬼巳火,guan'gui'si'huo
官鬼未土,guan'gui'wei'tu
官鬼午火,guan'gui'wu'huo
官鬼戌土,guan'gui'xu'tu
官鬼寅木,guan'gui'yin'mu
官鬼酉金,guan'gui'you'jin
官鬼子水,guan'gui'zi'shui
癸丑,gui'chou
癸亥,gui'hai
归魂,gui'hun
癸禄在子,gui'lu'zai'zi
癸卯,gui'mao
贵人,gui'ren
癸刃在亥,gui'ren'zai'hai
癸巳,gui'si
癸未,gui'wei
癸酉,gui'you
亥卯未,hai'mao'wei
亥日,hai'ri
亥时,hai'shi
亥水,hai'shui
亥月,hai'yue
海中金,hai'zhong'jin
亥子丑,hai'zi'chou
合绊,he'ban
合起,he'qi
互卦,hu'gua
互刑,hu'xing
化绊,hua'ban
化冲,hua'chong
华盖,hua'gai
化合,hua'he
化进,hua'jin
化克,hua'ke
化空,hua'kong
化墓,hua'mu
化破,hua'po
化散,hua'san
化生,hua'sheng
化退,hua'tui
黄金策,huang'jin'ce
回头克,hui'tou'ke
回头生,hui'tou'sheng
浑天甲子,hun'tian'jia'zi
火地晋,huo'di'jin
火风鼎,huo'feng'ding
火克金,huo'ke'jin
火雷噬嗑,huo'lei'shi'ke
火山旅,huo'shan'lv
火生土,huo'sheng'tu
火水未济,huo'shui'wei'ji
火天大有,huo'tian'da'you
火爻,huo'yao
火泽睽,huo'ze'kui
火珠林,huo'zhu'lin
己丑,ji'chou
己亥,ji'hai
己卯,ji'mao
忌神,ji'shen
己巳,ji'si
己未,ji'wei
吉凶,ji'xiong
己酉,ji'you
甲辰,jia'chen
甲禄在寅,jia'lu'zai'yin
甲刃在卯,jia'ren'zai'mao
甲申,jia'shen
甲午,jia'wu
甲戊并牛羊,jia'wu'bing'niu'yang
甲戌,jia'xu
甲寅,jia'yin
甲子,jia'zi
剑锋金,jian'feng'jin
涧下水,jian'xia'shui
将星,jiang'xing
劫煞,jie'sha
金箔金,jin'bo'jin
金克木,jin'ke'mu
金生水,jin'sheng'shui
金爻,jin'yao
静卦,jing'gua
静爻,jing'yao
九二,jiu'er
九三,jiu'san
九四,jiu'si
九五,jiu'wu
九一,jiu'yi
君爻,jun'yao
坎宫八卦,kan'gong'ba'gua
坎卦,kan'gua
坎六,kan'liu
坎为水,kan'wei'shui
坎中满,kan'zhong'man
坤八,kun'ba
坤宫八卦,kun'gong'ba'gua
坤卦,kun'gua
坤六断,kun'liu'duan
坤为地,kun'wei'di
老阳,lao'yang
老阴,lao'yin
雷地豫,lei'di'yu
雷风恒,lei'feng'heng
雷火丰,lei'huo'feng
雷山小过,lei'shan'xiao'guo
雷水解,lei'shui'jie
雷天大壮,lei'tian'da'zhuang
雷泽归妹,lei'ze'gui'mei
离宫八卦,li'gong'ba'gua
离卦,li'gua
离三,li'san
离为火,li'wei'huo
离中虚,li'zhong'xu
临官,lin'guan
六冲,liu'chong
六冲卦,liu'chong'gua
六二,liu'er
六三,liu'san
六神,liu'shen
六十甲子,liu'shi'jia'zi
六十四卦,liu'shi'si'gua
六四,liu'si
六五,liu'wu
六一,liu'yi
路傍土,lu'bang'tu
六合,lu'he
六合卦,lu'he'gua
禄神,lu'shen
炉中火,lu'zhong'huo
卯辰,mao'chen
卯木,mao'mu
卯日,mao'ri
卯时,mao'shi
卯戌,mao'xu
卯酉,mao'you
卯月,mao'yue
明动,ming'dong
谋星,mou'xing
木克土,mu'ke'tu
木生火,mu'sheng'huo
木爻,mu'yao
纳音,na'yin
内卦,nei'gua
排卦,pai'gua
抛钱,pao'qian
霹雳火,pi'li'huo
平土木,ping'tu'mu
平相,ping'xiang
妻财,qi'cai
妻财辰土,qi'cai'chen'tu
妻财丑土,qi'cai'chou'tu
妻财亥水,qi'cai'hai'shui
妻财卯木,qi'cai'mao'mu
妻财申金,qi'cai'shen'jin
妻财巳火,qi'cai'si'huo
妻财未土,qi'cai'wei'tu
妻财午火,qi'cai'wu'huo
妻财戌土,qi'cai'xu'tu
妻财寅木,qi'cai'yin'mu
妻财酉金,qi'cai'you'jin
妻财子水,qi'cai'zi'shui
起卦,qi'gua
乾宫八卦,qian'gong'ba'gua
乾卦,qian'gua
乾三连,qian'san'lian
乾为天,qian'wei'tian
乾一,qian'yi
青龙,qing'long
取用,qu'yong
泉中水,quan'zhong'shui
壬辰,ren'chen
壬癸兔蛇藏,ren'gui'tu'she'cang
壬禄在亥,ren'lu'zai'hai
壬刃在子,ren'ren'zai'zi
壬申,ren'shen
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
壬子,ren'zi
日扶,ri'fu
日合,ri'he
日建,ri'jian
日克,ri'ke
日令,ri'ling
日墓,ri'mu
日破,ri'po
日散,ri'san
日生,ri'sheng
日月组合,ri'yue'zu'he
入墓,ru'mu
三绊,san'ban
三合,san'he
三会,san'hui
三刑,san'xing
桑柘木,sang'zhe'mu
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山地剥,shan'di'bo
山风蛊,shan'feng'gu
山火贲,shan'huo'ben
山雷颐,shan'lei'yi
山水蒙,shan'shui'meng
山天大畜,shan'tian'da'chu
山头火,shan'tou'huo
山下火,shan'xia'huo
山泽损,shan'ze'sun
上九,shang'jiu
上六,shang'liu
少阳,shao'yang
少阴,shao'yin
申亥,shen'hai
申金,shen'jin
申日,shen'ri
申时,shen'shi
申酉,shen'you
申酉戌,shen'you'xu
申月,shen'yue
申子辰,shen'zi'chen
生旺墓绝,sheng'wang'mu'jue
世空,shi'kong
石榴木,shi'liu'mu
世爻,shi'yao
事爻,shi'yao
世应,shi'ying
世用,shi'yong
属火,shu'huo
属金,shu'jin
属木,shu'mu
属水,shu'shui
属土,shu'tu
衰相,shuai'xiang
水地比,shui'di'bi
水风井,shui'feng'jing
水火既济,shui'huo'ji'ji
水克火,shui'ke'huo
水雷屯,shui'lei'tun
水山蹇,shui'shan'jian
水生木,shui'sheng'mu
水天需,shui'tian'xu
水爻,shui'yao
水泽节,shui'ze'jie
巳亥,si'hai
巳火,si'huo
巳日,si'ri
巳申,si'shen
巳时,si'shi
巳午未,si'wu'wei
巳酉丑,si'you'chou
巳月,si'yue
松柏木,song'bai'mu
贪合忘生,tan'he'wang'sheng
贪生忘克,tan'sheng'wang'ke
腾蛇,teng'she
天地否,tian'di'fou
天风姤,tian'feng'du
天干,tian'gan
天河水,tian'he'shui
天火同人,tian'huo'tong'ren
天雷无妄,tian'lei'wu'wang
天山遁,tian'shan'dun
天上火,tian'shang'huo
天水讼,tian'shui'song
天喜,tian'xi
天医,tian'yi
天泽履,tian'ze'lv
同功同权,tong'gong'tong'quan
土克水,tu'ke'shui
土生金,tu'sheng'jin
土爻,tu'yao
外卦,wai'gua
旺衰,wang'shuai
旺相,wang'xiang
旺相休囚,wang'xiang'xiu'qiu
未日,wei'ri
未时,wei'shi
未土,wei'tu
未月,wei'yue
文昌,wen'chang
戊辰,wu'chen
午火,wu'huo
午日,wu'ri
屋上土,wu'shang'tu
戊申,wu'shen
午时,wu'shi
午未,wu'wei
戊午,wu'wu
戊戌,wu'xu
戊寅,wu'yin
无用动爻,wu'yong'dong'yao
午月,wu'yue
戊子,wu'zi
相害,xiang'hai
相克,xiang'ke
相生,xiang'sheng
相刑,xiang'xing
辛丑,xin'chou
辛亥,xin'hai
辛禄在酉,xin'lu'zai'you
辛卯,xin'mao
辛刃在申,xin'ren'zai'shen
辛巳,xin'si
辛未,xin'wei
辛酉,xin'you
兄弟辰土,xiong'di'chen'tu
兄弟丑土,xiong'di'chou'tu
兄弟亥水,xiong'di'hai'shui
兄弟卯木,xiong'di'mao'mu
兄弟申金,xiong'di'shen'jin
兄弟巳火,xiong'di'si'huo
兄弟未土,xiong'di'wei'tu
兄弟午火,xiong'di'wu'huo
兄弟戌土,xiong'di'xu'tu
兄弟寅木,xiong'di'yin'mu
兄弟酉金,xiong'di'you'jin
兄弟子水,xiong'di'zi'shui
休囚,xiu'qiu
戌亥,xu'hai
戌日,xu'ri
戌时,xu'shi
戌土,xu'tu
戌月,xu'yue
玄武,xuan'wu
巽宫八卦,xun'gong'ba'gua
巽卦,xun'gua
旬空,xun'kong
巽为风,xun'wei'feng
巽五,xun'wu
巽下断,xun'xia'duan
阳动,yang'dong
杨柳木,yang'liu'mu
羊刃,yang'ren
摇卦,yao'gua
爻位,yao'wei
爻象,yao'xiang
爻象图,yao'xiang'tu
野鹤秘传,ye'he'mi'chuan
乙丑,yi'chou
乙亥,yi'hai
乙己鼠猴乡,yi'ji'shu'hou'xiang
乙禄在卯,yi'lu'zai'mao
驿马,yi'ma
乙卯,yi'mao
乙刃在寅,yi'ren'zai'yin
乙未,yi'wei
阴动,yin'dong
寅亥,yin'hai
寅卯,yin'mao
寅卯辰,yin'mao'chen
寅木,yin'mu
寅日,yin'ri
寅申,yin'shen
寅时,yin'shi
寅巳,yin'si
寅巳申,yin'si'shen
寅午戌,yin'wu'xu
寅月,yin'yue
应空,ying'kong
应期,ying'qi
应爻,ying'yao
用九,yong'jiu
用六,yong'liu
用神,yong'shen
用神克世,yong'shen'ke'shi
用神生世,yong'shen'sheng'shi
用神衰败,yong'shen'shuai'bai
用旺世兴,yong'wang'shi'xing
用爻,yong'yao
游魂,you'hun
酉金,you'jin
酉日,you'ri
酉时,you'shi
酉戌,you'xu
有用动爻,you'yong'dong'yao
酉月,you'yue
元神,yuan'shen
月合,yue'he
月建,yue'jian
月克,yue'ke
月令,yue'ling
月墓,yue'mu
月破,yue'po
月生,yue'sheng
灾煞,zai'sha
泽地萃,ze'di'cui
泽风大过,ze'feng'da'guo
泽宫八卦,ze'gong'ba'gua
泽火革,ze'huo'ge
泽雷随,ze'lei'sui
泽山咸,ze'shan'xian
泽水困,ze'shui'kun
泽天夬,ze'tian'guai
增删卜易,zeng'shan'bo'yi
震宫八卦,zhen'gong'ba'gua
震卦,zhen'gua
震四,zhen'si
震为雷,zhen'wei'lei
震仰盂,zhen'yang'yu
主卦,zhu'gua
朱雀,zhu'que
装卦,zhuang'gua
子丑,zi'chou
子卯,zi'mao
子日,zi'ri
子时,zi'shi
子水,zi'shui
子孙辰土,zi'sun'chen'tu
子孙丑土,zi'sun'chou'tu
子孙亥水,zi'sun'hai'shui
子孙卯木,zi'sun'mao'mu
子孙申金,zi'sun'shen'jin
子孙巳火,zi'sun'si'huo
子孙未土,zi'sun'wei'tu
子孙午火,zi'sun'wu'huo
子孙戌土,zi'sun'xu'tu
子孙寅木,zi'sun'yin'mu
子孙酉金,zi'sun'you'jin
子孙子水,zi'sun'zi'shui
子未,zi'wei
子午,zi'wu
自刑,zi'xing
子月,zi'yue
自占,zi'zhan
