八仙庆寿,ba'xian'qing'shou
黛玉悲秋,dai'yu'bei'qiu
黛玉恨,dai'yu'hen
黛玉葬花,dai'yu'zang'hua
单鞭夺槊,dan'bian'duo'shuo
荡子叹,dang'zi'tan
倒卷帘,dao'juan'lian
盗扇,dao'shan
得备招亲,de'bei'zhao'qin
得钞傲妻,de'chao'ao'qi
登高望远,deng'gao'wang'yuan
灯下劝夫,deng'xia'quan'fu
地瓜迷,di'gua'mi
貂婵拜月,diao'chan'bai'yue
掉萝卜,diao'luo'bo
丁成巧得妻,ding'cheng'qiao'de'qi
丢戒指,diu'jie'zhi
东北风,dong'bei'feng
洞宾买药,dong'bin'mai'yao
冬去春来,dong'qu'chun'lai
东西院,dong'xi'yuan
东厢记,dong'xiang'ji
东岳庙,dong'yue'miao
独占花魁,du'zhan'hua'kui
断道,duan'dao
对花,dui'hua
对松关,dui'song'guan
二当家看场,er'dang'jia'kan'chang
二姑娘拜年,er'gu'niang'bai'nian
二上山,er'shang'shan
二十四岁寡妇,er'shi'si'sui'gua'fu
二仙得道大天台,er'xian'de'dao'da'tian'tai
饭店迎春,fan'dian'ying'chun
反樊城,fan'fan'cheng
反叫五更,fan'jiao'wu'geng
放风筝,fang'feng'zheng
纺棉花,fang'mian'hua
锋参军,feng'can'jun
凤求皇,feng'qiu'huang
疯僧扫秦,feng'seng'sao'qin
佛门点缘,fo'men'dian'yuan
父女进城,fu'nv'jin'cheng
夫妻争灯,fu'qi'zheng'deng
赶会,gan'hui
甘露寺,gan'lu'si
高成借嫂,gao'cheng'jie'sao
高老庄,gao'lao'zhuang
告扇子,gao'shan'zi
割韭菜,ge'jiu'cai
割袍断义,ge'pao'duan'yi
给军属拜年,gei'jun'shu'bai'nian
古城相会,gu'cheng'xiang'hui
姑娘要赔送,gu'niang'yao'pei'song
姑嫂降香,gu'sao'jiang'xiang
姑爷钻门坎,gu'ye'zuan'men'kan
寡妇难,gua'fu'nan
挂画,gua'hua
关东城起大会,guan'dong'cheng'qi'da'hui
关公盘道,guan'gong'pan'dao
观花灯,guan'hua'deng
光棍哭妻,guang'gun'ku'qi
和尚思凡,he'shang'si'fan
黑五更,hei'wu'geng
蝴蝶飘,hu'die'piao
糊弄妈妈五更,hu'nong'ma'ma'wu'geng
画纱灯,hua'sha'deng
画扇面,hua'shan'mian
花园会书生,hua'yuan'hui'shu'sheng
黄爱玉上坟,huang'ai'yu'shang'fen
黄金定下山,huang'jin'ding'xia'shan
回春饭店,hui'chun'fan'dian
混官断,hun'guan'duan
火烧战船,huo'shao'zhan'chuan
火焰山,huo'yan'shan
祭天,ji'tian
拣柴,jian'chai
见耗子告狸猫,jian'hao'zi'gao'li'mao
见杨七郎打擂,jian'yang'qi'lang'da'lei
江东记,jiang'dong'ji
姜太公卖面,jiang'tai'gong'mai'mian
降香,jiang'xiang
借东风,jie'dong'feng
接姑娘,jie'gu'niang
截江夺斗,jie'jiang'duo'dou
金环记,jin'huan'ji
金精戏窦,jin'jing'xi'dou
金牌调,jin'pai'tiao
金桥,jin'qiao
金山寺,jin'shan'si
金童发配,jin'tong'fa'pei
敬德访白袍,jing'de'fang'bai'pao
井台会,jing'tai'hui
九子图,jiu'zi'tu
鞠家卖女,ju'jia'mai'nv
聚义厅,ju'yi'ting
开店,kai'dian
开山救母,kai'shan'jiu'mu
看财奴,kan'cai'nu
看春花,kan'chun'hua
可怜的秋昏,ke'lian'de'qiu'hun
孔明吊孝,kong'ming'diao'xiao
孔子却齐,kong'zi'que'qi
寇准斗潘妃,kou'zhun'dou'pan'fei
苦中苦,ku'zhong'ku
夸媳妇,kua'xi'fu
快活林,kuai'huo'lin
浪女回头,lang'nv'hui'tou
老虎学艺,lao'hu'xue'yi
老将传宝,lao'jiang'chuan'bao
老牛钻山,lao'niu'zuan'shan
老少换妻,lao'shao'huan'qi
老树逢春,lao'shu'feng'chun
老田头看瓜,lao'tian'tou'kan'gua
擂鼓战金山,lei'gu'zhan'jin'shan
理发姑娘,li'fa'gu'niang
李桂香打柴,li'gui'xiang'da'chai
狸猫换太子,li'mao'huan'tai'zi
李庆双积肥,li'qing'shuang'ji'fei
隶雪梅吊孝,li'xue'mei'diao'xiao
李月兰,li'yue'lan
两狼山,liang'lang'shan
梁赛金擀面,liang'sai'jin'gan'mian
临潼斗宝,lin'tong'dou'bao
刘二姐拴娃娃,liu'er'jie'shuan'wa'wa
刘公案,liu'gong'an
柳河湾,liu'he'wan
刘金定大破迷魂阵,liu'jin'ding'da'po'mi'hun'zhen
刘金定力杀四门,liu'jin'ding'li'sha'si'men
刘全进瓜,liu'quan'jin'gua
刘同勋私访,liu'tong'xun'si'fang
柳毅传书,liu'yi'chuan'shu
柳迎春守寒窑,liu'ying'chun'shou'han'yao
榴迎夫夺寒窑,liu'ying'fu'duo'han'yao
刘云打母,liu'yun'da'mu
柳展雄抢亲,liu'zhan'xiong'qiang'qin
龙凤关,long'feng'guan
龙凤配,long'feng'pei
芦花记,lu'hua'ji
露泪缘,lu'lei'yuan
罗成跪楼,luo'cheng'gui'lou
罗成卖线,luo'cheng'mai'xian
罗锅子抢亲,luo'guo'zi'qiang'qin
罗裙记,luo'qun'ji
吕蒙正赶斋,lv'meng'zheng'gan'zhai
吕蒙正教学,lv'meng'zheng'jiao'xue
马跳潭溪,ma'tiao'tan'xi
马者大推磨,ma'zhe'da'tui'mo
卖子孙贤,mai'zi'sun'xian
忙牛阵,mang'niu'zhen
美风楼,mei'feng'lou
美凤楼,mei'feng'lou
美人查关,mei'ren'cha'guan
孟姜女寻夫,meng'jiang'nv'xun'fu
蜜蜂记,mi'feng'ji
蜜牌调,mi'pai'tiao
明天,ming'tian
磨房产子,mo'fang'chan'zi
木兰荣归,mu'lan'rong'gui
目莲救母,mu'lian'jiu'mu
母女顶嘴,mu'nv'ding'zui
闹掰扯,nao'bai'che
闹洞房,nao'dong'fang
闹南监,nao'nan'jian
闹鱼塘,nao'yu'tang
宁武关,ning'wu'guan
牛郎织女,niu'lang'zhi'nv
女队长,nv'dui'chang
女开店,nv'kai'dian
蟠桃会,pan'tao'hui
跑关东,pao'guan'dong
捧子劝夫,peng'zi'quan'fu
齐二嫂串门,qi'er'sao'chuan'men
杞姑思凡,qi'gu'si'fan
七人贤,qi'ren'xian
奇冤婪,qi'yuan'lan
七月七,qi'yue'qi
乾隆下江南,qian'long'xia'jiang'nan
墙头记,qiang'tou'ji
桥头会,qiao'tou'hui
亲儿女,qin'er'nv
秦梦兰出嫁,qin'meng'lan'chu'jia
秦琼卖马,qin'qiong'mai'ma
秦雪梅吊孝,qin'xue'mei'diao'xiao
青菜段,qing'cai'duan
青菜名,qing'cai'ming
清官断,qing'guan'duan
清烈传,qing'lie'chuan
青山育秀,qing'shan'yu'xiu
青石山,qing'shi'shan
穷富论,qiong'fu'lun
求师,qiu'shi
全钵,quan'bo
全德报,quan'de'bao
全家光荣,quan'jia'guang'rong
热客回头,re'ke'hui'tou
人老心红,ren'lao'xin'hong
人头告状,ren'tou'gao'zhuang
人缘配,ren'yuan'pei
三尺柜台,san'chi'gui'tai
三打苏二姐,san'da'su'er'jie
三到刘家,san'dao'liu'jia
三对梨花枪,san'dui'li'hua'qiang
三顾茅芦,san'gu'mao'lu
三击掌,san'ji'zhang
三件废品,san'jian'fei'pin
三节烈,san'jie'lie
三看光荣榜,san'kan'guang'rong'bang
三让红旗,san'rang'hong'qi
三调芭蕉扇,san'tiao'ba'jiao'shan
三贤,san'xian
三星归天,san'xing'gui'tian
三遇文化岗,san'yu'wen'hua'gang
僧尼会,seng'ni'hui
傻大哥,sha'da'ge
杀狗,sha'gou
杀家,sha'jia
杀江,sha'jiang
杀楼,sha'lou
杀庙打杠子,sha'miao'da'gang'zi
傻柱子接媳妇,sha'zhu'zi'jie'xi'fu
杀子报,sha'zi'bao
佘太君辞朝,she'tai'jun'ci'chao
舌战群儒,she'zhan'qun'ru
深山红花,shen'shan'hong'hua
审头刺汤,shen'tou'ci'tang
生死板,sheng'si'ban
十补母重恩小冒,shi'bu'mu'zhong'en'xiao'mao
史家庄,shi'jia'zhuang
矢齐庙,shi'qi'miao
十问十答,shi'wen'shi'da
拾玉镯,shi'yu'zhuo
书囊计,shu'nang'ji
摔三弦,shuai'san'xian
拴娃娃,shuan'wa'wa
双拜年,shuang'bai'nian
双背凳,shuang'bei'deng
双戴花,shuang'dai'hua
双顶灯,shuang'ding'deng
双官诰,shuang'guan'gao
双回头,shuang'hui'tou
双交换,shuang'jiao'huan
双叩门,shuang'kou'men
双怕妻,shuang'pa'qi
双配合,shuang'pei'he
双秃闹房,shuang'tu'nao'fang
双下山,shuang'xia'shan
水牢记,shui'lao'ji
水淹金山,shui'yan'jin'shan
四季花鸟虫子名,si'ji'hua'niao'chong'zi'ming
丝绒记,si'rong'ji
送饭,song'fan
宋江发配,song'jiang'fa'pei
送金秋,song'jin'qiu
送鞋,song'xie
苏廷元搬家,su'ting'yuan'ban'jia
苏武牧羊,su'wu'mu'yang
酸甜泪,suan'tian'lei
孙膑思家,sun'bin'si'jia
孙纪皋卖水,sun'ji'gao'mai'shui
梭罗彦查关,suo'luo'yan'cha'guan
太公钓鱼,tai'gong'diao'yu
太公卖面,tai'gong'mai'mian
太子藏舟,tai'zi'cang'zhou
贪财丧命,tan'cai'sang'ming
谭香女哭瓜,tan'xiang'nv'ku'gua
探窑,tan'yao
讨荆州,tao'jing'zhou
桃园结义,tao'yuan'jie'yi
天公报,tian'gong'bao
天门阵,tian'men'zhen
天齐庙,tian'qi'miao
天台山封神,tian'tai'shan'feng'shen
挑对象,tiao'dui'xiang
调精忠,tiao'jing'zhong
铁弓缘,tie'gong'yuan
听琴,ting'qin
土山被困,tu'shan'bei'kun
王登云休妻,wang'deng'yun'xiu'qi
王定保借当,wang'ding'bao'jie'dang
王美蓉观花,wang'mei'rong'guan'hua
五龙堂,wu'long'tang
武松反狱,wu'song'fan'yu
小二姐做梦,xiao'er'jie'zuo'meng
小放牛,xiao'fang'niu
小赶船,xiao'gan'chuan
小拱地,xiao'gong'di
小姑恶,xiao'gu'e
小姑贤,xiao'gu'xian
小寡妇改嫁,xiao'gua'fu'gai'jia
小过门,xiao'guo'men
小俩口顶嘴,xiao'lia'kou'ding'zui
小尿炕,xiao'niao'kang
小三分家,xiao'san'fen'jia
小上坟,xiao'shang'fen
小上寿,xiao'shang'shou
小王打鸟,xiao'wang'da'niao
小西唐,xiao'xi'tang
写书,xie'shu
绣地球,xiu'di'qiu
秀特勒,xiu'te'le
许仙借伞,xu'xian'jie'san
旋风案,xuan'feng'an
薛丁山打雁,xue'ding'shan'da'yan
薛礼诉功,xue'li'su'gong
薛礼征东,xue'li'zheng'dong
雪玉冰霜,xue'yu'bing'shuang
巡线工,xun'xian'gong
浔阳楼,xun'yang'lou
压霞学艺,ya'xia'xue'yi
雁词,yan'ci
燕青打擂,yan'qing'da'lei
阎王审鼠,yan'wang'shen'shu
杨八姐拉马,yang'ba'jie'la'ma
杨大嫂找马,yang'da'sao'zhao'ma
杨广变牛,yang'guang'bian'niu
杨家归西,yang'jia'gui'xi
扬眉吐气,yang'mei'tu'qi
杨闹红要表,yang'nao'hong'yao'biao
扬排风,yang'pai'feng
杨排风招亲,yang'pai'feng'zhao'qin
杨七郎打擂,yang'qi'lang'da'lei
咬脐郎打围,yao'qi'lang'da'wei
咬脐郎接母,yao'qi'lang'jie'mu
叶绿花红,ye'lv'hua'hong
夜审周子琴,ye'shen'zhou'zi'qin
夜宿张家庄,ye'su'zhang'jia'zhuang
夜走青石岭,ye'zou'qing'shi'ling
一代新人学雷锋,yi'dai'xin'ren'xue'lei'feng
一筐海棠果,yi'kuang'hai'tang'guo
一匹枣红马,yi'pi'zao'hong'ma
忆真妃,yi'zhen'fei
忆征程,yi'zheng'cheng
阴魂阵,yin'hun'zhen
姻缘巧配,yin'yuan'qiao'pei
鹦哥对诗,ying'ge'dui'shi
英雄会,ying'xiong'hui
游旧院,you'jiu'yuan
游武庙,you'wu'miao
油炸煤球,you'zha'mei'qiu
俞伯牙摔琴,yu'bo'ya'shuai'qin
玉华和春发,yu'hua'he'chun'fa
淤泥河救驾,yu'ni'he'jiu'jia
渔樵耕读,yu'qiao'geng'du
余太君辞朝,yu'tai'jun'ci'chao
玉堂春,yu'tang'chun
雨夜挖壕,yu'ye'wa'hao
鸳鸯抗婚,yuan'yang'kang'hun
再绝阵,zai'jue'zhen
灶王诉功,zao'wang'su'gong
铡叶阁老,zha'ye'ge'lao
斩窦娥,zhan'dou'e
斩韩信,zhan'han'xin
站花墙,zhan'hua'qiang
战寿州,zhan'shou'zhou
张良辞朝,zhang'liang'ci'chao
赵匡胤打枣,zhao'kuang'yin'da'zao
折西厢,zhe'xi'xiang
中秋更想咱总理,zhong'qiu'geng'xiang'zan'zong'li
诸葛亮招亲,zhu'ge'liang'zhao'qin
朱洪武挂画,zhu'hong'wu'gua'hua
朱买臣打柴,zhu'mai'chen'da'chai
朱买臣赶考,zhu'mai'chen'gan'kao
抓家虎,zhua'jia'hu
庄金定思夫,zhuang'jin'ding'si'fu
追驸马,zhui'fu'ma
子路追孔,zi'lu'zhui'kong
自找对象,zi'zhao'dui'xiang
钻炕洞,zuan'kang'dong
