阿巴斯,a'ba'si
哈利法克斯,ha'li'fa'ke'si
哈瓦那,ha'wa'na
海达尔帕夏,hai'da'er'pa'xia
海法,hai'fa
海防,hai'fang
海纳,hai'na
汉堡,han'bao
豪尔法坎,hao'er'fa'kan
赫尔,he'er
赫尔辛基,he'er'xin'ji
和歌山,he'ge'shan
荷台达,he'tai'da
黑德兰港,hei'de'lan'gang
黑角,hei'jiao
横滨,heng'bin
胡志明,hu'zhi'ming
怀尼米港,huai'ni'mi'gang
黄埔,huang'pu
惠灵顿,hui'ling'dun
霍尔迪亚,huo'er'di'ya
霍梅尼,huo'mei'ni
霍尼亚拉,huo'ni'ya'la
吉布提,ji'bu'ti
吉达,ji'da
吉大港,ji'da'gang
基督城,ji'du'cheng
吉恩吉恩,ji'en'ji'en
基辅,ji'fu
基林霍尔梅,ji'lin'huo'er'mei
基隆,ji'long
加尔各答,jia'er'ge'da
加尔维斯敦,jia'er'wei'si'dun
加莱角,jia'lai'jiao
迦哇内卢,jia'wa'nei'lu
加扎乌埃特港,jia'zha'wu'ai'te'gang
杰贝阿里,jie'bei'a'li
杰克森维尔,jie'ke'sen'wei'er
杰拉尔顿,jie'la'er'dun
金边,jin'bian
金斯敦,jin'si'dun
今泽,jin'ze
今治,jin'zhi
境港,jing'gang
鲸湾,jing'wan
九江,jiu'jiang
酒田,jiu'tian
巨港,ju'gang
卡贝略,ka'bei'lue
卡宾达,ka'bin'da
卡尔德拉港,ka'er'de'la'gang
卡尔加里,ka'er'jia'li
卡基纳达,ka'ji'na'da
卡拉奇,ka'la'qi
卡姆登,ka'mu'deng
卡纳维拉尔港,ka'na'wei'la'er'gang
卡萨布兰卡,ka'sa'bu'lan'ka
卡斯特里,ka'si'te'li
卡塔赫纳,ka'ta'he'na
卡西姆港,ka'xi'mu'gang
卡亚俄,ka'ya'e
凯莱,kai'lai
开普敦,kai'pu'dun
坎德拉,kan'de'la
坎帕拉,kan'pa'la
堪萨斯城,kan'sa'si'cheng
康斯坦萨,kang'si'tan'sa
柯柏克斯地港,ke'bai'ke'si'di'gang
科尔萨科夫,ke'er'sa'ke'fu
科尔特斯港,ke'er'te'si'gang
科克都,ke'ke'dou
克莱斯特彻奇,ke'lai'si'te'che'qi
克里斯托瓦尔,ke'li'si'tuo'wa'er
科林托,ke'lin'tuo
科隆,ke'long
科伦坡,ke'lun'po
科纳克里,ke'na'ke'li
科佩尔,ke'pei'er
科钦,ke'qin
科特卡,ke'te'ka
科托努,ke'tuo'nu
科威特,ke'wei'te
肯布拉港,ken'bu'la'gang
孔雀港,kong'que'gang
库集埃纳瓦卡,ku'ji'ai'na'wa'ka
库拉索岛,ku'la'suo'dao
库姆港,ku'mu'gang
夸特扎尔港,kua'te'zha'er'gang
坤甸,kun'dian
腊包尔,la'bao'er
拉布安,la'bu'an
拉查罗卡地那斯,la'cha'luo'ka'di'na'si
拉尔维克,la'er'wei'ke
拉各斯,la'ge'si
拉瓜伊拉,la'gua'yi'la
拉科鲁纳,la'ke'lu'na
拉纳卡,la'na'ka
拉帕利斯,la'pa'li'si
拉斯拉努夫,la'si'la'nu'fu
拉斯帕尔马斯,la'si'pa'er'ma'si
拉斯佩齐亚,la'si'pei'qi'ya
拉塔基亚,la'ta'ji'ya
拉完那,la'wan'na
拉希德港,la'xi'de'gang
莱城,lai'cheng
莱科索斯,lai'ke'suo'si
劳托卡,lao'tuo'ka
老岩丘,lao'yan'qiu
勒阿弗尔,le'a'fu'er
雷鸟尼翁,lei'niao'ni'weng
累西菲,lei'xi'fei
里奥格兰德,li'ao'ge'lan'de
利伯维尔,li'bo'wei'er
理查德湾,li'cha'de'wan
例昆,li'kun
利马索尔,li'ma'suo'er
利蒙港,li'meng'gang
利默里克,li'mo'li'ke
利萨斯港,li'sa'si'gang
里斯本,li'si'ben
利特尔顿,li'te'er'dun
里窝那,li'wo'na
利物浦,li'wu'pu
利亚德,li'ya'de
里耶卡,li'ye'ka
里约热内卢,li'yue're'nei'lu
连云港,lian'yun'gang
林查班,lin'cha'ban
龙口,long'kou
卢安达,lu'an'da
鲁昂,lu'ang
鲁伯特王子港,lu'bo'te'wang'zi'gang
鹿特丹,lu'te'dan
路易港,lu'yi'gang
洛比托,luo'bi'tuo
罗德城,luo'de'cheng
罗津,luo'jin
洛美,luo'mei
洛杉矶,luo'shan'ji
罗索,luo'suo
马埃,ma'ai
马达斯,ma'da'si
马当,ma'dang
马德拉斯,ma'de'la'si
马德里,ma'de'li
马尔萨什洛克,ma'er'sa'shen'luo'ke
马尔他,ma'er'ta
马哈赞加,ma'ha'zan'jia
麻拉,ma'la
马拉博,ma'la'bo
马拉加,ma'la'jia
马拉开波,ma'la'kai'bo
马里,ma'li
马隆加,ma'long'jia
马纳瓜,ma'na'gua
马瑙斯,ma'nao'si
马尼拉,ma'ni'la
马普托,ma'pu'tuo
马萨瓦,ma'sa'wa
马塞,ma'sai
马塞卢,ma'sai'lu
马山,ma'shan
马斯喀特,ma'si'ka'te
马塔迪,ma'ta'di
马塔腊尼,ma'ta'la'ni
马坦札斯湾,ma'tan'zha'si'wan
马永巴,ma'yong'ba
迈阿密,mai'a'mi
麦普塔普特,mai'pu'ta'pu'te
曼谷,man'gu
曼萨尼约,man'sa'ni'yue
曼塔,man'ta
梅尔辛,mei'er'xin
门司,men'si
蒙巴萨,meng'ba'sa
蒙德拉,meng'de'la
蒙得维的亚,meng'de'wei'di'ya
孟菲斯,meng'fei'si
孟拉,meng'la
蒙罗维亚,meng'luo'wei'ya
孟买,meng'mai
蒙特哥湾,meng'te'ge'wan
蒙特雷,meng'te'lei
蒙特利尔,meng'te'li'er
米兰,mi'lan
米纳卡布斯,mi'na'ka'bu'si
米苏拉塔,mi'su'la'ta
棉兰拉湾,mian'lan'la'wan
民都港,min'dou'gang
明德卢,ming'de'lu
名古屋,ming'gu'wu
明尼阿波利斯,ming'ni'a'bo'li'si
莫比尔,mo'bi'er
墨尔本,mo'er'ben
莫尔斯比港,mo'er'si'bi'gang
莫斯科,mo'si'ke
莫斯塔加,mo'si'ta'jia
墨西哥城,mo'xi'ge'cheng
那垻,na'bei
那波里,na'bo'li
那不勒斯,na'bu'le'si
纳尔逊,na'er'xun
纳霍德卡,na'huo'de'ka
纳卡拉,na'ka'la
纳米贝,na'mi'bei
拿骚,na'sao
那瓦夏瓦,na'wa'xia'wa
南安普敦,nan'an'pu'dun
南京,nan'jing
南浦,nan'pu
南沙,nan'sha
南圣弗朗西斯科,nan'sheng'fu'lang'xi'si'ke
南特,nan'te
南通,nan'tong
内皮尔,nei'pi'er
宁波,ning'bo
纽波特,niu'bo'te
纽波特纽斯,niu'bo'te'niu'si
纽卡斯尔,niu'ka'si'er
纽瓦克,niu'wa'ke
纽约,niu'yue
努库阿洛法,nu'ku'a'luo'fa
努美阿,nu'mei'a
努瓦迪布,nu'wa'di'bu
努瓦克肖特,nu'wa'ke'xiao'te
诺福克,nuo'fu'ke
帕尔迪斯基,pa'er'di'si'ji
帕拉迪布,pa'la'di'bu
帕拉马里博,pa'la'ma'li'bo
派塔,pai'ta
蓬塞,peng'sai
皮帕瓦沃,pi'pa'wa'wo
皮特尔角,pi'te'er'jiao
平壤,ping'rang
平泽,ping'ze
珀斯,po'si
蒲郡,pu'jun
普拉塔港,pu'la'ta'gang
奇维塔韦基亚,qi'wei'ta'wei'ji'ya
千叶,qian'ye
乔治敦,qiao'zhi'dun
钦博特,qin'bo'te
秦皇岛,qin'huang'dao
青岛,qing'dao
清奈,qing'nai
清水,qing'shui
秋明,qiu'ming
秋田,qiu'tian
泉北,quan'bei
群山,qun'shan
让蒂尔港,rang'di'er'gang
热那亚,re'na'ya
热亚陶罗,re'ya'tao'luo
仁川,ren'chuan
日立,ri'li
日照,ri'zhao
萨尔达尼亚,sa'er'da'ni'ya
萨尔瓦多,sa'er'wa'duo
萨凡纳,sa'fan'na
萨贡托,sa'gong'tuo
萨拉特,sa'la'te
萨洛尼卡,sa'luo'ni'ka
塞得港,sai'de'gang
塞拉莱,sai'la'lai
塞佩提巴,sai'pei'ti'ba
塞萨洛尼基,sai'sa'luo'ni'ji
塞图巴尔,sai'tu'ba'er
三宝垄,san'bao'long
三潘市,san'pan'shi
桑佛,sang'fo
桑给巴尔,sang'ji'ba'er
桑坦德,sang'tan'de
桑托斯,sang'tuo'si
瑟尔沃斯堡,se'er'wo'si'bao
沙迦,sha'jia
山打根,shan'da'gen
汕头,shan'tou
苫小牧,shan'xiao'mu
上海,shang'hai
蛇口,she'kou
神户,shen'hu
深圳,shen'zhen
圣安东尼奥,sheng'an'dong'ni'ao
圣彼得堡,sheng'bi'de'bao
圣迭戈,sheng'die'ge
圣多美,sheng'duo'mei
圣多明各,sheng'duo'ming'ge
圣弗朗西斯科,sheng'fu'lang'xi'si'ke
圣何塞,sheng'he'sai
圣胡安,sheng'hu'an
圣克鲁瓦,sheng'ke'lu'wa
圣洛伦索,sheng'luo'lun'suo
圣佩德罗,sheng'pei'de'luo
圣佩德罗苏拉,sheng'pei'de'luo'su'la
圣乔治,sheng'qiao'zhi
圣萨尔瓦多,sheng'sa'er'wa'duo
圣托马斯,sheng'tuo'ma'si
圣托马斯德卡斯蒂利亚,sheng'tuo'ma'si'de'ka'si'di'li'ya
圣维森特,sheng'wei'sen'te
圣约翰斯,sheng'yue'han'si
石岛,shi'dao
室兰,shi'lan
士麦那,shi'mai'na
石狩,shi'shou
石垣岛,shi'yuan'dao
舒韦赫,shu'wei'he
水岛,shui'dao
斯基克达,si'ji'ke'da
四日市,si'ri'shi
斯瑞拉察,si'rui'la'cha
思塞纳达,si'sai'na'da
泗水,si'shui
斯托克顿,si'tuo'ke'dun
泗务,si'wu
宋卡,song'ka
松山,song'shan
苏碧湾,su'bi'wan
苏丹,su'dan
苏丹库达拉,su'dan'ku'da'la
苏瓦,su'wa
苏瓦沛,su'wa'pei
宿雾,su'wu
苏伊士,su'yi'shi
索科纳,suo'ke'na
索约,suo'yue
塔迪库尔干,ta'di'ku'er'gan
塔尔图斯,ta'er'tu'si
塔可角洛,ta'ke'jiao'luo
塔科拉迪,ta'ke'la'di
塔科马,ta'ke'ma
塔拉戈纳,ta'la'ge'na
塔拉瓦,ta'la'wa
塔兰托,ta'lan'tuo
塔马塔夫,ta'ma'ta'fu
塔什干,ta'shi'gan
台北,tai'bei
泰晤士港,tai'wu'shi'gang
台中,tai'zhong
泰州,tai'zhou
太子港,tai'zi'gang
坦噶,tan'ga
坦帕,tan'pa
坦皮科,tan'pi'ke
檀香山,tan'xiang'shan
汤斯维尔,tang'si'wei'er
陶朗阿,tao'lang'a
桃园,tao'yuan
特拉维夫,te'la'wei'fu
特马,te'ma
汀坎,ting'kan
图阿马西纳,tu'a'ma'xi'na
图尔库,tu'er'ku
突尼斯,tu'ni'si
托布鲁克,tuo'bu'lu'ke
瓦尔纳,wa'er'na
瓦尔帕莱索,wa'er'pa'lai'suo
瓦莱塔,wa'lai'ta
瓦里,wa'li
瓦伦西亚,wa'lun'xi'ya
危地马拉城,wei'di'ma'la'cheng
维多利亚,wei'duo'li'ya
威尔明顿,wei'er'ming'dun
维果,wei'guo
威海,wei'hai
维拉港,wei'la'gang
韦拉克鲁斯,wei'la'ke'lu'si
威廉斯塔德,wei'lian'si'ta'de
威尼斯,wei'ni'si
维萨,wei'sa
蔚山,wei'shan
维亚纳堡,wei'ya'na'bao
温哥华,wen'ge'hua
温尼伯,wen'ni'bo
温州,wen'zhou
沃尔特里,wo'er'te'li
武汉,wu'han
舞鹤,wu'he
芜湖,wu'hu
勿拉湾,wu'la'wan
乌兰巴托,wu'lan'ba'tuo
乌姆盖斯尔,wu'mu'gai'si'er
西班牙港,xi'ban'ya'gang
细岛,xi'dao
希尔内斯,xi'er'nei'si
西哈努克,xi'ha'nu'ke
悉尼,xi'ni
西雅图,xi'ya'tu
夏洛特,xia'luo'te
厦门,xia'men
岘港,xian'gang
仙台,xian'tai
香港,xiang'gang
小仓,xiao'cang
小名滨,xiao'ming'bin
小樽,xiao'zun
新奥尔良,xin'ao'er'liang
新德里,xin'de'li
新港,xin'gang
新加坡,xin'jia'po
新罗西斯克,xin'luo'xi'si'ke
新芒格洛尔,xin'mang'ge'luo'er
新威斯敏斯特,xin'wei'si'min'si'te
新西伯利亚,xin'xi'bo'li'ya
新泻,xin'xie
熊本,xiong'ben
休斯敦,xiu'si'dun
亚的斯亚贝巴,ya'di'si'ya'bei'ba
亚丁,ya'ding
雅加达,ya'jia'da
亚喀巴,ya'ka'ba
亚历山大,ya'li'shan'da
亚曼达巴市,ya'man'da'ba'shi
亚松森,ya'song'sen
亚特兰大,ya'te'lan'da
岩国,yan'guo
烟台,yan'tai
盐田,yan'tian
仰光,yang'guang
扬州,yang'zhou
耶尼克,ye'ni'ke
伊尔库茨克,yi'er'ku'ci'ke
伊格松德,yi'ge'song'de
伊基克,yi'ji'ke
伊克达斯,yi'ke'da'si
伊利切夫斯克,yi'li'qie'fu'si'ke
伊丽莎白港,yi'li'sha'bai'gang
伊洛,yi'luo
伊名赫姆,yi'ming'he'mu
伊斯肯德伦,yi'si'ken'de'lun
伊斯坦布尔,yi'si'tan'bu'er
伊塔基,yi'ta'ji
伊塔日艾,yi'ta'ri'ai
伊万里,yi'wan'li
伊予三岛,yi'yu'san'dao
伊兹密尔,yi'zi'mi'er
营口,ying'kou
约翰内斯堡,yue'han'nei'si'bao
泽布吕赫,ze'bu'lv'he
湛江,zhan'jiang
张家港,zhang'jia'gang
直布罗陀,zhi'bu'luo'tuo
志不志,zhi'bu'zhi
芝加哥,zhi'jia'ge
中国,zhong'guo
