阿嫲,a'ma
等埋,deng'mai
等天光,deng'tian'guang
等阵,deng'zhen
睇病,di'bing
抵到烂,di'dao'lan
地低,di'di
地底,di'di
睇低,di'di
睇电视,di'dian'shi
的而且确,di'er'qie'que
睇法,di'fa
底狗,di'gou
睇过先,di'guo'xian
睇过先知,di'guo'xian'zhi
睇路,di'lu
的士,di'shi
睇衰,di'shuai
滴水,di'shui
睇水,di'shui
抵死,di'si
睇死你,di'si'ni
地头,di'tou
地拖,di'tuo
睇戏,di'xi
睇住,di'zhu
嗲聲嗲氣,dia'sheng'dia'qi
电掣,dian'che
掂档,dian'dang
电灯胆,dian'deng'dan
癫癫废废,dian'dian'fei'fei
癫癫丧丧,dian'dian'sang'sang
点话点好,dian'hua'dian'hao
点解,dian'jie
点算,dian'suan
点样,dian'yang
屌得一,diao'de'yi
吊睛,diao'jing
屌你唔知屌,diao'ni'wu'zhi'diao
吊液,diao'ye
吊瘾,diao'yin
调转头,diao'zhuan'tou
跌跤,die'jiao
跌眼镜,die'yan'jing
顶档,ding'dang
顶肚,ding'du
顶数,ding'shu
顶心顶肺,ding'xin'ding'fei
顶硬上,ding'ying'shang
钉装,ding'zhuang
冻冰冰,dong'bing'bing
冬菇,dong'gu
豆角,dou'jiao
豆皮,dou'pi
斗气,dou'qi
豆沙喉,dou'sha'hou
肚屙,du'e
肚饿,du'e
肚腩,du'nan
独食,du'shi
独食难肥,du'shi'nan'fei
度水,du'shui
断骨,duan'gu
对出,dui'chu
对落,dui'luo
对上,dui'shang
对摺,dui'zhe
多多声,duo'duo'sheng
多谢,duo'xie
饿过饥,e'guo'ji
屙尿,e'niao
奀瘦,en'shou
而家,er'jia
儿嬉,er'xi
耳仔,er'zai
发达,fa'da
发癫,fa'dian
发鸡盲,fa'ji'mang
发姣,fa'jiao
发脚,fa'jiao
发冷,fa'leng
罚企,fa'qi
发钱寒,fa'qian'han
发肉紧,fa'rou'jin
发烧友,fa'shao'you
发市,fa'shi
发瘟,fa'wen
发羊吊,fa'yang'diao
返本,fan'ben
饭铲头,fan'chan'tou
翻风,fan'feng
返工,fan'gong
反骨仔,fan'gu'zai
番鬼,fan'gui
返归,fan'gui
番鬼佬,fan'gui'lao
饭盒,fan'he
番枧,fan'jian
番碱,fan'jian
返来,fan'lai
饭燶,fan'nong
返去,fan'qu
返生,fan'sheng
番薯,fan'shu
饭汤,fan'tang
反为,fan'wei
返屋,fan'wu
返学,fan'xue
返寻味,fan'xun'wei
番鸭,fan'ya
犯众憎,fan'zhong'zeng
返转,fan'zhuan
返转头,fan'zhuan'tou
反转猪肚,fan'zhuan'zhu'du
反转猪肚就系屎,fan'zhuan'zhu'du'jiu'xi'shi
放低,fang'di
放飞机,fang'fei'ji
放工,fang'gong
放监,fang'jian
放落,fang'luo
废柴,fei'chai
非常之,fei'chang'zhi
飞发,fei'fa
肥肥白白,fei'fei'bai'bai
肥佬,fei'lao
非礼,fei'li
飞起,fei'qi
飞象过河,fei'xiang'guo'he
肥仔米,fei'zai'mi
粉肠,fen'chang
分分钟,fen'fen'zhong
忿颈,fen'jing
忿气,fen'qi
风栗,feng'li
风头火势,feng'tou'huo'shi
伏低,fu'di
伏匿匿,fu'ni'ni
浮头,fu'tou
该煨,gai'wei
赶工,gan'gong
甘水,gan'shui
干虾,gan'xia
高大衰,gao'da'shuai
搞掂,gao'dian
高斗,gao'dou
搞搞震,gao'gao'zhen
高踭鞋,gao'zheng'xie
高中鸡,gao'zhong'ji
隔篱,ge'li
隔篱邻舍,ge'li'lin'she
蛤乸,ge'na
个字,ge'zi
跟尾,gen'wei
跟尾狗,gen'wei'gou
公仔,gong'zai
公仔书,gong'zai'shu
狗窦,gou'dou
够劲,gou'jin
够力,gou'li
狗乸,gou'na
够皮,gou'pi
够运,gou'yun
估大猪,gu'da'zhu
孤寒,gu'han
蛊惑,gu'huo
咕哩,gu'li
古灵精怪,gu'ling'jing'guai
姑妈,gu'ma
骨子,gu'zi
寡佬,gua'lao
挂住,gua'zhu
掴一巴,guai'yi'ba
怪责,guai'ze
光管,guang'guan
光鲜,guang'xian
鬼打鬼,gui'da'gui
鬼儿,gui'er
鬼叫你穷,gui'jiao'ni'qiong
柜桶,gui'tong
滚搅,gun'jiao
滚水,gun'shui
滚友,gun'you
过货,guo'huo
过街,guo'jie
果生,guo'sheng
过头,guo'tou
过云雨,guo'yun'yu
过钟,guo'zhong
寒背,han'bei
喊打喊杀,han'da'han'sha
寒凉,han'liang
含柒,han'qi
好地地,hao'di'di
好攰,hao'gui
好过,hao'guo
好好睇睇,hao'hao'di'di
好话为,hao'hua'wei
好架势,hao'jia'shi
好劲,hao'jin
好面好貌生沙虱,hao'mian'hao'mao'sheng'sha'shi
好气,hao'qi
好声好气,hao'sheng'hao'qi
好似,hao'si
好天,hao'tian
好闲,hao'xian
好相与,hao'xiang'yu
好心机,hao'xin'ji
好心你,hao'xin'ni
好易话为,hao'yi'hua'wei
好瘀,hao'yu
毫纸,hao'zhi
合符,he'fu
合符常理,he'fu'chang'li
禾秆,he'gan
荷兰豆,he'lan'dou
和暖,he'nuan
鹖突,he'tu
和味,he'wei
黑灯,hei'deng
黑口黑面,hei'kou'hei'mian
黑墨墨,hei'mo'mo
黑黢黢,hei'qu'qu
黑仔,hei'zai
横脷,heng'li
猴急,hou'ji
喉榄,hou'lan
后日,hou'ri
后生女,hou'sheng'nv
后生细仔,hou'sheng'xi'zai
后生仔,hou'sheng'zai
后枕,hou'zhen
胡须佬,hu'xu'lao
滑潺潺,hua'chan'chan
花假,hua'jia
话口未完,hua'kou'wei'wan
花面猫,hua'mian'mao
花名,hua'ming
话明,hua'ming
话事,hua'shi
花顺,hua'shun
花樽,hua'zun
坏水,huai'shui
欢喜,huan'xi
黄蜂,huang'feng
黄黚黚,huang'qian'qian
慌失失,huang'shi'shi
黄牙白,huang'ya'bai
晦气,hui'qi
混吉,hun'ji
镬铲,huo'chan
火滚,huo'gun
镬黸,huo'lu
火气,huo'qi
镬气,huo'qi
火遮眼,huo'zhe'yan
火烛,huo'zhu
鸡髀,ji'bi
几多,ji'duo
鸡公,ji'gong
即管,ji'guan
急急脚,ji'ji'jiao
几架势,ji'jia'shi
鸡毛扫,ji'mao'sao
鸡乸,ji'na
记起,ji'qi
鸡膶,ji'run
鸡碎,ji'sui
鸡同鸭讲,ji'tong'ya'jiang
计我话,ji'wo'hua
即系,ji'xi
鸡翼,ji'yi
挤拥,ji'yong
计正,ji'zheng
极之,ji'zhi
加把口,jia'ba'kou
家公,jia'gong
假假地都系,jia'jia'di'dou'xi
加加埋埋,jia'jia'mai'mai
家姐,jia'jie
加零一,jia'ling'yi
家婆,jia'po
家嫂,jia'sao
架势,jia'shi
家私,jia'si
加添,jia'tian
家下,jia'xia
夹硬,jia'ying
简笔字,jian'bi'zi
见步行步,jian'bu'xing'bu
监仓,jian'cang
间尺,jian'chi
监趸,jian'dun
枧粉,jian'fen
兼夹,jian'jia
奸狡,jian'jiao
拣靓衫,jian'liang'shan
兼且,jian'qie
拣食,jian'shi
见使,jian'shi
见食,jian'shi
简体字,jian'ti'zi
拣饮择食,jian'yin'ze'shi
拣择,jian'ze
见周公,jian'zhou'gong
讲大话,jiang'da'hua
讲古,jiang'gu
讲开又讲,jiang'kai'you'jiang
讲漏嘴,jiang'lou'zui
讲数口,jiang'shu'kou
讲耶稣,jiang'ye'su
讲饮讲食,jiang'yin'jiang'shi
脚坳,jiao'ao
脚板底,jiao'ban'di
胶擦,jiao'ca
胶箍,jiao'gu
脚骨力,jiao'gu'li
胶喉,jiao'hou
脚甲,jiao'jia
铰剪,jiao'jian
觉觉猪,jiao'jue'zhu
角落头,jiao'luo'tou
搅屎棍,jiao'shi'gun
搅是搅非,jiao'shi'jiao'fei
脚踭,jiao'zheng
脚趾公,jiao'zhi'gong
脚趾屘,jiao'zhi'man
脚趾罅,jiao'zhi'xia
借借,jie'jie
芥辣,jie'la
借头借路,jie'tou'jie'lu
接续,jie'xu
借一借,jie'yi'jie
阶砖,jie'zhuan
矜贵,jin'gui
金睛火眼,jin'jing'huo'yan
妗母,jin'mu
今日,jin'ri
紧要,jin'yao
今朝,jin'zhao
劲歌,jing'ge
精乖,jing'guai
精乖伶俐,jing'guai'ling'li
颈渴,jing'ke
颈链,jing'lian
惊死,jing'si
经已,jing'yi
酒凹,jiu'ao
酒埕,jiu'cheng
舅公,jiu'gong
旧年,jiu'nian
旧时,jiu'shi
就手,jiu'shou
旧阵时,jiu'zhen'shi
焗饭,ju'fan
举荐,ju'jian
焗闷,ju'men
焗热,ju're
觉意,jue'yi
开煲,kai'bao
开煲打边炉,kai'bao'da'bian'lu
开波,kai'bo
开档,kai'dang
开估,kai'gu
开讲有话,kai'jiang'you'hua
开口埋口,kai'kou'mai'kou
开年,kai'nian
开声,kai'sheng
开台,kai'tai
开胸,kai'xiong
揩油,kai'you
扛狗佬,kang'gou'lao
靠害,kao'hai
瞌一阵,ke'yi'zhen
坑渠,keng'qu
口齿,kou'chi
口花花,kou'hua'hua
口水多过茶,kou'shui'duo'guo'cha
口水肩,kou'shui'jian
口响,kou'xiang
口窒窒,kou'zhi'zhi
裤袋,ku'dai
裤脚,ku'jiao
苦口苦面,ku'kou'ku'mian
裤头带,ku'tou'dai
快菜,kuai'cai
快脆,kuai'cui
快快脆脆,kuai'kuai'cui'cui
快手,kuai'shou
葵瓜子,kui'gua'zi
亏佬,kui'lao
睏觉,kun'jiao
阔佬,kuo'lao
阔落,kuo'luo
拉柴,la'chai
垃圾,la'ji
垃圾篸,la'ji'sen
垃垃乱,la'la'luan
拉牛上树,la'niu'shang'shu
邋遢,la'ta
垃杂,la'za
来由,lai'you
懒到出骨,lan'dao'chu'gu
揽颈,lan'jing
烂口,lan'kou
懒理,lan'li
懒人屎尿多,lan'ren'shi'niao'duo
懒散,lan'san
懒蛇,lan'she
揽身揽势,lan'shen'lan'shi
躝尸,lan'shi
烂瘾,lan'yin
狼胎,lang'tai
老饼,lao'bing
老衬,lao'chen
老丁,lao'ding
老顶,lao'ding
劳烦,lao'fan
老虎乸,lao'hu'na
捞鸡,lao'ji
老鸡乸,lao'ji'na
老坑,lao'keng
捞篱,lao'li
老妈子,lao'ma'zi
老猫烧须,lao'mao'shao'xu
老懵懂,lao'meng'dong
老契,lao'qi
老千,lao'qian
老世,lao'shi
老湿,lao'shi
老湿儿,lao'shi'er
老水,lao'shui
累积,lei'ji
礼拜,li'bai
利便,li'bian
里底,li'di
粒儿,li'er
利害,li'hai
扚起心肝,li'qi'xin'gan
笠衫,li'shan
靓爆镜,liang'bao'jing
两公婆,liang'gong'po
晾裤,liang'ku
晾衫,liang'shan
凉爽,liang'shuang
两仔乸,liang'zai'na
鹩哥,liao'ge
撩是斗非,liao'shi'dou'fei
临返学,lin'fan'xue
临急临忙,lin'ji'lin'mang
邻舍,lin'she
零零丁丁,ling'ling'ding'ding
灵醒,ling'xing
溜鸡,liu'ji
流离浪荡,liu'li'lang'dang
留堂,liu'tang
留医,liu'yi
龙床不如狗窦,long'chuang'bu'ru'gou'dou
龙虎凤,long'hu'feng
龙精虎猛,long'jing'hu'meng
窿窿罅罅,long'long'xia'xia
龙门,long'men
窿罅,long'xia
楼花,lou'hua
漏罅,lou'xia
漏夜,lou'ye
碌葛,lu'ge
路数,lu'shu
挛毛,luan'mao
挛毛鸡,luan'mao'ji
乱逳,luan'yu
落班,luo'ban
落课,luo'ke
落楼,luo'lou
攞命,luo'ming
攞你命,luo'ni'ming
落水,luo'shui
螺丝批,luo'si'pi
落汤鸡,luo'tang'ji
落形,luo'xing
落雨,luo'yu
孖辫,ma'bian
马达,ma'da
孖女,ma'nv
孖铺,ma'pu
孖膶肠,ma'run'chang
孖生,ma'sheng
孖生仔,ma'sheng'zai
麻甩,ma'shuai
麻甩佬,ma'shuai'lao
码头级,ma'tou'ji
孖仔,ma'zai
马仔,ma'zai
埋单,mai'dan
埋口,mai'kou
卖口乖,mai'kou'guai
埋台,mai'tai
埋位,mai'wei
卖猪仔,mai'zhu'zai
屘屘屎,man'man'shi
屘指,man'zhi
盲棋,mang'qi
冇胆,mao'dan
冇胆匪类,mao'dan'fei'lei
冇得顶,mao'de'ding
冇得倾,mao'de'qing
冇忿颈,mao'fen'jing
冇忿气,mao'fen'qi
毛管,mao'guan
冇计,mao'ji
冇几耐,mao'ji'nai
冇料,mao'liao
冇钱,mao'qian
冇事,mao'shi
冇衰攞来衰,mao'shuai'luo'lai'shuai
冇所谓,mao'suo'wei
冇头冇尾,mao'tou'mao'wei
冇为意,mao'wei'yi
冇相干,mao'xiang'gan
冇晓,mao'xiao
冇瘾,mao'yin
冇有怕,mao'you'pa
妹钉,mei'ding
眉精眼企,mei'jing'yan'qi
脢肉,mei'rou
妹仔,mei'zai
门罅,men'xia
懵懂,meng'dong
秘奥,mi'ao
密实,mi'shi
米碎,mi'sui
密斟,mi'zhen
面巾,mian'jin
棉褛,mian'lv
面懵懵,mian'meng'meng
面懵心精,mian'meng'xin'jing
棉衲,mian'na
面盆,mian'pen
面皮,mian'pi
面青青,mian'qing'qing
面善,mian'shan
面衫,mian'shan
棉胎,mian'tai
面撞面,mian'zhuang'mian
孭带,mie'dai
孭袋,mie'dai
乜都得,mie'dou'dei
孭镬,mie'huo
乜事,mie'shi
孭书包,mie'shu'bao
孭仔揾仔,mie'zai'wen'zai
命水,ming'shui
抹台布,mo'tai'bu
木虱,mu'shi
木头公仔,mu'tou'gong'zai
衲袋,na'dai
乸型,na'xing
孻粒,nai'li
孻屘,nai'man
孻仔,nai'zai
难顶,nan'ding
男仔头,nan'zai'tou
脑囟,nao'xin
内伤,nei'shang
你就想,ni'jiu'xiang
年头,nian'tou
年尾,nian'wei
尿急,niao'ji
拧头,ning'tou
拧转,ning'zhuan
拧转头,ning'zhuan'tou
拗柴,niu'chai
拗断,niu'duan
牛高马大,niu'gao'ma'da
扭计,niu'ji
拗颈,niu'jing
拗气,niu'qi
拗撬,niu'qiao
拗手瓜,niu'shou'gua
拗腰,niu'yao
牛一,niu'yi
牛仔,niu'zai
侬队,nong'dui
糯米糍,nuo'mi'ci
糯米鸡,nuo'mi'ji
女仔,nv'zai
女仔儿,nv'zai'er
沤肥,ou'fei
怄气,ou'qi
殴佢,ou'qu
呕血,ou'xue
怕丑,pa'chou
拍档,pai'dang
拍手掌,pai'shou'zhang
拍拖,pai'tuo
拍乌蝇,pai'wu'ying
拍心口,pai'xin'kou
盘满钵满,pan'man'bo'man
抛浪头,pao'lang'tou
炮仗,pao'zhang
炮制,pao'zhi
赔汤药,pei'tang'yao
碰彩,peng'cai
劈炮,pi'pao
片糖,pian'tang
撇人,pie'ren
撇甩,pie'shuai
撇友,pie'you
仆街,pu'jie
铺头,pu'tou
骑膊马,qi'bo'ma
契弟,qi'di
乞儿,qi'er
起镬,qi'huo
起鸡皮,qi'ji'pi
契家佬,qi'jia'lao
气咳,qi'ke
起筷,qi'kuai
七老八十,qi'lao'ba'shi
奇离,qi'li
凄凉,qi'liang
骑楼,qi'lou
骑楼底,qi'lou'di
契乸,qi'na
骑牛揾马,qi'niu'wen'ma
企起,qi'qi
齐齐,qi'qi
七七八八,qi'qi'ba'ba
企起身,qi'qi'shen
乞人憎,qi'ren'zeng
起身,qi'shen
乞食,qi'shi
起屋,qi'wu
契爷,qi'ye
漆油,qi'you
齐整,qi'zheng
契仔,qi'zi
悭鸡,qian'ji
悭俭,qian'jian
悭皮,qian'pi
悭钱,qian'qian
千秋,qian'qiu
前世,qian'shi
抢手,qiang'shou
跷蹊,qiao'qi
翘起手,qiao'qi'shou
撬墙脚,qiao'qiang'jiao
勤力,qin'li
蠄蟧,qin'liao
蠄蟝,qin'qu
琴物,qin'wu
青碧碧,qing'bi'bi
青瓜,qing'gua
倾计,qing'ji
请饮,qing'yin
情愿,qing'yuan
求求其其,qiu'qiu'qi'qi
佢话,qu'hua
取录,qu'lu
曲奇,qu'qi
劝交,quan'jiao
雀仔,que'zi
群埋,qun'mai
染污,ran'wu
热头,re'tou
人工,ren'gong
人客,ren'ke
人头涌涌,ren'tou'yong'yong
日起,ri'qi
日头,ri'tou
肉赤,rou'chi
肉紧,rou'jin
肉酸,rou'suan
肉痛,rou'tong
入味,ru'wei
软攰,ruan'gui
软皮蛇,ruan'pi'she
软熟,ruan'shu
软水,ruan'shui
膶肠,run'chang
焫鸡,ruo'ji
焫脑,ruo'nao
塞车,sai'che
散档,san'dang
三姑六婆,san'gu'liu'po
三脚鸡,san'jiao'ji
三两下手势,san'liang'xia'shou'shi
散手,san'shou
散仔,san'zai
散纸,san'zhi
扫把,sao'ba
色水,se'shui
砂煲,sha'bao
沙声,sha'sheng
杀摊,sha'tan
霎戇,sha'zhuang
筛箕,shai'ji
衫袋,shan'dai
山旮旯,shan'ga'la
衫腳,shan'jue
衫裤,shan'ku
山窿山罅,shan'long'shan'xia
衫纽,shan'niu
衫袖,shan'xiu
上边,shang'bian
上高,shang'gao
上链,shang'lian
上落,shang'luo
上昼,shang'zhou
烧酒,shao'jiu
哨牙,shao'ya
摄石,she'shi
赊数,she'shu
蛇头鼠脑,she'tou'shu'nao
赊住先,she'zhu'xian
深笔字,shen'bi'zi
身纪,shen'ji
身家,shen'jia
身水身汗,shen'shui'shen'han
抌心口,shen'xin'kou
肾仔,shen'zai
生勾勾,sheng'gou'gou
生猛,sheng'meng
声气,sheng'qi
生水,sheng'shui
生性,sheng'xing
蚀本,shi'ben
时不时,shi'bu'shi
识穿,shi'chuan
是但,shi'dan
使得,shi'de
蚀底,shi'di
士多,shi'duo
食饭,shi'fan
食过返寻味,shi'guo'fan'xun'wei
食过夜粥,shi'guo'ye'zhou
食糊,shi'hu
失魂,shi'hun
屎急,shi'ji
石级,shi'ji
识精,shi'jing
失惊无神,shi'jing'wu'shen
屎坑,shi'keng
屎窟,shi'ku
屎窟窿,shi'ku'long
失礼,shi'li
使乜,shi'mie
虱乸,shi'na
湿热,shi're
食软饭,shi'ruan'fan
时时,shi'shi
食屎屙饭,shi'shi'e'fan
实食冇黐牙,shi'shi'mao'chi'ya
湿水鸡,shi'shui'ji
屎塔盖,shi'ta'gai
师太,shi'tai
事头,shi'tou
实稳,shi'wen
势凶,shi'xiong
势凶夹狼,shi'xiong'jia'lang
食晏,shi'yan
食煙,shi'yan
誓愿,shi'yuan
时运滞,shi'yun'zhi
湿滞,shi'zhi
食滞,shi'zhi
食粥,shi'zhou
识做,shi'zuo
手板,shou'ban
手掣,shou'che
收档,shou'dang
手多多,shou'duo'duo
瘦骨仙,shou'gu'xian
手瓜,shou'gua
手巾,shou'jin
手紧,shou'jin
手巾仔,shou'jin'zai
收埋,shou'mai
收买佬,shou'mai'lao
瘦蜢蜢,shou'meng'meng
收皮,shou'pi
收声,shou'sheng
手势,shou'shi
手头紧,shou'tou'jin
手袜,shou'wa
手尾,shou'wei
收尾,shou'wei
手信,shou'xin
瘦削,shou'xue
手踭,shou'zheng
输赌,shu'du
叔公,shu'gong
叔婆,shu'po
输蚀,shu'shi
熟手,shu'shou
疏堂,shu'tang
数尾,shu'wei
耍太极,shua'tai'ji
衰到贴地,shuai'dao'tie'di
衰格,shuai'ge
衰公,shuai'gong
甩臼,shuai'jiu
甩毛,shuai'mao
甩皮,shuai'pi
甩皮甩骨,shuai'pi'shuai'gu
甩身,shuai'shen
衰神,shuai'shen
率直,shuai'zhi
闩门,shuan'men
爽脆,shuang'cui
爽口,shuang'kou
爽手,shuang'shou
水抱,shui'bao
水氹,shui'dang
水过鸭背,shui'guo'ya'bei
水喉,shui'hou
水脚,shui'jiao
水浸,shui'jin
水鱼,shui'yu
顺摊,shun'tan
死蠢,si'chun
死得佢啊,si'de'qu'a
丝发,si'fa
死火,si'huo
私己,si'ji
死鸡撑饭盖,si'ji'cheng'fan'gai
死鸡撑硬脚,si'ji'cheng'ying'jiao
私己钱,si'ji'qian
死绝种,si'jue'zhong
死佬,si'lao
似模似样,si'mu'si'yang
死人头,si'ren'tou
死死下,si'si'xia
似样,si'yang
思疑,si'yi
私隐,si'yin
四正,si'zheng
四周围,si'zhou'wei
餸菜,song'cai
松骨,song'gu
松人,song'ren
塑胶,su'jiao
粟米,su'mi
苏州屎,su'zhou'shi
碎纸,sui'zhi
唆摆,suo'bai
缩骨,suo'gu
缩骨遮,suo'gu'zhe
缩沙,suo'sha
锁匙,suo'shi
缩水,suo'shui
缩头乌龟,suo'tou'wu'gui
踏凳,ta'deng
踏正,ta'zheng
遝正,ta'zheng
太空褛,tai'kong'lv
台面,tai'mian
台台凳凳,tai'tai'deng'deng
太子爷,tai'zi'ye
贪得意,tan'de'yi
痰罐,tan'guan
贪过瘾,tan'guo'yin
叹世界,tan'shi'jie
劏猪,tang'zhu
特登,te'deng
藤条,teng'tiao
踢波,ti'bo
替代,ti'dai
踢脚,ti'jiao
添饭,tian'fan
天光,tian'guang
天光大白,tian'guang'da'bai
天黑,tian'hei
天时暑热,tian'shi'shu're
贴地,tie'di
铁支,tie'zhi
听讲,ting'jiang
听日,ting'ri
听晚,ting'wan
听闻,ting'wen
艇仔粥,ting'zai'zhou
听朝早,ting'zhao'zao
通街,tong'jie
同埋,tong'mai
通水,tong'shui
头赤,tou'chi
头大,tou'da
头耷耷,tou'da'da
透大氣,tou'da'qi
偷鸡,tou'ji
头壳,tou'ke
头壳顶,tou'ke'ding
头毛,tou'mao
头拧拧,tou'ning'ning
头皮,tou'pi
透氣,tou'qi
偷师,tou'shi
头尾,tou'wei
头先,tou'xian
突兀,tu'wu
退水,tui'shui
吞并,tun'bing
托大脚,tuo'da'jiao
拖手仔,tuo'shou'zai
托手踭,tuo'shou'zheng
拖友,tuo'you
瓦背,wa'bei
瓦罉,wa'cheng
袜箍,wa'gu
挖墙脚,wa'qiang'jiao
外出,wai'chu
外底,wai'di
外父,wai'fu
外母,wai'mu
晚黑,wan'hei
玩花顺,wan'hua'shun
挽手,wan'shou
晚头黑,wan'tou'hei
玩完,wan'wan
往时,wang'shi
往阵时,wang'zhen'shi
煨番薯,wei'fan'shu
为食,wei'shi
为食猫,wei'shi'mao
威水,wei'shui
揾笨,wen'ben
揾工,wen'gong
揾来衰,wen'lai'shuai
揾窿路,wen'long'lu
揾钱,wen'qian
抆屎,wen'shi
揾食,wen'shi
稳阵,wen'zhen
蕹菜,weng'cai
乌灯黑火,wu'deng'hei'huo
唔嗲唔吊,wu'dia'wu'diao
无端端,wu'duan'duan
无他,wu'ta
污糟,wu'zao
屋主,wu'zhu
细胆,xi'dan
惜啖先,xi'dan'xian
熄灯,xi'deng
细风,xi'feng
细个,xi'ge
犀利,xi'li
细粒,xi'li
惜你,xi'ni
戏肉,xi'rou
洗身,xi'shen
细食,xi'shi
膝头,xi'tou
膝头大过髀,xi'tou'da'guo'bi
膝头哥,xi'tou'ge
系威系势,xi'wei'xi'shi
嘻嘻哈哈,xi'xi'ha'ha
下巴轻轻,xia'ba'qing'qing
下边,xia'bian
呷醋,xia'cu
下底,xia'di
虾毛,xia'mao
