八宝茶,ba'bao'cha
川层草,chuan'ceng'cao
川滇槲蕨,chuan'dian'hu'jue
川滇蜡树,chuan'dian'la'shu
川滇盘果菊,chuan'dian'pan'guo'ju
川滇香薷,chuan'dian'xiang'ru
川滇小檗,chuan'dian'xiao'bo
川鄂米口袋,chuan'e'mi'kou'dai
川防风,chuan'fang'feng
川麻黄,chuan'ma'huang
川木通,chuan'mu'tong
川拟水龙骨,chuan'ni'shui'long'gu
川牛膝,chuan'niu'xi
川陕金莲花,chuan'shan'jin'lian'hua
川山柳藤,chuan'shan'liu'teng
川乌头,chuan'wu'tou
川西火绒草,chuan'xi'huo'rong'cao
川西雪莲,chuan'xi'xue'lian
川芎,chuan'xiong
川藏蒿,chuan'zang'hao
川藏蒲公英,chuan'zang'pu'gong'ying
川藏香茶菜,chuan'zang'xiang'cha'cai
川蔗寄生,chuan'zhe'ji'sheng
寸节七,cun'jie'qi
寸金草,cun'jin'cao
大白刺,da'bai'ci
大白顶草,da'bai'ding'cao
大白杜鹃,da'bai'du'juan
大白及,da'bai'ji
大白药,da'bai'yao
大苞水竹叶,da'bao'shui'zhu'ye
大苞萱草,da'bao'xuan'cao
大苞叶千斤拔,da'bao'ye'qian'jin'ba
大苞叶千斤拔叶,da'bao'ye'qian'jin'ba'ye
大孢硬皮马勃,da'bao'ying'pi'ma'bo
大避债蛾,da'bi'zhai'e
大杓鹬,da'biao'yu
大鳖子,da'bie'zi
大驳骨,da'bo'gu
大驳骨丹,da'bo'gu'dan
大脖子药,da'bo'zi'yao
大草蔻,da'cao'kou
大茶根,da'cha'gen
大茶药根,da'cha'yao'gen
大巢菜,da'chao'cai
大翅蓟,da'chi'ji
大刺儿菜,da'ci'er'cai
大地棕根,da'di'zong'gen
大靛根,da'dian'gen
大丁草,da'ding'cao
大豆黄卷,da'dou'huang'juan
大杜鹃,da'du'juan
大渡乌头,da'du'wu'tou
大独叶草,da'du'ye'cao
大对经草,da'dui'jing'cao
大萼重楼,da'e'chong'lou
大鹅儿肠,da'e'er'chang
大萼鹿角藤,da'e'lu'jiao'teng
大二郎箭,da'er'lang'jian
大发汗,da'fa'han
大发散,da'fa'san
大肺筋草,da'fei'jin'cao
大飞扬,da'fei'yang
大飞扬草,da'fei'yang'cao
大风子,da'feng'zi
大风子油,da'feng'zi'you
大腹皮,da'fu'pi
大浮萍,da'fu'ping
大盖球子草,da'gai'qiu'zi'cao
大狗尾草,da'gou'wei'cao
大果假瘤蕨,da'guo'jia'liu'jue
大过路黄,da'guo'lu'huang
大果忍冬,da'guo'ren'dong
大果山香圆,da'guo'shan'xiang'yuan
大果上叶,da'guo'shang'ye
大果卫矛,da'guo'wei'mao
大黑蒿,da'hei'hao
大黑头草,da'hei'tou'cao
大黑药,da'hei'yao
大红袍,da'hong'pao
大虎耳草,da'hu'er'cao
大胡蜂,da'hu'feng
大花贵州素馨,da'hua'gui'zhou'su'xin
大花胡麻草,da'hua'hu'ma'cao
大花蒺藜,da'hua'ji'li
大花金挖耳,da'hua'jin'wa'er
大花葵,da'hua'kui
大花田菁,da'hua'tian'jing
大花卫矛果,da'hua'wei'mao'guo
大还魂,da'huan'hun
大黄,da'huang
大黄草,da'huang'cao
大黄蜂子,da'huang'feng'zi
大黄茎,da'huang'jing
大火草根,da'huo'cao'gen
大戟,da'ji
大蓟,da'ji
大家鼠,da'jia'shu
大箭,da'jian
大剑叶木,da'jian'ye'mu
大蕉皮,da'jiao'pi
大接骨丹,da'jie'gu'dan
大节竹,da'jie'zhu
大金刀,da'jin'dao
大金发藓,da'jin'fa'xian
大金牛草,da'jin'niu'cao
大金香炉,da'jin'xiang'lu
大金银花,da'jin'yin'hua
大九股牛,da'jiu'gu'niu
大九节铃,da'jiu'jie'ling
大苦溜溜,da'ku'liu'liu
大蓝耳草,da'lan'er'cao
大狼毒,da'lang'du
大理白前,da'li'bai'qian
大丽花,da'li'hua
大理鸭头兰,da'li'ya'tou'lan
大良姜,da'liang'jiang
大鳞泥鳅,da'lin'ni'qiu
大蝼蛄虾,da'lou'gu'xia
大罗伞树,da'luo'san'shu
大绿藤,da'lv'teng
大麻蛤鱼肉,da'ma'ge'yu'rou
大麻漆,da'ma'qi
大麻药,da'ma'yao
大麻竹,da'ma'zhu
大麦,da'mai
大麦醋糟,da'mai'cu'zao
大麦秸,da'mai'jie
大麦苗,da'mai'miao
大芒萁,da'mang'qi
大毛红花,da'mao'hong'hua
大毛桐子根,da'mao'tong'zi'gen
大膜盖蕨,da'mo'gai'jue
大母猪藤,da'mu'zhu'teng
大鲵肉,da'ni'rou
大纽子花,da'niu'zi'hua
大泡通,da'pao'tong
大泡通皮,da'pao'tong'pi
大泡通叶,da'pao'tong'ye
大蜣螂,da'qiang'lang
大青草,da'qing'cao
大青根,da'qing'gen
大蜻蜒,da'qing'yan
大青叶,da'qing'ye
大荃麻,da'quan'ma
大任鸟肉,da'ren'niao'rou
大任鸟羽毛,da'ren'niao'yu'mao
大人血七,da'ren'xue'qi
大沙叶,da'sha'ye
大山黧豆,da'shan'li'dou
大山玄参,da'shan'xuan'shen
大蛇药,da'she'yao
大伸筋,da'shen'jin
大石韦,da'shi'wei
大石枣,da'shi'zao
大树跌打,da'shu'die'da
大树皮,da'shu'pi
大蒜,da'suan
大蓑衣藤根,da'suo'yi'teng'gen
大条丽金龟,da'tiao'li'jin'gui
大通翠雀花,da'tong'cui'que'hua
大通筋,da'tong'jin
大铜钱菜,da'tong'qian'cai
大头陈,da'tou'chen
大头狗,da'tou'gou
大头狗母鱼,da'tou'gou'mu'yu
大透骨草,da'tou'gu'cao
大透骨消,da'tou'gu'xiao
大头黄花蒿,da'tou'huang'hua'hao
大头囊吾,da'tou'nang'wu
大团囊虫草,da'tuan'nang'chong'cao
大托叶猪屎豆,da'tuo'ye'zhu'shi'dou
大尾摇,da'wei'yao
大乌泡,da'wu'pao
大乌泡根,da'wu'pao'gen
大五月五,da'wu'yue'wu
大五爪金龙,da'wu'zhao'jin'long
大香附子,da'xiang'fu'zi
大血藤,da'xue'teng
大鸭头兰,da'ya'tou'lan
大眼青鳞鱼,da'yan'qing'lin'yu
大叶桉叶,da'ye'an'ye
大叶白蜡,da'ye'bai'la
大叶白蜡子,da'ye'bai'la'zi
大叶白头翁,da'ye'bai'tou'weng
大叶斑鸠菊,da'ye'ban'jiu'ju
大叶菜,da'ye'cai
大叶匙羹藤,da'ye'chi'geng'teng
大叶刺篱木,da'ye'ci'li'mu
大叶繁缕,da'ye'fan'lv
大叶凤尾,da'ye'feng'wei
大叶凤仙花,da'ye'feng'xian'hua
大叶附地菜,da'ye'fu'di'cai
大叶腹水草,da'ye'fu'shui'cao
大叶钩藤,da'ye'gou'teng
大叶钩藤根,da'ye'gou'teng'gen
大夜关门,da'ye'guan'men
大夜关门根,da'ye'guan'men'gen
大叶桂樱,da'ye'gui'ying
大叶花椒,da'ye'hua'jiao
大叶花椒茎叶,da'ye'hua'jiao'jing'ye
大叶金花草,da'ye'jin'hua'cao
大叶金牛,da'ye'jin'niu
大叶静灰球,da'ye'jing'hui'qiu
大叶卷柏,da'ye'juan'bai
大叶决明,da'ye'jue'ming
大叶狼豆柴,da'ye'lang'dou'chai
大叶狼豆柴叶,da'ye'lang'dou'chai'ye
大叶鳞毛蕨,da'ye'lin'mao'jue
大叶马尾连,da'ye'ma'wei'lian
大叶拿身草,da'ye'na'shen'cao
大叶楠根,da'ye'nan'gen
大叶茜草,da'ye'qian'cao
大叶千斤拔根,da'ye'qian'jin'ba'gen
大叶山楝,da'ye'shan'lian
大叶山竹子,da'ye'shan'zhu'zi
大叶蛇总管,da'ye'she'zong'guan
大叶酸藤子,da'ye'suan'teng'zi
大叶糖胶树,da'ye'tang'jiao'shu
大叶香薷,da'ye'xiang'ru
大叶沿阶草,da'ye'yan'jie'cao
大叶野扇花,da'ye'ye'shan'hua
大野芋,da'ye'yu
大叶鱼骨木,da'ye'yu'gu'mu
大叶云实,da'ye'yun'shi
大叶芸香,da'ye'yun'xiang
大叶子,da'ye'zi
大叶紫珠,da'ye'zi'zhu
大一面锣,da'yi'mian'luo
大一枝箭,da'yi'zhi'jian
大鱼鳔花,da'yu'biao'hua
大羽鳞毛蕨,da'yu'lin'mao'jue
大榆蘑,da'yu'mo
大鱼鳅串,da'yu'qiu'chuan
大羽铁角藏,da'yu'tie'jiao'cang
大羽藓,da'yu'xian
大枣,da'zao
大粘药,da'zhan'yao
大竹蛏壳,da'zhu'cheng'ke
大珠母贝,da'zhu'mu'bei
大竹鼠,da'zhu'shu
大椎香茶菜,da'zhui'xiang'cha'cai
丹参,dan'shen
刀豆,dao'dou
刀豆根,dao'dou'gen
刀豆壳,dao'dou'ke
刀口药,dao'kou'yao
丁公藤,ding'gong'teng
丁癸草,ding'gui'cao
丁癸草根,ding'gui'cao'gen
丁榔皮,ding'lang'pi
丁蛎,ding'li
丁香,ding'xiang
丁香根,ding'xiang'gen
丁香露,ding'xiang'lu
丁香树皮,ding'xiang'shu'pi
丁香油,ding'xiang'you
丁香枝,ding'xiang'zhi
斗蓬草,dou'peng'cao
二画,er'hua
二裂叶委陵菜,er'lie'ye'wei'ling'cai
二色补血草,er'se'bu'xue'cao
二色内风消,er'se'nei'feng'xiao
二十八画,er'shi'ba'hua
二十二画,er'shi'er'hua
二十画,er'shi'hua
二十六画,er'shi'liu'hua
二十三画,er'shi'san'hua
二十四画,er'shi'si'hua
二十一画,er'shi'yi'hua
二药五月茶,er'yao'wu'yue'cha
二叶舞鹤草,er'ye'wu'he'cao
方斑东风螺,fang'ban'dong'feng'luo
方解石,fang'jie'shi
方叶五月茶,fang'ye'wu'yue'cha
飞海蛾,fei'hai'e
飞蝗,fei'huang
飞机草,fei'ji'cao
飞来鹤,fei'lai'he
飞廉,fei'lian
飞龙掌血,fei'long'zhang'xue
飞龙掌血叶,fei'long'zhang'xue'ye
飞蓬,fei'peng
飞天蠓,fei'tian'meng
飞天娱蚣,fei'tian'yu'gong
飞燕草,fei'yan'cao
分心木,fen'xin'mu
分枝感应草,fen'zhi'gan'ying'cao
风车儿,feng'che'er
风车藤,feng'che'teng
凤蝶,feng'die
凤冠草,feng'guan'cao
风花菜,feng'hua'cai
凤凰毛,feng'huang'mao
凤凰木,feng'huang'mu
凤凰衣,feng'huang'yi
凤鲚,feng'ji
风梨,feng'li
风铃花,feng'ling'hua
风轮菜,feng'lun'cai
丰满凤仙花,feng'man'feng'xian'hua
风气草,feng'qi'cao
风藤,feng'teng
风藤草根,feng'teng'cao'gen
凤尾参,feng'wei'can
凤尾草,feng'wei'cao
凤尾茶,feng'wei'cha
凤尾贯众,feng'wei'guan'zhong
凤尾蕉花,feng'wei'jiao'hua
凤尾蕉叶,feng'wei'jiao'ye
凤尾七,feng'wei'qi
凤尾搜山虎,feng'wei'sou'shan'hu
凤尾竹,feng'wei'zhu
凤尾猪鬃草,feng'wei'zhu'zong'cao
凤仙,feng'xian
凤仙根,feng'xian'gen
凤仙花,feng'xian'hua
风箱树根,feng'xiang'shu'gen
风箱树花,feng'xiang'shu'hua
风箱树叶,feng'xiang'shu'ye
凤眼草,feng'yan'cao
凤眼果,feng'yan'guo
凤眼果壳,feng'yan'guo'ke
鳆鱼,fu'yu
干地黄,gan'di'huang
干冬菜,gan'dong'cai
干旱毛蕨,gan'han'mao'jue
干姜,gan'jiang
干漆,gan'qi
干苔,gan'tai
干饧糟,gan'tang'zao
干岩矸,gan'yan'gan
弓果藤,gong'guo'teng
公鸡馒头蟹,gong'ji'man'tou'xie
公英叶风毛菊,gong'ying'ye'feng'mao'ju
公鱼,gong'yu
勾儿茶,gou'er'cha
鹳骨,guan'gu
鹳肉,guan'rou
广东大青,guang'dong'da'qing
广东金钱草,guang'dong'jin'qian'cao
广东金叶子,guang'dong'jin'ye'zi
广东升麻,guang'dong'sheng'ma
广东石豆兰,guang'dong'shi'dou'lan
广东土牛膝,guang'dong'tu'niu'xi
广防已,guang'fang'yi
广花耳草,guang'hua'er'cao
广西艾麻,guang'xi'ai'ma
广西斑鸠菊,guang'xi'ban'jiu'ju
广西鹅掌柴,guang'xi'e'zhang'chai
广西观音座莲,guang'xi'guan'yin'zuo'lian
广西九里香,guang'xi'jiu'li'xiang
广西九里香根,guang'xi'jiu'li'xiang'gen
广西九里香叶,guang'xi'jiu'li'xiang'ye
广西来江藤,guang'xi'lai'jiang'teng
广西落檐,guang'xi'luo'yan
广西美登木,guang'xi'mei'deng'mu
广西紫麻,guang'xi'zi'ma
广叶星蕨,guang'ye'xing'jue
广州山柑,guang'zhou'shan'gan
龟筒,gui'tong
龟血,gui'xue
鳜鱼,gui'yu
鳜鱼胆,gui'yu'dan
化金丹,hua'jin'dan
化橘红,hua'ju'hong
化气兰,hua'qi'lan
化香树果,hua'xiang'shu'guo
化香树叶,hua'xiang'shu'ye
化血胆,hua'xue'dan
獾肉,huan'rou
獾油,huan'you
火斑鸠,huo'ban'jiu
火麻仁,huo'ma'ren
火索麻,huo'suo'ma
火炭母草,huo'tan'mu'cao
火炭母草根,huo'tan'mu'cao'gen
火腿,huo'tui
火焰花,huo'yan'hua
火焰兰,huo'yan'lan
火焰子,huo'yan'zi
火秧蕊,huo'yang'rui
火秧苏,huo'yang'su
火秧叶,huo'yang'ye
火油草,huo'you'cao
及己,ji'ji
几落可,ji'luo'ke
见水蓝,jian'shui'lan
见血飞,jian'xue'fei
见血清,jian'xue'qing
井底泥,jing'di'ni
井口边草,jing'kou'bian'cao
九翅豆蔻,jiu'chi'dou'kou
九倒生,jiu'dao'sheng
九牯牛,jiu'gu'niu
九节茶,jiu'jie'cha
九节菖蒲,jiu'jie'chang'pu
九里香,jiu'li'xiang
九里香根,jiu'li'xiang'gen
九莲灯,jiu'lian'deng
九龙根,jiu'long'gen
九龙藤,jiu'long'teng
九龙藤叶,jiu'long'teng'ye
九龙吐珠,jiu'long'tu'zhu
九牛薯,jiu'niu'shu
九牛造,jiu'niu'zao
九牛造茎叶,jiu'niu'zao'jing'ye
九头草,jiu'tou'cao
九头狮子草,jiu'tou'shi'zi'cao
九味一枝蒿,jiu'wei'yi'zhi'hao
九仙草,jiu'xian'cao
九香虫,jiu'xiang'chong
九眼独活,jiu'yan'du'huo
九爪龙,jiu'zhao'long
九子不离母,jiu'zi'bu'li'mu
九子连环草,jiu'zi'lian'huan'cao
巨紫堇,ju'zi'jin
口蘑,kou'mo
了哥王,le'ge'wang
了哥王根,le'ge'wang'gen
了哥王子,le'ge'wang'zi
鲤鱼,li'yu
鲤鱼肠,li'yu'chang
鲤鱼胆,li'yu'dan
鲤鱼血,li'yu'xue
鳞花草,lin'hua'cao
鳞茎报春,lin'jing'bao'chun
鳞片水麻,lin'pian'shui'ma
鳞始蕨,lin'shi'jue
鳞叶藓,lin'ye'xian
羚骨,ling'gu
羚角,ling'jiao
六道木,liu'dao'mu
六股筋,liu'gu'jin
六棱麻,liu'leng'ma
六万藤,liu'wan'teng
六叶龙胆,liu'ye'long'dan
六月寒,liu'yue'han
六月合,liu'yue'he
六月雪叶,liu'yue'xue'ye
六轴子,liu'zhou'zi
露兜,lu'dou
露兜花,lu'dou'hua
露兜心,lu'dou'xin
露蜂房,lu'feng'fang
露蕊乌头,lu'rui'wu'tou
露水草,lu'shui'cao
露珠香茶菜,lu'zhu'xiang'cha'cai
露珠香茶菜根,lu'zhu'xiang'cha'cai'gen
马鞍藤,ma'an'teng
马鞍藤根,ma'an'teng'gen
马绊草,ma'ban'cao
马宝,ma'bao
马比木,ma'bi'mu
马鞭草,ma'bian'cao
马鞭石斛,ma'bian'shi'hu
马边绣球,ma'bian'xiu'qiu
马鬓参,ma'bin'can
马鬓膏,ma'bin'gao
马槟榔,ma'bing'lang
马勃,ma'bo
马草,ma'cao
马齿,ma'chi
马齿苋,ma'chi'xian
马齿苋子,ma'chi'xian'zi
马蛋果,ma'dan'guo
马刀,ma'dao
马刀肉,ma'dao'rou
马蹬草,ma'deng'cao
马兜铃,ma'dou'ling
马笃七,ma'du'qi
马儿,ma'er
马盖麻,ma'gai'ma
马肝,ma'gan
马骨,ma'gu
马桂花,ma'gui'hua
马蝗果,ma'huang'guo
马甲子根,ma'jia'zi'gen
马甲子叶,ma'jia'zi'ye
马来班鲆,ma'lai'ban'ping
马来熊胆,ma'lai'xiong'dan
马来熊骨,ma'lai'xiong'gu
马来熊脂,ma'lai'xiong'zhi
马兰,ma'lan
马兰藤,ma'lan'teng
马蔺根,ma'lin'gen
马蔺花,ma'lin'hua
马蔺叶,ma'lin'ye
马蔺子,ma'lin'zi
马骝卵,ma'liu'luan
马陆,ma'lu
马鹿花,ma'lu'hua
马面,ma'mian
马面肉,ma'mian'rou
马尿花,ma'niao'hua
马尿烧,ma'niao'shao
马皮,ma'pi
马钱子,ma'qian'zi
马肉,ma'rou
马乳,ma'ru
马桑根,ma'sang'gen
马桑树皮,ma'sang'shu'pi
马桑绣球,ma'sang'xiu'qiu
马桑叶,ma'sang'ye
马麝香,ma'she'xiang
马松子,ma'song'zi
马唐,ma'tang
马蹄草,ma'ti'cao
马蹄根,ma'ti'gen
马蹄甲,ma'ti'jia
马蹄蕨,ma'ti'jue
马蹄犁头尖,ma'ti'li'tou'jian
马蹄细辛,ma'ti'xi'xin
马蹄叶,ma'ti'ye
马尾吊兰,ma'wei'diao'lan
马尾连,ma'wei'lian
马尾千金草,ma'wei'qian'jin'cao
马尾杉,ma'wei'shan
马尾伸筋,ma'wei'shen'jin
马先蒿,ma'xian'hao
马心,ma'xin
马牙半支,ma'ya'ban'zhi
马牙七,ma'ya'qi
马银花,ma'yin'hua
马缨花,ma'ying'hua
马鬃,ma'zong
鳗鲡鱼,man'li'yu
鳗鲡鱼膏,man'li'yu'gao
鳗鲡鱼骨,man'li'yu'gu
鳗鲡鱼血,man'li'yu'xue
毛八角莲,mao'ba'jiao'lian
毛白杨,mao'bai'yang
毛苞雪莲,mao'bao'xue'lian
毛柄短肠蕨,mao'bing'duan'chang'jue
毛柄灰钉,mao'bing'hui'ding
毛刺果藤,mao'ci'guo'teng
毛大丁草,mao'da'ding'cao
毛大丁草根,mao'da'ding'cao'gen
毛地锦,mao'di'jin
毛冬瓜,mao'dong'gua
毛冬青,mao'dong'qing
毛冬青叶,mao'dong'qing'ye
毛萼鞘蕊花,mao'e'qiao'rui'hua
毛根杜仲,mao'gen'du'zhong
毛梗小檗,mao'geng'xiao'bo
毛梗鸦葱,mao'geng'ya'cong
毛贯众,mao'guan'zhong
毛果杜鹃,mao'guo'du'juan
毛果婆婆纳,mao'guo'po'po'na
毛过山龙,mao'guo'shan'long
毛果珍珠茅,mao'guo'zhen'zhu'mao
毛花点草,mao'hua'dian'cao
毛花椒,mao'hua'jiao
毛花洋地黄,mao'hua'yang'di'huang
毛黄连,mao'huang'lian
毛荚决明,mao'jia'jue'ming
毛角豆芜菁,mao'jiao'dou'wu'jing
毛角芜菁,mao'jiao'wu'jing
毛蕨,mao'jue
毛连菜,mao'lian'cai
毛莨,mao'liang
毛莨状金莲花,mao'liang'zhuang'jin'lian'hua
毛莨状金莲花草,mao'liang'zhuang'jin'lian'hua'cao
毛蓼,mao'liao
毛裂蜂斗菜,mao'lie'feng'dou'cai
毛脉附地菜,mao'mai'fu'di'cai
毛脉酸模,mao'mai'suan'mo
毛木耳,mao'mu'er
毛木通,mao'mu'tong
毛扭藓,mao'niu'xian
毛女贞,mao'nv'zhen
毛排线草,mao'pai'xian'cao
毛茄,mao'qie
毛青杠,mao'qing'gang
毛稔,mao'ren
毛蕊草报春,mao'rui'cao'bao'chun
毛蕊花,mao'rui'hua
毛蕊老鹳草,mao'rui'lao'guan'cao
毛麝香,mao'she'xiang
毛薯,mao'shu
毛水苏,mao'shui'su
毛笋,mao'sun
毛葶苈,mao'ting'li
毛头鬼伞,mao'tou'gui'san
毛臀形草,mao'tun'xing'cao
毛相思子,mao'xiang'si'zi
毛药,mao'yao
毛叶巴豆,mao'ye'ba'dou
毛叶白粉藤,mao'ye'bai'fen'teng
毛野丁香叶,mao'ye'ding'xiang'ye
毛叶胡椒,mao'ye'hu'jiao
毛叶花椒,mao'ye'hua'jiao
毛叶荚,mao'ye'jia
毛叶老牛筋,mao'ye'lao'niu'jin
毛叶木,mao'ye'mu
毛叶木蓝,mao'ye'mu'lan
毛叶木通,mao'ye'mu'tong
毛叶欧李,mao'ye'ou'li
毛叶三条筋,mao'ye'san'tiao'jin
毛叶肾蕨,mao'ye'shen'jue
毛叶石楠根,mao'ye'shi'nan'gen
毛叶瘦量草,mao'ye'shou'liang'cao
毛叶兔耳风,mao'ye'tu'er'feng
毛叶五匹青,mao'ye'wu'pi'qing
毛衣鱼,mao'yi'yu
毛郁金,mao'yu'jin
毛鱼藤,mao'yu'teng
毛芋头薯蓣,mao'yu'tou'shu'yu
毛枝狗娃花,mao'zhi'gou'wa'hua
毛枝青风,mao'zhi'qing'feng
毛枝叶,mao'zhi'ye
毛枝鱼藤,mao'zhi'yu'teng
毛轴莎草,mao'zhou'suo'cao
毛轴牙蕨,mao'zhou'ya'jue
毛竹叶椒,mao'zhu'ye'jiao
毛足铁线蕨,mao'zu'tie'xian'jue
蘼芜,mi'wu
木半夏,mu'ban'xia
木本胡枝子,mu'ben'hu'zhi'zi
木本鸡脚棉,mu'ben'ji'jiao'mian
木本曼陀罗,mu'ben'man'tuo'luo
木鳖根,mu'bie'gen
木豆,mu'dou
木豆叶,mu'dou'ye
木耳,mu'er
木防己,mu'fang'ji
木芙蓉根,mu'fu'rong'gen
木芙蓉花,mu'fu'rong'hua
木芙蓉叶,mu'fu'rong'ye
木瓜,mu'gua
木瓜根,mu'gua'gen
木瓜核,mu'gua'he
木瓜枝,mu'gua'zhi
木荷,mu'he
木蝴蝶,mu'hu'die
木蝴蝶树皮,mu'hu'die'shu'pi
木黄连,mu'huang'lian
木姜花,mu'jiang'hua
木姜子,mu'jiang'zi
木姜子茎,mu'jiang'zi'jing
木姜子叶,mu'jiang'zi'ye
木椒根,mu'jiao'gen
木槿根,mu'jin'gen
木槿花,mu'jin'hua
木槿皮,mu'jin'pi
木槿叶,mu'jin'ye
木槿子,mu'jin'zi
木榄,mu'lan
木蓝,mu'lan
木兰花,mu'lan'hua
木兰寄生,mu'lan'ji'sheng
木兰皮,mu'lan'pi
木兰夏根,mu'lan'xia'gen
木莲果,mu'lian'guo
木麻黄,mu'ma'huang
木馒头,mu'man'tou
木棉根,mu'mian'gen
木棉花,mu'mian'hua
木棉皮,mu'mian'pi
木奶果,mu'nai'guo
木苹果,mu'ping'guo
木薯,mu'shu
木藤蓼,mu'teng'liao
木天蓼,mu'tian'liao
木天蓼根,mu'tian'liao'gen
木天蓼子,mu'tian'liao'zi
木通,mu'tong
木通根,mu'tong'gen
木虾公,mu'xia'gong
木香,mu'xiang
木绣球茎,mu'xiu'qiu'jing
木贼,mu'zei
木竹子,mu'zhu'zi
木竹子油,mu'zhu'zi'you
木锥花,mu'zhui'hua
囊距翠雀,nang'ju'cui'que
囊距翠雀花,nang'ju'cui'que'hua
囊颖草,nang'ying'cao
牛白藤,niu'bai'teng
牛白藤根,niu'bai'teng'gen
牛蒡根,niu'bang'gen
牛蒡茎叶,niu'bang'jing'ye
牛蒡子,niu'bang'zi
牛胞衣,niu'bao'yi
牛背鹭,niu'bei'lu
牛鼻,niu'bi
