氨纶,an'lun
三平,san'ping
身长,shen'chang
收针,shou'zhen
双鱼鳞,shuang'yu'lin
丝光棉,si'guang'mian
丝棉,si'mian
四平,si'ping
四平单鱼鳞,si'ping'dan'yu'lin
四平空转,si'ping'kong'zhuan
四平双鱼鳞,si'ping'shuang'yu'lin
套口,tao'kou
套口平摇,tao'kou'ping'yao
套筒,tao'tong
套头衫,tao'tou'shan
挑孔,tiao'kong
铜纤,tong'xian
兔毛,tu'mao
臀宽,tun'kuan
臀围,tun'wei
驼绒,tuo'rong
围巾长,wei'jin'chang
围巾宽,wei'jin'kuan
下摆高,xia'bai'gao
下摆宽,xia'bai'kuan
下袖平摇,xia'xiu'ping'yao
像根,xiang'gen
像精,xiang'jing
胸围,xiong'wei
胸围肩宽,xiong'wei'jian'kuan
袖暗收针,xiu'an'shou'zhen
袖部位名称,xiu'bu'wei'ming'cheng
袖长,xiu'chang
袖放针,xiu'fang'zhen
袖口高,xiu'kou'gao
袖口宽,xiu'kou'kuan
袖口平摇,xiu'kou'ping'yao
袖宽,xiu'kuan
袖罗高,xiu'luo'gao
袖罗宽,xiu'luo'kuan
袖片,xiu'pian
袖平收,xiu'ping'shou
袖平摇,xiu'ping'yao
袖全长,xiu'quan'chang
袖山高,xiu'shan'gao
袖山宽,xiu'shan'kuan
袖收针,xiu'shou'zhen
袖中高,xiu'zhong'gao
袖中宽,xiu'zhong'kuan
亚麻,ya'ma
羊毛,yang'mao
样品,yang'pin
羊绒,yang'rong
羊仔毛,yang'zai'mao
腰放针,yao'fang'zhen
腰宽,yao'kuan
腰上平摇,yao'shang'ping'yao
腰收针,yao'shou'zhen
腰围,yao'wei
腰下平摇,yao'xia'ping'yao
衣片,yi'pian
衣片名称,yi'pian'ming'cheng
移针,yi'zhen
银丝,yin'si
右平收,you'ping'shou
鱼鳞空转,yu'lin'kong'zhuan
原料,yuan'liao
圆领套衫,yuan'ling'tao'shan
圆领修身套衫,yuan'ling'xiu'shen'tao'shan
圆筒,yuan'tong
粘胶,zhan'jiao
真丝,zhen'si
针型,zhen'xing
中腰放针,zhong'yao'fang'zhen
中腰高,zhong'yao'gao
中腰宽,zhong'yao'kuan
中腰平摇,zhong'yao'ping'yao
中腰收针,zhong'yao'shou'zhen
组织,zu'zhi
左平收,zuo'ping'shou
