白燕仔,bai'yan'zai
刘思慕,liu'si'mu
刘衍泉,liu'yan'quan
刘优,liu'you
卢朝安,lu'chao'an
卢观恒,lu'guan'heng
卢华绍,lu'hua'shao
卢骏,lu'jun
卢廉若,lu'lian'ruo
鲁能,lu'neng
卢朋著,lu'peng'zhu
卢乔根,lu'qiao'gen
卢湘父,lu'xiang'fu
卢筱文,lu'xiao'wen
卢治平,lu'zhi'ping
罗贵,luo'gui
罗蒙正,luo'meng'zheng
罗天池,luo'tian'chi
罗兆宁,luo'zhao'ning
吕萃俊,lv'cui'jun
吕棠,lv'tang
吕耀东,lv'yao'dong
吕志和,lv'zhi'he
吕祖明,lv'zu'ming
马持国,ma'chi'guo
马持国马骥马宜相,ma'chi'guo'ma'ji'ma'yi'xiang
马观适,ma'guan'shi
米氏太夫人,mi'shi'tai'fu'ren
莫华操,mo'hua'cao
莫华沛,mo'hua'pei
莫耀强,mo'yao'qiang
莫柱荪,mo'zhu'sun
聂国良,nie'guo'liang
聂益之,nie'yi'zhi
潘国定,pan'guo'ding
潘耀昌,pan'yao'chang
彭业权,peng'ye'quan
区柏贤,qu'bai'xian
区建公,qu'jian'gong
区乾,qu'qian
区少文,qu'shao'wen
区维杰,qu'wei'jie
区永熙,qu'yong'xi
区越,qu'yue
区中杰,qu'zhong'jie
区宗杰,qu'zong'jie
容伯挺,rong'bo'ting
容揆,rong'kui
容少兰,rong'shao'lan
容永协,rong'yong'xie
容玉俊,rong'yu'jun
容祖儿,rong'zu'er
容祖诰,rong'zu'gao
容祖浩,rong'zu'hao
阮达祖,ruan'da'zu
阮克鲁,ruan'ke'lu
阮瑞琼,ruan'rui'qiong
阮兆辉,ruan'zhao'hui
三世刺史,san'shi'ci'shi
三世太守,san'shi'tai'shou
沈宝善,shen'bao'shan
沈善,shen'shan
施见三,shi'jian'san
宋斌,song'bin
苏澄洲,su'cheng'zhou
台山陈宜禧,tai'shan'chen'yi'xi
谭宝琛,tan'bao'chen
谭葆宪,tan'bao'xian
谭镳,tan'biao
谭炳文,tan'bing'wen
谭兰卿,tan'lan'qing
谭礼庭,tan'li'ting
谭礼廷,tan'li'ting
谭联益,tan'lian'yi
谈庆麟,tan'qing'lin
谭瑞霖,tan'rui'lin
谭天亮,tan'tian'liang
谭维鼎,tan'wei'ding
谭文辉,tan'wen'hui
谭文瑞,tan'wen'rui
谭校长,tan'xiao'zhang
谭学衡,tan'xue'heng
谭毓秀,tan'yu'xiu
谭兆,tan'zhao
谭肇康,tan'zhao'kang
谭枝,tan'zhi
谭志豪,tan'zhi'hao
唐大姐夫妇,tang'da'jie'fu'fu
唐国俊,tang'guo'jun
汤凯旋,tang'kai'xuan
唐毓秀,tang'yu'xiu
汤泽光,tang'ze'guang
汤钊猷,tang'zhao'you
唐珍琰,tang'zhen'yan
汤知兢,tang'zhi'jing
王劼谞,wang'jie'xu
文绰英,wen'chuo'ying
温兆培,wen'zhao'pei
文植虞,wen'zhi'yu
伍朝枢,wu'chao'shu
伍光健,wu'guang'jian
伍光建,wu'guang'jian
吴广其,wu'guang'qi
吴冷西,wu'leng'xi
伍蠡甫,wu'li'fu
吴启忠,wu'qi'zhong
吴汝鎏,wu'ru'liu
吴铁梅,wu'tie'mei
伍廷芳,wu'ting'fang
伍维统,wu'wei'tong
吴侠荣,wu'xia'rong
吴泽理,wu'ze'li
吴珠,wu'zhu
夏松芳,xia'song'fang
夏邑,xia'yi
薛社普,xue'she'pu
严敏,yan'min
杨西岩,yang'xi'yan
叶蔼,ye'ai
叶汉,ye'han
叶一峰,ye'yi'feng
叶元宰,ye'yuan'zai
余斌臣,yu'bin'chen
俞鸿钧,yu'hong'jun
余家栾,yu'jia'luan
余经,yu'jing
余觉之,yu'jue'zhi
俞士琮,yu'shi'cong
余藻华,yu'zao'hua
余振驺,yu'zhen'zou
张保仔,zhang'bao'zai
张大洪,zhang'da'hong
张德维,zhang'de'wei
张定婵,zhang'ding'chan
张撝,zhang'hui
张抗抗,zhang'kang'kang
章枚,zhang'mei
张猛,zhang'meng
张民辉,zhang'min'hui
张其光,zhang'qi'guang
张群显,zhang'qun'xian
张瑞成,zhang'rui'cheng
张廷,zhang'ting
张肖白,zhang'xiao'bai
张炎,zhang'yan
张荫棠,zhang'yin'tang
张佑启,zhang'you'qi
张玉良,zhang'yu'liang
张玉麟,zhang'yu'lin
张远贻,zhang'yuan'yi
张云田,zhang'yun'tian
张兆棠,zhang'zhao'tang
张镇汉,zhang'zhen'han
张祝珊,zhang'zhu'shan
张子芳,zhang'zi'fang
张子柱,zhang'zi'zhu
赵冰,zhao'bing
赵公璧,zhao'gong'bi
赵冠山,zhao'guan'shan
赵丽莲,zhao'li'lian
赵良骢兄弟,zhao'liang'cong'xiong'di
赵美心,zhao'mei'xin
赵梅友,zhao'mei'you
赵善性,zhao'shan'xing
赵仕北,zhao'shi'bei
赵泰来,zhao'tai'lai
赵昱,zhao'yu
赵植芝,zhao'zhi'zhi
赵仲邑,zhao'zhong'yi
赵竹光,zhao'zhu'guang
甄锦标,zhen'jin'biao
甄同就,zhen'tong'jiu
郑潮炯,zheng'chao'jiong
郑绩,zheng'ji
郑可,zheng'ke
郑哲民,zheng'zhe'min
钟北谦,zhong'bei'qian
钟高渊,zhong'gao'yuan
钟功申,zhong'gong'shen
周达尚,zhou'da'shang
周广安,zhou'guang'an
周汉华,zhou'han'hua
周华,zhou'hua
周君实,zhou'jun'shi
周务谦,zhou'wu'qian
朱焯新,zhu'chao'xin
朱赤霓,zhu'chi'ni
朱勉躬,zhu'mian'gong
朱赞,zhu'zan
朱振中,zhu'zhen'zhong
朱志淞,zhu'zhi'song
朱紫绶,zhu'zi'shou
