爱护公共财物,ai'hu'gong'gong'cai'wu
马路施工,ma'lu'shi'gong
美国波音,mei'guo'bo'yin
美国波音飞机制造公司,mei'guo'bo'yin'fei'ji'zhi'zao'gong'si
美国航空公司,mei'guo'hang'kong'gong'si
美国联合航空公司,mei'guo'lian'he'hang'kong'gong'si
美国西北航空公司,mei'guo'xi'bei'hang'kong'gong'si
美兰机场,mei'lan'ji'chang
梦想式运输机,meng'xiang'shi'yun'shu'ji
面包店,mian'bao'dian
免费入场,mian'fei'ru'chang
免费通行,mian'fei'tong'xing
免税商品,mian'shui'shang'pin
灭火专用,mie'huo'zhuan'yong
民航,min'hang
民用飞机,min'yong'fei'ji
民用机,min'yong'ji
民用运输,min'yong'yun'shu
男厕所,nan'ce'suo
南昌,nan'chang
南京,nan'jing
男空服员,nan'kong'fu'yuan
内地航空公司,nei'di'hang'kong'gong'si
宁波,ning'bo
农业机,nong'ye'ji
女厕所,nv'ce'suo
女空服员,nv'kong'fu'yuan
欧美航空公司,ou'mei'hang'kong'gong'si
欧洲空中客车工业公司,ou'zhou'kong'zhong'ke'che'gong'ye'gong'si
配平按钮,pei'ping'an'niu
喷气式飞机,pen'qi'shi'fei'ji
偏转,pian'zhuan
票到付款,piao'dao'fu'kuan
平尾,ping'wei
平稳地飞行,ping'wen'de'fei'xing
平直翼飞机,ping'zhi'yi'fei'ji
浦东国际机场,pu'dong'guo'ji'ji'chang
普通交通方式,pu'tong'jiao'tong'fang'shi
普通纸质机票,pu'tong'zhi'zhi'ji'piao
起降安全,qi'jiang'an'quan
起落,qi'luo
起落架,qi'luo'jia
起落装置,qi'luo'zhuang'zhi
其他附加费,qi'ta'fu'jia'fei
其它设备,qi'ta'she'bei
气象机,qi'xiang'ji
气象条件,qi'xiang'tiao'jian
前进,qian'jin
前掠翼飞机,qian'lue'yi'fei'ji
千米,qian'mi
签票,qian'piao
切勿近火,qie'wu'jin'huo
请擦去鞋上的泥土,qing'ca'qu'xie'shang'de'ni'tu
青岛,qing'dao
请勿倒立,qing'wu'dao'li
请勿拍照,qing'wu'pai'zhao
请勿用手摸,qing'wu'yong'shou'mo
取消,qu'xiao
全额预付,quan'e'yu'fu
全价票,quan'jia'piao
全日空航空公司,quan'ri'kong'hang'kong'gong'si
燃油供应系统,ran'you'gong'ying'xi'tong
日本航空公司,ri'ben'hang'kong'gong'si
入口,ru'kou
瑞士航空公司,rui'shi'hang'kong'gong'si
三角翼飞机,san'jiao'yi'fei'ji
三峡机场,san'xia'ji'chang
三灶机场,san'zao'ji'chang
森林防护机,sen'lin'fang'hu'ji
沙漠,sha'mo
山东航空公司,shan'dong'hang'kong'gong'si
汕头,shan'tou
上单翼机,shang'dan'yi'ji
上海,shang'hai
上海航空公司,shang'hai'hang'kong'gong'si
商务客舱,shang'wu'ke'cang
申根,shen'gen
申根国,shen'gen'guo
申根签证,shen'gen'qian'zheng
沈阳,shen'yang
深圳,shen'zhen
深圳航空公司,shen'zhen'hang'kong'gong'si
生产日期,sheng'chan'ri'qi
升力,sheng'li
升力系数,sheng'li'xi'shu
省油,sheng'you
时间,shi'jian
世界巡航号,shi'jie'xun'hang'hao
十四岁以下禁看电影,shi'si'sui'yi'xia'jin'kan'dian'ying
失物招领处,shi'wu'zhao'ling'chu
失效期,shi'xiao'qi
试验研究机,shi'yan'yan'jiu'ji
使用中,shi'yong'zhong
首都国际机场,shou'du'guo'ji'ji'chang
售票处,shou'piao'chu
手续,shou'xu
恕不出售,shu'bu'chu'shou
数据,shu'ju
双垂尾,shuang'chui'wei
双发飞机,shuang'fa'fei'ji
双流国际机场,shuang'liu'guo'ji'ji'chang
双翼机,shuang'yi'ji
水陆两用飞机,shui'lu'liang'yong'fei'ji
水平尾翼,shui'ping'wei'yi
水上飞机,shui'shang'fei'ji
说明,shuo'ming
四川航空公司,si'chuan'hang'kong'gong'si
速度快,su'du'kuai
随身行李,sui'shen'xing'li
泰国航空公司,tai'guo'hang'kong'gong'si
太平国际机场,tai'ping'guo'ji'ji'chang
太原,tai'yuan
桃仙国际机场,tao'xian'guo'ji'ji'chang
特别注意,te'bie'zhu'yi
特航航空,te'hang'hang'kong
特技表演机,te'ji'biao'yan'ji
特价机票,te'jia'ji'piao
特快专递,te'kuai'zhuan'di
腾邦,teng'bang
体育机,ti'yu'ji
天河机场,tian'he'ji'chang
天津,tian'jin
铁路运输,tie'lu'yun'shu
停车处,ting'che'chu
停放,ting'fang
通讯,tong'xun
通讯设备,tong'xun'she'bei
头等舱,tou'deng'cang
土耳其航空公司,tu'er'qi'hang'kong'gong'si
团队票,tuan'dui'piao
推进装置,tui'jin'zhuang'zhi
推力,tui'li
退票,tui'piao
屯溪机场,tun'xi'ji'chang
托运的行李,tuo'yun'de'xing'li
外币兑换店,wai'bi'dui'huan'dian
外砂机场,wai'sha'ji'chang
网上支付,wang'shang'zhi'fu
未来客机,wei'lai'ke'ji
危险,wei'xian
尾翼,wei'yi
问讯处,wen'xun'chu
问询电话,wen'xun'dian'hua
涡轮发动机,wo'lun'fa'dong'ji
涡轮风扇发动机,wo'lun'feng'shan'fa'dong'ji
涡轮螺旋桨发动机,wo'lun'luo'xuan'jiang'fa'dong'ji
涡轮螺旋桨式飞机,wo'lun'luo'xuan'jiang'shi'fei'ji
涡轮喷射发动机,wo'lun'pen'she'fa'dong'ji
武汉,wu'han
巫家坝机场,wu'jia'ba'ji'chang
五里机场,wu'li'ji'chang
乌鲁木齐,wu'lu'mu'qi
勿乱扔杂物,wu'luan'reng'za'wu
武器,wu'qi
无人,wu'ren
武宿机场,wu'su'ji'chang
无尾飞机,wu'wei'fei'ji
无纸化,wu'zhi'hua
西安,xi'an
西关机场,xi'guan'ji'chang
西宁,xi'ning
西沙机场,xi'sha'ji'chang
洗衣店,xi'yi'dian
下班,xia'ban
下单翼机,xia'dan'yi'ji
厦门,xia'men
现代飞机,xian'dai'fei'ji
现代军事,xian'dai'jun'shi
先进的电传操纵系统,xian'jin'de'dian'chuan'cao'zong'xi'tong
闲人免进,xian'ren'mian'jin
咸阳国际机场,xian'yang'guo'ji'ji'chang
小餐馆,xiao'can'guan
消耗的油料,xiao'hao'de'you'liao
小心轻放,xiao'xin'qing'fang
携程,xie'cheng
携带,xie'dai
新加坡航空公司,xin'jia'po'hang'kong'gong'si
新西兰航空公司,xin'xi'lan'hang'kong'gong'si
新郑机场,xin'zheng'ji'chang
行李,xing'li
行李领取处,xing'li'ling'qu'chu
行李牌,xing'li'pai
行李推车,xing'li'tui'che
姓名,xing'ming
需课税商品,xu'ke'shui'shang'pin
雪地飞机,xue'di'fei'ji
削价出售,xue'jia'chu'shou
鸭式飞机,ya'shi'fei'ji
亚太航空公司,ya'tai'hang'kong'gong'si
亚音速飞机,ya'yin'su'fei'ji
延安,yan'an
烟台,yan'tai
遥墙机场,yao'qiang'ji'chang
仪表,yi'biao
宜昌,yi'chang
意见箱,yi'jian'xiang
医疗救护机,yi'liao'jiu'hu'ji
易碎,yi'sui
银川,yin'chuan
银行卡,yin'hang'ka
婴儿,ying'er
婴儿票,ying'er'piao
英国航空公司,ying'guo'hang'kong'gong'si
英国维珍航空公司,ying'guo'wei'zhen'hang'kong'gong'si
营业,ying'ye
营业时间,ying'ye'shi'jian
用电设备,yong'dian'she'bei
有毒,you'du
游览机,you'lan'ji
油漆未干,you'qi'wei'gan
有人,you'ren
游人止步,you'ren'zhi'bu
油箱,you'xiang
有效身份证件,you'xiao'shen'fen'zheng'jian
预订数量,yu'ding'shu'liang
预付机票费,yu'fu'ji'piao'fei
榆林,yu'lin
宇之路,yu'zhi'lu
远程飞机,yuan'cheng'fei'ji
原子能航空发动机,yuan'zi'neng'hang'kong'fa'dong'ji
运动指令,yun'dong'zhi'ling
运输,yun'shu
运输机,yun'shu'ji
载客能力,zai'ke'neng'li
载客人数,zai'ke'ren'shu
在线支付,zai'xian'zhi'fu
载重,zai'zhong
暂停,zan'ting
噪音,zao'yin
招聘,zhao'pin
折扣价格,zhe'kou'jia'ge
折扣经济舱,zhe'kou'jing'ji'cang
正常布局飞机,zheng'chang'bu'ju'fei'ji
证件,zheng'jian
郑州,zheng'zhou
支撑飞机,zhi'cheng'fei'ji
指定地址,zhi'ding'di'zhi
执法机,zhi'fa'ji
支付方式,zhi'fu'fang'shi
直接操纵,zhi'jie'cao'zong
纸票,zhi'piao
置于阴凉处,zhi'yu'yin'liang'chu
只准公共汽车通过,zhi'zhun'gong'gong'qi'che'tong'guo
中程飞机,zhong'cheng'fei'ji
中川机场,zhong'chuan'ji'chang
中单翼机,zhong'dan'yi'ji
中国东方航空公司,zhong'guo'dong'fang'hang'kong'gong'si
中国国际航空公司,zhong'guo'guo'ji'hang'kong'gong'si
中国南方航空公司,zhong'guo'nan'fang'hang'kong'gong'si
重量轻,zhong'liang'qing
重要武器,zhong'yao'wu'qi
主操纵装置,zhu'cao'zong'zhuang'zhi
珠海,zhu'hai
转票,zhuan'piao
装载,zhuang'zai
着陆滑跑,zhuo'lu'hua'pao
自身动力,zi'shen'dong'li
自行车存车处,zi'xing'che'cun'che'chu
自主权,zi'zhu'quan
自助体验,zi'zhu'ti'yan
阻隔,zu'ge
最安全的交通运输方式,zui'an'quan'de'jiao'tong'yun'shu'fang'shi
最大航速,zui'da'hang'su
最高密度座位,zui'gao'mi'du'zuo'wei
作废,zuo'fei
座位,zuo'wei
