矮柜,ai'gui
大边和抹头,da'bian'he'mo'tou
大床,da'chuang
大方,da'fang
搭脚仔凳,da'jiao'zi'deng
大理石,da'li'shi
搭脑,da'nao
大头典竹,da'tou'dian'zhu
打洼儿,da'wa'er
大椅,da'yi
单板层压家具,dan'ban'ceng'ya'jia'ju
单靠,dan'kao
掸椅,dan'yi
单竹,dan'zhu
淡竹,dan'zhu
档板,dang'ban
刀墩架,dao'dun'jia
灯挂椅,deng'gua'yi
灯檠,deng'qing
灯台,deng'tai
灯桌,deng'zhuo
滴水床,di'shui'chuang
电视柜,dian'shi'gui
雕花作,diao'hua'zuo
吊环,diao'huan
吊牌,diao'pai
吊丝球竹,diao'si'qiu'zhu
吊头,diao'tou
蝶几,die'ji
叠落香几,die'luo'xiang'ji
迭刹,die'sha
定向刨花板,ding'xiang'bao'hua'ban
顶箱立柜,ding'xiang'li'gui
豆瓣楠,dou'ban'nan
兜料,dou'liao
斗帐,dou'zhang
读书桌,du'shu'zhuo
独睡,du'shui
独座,du'zuo
椴木,duan'mu
短穗竹,duan'sui'zhu
墩木,dun'mu
多宝架,duo'bao'jia
垛边,duo'bian
多层胶合弯曲木家具,duo'ceng'jiao'he'wan'qu'mu'jia'ju
鹅脖,e'bo
翻门,fan'men
方材,fang'cai
枋材,fang'cai
方角柜,fang'jiao'gui
方线珠,fang'xian'zhu
方桌,fang'zhuo
方作,fang'zuo
非传统原料刨花板,fei'chuan'tong'yuan'liao'bao'hua'ban
翡翠屏,fei'cui'ping
粉绿竹,fen'lv'zhu
封边,feng'bian
风挡,feng'dang
枫杨,feng'yang
凤扆,feng'yi
复合胶合板,fu'he'jiao'he'ban
覆面家具,fu'mian'jia'ju
扶手椅,fu'shou'yi
负扆,fu'yi
黼扆,fu'yi
盖条,gai'tiao
改竹圆,gai'zhu'yuan
赶枨,gan'cheng
竿屏,gan'ping
甘竹,gan'zhu
钢管家具,gang'guan'jia'ju
钢木家具,gang'mu'jia'ju
钢铁家具,gang'tie'jia'ju
刚性,gang'xing
刚竹,gang'zhu
隔板,ge'ban
搁板,ge'ban
搁几,ge'ji
格肩,ge'jian
搁炉小香几,ge'lu'xiao'xiang'ji
格木,ge'mu
隔音板,ge'yin'ban
槅子,ge'zi
弓背牙子,gong'bei'ya'zi
宫灯,gong'deng
宫廷家具,gong'ting'jia'ju
供桌,gong'zhuo
拱桌,gong'zhuo
勾挂榫,gou'gua'sun
古典园林家具,gu'dian'yuan'lin'jia'ju
固定式灯台,gu'ding'shi'deng'tai
鼓墩,gu'dun
骨牌凳,gu'pai'deng
姑苏园林家具,gu'su'yuan'lin'jia'ju
鼓腿彭牙,gu'tui'peng'ya
刮底,gua'di
瓜墩,gua'dun
挂巾面盆架,gua'jin'mian'pen'jia
挂巾圆盆架,gua'jin'yuan'pen'jia
挂屏,gua'ping
刮线,gua'xian
关刀脚,guan'dao'jiao
管脚档,guan'jiao'dang
官皮箱,guan'pi'xiang
关头,guan'tou
官箱,guan'xiang
广式家具,guang'shi'jia'ju
广做,guang'zuo
龟背,gui'bei
柜仓,gui'cang
龟床,gui'chuang
贵妃榻,gui'fei'ta
鬼子式椅子,gui'zi'shi'yi'zi
滚枨脚踏,gun'cheng'jiao'ta
裹腿枨,guo'tui'cheng
裹腿做,guo'tui'zuo
海做,hai'zuo
汉代陶柜,han'dai'tao'gui
邗江出土汉代食案,han'jiang'chu'tu'han'dai'shi'an
邗江出土五代木榻,han'jiang'chu'tu'wu'dai'mu'ta
汉门洞,han'men'dong
核桃揪,he'tao'jiu
合页,he'ye
红豆木,hong'dou'mu
红木,hong'mu
红木家具,hong'mu'jia'ju
红木小件,hong'mu'xiao'jian
红松,hong'song
厚板,hou'ban
胡床,hu'chuang
壶门券口,hu'men'quan'kou
壶瓶牙子,hu'ping'ya'zi
画案,hua'an
花板,hua'ban
滑动门,hua'dong'men
花格,hua'ge
花几,hua'ji
花篮灯,hua'lan'deng
花篮椅,hua'lan'yi
花梨木,hua'li'mu
桦木,hua'mu
画屏,hua'ping
花曲柳,hua'qu'liu
黄波罗,huang'bo'luo
黄丹,huang'dan
皇邸,huang'di
黄花梨,huang'hua'li
黄花梨带门圈子架子床,huang'hua'li'dai'men'quan'zi'jia'zi'chuang
黄花梨挂巾面盆架,huang'hua'li'gua'jin'mian'pen'jia
黄花梨花鸟半桌,huang'hua'li'hua'niao'ban'zhuo
黄花梨靠背椅,huang'hua'li'kao'bei'yi
黄花梨六方扶手椅,huang'hua'li'liu'fang'fu'shou'yi
黄花梨六足折叠式榻,huang'hua'li'liu'zu'zhe'die'shi'ta
黄花梨玫瑰椅,huang'hua'li'mei'gui'yi
黄花梨四出头扶手椅,huang'hua'li'si'chu'tou'fu'shou'yi
黄花梨弯腿方凳,huang'hua'li'wan'tui'fang'deng
黄花梨月洞式门罩架子床,huang'hua'li'yue'dong'shi'men'zhao'jia'zi'chuang
黄杉,huang'shan
黄杨木,huang'yang'mu
楎椸,hui'yi
火弯,huo'wan
攲案,ji'an
鸡翅木,ji'chi'mu
夹板家具,jia'ban'jia'ju
架格,jia'ge
家具,jia'ju
家具配套设计,jia'ju'pei'tao'she'ji
家具生产化学化,jia'ju'sheng'chan'hua'xue'hua
夹头榫,jia'tou'sun
架子,jia'zi
架子床,jia'zi'chuang
剪断,jian'duan
剑脊棱,jian'ji'leng
鉴台,jian'tai
桨腿,jiang'tui
江阴出土宋代靠背椅,jiang'yin'chu'tu'song'dai'kao'bei'yi
交床,jiao'chuang
脚床子,jiao'chuang'zi
胶合板,jiao'he'ban
脚踏,jiao'ta
交杌,jiao'wu
脚牙,jiao'ya
角牙,jiao'ya
轿椅,jiao'yi
交倚,jiao'yi
交椅,jiao'yi
结构部件,jie'gou'bu'jian
结构强度,jie'gou'qiang'du
接桌,jie'zhuo
结子,jie'zi
锦纶绷,jin'lun'beng
锦屏,jin'ping
金漆镶色家具,jin'qi'xiang'se'jia'ju
进深,jin'shen
经案,jing'an
镜架,jing'jia
镜奁,jing'lian
镜籢,jing'lian
镜屏,jing'ping
京式家具,jing'shi'jia'ju
京式小件,jing'shi'xiao'jian
经笥,jing'si
镜台,jing'tai
京做,jing'zuo
鸠尾榫,jiu'wei'sun
酒桌,jiu'zhuo
钜鹿出土北宋木椅,ju'lu'chu'tu'bei'song'mu'yi
钜鹿出土北宋木桌,ju'lu'chu'tu'bei'song'mu'zhuo
榉木,ju'mu
榉木双圈结平头案,ju'mu'shuang'quan'jie'ping'tou'an
卷尺,juan'chi
卷门,juan'men
卷珠,juan'zhu
开方,kai'fang
开间,kai'jian
开门,kai'men
开圆,kai'yuan
扛箱,kang'xiang
炕椅靠背,kang'yi'kao'bei
炕桌,kang'zhuo
靠背片,kao'bei'pian
靠背椅,kao'bei'yi
栲栳样,kao'lao'yang
筐床,kuang'chuang
框档,kuang'dang
框架,kuang'jia
腊杆家具,la'gan'jia'ju
腊木家具,la'mu'jia'ju
拦水线,lan'shui'xian
篮舆,lan'yu
勒水花牙,le'shui'hua'ya
冷胶活化法,leng'jiao'huo'hua'fa
藜床,li'chuang
立柜,li'gui
立体木纹印刷,li'ti'mu'wen'yin'shua
联帮棍,lian'bang'gun
镰刀把,lian'dao'ba
连二橱,lian'er'chu
连三橱,lian'san'chu
凉床,liang'chuang
亮格柜,liang'ge'gui
亮脚,liang'jiao
料慈竹,liao'ci'zhu
柳安,liu'an
六方椅,liu'fang'yi
六角椅,liu'jiao'yi
柳木,liu'mu
龙床,long'chuang
龙凤榫,long'feng'sun
鲁班尺,lu'ban'chi
罗锅枨,luo'guo'cheng
罗汉床,luo'han'chuang
罗圈椅,luo'quan'yi
落塘面,luo'tang'mian
落叶松,luo'ye'song
绿竹,lv'zhu
马鞍坐身,ma'an'zuo'shen
马蹄足,ma'ti'zu
马尾松,ma'wei'song
马杌,ma'wu
马闸,ma'zha
马闸子,ma'zha'zi
麻竹,ma'zhu
满堂红,man'tang'hong
毛边材,mao'bian'cai
毛竹反黄面,mao'zhu'fan'huang'mian
毛竹销面,mao'zhu'xiao'mian
玫瑰椅,mei'gui'yi
梅花凳,mei'hua'deng
美人榻,mei'ren'ta
门板,men'ban
闷户橱,men'hu'chu
门扇,men'shan
闷榫,men'sun
门围子,men'wei'zi
门罩,men'zhao
弥勒榻,mi'le'ta
面板,mian'ban
眠床,mian'chuang
面框,mian'kuang
面盆架,mian'pen'jia
面条,mian'tiao
面挺,mian'ting
面叶,mian'ye
民间家具,min'jian'jia'ju
明代早期木桌和翘首案,ming'dai'zao'qi'mu'zhuo'he'qiao'shou'an
明洪武时木床,ming'hong'wu'shi'mu'chuang
明轿,ming'jiao
明式家具,ming'shi'jia'ju
明榫,ming'sun
木材人工干燥法,mu'cai'ren'gong'gan'zao'fa
木材自然干燥法,mu'cai'zi'ran'gan'zao'fa
木作,mu'zuo
南床,nan'chuang
南官帽椅,nan'guan'mao'yi
楠木,nan'mu
南竹,nan'zhu
脑枕,nao'zhen
内蒙古出土辽代木床,nei'meng'gu'chu'tu'liao'dai'mu'chuang
内蒙古出土辽代木椅,nei'meng'gu'chu'tu'liao'dai'mu'yi
内蒙古出土辽代木桌,nei'meng'gu'chu'tu'liao'dai'mu'zhuo
泥炭木质纤维板,ni'tan'mu'zhi'xian'wei'ban
坭竹,ni'zhu
捏角线,nie'jiao'xian
宁式家具,ning'shi'jia'ju
牛鼻环,niu'bi'huan
牛腿脚,niu'tui'jiao
弄洞线,nong'dong'xian
暖椅,nuan'yi
拍子,pai'zi
盘几,pan'ji
旁板,pang'ban
泡钉,pao'ding
跑马挓,pao'ma'zha
抛头,pao'tou
喷出,pen'chu
皮带线,pi'dai'xian
劈角做,pi'jiao'zuo
劈料做,pi'liao'zuo
披水牙子,pi'shui'ya'zi
皮条门,pi'tiao'men
皮条线,pi'tiao'xian
飘檐,piao'yan
撇脚,pie'jiao
拼花家具,pin'hua'jia'ju
屏背椅,ping'bei'yi
屏风,ping'feng
凭几,ping'ji
平榻,ping'ta
平头案,ping'tou'an
屏扆,ping'yi
屏幛,ping'zhang
平竹,ping'zhu
破面,po'mian
破头楔,po'tou'xie
起兜肚,qi'dou'du
企口,qi'kou
骑马挓,qi'ma'zha
桤木,qi'mu
漆木家具,qi'mu'jia'ju
漆器家具,qi'qi'jia'ju
七巧几,qi'qiao'ji
起线,qi'xian
祁阳石,qi'yang'shi
棋桌,qi'zhuo
杞梓木,qi'zi'mu
卡子花,qia'zi'hua
钱柜,qian'gui
乾隆鹿角椅,qian'long'lu'jiao'yi
千拼桌,qian'pin'zhuo
嵌珠,qian'zhu
墙板,qiang'ban
桥梁档,qiao'liang'dang
巧木作,qiao'mu'zuo
翘头案,qiao'tou'an
箧笥,qie'si
琴脚,qin'jiao
琴桌,qin'zhuo
清式家具,qing'shi'jia'ju
清水货,qing'shui'huo
蜻艇腿,qing'ting'tui
轻质合金家具,qing'zhi'he'jin'jia'ju
楸木,qiu'mu
曲尺,qu'chi
曲几,qu'ji
曲木家具,qu'mu'jia'ju
屈曲,qu'qu
屈戍屏风,qu'shu'ping'feng
圈口,quan'kou
券口牙子,quan'kou'ya'zi
筌蹄,quan'ti
圈椅,quan'yi
人造板家具,ren'zao'ban'jia'ju
人造柚木,ren'zao'you'mu
柔软家具,rou'ruan'jia'ju
入墙衣柜,ru'qiang'yi'gui
软屉,ruan'ti
三角齐尖,san'jiao'qi'jian
三式木,san'shi'mu
三弯脚,san'wan'jiao
色木,se'mu
沙发,sha'fa
沙园竹,sha'yuan'zhu
纱照屏,sha'zhao'ping
栅板,shan'ban
杉木,shan'mu
山铁罗竹,shan'tie'luo'zhu
鳝鱼头,shan'yu'tou
膳桌,shan'zhuo
商代木抬盘,shang'dai'mu'tai'pan
商代铜三联甗座架,shang'dai'tong'san'lian'yan'zuo'jia
上面,shang'mian
什景灯,shen'jing'deng
绳床,sheng'chuang
升降式灯台,sheng'jiang'shi'deng'tai
食案,shi'an
石灯,shi'deng
食格,shi'ge
石屏,shi'ping
十字枨,shi'zi'cheng
书案,shu'an
梳背椅,shu'bei'yi
树根藤瘿家具,shu'gen'teng'ying'jia'ju
书卷头,shu'juan'tou
束腰,shu'yao
梳妆箱,shu'zhuang'xiang
闩竿,shuan'gan
水沟槽,shui'gou'cao
水曲柳,shui'qu'liu
睡翁椅,shui'weng'yi
水竹,shui'zhu
四出头官帽椅,si'chu'tou'guan'mao'yi
四件柜,si'jian'gui
四仙桌,si'xian'zhuo
宋代螺甸桌椅,song'dai'luo'dian'zhuo'yi
宋代石屏风,song'dai'shi'ping'feng
宋代砖室墓浮雕镜架,song'dai'zhuan'shi'mu'fu'diao'jing'jia
塑合木,su'he'mu
塑料画膜拓印,su'liao'hua'mo'ta'yin
塑料家具,su'liao'jia'ju
塑料嵌条,su'liao'qian'tiao
塑料贴面板,su'liao'tie'mian'ban
塑料贴面家具,su'liao'tie'mian'jia'ju
苏式家具,su'shi'jia'ju
苏式小件,su'shi'xiao'jian
苏做,su'zuo
碎料胶合家具,sui'liao'jiao'he'jia'ju
榫合,sun'he
榫肩,sun'jian
筍虡,sun'ju
簨虡,sun'ju
榫卯,sun'mao
榫舌,sun'she
榫头,sun'tou
笋头卯眼,sun'tou'mao'yan
榫眼,sun'yan
踏床,ta'chuang
踏脚板,ta'jiao'ban
踏脚档,ta'jiao'dang
台屏,tai'ping
太师椅,tai'shi'yi
檀香,tan'xiang
唐代长案,tang'dai'chang'an
唐代月牙杌子,tang'dai'yue'ya'wu'zi
套几,tao'ji
套脚,tao'jiao
套榫,tao'sun
绦条板,tao'tiao'ban
陶质家具,tao'zhi'jia'ju
特大方,te'da'fang
特厚板,te'hou'ban
藤编竹家具,teng'bian'zhu'jia'ju
藤床,teng'chuang
藤椅,teng'yi
藤制家具,teng'zhi'jia'ju
绨几,ti'ji
梯阶床,ti'jie'chuang
甜瓜棱,tian'gua'leng
天盘线,tian'pan'xian
天然几,tian'ran'ji
天圆地方,tian'yuan'di'fang
甜竹,tian'zhu
条案,tiao'an
调五门,tiao'wu'men
调箱,tiao'xiang
条桌,tiao'zhuo
贴花片,tie'hua'pian
铁力板足条几,tie'li'ban'zu'tiao'ji
贴面家具,tie'mian'jia'ju
桯凳,ting'deng
通槽,tong'cao
铜饰件,tong'shi'jian
透榫,tou'sun
骰子桌,tou'zi'zhuo
推拉门,tui'la'men
托档,tuo'dang
拖脚,tuo'jiao
托角榫,tuo'jiao'sun
托角牙子,tuo'jiao'ya'zi
托泥,tuo'ni
托腮,tuo'sai
托闩钉,tuo'shuan'ding
托子,tuo'zi
挖弯,wa'wan
挖烟袋锅做法,wa'yan'dai'guo'zuo'fa
瓦质家具,wa'zhi'jia'ju
外翻马蹄,wai'fan'ma'ti
碗橱,wan'chu
万历款龙纹黑漆药柜,wan'li'kuan'long'wen'hei'qi'yao'gui
委角,wei'jiao
围屏,wei'ping
围椅,wei'yi
文木,wen'mu
文武线,wen'wu'xian
文椅,wen'yi
五代三折大屏风,wu'dai'san'zhe'da'ping'feng
杌凳,wu'deng
吴江竹椅,wu'jiang'zhu'yi
乌木,wu'mu
乌药竹,wu'yao'zhu
杌子,wu'zi
西汉五彩画屏风,xi'han'wu'cai'hua'ping'feng
细木工板,xi'mu'gong'ban
喜事连,xi'shi'lian
西魏扶手椅,xi'wei'fu'shou'yi
现代家具,xian'dai'jia'ju
线脚,xian'jiao
纤维板,xian'wei'ban
纤维板家具,xian'wei'ban'jia'ju
纤维刨花板,xian'wei'bao'hua'ban
线香线,xian'xiang'xian
线样,xian'yang
仙椅,xian'yi
闲余书架,xian'yu'shu'jia
湘妃竹,xiang'fei'zhu
箱柜,xiang'gui
香几,xiang'ji
项墨林棐几,xiang'mo'lin'fei'ji
镶平面,xiang'ping'mian
湘竹榻,xiang'zhu'ta
小方,xiao'fang
小木椅,xiao'mu'yi
小木作,xiao'mu'zuo
小榻,xiao'ta
楔钉榫,xie'ding'sun
行障,xing'zhang
绣墩,xiu'dun
虚镶,xu'xiang
栒虡,xun'ju
牙板,ya'ban
牙角,ya'jiao
压片,ya'pian
压片钉,ya'pian'ding
牙条,ya'tiao
鸭尾子式,ya'wei'zi'shi
压纹刨花板,ya'wen'bao'hua'ban
牙子,ya'zi
燕几,yan'ji
砚屏,yan'ping
燕尾榫,yan'wei'sun
烟竹,yan'zhu
样板,yang'ban
秧凳,yang'deng
阳线,yang'xian
药橱,yao'chu
摇竿,yao'gan
一封书桌,yi'feng'shu'zhuo
衣柜,yi'gui
衣架,yi'jia
衣笼,yi'long
移门,yi'men
椅盘,yi'pan
椅圈,yi'quan
衣笥,yi'si
一统碑,yi'tong'bei
一腿三牙,yi'tui'san'ya
衣箱,yi'xiang
仪征出土西汉漆案,yi'zheng'chu'tu'xi'han'qi'an
椅子,yi'zi
隐几,yin'ji
隐囊,yin'nang
银杏,yin'xing
迎面,ying'mian
瘿木,ying'mu
硬木家具,ying'mu'jia'ju
影条,ying'tiao
硬质木纤维板,ying'zhi'mu'xian'wei'ban
永石,yong'shi
柚木,you'mu
油桌,you'zhuo
郁架,yu'jia
榆木,yu'mu
圆棒榫,yuan'bang'sun
元代壁画的花几,yuan'dai'bi'hua'de'hua'ji
元代壁画中的长方桌,yuan'dai'bi'hua'zhong'de'chang'fang'zhuo
圆角柜,yuan'jiao'gui
圆盆架,yuan'pen'jia
圆椅,yuan'yi
圆桌,yuan'zhuo
月牙扶手,yue'ya'fu'shou
月牙桌,yue'ya'zhuo
云木,yun'mu
云屏,yun'ping
栽榫,zai'sun
栽销,zai'xiao
札榫,zha'sun
战国彩绘漆木床,zhan'guo'cai'hui'qi'mu'chuang
战国雕花木几,zhan'guo'diao'hua'mu'ji
战国金银彩绘漆案,zhan'guo'jin'yin'cai'hui'qi'an
战国漆木箱,zhan'guo'qi'mu'xiang
战国铜方案,zhan'guo'tong'fang'an
站牙,zhan'ya
帐构,zhang'gou
樟木箱,zhang'mu'xiang
账桌,zhang'zhuo
折尺,zhe'chi
折叠单靠,zhe'die'dan'kao
折叠门,zhe'die'men
折叠式家具,zhe'die'shi'jia'ju
折屏,zhe'ping
枕首,zhen'shou
枕头,zhen'tou
整边材,zheng'bian'cai
整体衣柜,zheng'ti'yi'gui
直背交椅,zhi'bei'jiao'yi
直角方榫,zhi'jiao'fang'sun
芝麻梗,zhi'ma'geng
中板,zhong'ban
中方,zhong'fang
中牌子,zhong'pai'zi
竹材烙花,zhu'cai'lao'hua
竹材着色,zhu'cai'zhuo'se
竹钉,zhu'ding
竹靠椅,zhu'kao'yi
竹面,zhu'mian
竹爿浑,zhu'pan'hun
朱漆家具,zhu'qi'jia'ju
竹青胶面,zhu'qing'jiao'mian
竹圈椅,zhu'quan'yi
竹踏凳,zhu'ta'deng
竹质刨花板,zhu'zhi'bao'hua'ban
竹制家具,zhu'zhi'jia'ju
竹子,zhu'zi
转屏,zhuan'ping
转椅,zhuan'yi
专诸禅椅,zhuan'zhu'chan'yi
装板,zhuang'ban
装饰板,zhuang'shi'ban
装饰部件,zhuang'shi'bu'jian
桌型结构,zhuo'xing'jie'gou
梓匠,zi'jiang
子口,zi'kou
梓人,zi'ren
紫檀,zi'tan
紫檀黑漆桌面画桌,zi'tan'hei'qi'zhuo'mian'hua'zhuo
紫檀灵芝纹画桌,zi'tan'ling'zhi'wen'hua'zhuo
紫檀木方凳,zi'tan'mu'fang'deng
紫檀木四开光坐墩,zi'tan'mu'si'kai'guang'zuo'dun
紫檀有束腰带托泥荷花椅,zi'tan'you'shu'yao'dai'tuo'ni'he'hua'yi
棕绷,zong'beng
粽角榫,zong'jiao'sun
走马销,zou'ma'xiao
足凳,zu'deng
组合家具,zu'he'jia'ju
坐墩,zuo'dun
座柜,zuo'gui
坐轿,zuo'jiao
柞木,zuo'mu
座屏,zuo'ping
