按份共有,an'fen'gong'you
变劣发明,bian'lie'fa'ming
变卖,bian'mai
编委会,bian'wei'hui
编造,bian'zao
表见代理,biao'jian'dai'li
表示的错误,biao'shi'de'cuo'wu
表示行为,biao'shi'xing'wei
表演使用许可合同,biao'yan'shi'yong'xu'ke'he'tong
表演者权,biao'yan'zhe'quan
别除权,bie'chu'quan
播放,bo'fang
拨改贷,bo'gai'dai
泊位合同,bo'wei'he'tong
播映权,bo'ying'quan
不安抗辩权,bu'an'kang'bian'quan
补偿贸易,bu'chang'mao'yi
补偿损失,bu'chang'sun'shi
补充协议,bu'chong'xie'yi
不当得利,bu'dang'de'li
不定值保险合同,bu'ding'zhi'bao'xian'he'tong
不动产,bu'dong'chan
不法行为,bu'fa'xing'wei
部分不能,bu'fen'bu'neng
部分抄袭,bu'fen'chao'xi
部分履行,bu'fen'lv'xing
部分侵权,bu'fen'qin'quan
不告不理,bu'gao'bu'li
不记名提单,bu'ji'ming'ti'dan
补救措施,bu'jiu'cuo'shi
不可撤销的保函,bu'ke'che'xiao'de'bao'han
不可撤销的担保,bu'ke'che'xiao'de'dan'bao
不可撤销信用证,bu'ke'che'xiao'xin'yong'zheng
不可撤消信用证,bu'ke'che'xiao'xin'yong'zheng
不可代替物,bu'ke'dai'ti'wu
不可分物,bu'ke'fen'wu
不可分之债,bu'ke'fen'zhi'zhai
不可抗力,bu'ke'kang'li
不可消耗物,bu'ke'xiao'hao'wu
不履行,bu'lv'xing
部门越权,bu'men'yue'quan
不能,bu'neng
不歧视待遇,bu'qi'shi'dai'yu
不确定期限,bu'que'ding'qi'xian
不确定事实,bu'que'ding'shi'shi
不融通物,bu'rong'tong'wu
不适当履行,bu'shi'dang'lv'xing
不适航,bu'shi'hang
不适拖,bu'shi'tuo
不适载,bu'shi'zai
不完全履行,bu'wan'quan'lv'xing
不要式法律行为,bu'yao'shi'fa'lv'xing'wei
不要式合同,bu'yao'shi'he'tong
不要式行为,bu'yao'shi'xing'wei
不真正连带债务,bu'zhen'zheng'lian'dai'zhai'wu
不作为,bu'zuo'wei
财产保全,cai'chan'bao'quan
财产保险,cai'chan'bao'xian
财产罚,cai'chan'fa
财产分割,cai'chan'fen'ge
财产关系,cai'chan'guan'xi
财产权,cai'chan'quan
财产确权,cai'chan'que'quan
财产损害赔偿,cai'chan'sun'hai'pei'chang
采光权,cai'guang'quan
采矿权,cai'kuang'quan
彩礼,cai'li
彩票,cai'piao
财团抵押,cai'tuan'di'ya
财团法人,cai'tuan'fa'ren
财团债权,cai'tuan'zhai'quan
财务管理,cai'wu'guan'li
残疾赔偿金,can'ji'pei'chang'jin
仓储保管合同,cang'chu'bao'guan'he'tong
舱面货物险,cang'mian'huo'wu'xian
舱面物,cang'mian'wu
仓至仓,cang'zhi'cang
操纵市场,cao'zong'shi'chang
拆借合同,chai'jie'he'tong
拆迁,chai'qian
拆迁安置,chai'qian'an'zhi
拆迁补偿协议,chai'qian'bu'chang'xie'yi
产供销合同,chan'gong'xiao'he'tong
产品标识,chan'pin'biao'zhi
产品发明,chan'pin'fa'ming
产品开发建议书,chan'pin'kai'fa'jian'yi'shu
产品设计图,chan'pin'she'ji'tu
产品声誉,chan'pin'sheng'yu
产品税,chan'pin'shui
产品瑕疵,chan'pin'xia'ci
产品责任险,chan'pin'ze'ren'xian
产品质量标准,chan'pin'zhi'liang'biao'zhun
产品质量责任,chan'pin'zhi'liang'ze'ren
产权,chan'quan
产权变更,chan'quan'bian'geng
产权登记,chan'quan'deng'ji
场内交易,chang'nei'jiao'yi
场外交易,chang'wai'jiao'yi
抄袭剽窃,chao'xi'piao'qie
超越代理权,chao'yue'dai'li'quan
超越使用范围,chao'yue'shi'yong'fan'wei
超越职权,chao'yue'zhi'quan
超载,chao'zai
车船使用税,che'chuan'shi'yong'shui
车辆买卖合同,che'liang'mai'mai'he'tong
车辆损失险,che'liang'sun'shi'xian
撤销判决,che'xiao'pan'jue
陈述权,chen'shu'quan
承包承租,cheng'bao'cheng'zu
承包合同,cheng'bao'he'tong
承包金,cheng'bao'jin
承包经营,cheng'bao'jing'ying
承包土地权,cheng'bao'tu'di'quan
承包制,cheng'bao'zhi
承包主体资格,cheng'bao'zhu'ti'zi'ge
承兑,cheng'dui
承付,cheng'fu
成交确认书,cheng'jiao'que'ren'shu
承揽合同,cheng'lan'he'tong
成年人,cheng'nian'ren
承诺,cheng'nuo
诚实信用,cheng'shi'xin'yong
诚实信用原则,cheng'shi'xin'yong'yuan'ze
承销商,cheng'xiao'shang
程序合法,cheng'xu'he'fa
承运人,cheng'yun'ren
承运人和实际承运人,cheng'yun'ren'he'shi'ji'cheng'yun'ren
承运人免责,cheng'yun'ren'mian'ze
承运人赔偿责任限制,cheng'yun'ren'pei'chang'ze'ren'xian'zhi
承租权,cheng'zu'quan
承租人,cheng'zu'ren
持股公司,chi'gu'gong'si
驰名商标,chi'ming'shang'biao
迟延交付,chi'yan'jiao'fu
迟延履行,chi'yan'lv'xing
充分公开,chong'fen'gong'kai
重复抵押,chong'fu'di'ya
重复签发提单,chong'fu'qian'fa'ti'dan
重婚,chong'hun
冲突规范,chong'tu'gui'fan
重作,chong'zuo
抽逃资金,chou'tao'zi'jin
出版发行权,chu'ban'fa'xing'quan
出版合同,chu'ban'he'tong
出版权,chu'ban'quan
出版许可合同,chu'ban'xu'ke'he'tong
除斥期间,chu'chi'qi'jian
处分,chu'fen
处分权,chu'fen'quan
初稿设计,chu'gao'she'ji
出国劳务合同,chu'guo'lao'wu'he'tong
出借帐户,chu'jie'zhang'hu
出口加工区,chu'kou'jia'gong'qu
出口税,chu'kou'shui
出口替代,chu'kou'ti'dai
出口贴补,chu'kou'tie'bu
出口退税,chu'kou'tui'shui
出口信贷,chu'kou'xin'dai
出卖人义务,chu'mai'ren'yi'wu
出名营业人,chu'ming'ying'ye'ren
出票,chu'piao
出让国有土地使用权,chu'rang'guo'you'tu'di'shi'yong'quan
出生,chu'sheng
出生日期,chu'sheng'ri'qi
出生证明,chu'sheng'zheng'ming
初始保证金,chu'shi'bao'zheng'jin
除外规定,chu'wai'gui'ding
除外责任,chu'wai'ze'ren
储蓄,chu'xu
出资,chu'zi
出资比例,chu'zi'bi'li
出资额转让,chu'zi'e'zhuan'rang
出资期限,chu'zi'qi'xian
出租人,chu'zu'ren
出租人的义务,chu'zu'ren'de'yi'wu
船舶保险,chuan'bo'bao'xian
船舶触碰,chuan'bo'chu'peng
船舶代理,chuan'bo'dai'li
船舶登记,chuan'bo'deng'ji
船舶抵押权,chuan'bo'di'ya'quan
船舶动态,chuan'bo'dong'tai
船舶吨位,chuan'bo'dun'wei
船舶共有,chuan'bo'gong'you
船舶国籍,chuan'bo'guo'ji
船舶经营管理,chuan'bo'jing'ying'guan'li
船舶拍卖,chuan'bo'pai'mai
船舶碰撞,chuan'bo'peng'zhuang
船舶适航,chuan'bo'shi'hang
船舶所有权,chuan'bo'suo'you'quan
船舶维修费,chuan'bo'wei'xiu'fei
船舶物料备品,chuan'bo'wu'liao'bei'pin
船舶修理,chuan'bo'xiu'li
船舶营运费用,chuan'bo'ying'yun'fei'yong
船舶优先权,chuan'bo'you'xian'quan
船舶优先权催告,chuan'bo'you'xian'quan'cui'gao
船舶占有权,chuan'bo'zhan'you'quan
船舶转让,chuan'bo'zhuan'rang
船舶租购合同,chuan'bo'zu'gou'he'tong
传达不实,chuan'da'bu'shi
船东,chuan'dong
船东互保协会,chuan'dong'hu'bao'xie'hui
船级,chuan'ji
船旗国,chuan'qi'guo
船期损失,chuan'qi'sun'shi
船期延误,chuan'qi'yan'wu
传销,chuan'xiao
船员,chuan'yuan
船员劳务合同,chuan'yuan'lao'wu'he'tong
船载货物,chuan'zai'huo'wu
船长,chuan'zhang
创意设计,chuang'yi'she'ji
创造性,chuang'zao'xing
创作,chuang'zuo
次要责任,ci'yao'ze'ren
辞职,ci'zhi
从合同,cong'he'tong
从权利,cong'quan'li
从属权利要求,cong'shu'quan'li'yao'qiu
从属专利,cong'shu'zhuan'li
从物,cong'wu
从物权,cong'wu'quan
从行为,cong'xing'wei
从债务人,cong'zhai'wu'ren
催告,cui'gao
催告期限,cui'gao'qi'xian
催告权,cui'gao'quan
存单,cun'dan
存单法律性质,cun'dan'fa'lv'xing'zhi
存单挂失,cun'dan'gua'shi
存单要件瑕疵,cun'dan'yao'jian'xia'ci
存单质押,cun'dan'zhi'ya
存根,cun'gen
存款实名制,cun'kuan'shi'ming'zhi
村民委员会,cun'min'wei'yuan'hui
存折的变造,cun'zhe'de'bian'zao
错运货物,cuo'yun'huo'wu
大副收据,da'fu'shou'ju
搭售,da'shou
代办权,dai'ban'quan
代办商,dai'ban'shang
代保管单,dai'bao'guan'dan
贷款,dai'kuan
贷款欺诈,dai'kuan'qi'zha
贷款展期,dai'kuan'zhan'qi
代理,dai'li
代理合同,dai'li'he'tong
代理权,dai'li'quan
代理权的滥用,dai'li'quan'de'lan'yong
代理权的授予,dai'li'quan'de'shou'yu
代理权的限制,dai'li'quan'de'xian'zhi
代理权的追认,dai'li'quan'de'zhui'ren
代理人,dai'li'ren
代理证书,dai'li'zheng'shu
代书遗嘱,dai'shu'yi'zhu
代替物,dai'ti'wu
代为给付,dai'wei'gei'fu
代位继承,dai'wei'ji'cheng
代为履行,dai'wei'lv'xing
代为清偿,dai'wei'qing'chang
代位清偿,dai'wei'qing'chang
代为清偿制度,dai'wei'qing'chang'zhi'du
代位求偿,dai'wei'qiu'chang
代位求偿权,dai'wei'qiu'chang'quan
代位追偿,dai'wei'zhui'chang
代物清偿,dai'wu'qing'chang
代销,dai'xiao
担保,dan'bao
担保合同,dan'bao'he'tong
担保期,dan'bao'qi
担保物权,dan'bao'wu'quan
单单相符单证相符,dan'dan'xiang'fu'dan'zheng'xiang'fu
担当付款人,dan'dang'fu'kuan'ren
单独海损,dan'du'hai'sun
单方法律行为,dan'fang'fa'lv'xing'wei
单方解除合同,dan'fang'jie'chu'he'tong
单方终止合同,dan'fang'zhong'zhi'he'tong
单务合同,dan'wu'he'tong
单证不符,dan'zheng'bu'fu
到岸价格,dao'an'jia'ge
盗版,dao'ban
盗打电话,dao'da'dian'hua
到期日,dao'qi'ri
倒签提单,dao'qian'ti'dan
导演再创作的许可范围,dao'yan'zai'chuang'zuo'de'xu'ke'fan'wei
得撤销婚姻,de'che'xiao'hun'yin
等同替代,deng'tong'ti'dai
等同物替换,deng'tong'wu'ti'huan
等同原则,deng'tong'yuan'ze
抵偿,di'chang
诋毁,di'hui
递减拍卖,di'jian'pai'mai
第三人,di'san'ren
第三人过错行为,di'san'ren'guo'cuo'xing'wei
第三人清偿,di'san'ren'qing'chang
第三者责任险,di'san'zhe'ze'ren'xian
地上权,di'shang'quan
抵销,di'xiao
抵消权,di'xiao'quan
抵押,di'ya
抵押借款合同,di'ya'jie'kuan'he'tong
抵押权的设定,di'ya'quan'de'she'ding
抵押权登记,di'ya'quan'deng'ji
抵押权登记制度,di'ya'quan'deng'ji'zhi'du
抵押物的转让,di'ya'wu'de'zhuan'rang
第一付款责任,di'yi'fu'kuan'ze'ren
地役权,di'yi'quan
缔约过失,di'yue'guo'shi
典当,dian'dang
垫付,dian'fu
电话计费,dian'hua'ji'fei
典权,dian'quan
电视作品,dian'shi'zuo'pin
电影文学剧本,dian'ying'wen'xue'ju'ben
垫资施工,dian'zi'shi'gong
雕塑作品,diao'su'zuo'pin
钓鱼式合同,diao'yu'shi'he'tong
订舱单,ding'cang'dan
定稿创作,ding'gao'chuang'zuo
定金,ding'jin
定金罚则,ding'jin'fa'ze
定期租船合同,ding'qi'zu'chuan'he'tong
定日付款,ding'ri'fu'kuan
定向募集设立,ding'xiang'mu'ji'she'li
定值保险契约,ding'zhi'bao'xian'qi'yue
定作合同,ding'zuo'he'tong
动产,dong'chan
动产质权,dong'chan'zhi'quan
冻结,dong'jie
董事会授权,dong'shi'hui'shou'quan
董事会召开程序,dong'shi'hui'zhao'kai'cheng'xu
董事解任,dong'shi'jie'ren
动物致人伤害,dong'wu'zhi'ren'shang'hai
独创性,du'chuang'xing
独立创作,du'li'chuang'zuo
独立权利要求,du'li'quan'li'yao'qiu
独立制片人,du'li'zhi'pian'ren
独占权,du'zhan'quan
独占实施许可,du'zhan'shi'shi'xu'ke
独占许可,du'zhan'xu'ke
独占许可使用,du'zhan'xu'ke'shi'yong
独占许可证,du'zhan'xu'ke'zheng
独资公司,du'zi'gong'si
短货,duan'huo
短款,duan'kuan
对比文件,dui'bi'wen'jian
对冲,dui'chong
对第三人的责任,dui'di'san'ren'de'ze'ren
对价,dui'jia
对偶婚,dui'ou'hun
对人权,dui'ren'quan
对世权,dui'shi'quan
对外贸易合同,dui'wai'mao'yi'he'tong
兑现,dui'xian
多边贸易,duo'bian'mao'yi
多式联运,duo'shi'lian'yun
恶意串通,e'yi'chuan'tong
恶意第三人,e'yi'di'san'ren
恶意透支,e'yi'tou'zhi
恶意占有,e'yi'zhan'you
二重买卖,er'chong'mai'mai
发包与承包,fa'bao'yu'cheng'bao
发表,fa'biao
发标,fa'biao
发表权,fa'biao'quan
法定财产制,fa'ding'cai'chan'zhi
法定代表人,fa'ding'dai'biao'ren
法定代理人,fa'ding'dai'li'ren
法定抵押权,fa'ding'di'ya'quan
法定婚龄,fa'ding'hun'ling
法定继承,fa'ding'ji'cheng
法定继承人,fa'ding'ji'cheng'ren
法定监护人,fa'ding'jian'hu'ren
法定监护人职责,fa'ding'jian'hu'ren'zhi'ze
法定解除,fa'ding'jie'chu
法定赔偿,fa'ding'pei'chang
法定期限,fa'ding'qi'xian
法定强制保险,fa'ding'qiang'zhi'bao'xian
法定情节,fa'ding'qing'jie
法定清算人,fa'ding'qing'suan'ren
法定许可,fa'ding'xu'ke
法定孳息,fa'ding'zi'xi
发货代理人,fa'huo'dai'li'ren
法律法规适用范围,fa'lv'fa'gui'shi'yong'fan'wei
法律适用,fa'lv'shi'yong
发明,fa'ming
发明人,fa'ming'ren
发明专利,fa'ming'zhuan'li
发明专利权,fa'ming'zhuan'li'quan
发明专利权人,fa'ming'zhuan'li'quan'ren
发盘,fa'pan
发票人,fa'piao'ren
发起设立,fa'qi'she'li
法人,fa'ren
法人代表或单位负责人的民事责任,fa'ren'dai'biao'huo'dan'wei'fu'ze'ren'de'min'shi'ze'ren
法人的变更,fa'ren'de'bian'geng
法人的成立,fa'ren'de'cheng'li
法人的合并,fa'ren'de'he'bing
法人的消灭,fa'ren'de'xiao'mie
法人的终止,fa'ren'de'zhong'zhi
法人分支机构的缔约资格,fa'ren'fen'zhi'ji'gou'de'di'yue'zi'ge
法人分支机构的民事责任承担,fa'ren'fen'zhi'ji'gou'de'min'shi'ze'ren'cheng'dan
法人股质押,fa'ren'gu'zhi'ya
法人名称权,fa'ren'ming'cheng'quan
法人名誉,fa'ren'ming'yu
法人名誉权,fa'ren'ming'yu'quan
法人清算,fa'ren'qing'suan
法人型联营,fa'ren'xing'lian'ying
法人章程,fa'ren'zhang'cheng
法条竟合,fa'tiao'jing'he
发现,fa'xian
发现权,fa'xian'quan
发现证书,fa'xian'zheng'shu
发行放映权,fa'xing'fang'ying'quan
发行权,fa'xing'quan
法域,fa'yu
反补贴税,fan'bu'tie'shui
反担保,fan'dan'bao
返还,fan'huan
返还财产,fan'huan'cai'chan
返还责任,fan'huan'ze'ren
返售,fan'shou
反向工程,fan'xiang'gong'cheng
反向交割,fan'xiang'jiao'ge
翻译作品,fan'yi'zuo'pin
反致,fan'zhi
繁种协议,fan'zhong'xie'yi
妨碍航行,fang'ai'hang'xing
方便旗,fang'bian'qi
房产变更登记,fang'chan'bian'geng'deng'ji
房产过户,fang'chan'guo'hu
房产确权,fang'chan'que'quan
房产入股,fang'chan'ru'gu
房产证,fang'chan'zheng
房地产开发企业,fang'di'chan'kai'fa'qi'ye
房地产权属登记定着物,fang'di'chan'quan'shu'deng'ji'ding'zhe'wu
房地产中介机构,fang'di'chan'zhong'jie'ji'gou
方法发明,fang'fa'fa'ming
方法专利,fang'fa'zhuan'li
妨害婚姻家庭,fang'hai'hun'yin'jia'ting
仿冒,fang'mao
放弃承包权,fang'qi'cheng'bao'quan
放弃继承权,fang'qi'ji'cheng'quan
房屋拆迁,fang'wu'chai'qian
房屋拆迁安置协议,fang'wu'chai'qian'an'zhi'xie'yi
房屋产权,fang'wu'chan'quan
房屋产权登记,fang'wu'chan'quan'deng'ji
房屋产权继承,fang'wu'chan'quan'ji'cheng
房屋产权证的注销,fang'wu'chan'quan'zheng'de'zhu'xiao
房屋代管,fang'wu'dai'guan
房屋代建,fang'wu'dai'jian
房屋抵押贷款,fang'wu'di'ya'dai'kuan
房屋共同使用权,fang'wu'gong'tong'shi'yong'quan
房屋共有,fang'wu'gong'you
房屋共有产权,fang'wu'gong'you'chan'quan
房屋过户,fang'wu'guo'hu
房屋联建,fang'wu'lian'jian
房屋买卖,fang'wu'mai'mai
房屋权属,fang'wu'quan'shu
房屋售购和回租,fang'wu'shou'gou'he'hui'zu
房屋所有权,fang'wu'suo'you'quan
房屋调配租赁使用权,fang'wu'tiao'pei'zu'lin'shi'yong'quan
房屋有限产权,fang'wu'you'xian'chan'quan
房屋预售,fang'wu'yu'shou
房屋赠与,fang'wu'zeng'yu
房屋赠予,fang'wu'zeng'yu
房屋征收,fang'wu'zheng'shou
房屋租赁,fang'wu'zu'lin
非必要共同诉讼,fei'bi'yao'gong'tong'su'song
非法借贷,fei'fa'jie'dai
非法经营,fei'fa'jing'ying
非法居间,fei'fa'ju'jian
非法侵占,fei'fa'qin'zhan
非法所得,fei'fa'suo'de
非法同居,fei'fa'tong'ju
非法占地,fei'fa'zhan'di
非法占有,fei'fa'zhan'you
非关税壁垒,fei'guan'shui'bi'lei
非关税措施,fei'guan'shui'cuo'shi
非婚生子女,fei'hun'sheng'zi'nv
非职务发明,fei'zhi'wu'fa'ming
非职务行为侵权,fei'zhi'wu'xing'wei'qin'quan
非专利技术,fei'zhuan'li'ji'shu
非专利技术转让合同,fei'zhuan'li'ji'shu'zhuan'rang'he'tong
分仓交易,fen'cang'jiao'yi
分公司,fen'gong'si
分镜头剧本,fen'jing'tou'ju'ben
分期付款买卖,fen'qi'fu'kuan'mai'mai
分摊,fen'tan
封闭公司,feng'bi'gong'si
封存,feng'cun
风险承担,feng'xian'cheng'dan
风险代理,feng'xian'dai'li
风险抵押金,feng'xian'di'ya'jin
风险负担,feng'xian'fu'dan
风险揭示声明书,feng'xian'jie'shi'sheng'ming'shu
风险责任,feng'xian'ze'ren
风险转移,feng'xian'zhuan'yi
复保险,fu'bao'xian
复代理,fu'dai'li
附合,fu'he
附加盗窃险特殊条款,fu'jia'dao'qie'xian'te'shu'tiao'kuan
附加险,fu'jia'xian
复进口,fu'jin'kou
付款请求权,fu'kuan'qing'qiu'quan
付款人,fu'kuan'ren
付款赎单,fu'kuan'shu'dan
付款委托,fu'kuan'wei'tuo
父母子女关系,fu'mu'zi'nv'guan'xi
妇女权益保障,fu'nv'quan'yi'bao'zhang
夫妻财产关系,fu'qi'cai'chan'guan'xi
夫妻财产制,fu'qi'cai'chan'zhi
夫妻代理权,fu'qi'dai'li'quan
夫妻感情破裂,fu'qi'gan'qing'po'lie
夫妻共同财产,fu'qi'gong'tong'cai'chan
夫妻共同财产处分,fu'qi'gong'tong'cai'chan'chu'fen
夫妻共同财产分割,fu'qi'gong'tong'cai'chan'fen'ge
夫妻共同债务认定,fu'qi'gong'tong'zhai'wu'ren'ding
夫妻关系,fu'qi'guan'xi
夫妻人身关系,fu'qi'ren'shen'guan'xi
附期限的法律行为,fu'qi'xian'de'fa'lv'xing'wei
夫妻住所,fu'qi'zhu'suo
附属的法律行为,fu'shu'de'fa'lv'xing'wei
附随义务,fu'sui'yi'wu
附条件背书,fu'tiao'jian'bei'shu
附条件的民事法律行为,fu'tiao'jian'de'min'shi'fa'lv'xing'wei
服务贸易,fu'wu'mao'yi
服务商标,fu'wu'shang'biao
服务瑕疵,fu'wu'xia'ci
抚恤费,fu'xu'fei
扶养,fu'yang
抚养费,fu'yang'fei
抚养费的承担,fu'yang'fei'de'cheng'dan
抚养关系变更,fu'yang'guan'xi'bian'geng
扶养继承协议,fu'yang'ji'cheng'xie'yi
抚养能力,fu'yang'neng'li
复议,fu'yi
复制,fu'zhi
复制发行,fu'zhi'fa'xing
复制权,fu'zhi'quan
改编,gai'bian
改编播放,gai'bian'bo'fang
改编作品,gai'bian'zuo'pin
概括规定,gai'kuo'gui'ding
港口费,gang'kou'fei
港口合同,gang'kou'he'tong
港口作业,gang'kou'zuo'ye
稿酬,gao'chou
高度危险,gao'du'wei'xian
高利贷,gao'li'dai
告诉才处理,gao'su'cai'chu'li
高息揽存,gao'xi'lan'cun
告之,gao'zhi
告知,gao'zhi
个人合伙,ge'ren'he'huo
个人经营,ge'ren'jing'ying
个人再创作,ge'ren'zai'chuang'zuo
个人主页,ge'ren'zhu'ye
格式合同,ge'shi'he'tong
个体工商户,ge'ti'gong'shang'hu
搁置物,ge'zhi'wu
给付,gei'fu
根本违约,gen'ben'wei'yue
工程质量,gong'cheng'zhi'liang
供电合同,gong'dian'he'tong
公法人,gong'fa'ren
公房转租,gong'fang'zhuan'zu
公共利益,gong'gong'li'yi
公共政策,gong'gong'zheng'ce
公共秩序,gong'gong'zhi'xu
公共秩序保留,gong'gong'zhi'xu'bao'liu
工会财产所有权,gong'hui'cai'chan'suo'you'quan
公积金,gong'ji'jin
公民,gong'min
公平,gong'ping
公平交易权,gong'ping'jiao'yi'quan
公平竞争,gong'ping'jing'zheng
公平责任,gong'ping'ze'ren
工伤,gong'shang
工伤抚恤,gong'shang'fu'xu
工商营业执照,gong'shang'ying'ye'zhi'zhao
公示公信原则,gong'shi'gong'xin'yuan'ze
公示所有权人和实际所有权人,gong'shi'suo'you'quan'ren'he'shi'ji'suo'you'quan'ren
供水合同,gong'shui'he'tong
公司,gong'si
公司办事处的法律地位,gong'si'ban'shi'chu'de'fa'lv'di'wei
公司重整,gong'si'chong'zheng
公司代表,gong'si'dai'biao
公司登记,gong'si'deng'ji
公司分立,gong'si'fen'li
公司负责人,gong'si'fu'ze'ren
公司公告,gong'si'gong'gao
公司合并,gong'si'he'bing
公司监督,gong'si'jian'du
公司解散,gong'si'jie'san
公司经理人,gong'si'jing'li'ren
公司名称,gong'si'ming'cheng
公司能力,gong'si'neng'li
公司清算,gong'si'qing'suan
公司设立责任,gong'si'she'li'ze'ren
公司型基金,gong'si'xing'ji'jin
公司债,gong'si'zhai
公司债募集责任,gong'si'zhai'mu'ji'ze'ren
公司债券,gong'si'zhai'quan
公司章程,gong'si'zhang'cheng
公司住所,gong'si'zhu'suo
共同财产,gong'tong'cai'chan
共同承运人,gong'tong'cheng'yun'ren
共同创作人,gong'tong'chuang'zuo'ren
共同代理,gong'tong'dai'li
共同担保,gong'tong'dan'bao
共同抵押,gong'tong'di'ya
共同发明人,gong'tong'fa'ming'ren
共同共有,gong'tong'gong'you
共同过错责任,gong'tong'guo'cuo'ze'ren
共同海损,gong'tong'hai'sun
共同海损分摊,gong'tong'hai'sun'fen'tan
共同海损理算,gong'tong'hai'sun'li'suan
共同继承,gong'tong'ji'cheng
共同加害行为,gong'tong'jia'hai'xing'wei
共同居住权,gong'tong'ju'zhu'quan
共同居住人,gong'tong'ju'zhu'ren
共同侵权,gong'tong'qin'quan
共同危险行为,gong'tong'wei'xian'xing'wei
共同遗嘱,gong'tong'yi'zhu
共同责任,gong'tong'ze'ren
共同债务,gong'tong'zhai'wu
共同占有,gong'tong'zhan'you
共同专利权人,gong'tong'zhuan'li'quan'ren
工业产权,gong'ye'chan'quan
公益法人,gong'yi'fa'ren
公益金,gong'yi'jin
公益信托,gong'yi'xin'tuo
供应合同,gong'ying'he'tong
公用企业,gong'yong'qi'ye
公用物,gong'yong'wu
公有,gong'you
共有,gong'you
共有财产分割,gong'you'cai'chan'fen'ge
公有房屋承租使用权,gong'you'fang'wu'cheng'zu'shi'yong'quan
公有技术,gong'you'ji'shu
公有住宅租赁合同,gong'you'zhu'zhai'zu'lin'he'tong
公债,gong'zhai
公证,gong'zheng
公证财物,gong'zheng'cai'wu
公证遗嘱,gong'zheng'yi'zhu
公知技术,gong'zhi'ji'shu
购买假种子,gou'mai'jia'zhong'zi
购销合同,gou'xiao'he'tong
股东,gu'dong
股东出资,gu'dong'chu'zi
股东大会,gu'dong'da'hui
股东代表大会,gu'dong'dai'biao'da'hui
股东代表会议,gu'dong'dai'biao'hui'yi
股东代位诉讼,gu'dong'dai'wei'su'song
股东名册,gu'dong'ming'ce
股东凭证,gu'dong'ping'zheng
股东权利,gu'dong'quan'li
股份,gu'fen
股份共有,gu'fen'gong'you
