阿魏,a'wei
煅牡蛎,duan'mu'li
煅青礞石,duan'qing'meng'shi
煅石膏,duan'shi'gao
断血流,duan'xue'liu
煅禹余粮,duan'yu'yu'liang
煅皂矾,duan'zao'fan
锻珍珠母,duan'zhen'zhu'mu
锻钟乳石,duan'zhong'ru'shi
煅紫石英,duan'zi'shi'ying
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
阿胶珠,e'jiao'zhu
莪术,e'zhu
儿茶,er'cha
法半夏,fa'ban'xia
翻白草,fan'bai'cao
番泻叶,fan'xie'ye
防风,fang'feng
防己,fang'ji
飞扬草,fei'yang'cao
榧子,fei'zi
粉萆薢,fen'bi'xie
粉葛,fen'ge
蜂房,feng'fang
蜂胶,feng'jiao
蜂蜡,feng'la
蜂蜜,feng'mi
枫香脂,feng'xiang'zhi
佛手,fo'shou
麸炒苍术,fu'chao'cang'zhu
麸炒芡实,fu'chao'qian'shi
麸炒薏苡仁,fu'chao'yi'yi'ren
麸炒枳壳,fu'chao'zhi'ke
麸炒枳实,fu'chao'zhi'shi
茯苓,fu'ling
茯苓皮,fu'ling'pi
覆盆子,fu'pen'zi
附片,fu'pian
浮萍,fu'ping
蝮蛇,fu'she
麸煨肉豆蔻,fu'wei'rou'dou'kou
附子,fu'zi
甘草,gan'cao
干姜,gan'jiang
干漆,gan'qi
干石斛,gan'shi'hu
甘松,gan'song
甘遂,gan'sui
干益母草,gan'yi'mu'cao
干鱼腥草,gan'yu'xing'cao
杠板归,gang'ban'gui
藁本,gao'ben
藁本片,gao'ben'pian
高良姜,gao'liang'jiang
高山辣根菜,gao'shan'la'gen'cai
葛根,ge'gen
蛤蚧,ge'jie
蛤壳,ge'ke
各种动物鞭,ge'zhong'dong'wu'bian
各种动物骨,ge'zhong'dong'wu'gu
各种动物筋,ge'zhong'dong'wu'jin
各种动物胎,ge'zhong'dong'wu'tai
各种动物尾,ge'zhong'dong'wu'wei
功劳木,gong'lao'mu
狗宝,gou'bao
枸骨叶,gou'gu'ye
狗脊,gou'ji
枸杞子,gou'qi'zi
钩藤,gou'teng
谷精草,gu'jing'cao
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌子,gua'lou'zi
瓜子金,gua'zi'jin
管花肉苁蓉片,guan'hua'rou'cong'rong'pian
关黄柏,guan'huang'bai
关黄柏炭,guan'huang'bai'tan
贯叶金丝桃,guan'ye'jin'si'tao
广东紫珠,guang'dong'zi'zhu
广藿香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
广枣,guang'zao
龟甲,gui'jia
龟甲胶,gui'jia'jiao
桂枝,gui'zhi
哈蟆油,ha'ma'you
海风藤,hai'feng'teng
海金沙,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海藻,hai'zao
合欢花,he'huan'hua
合欢皮,he'huan'pi
鹤虱,he'shi
何首乌,he'shou'wu
核桃仁,he'tao'ren
荷叶,he'ye
荷叶炭,he'ye'tan
诃子,he'zi
诃子肉,he'zi'rou
黑豆,hei'dou
黑芝麻,hei'zhi'ma
黑种草子,hei'zhong'cao'zi
红大戟,hong'da'ji
红豆蔻,hong'dou'kou
红粉,hong'fen
红花,hong'hua
红景天,hong'jing'tian
洪连,hong'lian
红芪,hong'qi
红参,hong'shen
厚朴,hou'pu
厚朴花,hou'pu'hua
猴枣,hou'zao
湖北贝母,hu'bei'bei'mu
胡黄连,hu'huang'lian
槲寄生,hu'ji'sheng
胡椒,hu'jiao
胡芦巴,hu'lu'ba
琥珀,hu'po
胡桃仁,hu'tao'ren
虎杖,hu'zhang
花椒,hua'jiao
化橘红,hua'ju'hong
花蕊石,hua'rui'shi
华山参,hua'shan'can
滑石,hua'shi
滑石粉,hua'shi'fen
槐花,huai'hua
槐花炭,huai'hua'tan
槐角,huai'jiao
黄柏,huang'bai
黄柏炭,huang'bai'tan
黄黑小斑蝥,huang'hei'xiao'ban'mao
黄芥子,huang'jie'zi
黄精,huang'jing
黄连,huang'lian
黄连片,huang'lian'pian
黄芪,huang'qi
黄芩,huang'qin
黄芩片,huang'qin'pian
黄山药,huang'shan'yao
黄蜀葵花,huang'shu'kui'hua
黄藤,huang'teng
火麻仁,huo'ma'ren
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
鸡冠花炭,ji'guan'hua'tan
蒺藜,ji'li
鸡内金,ji'nei'jin
急性子,ji'xing'zi
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
姜半夏,jiang'ban'xia
僵蚕,jiang'can
姜草果仁,jiang'cao'guo'ren
姜厚朴,jiang'hou'pu
姜黄,jiang'huang
姜黄连,jiang'huang'lian
降香,jiang'xiang
姜竹茹,jiang'zhu'ru
焦槟榔,jiao'bing'lang
焦稻芽,jiao'dao'ya
焦谷芽,jiao'gu'ya
焦麦芽,jiao'mai'ya
焦栀子,jiao'zhi'zi
桔梗,jie'geng
芥子,jie'zi
锦灯笼,jin'deng'long
金沸草,jin'fei'cao
筋骨草,jin'gu'cao
金果榄,jin'guo'lan
金龙胆草,jin'long'dan'cao
金礞石,jin'meng'shi
金钱白花蛇,jin'qian'bai'hua'she
金钱草,jin'qian'cao
金荞麦,jin'qiao'mai
金铁锁,jin'tie'suo
金银花,jin'yin'hua
金樱子,jin'ying'zi
金樱子肉,jin'ying'zi'rou
京大戟,jing'da'ji
荆芥,jing'jie
荆芥穗,jing'jie'sui
荆芥穗炭,jing'jie'sui'tan
荆芥炭,jing'jie'tan
净山楂,jing'shan'zha
救必应,jiu'bi'ying
韭菜子,jiu'cai'zi
酒苁蓉,jiu'cong'rong
酒当归,jiu'dang'gui
酒蛤蚧,jiu'ge'jie
酒黄精,jiu'huang'jing
酒黄连,jiu'huang'lian
九里香,jiu'li'xiang
酒蕲蛇,jiu'qi'she
酒蛇蜕,jiu'she'tui
酒乌梢蛇,jiu'wu'shao'she
酒豨莶草,jiu'xi'xian'cao
九香虫,jiu'xiang'chong
酒续断,jiu'xu'duan
酒制蜂胶,jiu'zhi'feng'jiao
橘核,ju'he
橘红,ju'hong
菊花,ju'hua
菊苣,ju'ju
卷柏,juan'bai
卷柏炭,juan'bai'tan
决明子,jue'ming'zi
榼藤子,ke'teng'zi
苦地丁,ku'di'ding
苦楝皮,ku'lian'pi
苦木,ku'mu
苦参,ku'shen
苦杏仁,ku'xing'ren
苦玄参,ku'xuan'shen
款冬花,kuan'dong'hua
昆布,kun'bu
辣椒,la'jiao
莱菔子,lai'fu'zi
蓝布正,lan'bu'zheng
狼毒,lang'du
老鹳草,lao'guan'cao
雷丸,lei'wan
荔枝核,li'zhi'he
莲房,lian'fang
莲房炭,lian'fang'tan
连钱草,lian'qian'cao
连翘,lian'qiao
莲须,lian'xu
莲子,lian'zi
莲子心,lian'zi'xin
两面针,liang'mian'zhen
两头尖,liang'tou'jian
蓼大青叶,liao'da'qing'ye
辽藁本片,liao'gao'ben'pian
凌霄花,ling'xiao'hua
羚羊角,ling'yang'jiao
羚羊角镑片,ling'yang'jiao'bang'pian
羚羊角粉,ling'yang'jiao'fen
羚羊角尖粉,ling'yang'jiao'jian'fen
灵芝,ling'zhi
硫黄,liu'huang
龙胆,long'dan
龙脷叶,long'li'ye
龙眼肉,long'yan'rou
漏芦,lou'lu
炉甘石,lu'gan'shi
芦根,lu'gen
芦荟,lu'hui
鹿角,lu'jiao
鹿角胶,lu'jiao'jiao
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿茸,lu'rong
鹿茸粉,lu'rong'fen
鹿茸片,lu'rong'pian
鹿衔草,lu'xian'cao
罗布麻叶,luo'bu'ma'ye
罗汉果,luo'han'guo
络石藤,luo'shi'teng
绿豆,lv'dou
马宝,ma'bao
马鞭草,ma'bian'cao
马勃,ma'bo
马齿苋,ma'chi'xian
马兜铃,ma'dou'ling
麻黄,ma'huang
麻黄根,ma'huang'gen
玛瑙,ma'nao
马钱子,ma'qian'zi
马钱子粉,ma'qian'zi'fen
麦冬,mai'dong
麦芽,mai'ya
蔓荆子,man'jing'zi
满山红,man'shan'hong
芒硝,mang'xiao
毛诃子,mao'he'zi
猫爪草,mao'zhao'cao
玫瑰花,mei'gui'hua
梅花,mei'hua
没药,mei'yao
蜜百部,mi'bai'bu
蜜百合,mi'bai'he
米斑蝥,mi'ban'mao
蜜槐角,mi'huai'jiao
蜜款冬花,mi'kuan'dong'hua
密麻黄,mi'ma'huang
密蒙花,mi'meng'hua
蜜枇杷叶,mi'pi'pa'ye
蜜钱胡,mi'qian'hu
蜜桑白皮,mi'sang'bai'pi
蜜旋覆花,mi'xuan'fu'hua
蜜罂粟壳,mi'ying'su'ke
蜜紫菀,mi'zi'wan
绵萆薢,mian'bi'xie
绵马贯众,mian'ma'guan'zhong
绵马贯众炭,mian'ma'guan'zhong'tan
明党参,ming'dang'shen
墨旱莲,mo'han'lian
木鳖子,mu'bie'zi
牡丹皮,mu'dan'pi
母丁香,mu'ding'xiang
木瓜,mu'gua
木蝴蝶,mu'hu'die
牡荆叶,mu'jing'ye
牡蛎,mu'li
木棉花,mu'mian'hua
木通,mu'tong
木香,mu'xiang
木贼,mu'zei
南板蓝根,nan'ban'lan'gen
南柴胡,nan'chai'hu
南方大斑蝥,nan'fang'da'ban'mao
南瓜子,nan'gua'zi
南鹤虱,nan'he'shi
南沙参,nan'sha'shen
南五味子,nan'wu'wei'zi
闹羊花,nao'yang'hua
内蒙紫草,nei'meng'zi'cao
内蒙紫草切片,nei'meng'zi'cao'qie'pian
牛蒡子,niu'bang'zi
牛黄,niu'huang
牛膝,niu'xi
女贞子,nv'zhen'zi
藕节,ou'jie
藕节炭,ou'jie'tan
胖大海,pang'da'hai
炮附片,pao'fu'pian
炮姜,pao'jiang
炮山甲,pao'shan'jia
佩兰,pei'lan
枇杷叶,pi'pa'ye
片姜黄,pian'jiang'huang
平贝母,ping'bei'mu
蒲公英,pu'gong'ying
蒲黄,pu'huang
蒲黄炭,pu'huang'tan
蕲蛇,qi'she
蕲蛇肉,qi'she'rou
茜草,qian'cao
茜草炭,qian'cao'tan
前胡,qian'hu
千金子,qian'jin'zi
千金子霜,qian'jin'zi'shuang
千里光,qian'li'guang
千年健,qian'nian'jian
牵牛子,qian'niu'zi
芡实,qian'shi
羌活,qiang'huo
秦艽,qin'jiao
秦皮,qin'pi
清半夏,qing'ban'xia
青黛,qing'dai
轻粉,qing'fen
青风藤,qing'feng'teng
青果,qing'guo
青蒿,qing'hao
苘麻子,qing'ma'zi
青礞石,qing'meng'shi
青皮,qing'pi
青葙子,qing'xiang'zi
青叶胆,qing'ye'dan
瞿麦,qu'mai
拳参,quan'can
全蝎,quan'xie
忍冬藤,ren'dong'teng
人工牛黄,ren'gong'niu'huang
人参,ren'shen
人参叶,ren'shen'ye
肉苁蓉,rou'cong'rong
肉苁蓉片,rou'cong'rong'pian
肉豆蔻,rou'dou'kou
肉桂,rou'gui
乳香,ru'xiang
蕤仁,rui'ren
三白草,san'bai'cao
三棵针,san'ke'zhen
三颗针,san'ke'zhen
三棱,san'leng
三七,san'qi
三七粉,san'qi'fen
桑白皮,sang'bai'pi
桑寄生,sang'ji'sheng
桑螵蛸,sang'piao'xiao
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
沙棘,sha'ji
砂仁,sha'ren
沙苑子,sha'yuan'zi
山慈菇,shan'ci'gu
山豆根,shan'dou'gen
珊瑚,shan'hu
山麦冬,shan'mai'dong
山柰,shan'nai
山香圆叶,shan'xiang'yuan'ye
山药,shan'yao
山银花,shan'yin'hua
山萸肉,shan'yu'rou
山楂,shan'zha
山楂叶,shan'zha'ye
山茱萸,shan'zhu'yu
商陆,shang'lu
蛇床子,she'chuang'zi
射干,she'gan
蛇蜕,she'tui
麝香,she'xiang
伸筋草,shen'jin'cao
生巴豆,sheng'ba'dou
生斑蝥,sheng'ban'mao
生半夏,sheng'ban'xia
生草乌,sheng'cao'wu
生川乌,sheng'chuan'wu
生甘遂,sheng'gan'sui
生姜,sheng'jiang
生狼毒,sheng'lang'du
升麻,sheng'ma
生马钱子,sheng'ma'qian'zi
生蒲黄,sheng'pu'huang
生晒参,sheng'shai'shen
生商陆,sheng'shang'lu
生石膏,sheng'shi'gao
生天南星,sheng'tian'nan'xing
蓍草,shi'cao
石菖蒲,shi'chang'pu
柿蒂,shi'di
石吊兰,shi'diao'lan
石膏,shi'gao
石斛,shi'hu
石决明,shi'jue'ming
使君子,shi'jun'zi
使君子仁,shi'jun'zi'ren
石榴皮,shi'liu'pi
石韦,shi'wei
首乌藤,shou'wu'teng
熟地黄,shu'di'huang
水飞蓟,shui'fei'ji
水红花子,shui'hong'hua'zi
水牛角,shui'niu'jiao
水蛭,shui'zhi
丝瓜络,si'gua'luo
四季青,si'ji'qing
松花粉,song'hua'fen
苏合香,su'he'xiang
苏木,su'mu
酸枣仁,suan'zao'ren
娑罗子,suo'luo'zi
锁阳,suo'yang
太子参,tai'zi'shen
檀香,tan'xiang
烫狗脊,tang'gou'ji
烫骨碎补,tang'gu'sui'bu
烫水蛭,tang'shui'zhi
桃仁,tao'ren
桃枝,tao'zhi
体外培育牛黄,ti'wai'pei'yu'niu'huang
天冬,tian'dong
甜瓜子,tian'gua'zi
天花粉,tian'hua'fen
天葵子,tian'kui'zi
天麻,tian'ma
天南星,tian'nan'xing
天山雪莲,tian'shan'xue'lian
天仙藤,tian'xian'teng
天仙子,tian'xian'zi
甜杏仁,tian'xing'ren
天竺黄,tian'zhu'huang
条叶旋覆花,tiao'ye'xuan'fu'hua
铁皮石斛,tie'pi'shi'hu
葶苈子,ting'li'zi
通草,tong'cao
通关藤,tong'guan'teng
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土茯苓,tu'fu'ling
土荆皮,tu'jing'pi
土木香,tu'mu'xiang
菟丝子,tu'si'zi
瓦楞子,wa'leng'zi
瓦松,wa'song
王不留行,wang'bu'liu'xing
委陵菜,wei'ling'cai
威灵仙,wei'ling'xian
五倍子,wu'bei'zi
蜈蚣,wu'gong
五加皮,wu'jia'pi
乌梅,wu'mei
乌梅肉,wu'mei'rou
乌梅炭,wu'mei'tan
巫山淫羊藿,wu'shan'yin'yang'huo
乌梢蛇,wu'shao'she
乌梢蛇肉,wu'shao'she'rou
五味子,wu'wei'zi
乌药,wu'yao
吴茱萸,wu'zhu'yu
西瓜霜,xi'gua'shuang
西河柳,xi'he'liu
西红花,xi'hong'hua
菥蓂,xi'mi
西青果,xi'qing'guo
豨莶草,xi'xian'cao
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
夏天无,xia'tian'wu
鲜白茅根,xian'bai'mao'gen
仙鹤草,xian'he'cao
鲜芦根,xian'lu'gen
仙茅,xian'mao
鲜石斛,xian'shi'hu
鲜益母草,xian'yi'mu'cao
鲜鱼腥草,xian'yu'xing'cao
香附,xiang'fu
香加皮,xiang'jia'pi
香薷,xiang'ru
香橼,xiang'yuan
小驳骨,xiao'bo'gu
小茴香,xiao'hui'xiang
小蓟,xiao'ji
小通草,xiao'tong'cao
小叶莲,xiao'ye'lian
薤白,xie'bai
新疆紫草,xin'jiang'zi'cao
新疆紫草切片,xin'jiang'zi'cao'qie'pian
辛夷,xin'yi
雄黄,xiong'huang
雄黄粉,xiong'huang'fen
徐长卿,xu'chang'qing
续断,xu'duan
续断片,xu'duan'pian
旋覆花,xuan'fu'hua
玄明粉,xuan'ming'fen
玄参,xuan'shen
血竭,xue'jie
血余炭,xue'yu'tan
鸦胆子,ya'dan'zi
亚麻子,ya'ma'zi
鸭跖草,ya'zhi'cao
盐巴戟天,yan'ba'ji'tian
盐补骨脂,yan'bu'gu'zhi
盐杜仲,yan'du'zhong
盐关黄柏,yan'guan'huang'bai
盐胡芦巴,yan'hu'lu'ba
盐黄柏,yan'huang'bai
盐韭菜子,yan'jiu'cai'zi
盐橘核,yan'ju'he
盐菟丝子,yan'tu'si'zi
燕窝,yan'wo
盐益智仁,yan'yi'zhi'ren
盐泽泻,yan'ze'xie
盐知母,yan'zhi'mu
洋金花,yang'jin'hua
野菊花,ye'ju'hua
野马追,ye'ma'zhui
野木瓜,ye'mu'gua
野山参,ye'shan'shen
伊贝母,yi'bei'mu
益母草,yi'mu'cao
移山参,yi'shan'can
翼首草,yi'shou'cao
饴糖,yi'tang
薏苡仁,yi'yi'ren
益智,yi'zhi
一枝黄花,yi'zhi'huang'hua
益智仁,yi'zhi'ren
银柴胡,yin'chai'hu
茵陈,yin'chen
银杏叶,yin'xing'ye
淫羊藿,yin'yang'huo
罂粟壳,ying'su'ke
油松节,you'song'jie
余甘子,yu'gan'zi
萸黄连,yu'huang'lian
郁金,yu'jin
郁李仁,yu'li'ren
鱼腥草,yu'xing'cao
禹余粮,yu'yu'liang
预知子,yu'zhi'zi
禹州漏芦,yu'zhou'lou'lu
玉竹,yu'zhu
芫花,yuan'hua
远志,yuan'zhi
月季花,yue'ji'hua
云芝,yun'zhi
皂角刺,zao'jiao'ci
泽兰,ze'lan
泽泻,ze'xie
浙贝母,zhe'bei'mu
赭石,zhe'shi
珍珠,zhen'zhu
珍珠粉,zhen'zhu'fen
珍珠母,zhen'zhu'mu
制巴戟天,zhi'ba'ji'tian
制草乌,zhi'cao'wu
制川乌,zhi'chuan'wu
炙甘草,zhi'gan'cao
制何首乌,zhi'he'shou'wu
炙红芪,zhi'hong'qi
炙黄芪,zhi'huang'qi
枳壳,zhi'ke
制硫黄,zhi'liu'huang
知母,zhi'mu
枳实,zhi'shi
制天南星,zhi'tian'nan'xing
炙巫山淫羊藿,zhi'wu'shan'yin'yang'huo
制吴茱萸,zhi'wu'zhu'yu
炙淫羊藿,zhi'yin'yang'huo
制远志,zhi'yuan'zhi
蜘蛛香,zhi'zhu'xiang
栀子,zhi'zi
肿节风,zhong'jie'feng
钟乳石,zhong'ru'shi
猪胆粉,zhu'dan'fen
竹节参,zhu'jie'can
猪苓,zhu'ling
竹茹,zhu'ru
朱砂,zhu'sha
朱砂粉,zhu'sha'fen
朱砂根,zhu'sha'gen
猪牙皂,zhu'ya'zao
珠子参,zhu'zi'can
紫草,zi'cao
紫河车,zi'he'che
紫花地丁,zi'hua'di'ding
紫花前胡,zi'hua'qian'hu
紫萁贯众,zi'qi'guan'zhong
自然铜,zi'ran'tong
紫石英,zi'shi'ying
紫苏,zi'su
紫苏梗,zi'su'geng
紫苏叶,zi'su'ye
紫苏子,zi'su'zi
紫菀,zi'wan
紫珠叶,zi'zhu'ye
棕榈,zong'lv
