阿鼻地狱,a'bi'di'yu
腥闻在上,xing'wen'zai'shang
凶喘肤汗,xiong'chuan'fu'han
休明盛世,xiu'ming'sheng'shi
虚晃一枪,xu'huang'yi'qiang
喧宾夺主,xuan'bin'duo'zhu
悬灯结彩,xuan'deng'jie'cai
悬壶问世,xuan'hu'wen'shi
玄酒瓠脯,xuan'jiu'hu'fu
血海深仇,xue'hai'shen'chou
穴居野处,xue'ju'ye'chu
削木为吏,xue'mu'wei'li
学然后知不足教然后知困,xue'ran'hou'zhi'bu'zu'jiao'ran'hou'zhi'kun
寻根究底,xun'gen'jiu'di
寻花问柳,xun'hua'wen'liu
牙白口清,ya'bai'kou'qing
烟波钓徒,yan'bo'diao'tu
眼不见心不烦,yan'bu'jian'xin'bu'fan
延颈鹤望,yan'jing'he'wang
厌难折冲,yan'nan'zhe'chong
奄奄一息,yan'yan'yi'xi
妍姿艳质,yan'zi'yan'zhi
仰不愧天,yang'bu'kui'tian
扬长避短,yang'chang'bi'duan
阳春白雪,yang'chun'bai'xue
养家活口,yang'jia'huo'kou
养痈成患,yang'yong'cheng'huan
姚黄魏紫,yao'huang'wei'zi
幺麽小丑,yao'mo'xiao'chou
夭桃秾李,yao'tao'nong'li
遥遥无期,yao'yao'wu'qi
叶公好龙,ye'gong'hao'long
业精于勤,ye'jing'yu'qin
一把死拿,yi'ba'si'na
以暴易暴,yi'bao'yi'bao
衣被群生,yi'bei'qun'sheng
义薄云天,yi'bo'yun'tian
遗臭万年,yi'chou'wan'nian
一分为二,yi'fen'wei'er
蚁封穴雨,yi'feng'xue'yu
一狐之腋,yi'hu'zhi'ye
宜家宜室,yi'jia'yi'shi
仪静体闲,yi'jing'ti'xian
一决雌雄,yi'jue'ci'xiong
一刻千金,yi'ke'qian'jin
以狸饵鼠,yi'li'er'shu
以力服人,yi'li'fu'ren
意马心猿,yi'ma'xin'yuan
一鸣惊人,yi'ming'jing'ren
一木难支,yi'mu'nan'zhi
一石二鸟,yi'shi'er'niao
一世龙门,yi'shi'long'men
一事无成,yi'shi'wu'cheng
一弹指顷,yi'tan'zhi'qing
一网打尽,yi'wang'da'jin
一泻千里,yi'xie'qian'li
伊于胡底,yi'yu'hu'di
瘗玉埋香,yi'yu'mai'xiang
一之谓甚,yi'zhi'wei'shen
以子之矛攻子之盾,yi'zi'zhi'mao'gong'zi'zhi'dun
因材施教,yin'cai'shi'jiao
阴差阳错,yin'cha'yang'cuo
寅吃卯粮,yin'chi'mao'liang
引而不发,yin'er'bu'fa
引虎自卫,yin'hu'zi'wei
饮马投钱,yin'ma'tou'qian
因事制宜,yin'shi'zhi'yi
莺俦燕侣,ying'chou'yan'lv
迎风待月,ying'feng'dai'yue
盈科后进,ying'ke'hou'jin
郢书燕说,ying'shu'yan'shuo
英雄气短,ying'xiong'qi'duan
游辞巧饰,you'ci'qiao'shi
有过之无不及,you'guo'zhi'wu'bu'ji
游目骋怀,you'mu'cheng'huai
褎然举首,you'ran'ju'shou
又弱一个,you'ruo'yi'ge
尤物移人,you'wu'yi'ren
忧心如捣,you'xin'ru'dao
有一得一,you'yi'de'yi
有朝一日,you'zhao'yi'ri
有枝添叶,you'zhi'tian'ye
右传之八章,you'zhuan'zhi'ba'zhang
鹬蚌持争渔翁得利,yu'bang'chi'zheng'yu'weng'de'li
余波未平,yu'bo'wei'ping
愚不可及,yu'bu'ke'ji
玉不琢不成器,yu'bu'zhuo'bu'cheng'qi
雨打风吹,yu'da'feng'chui
鱼贯而行,yu'guan'er'xing
与虎谋皮,yu'hu'mou'pi
狱货非宝,yu'huo'fei'bao
纡青拖紫,yu'qing'tuo'zi
予取予求,yu'qu'yu'qiu
与世沉浮,yu'shi'chen'fu
浴血奋战,yu'xue'fen'zhan
玉叶金枝,yu'ye'jin'zhi
沅茞澧兰,yuan'chen'li'lan
远见卓识,yuan'jian'zhuo'shi
圆孔方木,yuan'kong'fang'mu
冤有头债有主,yuan'you'tou'zhai'you'zhu
源源不断,yuan'yuan'bu'duan
月白风清,yue'bai'feng'qing
跃马弯弓,yue'ma'wan'gong
月下花前,yue'xia'hua'qian
云程发轫,yun'cheng'fa'ren
杂乱无章,za'luan'wu'zhang
皂白不分,zao'bai'bu'fen
择肥而噬,ze'fei'er'shi
毡袜裹脚靴,zhan'wa'guo'jiao'xue
张敞画眉,zhang'chang'hua'mei
仗马寒蝉,zhang'ma'han'chan
照本宣科,zhao'ben'xuan'ke
招降纳叛,zhao'xiang'na'pan
阵马风樯,zhen'ma'feng'qiang
真赃实犯,zhen'zang'shi'fan
正本清源,zheng'ben'qing'yuan
政以贿成,zheng'yi'hui'cheng
知白守黑,zhi'bai'shou'hei
执鞭随蹬,zhi'bian'sui'deng
织楚成门,zhi'chu'cheng'men
只此一家别无分店,zhi'ci'yi'jia'bie'wu'fen'dian
知法犯法,zhi'fa'fan'fa
支离破碎,zhi'li'po'sui
知人之明,zhi'ren'zhi'ming
助边输财,zhu'bian'shu'cai
妆嫫费黛,zhuang'mo'fei'dai
壮士解腕,zhuang'shi'jie'wan
追奔逐北,zhui'ben'zhu'bei
坠茵落溷,zhui'yin'luo'hun
灼艾分痛,zhuo'ai'fen'tong
擢发难数,zhuo'fa'nan'shu
拙口钝腮,zhuo'kou'dun'sai
斫轮老手,zhuo'lun'lao'shou
自拔来归,zi'ba'lai'gui
自给自足,zi'ji'zi'zu
趑趄不前,zi'ju'bu'qian
自觉自愿,zi'jue'zi'yuan
资深望重,zi'shen'wang'zhong
子虚乌有,zi'xu'wu'you
自贻伊戚,zi'yi'yi'qi
罪不可逭,zui'bu'ke'huan
作壁上观,zuo'bi'shang'guan
坐不垂堂,zuo'bu'chui'tang
坐吃山崩,zuo'chi'shan'beng
坐地分赃,zuo'di'fen'zang
