爱星,ai'xing
庚午辛未路旁土,geng'wu'xin'wei'lu'pang'tu
庚辛五鬼灾害重,geng'xin'wu'gui'zai'hai'zhong
庚戌,geng'xu
庚戌辛亥钗钏金,geng'xu'xin'hai'chai'chuan'jin
庚养在辰,geng'yang'zai'chen
庚寅,geng'yin
庚寅辛卯松柏木,geng'yin'xin'mao'song'bai'mu
庚猪辛鼠壬逢虎,geng'zhu'xin'shu'ren'feng'hu
庚子,geng'zi
庚子辛丑壁上土,geng'zi'xin'chou'bi'shang'tu
拱局,gong'ju
宫位,gong'wei
勾绞星,gou'jiao'xing
孤残煞,gu'can'sha
孤辰,gu'chen
寡妻煞,gua'qi'sha
寡宿,gua'su
冠带,guan'dai
冠带三个临官四,guan'dai'san'ge'lin'guan'si
冠带星,guan'dai'xing
鳏夫煞,guan'fu'sha
官运,guan'yun
癸病在酉,gui'bing'zai'you
癸长生在卯,gui'chang'sheng'zai'mao
癸丑,gui'chou
癸帝旺在亥,gui'di'wang'zai'hai
鬼符,gui'fu
鬼谷子,gui'gu'zi
癸冠带在丑,gui'guan'dai'zai'chou
癸亥,gui'hai
癸甲,gui'jia
癸绝在午,gui'jue'zai'wu
鬼空煞,gui'kong'sha
癸临官在子,gui'lin'guan'zai'zi
癸卯,gui'mao
癸沐浴在寅,gui'mu'yu'zai'yin
癸墓在未,gui'mu'zai'wei
癸人见卯入云梯,gui'ren'jian'mao'ru'yun'ti
癸衰在戌,gui'shuai'zai'xu
癸水,gui'shui
癸巳,gui'si
癸死在申,gui'si'zai'shen
癸胎在巳,gui'tai'zai'si
癸未,gui'wei
癸养在辰,gui'yang'zai'chen
癸酉,gui'you
国印,guo'yin
亥藏人甲,hai'cang'ren'jia
亥卯,hai'mao
亥卯未,hai'mao'wei
亥卯未合化甲木,hai'mao'wei'he'hua'jia'mu
亥卯未见甲为月德,hai'mao'wei'jian'jia'wei'yue'de
亥卯未见卯为将星,hai'mao'wei'jian'mao'wei'jiang'xing
亥卯未见申为劫煞,hai'mao'wei'jian'shen'wei'jie'sha
亥卯未见巳为驿马,hai'mao'wei'jian'si'wei'yi'ma
亥卯未见未为华盖,hai'mao'wei'jian'wei'wei'hua'gai
亥卯未见寅为亡神,hai'mao'wei'jian'yin'wei'wang'shen
亥卯未见酉为灾煞,hai'mao'wei'jian'you'wei'zai'sha
亥卯未见子为桃花,hai'mao'wei'jian'zi'wei'tao'hua
亥卯未马在巳,hai'mao'wei'ma'zai'si
亥水,hai'shui
亥未,hai'wei
海中金,hai'zhong'jin
亥子丑见戌,hai'zi'chou'jian'xu
亥子丑见寅,hai'zi'chou'jian'yin
耗泄,hao'xie
合拌,he'ban
合化,he'hua
合局,he'ju
合作星,he'zuo'xing
红鸾星,hong'luan'xing
红三星,hong'san'xing
互宫,hu'gong
互卦,hu'gua
壶中子,hu'zhong'zi
华盖,hua'gai
华盖煞,hua'gai'sha
患病星,huan'bing'xing
黄帝内经,huang'di'nei'jing
皇极经世,huang'ji'jing'shi
会局,hui'ju
婚姻,hun'yin
火克金,huo'ke'jin
火库,huo'ku
火人申子令人贱,huo'ren'shen'zi'ling'ren'jian
火生土,huo'sheng'tu
火灾,huo'zai
火主礼,huo'zhu'li
疾病,ji'bing
己丑,ji'chou
己亥,ji'hai
己卯,ji'mao
忌神,ji'shen
己巳,ji'si
己土,ji'tu
己未,ji'wei
己酉,ji'you
甲丙戊庚壬,jia'bing'wu'geng'ren
甲病在巳,jia'bing'zai'si
甲长生在亥,jia'chang'sheng'zai'hai
甲辰,jia'chen
甲辰乙巳覆灯火,jia'chen'yi'si'fu'deng'huo
甲帝旺在卯,jia'di'wang'zai'mao
夹拱,jia'gong
甲冠带在丑,jia'guan'dai'zai'chou
甲癸,jia'gui
甲己丙寅首,jia'ji'bing'yin'shou
甲己合,jia'ji'he
甲己合化戊土,jia'ji'he'hua'wu'tu
甲己思甲配,jia'ji'si'jia'pei
甲己子午九,jia'ji'zi'wu'jiu
甲绝在申,jia'jue'zai'shen
甲临官在寅,jia'lin'guan'zai'yin
甲木,jia'mu
甲沐浴在子,jia'mu'yu'zai'zi
甲墓在未,jia'mu'zai'wei
甲申,jia'shen
甲申乙酉井泉水,jia'shen'yi'you'jing'quan'shui
甲衰在辰,jia'shuai'zai'chen
甲巳乙午报君知,jia'si'yi'wu'bao'jun'zhi
甲死在午,jia'si'zai'wu
甲胎在酉,jia'tai'zai'you
甲午,jia'wu
甲戊庚牛羊,jia'wu'geng'niu'yang
甲午乙未沙中金,jia'wu'yi'wei'sha'zhong'jin
甲戌,jia'xu
甲戌乙亥山头火,jia'xu'yi'hai'shan'tou'huo
甲养在戌,jia'yang'zai'xu
甲乙丙丁戊己庚辛壬癸,jia'yi'bing'ding'wu'ji'geng'xin'ren'gui
甲乙戊巳怕天狗,jia'yi'wu'si'pa'tian'gou
甲寅,jia'yin
甲寅乙卯大溪水,jia'yin'yi'mao'da'xi'shui
甲子,jia'zi
甲子乙丑海中金,jia'zi'yi'chou'hai'zhong'jin
剑锋金,jian'feng'jin
涧下水,jian'xia'shui
将星,jiang'xing
劫财,jie'cai
劫财党,jie'cai'dang
姐妹,jie'mei
劫杀,jie'sha
解神星,jie'shen'xing
劫资煞,jie'zi'sha
金箔金,jin'bo'jin
金克木,jin'ke'mu
金库,jin'ku
金木水火土,jin'mu'shui'huo'tu
金人巳亥始为先,jin'ren'si'hai'shi'wei'xian
进神星,jin'shen'xing
金生水,jin'sheng'shui
金舆,jin'yu
金猪岂有郎,jin'zhu'qi'you'lang
金主义,jin'zhu'yi
井泉水,jing'quan'shui
九丙十居乙,jiu'bing'shi'ju'yi
绝望星,jue'wang'xing
绝望一子细端祥,jue'wang'yi'zi'xi'duan'xiang
坎宫,kan'gong
坎卦,kan'gua
克冲煞,ke'chong'sha
克泄,ke'xie
空亡,kong'wang
坤宫,kun'gong
坤卦,kun'gua
离宫,li'gong
离卦,li'gua
李虚中,li'xu'zhong
连珠局,lian'zhu'ju
临官,lin'guan
临官星,lin'guan'xing
六害,liu'hai
流年,liu'nian
流年太岁,liu'nian'tai'sui
六亲,liu'qin
六壬,liu'ren
流日,liu'ri
六十花甲,liu'shi'hua'jia
刘文元,liu'wen'yuan
六辛逢虎马,liu'xin'feng'hu'ma
六爻,liu'yao
流月,liu'yue
路碌子,lu'lu'zi
路旁土,lu'pang'tu
禄神,lu'shen
炉中火,lu'zhong'huo
乱伦刑,luan'lun'xing
曼倩子,man'qian'zi
卯木,mao'mu
卯未,mao'wei
卯戌合,mao'xu'he
卯戌合化丁火,mao'xu'he'hua'ding'huo
卯酉,mao'you
梅花易,mei'hua'yi
命理,ming'li
命理探原,ming'li'tan'yuan
命元,ming'yuan
命运,ming'yun
木虎定居孀,mu'hu'ding'ju'shuang
木火蛇无婿,mu'huo'she'wu'xu
墓绝胎养,mu'jue'tai'yang
木克土,mu'ke'tu
木库,mu'ku
墓窟双子损一个,mu'ku'shuang'zi'sun'yi'ge
墓窟星,mu'ku'xing
木人亥卯四野眼,mu'ren'hai'mao'si'ye'yan
木生火,mu'sheng'huo
沐浴,mu'yu
沐浴败地,mu'yu'bai'di
沐浴桃花,mu'yu'tao'hua
沐浴星,mu'yu'xing
沐浴一双有儿郎,mu'yu'yi'shuang'you'er'lang
木主仁,mu'zhu'ren
纳音,na'yin
内外,nei'wai
年干,nian'gan
年月日时,nian'yue'ri'shi
年柱,nian'zhu
旁通卦,pang'tong'gua
霹雳火,pi'li'huo
偏财,pian'cai
偏官,pian'guan
平地木,ping'di'mu
破财,po'cai
破律煞,po'lv'sha
普缘星,pu'yuan'xing
七癸八寅中,qi'gui'ba'yin'zhong
奇门,qi'men
气数,qi'shu
七柱,qi'zhu
乾宫,qian'gong
乾卦,qian'gua
千里命稿,qian'li'ming'gao
全息结构,quan'xi'jie'gou
壬病在寅,ren'bing'zai'yin
壬长生在申,ren'chang'sheng'zai'shen
壬辰,ren'chen
壬辰癸巳长流水,ren'chen'gui'si'chang'liu'shui
壬帝旺在子,ren'di'wang'zai'zi
壬冠带在戌,ren'guan'dai'zai'xu
壬癸白虎欲封喉,ren'gui'bai'hu'yu'feng'hou
壬癸兔蛇藏,ren'gui'tu'she'cang
壬绝在巳,ren'jue'zai'si
壬临官在亥,ren'lin'guan'zai'hai
壬沐浴在酉,ren'mu'yu'zai'you
壬墓在辰,ren'mu'zai'chen
壬申,ren'shen
壬申癸酉剑锋金,ren'shen'gui'you'jian'feng'jin
壬衰在丑,ren'shuai'zai'chou
壬水,ren'shui
壬死在卯,ren'si'zai'mao
壬胎在午,ren'tai'zai'wu
壬午,ren'wu
壬午癸未杨柳木,ren'wu'gui'wei'yang'liu'mu
壬辛,ren'xin
壬戌,ren'xu
壬戌癸亥大海水,ren'xu'gui'hai'da'hai'shui
壬养在未,ren'yang'zai'wei
壬寅,ren'yin
壬寅癸卯金箔金,ren'yin'gui'mao'jin'bo'jin
壬子,ren'zi
壬子癸丑桑柘木,ren'zi'gui'chou'sang'zhe'mu
日元,ri'yuan
日柱,ri'zhu
三车一览,san'che'yi'lan
三律,san'lv
三命通会,san'ming'tong'hui
三壬四辛同,san'ren'si'xin'tong
丧门,sang'men
桑柘木,sang'zhe'mu
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山头火,shan'tou'huo
山下火,shan'xia'huo
伤官,shang'guan
申藏庚壬戊,shen'cang'geng'ren'wu
申辰,shen'chen
神峰通考,shen'feng'tong'kao
申金,shen'jin
身弱,shen'ruo
神煞,shen'sha
身旺,shen'wang
申酉戌见亥,shen'you'xu'jian'hai
申酉戌见未,shen'you'xu'jian'wei
身元,shen'yuan
申子,shen'zi
申子辰,shen'zi'chen
申子辰合化壬水,shen'zi'chen'he'hua'ren'shui
申子辰见辰为华盖,shen'zi'chen'jian'chen'wei'hua'gai
申子辰见亥为亡神,shen'zi'chen'jian'hai'wei'wang'shen
申子辰见壬为月德,shen'zi'chen'jian'ren'wei'yue'de
申子辰见巳为劫煞,shen'zi'chen'jian'si'wei'jie'sha
申子辰见午为灾煞,shen'zi'chen'jian'wu'wei'zai'sha
申子辰见寅为驿马,shen'zi'chen'jian'yin'wei'yi'ma
申子辰见酉为桃花,shen'zi'chen'jian'you'wei'tao'hua
申子辰见子为将星,shen'zi'chen'jian'zi'wei'jiang'xing
申子辰马在寅,shen'zi'chen'ma'zai'yin
生扶,sheng'fu
十二长生,shi'er'chang'sheng
时干,shi'gan
失令,shi'ling
石榴木,shi'liu'mu
食神,shi'shen
恃势刑,shi'shi'xing
十天干生旺死绝,shi'tian'gan'sheng'wang'si'jue
时序先后,shi'xu'xian'hou
时柱,shi'zhu
衰病死,shuai'bing'si
衰弱二子病中一,shuai'ruo'er'zi'bing'zhong'yi
衰弱星,shuai'ruo'xing
双辰煞,shuang'chen'sha
水厄,shui'e
水克火,shui'ke'huo
水库,shui'ku
水生木,shui'sheng'mu
水土生人戌马边,shui'tu'sheng'ren'xu'ma'bian
水主智,shui'zhu'zhi
巳藏丙戊庚,si'cang'bing'wu'geng
巳丑,si'chou
思繁煞,si'fan'sha
巳亥,si'hai
巳亥四,si'hai'si
巳火,si'huo
巳申合,si'shen'he
巳申合化癸水,si'shen'he'hua'gui'shui
死亡到老守孤房,si'wang'dao'lao'shou'gu'fang
死亡星,si'wang'xing
巳午未见辰,si'wu'wei'jian'chen
巳午未见申,si'wu'wei'jian'shen
巳酉,si'you
巳酉丑,si'you'chou
巳酉丑合化庚金,si'you'chou'he'hua'geng'jin
巳酉丑见丑为华盖,si'you'chou'jian'chou'wei'hua'gai
巳酉丑见庚为月德,si'you'chou'jian'geng'wei'yue'de
巳酉丑见亥为驿马,si'you'chou'jian'hai'wei'yi'ma
巳酉丑见卯为灾煞,si'you'chou'jian'mao'wei'zai'sha
巳酉丑见申为亡神,si'you'chou'jian'shen'wei'wang'shen
巳酉丑见午为桃花,si'you'chou'jian'wu'wei'tao'hua
巳酉丑见寅为劫煞,si'you'chou'jian'yin'wei'jie'sha
巳酉丑见酉为将星,si'you'chou'jian'you'wei'jiang'xing
巳酉丑马在亥,si'you'chou'ma'zai'hai
四柱,si'zhu
四柱命理,si'zhu'ming'li
松柏木,song'bai'mu
岁运并临,sui'yun'bing'lin
胎地,tai'di
胎身命,tai'shen'ming
太岁,tai'sui
太阴,tai'yin
胎孕星,tai'yun'xing
桃花,tao'hua
桃花星,tao'hua'xing
天比地冲,tian'bi'di'chong
天德,tian'de
天德贵人,tian'de'gui'ren
天德星,tian'de'xing
天干,tian'gan
天干合化,tian'gan'he'hua
天干与地支,tian'gan'yu'di'zhi
天狗,tian'gou
天河水,tian'he'shui
天克地冲,tian'ke'di'chong
天罗地网,tian'luo'di'wang
天上火,tian'shang'huo
填实,tian'shi
天喜星,tian'xi'xing
天乙贵人,tian'yi'gui'ren
天乙星,tian'yi'xing
天印星,tian'yin'xing
调候,tiao'hou
同柱,tong'zhu
土猴常独卧,tu'hou'chang'du'wo
土克水,tu'ke'shui
土生金,tu'sheng'jin
土主信,tu'zhu'xin
外应,wai'ying
亡神煞,wang'shen'sha
亡神下,wang'shen'xia
旺衰,wang'shuai
旺相休囚死,wang'xiang'xiu'qiu'si
未藏己丁乙,wei'cang'ji'ding'yi
未土,wei'tu
文官星,wen'guan'xing
文贵星,wen'gui'xing
文魁星,wen'kui'xing
午藏丁己,wu'cang'ding'ji
戊辰,wu'chen
戊辰己亥平地木,wu'chen'ji'hai'ping'di'mu
戊辰己巳大林木,wu'chen'ji'si'da'lin'mu
无恩刑,wu'en'xing
戊癸辰戌五,wu'gui'chen'xu'wu
戊癸合,wu'gui'he
戊癸合化丙火,wu'gui'he'hua'bing'huo
戊癸甲寅投,wu'gui'jia'yin'tou
戊癸引壬回,wu'gui'yin'ren'hui
五亥六甲上,wu'hai'liu'jia'shang
午火,wu'huo
屋上土,wu'shang'tu
戊申,wu'shen
戊申己酉大驿土,wu'shen'ji'you'da'yi'tu
戊土,wu'tu
午未合,wu'wei'he
午未合化戊土,wu'wei'he'hua'wu'tu
戊午,wu'wu
戊午己未天上火,wu'wu'ji'wei'tian'shang'huo
五行,wu'xing
五行精纪,wu'xing'jing'ji
五行生克,wu'xing'sheng'ke
午戌,wu'xu
戊戌,wu'xu
戊寅,wu'yin
戊寅己卯城头土,wu'yin'ji'mao'cheng'tou'tu
戊子,wu'zi
戊子己丑霹雳火,wu'zi'ji'chou'pi'li'huo
喜神,xi'shen
小运,xiao'yun
辛病在午,xin'bing'zai'wu
辛丑,xin'chou
辛帝旺在申,xin'di'wang'zai'shen
辛冠带在戌,xin'guan'dai'zai'xu
辛亥,xin'hai
辛金,xin'jin
辛绝在卯,xin'jue'zai'mao
辛临官在酉,xin'lin'guan'zai'you
辛卯,xin'mao
辛沐浴在亥,xin'mu'yu'zai'hai
辛墓在辰,xin'mu'zai'chen
新派理论,xin'pai'li'lun
新派四柱,xin'pai'si'zhu
辛壬,xin'ren
辛衰在未,xin'shuai'zai'wei
辛巳,xin'si
辛死在巳,xin'si'zai'si
辛胎在寅,xin'tai'zai'yin
辛未,xin'wei
辛养在丑,xin'yang'zai'chou
辛酉,xin'you
刑冲合害,xing'chong'he'hai
性格,xing'ge
刑律煞,xing'lv'sha
兄弟,xiong'di
兄弟姐妹,xiong'di'jie'mei
戌藏戊辛丁,xu'cang'wu'xin'ding
虚神,xu'shen
戌土,xu'tu
虚邀,xu'yao
虚邀夹拱,xu'yao'jia'gong
徐子平,xu'zi'ping
玄空,xuan'kong
巽宫,xun'gong
巽卦,xun'gua
养地,yang'di
养护党,yang'hu'dang
阳火,yang'huo
阳金,yang'jin
杨柳木,yang'liu'mu
阳木,yang'mu
阳男阴女,yang'nan'yin'nv
羊刃,yang'ren
阳刃,yang'ren
阳水,yang'shui
阳土,yang'tu
养育星,yang'yu'xing
阳支,yang'zhi
夜子时,ye'zi'shi
乙丙戊,yi'bing'wu
乙病在子,yi'bing'zai'zi
乙长生在午,yi'chang'sheng'zai'wu
乙丑,yi'chou
乙帝旺在寅,yi'di'wang'zai'yin
乙丁己辛癸,yi'ding'ji'xin'gui
乙庚丑未八,yi'geng'chou'wei'ba
乙庚合,yi'geng'he
乙庚合化庚金,yi'geng'he'hua'geng'jin
乙庚戊寅头,yi'geng'wu'yin'tou
乙庚选丙陪,yi'geng'xuan'bing'pei
乙冠带在辰,yi'guan'dai'zai'chen
乙亥,yi'hai
乙己鼠猴乡,yi'ji'shu'hou'xiang
乙绝在酉,yi'jue'zai'you
乙临官在卯,yi'lin'guan'zai'mao
驿马,yi'ma
驿马星,yi'ma'xing
乙卯,yi'mao
乙木,yi'mu
乙沐浴在巳,yi'mu'yu'zai'si
乙墓在戌,yi'mu'zai'xu
一气专旺,yi'qi'zhuan'wang
乙衰在丑,yi'shuai'zai'chou
乙巳,yi'si
乙死在亥,yi'si'zai'hai
乙胎在申,yi'tai'zai'shen
意外灾难,yi'wai'zai'nan
乙未,yi'wei
乙养在未,yi'yang'zai'wei
乙酉,yi'you
异柱,yi'zhu
引拔,yin'ba
寅藏甲丙戊,yin'cang'jia'bing'wu
阴差阳错,yin'cha'yang'cuo
引发,yin'fa
寅亥合,yin'hai'he
寅亥合化乙木,yin'hai'he'hua'yi'mu
阴火,yin'huo
阴金,yin'jin
寅卯辰见丑,yin'mao'chen'jian'chou
寅卯辰见巳,yin'mao'chen'jian'si
寅木,yin'mu
阴木,yin'mu
阴男阳女,yin'nan'yang'nv
寅申,yin'shen
阴水,yin'shui
印土,yin'tu
寅午,yin'wu
寅午戌,yin'wu'xu
寅午戌合化丙火,yin'wu'xu'he'hua'bing'huo
寅午戌见丙为月德,yin'wu'xu'jian'bing'wei'yue'de
寅午戌见亥为劫煞,yin'wu'xu'jian'hai'wei'jie'sha
寅午戌见卯为桃花,yin'wu'xu'jian'mao'wei'tao'hua
寅午戌见申为驿马,yin'wu'xu'jian'shen'wei'yi'ma
寅午戌见巳为亡神,yin'wu'xu'jian'si'wei'wang'shen
寅午戌见午为将星,yin'wu'xu'jian'wu'wei'jiang'xing
寅午戌见戌为华盖,yin'wu'xu'jian'xu'wei'hua'gai
寅午戌见子为灾煞,yin'wu'xu'jian'zi'wei'zai'sha
寅午戌马在申,yin'wu'xu'ma'zai'shen
寅戌,yin'xu
阴阳,yin'yang
阴阳煞,yin'yang'sha
阴支,yin'zhi
应好事,ying'hao'shi
应坏事,ying'huai'shi
应事,ying'shi
用神,yong'shen
酉丑,you'chou
有害化假,you'hai'hua'jia
有害化真,you'hai'hua'zhen
酉金,you'jin
有利化假,you'li'hua'jia
有利化真,you'li'hua'zhen
友星,you'xing
预测模式,yu'ce'mo'shi
预测术,yu'ce'shu
余气,yu'qi
玉照定真经,yu'zhao'ding'zhen'jing
渊海子平,yuan'hai'zi'ping
原命局,yuan'ming'ju
怨星,yuan'xing
月德,yue'de
月德贵人,yue'de'gui'ren
月干,yue'gan
月柱,yue'zhu
运程,yun'cheng
运限,yun'xian
杂气,za'qi
灾煞,zai'sha
掌宫,zhang'gong
震宫,zhen'gong
震卦,zhen'gua
正财,zheng'cai
正丁二申宫,zheng'ding'er'shen'gong
正官,zheng'guan
正印,zheng'yin
中气,zhong'qi
自缠刑,zi'chan'xing
子辰,zi'chen
子丑合,zi'chou'he
子丑合化己土,zi'chou'he'hua'ji'tu
子女,zi'nv
子平真侄,zi'ping'zhen'zhi
子水,zi'shui
子巳丑庚中,zi'si'chou'geng'zhong
紫薇,zi'wei
紫薇星,zi'wei'xing
子午,zi'wu
