癌土,ai'tu
看斗别个,kan'dou'bie'ge
砍老阔嘀,kan'lao'kuo'di
抗斗,kang'dou
困斗起,kun'dou'qi
邋遢,la'ta
懒啊死踢,lan'a'si'ti
老不死的,lao'bu'si'de
老倌的,lao'guan'de
老妈得,lao'ma'de
老头子,lao'tou'zi
劳外哒,lao'wai'da
劳资一鹅卵古拽死你,lao'zi'yi'e'luan'gu'zhuai'si'ni
里头,li'tou
俩蛮,lia'man
令嘎的,ling'ga'de
灵醒,ling'xing
卵包,luan'bao
麻发儿,ma'fa'er
蛮斗滴,man'dou'di
蛮桥的,man'qiao'de
猫儿,mao'er
么抱斗,me'bao'dou
么得,me'de
没的味,mei'de'wei
没李儿,mei'li'er
没瘾哒,mei'yin'da
门朝,men'chao
门儿,men'er
墨斗你就几得狠,mo'dou'ni'jiu'ji'de'hen
摸见怪,mo'jian'guai
莫卧斗哒,mo'wo'dou'da
哪门儿的,na'men'er'de
那硬是,na'ying'shi
恼火,nao'huo
脑壳,nao'ke
尼尔好,ni'er'hao
您俺,nin'an
爬爬儿,pa'pa'er
螃嘎,pang'ga
泡儿,pao'er
泡儿糖,pao'er'tang
撇赖死哒,pie'lai'si'da
七多哒,qi'duo'da
七饭哒,qi'fan'da
期翰,qi'han
七黑的,qi'hei'de
起哄哄儿,qi'hong'hong'er
七亏,qi'kui
七芒芒,qi'mang'mang
奇米,qi'mi
起先,qi'xian
七烟,qi'yan
恰啊死踢,qia'a'si'ti
且儿,qie'er
勤缝缝儿,qin'feng'feng'er
勤将的,qin'jiang'de
日干,ri'gan
日干多,ri'gan'duo
日里日天,ri'li'ri'tian
日七的揪,ri'qi'de'jiu
日清里港,ri'qing'li'gang
日他的怪哒滴,ri'ta'de'guai'da'di
瑟嘎,se'ga
杀密公,sha'mi'gong
山暴暴上,shan'bao'bao'shang
是不是颠打,shi'bu'shi'dian'da
水老馆,shui'lao'guan
他俺,ta'an
堂客,tang'ke
绹斗,tao'dou
讨马匹卵闲,tao'ma'pi'luan'xian
天麻麻亮,tian'ma'ma'liang
挑儿,tiao'er
帖斗,tie'dou
拓尼搞一盘,tuo'ni'gao'yi'pan
坨坨儿,tuo'tuo'er
歪跑滴,wai'pao'di
歪七滴,wai'qi'di
外头,wai'tou
歪笑滴,wai'xiao'di
玩安,wan'an
完哈打踢,wan'ha'da'ti
完娇娇,wan'jiao'jiao
玩屋里,wan'wu'li
完屋里港滴,wan'wu'li'gang'di
无懒事,wu'lan'shi
屋里人,wu'li'ren
喜得,xi'de
膝特尔,xi'te'er
闲脸,xian'lian
邪嚼,xie'jiao
心里漆人,xin'li'qi'ren
伢儿,ya'er
丫哈哒再来,ya'ha'da'zai'lai
牙牙,ya'ya
盐包斗儿,yan'bao'dou'er
扬锹,yang'qiao
要死哒,yao'si'da
幺幺,yao'yao
一不一合,yi'bu'yi'he
以陡扎实得很,yi'dou'zha'shi'de'hen
一耳吧,yi'er'ba
一过过地,yi'guo'guo'di
一哈哈,yi'ha'ha
一或些,yi'huo'xie
一群懒,yi'qun'lan
一同懒,yi'tong'lan
硬是蠢得夹卵哒,ying'shi'chun'de'jia'luan'da
硬是蠢得窝牛屎,ying'shi'chun'de'wo'niu'shi
硬是没得马匹事搞得,ying'shi'mei'de'ma'pi'shi'gao'de
晕死替,yun'si'ti
真朝,zhen'chao
真滴是,zhen'di'shi
正二八经地,zheng'er'ba'jing'di
指麽儿,zhi'mo'er
只莫笑死人打,zhi'mo'xiao'si'ren'da
猪百百,zhu'bai'bai
跩斗,zhuai'dou
昨儿,zuo'er
