阿罗哈,a'luo'ha
熊猫溺泉,xiong'mao'ni'quan
许大夫,xu'dai'fu
许医师,xu'yi'shi
玄马,xuan'ma
玄毛,xuan'mao
雪嫌,xue'xian
鸭子溺泉,ya'zi'ni'quan
燕右京,yan'you'jing
游带刀,you'dai'dao
右京,you'jing
游小刀,you'xiao'dao
瑜明,yu'ming
雨太郎,yu'tai'lang
月涡蛇,yue'wo'she
云龙,yun'long
云龙明,yun'long'ming
云龙亚加利,yun'long'ya'jia'li
早乙女,zao'yi'nv
早乙女佳香,zao'yi'nv'jia'xiang
早乙女流,zao'yi'nv'liu
早乙女乱马,zao'yi'nv'luan'ma
早乙女乱子,zao'yi'nv'luan'zi
早乙女玄马,zao'yi'nv'xuan'ma
早云,zao'yun
斋八宝,zhai'ba'bao
战斗之铠,zhan'dou'zhi'kai
珍兽王,zhen'shou'wang
真之介,zhen'zhi'jie
至仁宗达,zhi'ren'zong'da
止水桶,zhi'shui'tong
指压拳,zhi'ya'quan
咒泉乡,zhou'quan'xiang
竹铲子,zhu'chan'zi
