爱心同盟,ai'xin'tong'meng
东校区团工委,dong'xiao'qu'tuan'gong'wei
东校区信网办,dong'xiao'qu'xin'wang'ban
东校区学生会,dong'xiao'qu'xue'sheng'hui
东苑,dong'yuan
都城,du'cheng
笃行,du'xing
法学,fa'xue
法学社,fa'xue'she
法学院,fa'xue'yuan
法医学,fa'yi'xue
饭卡,fan'ka
翻译学院,fan'yi'xue'yuan
奉天美食,feng'tian'mei'shi
高尔夫协会,gao'er'fu'xie'hui
高分子材料与工程,gao'fen'zi'cai'liao'yu'gong'cheng
格致园,ge'zhi'yuan
公共关系,gong'gong'guan'xi
公共关系协会,gong'gong'guan'xi'xie'hui
公共关系学,gong'gong'guan'xi'xue
公共教学楼,gong'gong'jiao'xue'lou
公共事业管理,gong'gong'shi'ye'guan'li
公共卫生学院,gong'gong'wei'sheng'xue'yuan
公共政策,gong'gong'zheng'ce
公共政策学,gong'gong'zheng'ce'xue
公关,gong'guan
公关协会,gong'guan'xie'hui
工商管理,gong'shang'guan'li
公卫,gong'wei
工学院,gong'xue'yuan
工学院广场,gong'xue'yuan'guang'chang
公政,gong'zheng
管理科学与工程,guan'li'ke'xue'yu'gong'cheng
管理学院,guan'li'xue'yuan
管弦乐队,guan'xian'yue'dui
管院,guan'yuan
广播台,guang'bo'tai
广大,guang'da
广大商业中心,guang'da'shang'ye'zhong'xin
广东工业大学,guang'dong'gong'ye'da'xue
广东外语外贸大学,guang'dong'wai'yu'wai'mao'da'xue
广告协会,guang'gao'xie'hui
广工,guang'gong
光华口腔医学院,guang'hua'kou'qiang'yi'xue'yuan
广美,guang'mei
广外,guang'wai
光信息科学与技术,guang'xin'xi'ke'xue'yu'ji'shu
广药,guang'yao
广中医,guang'zhong'yi
广州大学,guang'zhou'da'xue
广州大学城,guang'zhou'da'xue'cheng
广州美术学院,guang'zhou'mei'shu'xue'yuan
广州药学院,guang'zhou'yao'xue'yuan
广州中医药大学,guang'zhou'zhong'yi'yao'da'xue
国粹研习班,guo'cui'yan'xi'ban
国际交流学院,guo'ji'jiao'liu'xue'yuan
国际经济与贸易,guo'ji'jing'ji'yu'mao'yi
国际商学院,guo'ji'shang'xue'yuan
国际政治,guo'ji'zheng'zhi
国政,guo'zheng
海洋生物资源与环境,hai'yang'sheng'wu'zi'yuan'yu'huan'jing
汉语言,han'yu'yan
汉语言文学,han'yu'yan'wen'xue
合唱团,he'chang'tuan
合泰,he'tai
合泰电脑,he'tai'dian'nao
黑石屋,hei'shi'wu
护理学,hu'li'xue
护理学院,hu'li'xue'yuan
互联网研究协会,hu'lian'wang'yan'jiu'xie'hui
户外运动协会,hu'wai'yun'dong'xie'hui
滑动门电影协会,hua'dong'men'dian'ying'xie'hui
华工,hua'gong
话剧社,hua'ju'she
华南理工大学,hua'nan'li'gong'da'xue
华南师范大学,hua'nan'shi'fan'da'xue
华师,hua'shi
化学,hua'xue
化学工程与工艺,hua'xue'gong'cheng'yu'gong'yi
化学与化学工程学院,hua'xue'yu'hua'xue'gong'cheng'xue'yuan
环保协会,huan'bao'xie'hui
环境工程,huan'jing'gong'cheng
环境科学,huan'jing'ke'xue
环境科学与工程学院,huan'jing'ke'xue'yu'gong'cheng'xue'yuan
环院,huan'yuan
惠佳,hui'jia
惠佳超市,hui'jia'chao'shi
基础医学,ji'chu'yi'xue
击剑协会,ji'jian'xie'hui
计算机科学与技术,ji'suan'ji'ke'xue'yu'ji'shu
计算机协会,ji'suan'ji'xie'hui
计算机应用软件,ji'suan'ji'ying'yong'ruan'jian
吉他协会,ji'ta'xie'hui
击跆道协会,ji'tai'dao'xie'hui
计协,ji'xie
记忆协会,ji'yi'xie'hui
计应,ji'ying
集邮协会,ji'you'xie'hui
佳能打印店,jia'neng'da'yin'dian
健康生活协会,jian'kang'sheng'huo'xie'hui
健身俱乐部,jian'shen'ju'le'bu
健身协会,jian'shen'xie'hui
交通工程,jiao'tong'gong'cheng
交网费,jiao'wang'fei
教育学院,jiao'yu'xue'yuan
街舞协会,jie'wu'xie'hui
金融投资协会,jin'rong'tou'zi'xie'hui
金融学,jin'rong'xue
金融研究协会,jin'rong'yan'jiu'xie'hui
金山俱乐部,jin'shan'ju'le'bu
金字塔学社,jin'zi'ta'xue'she
经济管理协会,jing'ji'guan'li'xie'hui
经济学,jing'ji'xue
经济学社,jing'ji'xue'she
军事爱好者协会,jun'shi'ai'hao'zhe'xie'hui
康复治疗学,kang'fu'zhi'liao'xue
考古学,kao'gu'xue
科普协会,ke'pu'xie'hui
口才俱乐部,kou'cai'ju'le'bu
口腔医学,kou'qiang'yi'xue
会计协会,kuai'ji'xie'hui
会计学,kuai'ji'xue
快乐多,kuai'le'duo
篮球协会,lan'qiu'xie'hui
乐元素,le'yuan'su
冷热间,leng're'jian
理论与应用力学,li'lun'yu'ying'yong'li'xue
历史学,li'shi'xue
历史学系,li'shi'xue'xi
礼仪队,li'yi'dui
荔园,li'yuan
梁銶琚堂,liang'qiu'ju'tang
临床医学,lin'chuang'yi'xue
岭南剧社,ling'nan'ju'she
岭南人,ling'nan'ren
岭南人杂志社,ling'nan'ren'za'zhi'she
岭南诗词研习社,ling'nan'shi'ci'yan'xi'she
岭南书画协会,ling'nan'shu'hua'xie'hui
岭南学院,ling'nan'xue'yuan
岭院,ling'yuan
流行乐团,liu'xing'yue'tuan
轮滑协会,lun'hua'xie'hui
逻辑学,luo'ji'xue
绿色青年,lv'se'qing'nian
绿色青年组织,lv'se'qing'nian'zu'zhi
旅协,lv'xie
绿叶社,lv'ye'she
旅游管理,lv'you'guan'li
旅游协会,lv'you'xie'hui
旅游学院,lv'you'xue'yuan
马丁堂,ma'ding'tang
麻醉学,ma'zui'xue
漫画社,man'hua'she
美食文化协会,mei'shi'wen'hua'xie'hui
美食协会,mei'shi'xie'hui
民乐团,min'yue'tuan
民族乐团,min'zu'yue'tuan
明八,ming'ba
明辨,ming'bian
明德园,ming'de'yuan
明二,ming'er
明九,ming'jiu
明六,ming'liu
明七,ming'qi
明三,ming'san
明十,ming'shi
明四,ming'si
明五,ming'wu
明一,ming'yi
魔术协会,mo'shu'xie'hui
南方文学社,nan'fang'wen'xue'she
南区,nan'qu
南亭,nan'ting
南亭村,nan'ting'cun
南校区,nan'xiao'qu
内环,nei'huan
排球协会,pai'qiu'xie'hui
攀岩俱乐部,pan'yan'ju'le'bu
攀岩协会,pan'yan'xie'hui
番禺大学城,pan'yu'da'xue'cheng
乒乓球协会,ping'pang'qiu'xie'hui
乒协,ping'xie
棋类协会,qi'lei'xie'hui
棋协,qi'xie
棋艺协会,qi'yi'xie'hui
棋苑,qi'yuan
嵌入式软件与系统,qian'ru'shi'ruan'jian'yu'xi'tong
嵌软,qian'ruan
青科协,qing'ke'xie
青年读书俱乐部,qing'nian'du'shu'ju'le'bu
青年法学社,qing'nian'fa'xue'she
青年科技协会,qing'nian'ke'ji'xie'hui
青年时空,qing'nian'shi'kong
青年志愿者协会,qing'nian'zhi'yuan'zhe'xie'hui
青协,qing'xie
轻音乐团,qing'yin'yue'tuan
求进,qiu'jin
求进报社,qiu'jin'bao'she
圈存机,quan'cun'ji
热能与动力工程,re'neng'yu'dong'li'gong'cheng
热水卡,re'shui'ka
热水卡充值,re'shui'ka'chong'zhi
人类学系,ren'lei'xue'xi
人文科学学院,ren'wen'ke'xue'xue'yuan
榕园,rong'yuan
软件工程,ruan'jian'gong'cheng
软件技术俱乐部,ruan'jian'ji'shu'ju'le'bu
软件学院,ruan'jian'xue'yuan
软院,ruan'yuan
瑞氏,rui'shi
散打俱乐部,san'da'ju'le'bu
三叶草协会,san'ye'cao'xie'hui
三余社,san'yu'she
社工,she'gong
社工协会,she'gong'xie'hui
社会工作,she'hui'gong'zuo
社会工作协会,she'hui'gong'zuo'xie'hui
社会学,she'hui'xue
摄影爱好者协会,she'ying'ai'hao'zhe'xie'hui
摄影协会,she'ying'xie'hui
慎八,shen'ba
慎二,shen'er
慎九,shen'jiu
慎六,shen'liu
慎七,shen'qi
慎三,shen'san
慎十,shen'shi
慎四,shen'si
慎思,shen'si
慎思园,shen'si'yuan
审问,shen'wen
慎五,shen'wu
慎一,shen'yi
生命科学学院,sheng'ming'ke'xue'xue'yuan
生态学,sheng'tai'xue
生物技术,sheng'wu'ji'shu
生物科学,sheng'wu'ke'xue
生物医学工程,sheng'wu'yi'xue'gong'cheng
市场营销,shi'chang'ying'xiao
书法协会,shu'fa'xie'hui
书画协会,shu'hua'xie'hui
数计院,shu'ji'yuan
数媒,shu'mei
数学与计算科学学院,shu'xue'yu'ji'suan'ke'xue'xue'yuan
数学与应用数学,shu'xue'yu'ying'yong'shu'xue
数字媒体,shu'zi'mei'ti
数字媒体艺术,shu'zi'mei'ti'yi'shu
水文与水资源工程,shui'wen'yu'shui'zi'yuan'gong'cheng
丝情发艺,si'qing'fa'yi
思未书店,si'wei'shu'dian
思湘阁,si'xiang'ge
思想政治教育,si'xiang'zheng'zhi'jiao'yu
素食文化协会,su'shi'wen'hua'xie'hui
穗石村,sui'shi'cun
塔内,ta'nei
太极拳协会,tai'ji'quan'xie'hui
跆拳道协会,tai'quan'dao'xie'hui
探险协会,tan'xian'xie'hui
天马城,tian'ma'cheng
天文学社,tian'wen'xue'she
通软,tong'ruan
通信工程,tong'xin'gong'cheng
通信软件,tong'xin'ruan'jian
通讯服务中心,tong'xun'fu'wu'zhong'xin
土木工程,tu'mu'gong'cheng
图书馆学,tu'shu'guan'xue
外国语学院,wai'guo'yu'xue'yuan
外环,wai'huan
外语协会,wai'yu'xie'hui
万维慈善协会,wan'wei'ci'shan'xie'hui
网络工程,wang'luo'gong'cheng
网络中心,wang'luo'zhong'xin
网球协会,wang'qiu'xie'hui
微电子学,wei'dian'zi'xue
微软俱乐部,wei'ruan'ju'le'bu
为食堂,wei'shi'tang
舞蹈团,wu'dao'tuan
物理科学与工程技术学院,wu'li'ke'xue'yu'gong'cheng'ji'shu'xue'yuan
物理学,wu'li'xue
物流管理,wu'liu'guan'li
武术协会,wu'shu'xie'hui
武协,wu'xie
戏曲社,xi'qu'she
小谷围,xiao'gu'wei
校门牌坊,xiao'men'pai'fang
校园卡充值,xiao'yuan'ka'chong'zhi
校园卡服务部,xiao'yuan'ka'fu'wu'bu
信科院,xin'ke'yuan
新浪校园通讯站,xin'lang'xiao'yuan'tong'xun'zhan
心理学社,xin'li'xue'she
新世纪美发,xin'shi'ji'mei'fa
信网办,xin'wang'ban
信息安全,xin'xi'an'quan
信息管理与信息系统,xin'xi'guan'li'yu'xin'xi'xi'tong
信息科学与技术学院,xin'xi'ke'xue'yu'ji'shu'xue'yuan
信息协会,xin'xi'xie'hui
信息与计算科学,xin'xi'yu'ji'suan'ke'xue
行管,xing'guan
星海,xing'hai
星海爱乐协会,xing'hai'ai'yue'xie'hui
星海音乐学院,xing'hai'yin'yue'xue'yuan
杏林文学社,xing'lin'wen'xue'she
形体健美操俱乐部,xing'ti'jian'mei'cao'ju'le'bu
惺亭,xing'ting
形象设计协会,xing'xiang'she'ji'xie'hui
行政管理,xing'zheng'guan'li
学生国际交流协会,xue'sheng'guo'ji'jiao'liu'xie'hui
学生俱乐部,xue'sheng'ju'le'bu
学生科研协会,xue'sheng'ke'yan'xie'hui
雁行社,yan'hang'she
研究生会,yan'jiu'sheng'hui
羊城通充值,yang'cheng'tong'chong'zhi
药学,yao'xue
药学院,yao'xue'yuan
亿动势,yi'dong'shi
艺加图文,yi'jia'tu'wen
一卡通充值,yi'ka'tong'chong'zhi
一卡通服务部,yi'ka'tong'fu'wu'bu
仪美协会,yi'mei'xie'hui
艺术设计学,yi'shu'she'ji'xue
艺术设计与绘画协会,yi'shu'she'ji'yu'hui'hua'xie'hui
义务助残协会,yi'wu'zhu'can'xie'hui
逸仙泉,yi'xian'quan
逸仙时空,yi'xian'shi'kong
逸仙书社,yi'xian'shu'she
医学检验,yi'xue'jian'yan
医学影像学,yi'xue'ying'xiang'xue
饮食文化协会,yin'shi'wen'hua'xie'hui
音乐艺术协会,yin'yue'yi'shu'xie'hui
影趣协会,ying'qu'xie'hui
影视协会,ying'shi'xie'hui
英文歌曲俱乐部,ying'wen'ge'qu'ju'le'bu
营销协会,ying'xiao'xie'hui
应用化学,ying'yong'hua'xue
应用气象学,ying'yong'qi'xiang'xue
应用心理学,ying'yong'xin'li'xue
永芳堂,yong'fang'tang
又康,you'kang
又康超市,you'kang'chao'shi
预防医学,yu'fang'yi'xue
羽毛球协会,yu'mao'qiu'xie'hui
羽协,yu'xie
粤语协会,yue'yu'xie'hui
招生志愿者协会,zhao'sheng'zhi'yuan'zhe'xie'hui
哲学,zhe'xue
哲学系,zhe'xue'xi
政务学院,zheng'wu'xue'yuan
政行,zheng'xing
政治学与行政学,zheng'zhi'xue'yu'xing'zheng'xue
政治与公共事务管理学院,zheng'zhi'yu'gong'gong'shi'wu'guan'li'xue'yuan
至八,zhi'ba
至二,zhi'er
至九,zhi'jiu
至六,zhi'liu
至七,zhi'qi
至三,zhi'san
至善园,zhi'shan'yuan
至十,zhi'shi
知识产权学院,zhi'shi'chan'quan'xue'yuan
至四,zhi'si
至五,zhi'wu
职协,zhi'xie
职业生涯发展协会,zhi'ye'sheng'ya'fa'zhan'xie'hui
至一,zhi'yi
中部快线,zhong'bu'kuai'xian
中部枢纽,zhong'bu'shu'niu
中大,zhong'da
中大北校区,zhong'da'bei'xiao'qu
中大东校区,zhong'da'dong'xiao'qu
中大码头,zhong'da'ma'tou
中大南校区,zhong'da'nan'xiao'qu
中大棋苑,zhong'da'qi'yuan
中大青年,zhong'da'qing'nian
中大青年报社,zhong'da'qing'nian'bao'she
中大数码,zhong'da'shu'ma
中大数码展示中心,zhong'da'shu'ma'zhan'shi'zhong'xin
中大学子,zhong'da'xue'zi
中大战网,zhong'da'zhan'wang
中大珠海校区,zhong'da'zhu'hai'xiao'qu
中二横路,zhong'er'heng'lu
中国历史文化协会,zhong'guo'li'shi'wen'hua'xie'hui
中环,zhong'huan
中环东路,zhong'huan'dong'lu
中环西路,zhong'huan'xi'lu
中山大学,zhong'shan'da'xue
中山大学北校区,zhong'shan'da'xue'bei'xiao'qu
中山大学东校区,zhong'shan'da'xue'dong'xiao'qu
中山大学南校区,zhong'shan'da'xue'nan'xiao'qu
中山大学珠海校区,zhong'shan'da'xue'zhu'hai'xiao'qu
中山医,zhong'shan'yi
中山医学院,zhong'shan'yi'xue'yuan
中四路,zhong'si'lu
中文系,zhong'wen'xi
中心湖,zhong'xin'hu
珠海校区,zhu'hai'xiao'qu
资管系,zi'guan'xi
紫荆诗社,zi'jing'shi'she
自行车协会,zi'xing'che'xie'hui
资讯管理系,zi'xun'guan'li'xi
资源环境与城乡规划管理,zi'yuan'huan'jing'yu'cheng'xiang'gui'hua'guan'li
综合商业服务区,zong'he'shang'ye'fu'wu'qu
足球协会,zu'qiu'xie'hui
足协,zu'xie
最大蜂巢协会,zui'da'feng'chao'xie'hui
