保养间,bao'yang'jian
技术保障工作,ji'shu'bao'zhang'gong'zuo
技术保障机构,ji'shu'bao'zhang'ji'gou
技术保障通信,ji'shu'bao'zhang'tong'xin
技术保障指挥所,ji'shu'bao'zhang'zhi'hui'suo
技术保障组,ji'shu'bao'zhang'zu
集团坦克,ji'tuan'tan'ke
机械化师,ji'xie'hua'shi
机械扫雷,ji'xie'sao'lei
集中火力,ji'zhong'huo'li
集中射击地段,ji'zhong'she'ji'di'duan
集中使用,ji'zhong'shi'yong
基准步兵战车,ji'zhun'bu'bing'zhan'che
基准车,ji'zhun'che
基准坦克,ji'zhun'tan'ke
架桥坦克,jia'qiao'tan'ke
驾驶技师,jia'shi'ji'shi
驾驶员,jia'shi'yuan
驾驶员潜望镜,jia'shi'yuan'qian'wang'jing
加速性能,jia'su'xing'neng
加油站,jia'you'zhan
检修,jian'xiu
教练坦克,jiao'lian'tan'ke
绞盘,jiao'pan
金属复合装甲,jin'shu'fu'he'zhuang'jia
金属与非金属复合装甲,jin'shu'yu'fei'jin'shu'fu'he'zhuang'jia
救护车,jiu'hu'che
开始射击地区,kai'shi'she'ji'di'qu
抗弹能力,kang'tan'neng'li
控制盒,kong'zhi'he
轮式,lun'shi
履带,lv'dai
履带式,lv'dai'shi
履带行军,lv'dai'xing'jun
履带着地面积,lv'dai'zhuo'de'mian'ji
门窗关闭机,men'chuang'guan'bi'ji
瞄准镜,miao'zhun'jing
瞄准镜防护罩,miao'zhun'jing'fang'hu'zhao
摩托小时,mo'tuo'xiao'shi
摩托小时储备,mo'tuo'xiao'shi'chu'bei
爬坡,pa'po
爬坡度,pa'po'du
炮手,pao'shou
炮塔,pao'ta
喷火坦克,pen'huo'tan'ke
平板车,ping'ban'che
屏蔽物,ping'bi'wu
屏蔽装甲,ping'bi'zhuang'jia
平均单位压力,ping'jun'dan'wei'ya'li
平均运动速度,ping'jun'yun'dong'su'du
坡度,po'du
器材保障所,qi'cai'bao'zhang'suo
器材仓库,qi'cai'cang'ku
器材基数,qi'cai'ji'shu
潜渡,qian'du
潜渡场,qian'du'chang
前排气口,qian'pai'qi'kou
潜水器材,qian'shui'qi'cai
潜望镜,qian'wang'jing
牵引,qian'yin
牵引车,qian'yin'che
牵引装置,qian'yin'zhuang'zhi
前装甲,qian'zhuang'jia
抢救,qiang'jiu
抢救车,qiang'jiu'che
抢救修理,qiang'jiu'xiu'li
抢修所,qiang'xiu'suo
抢修组,qiang'xiu'zu
轻陷,qing'xian
倾斜行驶速度,qing'xie'xing'shi'su'du
轻型坦克,qing'xing'tan'ke
区分火力,qu'fen'huo'li
三级,san'ji
三级驾驶员,san'ji'jia'shi'yuan
三级射手,san'ji'she'shou
扫雷,sao'lei
扫雷坦克,sao'lei'tan'ke
扫雷装置,sao'lei'zhuang'zhi
山地,shan'di
设伏坦克,she'fu'tan'ke
射击地带,she'ji'di'dai
射击地段,she'ji'di'duan
射击地境,she'ji'di'jing
射击地区,she'ji'di'qu
射角,she'jiao
射手,she'shou
涉水深,she'shui'shen
射向,she'xiang
生存力,sheng'cun'li
事故,shi'gu
疏开地域,shu'kai'di'yu
疏开队形,shu'kai'dui'xing
疏散,shu'san
疏散地域,shu'san'di'yu
双向稳定器,shuang'xiang'wen'ding'qi
水陆抢救车,shui'lu'qiang'jiu'che
水陆坦克,shui'lu'tan'ke
水上照明灯,shui'shang'zhao'ming'deng
水网稻田地,shui'wang'dao'tian'di
死界,si'jie
速度,su'du
损毁,sun'hui
损伤,sun'shang
坦克,tan'ke
坦克兵,tan'ke'bing
坦克并列机枪,tan'ke'bing'lie'ji'qiang
坦克车场,tan'ke'che'chang
坦克乘员,tan'ke'cheng'yuan
坦克乘员训练基地,tan'ke'cheng'yuan'xun'lian'ji'di
坦克大修,tan'ke'da'xiu
坦克搭载步兵,tan'ke'da'zai'bu'bing
坦克待机地域,tan'ke'dai'ji'di'yu
坦克电台,tan'ke'dian'tai
坦克电台无线电网,tan'ke'dian'tai'wu'xian'dian'wang
坦克短停射击,tan'ke'duan'ting'she'ji
坦克发射点,tan'ke'fa'she'dian
坦克发射阵地,tan'ke'fa'she'zhen'di
坦克分队射击,tan'ke'fen'dui'she'ji
坦克分队指挥通信,tan'ke'fen'dui'zhi'hui'tong'xin
坦克分队指挥员,tan'ke'fen'dui'zhi'hui'yuan
坦克分割使用,tan'ke'fen'ge'shi'yong
坦克复合装甲,tan'ke'fu'he'zhuang'jia
坦克高射机枪,tan'ke'gao'she'ji'qiang
坦克工程修理车,tan'ke'gong'cheng'xiu'li'che
坦克观察界,tan'ke'guan'cha'jie
坦克航向机枪,tan'ke'hang'xiang'ji'qiang
坦克后送,tan'ke'hou'song
坦克换季,tan'ke'huan'ji
坦克火控系统,tan'ke'huo'kong'xi'tong
坦克火炮弹道计算机,tan'ke'huo'pao'dan'dao'ji'suan'ji
坦克火炮稳定器,tan'ke'huo'pao'wen'ding'qi
坦克机动抢救修理组,tan'ke'ji'dong'qiang'jiu'xiu'li'zu
坦克机动性,tan'ke'ji'dong'xing
坦克激光测距仪,tan'ke'ji'guang'ce'ju'yi
坦克集结地狱,tan'ke'ji'jie'di'yu
坦克技术保养,tan'ke'ji'shu'bao'yang
坦克技术保障,tan'ke'ji'shu'bao'zhang
坦克集中火力,tan'ke'ji'zhong'huo'li
坦克集中射击地段,tan'ke'ji'zhong'she'ji'di'duan
坦克集中使用,tan'ke'ji'zhong'shi'yong
坦克架桥车,tan'ke'jia'qiao'che
坦克驾驶等级,tan'ke'jia'shi'deng'ji
坦克检修,tan'ke'jian'xiu
坦克救护,tan'ke'jiu'hu
坦克救护牵引车,tan'ke'jiu'hu'qian'yin'che
坦克密度,tan'ke'mi'du
坦克摩托小时储备,tan'ke'mo'tuo'xiao'shi'chu'bei
坦克炮,tan'ke'pao
坦克炮死界,tan'ke'pao'si'jie
坦克炮有效射程,tan'ke'pao'you'xiao'she'cheng
坦克平板车,tan'ke'ping'ban'che
坦克平均单位压力,tan'ke'ping'jun'dan'wei'ya'li
坦克平均运动速度,tan'ke'ping'jun'yun'dong'su'du
坦克器材保障所,tan'ke'qi'cai'bao'zhang'suo
坦克潜渡,tan'ke'qian'du
坦克潜渡场,tan'ke'qian'du'chang
坦克抢救,tan'ke'qiang'jiu
坦克抢修,tan'ke'qiang'xiu
坦克抢修所,tan'ke'qiang'xiu'suo
坦克区分火力,tan'ke'qu'fen'huo'li
坦克三防,tan'ke'san'fang
坦克三防装置,tan'ke'san'fang'zhuang'zhi
坦克扫雷器,tan'ke'sao'lei'qi
坦克射击地带,tan'ke'she'ji'di'dai
坦克射击地境,tan'ke'she'ji'di'jing
坦克射手等级,tan'ke'she'shou'deng'ji
坦克涉水深,tan'ke'she'shui'shen
坦克生存力,tan'ke'sheng'cun'li
坦克师,tan'ke'shi
坦克事故,tan'ke'shi'gu
坦克疏开,tan'ke'shu'kai
坦克疏开地域,tan'ke'shu'kai'di'yu
坦克疏开队形,tan'ke'shu'kai'dui'xing
坦克疏散地域,tan'ke'shu'san'di'yu
坦克输送,tan'ke'shu'song
坦克损毁,tan'ke'sun'hui
坦克通过垂直高,tan'ke'tong'guo'chui'zhi'gao
坦克通行力,tan'ke'tong'xing'li
坦克徒步,tan'ke'tu'bu
坦克突击力,tan'ke'tu'ji'li
坦克徒涉场,tan'ke'tu'she'chang
坦克团,tan'ke'tuan
坦克拖救,tan'ke'tuo'jiu
坦克完好率,tan'ke'wan'hao'lv
坦克尾部,tan'ke'wei'bu
坦克小修,tan'ke'xiao'xiu
坦克行进间射击,tan'ke'xing'jin'jian'she'ji
坦克修理,tan'ke'xiu'li
坦克修理连,tan'ke'xiu'li'lian
坦克修理营,tan'ke'xiu'li'ying
坦克烟幕筒,tan'ke'yan'mu'tong
坦克掩体,tan'ke'yan'ti
坦克夜视距离,tan'ke'ye'shi'ju'li
坦克夜视仪器,tan'ke'ye'shi'yi'qi
坦克引导步兵,tan'ke'yin'dao'bu'bing
坦克预备队,tan'ke'yu'bei'dui
坦克淤陷,tan'ke'yu'xian
坦克原地射击,tan'ke'yuan'di'she'ji
坦克越壕宽,tan'ke'yue'hao'kuan
坦克战备器材基数,tan'ke'zhan'bei'qi'cai'ji'shu
坦克战斗队形,tan'ke'zhan'dou'dui'xing
坦克战斗全重,tan'ke'zhan'dou'quan'zhong
坦克战斗准备,tan'ke'zhan'dou'zhun'bei
坦克展开地区,tan'ke'zhan'kai'de'qu
坦克战伤,tan'ke'zhan'shang
坦克支援步兵,tan'ke'zhi'yuan'bu'bing
坦克中修,tan'ke'zhong'xiu
坦克专业技术训练,tan'ke'zhuan'ye'ji'shu'xun'lian
坦克自救,tan'ke'zi'jiu
坦克最大爬坡度,tan'ke'zui'da'pa'po'du
坦克最大倾斜行驶坡度,tan'ke'zui'da'qing'xie'xing'shi'po'du
坦克最大下坡度,tan'ke'zui'da'xia'po'du
坦克最大行程,tan'ke'zui'da'xing'cheng
陶瓷树脂,tao'ci'shu'zhi
特级,te'ji
特级射手,te'ji'she'shou
特种坦克,te'zhong'tan'ke
天线,tian'xian
通过垂直高,tong'guo'chui'zhi'gao
通信车,tong'xin'che
通行力,tong'xing'li
突击力,tu'ji'li
徒涉,tu'she
徒涉场,tu'she'chang
推土铲,tui'tu'chan
推土齿,tui'tu'chi
拖救,tuo'jiu
挖掘式,wa'jue'shi
完好率,wan'hao'lv
微光夜视仪,wei'guang'ye'shi'yi
稳定器,wen'ding'qi
无线电通信网,wu'xian'dian'tong'xin'wang
洗车台,xi'che'tai
下坡度,xia'po'du
小修,xiao'xiu
行进间射击,xing'jin'jian'she'ji
行驶前检查,xing'shi'qian'jian'cha
行驶速度,xing'shi'su'du
修理间,xiu'li'jian
旋转炮塔,xuan'zhuan'pao'ta
训练基地,xun'lian'ji'di
掩体,yan'ti
烟雾,yan'wu
夜视距离,ye'shi'ju'li
夜视仪,ye'shi'yi
夜视仪器,ye'shi'yi'qi
野战车场,ye'zhan'che'chang
一级,yi'ji
一级驾驶员,yi'ji'jia'shi'yuan
一级射手,yi'ji'she'shou
一炮手,yi'pao'shou
引导步兵,yin'dao'bu'bing
永久车场,yong'jiu'che'chang
游动,you'dong
游动射击,you'dong'she'ji
游动坦克,you'dong'tan'ke
有效射程,you'xiao'she'cheng
预备队,yu'bei'dui
淤陷,yu'xian
原地射击,yuan'di'she'ji
原件,yuan'jian
越壕宽,yue'hao'kuan
跃进距离,yue'jin'ju'li
运动速度,yun'dong'su'du
增强塑料,zeng'qiang'su'liao
增压风扇,zeng'ya'feng'shan
战备器材基数,zhan'bei'qi'cai'ji'shu
战备坦克,zhan'bei'tan'ke
战斗队形,zhan'dou'dui'xing
战斗全重,zhan'dou'quan'zhong
战斗准备,zhan'dou'zhun'bei
展开,zhan'kai
展开地区,zhan'kai'de'qu
战伤,zhan'shang
侦察设备,zhen'cha'she'bei
侦察坦克,zhen'cha'tan'ke
值班室,zhi'ban'shi
值班收听,zhi'ban'shou'ting
值班坦克,zhi'ban'tan'ke
指挥潜望镜,zhi'hui'qian'wang'jing
指挥塔,zhi'hui'ta
指挥坦克,zhi'hui'tan'ke
支援步兵,zhi'yuan'bu'bing
重陷,zhong'xian
中陷,zhong'xian
重型坦克,zhong'xing'tan'ke
中修,zhong'xiu
驻锄推土铲,zhu'chu'tui'tu'chan
驻锄推土齿,zhu'chu'tui'tu'chi
主动轮,zhu'dong'lun
主战坦克,zhu'zhan'tan'ke
专业技术训练,zhuan'ye'ji'shu'xun'lian
装甲兵,zhuang'jia'bing
装甲步兵分队,zhuang'jia'bu'bing'fen'dui
装甲步兵团,zhuang'jia'bu'bing'tuan
装甲车辆,zhuang'jia'che'liang
装甲反坦克导弹车,zhuang'jia'fan'tan'ke'dao'dan'che
装甲防护力,zhuang'jia'fang'hu'li
装甲救护车,zhuang'jia'jiu'hu'che
装甲输送车,zhuang'jia'shu'song'che
装甲通信车,zhuang'jia'tong'xin'che
装填,zhuang'tian
装填弹药,zhuang'tian'dan'yao
着地面积,zhuo'de'mian'ji
自动桥梁装置,zi'dong'qiao'liang'zhuang'zhi
自救,zi'jiu
自救器材,zi'jiu'qi'cai
自身动力,zi'shen'dong'li
自行炮,zi'xing'pao
自行炮团,zi'xing'pao'tuan
综合修理,zong'he'xiu'li
最大爬坡度,zui'da'pa'po'du
最大爬升高度,zui'da'pa'sheng'gao'du
最大倾斜行驶坡度,zui'da'qing'xie'xing'shi'po'du
最大下坡度,zui'da'xia'po'du
最大行程,zui'da'xing'cheng
作战坦克,zuo'zhan'tan'ke
作战指挥,zuo'zhan'zhi'hui
