阿波,a'bo
本庄繁长,ben'zhuang'fan'chang
比叡山,bi'rui'shan
别所长治,bie'suo'chang'zhi
滨松,bin'song
并和氏续,bing'he'shi'xu
兵农合一,bing'nong'he'yi
波多野晴通,bo'duo'ye'qing'tong
波多野秀尚,bo'duo'ye'xiu'shang
波多野秀治,bo'duo'ye'xiu'zhi
波多野稙通,bo'duo'ye'zhi'tong
播磨,bo'mo
播磨屋宗德,bo'mo'wu'zong'de
伯耆,bo'qi
薄田兼相,bo'tian'jian'xiang
不破光治,bu'po'guang'zhi
不破直光,bu'po'zhi'guang
藏田五郎左,cang'tian'wu'lang'zuo
曾根昌世,ceng'gen'chang'shi
茶茶,cha'cha
茶屋四郎次郎,cha'wu'si'lang'ci'lang
茶屋又四郎,cha'wu'you'si'lang
柴田胜丰,chai'tian'sheng'feng
柴田胜家,chai'tian'sheng'jia
长坂长闲,chang'ban'chang'xian
长坂胜繁,chang'ban'sheng'fan
长船纲直,chang'chuan'gang'zhi
长船贞亲,chang'chuan'zhen'qin
长谷川等伯,chang'gu'chuan'deng'bo
长井道利,chang'jing'dao'li
长连龙,chang'lian'long
常陆,chang'lu
长门,chang'men
长束正家,chang'shu'zheng'jia
长尾景虎,chang'wei'jing'hu
长尾晴景,chang'wei'qing'jing
长尾为景,chang'wei'wei'jing
长尾政景,chang'wei'zheng'jing
长享,chang'xiang
长筱合战,chang'xiao'he'zhan
长续连,chang'xu'lian
长野具藤,chang'ye'ju'teng
长野业盛,chang'ye'ye'sheng
长野业正,chang'ye'ye'zheng
长宗我部国亲,chang'zong'wo'bu'guo'qin
长宗我部亲吉,chang'zong'wo'bu'qin'ji
长宗我部盛亲,chang'zong'wo'bu'sheng'qin
长宗我部信亲,chang'zong'wo'bu'xin'qin
长宗我部元亲,chang'zong'wo'bu'yuan'qin
朝比奈泰朝,chao'bi'nai'tai'chao
朝仓景恒,chao'cang'jing'heng
朝仓景健,chao'cang'jing'jian
朝仓景镜,chao'cang'jing'jing
朝仓景连,chao'cang'jing'lian
朝仓孝景,chao'cang'xiao'jing
朝仓义景,chao'cang'yi'jing
朝仓宗滴,chao'cang'zong'di
车悬,che'xuan
成富茂安,cheng'fu'mao'an
城井镇房,cheng'jing'zhen'fang
成松信胜,cheng'song'xin'sheng
成田长泰,cheng'tian'chang'tai
成田长忠,cheng'tian'chang'zhong
成田氏长,cheng'tian'shi'chang
赤池长任,chi'chi'chang'ren
赤井直正,chi'jing'zhi'zheng
池赖和,chi'lai'he
赤松义佑,chi'song'yi'you
赤松政秀,chi'song'zheng'xiu
赤松政则,chi'song'zheng'ze
池田恒兴,chi'tian'heng'xing
池田辉政,chi'tian'hui'zheng
池田物左卫门,chi'tian'wu'zuo'wei'men
池田元助,chi'tian'yuan'zhu
赤尾清纲,chi'wei'qing'gang
赤穴盛清,chi'xue'sheng'qing
初井教业,chu'jing'jiao'ye
出浦盛清,chu'pu'sheng'qing
出羽,chu'yu
出云,chu'yun
出云阿国,chu'yun'a'guo
出云的阿国,chu'yun'de'a'guo
出云之鹿,chu'yun'zhi'lu
川上久朗,chuan'shang'jiu'lang
川上忠坚,chuan'shang'zhong'jian
川上忠智,chuan'shang'zhong'zhi
川中岛合战,chuan'zhong'dao'he'zhan
春日局,chun'ri'ju
春日山,chun'ri'shan
村井长赖,cun'jing'chang'lai
村井长明,cun'jing'chang'ming
村井贞胜,cun'jing'zhen'sheng
村上国清,cun'shang'guo'qing
村上武吉,cun'shang'wu'ji
村上义清,cun'shang'yi'qing
村上元吉,cun'shang'yuan'ji
大阪,da'ban
大阪冬之阵,da'ban'dong'zhi'zhen
大阪七星将,da'ban'qi'xing'jiang
大阪夏之阵,da'ban'xia'zhi'zhen
大宝寺义氏,da'bao'si'yi'shi
大村纯忠,da'cun'chun'zhong
大道寺政繁,da'dao'si'zheng'fan
大谷吉继,da'gu'ji'ji
大国实赖,da'guo'shi'lai
大和,da'he
大久保长安,da'jiu'bao'chang'an
大久保忠教,da'jiu'bao'zhong'jiao
大久保忠邻,da'jiu'bao'zhong'lin
大久保忠世,da'jiu'bao'zhong'shi
大久保忠员,da'jiu'bao'zhong'yuan
大久保忠佐,da'jiu'bao'zhong'zuo
大内定纲,da'nei'ding'gang
大内辉弘,da'nei'hui'hong
大内隆宏,da'nei'long'hong
大内义长,da'nei'yi'chang
大内义隆,da'nei'yi'long
大内义兴,da'nei'yi'xing
大内政弘,da'nei'zheng'hong
大崎义隆,da'qi'yi'long
大崎义直,da'qi'yi'zhi
大石智久,da'shi'zhi'jiu
大熊朝秀,da'xiong'chao'xiu
大须贺康高,da'xu'he'kang'gao
大野治长,da'ye'zhi'chang
大野治房,da'ye'zhi'fang
大野治胤,da'ye'zhi'yin
大永,da'yong
大友亲盛,da'you'qin'sheng
大友亲家,da'you'qing'jia
大友晴英,da'you'qing'ying
大友义鑑,da'you'yi'jian
大友义统,da'you'yi'tong
大友义镇,da'you'yi'zhen
大友宗麟,da'you'zong'lin
大隅,da'yu
大月景秀,da'yue'jing'xiu
丹波,dan'bo
丹波鬼,dan'bo'gui
丹后,dan'hou
淡路,dan'lu
但马,dan'ma
丹羽长秀,dan'yu'chang'xiu
丹羽长重,dan'yu'chang'zhong
道川兵卫三郎,dao'chuan'bing'wei'san'lang
稻富一梦,dao'fu'yi'meng
稻姬,dao'ji
岛津丰久,dao'jin'feng'jiu
岛津贵久,dao'jin'gui'jiu
岛津家久,dao'jin'jia'jiu
岛津龙伯,dao'jin'long'bo
岛津日新斋,dao'jin'ri'xin'zhai
岛津尚久,dao'jin'shang'jiu
岛津实久,dao'jin'shi'jiu
岛津岁久,dao'jin'sui'jiu
岛津义弘,dao'jin'yi'hong
岛津义虎,dao'jin'yi'hu
岛津义久,dao'jin'yi'jiu
岛津征久,dao'jin'zheng'jiu
岛津忠恒,dao'jin'zhong'heng
岛津忠将,dao'jin'zhong'jiang
岛津忠良,dao'jin'zhong'liang
岛井宗室,dao'jing'zong'shi
岛清兴,dao'qing'xing
岛胜猛,dao'sheng'meng
刀狩,dao'shou
稻叶一铁,dao'ye'yi'tie
稻叶贞通,dao'ye'zhen'tong
稻叶正成,dao'ye'zheng'cheng
岛左近,dao'zuo'jin
德川家光,de'chuan'jia'guang
德川家康,de'chuan'jia'kang
德川赖房,de'chuan'lai'fang
德川赖宣,de'chuan'lai'xuan
德川信康,de'chuan'xin'kang
德川秀忠,de'chuan'xiu'zhong
德川义直,de'chuan'yi'zhi
得居通之,de'ju'tong'zhi
德永寿昌,de'yong'shou'chang
地黄八幡,di'huang'ba'fan
淀君,dian'jun
淀屋长安,dian'wu'chang'an
钓野伏,diao'ye'fu
东海道,dong'hai'dao
东海道第一弓取,dong'hai'dao'di'yi'gong'qu
东山道,dong'shan'dao
东乡重位,dong'xiang'zhong'wei
渡边勘兵卫,du'bian'kan'bing'wei
渡边守纲,du'bian'shou'gang
笃十藏,du'shi'cang
独眼龙政宗,du'yan'long'zheng'zong
对马,dui'ma
盾冈满茂,dun'gang'man'mao
多罗尾光俊,duo'luo'wei'guang'jun
多田满赖,duo'tian'man'lai
二本松义继,er'ben'song'yi'ji
二宫就辰,er'gong'jiu'chen
二阶崩之变,er'jie'beng'zhi'bian
二阶堂辉行,er'jie'tang'hui'xing
二阶堂盛义,er'jie'tang'sheng'yi
二阶堂照行,er'jie'tang'zhao'xing
二曲轮之助,er'qu'lun'zhi'zhu
儿玉就英,er'yu'jiu'ying
繁尺元氏,fan'chi'yuan'shi
饭富虎昌,fan'fu'hu'chang
饭田觉兵卫,fan'tian'jue'bing'wei
饭田直政,fan'tian'zhi'zheng
饭尾连龙,fan'wei'lian'long
芳春院,fang'chun'yuan
芳贺高定,fang'he'gao'ding
芳贺高继,fang'he'gao'ji
肥后,fei'hou
肥前,fei'qian
肥前之熊,fei'qian'zhi'xiong
飞驒,fei'tuo
分部光嘉,fen'bu'guang'jia
丰臣国松,feng'chen'guo'song
丰臣完子,feng'chen'wan'zi
丰臣秀长,feng'chen'xiu'chang
丰臣秀次,feng'chen'xiu'ci
丰臣秀吉,feng'chen'xiu'ji
丰臣秀赖,feng'chen'xiu'lai
丰臣秀胜,feng'chen'xiu'sheng
丰臣秀信,feng'chen'xiu'xin
丰后,feng'hou
风魔小太郎,feng'mo'xiao'tai'lang
丰前,feng'qian
蜂屋赖隆,feng'wu'lai'long
蜂须贺家政,feng'xu'he'jia'zheng
蜂须贺小六,feng'xu'he'xiao'liu
蜂须贺正胜,feng'xu'he'zheng'sheng
服部半藏,fu'bu'ban'zang
福岛正则,fu'dao'zheng'ze
福留亲政,fu'liu'qin'zheng
福留仪重,fu'liu'yi'zhong
富山,fu'shan
富田景胜,fu'tian'jing'sheng
富田景政,fu'tian'jing'zheng
富田隆实,fu'tian'long'shi
富田势源,fu'tian'shi'yuan
富田重政,fu'tian'zhong'zheng
富永山随,fu'yong'shan'sui
福原贞俊,fu'yuan'zhen'jun
府中三人众,fu'zhong'san'ren'zhong
肝付兼护,gan'fu'jian'hu
肝付兼亮,gan'fu'jian'liang
肝付兼续,gan'fu'jian'xu
肝付良兼,gan'fu'liang'jian
甘利昌忠,gan'li'chang'zhong
甘利虎泰,gan'li'hu'tai
甘糟景持,gan'zao'jing'chi
甘糟景继,gan'zao'jing'ji
冈本禅哲,gang'ben'chan'zhe
冈本赖氏,gang'ben'lai'shi
冈本随缘斋,gang'ben'sui'yuan'zhai
冈部元信,gang'bu'yuan'xin
冈部贞纲,gang'bu'zhen'gang
冈部正纲,gang'bu'zheng'gang
冈吉正,gang'ji'zheng
冈利胜,gang'li'sheng
冈崎,gang'qi
冈田重孝,gang'tian'zhong'xiao
高坂昌信,gao'ban'chang'xin
高坂甚内,gao'ban'shen'nei
高岛政重,gao'dao'zheng'zhong
高力清长,gao'li'qing'chang
高梨政赖,gao'li'zheng'lai
高木清长,gao'mu'qing'chang
高桥鉴种,gao'qiao'jian'zhong
高桥绍运,gao'qiao'shao'yun
高山右近,gao'shan'you'jin
高山友照,gao'shan'you'zhao
高山重友,gao'shan'zhong'you
高台院,gao'tai'yuan
镐团右卫门,gao'tuan'you'wei'men
高野山,gao'ye'shan
高远赖继,gao'yuan'lai'ji
镐直政,gao'zhi'zheng
葛山氏元,ge'shan'shi'yuan
葛西晴信,ge'xi'qing'xin
根岸兔角,gen'an'tu'jiao
根津甚八,gen'jin'shen'ba
根来寺,gen'lai'si
亘理元宗,gen'li'yuan'zong
宫本传太夫,gong'ben'chuan'tai'fu
宫本武藏,gong'ben'wu'zang
宫部继润,gong'bu'ji'run
攻弹正,gong'dan'zheng
沟口秀胜,gou'kou'xiu'sheng
沟尾庄兵卫,gou'wei'zhuang'bing'wei
古河公方,gu'he'gong'fang
古河御所,gu'he'yu'suo
古田重然,gu'tian'zhong'ran
谷忠澄,gu'zhong'cheng
关东管领,guan'dong'guan'ling
关口氏广,guan'kou'shi'guang
关盛信,guan'sheng'xin
关一政,guan'yi'zheng
关原合战,guan'yuan'he'zhan
龟井兹矩,gui'jing'zi'ju
鬼美浓,gui'mei'nong
鬼庭纲元,gui'ting'gang'yuan
鬼庭左月,gui'ting'zuo'yue
鬼小岛弥太郎,gui'xiao'dao'mi'tai'lang
鬼玄蕃,gui'xuan'fan
鲑延秀纲,gui'yan'xiu'gang
桂元澄,gui'yuan'cheng
鬼之半藏,gui'zhi'ban'cang
鬼作左,gui'zuo'zuo
锅岛胜茂,guo'dao'sheng'mao
锅岛直茂,guo'dao'zhi'mao
国司元相,guo'si'yuan'xiang
果心居士,guo'xin'ju'shi
国友善兵卫,guo'you'shan'bing'wei
海北纲亲,hai'bei'gang'qin
海道第一弓,hai'dao'di'yi'gong
海野栋纲,hai'ye'dong'gang
海野六郎,hai'ye'liu'lang
海野信亲,hai'ye'xin'qin
豪姬,hao'ji
河尻秀隆,he'kao'xiu'long
河内,he'nei
和泉,he'quan
和田惟政,he'tian'wei'zheng
河田长亲,he'tian'zhang'qin
和田昭为,he'tian'zhao'wei
河野通春,he'ye'tong'chun
河野通宣,he'ye'tong'xuan
河野通直,he'ye'tong'zhi
黑田长政,hei'tian'chang'zheng
黑田官兵卫,hei'tian'guan'bing'wei
黑田如水,hei'tian'ru'shui
黑田孝高,hei'tian'xiao'gao
黑田职隆,hei'tian'zhi'long
横谷左近,heng'gu'zuo'jin
横山喜内,heng'shan'xi'nei
横田高松,heng'tian'gao'song
鸿池新六,hong'chi'xin'liu
弘治,hong'zhi
后柏原天皇,hou'bai'yuan'tian'huang
后花园上皇,hou'hua'yuan'shang'huang
后奈良天皇,hou'nai'liang'tian'huang
后水尾天皇,hou'shui'wei'tian'huang
后藤基次,hou'teng'ji'ci
后藤贤丰,hou'teng'xian'feng
后藤信康,hou'teng'xin'kang
后藤又兵卫,hou'teng'you'bing'wei
后土御门天皇,hou'tu'yu'men'tian'huang
后阳成天皇,hou'yang'cheng'tian'huang
户川达安,hu'chuan'da'an
户川秀安,hu'chuan'xiu'an
户次川之战,hu'ci'chuan'zhi'zhan
户次鑑连,hu'ci'jian'lian
户石崩,hu'shi'beng
湖衣姬,hu'yi'ji
户沢盛安,hu'ze'sheng'an
花房正成,hua'fang'zheng'cheng
花房正幸,hua'fang'zheng'xing
花房职秀,hua'fang'zhi'xiu
花之御所,hua'zhi'yu'suo
荒木村重,huang'mu'cun'zhong
荒木氏纲,huang'mu'shi'gang
会津,hui'jin
会津征伐,hui'jin'zheng'fa
迹部胜资,ji'bu'sheng'zi
吉川广家,ji'chuan'guang'jia
吉川经家,ji'chuan'jing'jia
吉川元长,ji'chuan'yuan'chang
吉川元春,ji'chuan'yuan'chun
吉冈长增,ji'gang'chang'zeng
吉冈传七郎,ji'gang'chuan'qi'lang
吉冈清十郎,ji'gang'qing'shi'lang
吉冈宪法,ji'gang'xian'fa
吉弘鉴理,ji'hong'jian'li
吉弘镇种,ji'hong'zhen'zhong
吉见正赖,ji'jian'zheng'lai
吉江景资,ji'jiang'jing'zi
吉江宗信,ji'jiang'zong'xin
吉良亲实,ji'liang'qin'shi
吉良亲贞,ji'liang'qin'zhen
姬路,ji'lu
畿内,ji'nei
季琼真蕊,ji'qiong'zhen'rui
吉田郡山,ji'tian'jun'shan
吉田康俊,ji'tian'kang'jun
吉田孝赖,ji'tian'xiao'lai
吉田印西,ji'tian'yin'xi
吉田政重,ji'tian'zheng'zhong
吉田重俊,ji'tian'zhong'jun
矶野员昌,ji'ye'yuan'chang
纪伊,ji'yi
甲斐,jia'fei
甲斐之虎,jia'fei'zhi'hu
甲斐宗运,jia'fei'zong'yun
加贺,jia'he
甲贺,jia'he
加贺征伐,jia'he'zheng'fa
加藤段藏,jia'teng'duan'cang
加藤光泰,jia'teng'guang'tai
加藤嘉明,jia'teng'jia'ming
加藤清正,jia'teng'qing'zheng
甲阳军鉴,jia'yang'jun'jian
菅达长,jian'da'chang
坚田元庆,jian'tian'yuan'qing
贱岳合战,jian'yue'he'zhan
贱岳七本枪,jian'yue'qi'ben'qiang
菅沼定盈,jian'zhao'ding'ying
江村亲家,jiang'cun'qing'jia
江里口信常,jiang'li'kou'xin'chang
江马辉盛,jiang'ma'hui'sheng
角仓了以,jiao'cang'le'yi
角仓素庵,jiao'cang'su'an
角隈石宗,jiao'wei'shi'zong
角屋七郎次郎,jiao'wu'qi'lang'ci'lang
结城晴朝,jie'cheng'qing'chao
结城秀康,jie'cheng'xiu'kang
结城政胜,jie'cheng'zheng'sheng
堺港,jie'gang
今川氏丰,jin'chuan'shi'feng
今川氏辉,jin'chuan'shi'hui
今川氏亲,jin'chuan'shi'qin
今川氏真,jin'chuan'shi'zhen
津川义冬,jin'chuan'yi'dong
今川义元,jin'chuan'yi'yuan
今川义忠,jin'chuan'yi'zhong
近江,jin'jiang
今井宗久,jin'jing'zong'jiu
今井宗薰,jin'jing'zong'xun
津轻为信,jin'qing'wei'xin
金森长近,jin'sen'chang'jin
金上盛备,jin'shang'sheng'bei
近藤义武,jin'teng'yi'wu
津田监物,jin'tian'jian'wu
津田信澄,jin'tian'xin'cheng
津田宗及,jin'tian'zong'ji
津野亲忠,jin'ye'qin'zhong
金泽,jin'ze
金子元春,jin'zi'yuan'chun
金子元宅,jin'zi'yuan'zhai
京极高次,jing'ji'gao'ci
京极高吉,jing'ji'gao'ji
京极高知,jing'ji'gao'zhi
京极龙子,jing'ji'long'zi
井伊直政,jing'yi'zhi'zheng
臼杵俭速,jiu'chu'jian'su
九鬼广隆,jiu'gui'guang'long
九鬼嘉隆,jiu'gui'jia'long
九鬼守隆,jiu'gui'shou'long
九户政实,jiu'hu'zheng'shi
酒井家次,jiu'jing'jia'ci
酒井忠次,jiu'jing'zhong'ci
酒井忠胜,jiu'jing'zhong'sheng
酒井忠世,jiu'jing'zhong'shi
久武亲信,jiu'wu'qin'xin
久武亲直,jiu'wu'qin'zhi
九州岛,jiu'zhou'dao
九州征伐,jiu'zhou'zheng'fa
菊姬,ju'ji
菊亭晴季,ju'ting'qing'ji
崛立直正,jue'li'zhi'zheng
崛内氏善,jue'nei'shi'shan
崛尾忠氏,jue'wei'zhong'shi
崛直政,jue'zhi'zheng
骏府,jun'fu
骏河,jun'he
可儿才藏,ke'er'cai'cang
口羽通良,kou'yu'tong'liang
堀尾吉晴,ku'wei'ji'qing
堀秀政,ku'xiu'zheng
堀秀治,ku'xiu'zhi
堀越公方,ku'yue'gong'fang
来岛通康,lai'dao'tong'kang
来岛通总,lai'dao'tong'zong
濑田扫部,lai'tian'sao'bu
立花道雪,li'hua'dao'xue
立花誾千代,li'hua'yin'qian'dai
立花直次,li'hua'zhi'ci
立花宗茂,li'hua'zong'mao
里见义弘,li'jian'yi'hong
里见义康,li'jian'yi'kang
里见义赖,li'jian'yi'lai
里见义尧,li'jian'yi'yao
栗林政赖,li'lin'zheng'lai
蛎崎季广,li'qi'ji'guang
蛎崎庆广,li'qi'qing'guang
利休七哲,li'xiu'qi'zhe
立原久纲,li'yuan'jiu'gang
笠原政尧,li'yuan'zheng'yao
镰仓公方,lian'cang'gong'fang
镰仓御所,lian'cang'yu'suo
林崎甚助,lin'qi'shen'zhu
林通胜,lin'tong'sheng
林秀贞,lin'xiu'zhen
铃木元信,ling'mu'yuan'xin
铃木重朝,ling'mu'zhong'chao
铃木重秀,ling'mu'zhong'xiu
铃木重意,ling'mu'zhong'yi
铃木佐大夫,ling'mu'zuo'dai'fu
六角承祯,liu'jiao'cheng'zhen
六角定赖,liu'jiao'ding'lai
六角高赖,liu'jiao'gao'lai
六角义贤,liu'jiao'yi'xian
六角义治,liu'jiao'yi'zhi
柳生兵库助,liu'sheng'bing'ku'zhu
柳生十兵卫,liu'sheng'shi'bing'wei
柳生宗矩,liu'sheng'zong'ju
柳生宗严,liu'sheng'zong'yan
留守政景,liu'shou'zheng'jing
柳原户兵卫,liu'yuan'hu'bing'wei
泷本寺非有,long'ben'si'fei'you
泷川雄利,long'chuan'xiong'li
泷川一益,long'chuan'yi'yi
泷川益重,long'chuan'yi'zhong
笼手田安经,long'shou'tian'an'jing
笼手田安一,long'shou'tian'an'yi
龙造寺长信,long'zao'si'chang'xin
龙造寺家就,long'zao'si'jia'jiu
龙造寺隆信,long'zao'si'long'xin
龙造寺信周,long'zao'si'xin'zhou
龙造寺政家,long'zao'si'zheng'jia
陆奥,lu'ao
芦名盛隆,lu'ming'sheng'long
芦名盛氏,lu'ming'sheng'shi
芦名盛兴,lu'ming'sheng'xing
芦名盛重,lu'ming'sheng'zhong
吕宋助左卫门,lv'song'zhu'zuo'wei'men
马场信房,ma'chang'xin'fang
毛利辉元,mao'li'hui'yuan
毛利隆元,mao'li'long'yuan
毛利胜永,mao'li'sheng'yong
毛利新助,mao'li'xin'zhu
毛利秀广,mao'li'xiu'guang
毛利元就,mao'li'yuan'jiu
毛利重能,mao'li'zhong'neng
毛受胜照,mao'shou'sheng'zhao
美浓,mei'nong
梅岳承芳,mei'yue'cheng'fang
美作,mei'zuo
祢寝重长,mi'qin'zhong'chang
名古屋山三郎,ming'gu'wu'shan'san'lang
明石全登,ming'shi'quan'deng
明应,ming'ying
明应之变,ming'ying'zhi'bian
明智光秀,ming'zhi'guang'xiu
明智秀满,ming'zhi'xiu'man
明智玉子,ming'zhi'yu'zi
末吉孙左卫门,mo'ji'sun'zuo'wei'men
末森城之战,mo'sen'cheng'zhi'zhan
木曾义昌,mu'ceng'yi'chang
木曾义康,mu'ceng'yi'kang
牧村兵部,mu'cun'bing'bu
木村重成,mu'cun'zhong'cheng
木津城,mu'jin'cheng
母里太兵卫,mu'li'tai'bing'wei
母里友信,mu'li'you'xin
木崎原之战,mu'qi'yuan'zhi'zhan
木下昌直,mu'xia'chang'zhi
木下家定,mu'xia'jia'ding
木下利匡,mu'xia'li'kuang
木下利直,mu'xia'li'zhi
木下藤吉郎,mu'xia'teng'ji'lang
木造具政,mu'zao'ju'zheng
那古野,na'gu'ye
那须资晴,na'xu'zi'qing
乃美宗胜,nai'mei'zong'sheng
奈佐日本助,nai'zuo'ri'ben'zhu
南部利直,nan'bu'li'zhi
南部晴政,nan'bu'qing'zheng
南部信直,nan'bu'xin'zhi
楠长谙,nan'chang'an
南海道,nan'hai'dao
内管领,nei'guan'ling
内藤昌丰,nei'teng'chang'feng
内藤如安,nei'teng'ru'an
内藤正成,nei'teng'zheng'cheng
能登,neng'deng
尼子经久,ni'zi'jing'jiu
尼子晴久,ni'zi'qing'jiu
尼子胜久,ni'zi'sheng'jiu
尼子义久,ni'zi'yi'jiu
鲇贝宗重,nian'bei'zong'zhong
鸟居强右卫门,niao'ju'qiang'you'wei'men
鸟居元忠,niao'ju'yuan'zhong
鸟居忠吉,niao'ju'zhong'ji
宁宁,ning'ning
牛尾幸清,niu'wei'xing'qing
浓姬,nong'ji
毘沙门天,pi'sha'men'tian
片仓景纲,pian'cang'jing'gang
片桐且元,pian'tong'qie'yuan
平冈房实,ping'gang'fang'shi
平贺元相,ping'he'yuan'xiang
平氏,ping'shi
平手汎秀,ping'shou'fa'xiu
平手经治,ping'shou'jing'zhi
平手政秀,ping'shou'zheng'xiu
平岩亲吉,ping'yan'qin'ji
平野长泰,ping'ye'chang'tai
破竹柴田,po'zhu'chai'tian
蒲池鉴盛,pu'chi'jian'sheng
蒲池镇涟,pu'chi'zhen'lian
浦上宗景,pu'shang'zong'jing
蒲生定秀,pu'sheng'ding'xiu
蒲生赖乡,pu'sheng'lai'xiang
蒲生氏乡,pu'sheng'shi'xiang
蒲生贤秀,pu'sheng'xian'xiu
蒲生乡舍,pu'sheng'xiang'she
蒲生秀行,pu'sheng'xiu'xing
七里赖周,qi'li'lai'zhou
七条兼仲,qi'tiao'jian'zhong
七尾,qi'wei
千坂景亲,qian'ban'jing'qin
前波吉继,qian'bo'ji'ji
千贺孙兵卫,qian'he'sun'bing'wei
浅井长时,qian'jing'chang'shi
浅井长政,qian'jing'chang'zheng
浅井井赖,qian'jing'jing'lai
浅井久政,qian'jing'jiu'zheng
浅井亮政,qian'jing'liang'zheng
浅利胜赖,qian'li'sheng'lai
千利休,qian'li'xiu
前田安胜,qian'tian'an'sheng
前田利长,qian'tian'li'chang
前田利常,qian'tian'li'chang
前田利昌,qian'tian'li'chang
前田利家,qian'tian'li'jia
前田利久,qian'tian'li'jiu
前田利益,qian'tian'li'yi
前田利政,qian'tian'li'zheng
前田庆次,qian'tian'qing'ci
前田松,qian'tian'song
前田秀继,qian'tian'xiu'ji
前田玄以,qian'tian'xuan'yi
千叶邦胤,qian'ye'bang'yin
前野长康,qian'ye'chang'kang
浅野长晟,qian'ye'chang'sheng
浅野长政,qian'ye'chang'zheng
浅野幸长,qian'ye'xing'chang
千叶胤富,qian'ye'yin'fu
千宗易,qian'zong'yi
枪弹正,qiang'dan'zheng
枪之又左,qiang'zhi'you'zuo
庆长,qing'chang
倾奇者,qing'qi'zhe
青山忠成,qing'shan'zhong'cheng
清水康英,qing'shui'kang'ying
清水宗治,qing'shui'zong'zhi
清洲,qing'zhou
秋山信友,qiu'shan'xin'you
秋上久家,qiu'shang'jiu'jia
秋田实季,qiu'tian'shi'ji
曲直濑道三,qu'zhi'lai'dao'san
犬童赖安,quan'tong'lai'an
泉泽久秀,quan'ze'jiu'xiu
仁科盛信,ren'ke'sheng'xin
日本七柱枪,ri'ben'qi'zhu'qiang
日根野弘就,ri'gen'ye'hong'jiu
日向,ri'xiang
日野富子,ri'ye'fu'zi
若林镇兴,ruo'lin'zhen'xing
若狭,ruo'xia
萨摩,sa'mo
三村家亲,san'cun'jia'qin
三村元亲,san'cun'yuan'qin
