阿海快餐,a'hai'kuai'can
华萃园,hua'cui'yuan
华润园,hua'run'yuan
华艺园,hua'yi'yuan
黄云明,huang'yun'ming
回民食堂,hui'min'shi'tang
慧园,hui'yuan
慧园公寓,hui'yuan'gong'yu
鸡蛋灌饼,ji'dan'guan'bing
霁雨轩,ji'yu'xuan
姜剑云,jiang'jian'yun
姜锡东,jiang'xi'dong
教育史,jiao'yu'shi
津沽大学,jin'gu'da'xue
金强,jin'qiang
金融学院,jin'rong'xue'yuan
金专,jin'zhuan
景观大道,jing'guan'da'dao
九教,jiu'jiao
就业信息网,jiu'ye'xin'xi'wang
就业指导报,jiu'ye'zhi'dao'bao
就业指导中心,jiu'ye'zhi'dao'zhong'xin
菊园,ju'yuan
菊园公寓,ju'yuan'gong'yu
军校广场,jun'xiao'guang'chang
康书生,kang'shu'sheng
康现江,kang'xian'jiang
科研信息网,ke'yan'xin'xi'wang
莱尚网吧,lai'shang'wang'ba
老厨记,lao'chu'ji
李华瑞,li'hua'rui
李记太,li'ji'tai
李金善,li'jin'shan
李金峥,li'jin'zheng
礼模团,li'mo'tuan
李同双,li'tong'shuang
李维意,li'wei'yi
李晓苇,li'xiao'wei
李亚虹,li'ya'hong
李振刚,li'zhen'gang
李自壮,li'zi'zhuang
梁巍,liang'wei
林群,lin'qun
林群院士,lin'qun'yuan'shi
刘崇德,liu'chong'de
刘建平,liu'jian'ping
六教,liu'jiao
刘金勇,liu'jin'yong
刘培,liu'pei
刘秋根,liu'qiu'gen
刘姗,liu'shan
刘淑学,liu'shu'xue
刘永瑞,liu'yong'rui
刘玉凯,liu'yu'kai
卢子震,lu'zi'zhen
驴肉火烧,lv'rou'huo'shao
梅园,mei'yuan
梅园公寓,mei'yuan'gong'yu
茗园,ming'yuan
茗园公寓,ming'yuan'gong'yu
那约文华,na'yue'wen'hua
南北院,nan'bei'yuan
南鹏路,nan'peng'lu
南院,nan'yuan
南院操场,nan'yuan'cao'chang
南院电教室,nan'yuan'dian'jiao'shi
南院篮球场,nan'yuan'lan'qiu'chang
南院排球场,nan'yuan'pai'qiu'chang
南院食堂,nan'yuan'shi'tang
胖仔米线,pang'zai'mi'xian
彭焕萍,peng'huan'ping
彭英才,peng'ying'cai
飘香居,piao'xiang'ju
七教,qi'jiao
七一东路,qi'yi'dong'lu
七一路,qi'yi'lu
前卫路,qian'wei'lu
前卫路家具城,qian'wei'lu'jia'ju'cheng
前卫路小学,qian'wei'lu'xiao'xue
沁园公寓,qin'yuan'gong'yu
青年公寓,qing'nian'gong'yu
青年教职工公寓,qing'nian'jiao'zhi'gong'gong'yu
青年通讯社,qing'nian'tong'xun'she
情人坡,qing'ren'po
青通社,qing'tong'she
清真食堂,qing'zhen'shi'tang
任国栋,ren'guo'dong
任国升,ren'guo'sheng
三号楼,san'hao'lou
三零四报告厅,san'ling'si'bao'gao'ting
沈韫芬,shen'yun'fen
沈韫芬院士,shen'yun'fen'yuan'shi
石蓬勃,shi'peng'bo
实事求是,shi'shi'qiu'shi
实事求是笃学诚行,shi'shi'qiu'shi'du'xue'cheng'xing
时永乐,shi'yong'le
数计学院,shu'ji'xue'yuan
双拥广场,shuang'yong'guang'chang
四教,si'jiao
宋大祥,song'da'xiang
宋大祥院士,song'da'xiang'yuan'shi
宋少俊,song'shao'jun
宋史研究,song'shi'yan'jiu
宋史研究中心,song'shi'yan'jiu'zhong'xin
孙汉文,sun'han'wen
孙景元,sun'jing'yuan
孙胜存,sun'sheng'cun
田家炳艺术学院,tian'jia'bing'yi'shu'xue'yuan
田建民,tian'jian'min
田建平,tian'jian'ping
天津工商学院,tian'jin'gong'shang'xue'yuan
天津师范学院,tian'jin'shi'fan'xue'yuan
天映影城,tian'ying'ying'cheng
王长华,wang'chang'hua
王二军,wang'er'jun
王洪瑞,wang'hong'rui
王景明,wang'jing'ming
王梅,wang'mei
王培光,wang'pei'guang
汪圣铎,wang'sheng'duo
王婷婷,wang'ting'ting
王熙照,wang'xi'zhao
王智利,wang'zhi'li
尉长江,wei'chang'jiang
魏江春,wei'jiang'chun
魏江春院士,wei'jiang'chun'yuan'shi
文林楼,wen'lin'lou
文文米线,wen'wen'mi'xian
文宗楼,wen'zong'lou
我爸是李刚,wo'ba'shi'li'gang
武术协会,wu'shu'xie'hui
五四东路,wu'si'dong'lu
舞协,wu'xie
湘菜加油站,xiang'cai'jia'you'zhan
校本部,xiao'ben'bu
小西门,xiao'xi'men
小营坊,xiao'ying'fang
新区,xin'qu
新闻传播学院,xin'wen'chuan'bo'xue'yuan
新闻中心,xin'wen'zhong'xin
新校区管委会,xin'xiao'qu'guan'wei'hui
辛欣,xin'xin
馨园,xin'yuan
馨园公寓,xin'yuan'gong'yu
徐建中,xu'jian'zhong
学二,xue'er
学一,xue'yi
阎广芬,yan'guang'fen
燕赵,yan'zhao
雁阵杂志社,yan'zhen'za'zhi'she
杨宝忠,yang'bao'zhong
杨更亮,yang'geng'liang
扬子波,yang'zi'bo
姚子华,yao'zi'hua
易百超市,yi'bai'chao'shi
逸夫楼,yi'fu'lou
一教,yi'jiao
印象初,yin'xiang'chu
印象初院士,yin'xiang'chu'yuan'shi
迎新晚会,ying'xin'wan'hui
尉迟林嘉,yu'chi'lin'jia
宇文宏,yu'wen'hong
园中苑,yuan'zhong'yuan
詹福瑞,zhan'fu'rui
张安生,zhang'an'sheng
张连水,zhang'lian'shui
帐篷剧团,zhang'peng'ju'tuan
张文翠,zhang'wen'cui
张燕京,zhang'yan'jing
张玉奎,zhang'yu'kui
张玉奎院士,zhang'yu'kui'yuan'shi
张钟华,zhang'zhong'hua
张钟华院士,zhang'zhong'hua'yuan'shi
赵品奇,zhao'pin'qi
赵晓瑜,zhao'xiao'yu
甄巍然,zhen'wei'ran
中国地质大学长城学院,zhong'guo'di'zhi'da'xue'chang'cheng'xue'yuan
中警院,zhong'jing'yuan
中央司法警官学院,zhong'yang'si'fa'jing'guan'xue'yuan
主楼,zhu'lou
主楼广场,zhu'lou'guang'chang
朱明生,zhu'ming'sheng
助学旅馆,zhu'xue'lv'guan
竹园,zhu'yuan
竹园公寓,zhu'yuan'gong'yu
专家公寓,zhuan'jia'gong'yu
紫园,zi'yuan
总督署,zong'du'shu
邹竞,zou'jing
邹竞院士,zou'jing'yuan'shi
祖冲之像,zu'chong'zhi'xiang
