阿碧,a'bi
白云熊胆丸,bai'yun'xiong'dan'wan
百丈飞瀑,bai'zhang'fei'pu
白振,bai'zhen
白自在,bai'zi'zai
般若掌,ban're'zhang
班淑娴,ban'shu'xian
棒打狗头,bang'da'gou'tou
棒打双犬,bang'da'shuang'quan
傍花拂柳,bang'hua'fu'liu
包不同,bao'bu'tong
抱残式,bao'can'shi
鲍承先,bao'cheng'xian
鲍大楚,bao'da'chu
抱虎归山,bao'hu'gui'shan
宝灵拳,bao'ling'quan
鲍千灵,bao'qian'ling
宝树,bao'shu
豹胎易筋丸,bao'tai'yi'jin'wan
豹尾脚,bao'wei'jiao
包惜弱,bao'xi'ruo
宝象和尚,bao'xiang'he'shang
鲍鱼之肆,bao'yu'zhi'si
北斗大阵,bei'dou'da'zhen
贝海石,bei'hai'shi
贝锦仪,bei'jin'yi
北冥神功,bei'ming'shen'gong
贝人龙,bei'ren'long
悲酥清风,bei'su'qing'feng
北渔拓跋氏,bei'yu'tuo'ba'shi
本参,ben'can
本观,ben'guan
本相,ben'xiang
本因,ben'yin
彼得,bi'de
笔贴式,bi'tie'shi
辟邪剑法,bi'xie'jian'fa
碧血剑,bi'xue'jian
碧渊腾蛟,bi'yuan'teng'jiao
碧针清掌,bi'zhen'qing'zhang
冰河倒泻,bing'he'dao'xie
冰河开冻,bing'he'kai'dong
冰魄银针解药,bing'po'yin'zhen'jie'yao
拨草寻蛇,bo'cao'xun'she
博尔忽,bo'er'hu
博尔术,bo'er'shu
拨狗朝天,bo'gou'chao'tian
渤海派,bo'hai'pai
波罗密手,bo'luo'mi'shou
波罗星,bo'luo'xing
拨速台,bo'su'tai
拨云见日,bo'yun'jian'ri
卜沉,bu'chen
捕风式,bu'feng'shi
补锅匠,bu'guo'jiang
不戒和尚,bu'jie'he'shang
不平道人,bu'ping'dao'ren
卜泰,bu'tai
卜垣,bu'yuan
蔡德忠,cai'de'zhong
蔡威,cai'wei
采燕功,cai'yan'gong
参合指,can'he'zhi
参阳玉酒,can'yang'yu'jiu
藏边大丑,cang'bian'da'chou
藏边二丑,cang'bian'er'chou
藏边三丑,cang'bian'san'chou
藏边四丑,cang'bian'si'chou
藏边五丑,cang'bian'wu'chou
藏刀式,cang'dao'shi
苍松迎客,cang'song'ying'ke
曹化淳,cao'hua'chun
曹令割鼻,cao'ling'ge'bi
曹猛,cao'meng
曹能,cao'neng
曹司朋,cao'si'peng
曹云奇,cao'yun'qi
岑其斯,cen'qi'si
曾铁鸥,ceng'tie'ou
曾图南,ceng'tu'nan
察尔珠,cha'er'zhu
察罕特穆尔,cha'han'te'mu'er
察合台,cha'he'tai
查继左,cha'ji'zuo
查拳,cha'quan
柴刀十八路,chai'dao'shi'ba'lu
蟾蜍毒砂,chan'chu'du'sha
缠丝擒拿手,chan'si'qin'na'shou
长安一片月,chang'an'yi'pian'yue
常伯志,chang'bo'zhi
常长风,chang'chang'feng
常赫志,chang'he'zhi
常金鹏,chang'jin'peng
常敬之,chang'jing'zhi
昌齐,chang'qi
长青子,chang'qing'zi
长拳十段锦,chang'quan'shi'duan'jin
常山蛇势,chang'shan'she'shi
常胜宝树王,chang'sheng'bao'shu'wang
长苇渡江,chang'wei'du'jiang
长啸雁落,chang'xiao'yan'luo
常遇春,chang'yu'chun
朝阳峰,chao'yang'feng
车尔库,che'er'ku
车夫,che'fu
陈冲之,chen'chong'zhi
陈大方,chen'da'fang
陈达海,chen'da'hai
陈高波,chen'gao'bo
陈孤雁,chen'gu'yan
陈家洛,chen'jia'luo
陈近南,chen'jin'nan
陈珂,chen'ke
陈老丐,chen'lao'gai
陈七,chen'qi
陈歪嘴,chen'wai'zui
陈玄风,chen'xuan'feng
陈友谅,chen'you'liang
陈禹,chen'yu
陈圆圆,chen'yuan'yuan
陈正德,chen'zheng'de
成不忧,cheng'bu'you
成高道人,cheng'gao'dao'ren
澄观,cheng'guan
澄光,cheng'guang
成璜,cheng'huang
成昆,cheng'kun
程灵素,cheng'ling'su
程青霜,cheng'qing'shuang
程青竹,cheng'qing'zhu
澄识,cheng'shi
程坛主,cheng'tan'zhu
澄通,cheng'tong
程维藩,cheng'wei'fan
澄心,cheng'xin
程瑶迦,cheng'yao'jia
程遥迦,cheng'yao'jia
程瑛,cheng'ying
城字十八破,cheng'zi'shi'ba'po
成自学,cheng'zi'xue
迟百诚,chi'bai'cheng
池边调鹤,chi'bian'tiao'he
池潢不敢顾,chi'huang'bu'gan'gu
赤尻连拳,chi'kao'lian'quan
赤老温,chi'lao'wen
赤日炎炎,chi'ri'yan'yan
赤蝎粉,chi'xie'fen
迟玄,chi'xuan
炽翼千羽,chi'yi'qian'yu
赤月血祭,chi'yue'xue'ji
赤月血魔剑,chi'yue'xue'mo'jian
冲灵剑法,chong'ling'jian'fa
冲虚,chong'xu
冲虚道长,chong'xu'dao'zhang
冲阵斩将,chong'zhen'zhan'jiang
丑脸汉子,chou'lian'han'zi
仇松年,chou'song'nian
出尘子,chu'chen'zi
处处鸟衔飞,chu'chu'niao'xian'fei
褚轰,chu'hong
褚红柏,chu'hong'bai
褚红柳,chu'hong'liu
褚万春,chu'wan'chun
褚万里,chu'wan'li
褚圆,chu'yuan
传功长老,chuan'gong'zhang'lao
穿针引线,chuan'zhen'yin'xian
闯少林,chuang'shao'lin
春蚕掌法,chun'can'zhang'fa
纯阳无极功,chun'yang'wu'ji'gong
春云乍展,chun'yun'zha'zhan
慈悲刀,ci'bei'dao
磁蛋,ci'dan
丛不弃,cong'bu'qi
崔百泉,cui'bai'quan
崔百胜,cui'bai'sheng
崔镖头,cui'biao'tou
崔绿华,cui'lv'hua
催命鬼,cui'ming'gui
崔秋山,cui'qiu'shan
崔希敏,cui'xi'min
崔瞎子,cui'xia'zi
摧心掌,cui'xin'zhang
崔志方,cui'zhi'fang
大悲老人,da'bei'lao'ren
大痴,da'chi
大癫,da'dian
达尔巴,da'er'ba
大风云飞掌,da'feng'yun'fei'zhang
大伏魔拳法,da'fu'mo'quan'fa
打狗棒法,da'gou'bang'fa
打狗入洞,da'gou'ru'dong
大海沉沙,da'hai'chen'sha
大汉,da'han
大金刚拳,da'jin'gang'quan
大金刚掌,da'jin'gang'zhang
大苦,da'ku
大理段氏,da'li'duan'shi
大力鹰爪功,da'li'ying'zhao'gong
大漠飞沙,da'mo'fei'sha
大漠孤烟,da'mo'gu'yan
达摩剑,da'mo'jian
达魔剑,da'mo'jian
达摩剑术,da'mo'jian'shu
大漠平沙,da'mo'ping'sha
达摩掌,da'mo'zhang
大擒拿手,da'qin'na'shou
大摔碑手,da'shuai'bei'shou
大嵩阳神掌,da'song'yang'shen'zhang
大头鬼,da'tou'gui
大韦陀杵,da'wei'tuo'chu
大夜叉棍,da'ye'cha'gun
大智禅师,da'zhi'chan'shi
大智无定指,da'zhi'wu'ding'zhi
呆若木鸡,dai'ruo'mu'ji
戴永明,dai'yong'ming
岱宗如何,dai'zong'ru'he
单鞭,dan'bian
单伯山,dan'bo'shan
单季山,dan'ji'shan
丹青生,dan'qing'sheng
单叔山,dan'shu'shan
单铁生,dan'tie'sheng
弹腿,dan'tui
单小山,dan'xiao'shan
单正,dan'zheng
当头棒喝,dang'tou'bang'he
刀白凤,dao'bai'feng
刀剑如梦,dao'jian'ru'meng
到江吴地尽,dao'jiang'wu'di'jin
倒提金钟,dao'ti'jin'zhong
倒行逆施,dao'xing'ni'shi
捣虚式,dao'xu'shi
德布,de'bu
德成,de'cheng
德鄂,de'e
邓八公,deng'ba'gong
邓百川,deng'bai'chuan
邓炳春,deng'bing'chun
登嵩望月,deng'song'wang'yue
邓愈,deng'yu
狄镖头,di'biao'tou
地火功,di'huo'gong
狄青降龙,di'qing'xiang'long
地堂刀法,di'tang'dao'fa
狄修,di'xiu
羝羊触蕃,di'yang'chu'fan
狄云,di'yun
地藏颂经,di'zang'song'jing
店伴,dian'ban
点苍剑法,dian'cang'jian'fa
点苍派,dian'cang'pai
点苍渔隐,dian'cang'yu'yin
电母照镜,dian'mu'zhao'jing
貂蝉拜月,diao'chan'bai'yue
吊客临门,diao'ke'lin'men
吊死鬼,diao'si'gui
叠翠浮青,die'cui'fu'qing
丁不三,ding'bu'san
丁不四,ding'bu'si
丁春秋,ding'chun'qiu
丁大全,ding'da'quan
丁珰,ding'dang
丁典,ding'dian
丁坚,ding'jian
定静师太,ding'jing'shi'tai
丁勉,ding'mian
丁敏尹,ding'min'yin
定判生死,ding'pan'sheng'si
丁同,ding'tong
定阳针,ding'yang'zhen
定逸,ding'yi
丁游,ding'you
东方不败,dong'fang'bu'bai
董开山,dong'kai'shan
洞玄,dong'xuan
都大锦,dou'da'jin
都史,dou'shi
斗转星移,dou'zhuan'xing'yi
杜百当,du'bai'dang
独臂刀法,du'bi'dao'fa
毒钉解药,du'ding'jie'yao
渡厄,du'e
独孤九剑,du'gu'jiu'jian
独孤求败,du'gu'qiu'bai
毒蒺藜解药,du'ji'li'jie'yao
毒箭解药,du'jian'jie'yao
渡劫,du'jie
杜立德,du'li'de
毒菱解药,du'ling'jie'yao
毒龙鞭法,du'long'bian'fa
渡难,du'nan
毒雾,du'wu
杜希孟,du'xi'meng
毒盐,du'yan
杜长老,du'zhang'lao
毒针环解药,du'zhen'huan'jie'yao
毒针解药,du'zhen'jie'yao
断肠散,duan'chang'san
断筋腐骨丸,duan'jin'fu'gu'wan
端木氏赤焰洞,duan'mu'shi'chi'yan'dong
端木元,duan'mu'yuan
段天德,duan'tian'de
段延庆,duan'yan'qing
段誉,duan'yu
段正淳,duan'zheng'chun
段正明,duan'zheng'ming
对喀纳,dui'ka'na
多尔衮,duo'er'gun
多隆,duo'long
多罗叶指,duo'luo'ye'zhi
夺命连环三仙剑,duo'ming'lian'huan'san'xian'jian
夺魄指,duo'po'zhi
鄂北鬼见愁锺家,e'bei'gui'jian'chou'zhong'jia
鄂尔多,e'er'duo
恶虎拦路,e'hu'lan'lu
峨嵋剑法,e'mei'jian'fa
峨嵋九阳功,e'mei'jiu'yang'gong
峨嵋派,e'mei'pai
恶魔火神剑,e'mo'huo'shen'jian
恶犬拦路,e'quan'lan'lu
二十八招石鼓打穴笔法,er'shi'ba'zhao'shi'gu'da'xue'bi'fa
范百龄,fan'bai'ling
范帮主,fan'bang'zhu
樊纲,fan'gang
梵光初现,fan'guang'chu'xian
范骅,fan'hua
反截狗臀,fan'jie'gou'tun
饭来伸手,fan'lai'shen'shou
反两仪刀法,fan'liang'yi'dao'fa
范文程,fan'wen'cheng
范遥,fan'yao
范一飞,fan'yi'fei
樊一翁,fan'yi'weng
范禹,fan'yu
范中恩,fan'zhong'en
方大洪,fang'da'hong
方东白,fang'dong'bai
方人智,fang'ren'zhi
方生,fang'sheng
方天劳,fang'tian'lao
方怡,fang'yi
方有德,fang'you'de
方证,fang'zheng
费彬,fei'bin
飞凤手,fei'feng'shou
飞花落叶,fei'hua'luo'ye
飞龙在天,fei'long'zai'tian
废寝忘食,fei'qin'wang'shi
飞沙走石,fei'sha'zou'shi
飞天神行,fei'tian'shen'xing
飞絮劲,fei'xu'jin
飞燕穿柳,fei'yan'chuan'liu
飞燕回翔,fei'yan'hui'xiang
费要多罗,fei'yao'duo'luo
分花拂柳,fen'hua'fu'liu
分筋错骨手,fen'jin'cuo'gu'shou
冯阿三,feng'a'san
风波恶,feng'bo'e
冯不摧,feng'bu'cui
封不平,feng'bu'ping
冯不破,feng'bu'po
凤点头,feng'dian'tou
冯衡,feng'heng
冯辉,feng'hui
峰回路转,feng'hui'lu'zhuan
风际中,feng'ji'zhong
风卷长草,feng'juan'zhang'cao
风良,feng'liang
冯默风,feng'mo'feng
疯魔杖法,feng'mo'zhang'fa
冯难敌,feng'nan'di
凤南天,feng'nan'tian
凤七,feng'qi
风清扬,feng'qing'yang
风轻云淡,feng'qing'yun'dan
凤曲长鸣,feng'qu'chang'ming
风沙莽莽,feng'sha'mang'mang
封豕长蛇,feng'shi'chang'she
冯坦,feng'tan
封坛主,feng'tan'zhu
冯同知,feng'tong'zhi
封万里,feng'wan'li
冯锡范,feng'xi'fan
凤一鸣,feng'yi'ming
风云三使,feng'yun'san'shi
冯振武,feng'zhen'wu
拂尘拂法,fu'chen'fu'fa
富春,fu'chun
腐骨穿心膏,fu'gu'chuan'xin'gao
伏虎拳,fu'hu'quan
伏虎掌,fu'hu'zhang
福康安,fu'kang'an
茯苓首乌丸,fu'ling'shou'wu'wan
茯苓燕窝汤,fu'ling'yan'wo'tang
符敏仪,fu'min'yi
伏魔剑,fu'mo'jian
伏魔杖法,fu'mo'zhang'fa
伏牛派,fu'niu'pai
夫妻刀法,fu'qi'dao'fa
抚琴按箫,fu'qin'an'xiao
抚琴式,fu'qin'shi
浮丘挹袖,fu'qiu'yi'xiu
芙蓉剑法,fu'rong'jian'fa
芙蓉金针,fu'rong'jin'zhen
伏狮胜象,fu'shi'sheng'xiang
傅思归,fu'si'gui
俯听闻惊风,fu'ting'wen'jing'feng
负子渡河,fu'zi'du'he
丐帮,gai'bang
盖一鸣,gai'yi'ming
盖运聪,gai'yun'cong
甘宝宝,gan'bao'bao
罡风扫叶,gang'feng'sao'ye
刚相,gang'xiang
高管家,gao'guan'jia
高克新,gao'ke'xin
高老者,gao'lao'zhe
高里津,gao'li'jin
高明根,gao'ming'gen
高三娘子,gao'san'niang'zi
高升泰,gao'sheng'tai
高师弟,gao'shi'di
高探马,gao'tan'ma
高颜超,gao'yan'chao
高则成,gao'ze'cheng
隔岸越山多,ge'an'yue'shan'duo
葛尔丹,ge'er'dan
葛光佩,ge'guang'pei
葛通,ge'tong
葛长老,ge'zhang'lao
耿天霜,geng'tian'shuang
耿万钟,geng'wan'zhong
龚光杰,gong'guang'jie
宫九佳,gong'jiu'jia
公孙绿萼,gong'sun'lv'e
公孙止,gong'sun'zhi
公冶乾,gong'ye'qian
苟读,gou'du
狗头陀,gou'tou'tuo
钩弋握拳,gou'yi'wo'quan
古笃诚,gu'du'cheng
孤鸿海上来,gu'hong'hai'shang'lai
顾金标,gu'jin'biao
古木丛青霭,gu'mu'cong'qing'ai
古墓派,gu'mu'pai
孤萍对月,gu'ping'dui'yue
贾人达,gu'ren'da
古若般,gu'ruo'ban
鼓瑟式,gu'se'shi
姑苏慕容,gu'su'mu'rong
孤形只影,gu'xing'zhi'ying
顾炎武,gu'yan'wu
关安基,guan'an'ji
关冲剑,guan'chong'jian
关明梅,guan'ming'mei
广西黎山洞黎老汉,guang'xi'li'shan'dong'li'lao'han
归二娘,gui'er'niang
贵妃回眸,gui'fei'hui'mou
贵妃醉酒,gui'fei'zui'jiu
归辛树,gui'xin'shu
归钟,gui'zhong
郭芙,guo'fu
郭靖,guo'jing
郭破虏,guo'po'lu
过三拳,guo'san'quan
郭襄,guo'xiang
郭啸天,guo'xiao'tian
过眼云烟,guo'yan'yun'yan
过彦之,guo'yan'zhi
郭玉堂,guo'yu'tang
哈赤大师,ha'chi'da'shi
哈大霸,ha'da'ba
哈合台,ha'he'tai
蛤蟆功,ha'ma'gong
哈总管,ha'zong'guan
海大富,hai'da'fu
海兰弼,hai'lan'bi
海市蜃楼,hai'shi'shen'lou
韩宝驹,han'bao'ju
寒冰绵掌,han'bing'mian'zhang
寒冰神掌,han'bing'shen'zhang
韩春霖,han'chun'lin
韩老丐,han'lao'gai
韩林儿,han'lin'er
寒梅剑阵,han'mei'jian'zhen
韩千叶,han'qian'ye
罕贴摩,han'tie'mo
韩文冲,han'wen'chong
韩无垢,han'wu'gou
韩小莹,han'xiao'ying
寒玉冰蟾膏,han'yu'bing'chan'gao
汉子,han'zi
郝大通,hao'da'tong
郝密,hao'mi
郝太监,hao'tai'jian
河北沧州郑家,he'bei'cang'zhou'zheng'jia
鹤笔翁,he'bi'weng
赫大通,he'da'tong
和尔大,he'er'da
鹤飞九天,he'fei'jiu'tian
何红药,he'hong'yao
贺老三,he'lao'san
和里布,he'li'bu
赫连铁树,he'lian'tie'shu
何三七,he'san'qi
鹤蛇八打,he'she'ba'da
和珅,he'shen
河朔立威,he'shuo'li'wei
何思豪,he'si'hao
何太冲,he'tai'chong
何惕守,he'ti'shou
何铁手,he'tie'shou
何望海,he'wang'hai
鹤翔紫盖,he'xiang'zi'gai
何足道,he'zu'dao
黑暗诱惑,hei'an'you'huo
黑白子,hei'bai'zi
黑风双煞,hei'feng'shuang'sha
黑砂掌,hei'sha'zhang
黑熊,hei'xiong
黑玉断续膏,hei'yu'duan'xu'gao
横拜观音,heng'bai'guan'yin
恒河入海,heng'he'ru'hai
横江飞渡,heng'jiang'fei'du
恒山剑法,heng'shan'jian'fa
恒山剑阵,heng'shan'jian'zhen
恒山派,heng'shan'pai
衡山派,heng'shan'pai
衡山五神剑,heng'shan'wu'shen'jian
横云断峰,heng'yun'duan'feng
恒云悯天,heng'yun'min'tian
洪安通,hong'an'tong
洪朝,hong'chao
鸿飞冥冥,hong'fei'ming'ming
红拂夜奔,hong'fu'ye'ben
鸿渐于陆,hong'jian'yu'lu
洪凌波,hong'ling'bo
虹魔嗜血剑,hong'mo'shi'xue'jian
红娘子,hong'niang'zi
洪七公,hong'qi'gong
洪人雄,hong'ren'xiong
洪胜海,hong'sheng'hai
红线盗盒,hong'xian'dao'he
洪崖拍肩,hong'ya'pai'jian
红玉击鼓,hong'yu'ji'gu
烘云托月,hong'yun'tuo'yue
侯飞文,hou'fei'wen
侯人英,hou'ren'ying
後山三绝招,hou'shan'san'jue'zhao
侯通海,hou'tong'hai
呼巴音,hu'ba'yin
湖北阮家,hu'bei'ruan'jia
忽必烈,hu'bi'lie
胡大哥,hu'da'ge
胡德第,hu'de'di
忽都虎,hu'dou'hu
胡斐,hu'fei
胡夫人,hu'fu'ren
胡桂南,hu'gui'nan
胡家刀法,hu'jia'dao'fa
虎筋虎骨膏,hu'jin'hu'gu'gao
胡老三,hu'lao'san
胡老爷,hu'lao'ye
忽伦大虎,hu'lun'da'hu
忽伦二虎,hu'lun'er'hu
忽伦三虎,hu'lun'san'hu
忽伦四虎,hu'lun'si'hu
胡马越岭,hu'ma'yue'ling
胡青牛,hu'qing'niu
胡青羊,hu'qing'yang
呼延十八鞭,hu'yan'shi'ba'bian
呼延万善,hu'yan'wan'shan
胡一刀,hu'yi'dao
胡逸之,hu'yi'zhi
呼音克,hu'yin'ke
虎爪绝户手,hu'zhao'jue'hu'shou
虎爪手,hu'zhao'shou
花斑毒蝎解药,hua'ban'du'xie'jie'yao
华伯斯基,hua'bo'si'ji
化功大法,hua'gong'da'fa
化骨绵掌,hua'gu'mian'zhang
花海飘香,hua'hai'piao'xiang
华赫艮,hua'he'gen
花剑影,hua'jian'ying
花开见佛,hua'kai'jian'fo
花前月下,hua'qian'yue'xia
华拳门,hua'quan'men
花容云鬓,hua'rong'yun'bin
华山剑法,hua'shan'jian'fa
华山派,hua'shan'pai
化石丹,hua'shi'dan
化尸粉,hua'shi'fen
花铁干,hua'tie'gan
花万紫,hua'wan'zi
化血腐骨粉,hua'xue'fu'gu'fen
花云,hua'yun
华筝,hua'zheng
怀素自叙帖,huai'su'zi'xu'tie
幻剑式,huan'jian'shi
幻阴指,huan'yin'zhi
黄伯流,huang'bo'liu
黄二毛子,huang'er'mao'zi
黄甫,huang'fu
皇甫阁,huang'fu'ge
黄国柏,huang'guo'bai
黄金魁,huang'jin'kui
黄眉和尚,huang'mei'he'shang
黄面道人,huang'mian'dao'ren
黄泉逆流,huang'quan'ni'liu
黄蓉,huang'rong
黄沙万里鞭法,huang'sha'wan'li'bian'fa
黄裳,huang'shang
皇太后,huang'tai'hou
皇太极,huang'tai'ji
黄希节,huang'xi'jie
黄须人,huang'xu'ren
皇扬震首,huang'yang'zhen'shou
黄药师,huang'yao'shi
黄真,huang'zhen
黄钟公,huang'zhong'gong
黄锺公,huang'zhong'gong
黄宗羲,huang'zong'xi
晦聪禅师,hui'cong'chan'shi
回打软鞭十三式,hui'da'ruan'bian'shi'san'shi
慧方,hui'fang
回风拂柳刀,hui'feng'fu'liu'dao
回风拂柳拳,hui'feng'fu'liu'quan
回风落雁剑,hui'feng'luo'yan'jian
回风落雁剑法,hui'feng'luo'yan'jian'fa
回风掌,hui'feng'zhang
慧观,hui'guan
慧净,hui'jing
回头是岸,hui'tou'shi'an
彗星飞堕,hui'xing'fei'duo
回雁三决,hui'yan'san'jue
回阳五龙膏,hui'yang'wu'long'gao
辉月使,hui'yue'shi
慧真,hui'zhen
混沌一破,hun'dun'yi'po
混天功,hun'tian'gong
混元功,hun'yuan'gong
混元剑,hun'yuan'jian
混元气,hun'yuan'qi
混元掌,hun'yuan'zhang
霍阿伊,huo'a'yi
霍都,huo'du
霍青桐,huo'qing'tong
火焰刀,huo'yan'dao
霍元龙,huo'yuan'long
季镖头,ji'biao'tou
寂灭爪,ji'mie'zhao
姬清玄,ji'qing'xuan
吉人通,ji'ren'tong
计无施,ji'wu'shi
姬晓峰,ji'xiao'feng
纪晓芙,ji'xiao'fu
急雨打萍,ji'yu'da'ping
季长老,ji'zhang'lao
挤字诀,ji'zi'jue
贾布,jia'bu
家传剑法,jia'chuan'jian'fa
假东方不败,jia'dong'fang'bu'bai
贾老六,jia'lao'liu
贾老者,jia'lao'zhe
袈裟伏魔功,jia'sha'fu'mo'gong
剪补自如,jian'bu'zi'ru
建除,jian'chu
简管家,jian'guan'jia
简捷,jian'jie
见龙在田,jian'long'zai'tian
剑落双雁,jian'luo'shuang'yan
建宁公主,jian'ning'gong'zhu
见人伸手,jian'ren'shen'shou
简长老,jian'zhang'lao
江百胜,jiang'bai'sheng
江南史家,jiang'nan'shi'jia
江上弄笛,jiang'shang'nong'di
僵尸拳,jiang'shi'quan
蒋士铨,jiang'shi'quan
姜师叔,jiang'shi'shu
蒋四根,jiang'si'gen
蒋涛,jiang'tao
蒋天寿,jiang'tian'shou
蒋调侯,jiang'tiao'hou
姜铁山,jiang'tie'shan
姜文,jiang'wen
姜小铁,jiang'xiao'tie
脚夫,jiao'fu
焦公礼,jiao'gong'li
焦木和尚,jiao'mu'he'shang
教士,jiao'shi
教书先生,jiao'shu'xian'sheng
焦宛儿,jiao'wan'er
焦文期,jiao'wen'qi
教长,jiao'zhang
解风,jie'feng
截剑式,jie'jian'shi
截手九式,jie'shou'jiu'shi
杰书,jie'shu
解文豹,jie'wen'bao
解穴秘诀,jie'xue'mi'jue
锦笔生花,jin'bi'sheng'hua
进步搬拦锤,jin'bu'ban'lan'chui
金顶佛光,jin'ding'fo'guang
金顶绵掌,jin'ding'mian'zhang
金刚般若掌,jin'gang'ban're'zhang
金刚禅狮子吼,jin'gang'chan'shi'zi'hou
金刚掣尾,jin'gang'che'wei
金刚伏虎,jin'gang'fu'hu
金刚伏虎刀法,jin'gang'fu'hu'dao'fa
金刚护体神功,jin'gang'hu'ti'shen'gong
金刚门,jin'gang'men
金刚指,jin'gang'zhi
金花婆婆,jin'hua'po'po
金龙鞭法,jin'long'bian'fa
金轮度劫,jin'lun'du'jie
金轮法王,jin'lun'fa'wang
紧罗那王棍,jin'luo'na'wang'gun
金蛇缠丝式,jin'she'chan'si'shi
金蛇剑法,jin'she'jian'fa
金蛇郎君,jin'she'lang'jun
金蛇盘身式,jin'she'pan'shen'shi
金蛇擒鹤拳,jin'she'qin'he'quan
金蛇升天式,jin'she'sheng'tian'shi
金蛇吐信式,jin'she'tu'xin'shi
金蛇游身式,jin'she'you'shen'shi
金蛇游身掌,jin'she'you'shen'zhang
金蛇锥,jin'she'zhui
金声玉振,jin'sheng'yu'zhen
金乌刀法,jin'wu'dao'fa
金乌派,jin'wu'pai
金雁功,jin'yan'gong
金雁横空,jin'yan'heng'kong
金玉满堂,jin'yu'man'tang
金针渡劫,jin'zhen'du'jie
静慧,jing'hui
净济,jing'ji
静迦,jing'jia
静空,jing'kong
敬捧宝经,jing'peng'bao'jing
净清,jing'qing
静虚师太,jing'xu'shi'tai
静玄师太,jing'xuan'shi'tai
静照,jing'zhao
静智大师,jing'zhi'da'shi
九花玉露丸,jiu'hua'yu'lu'wan
九九丸,jiu'jiu'wan
九龙鞭法,jiu'long'bian'fa
九龙派,jiu'long'pai
鸠摩智,jiu'mo'zhi
九难,jiu'nan
鸠砒丸,jiu'pi'wan
九品连台,jiu'pin'lian'tai
九死生,jiu'si'sheng
九翼道人,jiu'yi'dao'ren
九阴白骨爪,jiu'yin'bai'gu'zhao
九阴白骨爪解药,jiu'yin'bai'gu'zhao'jie'yao
九阴真经,jiu'yin'zhen'jing
救赵挥金锤,jiu'zhao'hui'jin'chui
九转回春汤,jiu'zhuan'hui'chun'tang
九转灵宝丸,jiu'zhuan'ling'bao'wan
九转熊蛇丸,jiu'zhuan'xiong'she'wan
菊芳,ju'fang
举火撩天,ju'huo'liao'tian
举火燎天,ju'huo'liao'tian
菊剑,ju'jian
俱明宝树王,ju'ming'bao'shu'wang
菊友,ju'you
绝剑,jue'jian
绝门毒针解药,jue'men'du'zhen'jie'yao
绝情丹,jue'qing'dan
觉远,jue'yuan
觉远大师,jue'yuan'da'shi
觉月,jue'yue
峻岭横空,jun'ling'heng'kong
喀丝丽,ka'si'li
凯别兴,kai'bie'xing
开门揖盗,kai'men'yi'dao
开山掌,kai'shan'zhang
